Organism	eBSH	7aHSDH	7bHSDH	3aHSDH	3bHSDH	12aHSDH	BaiG	BaiTRAP	BaiA	BaiB	BaiCDH	BaiEI	BaiFK	BaiN	BaiO	BaiP	BaiJ	BaiL	BaiR
Actinobacillus pleuropneumoniae serovar 9 str. CVJ13261 (754258.3)	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
Actinomyces cardiffensis F0333 (888050.3)	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
Actinomyces graevenitzii C83 (435830.3)	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
Actinomyces naeslundii str. Howell 279 (1115803.3)	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
Actinomyces odontolyticus ATCC 17982 (411466.7)	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
Actinomyces odontolyticus F0309 (649742.3)	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
Actinomyces oris K20 (871541.3)	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
Actinomyces turicensis ACS-279-V-Col4 (883077.3)	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
Actinomyces urogenitalis DSM 15434 (525246.3)	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
Actinomyces viscosus C505 (562973.4)	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
Aerococcus viridans ATCC 11563 (655812.3)	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
Aerococcus viridans LL1 (1175629.3)	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
Aeromonas caviae Ae398 (878320.4)	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
Aeromonas hydrophila 113 (1268075.3)	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
Aeromonas hydrophila 14 (1268074.3)	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
Aeromonas hydrophila 173 (1268076.3)	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
Aeromonas hydrophila 187 (1268077.3)	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
Aeromonas hydrophila 259 (1268079.3)	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
Aeromonas hydrophila 277 (1268080.3)	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
Aeromonas hydrophila ML09-119 (1288394.3)	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
Aeromonas hydrophila SNUFPC-A8 (1232673.3)	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
Aeromonas hydrophila SSU (1073377.4)	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
Aeromonas hydrophila subsp. hydrophila ATCC 7966 (380703.7)	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
Aeromonas media WS (1208104.3)	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
Aeromonas veronii AER39 (1073382.3)	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
Aeromonas veronii AER397 (1073384.3)	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
Aeromonas veronii AMC34 (1073383.3)	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
Aeromonas veronii AMC35 (1073385.3)	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
Aeromonas veronii B565 (998088.4)	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
Afipia birgiae 34632 (1197906.5)	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
Aggregatibacter aphrophilus F0387 (679198.3)	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
Aggregatibacter aphrophilus NJ8700 (634176.4)	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
Agrobacterium tumefaciens CCNWGS0286 (1082932.3)	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
Agrobacterium tumefaciens F2 (1050720.3)	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
Agrobacterium tumefaciens str. C58 (176299.10)	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
Agrobacterium tumefaciens str. Cherry 2E-2-2 (1281779.3)	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
Akkermansia muciniphila ATCC BAA-835 (349741.6)	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
Alcaligenes faecalis subsp. faecalis NCIB 8687 (1156918.4)	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
Aliivibrio salmonicida LFI1238 (316275.15)	3734, 3738	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
Alistipes finegoldii DSM 17242 (679935.3)	1755	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
Alistipes indistinctus YIT 12060 (742725.3)	1680, 954	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
Alistipes onderdonkii DSM 19147 (1120974.3)	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
Alistipes putredinis DSM 17216 (445970.5)	1248	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
Alistipes shahii WAL 8301 (717959.3)	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
Anaerobaculum hydrogeniformans ATCC BAA-1850 (592015.5)	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
Anaerococcus prevotii ACS-065-V-Col13 (879305.3)	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
Anaerococcus prevotii DSM 20548 (525919.6)	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
Anaerococcus vaginalis ATCC 51170 (655811.4)	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
Anaerofustis stercorihominis DSM 17244 (445971.6)	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
Anaerostipes caccae DSM 14662 (411490.6)	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
Anaerostipes hadrus DSM 3319 (649757.3)	1580, 245	 	 	 	 	2189	 	 	 	 	 	 	 	 	 	 	 	 	 
Anaerostipes sp. 3_2_56FAA (665937.3)	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
Anaerotruncus colihominis DSM 17241 (445972.6)	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
Arcanobacterium haemolyticum DSM 20595 (644284.3)	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
Arcobacter butzleri ED-1 (944546.4)	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
Arcobacter butzleri JV22 (888827.3)	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
Arcobacter butzleri RM4018 (367737.6)	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
Atopobium minutum 10063974 (997872.3)	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
Atopobium parvulum DSM 20469 (521095.6)	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
Atopobium rimae ATCC 49626 (553184.4)	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
Bacillus amyloliquefaciens DSM7 (692420.6)	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
Bacillus amyloliquefaciens FZB42 (326423.5)	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
Bacillus atrophaeus 1013-1 (723888.3)	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
Bacillus atrophaeus 1013-2 (723889.3)	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
Bacillus atrophaeus 1942 (720555.4)	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
Bacillus atrophaeus ATCC 49822-1 (743710.3)	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
Bacillus atrophaeus ATCC 49822-2 (743711.3)	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
Bacillus atrophaeus ATCC 9372-1 (903520.3)	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
Bacillus atrophaeus ATCC 9372-2 (723892.3)	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
Bacillus atrophaeus BACI051-E (882455.3)	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
Bacillus atrophaeus BACI051-N (876283.3)	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
Bacillus atrophaeus C89 (334727.3)	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
Bacillus atrophaeus Detrick-1 (720556.3)	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
Bacillus atrophaeus Detrick-2 (720557.3)	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
Bacillus atrophaeus Detrick-3 (720558.3)	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
Bacillus atrophaeus str. Dugway (882453.3)	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
Bacillus cereus 03BB102 (572264.4)	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
Bacillus cereus 172560W (526967.3)	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
Bacillus cereus 95/8201 (526979.3)	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
Bacillus cereus AH1134 (405533.4)	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
Bacillus cereus AH1271 (526992.3)	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
Bacillus cereus AH1272 (526993.3)	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
Bacillus cereus AH187 (405534.9)	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
Bacillus cereus AH603 (526990.3)	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
Bacillus cereus AH621 (526972.3)	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
Bacillus cereus AH676 (526991.3)	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
Bacillus cereus AH820 (405535.8)	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
Bacillus cereus AND1407 (1053166.3)	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
Bacillus cereus ATCC 10876 (526980.3)	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
Bacillus cereus ATCC 10987 (222523.6)	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
Bacillus cereus ATCC 4342 (526977.3)	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
Bacillus cereus B4264 (405532.5)	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
Bacillus cereus B5-2 (1085389.3)	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
Bacillus cereus BAG1O-1 (1053167.3)	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
Bacillus cereus BAG1O-2 (1053168.3)	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
Bacillus cereus BAG1O-3 (1053169.3)	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
Bacillus cereus BAG1X1-1 (1053170.3)	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
Bacillus cereus BAG1X1-2 (1053171.3)	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
Bacillus cereus BAG1X1-3 (1053172.3)	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
Bacillus cereus BAG1X2-1 (1053173.3)	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
Bacillus cereus BAG1X2-2 (1053174.3)	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
Bacillus cereus BAG1X2-3 (1053175.3)	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
Bacillus cereus BAG2O-1 (1053176.3)	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
Bacillus cereus BAG2O-2 (1053177.3)	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
Bacillus cereus BAG2O-3 (1053178.3)	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
Bacillus cereus BAG2X1-1 (1053179.3)	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
Bacillus cereus BAG2X1-2 (1053180.3)	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
Bacillus cereus BAG2X1-3 (1053181.3)	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
Bacillus cereus BAG3O-1 (1085388.3)	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
Bacillus cereus BAG3O-2 (1053182.3)	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
Bacillus cereus BAG3X2-1 (1053183.3)	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
Bacillus cereus BAG3X2-2 (1053184.3)	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
Bacillus cereus BAG4O-1 (1053185.3)	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
Bacillus cereus BAG4X12-1 (1053186.3)	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
Bacillus cereus BAG4X2-1 (1053187.3)	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
Bacillus cereus BAG5O-1 (1053188.3)	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
Bacillus cereus BAG5X1-1 (1053189.3)	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
Bacillus cereus BAG5X12-1 (1053190.3)	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
Bacillus cereus BAG5X2-1 (1053191.3)	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
Bacillus cereus BAG6O-1 (1053192.3)	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
Bacillus cereus BAG6O-2 (1053193.3)	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
Bacillus cereus BAG6X1-1 (1053194.3)	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
Bacillus cereus BAG6X1-2 (1053195.3)	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
Bacillus cereus BDRD-Cer4 (526978.3)	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
Bacillus cereus BDRD-ST196 (526976.3)	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
Bacillus cereus BDRD-ST24 (526974.3)	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
Bacillus cereus BDRD-ST26 (526975.3)	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
Bacillus cereus BGSC 6E1 (526970.3)	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
Bacillus cereus biovar anthracis str. CI (637380.6)	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
Bacillus cereus BMG1.7 (1053196.3)	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
Bacillus cereus BtB2-4 (1053197.3)	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
Bacillus cereus CER057 (1053198.3)	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
Bacillus cereus CER074 (1053199.3)	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
Bacillus cereus E33L (288681.15)	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
Bacillus cereus F65185 (526989.3)	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
Bacillus cereus FRI-35 (1217984.3)	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
Bacillus cereus G9842 (405531.7)	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
Bacillus cereus H-hrb01 (1225787.3)	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
Bacillus cereus HD73 (1053200.3)	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
Bacillus cereus HuA2-1 (1053201.3)	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
Bacillus cereus HuA2-3 (1053202.3)	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
Bacillus cereus HuA2-4 (1053203.3)	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
Bacillus cereus HuA2-9 (1053204.3)	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
Bacillus cereus HuA3-9 (1053205.3)	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
Bacillus cereus HuA4-10 (1053206.3)	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
Bacillus cereus HuB1-1 (1053207.3)	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
Bacillus cereus HuB13-1 (1053208.3)	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
Bacillus cereus HuB2-9 (1053209.3)	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
Bacillus cereus HuB4-10 (1053210.3)	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
Bacillus cereus HuB4-4 (1053211.3)	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
Bacillus cereus HuB5-5 (1053212.3)	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
Bacillus cereus IS075 (718220.3)	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
Bacillus cereus IS195 (1053213.3)	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
Bacillus cereus IS845/00 (1053214.3)	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
Bacillus cereus ISP2954 (1053215.3)	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
Bacillus cereus ISP3191 (1053216.3)	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
Bacillus cereus K-5975c (1053217.3)	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
Bacillus cereus LCT-BC244 (1163722.3)	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
Bacillus cereus m1293 (526973.3)	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
Bacillus cereus m1550 (526969.3)	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
Bacillus cereus MC118 (1053218.3)	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
Bacillus cereus MC67 (1053219.3)	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
Bacillus cereus MM3 (526971.3)	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
Bacillus cereus MSX-A1 (1053220.3)	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
Bacillus cereus MSX-A12 (1053221.3)	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
Bacillus cereus MSX-D12 (1053222.3)	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
Bacillus cereus NC7401 (334406.4)	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
Bacillus cereus Q1 (361100.6)	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
Bacillus cereus R309803 (526968.3)	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
Bacillus cereus Rock1-15 (526982.3)	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
Bacillus cereus Rock1-3 (526981.3)	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
Bacillus cereus Rock3-29 (526984.3)	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
Bacillus cereus Rock3-42 (526985.3)	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
Bacillus cereus Rock4-18 (526988.3)	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
Bacillus cereus SJ1 (699184.4)	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
Bacillus cereus str. Schrouff (718221.3)	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
Bacillus cereus subsp. cytotoxis NVH 391-98 (315749.4)	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
Bacillus cereus TIAC219 (718222.3)	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
Bacillus cereus VD014 (1053223.3)	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
Bacillus cereus VD021 (1053224.3)	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
Bacillus cereus VD022 (718223.3)	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
Bacillus cereus VD045 (1053225.3)	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
Bacillus cereus VD048 (1053226.3)	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
Bacillus cereus VD078 (1053227.3)	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
Bacillus cereus VD102 (1053228.3)	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
Bacillus cereus VD107 (1053229.3)	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
Bacillus cereus VD115 (1053230.3)	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
Bacillus cereus VD118 (1053231.3)	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
Bacillus cereus VD131 (1053232.3)	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
Bacillus cereus VD133 (1053233.3)	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
Bacillus cereus VD136 (1053234.3)	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
Bacillus cereus VD140 (1053235.3)	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
Bacillus cereus VD142 (718224.3)	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
Bacillus cereus VD146 (1053236.3)	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
Bacillus cereus VD148 (1053237.3)	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
Bacillus cereus VD154 (1053238.3)	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
Bacillus cereus VD156 (1053239.3)	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
Bacillus cereus VD166 (1053240.3)	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
Bacillus cereus VD169 (1053241.3)	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
Bacillus cereus VD184 (1053242.3)	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
Bacillus cereus VD196 (1053243.3)	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
Bacillus cereus VD200 (1053244.3)	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
Bacillus cereus VD214 (1053245.3)	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
Bacillus cereus VDM006 (1085379.3)	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
Bacillus cereus VDM019 (1053246.3)	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
Bacillus cereus VDM021 (1085386.3)	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
Bacillus cereus VDM022 (1053247.3)	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
Bacillus cereus VDM034 (1053248.3)	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
Bacillus cereus VDM053 (1053249.3)	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
Bacillus cereus VDM062 (1053250.3)	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
Bacillus clausii KSM-K16 (66692.6)	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
Bacillus endophyticus 2102 (1196029.3)	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
Bacillus fordii DSM 16014 (1121090.3)	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
Bacillus halodurans C-125 (272558.8)	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
Bacillus licheniformis ATCC 14580 (279010.13)	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
Bacillus megaterium DSM319 (592022.4)	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
Bacillus megaterium NCT-2 (1138452.3)	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
Bacillus megaterium WSH-002 (1006007.3)	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
Bacillus mycoides DSM 2048 (526997.3)	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
Bacillus mycoides Rock1-4 (526998.3)	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
Bacillus mycoides Rock3-17 (526999.3)	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
Bacillus nealsonii AAU1 (1202533.3)	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
Bacillus pseudofirmus OF4 (398511.4)	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
Bacillus pumilus ATCC 7061 (536229.4)	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
Bacillus pumilus S-1 (1076692.3)	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
Bacillus sonorensis L12 (1274524.3)	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
Bacillus subtilis subsp. natto BEST195 (645657.3)	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
