Organism	GTPCH	PyrD	PyrR	DHBPS	DMRLS	RSA	RK	FMNAT	FHY	RibU	PnuX	ImpX	RibXY	RibN	RfnT	RibZ
Mycobacterium avium subsp. paratuberculosis MAP4 (1199187.3)	2802_6	2806_2_5	2806_2_5	2802_6	2801_8	2803_10	946_17_19	946_17_19	 	 	 	 	 	 	 	 
Mycobacterium avium subsp. paratuberculosis S5 (1247747.5)	1521_6	1517_2_5	1517_2_5	1521_6	1522_8	1520_10	3272_17_19	3272_17_19	 	 	 	 	 	 	 	 
Mycobacterium abscessus 3A-0119-R (1001721.3)	2839_6	2851_2_5	2851_2_5	2839_6	2838_8	2840_10	3228_17_19	3228_17_19	 	 	 	 	 	 	 	 
Mycobacterium abscessus 3A-0122-R (1001715.3)	2873_6	2885_2_5	2885_2_5	2873_6	2872_8	2874_10	3191_17_19	3191_17_19	 	 	 	 	 	 	 	 
Mycobacterium abscessus 3A-0122-S (1001716.3)	2431_6	2443_2_5	2443_2_5	2431_6	2430_8	2432_10	2804_17_19	2804_17_19	 	 	 	 	 	 	 	 
Mycobacterium abscessus 3A-0731 (1001718.3)	2980_6	2992_2_5	2992_2_5	2980_6	2979_8	2981_10	3341_17_19	3341_17_19	 	 	 	 	 	 	 	 
Mycobacterium abscessus 3A-0810-R (1001717.3)	2884_6	2896_2_5	2896_2_5	2884_6	2883_8	2885_10	3266_17_19	3266_17_19	 	 	 	 	 	 	 	 
Mycobacterium abscessus 3A-0930-R (1001720.3)	2891_6	2903_2_5	2903_2_5	2891_6	2890_8	2892_10	3235_17_19	3235_17_19	 	 	 	 	 	 	 	 
Mycobacterium abscessus 3A-0930-S (1001719.3)	2822_6	2834_2_5	2834_2_5	2822_6	2821_8	2823_10	3170_17_19	3170_17_19	 	 	 	 	 	 	 	 
Mycobacterium abscessus 47J26 (1087483.3)	1138_6	1126_2_5	1126_2_5	1138_6	1139_8	1137_10	793_17_19	793_17_19	 	 	 	 	 	 	 	 
Mycobacterium abscessus 4S-0116-R (1001725.3)	2500_6	2512_2_5	2512_2_5	2500_6	2499_8	2501_10	2805_17_19	2805_17_19	 	 	 	 	 	 	 	 
Mycobacterium abscessus 4S-0116-S (1001724.3)	1594_6	1606_2_5	1606_2_5	1594_6	1593_8	1595_10	1898_17_19	1898_17_19	 	 	 	 	 	 	 	 
Mycobacterium abscessus 4S-0206 (1001723.3)	2504_6	2516_2_5	2516_2_5	2504_6	2503_8	2505_10	2808_17_19	2808_17_19	 	 	 	 	 	 	 	 
Mycobacterium abscessus 4S-0303 (1001722.3)	2494_6	2506_2_5	2506_2_5	2494_6	2493_8	2495_10	2799_17_19	2799_17_19	 	 	 	 	 	 	 	 
Mycobacterium abscessus 4S-0726-RA (1001726.3)	2428_6	2440_2_5	2440_2_5	2428_6	2427_8	2429_10	2733_17_19	2733_17_19	 	 	 	 	 	 	 	 
Mycobacterium abscessus 4S-0726-RB (1001727.3)	2039_6	2051_2_5	2051_2_5	2039_6	2038_8	2040_10	2345_17_19	2345_17_19	 	 	 	 	 	 	 	 
Mycobacterium abscessus 5S-0304 (1001728.3)	1671_6	1683_2_5	1683_2_5	1671_6	1670_8	1672_10	2277_17_19	2277_17_19	 	 	 	 	 	 	 	 
Mycobacterium abscessus 5S-0421 (1001729.3)	1924_6	1936_2_5	1936_2_5	1924_6	1923_8	1925_10	2528_17_19	2528_17_19	 	 	 	 	 	 	 	 
Mycobacterium abscessus 5S-0422 (1001731.3)	2563_6	2575_2_5	2575_2_5	2563_6	2562_8	2564_10	3164_17_19	3164_17_19	 	 	 	 	 	 	 	 
Mycobacterium abscessus 5S-0708 (1001730.3)	4607_6	4619_2_5	4619_2_5	4607_6	4606_8	4608_10	5207_17_19	5207_17_19	 	 	 	 	 	 	 	 
Mycobacterium abscessus 5S-0817 (1001735.3)	5092_6	5080_2_5	5080_2_5	5092_6	5093_8	5091_10	1883_17_19	1883_17_19	 	 	 	 	 	 	 	 
Mycobacterium abscessus 5S-0921 (1001732.3)	2366_6	2378_2_5	2378_2_5	2366_6	2365_8	2367_10	3184_17_19	3184_17_19	 	 	 	 	 	 	 	 
Mycobacterium abscessus 5S-1212 (1001733.3)	4501_6	4489_2_5	4489_2_5	4501_6	4502_8	4500_10	2010_17_19	2010_17_19	 	 	 	 	 	 	 	 
Mycobacterium abscessus 5S-1215 (1001734.3)	4634_6	4646_2_5	4646_2_5	4634_6	4633_8	4635_10	2360_17_19	2360_17_19	 	 	 	 	 	 	 	 
Mycobacterium abscessus 6G-0125-R (1001740.3)	1859_6	1871_2_5	1871_2_5	1859_6	1858_8	1860_10	2178_17_19	2178_17_19	 	 	 	 	 	 	 	 
Mycobacterium abscessus 6G-0212 (1001739.3)	2848_6	2860_2_5	2860_2_5	2848_6	2847_8	2849_10	3169_17_19	3169_17_19	 	 	 	 	 	 	 	 
Mycobacterium abscessus 9808 (1246644.3)	3569_6	3581_2_5	3581_2_5	3569_6	3568_8	3570_10	4694_17_19	4694_17_19	 	 	 	 	 	 	 	 
Mycobacterium abscessus M115 (1162287.3)	2053_6	2042_2_5	2042_2_5	2053_6	2054_8	2052_10	1702_17_19	1702_17_19	 	 	 	 	 	 	 	 
Mycobacterium abscessus M139 (1175632.3)	925_6	913_2_5	913_2_5	925_6	926_8	924_10	3064_17_19	3064_17_19	 	 	 	 	 	 	 	 
Mycobacterium abscessus M152 (1176125.3)	3445_6	3432_2_5	3432_2_5	3445_6	3446_8	3444_10	1151_17_19	1151_17_19	 	 	 	 	 	 	 	 
Mycobacterium abscessus M154 (1162288.3)	245_6	256_2_5	256_2_5	245_6	244_8	246_10	580_17_19	580_17_19	 	 	 	 	 	 	 	 
Mycobacterium abscessus M156 (1185414.3)	1867_6	1856_2_5	1856_2_5	1867_6	1868_8	1866_10	3687_17_19	3687_17_19	 	 	 	 	 	 	 	 
Mycobacterium abscessus M159 (1162285.3)	1712_6	1724_2_5	1724_2_5	1712_6	1711_8	1713_10	2011_17_19	2011_17_19	 	 	 	 	 	 	 	 
Mycobacterium abscessus M172 (1162286.3)	565_6	578_2_5	578_2_5	565_6	564_8	566_10	904_17_19	904_17_19	 	 	 	 	 	 	 	 
Mycobacterium abscessus M24 (1162284.3)	4130_6	3377_2_5	3377_2_5	4130_6	4129_8	4131_10	1064_17_19	1064_17_19	 	 	 	 	 	 	 	 
Mycobacterium abscessus M93 (1149134.5)	2199_6	2211_2_5	2211_2_5	2199_6	2198_8	2200_10	1819_17_19	1819_17_19	 	 	 	 	 	 	 	 
Mycobacterium abscessus M94 (1158135.4)	1902_6	2114_2_5	2114_2_5	1902_6	1901_8	1903_10	4150_17_19	4150_17_19	 	 	 	 	 	 	 	 
Mycobacterium abscessus subsp. bolletii 50594 (1303024.3)	2812_6	2825_2_5	2825_2_5	2812_6	2811_8	2813_10	3124_17_19	3124_17_19	 	 	 	 	 	 	 	 
Mycobacterium abscessus subsp. bolletii BD (1091046.3)	2639_6	2651_2_5	2651_2_5	2639_6	2638_8	2640_10	2970_17_19	2970_17_19	 	 	 	 	 	 	 	 
Mycobacterium fortuitum subsp. fortuitum DSM 46621 (1214102.3)	"1029_6, 3646_6"	1025_2_5	1025_2_5	"1029_6, 3646_6"	"1030_8, 5737_8"	1028_10	1613_17_19	1613_17_19	 	 	 	 	 	 	 	 
Rhodococcus erythropolis XP (1078016.3)	"4034_7, 4933_6, 6501_7"	4931_2_5	4931_2_5	"4034_7, 4933_6, 6501_7"	"4934_8, 5978_8"	4932_10	4556_17_19	4556_17_19	 	 	557	 	 	 	 	 
Brevibacterium casei S18 (1229781.4)	2189_6	2191_2_5	2191_2_5	2189_6	2188_8	2190_10	1972_17_19	1972_17_19	 	 	1387	 	 	 	 	 
Brevibacterium massiliense 5401308 (1176165.3)	366_6	368_2_5	368_2_5	366_6	365_8	367_10	870_17_19	870_17_19	 	 	1107	 	 	 	 	 
Brachybacterium paraconglomeratum LC44 (1064537.3)	2942_7	2944_2_5	2944_2_5	2942_7	 	"2941_16, 2943_10"	2303_17_19	2303_17_19	 	 	2508	 	 	 	 	 
Curtobacterium flaccumfaciens UCD-AKU (1292022.3)	"1563_6, 1722_6"	1723_2_5	1723_2_5	"1563_6, 1722_6"	1564_8	1562_10	82_17_19	82_17_19	 	 	1415	 	 	 	 	 
Microbacterium paraoxydans 77MFTsu3.2 (1151126.3)	3374_6	3372_2_5	3372_2_5	3374_6	3375_8	3373_10	3162_17_19	3162_17_19	 	 	 	 	 	 	 	 
Kocuria palustris PEL (1236550.3)	"1976_10_6, 1977_10_6"	1975_2_5	1975_2_5	"1976_10_6, 1977_10_6"	1978_8	"1976_10_6, 1977_10_6"	1210_17_19	1210_17_19	 	 	1974	 	 	 	 	 
Rothia aeria F0474 (1125724.3)	"931_10_6, 932_7"	930_2_5	930_2_5	"931_10_6, 932_7"	933_8	931_10_6	2002_17_19	2002_17_19	 	 	929	 	 	 	 	 
Rothia mucilaginosa M508 (563033.4)	"1068_7, 1069_10_6"	1071_2_5	1071_2_5	"1068_7, 1069_10_6"	1067_8	1069_10_6	1513_17_19	1513_17_19	 	 	1072	 	 	 	 	 
Propionibacterium acidipropionici ATCC 4875 (1171373.8)	2429_6	2431_2_5	2431_2_5	2429_6	2428_8	2430_10	2145_19_17	2145_19_17	 	 	2074	 	 	 	 	 
Propionibacterium acnes C1 (1234380.3)	1868_6	1870_2_5	1870_2_5	1868_6	1867_8	1869_10	1608_17_19	1608_17_19	 	 	1538	 	 	 	 	 
Propionibacterium acnes FZ1/2/0 (1276649.3)	1810_6	1812_2_5	1812_2_5	1810_6	1809_8	1811_10	1552_17_19	1552_17_19	 	 	1482	 	 	 	 	 
Propionibacterium acnes HL096PA1 (1134454.3)	1835_6	1837_2_5	1837_2_5	1835_6	1834_8	1836_10	776_17_19	776_17_19	 	 	848	 	 	 	 	 
Propionibacterium acnes PRP-38 (1136877.3)	90_6	92_2_5	92_2_5	90_6	89_8	91_10	2224_17_19	2224_17_19	 	 	2160	 	 	 	 	 
Propionibacterium avidum 44067 (1170318.3)	449_6	447_2_5	447_2_5	449_6	450_8	448_10	730_17_19	730_17_19	 	 	822	 	 	 	 	 
Propionibacterium avidum ATCC 25577 (997355.3)	355_7	357_2_5	357_2_5	355_7	354_8	356_10	110_17_19	110_17_19	 	 	15	 	 	 	 	 
Propionibacterium propionicum F0230a (767029.3)	90	 	 	 	 	 	1247_17_19	1247_17_19	 	 	 	 	"1179_28, 1180_29"	 	 	 
Bifidobacterium angulatum DSM 20098 = JCM 7096 (518635.7)	 	 	 	 	 	 	1339_17_19	1339_17_19	 	1161	 	 	 	 	 	 
Bifidobacterium animalis subsp. animalis ATCC 25527 (703613.4)	 	 	 	 	 	 	446_17_19	446_17_19	 	705	 	 	 	 	 	 
Bifidobacterium animalis subsp. lactis B420 (1168290.3)	 	 	 	 	 	 	420_19_17	420_19_17	 	 	 	 	 	 	 	 
Bifidobacterium animalis subsp. lactis BS 01 (911598.3)	 	 	 	 	 	 	470_17_19	470_17_19	 	 	 	 	 	 	 	 
Bifidobacterium animalis subsp. lactis Bi-07 (742729.3)	 	 	 	 	 	 	420_19_17	420_19_17	 	 	 	 	 	 	 	 
Bifidobacterium bifidum BGN4 (484020.3)	 	 	 	 	 	 	1486_17_19	1486_17_19	 	657	 	 	 	 	 	 
Bifidobacterium bifidum LMG 13195 (1207542.3)	 	 	 	 	 	 	321_17_19	321_17_19	 	793	 	 	 	 	 	 
Bifidobacterium breve CECT 7263 (1036735.3)	 	 	 	 	 	 	1488_17_19	1488_17_19	 	1929	 	 	 	 	 	 
Bifidobacterium breve DPC 6330 (1074482.3)	 	 	 	 	 	 	69_17_19	69_17_19	 	 	 	 	 	 	 	 
Bifidobacterium breve DSM 20213 = JCM 1192 (518634.7)	 	 	 	 	 	 	1455_19_17	1455_19_17	 	 	 	 	 	 	 	 
Bifidobacterium breve HPH0326 (1203540.3)	 	 	 	 	 	 	1095_17_19	1095_17_19	 	 	 	 	 	 	 	 
Bifidobacterium catenulatum DSM 16992 = JCM 1194 (566552.6)	 	1172_2_5	1172_2_5	 	 	 	1320_17_19	1320_17_19	 	525	 	 	 	 	 	 
Bifidobacterium longum subsp. infantis ATCC 15697 = JCM 1222 (391904.8)	400_6	398_2_5	398_2_5	400_6	401_8	399_10	2270_19_17	2270_19_17	 	 	 	 	 	 	 	 
Bifidobacterium longum subsp. longum 1-6B (1161744.3)	 	 	 	 	 	 	511_17_19	511_17_19	 	895	 	 	 	 	 	 
Bifidobacterium longum subsp. longum 2-2B (1161745.3)	 	 	 	 	 	 	534_17_19	534_17_19	 	1392	 	 	 	 	 	 
Bifidobacterium longum subsp. longum 35B (1161904.3)	 	 	 	 	 	 	184_17_19	184_17_19	 	1408	 	 	 	 	 	 
Bifidobacterium longum subsp. longum 44B (1161743.3)	 	 	 	 	 	 	1581_17_19	1581_17_19	 	1542	 	 	 	 	 	 
Bifidobacterium longum subsp. longum CMCC P0001 (1266716.3)	905_6	907_2_5	907_2_5	905_6	904_8	906_10	1129_17_19	1129_17_19	 	 	 	 	 	 	 	 
Bifidobacterium pseudocatenulatum DSM 20438 = JCM 1200 (547043.8)	 	182_2_5	182_2_5	 	 	 	256_17_19	256_17_19	 	1374	 	 	 	 	 	 
Bifidobacterium thermophilum RBL67 (1254439.12)	 	 	 	 	 	 	1409_17_19	1409_17_19	 	1782	 	 	 	 	 	 
Atopobium minutum 10063974 (997872.3)	 	 	 	 	 	 	792_17_19	792_17_19	 	458	 	 	 	 	 	 
Collinsella tanakaei YIT 12063 (742742.3)	1043	 	 	 	 	 	498_17_19	498_17_19	 	977	 	 	 	 	 	 
Slackia piriformis YIT 12062 (742818.3)	 	 	 	 	 	 	1081_17_19	1081_17_19	 	1318	 	 	 	 	 	 
Bacteroides fragilis ATCC 25285 (272559.3)	40_6	306_2_5	306_2_5	"40_6, 965_6"	651_8	2548_10	3281_19_17	3281_19_17	 	 	 	 	 	 	 	 
Bacteroides caccae ATCC 43185 (411901.7)	2471_6	3073_2_5	3073_2_5	2471_6	1740_8	2425_10	291_19_17	291_19_17	 	 	 	 	 	 	 	 
Bacteroides caccae CL03T12C61 (997873.3)	4123_6	3599_2_5	3599_2_5	4123_6	456_8	2360_10	4730_19_17	4730_19_17	 	 	 	 	 	 	 	 
Bacteroides capillosus ATCC 29799 (411467.6)	 	 	 	 	 	 	1328_17_19	1328_17_19	 	"1366, 2864, 637"	 	 	 	 	 	 
Bacteroides cellulosilyticus CL02T12C19 (997874.3)	2652_6	2456_2_5	2456_2_5	2652_6	397_8	1559_10	5884_17_19	5884_17_19	 	 	 	 	 	 	 	 
Bacteroides cellulosilyticus DSM 14838 (537012.5)	1464_6	2133_2_5	2133_2_5	1464_6	2954_8	494_10	2238_17_19	2238_17_19	 	 	 	 	 	 	 	 
Bacteroides clarus YIT 12056 (762984.3)	2062_7	1616_2_5	1616_2_5	2062_7	2308_8	1442_10	1938_17_19	1938_17_19	 	 	 	 	 	 	 	 
Bacteroides coprocola DSM 17136 (470145.6)	"1067_6, 1633_6"	2836_2_5	2836_2_5	"1067_6, 1633_6"	2947_8	3426_10	1194_17_19	1194_17_19	 	 	 	 	 	 	 	 
Bacteroides coprophilus DSM 18228 (547042.5)	2955_6	2179_2_5	2179_2_5	2955_6	341_8	631_10	154_17_19	154_17_19	 	 	 	 	 	 	 	 
Bacteroides dorei CL02T00C15 (997875.3)	1328_6	3259_2_5	3259_2_5	"1328_6, 2345_6"	297_8	159_10	2812_17_19	2812_17_19	 	 	 	 	 	 	 	 
Bacteroides dorei CL02T12C06 (997876.3)	2222_6	1915_2_5	1915_2_5	"2222_6, 4527_6"	620_8	482_10	1461_17_19	1461_17_19	 	 	 	 	 	 	 	 
Bacteroides dorei CL03T12C01 (997877.3)	1694_6	3403_2_5	3403_2_5	"1694_6, 3548_6"	993_8	836_10	2796_17_19	2796_17_19	 	 	 	 	 	 	 	 
Bacteroides dorei DSM 17855 (483217.6)	418_6	4307_2_5	4307_2_5	"418_6, 69_6"	3891_8	4044_10	1552_17_19	1552_17_19	 	 	 	 	 	 	 	 
Bacteroides eggerthii 1_2_48FAA (665953.3)	3541_6	705_2_5	705_2_5	3541_6	3969_8	3050_10	2814_17_19	2814_17_19	 	 	 	 	 	 	 	 
Bacteroides eggerthii DSM 20697 (483216.6)	2685_6	3374_2_5	3374_2_5	2685_6	873_8	1353_10	2811_19_17	2811_19_17	 	 	 	 	 	 	 	 
Bacteroides faecis MAJ27 (1077285.3)	105_7	1197_2_5	1197_2_5	105_7	1727_8	3751_10	192_17_19	192_17_19	 	 	 	 	 	 	 	 
Bacteroides finegoldii DSM 17565 (483215.6)	3437_6	2651_2_5	2651_2_5	3437_6	3567_8	4118_10	3308_17_19	3308_17_19	 	 	 	 	 	 	 	 
Bacteroides fluxus YIT 12057 (763034.3)	2656_7	3062_2_5	3062_2_5	2656_7	1618_8	620_11	309_17_19	309_17_19	 	 	 	 	 	 	 	 
Bacteroides fragilis 3_1_12 (457424.5)	2324_6	2466_2_5	2466_2_5	2324_6	1852_8	2907_10	4108_17_19	4108_17_19	 	 	 	 	 	 	 	 
Bacteroides fragilis 638R (862962.3)	607_6	532_2_5	532_2_5	"1142_6, 607_6"	956_8	2855_10	4413_19_17	4413_19_17	 	 	 	 	 	 	 	 
Bacteroides fragilis CL03T00C08 (997878.3)	570_6	494_2_5	494_2_5	"1172_6, 570_6"	989_8	2687_10	4167_19_17	4167_19_17	 	 	 	 	 	 	 	 
Bacteroides fragilis CL03T12C07 (997879.3)	1095_6	1019_2_5	1019_2_5	"1095_6, 4408_6"	4590_8	1522_10	354_19_17	354_19_17	 	 	 	 	 	 	 	 
Bacteroides fragilis CL05T00C42 (997880.3)	2231_6	2155_2_5	2155_2_5	"1037_6, 2231_6"	1220_8	2311_10	1389_17_19	1389_17_19	 	 	 	 	 	 	 	 
Bacteroides fragilis CL05T12C13 (997881.3)	570_6	494_2_5	494_2_5	"1106_6, 570_6"	921_8	4360_10	3729_17_19	3729_17_19	 	 	 	 	 	 	 	 
Bacteroides fragilis CL07T00C01 (997882.3)	2387_6	2462_2_5	2462_2_5	2387_6	2016_8	4123_10	3276_17_19	3276_17_19	 	 	 	 	 	 	 	 
Bacteroides fragilis CL07T12C05 (997883.3)	655_6	578_2_5	578_2_5	655_6	1024_8	3724_10	4510_17_19	4510_17_19	 	 	 	 	 	 	 	 
Bacteroides fragilis HMW 610 (1073386.3)	3510_6	3606_2_5	3606_2_5	3510_6	3148_8	968_10	4131_17_19	4131_17_19	 	 	 	 	 	 	 	 
Bacteroides fragilis HMW 615 (1073387.4)	621_6	693_2_5	693_2_5	621_6	292_8	2432_10	1379_19_17	1379_19_17	 	 	 	 	 	 	 	 
Bacteroides fragilis HMW 616 (1073388.3)	4545_6	4479_2_5	4479_2_5	4545_6	245_8	2211_10	3824_17_19	3824_17_19	 	 	 	 	 	 	 	 
Bacteroides fragilis NCTC 9343 (272559.17)	533_6	447_2_5	447_2_5	"1039_6, 533_6"	865_8	2786_10	4258_19_17	4258_19_17	 	 	 	 	 	 	 	 
Bacteroides fragilis YCH46 (295405.11)	612_6	523_2_5	523_2_5	612_6	958_8	2665_10	4185_17_19	4185_17_19	 	 	 	 	 	 	 	 
Bacteroides intestinalis DSM 17393 (471870.8)	451_6	568_2_5	568_2_5	451_6	4078_8	3253_10	1569_19_17	1569_19_17	 	 	 	 	 	 	 	 
Bacteroides massiliensis B84634 = Timone 84634 = DSM 17679 = JCM 13223 (1121098.4)	3368_6	605_2_5	605_2_5	3368_6	943_8	1724_10	3110_17_19	3110_17_19	 	 	 	 	 	 	 	 
Bacteroides massiliensis dnLKV3 (1235788.3)	1130_6	3086_2_5	3086_2_5	"1130_6, 4161_6"	1517_8	1956_10	599_17_19	599_17_19	 	 	 	 	 	 	 	 
Bacteroides nordii CL02T12C05 (997884.3)	924_6	775_2_5	775_2_5	924_6	1266_8	3668_10	4303_17_19	4303_17_19	 	 	 	 	 	 	 	 
Bacteroides oleiciplenus YIT 12058 (742727.4)	1784_6	1925_2_5	1925_2_5	1784_6	1632_8	4841_10	5246_17_19	5246_17_19	 	 	 	 	 	 	 	 
Bacteroides ovatus 3_8_47FAA (665954.3)	3988_7	2764_2_5	2764_2_5	3988_7	2345_8	1514_10	4486_17_19	4486_17_19	 	 	 	 	 	 	 	 
Bacteroides ovatus ATCC 8483 (411476.11)	2521_6	3000_2_5	3000_2_5	2521_6	4321_8	944_10	581_17_19	581_17_19	 	 	 	 	 	 	 	 
Bacteroides ovatus CL02T12C04 (997885.3)	6160_6	4335_2_5	4335_2_5	6160_6	2828_8	3172_10	5782_17_19	5782_17_19	 	 	 	 	 	 	 	 
Bacteroides ovatus CL03T12C18 (997886.3)	4092_6	1232_2_5	1232_2_5	4092_6	1831_8	5310_10	5159_17_19	5159_17_19	 	 	 	 	 	 	 	 
Bacteroides ovatus SD CC 2a (702444.3)	2226_6	"484_2_5, 883_2_5"	"484_2_5, 883_2_5"	2226_6	3811_8	4909_10	4219_17_19	4219_17_19	 	 	 	 	 	 	 	 
Bacteroides pectinophilus ATCC 43243 (483218.5)	 	 	 	 	 	 	1213_19_17	1213_19_17	 	 	 	 	 	 	 	 
Bacteroides plebeius DSM 17135 (484018.6)	26_6	829_2_5	829_2_5	26_6	1722_8	1993_10	883_17_19	883_17_19	 	 	 	 	 	 	 	 
Bacteroides salyersiae CL02T12C01 (997887.3)	886_6	1187_2_5	1187_2_5	886_6	504_8	4254_10	2076_17_19	2076_17_19	 	 	 	 	 	 	 	 
Bacteroides salyersiae WAL 10018 = DSM 18765 = JCM 12988 (1121101.3)	1320_6	1449_2_5	1449_2_5	1320_6	900_8	3091_10	2194_17_19	2194_17_19	 	 	 	 	 	 	 	 
Bacteroides sp. 1_1_14 (469585.3)	4887_6	3658_2_5	3658_2_5	4887_6	"97_8, 98_8"	3170_10	4719_17_19	4719_17_19	 	 	 	 	 	 	 	 
Bacteroides sp. 1_1_30 (457387.3)	801_6	4556_2_5	4556_2_5	801_6	4966_8	2996_11	4390_17_19	4390_17_19	 	 	 	 	 	 	 	 
Bacteroides sp. 1_1_6 (469586.3)	4384_6	3526_2_5	3526_2_5	4384_6	2151_8	5160_10	4683_17_19	4683_17_19	 	 	 	 	 	 	 	 
Bacteroides sp. 20_3 (469591.4)	545_6	799_2_5	799_2_5	545_6	1118_8	1293_10	95_17_19	95_17_19	 	 	 	 	 	 	 	 
Bacteroides sp. 2_1_22 (469588.3)	4657_6	"1072_2_5, 2889_2_5"	"1072_2_5, 2889_2_5"	4657_6	3532_8	3742_10	4092_17_19	4092_17_19	 	 	 	 	 	 	 	 
Bacteroides sp. 2_1_33B (469589.3)	1908_6	1731_2_5	1731_2_5	1908_6	3416_8	3254_10	1476_17_19	1476_17_19	 	 	 	 	 	 	 	 
Bacteroides sp. 2_1_7 (457388.5)	67_6	774_2_5	774_2_5	67_6	3746_8	3585_10	424_17_19	424_17_19	 	 	 	 	 	 	 	 
Bacteroides sp. 2_2_4 (469590.5)	5147_6	3456_2_5	3456_2_5	5147_6	1914_8	4874_10	417_17_19	417_17_19	 	 	 	 	 	 	 	 
Bacteroides sp. 3_1_19 (469592.4)	366_6	580_2_5	580_2_5	366_6	3481_8	3635_10	964_17_19	964_17_19	 	 	 	 	 	 	 	 
Bacteroides sp. 3_1_23 (457390.3)	3175_6	2882_2_5	2882_2_5	3175_6	4397_8	3963_10	3034_17_19	3034_17_19	 	 	 	 	 	 	 	 
Bacteroides sp. 3_1_33FAA (457391.3)	1239_6	2189_2_5	2189_2_5	"1239_6, 3035_6"	449_8	298_10	3199_17_19	3199_17_19	 	 	 	 	 	 	 	 
Bacteroides sp. 3_1_40A (469593.3)	3730_6	115_2_5	115_2_5	"2867_6, 3730_6"	3198_8	3993_10	"723_17_19, 724_17_19"	"723_17_19, 724_17_19"	 	 	 	 	 	 	 	 
Bacteroides sp. 3_2_5 (457392.3)	575_6	648_2_5	648_2_5	575_6	1594_8	1621_10	3461_19_17	3461_19_17	 	 	 	 	 	 	 	 
Bacteroides sp. 4_1_36 (457393.3)	952_6	855_2_5	855_2_5	952_6	3845_8	2896_10	680_17_19	680_17_19	 	 	 	 	 	 	 	 
Bacteroides sp. 4_3_47FAA (457394.3)	1542_6	265_2_5	265_2_5	"1542_6, 2925_6"	2600_8	3043_10	445_17_19	445_17_19	 	 	 	 	 	 	 	 
Bacteroides sp. 9_1_42FAA (457395.6)	633_6	964_2_5	964_2_5	"2980_6, 633_6"	1649_8	1488_10	3070_17_19	3070_17_19	 	 	 	 	 	 	 	 
Bacteroides sp. D1 (556258.5)	4592_6	"1065_2_5, 2164_2_5"	"1065_2_5, 2164_2_5"	4592_6	1752_8	4576_10	3428_17_19	3428_17_19	 	 	 	 	 	 	 	 
Bacteroides sp. D2 (556259.3)	4128_6	2551_2_5	2551_2_5	4128_6	1255_8	3620_10	4920_17_19	4920_17_19	 	 	 	 	 	 	 	 
Bacteroides sp. D20 (585543.3)	"1534_6, 1701_6"	1615_2_5	1615_2_5	"1534_6, 1701_6"	277_8	2941_10	1430_17_19	1430_17_19	 	 	 	 	 	 	 	 
Bacteroides sp. D22 (585544.3)	3646_6	2931_2_5	2931_2_5	3646_6	1849_8	4594_10	2736_17_19	2736_17_19	 	 	 	 	 	 	 	 
Bacteroides stercoris ATCC 43183 (449673.7)	358_6	584_2_5	584_2_5	358_6	3165_8	843_10	1830_17_19	1830_17_19	 	 	 	 	 	 	 	 
Bacteroides stercoris CC31F (1073351.3)	768_6	694_2_5	694_2_5	768_6	1270_8	2238_10	177_17_19	177_17_19	 	 	 	 	 	 	 	 
Bacteroides thetaiotaomicron CL09T03C10 (997888.3)	3101_6	3283_2_5	3283_2_5	3101_6	1443_8	938_10	4152_17_19	4152_17_19	 	 	 	 	 	 	 	 
Bacteroides thetaiotaomicron VPI-5482 (226186.12)	2477_6	3789_2_5	3789_2_5	2477_6	4324_8	1346_10	2593_19_17	2593_19_17	 	 	 	 	 	 	 	 
Bacteroides thetaiotaomicron dnLKV9 (1235785.3)	3037_6	4692_2_5	4692_2_5	3037_6	2535_8	581_10	4854_17_19	4854_17_19	 	 	 	 	 	 	 	 
Bacteroides uniformis ATCC 8492 (411479.10)	"3276_6, 540_6"	729_2_5	729_2_5	"3276_6, 540_6"	37_8	3755_10	3401_17_19	3401_17_19	 	 	 	 	 	 	 	 
Bacteroides uniformis CL03T00C23 (997889.3)	"1840_6, 2037_6"	1924_2_5	1924_2_5	"1840_6, 2037_6"	2456_8	134_10	1738_17_19	1738_17_19	 	 	 	 	 	 	 	 
Bacteroides uniformis CL03T12C37 (997890.3)	"2631_6, 2825_6"	2740_2_5	2740_2_5	"2631_6, 2825_6"	4091_8	851_10	2925_17_19	2925_17_19	 	 	 	 	 	 	 	 
Bacteroides uniformis dnLKV2 (1235787.3)	"3207_6, 854_6"	934_2_5	934_2_5	"3207_6, 854_6"	1098_8	3925_10	748_17_19	748_17_19	 	 	 	 	 	 	 	 
Bacteroides vulgatus ATCC 8482 (435590.9)	147_6	887_2_5	887_2_5	"147_6, 373_6"	2698_8	2801_10	1355_19_17	1355_19_17	 	 	 	 	 	 	 	 
Bacteroides vulgatus EK4.2 (702445.3)	 	 	 	 	 	 	1961_17_19	1961_17_19	 	2131	 	 	 	 	 	496
Bacteroides vulgatus PC510 (702446.3)	1433_6	2703_2_5	2703_2_5	"1433_6, 1623_6"	3966_8	2370_10	68_17_19	68_17_19	 	 	 	 	 	 	 	 
Bacteroides vulgatus dnLKV7 (1235786.3)	1969_6	3847_2_5	3847_2_5	"1969_6, 3221_6"	591_8	777_10	2567_19_17	2567_19_17	 	 	 	 	 	 	 	 
