Organism	GltBD	GltBfd	GdhNAD	GdhNADP	AspC	AsnA	AnsB	AnsA	GlsA	GlnN	MurI	AmPPT	GFPT	GlnABC
Corynebacterium propinquum DSM 44285 (1121367.3)	 	 	 	333_8	1245	 	998_11	393_15	1422	411_18, 459_18, 977_18	1405	1351	2033	 
Gordonia rubripertincta NBRC 101908 (1077975.4)	1312_2, 1313_1, 4230_1, 4231_4, 4340_1, 4341_2	4512_5	2773_7	1273_8	1100, 1561, 1908, 988	 	1495_11, 3936_11	2710_15	3530, 3748	3954_18, 3960_18, 4233_18, 4385_19	3728	332	1149	 
Gordonia terrae C-6 (1316928.3)	1914_1, 1915_2, 3496_4, 3497_1, 3653_2, 3654_1	 	1191_7	2069_8	1371, 3347, 3809	 	1848_11, 3247_11	3309_15	1268, 4342	3211_19, 3494_18, 675_18, 681_18	1248	1661	1409	 
Gordonia terrae NBRC 100016 (1089454.3)	1286_1, 1287_2, 2476_4, 2477_1, 2862_2, 2863_1	 	1084_7	139_8	1677, 2731, 3802, 4824, 880	 	1966_11, 4288_11	2624_15, 836_15	1008, 4740	1557_19, 2474_18, 4305_18, 4312_18	1032	2339	703	 
Mycobacterium avium subsp. paratuberculosis JQ6 (1112208.3)	24_1, 25_2	 	4059_7	 	3884	 	193_11, 4673_11, 4674_11	4417_15, 4418_15	 	259_18, 264_18	1202	4026	1447	 
Mycobacterium avium subsp. paratuberculosis MAP4 (1199187.3)	3813_2, 3814_1	 	1570_7	 	 	 	1948_11, 2507_11	2690_15	 	1920_18, 1924_18	1441	3321	4513	 
Mycobacterium avium subsp. paratuberculosis S5 (1247747.5)	239_1, 240_2	 	1183_7	 	 	 	1845_11, 1846_11, 2430_11	1643_15	 	2453_18, 2457_18	1044	740	4743	 
Mycobacterium abscessus 3A-0119-R (1001721.3)	2481_1, 5331_1, 5332_2	 	1617_7, 3991_7, 4609_7	3942_8	3517, 3720, 3999, 4559, 802, 90	 	1953_11	2741_15	 	1914_18, 1927_18	1439	5163, 722	3881	 
Mycobacterium abscessus 3A-0122-R (1001715.3)	146_1, 147_2, 2517_1	 	1658_7, 4644_7, 909_7	3969_8	252, 3478, 3748, 4595, 901, 934	 	1994_11	2776_15	 	1955_18, 1968_18	1468	5196, 800	3909	 
Mycobacterium abscessus 3A-0122-S (1001716.3)	2076_1, 5140_1, 5141_2	 	1181_7, 3808_7, 4420_7	3518_8	3093, 3297, 3816, 390, 4371, 5247	 	1552_11	2335_15	 	1478_18, 1491_18	1029	3637, 4972	3458	 
Mycobacterium abscessus 3A-0731 (1001718.3)	2429_1, 5405_1, 5406_2	 	1568_7, 4688_7, 644_7	4051_8	3629, 3830, 4638, 636, 669, 89	 	1904_11	2884_15	 	1864_18, 1877_18	1390	2645, 5238	3991	 
Mycobacterium abscessus 3A-0810-R (1001717.3)	2525_1, 5331_1, 5332_2	 	1626_7, 4612_7, 822_7	3977_8	3555, 3756, 4562, 814, 847, 89	 	1998_11	2787_15	 	1958_18, 1971_18	1483	5163, 713	3917	 
Mycobacterium abscessus 3A-0930-R (1001720.3)	2531_1, 5276_1, 5277_2	 	1666_7, 4559_7, 831_7	3946_8	3523, 3725, 4510, 823, 856, 90	 	2003_11	2794_15	 	1964_18, 1977_18	1490	5108, 720	3886	 
Mycobacterium abscessus 3A-0930-S (1001719.3)	2097_1, 5203_1, 5204_2	 	1238_7, 402_7, 4485_7	3876_8	3455, 3655, 394, 427, 4436, 91	 	1574_11	2726_15	 	1536_18, 1549_18	1062	2486, 5036	3816	 
Mycobacterium abscessus 47J26 (1087483.3)	1456_1, 3297_1, 3298_2	 	2226_7, 4328_7, 4329_7	91_8	316, 3401, 3828, 4181, 4319, 494	 	2529_11	1241_15	 	2487_18, 2503_18	2144	4237	149	 
Mycobacterium abscessus 4S-0116-R (1001725.3)	120_2, 121_1, 2198_1	 	1622_7, 4178_7, 931_7	3578_8	13, 1421, 3104, 3358, 4121, 923, 956	 	1923_11	2408_15	 	1884_18, 1897_18	1542	815	3520	 
Mycobacterium abscessus 4S-0116-S (1001724.3)	1293_1, 3927_1, 3928_2	 	3269_7, 4607_7, 520_7	2670_8	2196, 2450, 319, 3212, 4035, 4599, 4632	 	821_11	1502_15	 	782_18, 795_18	440	4492	2612	 
Mycobacterium abscessus 4S-0206 (1001723.3)	1345_1, 1660_1, 1661_2	 	4179_7, 778_7, 88_7	3579_8	113, 1767, 3106, 3360, 4121, 578, 80	 	1078_11	2412_15	 	1040_18, 1053_18	699	2225	3521	 
Mycobacterium abscessus 4S-0303 (1001722.3)	2191_1, 252_1, 253_2	 	1134_7, 1825_7, 4169_7	3571_8	1126, 1159, 1623, 3099, 3352, 358, 4113	 	2127_11	2401_15	 	2087_18, 2100_18	1744	1019	3513	 
Mycobacterium abscessus 4S-0726-RA (1001726.3)	2125_1, 4761_1, 4762_2	 	1373_7, 1707_7, 4104_7	3505_8	1172, 1715, 3032, 3286, 4047, 708, 90	 	1674_11	2336_15	 	1635_18, 1648_18	1293	1823	3447	 
Mycobacterium abscessus 4S-0726-RB (1001727.3)	1735_1, 4377_1, 4378_2	 	267_7, 3716_7, 959_7	3118_8	259, 2645, 2898, 292, 3659, 4484, 757	 	1260_11	1946_15	 	1221_18, 1234_18	878	151	3060	 
Mycobacterium abscessus 5S-0304 (1001728.3)	1319_1, 4304_1, 4305_2	 	540_7	3059_8	2567, 2831, 3652, 4408, 4970, 4995	 	1277_11	1578_15	 	821_18, 838_18	444	4884	3001	 
Mycobacterium abscessus 5S-0421 (1001729.3)	1570_1, 4539_1, 4540_2	 	794_7	3311_8	17, 2818, 3083, 3905, 4643, 5202	 	1118_11	1830_15	 	1075_18, 1092_18	698	5116	3253	 
Mycobacterium abscessus 5S-0422 (1001731.3)	138_1, 139_2, 2138_1, 2215_1	 	1489_7	4181_8	243, 3690, 3954, 4773, 557, 582	 	1810_11	2471_15	 	1767_18, 1784_18	1395	471	4123	 
Mycobacterium abscessus 5S-0708 (1001730.3)	1787_1, 4282_1, 4283_2	 	1006_7	3035_8	2542, 2807, 3629, 4386, 472, 497	 	1331_11	4513_15	 	1288_18, 1305_18	910	386	2977	 
Mycobacterium abscessus 5S-0817 (1001735.3)	1352_1, 3908_1, 3909_2	 	573_7	2662_8	2172, 2435, 3253, 4013, 4576, 4601	 	899_11	5185_15	 	856_18, 873_18	478	4490	2604	 
Mycobacterium abscessus 5S-0921 (1001732.3)	2012_1, 5213_1, 5214_2	 	1232_7	3960_8	3472, 3733, 4555, 647, 672, 86	 	1556_11	2273_15	 	1513_18, 1530_18	1136	560	3902	 
Mycobacterium abscessus 5S-1212 (1001733.3)	4042_1, 4043_2, 52_1	 	948_7	2791_8	153, 178, 2301, 2564, 3383, 4147	 	1273_11	4594_15	 	1230_18, 1247_18	853	4838	2733	 
Mycobacterium abscessus 5S-1215 (1001734.3)	1067_1, 4310_1, 4311_2	 	1466_7	3136_8	2650, 2909, 3650, 4415, 5121, 5146	 	1139_11	4542_15	 	1165_18, 1182_18	1562	390	3078	 
Mycobacterium abscessus 6G-0125-R (1001740.3)	1546_1, 4158_1, 4159_2	 	3450_7, 4903_7, 617_7	2888_8	2467, 2667, 3391, 4266, 4895, 4928	 	1013_11	1762_15	 	974_18, 987_18	537	3990, 4797	2828	 
Mycobacterium abscessus 6G-0212 (1001739.3)	2538_1, 46_1, 47_2	 	1610_7, 4438_7, 791_7	3877_8	154, 3456, 3656, 4379, 783, 816	 	2008_11	2752_15	 	1968_18, 1981_18	1530	4980, 683	3817	 
Mycobacterium abscessus 9808 (1246644.3)	3268_1, 861_1, 862_2	 	1640_7, 2396_7	4092_8	1632, 1664, 189, 3849, 4979, 970	 	2708_11	3475_15	 	2670_18, 2683_18	2316	1473	4032	 
Mycobacterium abscessus M115 (1162287.3)	3974_1, 3975_2, 4317_1	 	1313_7, 3297_7	878_8	1305, 1337, 2614, 350, 3885, 4396	 	2890_11	2143_15	 	2917_18, 2934_18	3515	2841	935	 
Mycobacterium abscessus M139 (1175632.3)	1274_1, 3826_1, 3827_2	 	2177_7	579_8	168, 2542, 2567, 3168, 354, 3929	 	1850_11	1014_15	 	1877_18, 1894_18	2255	2668	521	 
Mycobacterium abscessus M152 (1176125.3)	4334_1, 4412_1, 4413_2	 	3258_7, 994_7	1770_8	1430, 1546, 2908, 3234, 3266, 4524, 4661	 	674_11	3538_15	 	702_18, 715_18	1965	2667	1711	 
Mycobacterium abscessus M154 (1162288.3)	1389_1, 1390_2, 20_1	 	1746_7, 3750_7	1173_8	1492, 2209, 2386, 2718, 3726, 3758	 	4562_11	141_15	 	4588_18, 4605_18	1831	3830	1231	 
Mycobacterium abscessus M156 (1185414.3)	2190_1, 4803_2, 4804_1	 	1541_7, 3523_7	2343_8	3009, 3155, 3499, 3531, 356, 4599	 	3985_11	1971_15	 	4011_18, 4028_18	1626	4707	2401	 
Mycobacterium abscessus M159 (1162285.3)	3664_2, 3665_1, 3763_1	 	455_7, 4797_7	2335_8	2601, 3240, 3906, 3907, 4614, 4712, 4806	 	2202_11	1623_15	 	2228_18, 2241_18	377	1092	2393	 
Mycobacterium abscessus M172 (1162286.3)	244_1, 4187_1, 4188_2	 	3060_7, 3631_7	1501_8	1741, 2059, 3622, 3655, 4291, 4660	 	2599_11	461_15	 	2625_18, 2642_18	3144	5109	1559	 
Mycobacterium abscessus M24 (1162284.3)	170_1, 1791_1, 1792_2	 	1172_7, 2356_7, 2357_7	2589_8	3313, 4527, 4611, 4756, 4974, 5589	 	5093_11	2530_15	 	5018_18, 5031_18	650	9	292	 
Mycobacterium abscessus M93 (1149134.5)	235_1, 4962_1, 4963_2	 	2935_7, 3951_7	1046_8	1275, 1531, 2911, 2943, 3382, 3745, 609	 	1389_11, 1390_11, 1510_11, 4348_11	2107_15	 	4310_18, 4323_18	3866	4535	1102	 
Mycobacterium abscessus M94 (1158135.4)	1245_1, 1246_2, 2259_1	 	1346_7, 672_7	3111_8	2070, 2471, 334, 3364, 4699, 648, 680	 	4683_11	1809_15	 	4439_18, 4453_18	3811	1028	4957	 
Mycobacterium abscessus subsp. bolletii 50594 (1303024.3)	2481_1, 93_1, 94_2	 	1725_7	3900_8	197, 3405, 3675, 4432, 890, 915	 	2019_11	2723_15	 	1980_18, 1993_18	1542	730	3843	 
Mycobacterium abscessus subsp. bolletii BD (1091046.3)	2320_1, 45_1, 46_2	 	1542_7, 724_7	3657_8	158, 3264, 3439, 4226, 716, 749	 	1850_11	2547_15	 	1808_18, 1825_18	1466	615	3599	 
Mycobacterium fortuitum subsp. fortuitum DSM 46621 (1214102.3)	2285_4, 2286_1, 5092_2, 5093_1, 5128_1, 5129_2	 	2533, 467_7	2533, 3121_8	2757, 4553, 5728, 668, 834, 961	 	3533_11, 4383_11	5116_15, 608_15	1332, 718	2283_18, 3583_18, 5406_18, 5921_18, 719_18	1309	3447	955	 
Rhodococcus erythropolis XP (1078016.3)	1935_1, 2351_1, 2352_2, 5250_2, 5251_1	437_5	1333_7, 2916_7, 5785_7	5814_8	2853, 3357, 3359, 4116, 6240	 	5550_11	1905_15	4782	5573_18, 5600_18, 5812_19	67	1061	3959	 
Brevibacterium casei S18 (1229781.4)	1402_1, 1403_2	2085_5	1978, 209_7	1978	1125, 1611, 1618, 2062, 520	 	 	2174_15	2392, 2673	607_18, 610_18	1568	1666	781	 
Brevibacterium massiliense 5401308 (1176165.3)	 	1738_5	1604_7	612_8	1301, 1461, 259, 326	 	 	358_15	788	941_18, 943_18	305	1871	2022	 
Brachybacterium paraconglomeratum LC44 (1064537.3)	1570_1, 1571_2	 	 	3073_8	1253, 2201, 52, 971	 	2313_11	1677_15	905	2552_18, 2560_18	629	2145	1170	 
Curtobacterium flaccumfaciens UCD-AKU (1292022.3)	126_1, 127_2, 56_1	 	 	 	1634, 2325, 2757, 3283	 	688_11	1145_15	 	2165_18, 2170_18	3268	2337	1216, 904	 
Microbacterium paraoxydans 77MFTsu3.2 (1151126.3)	1303_1, 1304_2	 	 	 	1464, 2573, 2807, 3287	 	 	1573_15	 	1190_18, 1196_18	2793	2481	1821	 
Kocuria palustris PEL (1236550.3)	24_2, 25_1	1678_5	428_7	840_8	1669, 2079, 2250, 318	 	 	 	322	1346_18, 1348_18	1628	794	985	 
Rothia aeria F0474 (1125724.3)	 	 	1387_7	 	1775, 759	 	 	1515_15	373	1862_18, 417_18	1923	642	1722	 
Rothia mucilaginosa M508 (563033.4)	 	 	77_7	 	405	 	 	188_15	836	1209_18, 678_18	1162	293	488	 
Propionibacterium acidipropionici ATCC 4875 (1171373.8)	1799_2, 1800_1	 	 	 	784	 	1927_11, 1934_11	2674_16	 	1190_18, 1198_18	2352	2664	2472	106_26_26_25, 106_26_26_25
Propionibacterium acnes C1 (1234380.3)	1226_1, 1227_2	 	1436_7	1648_8	951, 952	 	 	390_16	 	717_18, 725_18	1785	2093	1914	 
Propionibacterium acnes FZ1/2/0 (1276649.3)	1187_1, 1188_2	 	1382_7	 	911, 912	 	 	385_16	 	710_18, 718_18	1730	2033	1857	 
Propionibacterium acnes HL096PA1 (1134454.3)	1122_2, 1123_1	 	948_7	 	1395, 1396	 	 	423_16	 	1590_18, 1599_18	1755	2060	1884	 
Propionibacterium acnes PRP-38 (1136877.3)	1882_1, 1883_2, 898_2	 	2059_7	2266_8	1609, 1610	 	 	1099_16	 	1399_18, 1406_18	12	301	137	 
Propionibacterium avidum 44067 (1170318.3)	1083_2, 1084_1	 	915_7	702_8	 	 	 	1789_15	 	1520_18, 1528_18	527	239	407	 
Propionibacterium avidum ATCC 25577 (997355.3)	1174_2, 1787_2, 1788_1	 	1617_7	138_8	 	 	 	1406_15	 	2211_18, 2219_18	278	580	398	 
Propionibacterium propionicum F0230a (767029.3)	 	 	 	1087_8	1891, 2829	 	 	1016_15	 	1176_18, 1189_18, 2540_18	951	2481	2115	 
Bifidobacterium angulatum DSM 20098 = JCM 7096 (518635.7)	813_1, 814_1, 815_2	 	 	208_8	1255, 366, 37, 400	 	586_11	157_16	 	1142_18, 515_18	406	1186	437	 
Bifidobacterium animalis subsp. animalis ATCC 25527 (703613.4)	906_2, 907_1	 	 	10_8	1077, 1263, 1313, 268, 328, 853, 957	 	 	 	 	1211_18, 714_18	1256	622	581	 
Bifidobacterium animalis subsp. lactis B420 (1168290.3)	882_2, 883_1	 	 	10_8	1262, 1309, 258, 311	 	 	 	 	1209_18, 703_18	1254	600	558	 
Bifidobacterium animalis subsp. lactis BS 01 (911598.3)	935_2, 936_1	 	 	56_8	1322, 1369, 306, 360	 	 	 	 	1269_18, 755_18	1314	650	609	 
Bifidobacterium animalis subsp. lactis Bi-07 (742729.3)	881_2, 882_1	 	 	10_8	1262, 1309, 257, 310	 	 	 	 	1209_18, 703_18	1254	599	558	 
Bifidobacterium bifidum BGN4 (484020.3)	835_1, 836_2	 	 	17_8	1114, 1650, 235, 271, 307, 418	 	 	 	 	507_18, 676_18	437	1278	780	 
Bifidobacterium bifidum LMG 13195 (1207542.3)	1030_2, 1031_1	 	 	1370_8	124, 1240, 1253, 1906, 352, 665	 	 	 	 	1819_18, 7_18	1303	191	1667	 
Bifidobacterium breve CECT 7263 (1036735.3)	1780_1, 1781_2	 	 	1631_8	1332, 1873, 386, 402, 8, 855	 	 	 	 	910_18, 99_18	1262	815	865	 
Bifidobacterium breve DPC 6330 (1074482.3)	1708_1, 1709_2	 	 	751_8	1330, 1793, 1870, 213	 	 	 	 	1414_18, 316_18	1389	1318	1249	 
Bifidobacterium breve DSM 20213 = JCM 1192 (518634.7)	974_1, 975_2	 	 	83_8	1016, 1324, 1571, 1671, 548, 603	 	 	 	 	1728_18, 693_18	668	588	520	 
Bifidobacterium breve HPH0326 (1203540.3)	1880_2, 1881_1	 	 	83_8	1238, 1829, 634, 830, 942	 	 	 	 	1382_18, 1938_18	757	674	609	 
Bifidobacterium catenulatum DSM 16992 = JCM 1194 (566552.6)	807_2, 808_1	 	 	34_8	1439, 1492, 1571, 274	 	 	72_16	 	369_18, 548_18	327	1587	1232	 
Bifidobacterium longum subsp. infantis ATCC 15697 = JCM 1222 (391904.8)	1543_2, 1544_1	 	 	 	1497, 2016, 2372, 499, 608	 	 	 	 	1964_18, 853_18	789	2036	2100	 
Bifidobacterium longum subsp. longum 1-6B (1161744.3)	1641_2, 1642_1	 	 	2197_8	127, 1346, 1732, 2199	 	 	 	 	1869_18, 2130_18	621	1821	1970	 
Bifidobacterium longum subsp. longum 2-2B (1161745.3)	1850_1, 1851_2	 	 	723_8	1203, 1716, 231, 721	 	 	 	 	2121_18, 601_18	1652	390	1334	 
Bifidobacterium longum subsp. longum 35B (1161904.3)	79_2, 80_1	 	 	1269_8	1267, 649, 846, 878	 	 	 	 	2044_18, 443_18	545	1771	2005	 
Bifidobacterium longum subsp. longum 44B (1161743.3)	185_1, 186_2	 	 	320_8	1137, 1785, 2113, 318	 	 	 	 	11_18, 423_18	1499	472	542	 
Bifidobacterium longum subsp. longum CMCC P0001 (1266716.3)	1774_1, 1775_2	 	 	539_8	1228, 1413, 542	 	 	 	 	389_18, 48_18	666	722	780	 
Bifidobacterium pseudocatenulatum DSM 20438 = JCM 1200 (547043.8)	1145_1, 1146_2	 	 	1493_8	375, 427, 73, 772	 	 	1533_16	 	1352_18, 662_18	715	48	116	 
Bifidobacterium thermophilum RBL67 (1254439.12)	993_1, 994_2	 	 	10_8	1064, 1521, 340, 526, 66	 	 	1560_15	 	1773_18, 593_18	531	1194	1244	 
Atopobium minutum 10063974 (997872.3)	447_2	 	 	645_8	318, 537	 	 	437_15	 	1317_18, 626_19	328	282	1499	 
Collinsella tanakaei YIT 12063 (742742.3)	1236_2, 1237_1, 1786_2, 656_2	 	 	530_8	1497, 162, 1678, 1897, 2009, 703	 	 	1839_15	 	1234_19, 1238_19, 655_18	1302	1799	1030, 143	 
Slackia piriformis YIT 12062 (742818.3)	460_1	 	 	990_8	1690, 1931, 342	 	1764_11	 	 	1530_19, 458_19, 88_18	1135	318, 456	1938	 
Bacteroides fragilis ATCC 25285 (272559.3)	 	 	 	 	3344, 3376, 4017, 41	4054	2614_11	2651_16, 3866_15, 66_16	209	2236_18, 906_19	300	1208, 2328	 	 
Bacteroides caccae ATCC 43185 (411901.7)	413_2, 414_1	 	 	 	1501, 2472, 899	2872	412_11	1530_15, 158_15, 390_16	264	1823_19, 405_19, 618_18	3067	1908, 416	415	 
Bacteroides caccae CL03T12C61 (997873.3)	2259_1, 2260_2, 640_2	 	4453_6	 	1532, 4124, 91	4275	2261_11	112_15, 113_15, 2283_16, 3033_15	4702	1988_18, 2268_19, 687_19	3606	2258, 901	 	 
Bacteroides capillosus ATCC 29799 (411467.6)	1131_2, 1801_2, 2832_2, 2921_2, 2922_1, 725_1	 	 	1780_8	1572, 2746, 3556, 487	37	 	134_16	277	2697_18, 726_19	3598	3111, 727	3534	 
Bacteroides cellulosilyticus CL02T12C19 (997874.3)	444_2, 4674_1, 4675_2	 	2734_6, 2759_6_8	2759_6_8	2653, 3918, 4933	5099	4676_11	4703_15, 6324_15	1586, 3035	1261_18, 4692_19, 548_19	2448	4672, 585	4673	 
Bacteroides cellulosilyticus DSM 14838 (537012.5)	3629_1, 3630_2	 	4843_6_8, 4867_6, 4868_6	4843_6_8	1463, 2695, 3984, 691	770, 771	3631_11	184_16, 3657_16	397, 4715	3131_19, 3562_18, 3646_19	2272	3156, 3627	3628	 
Bacteroides clarus YIT 12056 (762984.3)	3058_2, 3059_1	 	2977_6, 2997_6_8	2997_6_8	2061, 2465, 873	2835	3057_11	1314_15, 2619_15, 3098_15	1464	1007_18, 2251_19, 3050_19	1608	1197, 3061	3060	 
Bacteroides coprocola DSM 17136 (470145.6)	1745_2, 2695_1, 2696_2	 	257_6, 272_6_8	272_6_8	1065, 3463	1578	2697_11	3587_16	 	1832_19, 2703_19	2830	196, 2818	2041	 
Bacteroides coprophilus DSM 18228 (547042.5)	2603_2, 2678_1	 	1903_6_8, 2995_6	1903_6_8	1003, 2628, 2953, 745	770	2679_11	2406_16	 	2682_19, 903_19	2173	2355, 2585	2479	 
Bacteroides dorei CL02T00C15 (997875.3)	1694_2, 1695_1, 4700_2	 	2490_6, 2497_6_8	2497_6_8	1002, 1327, 1507, 1508, 712	1540	1693_11	1597_16, 66_15	1820, 2596	4161_18, 5335_19, 77_19	3253	1697, 4644	1696	 
Bacteroides dorei CL02T12C06 (997876.3)	2583_2, 2584_1, 49_2	 	4673_6, 4680_6_8	4680_6_8	1036, 2221, 2397, 2398, 5039	2435	2582_11	2491_16, 389_15	1248, 2706	3751_18, 3793_19, 401_19	1909	2586, 4190	2585	 
Bacteroides dorei CL03T12C01 (997877.3)	2041_2, 2042_1, 3802_2	 	3693_6_8	3693_6_8	1354, 1541, 1693, 1861, 1862	1900	2040_11	1957_16, 740_15	2161, 2941	35_18, 3718_19, 752_19	3409	2044, 3946	2043	 
Bacteroides dorei DSM 17855 (483217.6)	762_2, 763_1	 	193_6_8	193_6_8	3273, 3426, 417, 600, 741	626	761_11	2960_15, 696_16	1693, 878	1420_19, 2172_18, 4116_19	4313	1174, 765	3574, 3583, 764	 
Bacteroides eggerthii 1_2_48FAA (665953.3)	3693_2, 3694_1	 	1768_6	 	1984, 2625, 3096, 3540	1915	3118_11, 3691_11	1224_15, 2956_15, 3132_15	482	2250_19, 2251_19, 3684_19, 4_18	712	3305, 3696	3695	 
Bacteroides eggerthii DSM 20697 (483216.6)	2420_1, 2421_2	 	 	 	113, 2121, 2686	195	1413_11, 2423_11	1253_15, 1427_16, 638_16	1875	1689_18, 2431_19, 973_19	3368	1109, 2418	2419	 
Bacteroides faecis MAJ27 (1077285.3)	3615_1, 3616_2	 	4420_6_8, 4424_6	4420_6_8	104, 1188, 1399, 3016, 3549, 3550, 3805, 3955, 894	4661	3617_11	307_15, 3641_15, 93_15	211	1810_19, 3271_18, 3626_19	1190	2138, 3613	3614	 
Bacteroides finegoldii DSM 17565 (483215.6)	1734_2, 1735_1	 	1412_6_8, 1421_6	1412_6_8	2034, 2659, 3436, 723	1612	1733_11	1709_16, 2916_15, 3425_16	3289	1725_19, 2813_18, 3640_19	2657	1737, 3048	1736	 
Bacteroides fluxus YIT 12057 (763034.3)	 	 	1166_6, 1185_6_8	1185_6_8	2246, 2657, 3161	254	906_11	1286_15, 3302_15	3392	1217_18, 1550_19	3055	3, 3336	3446	 
Bacteroides fragilis 3_1_12 (457424.5)	1614_1, 1615_2	 	3826_6_8, 3849_6	3826_6_8	2323, 3699, 4056, 854	3594	1616_11	1636_16, 4173_15	2519	1263_18, 1624_19, 1932_19	2472	1613, 2121	 	 
Bacteroides fragilis 638R (862962.3)	 	 	3555_6_8	3555_6_8	4469, 608	3819	2727_11	2759_16, 4247_15, 621_15	472	1041_19, 2400_18	526	1320, 2724	2725	 
Bacteroides fragilis CL03T00C08 (997878.3)	1044_2	 	3646_6_8	3646_6_8	2092, 4046, 4112, 571	3920	2573_11	2594_16, 4257_15	439	1078_19, 2277_18	488	1418, 2570	2571	 
Bacteroides fragilis CL03T12C07 (997879.3)	4536_2	 	2477_6_8	2477_6_8	1096, 2881, 3233, 410	2752	3715_11	264_15, 3736_16	965	3421_18, 4502_19	1013	3712, 4159	3713	 
Bacteroides fragilis CL05T00C42 (997880.3)	 	 	3488_6_8	3488_6_8	1441, 15, 2232, 3059, 624	2938	4418_11	1309_15, 2243_15, 4437_16	2103	1137_19, 3834_18	2149	4415, 841	4416	 
Bacteroides fragilis CL05T12C13 (997881.3)	973_2	 	2984_6_8	2984_6_8	1535, 2283, 3784, 3922, 571	4046	4228_11	3645_15, 4208_16, 583_16	441	1005_19, 3363_18	488	1310, 4231	4230	 
Bacteroides fragilis CL07T00C01 (997882.3)	1967_2	 	3580_6_8	3580_6_8	2386, 3221, 4077, 863	3894	94_11	3355_15, 76_16	2518	1935_19, 512_18	2468	1657, 97	96	 
Bacteroides fragilis CL07T12C05 (997883.3)	1073_2	 	3178_6_8	3178_6_8	2178, 3678, 4455, 656	3494	2944_11	2962_16, 4589_15	523	1105_19, 2528_18	572	1383, 2941	2942	 
Bacteroides fragilis HMW 610 (1073386.3)	3099_2, 853_1, 854_2	 	1857_6_8, 1882_6	1857_6_8	176, 2201, 2683, 3509, 4176, 446	2072	855_11	4023_15, 872_16	4300	3064_19, 490_18, 860_19	3612	2866, 852	 	 
Bacteroides fragilis HMW 615 (1073387.4)	239_2	 	3931_6_8, 3957_6	3931_6_8	1325, 4286, 4474, 620	4146	2544_11	1464_15, 2524_16	751	207_19, 2956_18	699	2547, 3290	2546, 3164	 
Bacteroides fragilis HMW 616 (1073388.3)	2085_1, 2086_2, 297_2	 	2986_6_8, 3010_6	2986_6_8	1241, 1540, 1648, 3380, 3866, 4546	3246	2087_11	2106_16, 3697_15	4411	1692_18, 2094_19, 332_19	4473	2084, 537	 	 
Bacteroides fragilis NCTC 9343 (272559.17)	 	 	 	 	3799, 3943, 4314, 534	3681	2673_11	2692_16, 4133_15, 546_16	389	2345_18, 945_19	440	1263, 2670	2671	 
Bacteroides fragilis YCH46 (295405.11)	1004_2	 	3465_6_8, 3488_6	3465_6_8	3787, 4237, 613	3663	2550_11	2569_16, 4070_15, 625_16	471	1032_19, 2181_18	517	1284, 2547	 	 
Bacteroides intestinalis DSM 17393 (471870.8)	1802_2, 1803_1	 	 	 	124, 2286, 450	263	1801_11	1778_16, 4532_16	2955, 3208	1789_19, 3465_18, 3950_19	575	1805, 3939	1804	 
Bacteroides massiliensis B84634 = Timone 84634 = DSM 17679 = JCM 13223 (1121098.4)	1184_2, 1336_1, 1337_2	 	1925_6_8, 1931_6	1925_6_8	1144, 2037, 3369	443	1338_11	1500_15, 2731_15	1754, 3495	1243_19, 1333_19, 1345_18	599	3474, 920	 	 
Bacteroides massiliensis dnLKV3 (1235788.3)	2022_2, 2023_1, 3741_2	 	2875_6, 3881_6_8	3881_6_8	1129, 2583, 2929, 4412, 8	1277	2021_11	1353_15, 1674_15	2132	1661_19, 1883_19, 3433_18	3080	2026, 3822	2025	 
Bacteroides nordii CL02T12C05 (997884.3)	1361_2, 2065_2, 2066_1	 	3902_6_8	3894_8, 3902_6_8	2453, 2473, 3499, 3720, 764, 925	3803	2064_11	2044_15, 4242_15, 941_15	847	1397_19, 2055_19, 2543_18	768	1641, 2068	2067	 
Bacteroides oleiciplenus YIT 12058 (742727.4)	120_2, 121_1, 1575_2	 	3339_6, 3386_6_8	3386_6_8	1783, 2993, 4692, 481, 5049, 784	3173	119_11	4577_15, 93_15	4066, 4815	1044_18, 106_19, 1449_19	1932	128, 1413	127	 
Bacteroides ovatus 3_8_47FAA (665954.3)	1324_1, 1325_2	 	4345_6, 4365_6_8	4365_6_8	2772, 3207, 3849, 3989, 4017	4199	1326_11	1360_15, 3_15, 3999_15	4465	1334_19, 2407_19, 905_18	2770	1322, 3313	1323	 
Bacteroides ovatus ATCC 8483 (411476.11)	3195_1, 3196_2	 	1721_6_8, 1933_6	1721_6_8	1419, 2522, 2550, 2992, 3460	2713	3197_11	2534_16, 3223_16, 704_15	602	252_18, 3206_19, 4383_19	2994	3193, 4573	3194	 
Bacteroides ovatus CL02T12C04 (997885.3)	129_2, 130_1, 2804_2	 	3872_6_8, 3894_6	3872_6_8	4343, 6130, 6159, 6287, 865	4042	128_11	101_16, 6147_15, 6428_15	5803	120_19, 2765_19, 536_18	4341	132, 2279	131	 
Bacteroides ovatus CL03T12C18 (997886.3)	1854_2, 2873_2, 2874_1	 	3574_6_8, 3585_6	3574_6_8	1224, 1464, 4061, 4091, 4852	3786	2872_11	2845_16, 4079_15, 88_15	5138	1893_19, 2863_19, 3243_18	1226	2295, 2876	2875	 
