Organism	ThiO	ThiG	TenI	ThiF	ThiE	ThiH	ThiI	ThiC	ThiD	ThiV	ThiXYZ	YkoCDE	CytX	ThiW	ThiU	ThiT	ThiBPQ	PnuT	HmpT
Collinsella stercoris DSM 13279 (445975.6)	 	 	 	 	1140_5_18	 	1264_21	1138_16	1140_5_18	 	740_44, 742_43, 743_25	 	 	 	 	 	 	 	 
Cryptobacterium curtum DSM 15641 (469378.5)	 	 	 	 	891_5	 	741_15	 	890_18	 	 	 	893	 	 	 	 	 	 
Eggerthella lenta DSM 2243 (479437.5)	 	1803	1801_3	1804_11, 1805_4	2125_5	1802	1713_15	 	2124_18	 	 	 	 	 	 	 	 	 	 
Eggerthella sp. 1_3_56FAA (665943.3)	 	2796	 	2797_13, 2798_4	2088_5, 2794_5	2795	2954_21	2090_16	2087_18	 	 	 	 	 	 	 	 	 	 
Eggerthella sp. YY7918 (502558.4)	 	 	 	 	897_5	1449	1340_21	895_16	898_18	 	 	 	 	 	 	 	 	 	 
Gordonibacter pamelaeae 7-10-1-b (657308.3)	 	 	 	 	 	 	2764_15	1585_16	1583_18	 	 	 	 	 	 	 	 	 	 
Olsenella uli DSM 7084 (633147.4)	 	 	 	 	 	 	993_20	 	 	 	685_44, 686_43, 687_42	 	 	 	 	 	 	 	 
Slackia exigua ATCC 700122 (649764.3)	 	 	 	 	443_5	 	245_21	 	442_18	 	 	 	1103	 	 	 	 	 	 
Actinomyces cardiffensis F0333 (888050.3)	 	 	 	1003_13	782_5	 	 	 	781_18	 	 	1552_29, 814_29, 815_26	 	 	 	 	675_38	 	 
Actinomyces graevenitzii C83 (435830.3)	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	1170_39, 1171_38	 	 
Actinomyces naeslundii str. Howell 279 (1115803.3)	 	 	 	827_13	440_5	 	 	 	439_18	 	1262_24, 1263_23	2648_26	 	 	 	 	1354_38	 	 
Actinomyces turicensis ACS-279-V-Col4 (883077.3)	 	 	 	 	295_5	 	 	 	294_18	 	 	325_29, 326_26	 	 	 	 	 	 	 
Corynebacterium aurimucosum ATCC 700975 (Prj:31451) (548476.7)	1963	1965	 	1964_4, 1966_11, 820_13	1962_5	 	 	1961_16	45_18	 	 	1525_29, 1526_26	 	 	 	 	 	 	 
Corynebacterium durum F0235 (1035195.3)	 	 	 	339_13	1076_5	 	 	 	 	 	 	117_26, 118_29, 119_28	 	 	 	 	 	 	 
Corynebacterium propinquum DSM 44285 (1121367.3)	304	306	 	305_4, 307_13, 528_13	 	 	 	1444_16	36_18	 	 	1858_28, 1859_29, 1860_26	 	 	 	 	 	 	 
Gordonia rubripertincta NBRC 101908 (1077975.4)	587	589	 	1721_13	586_5	 	 	2403_16	2402_18, 4490_18	 	2361_23	 	 	 	 	 	2560_38	 	 
Gordonia terrae C-6 (1316928.3)	3390	3388	 	3389_4, 3576_11	3391_5	 	 	4678_16	2147_18, 4522_18	 	2355_24, 77_23, 78_24, 79_25	 	 	 	 	 	968_38	 	 
Gordonia terrae NBRC 100016 (1089454.3)	1228	1226	 	1227_4, 4792_11	1229_5	 	 	 	1206_18, 54_18	 	3969_25, 3970_24, 3971_23, 662_24, 689_24	 	 	 	 	 	3874_38, 731_39	 	 
Mycobacterium avium subsp. paratuberculosis JQ6 (1112208.3)	1874	1872	 	1873_4, 2739_11	 	 	5006_21	1858_16	1859_18	 	 	 	 	 	 	 	 	 	 
Mycobacterium avium subsp. paratuberculosis MAP4 (1199187.3)	4140	4142	 	4141_4, 496_11	4139_5	 	2205_21	4155_16	4154_18	 	 	 	 	 	 	 	 	 	 
Mycobacterium avium subsp. paratuberculosis S5 (1247747.5)	4362	4364	 	3735_11, 4363_4	4361_5	 	2158_21	4378_16	4377_18	 	 	 	 	 	 	 	 	 	 
Mycobacterium abscessus 3A-0119-R (1001721.3)	4480	4478	 	3661_11, 4479_4	4481_5	 	 	4457_16	4458_18	 	 	 	 	 	 	 	 	 	 
Mycobacterium abscessus 3A-0122-R (1001715.3)	4516	4514	 	3688_11, 4515_4	4517_5	 	 	4493_16	4494_18	 	 	 	 	 	 	 	 	 	 
Mycobacterium abscessus 3A-0122-S (1001716.3)	4293	4291	 	3237_11, 4292_4	4294_5	 	 	4270_16	4271_18	 	 	 	 	 	 	 	 	 	 
Mycobacterium abscessus 3A-0731 (1001718.3)	4558	4556	 	3771_11, 4557_4	4559_5	 	 	4535_16	4536_18	 	 	 	 	 	 	 	 	 	 
Mycobacterium abscessus 3A-0810-R (1001717.3)	4483	4481	 	3697_11, 4482_4	4484_5	 	 	4460_16	4461_18	 	 	 	 	 	 	 	 	 	 
Mycobacterium abscessus 3A-0930-R (1001720.3)	4430	4428	 	3665_11, 4429_4	4431_5	 	 	4408_16	4409_18	 	 	 	 	 	 	 	 	 	 
Mycobacterium abscessus 3A-0930-S (1001719.3)	4356	4354	 	3597_11, 4355_4	4357_5	 	 	4334_16	4335_18	 	 	 	 	 	 	 	 	 	 
Mycobacterium abscessus 47J26 (1087483.3)	3197	3195	 	3196_4, 349_11	3198_5	 	 	3175_16	3176_18	 	 	 	 	 	 	 	 	 	 
Mycobacterium abscessus 4S-0116-R (1001725.3)	4043	4041	 	3324_11, 4042_4	4044_5	 	 	4020_16	4021_18	 	 	 	 	 	 	 	 	 	 
Mycobacterium abscessus 4S-0116-S (1001724.3)	3134	3132	 	2416_11, 3133_4	3135_5	 	 	3112_16	3113_18	 	 	 	 	 	 	 	 	 	 
Mycobacterium abscessus 4S-0206 (1001723.3)	4043	4041	 	3326_11, 4042_4	4044_5	 	 	4020_16	4021_18	 	 	 	 	 	 	 	 	 	 
Mycobacterium abscessus 4S-0303 (1001722.3)	4034	4032	 	3318_11, 4033_4	4035_5	 	 	4012_16	4013_18	 	 	 	 	 	 	 	 	 	 
Mycobacterium abscessus 4S-0726-RA (1001726.3)	3969	3967	 	3252_11, 3968_4	3970_5	 	 	3947_16	3948_18	 	 	 	 	 	 	 	 	 	 
Mycobacterium abscessus 4S-0726-RB (1001727.3)	3580	3578	 	2864_11, 3579_4	3581_5	 	 	3558_16	3559_18	 	 	 	 	 	 	 	 	 	 
Mycobacterium abscessus 5S-0304 (1001728.3)	3560	3558	 	2798_11, 3559_4	3561_5	 	 	3538_16	3539_18	 	 	 	 	 	 	 	 	 	 
Mycobacterium abscessus 5S-0421 (1001729.3)	3813	3811	 	3050_11, 3812_4	3814_5	 	 	3791_16	3792_18	 	 	 	 	 	 	 	 	 	 
Mycobacterium abscessus 5S-0422 (1001731.3)	4680	4678	 	3921_11, 4679_4	4681_5	 	 	4658_16	4659_18	 	 	 	 	 	 	 	 	 	 
Mycobacterium abscessus 5S-0708 (1001730.3)	3537	3535	 	2774_11, 3536_4	3538_5	 	 	3515_16	3516_18	 	 	 	 	 	 	 	 	 	 
Mycobacterium abscessus 5S-0817 (1001735.3)	3161	3159	 	2402_11, 3160_4	3162_5	 	 	3139_16	3140_18	 	 	 	 	 	 	 	 	 	 
Mycobacterium abscessus 5S-0921 (1001732.3)	4462	4460	 	3700_11, 4461_4	4463_5	 	 	4440_16	4441_18	 	 	 	 	 	 	 	 	 	 
Mycobacterium abscessus 5S-1212 (1001733.3)	3290	3288	 	2531_11, 3289_4	3291_5	 	 	3268_16	3269_18	 	 	 	 	 	 	 	 	 	 
Mycobacterium abscessus 5S-1215 (1001734.3)	3558	3556	 	2876_11, 3557_4	3559_5	 	 	3536_16	3537_18	 	 	 	 	 	 	 	 	 	 
Mycobacterium abscessus 6G-0125-R (1001740.3)	3313	3311	 	1149_13, 2609_11, 3312_4	3314_5	 	 	3290_16	3291_18	 	 	 	 	 	 	 	 	 	 
Mycobacterium abscessus 6G-0212 (1001739.3)	4300	4298	 	2143_13, 3598_11, 4299_4	4301_5	 	 	4277_16	4278_18	 	 	 	 	 	 	 	 	 	 
Mycobacterium abscessus 9808 (1246644.3)	108	106	 	107_4, 3791_11	109_5	 	 	85_16	86_18	 	 	 	 	 	 	 	 	 	 
Mycobacterium abscessus M115 (1162287.3)	443	445	 	4431_11, 444_4	442_5	 	 	466_16	465_18	 	 	 	 	 	 	 	 	 	 
Mycobacterium abscessus M139 (1175632.3)	4262	4264	 	323_11, 4263_4	4261_5	 	 	4285_16	4284_18	 	 	 	 	 	 	 	 	 	 
Mycobacterium abscessus M152 (1176125.3)	2258	2256	 	1487_11, 1873_14, 2257_4	2259_5	 	 	2236_16	2237_18	 	 	 	 	 	 	 	 	 	 
Mycobacterium abscessus M154 (1162288.3)	756	758	 	2353_11, 757_4	755_5	 	 	778_16	777_18	 	 	 	 	 	 	 	 	 	 
Mycobacterium abscessus M156 (1185414.3)	768	770	 	389_11, 769_4	767_5	 	 	790_16	789_18	 	 	 	 	 	 	 	 	 	 
Mycobacterium abscessus M159 (1162285.3)	1358	1356	 	1357_4, 3273_11	1359_5	 	 	1336_16	1337_18	 	 	 	 	 	 	 	 	 	 
Mycobacterium abscessus M172 (1162286.3)	1081	1083	 	1082_4, 1773_11	1080_5	 	 	1104_16	1103_18	 	 	 	 	 	 	 	 	 	 
Mycobacterium abscessus M24 (1162284.3)	1909	1907	 	1908_4, 5501_11	1910_5	 	 	1886_16	1887_18	 	 	 	 	 	 	 	 	 	 
Mycobacterium abscessus M93 (1149134.5)	4653	4655	 	1333_13, 4654_4	4652_5	 	 	4675_16	4674_18	 	 	 	 	 	 	 	 	 	 
Mycobacterium abscessus M94 (1158135.4)	256	254	 	255_4, 5125_11	257_5	 	 	233_16	234_18	 	 	 	 	 	 	 	 	 	 
Mycobacterium abscessus subsp. bolletii 50594 (1303024.3)	4349	4347	 	3641_11, 4348_4, 5237_14	4350_5	 	 	4327_16	4328_18	 	 	 	 	 	 	 	 	 	 
Mycobacterium abscessus subsp. bolletii BD (1091046.3)	4145	4143	 	3405_11, 4144_4	4146_5	 	 	4123_16	4124_18	 	 	 	 	 	 	 	 	 	 
Mycobacterium fortuitum subsp. fortuitum DSM 46621 (1214102.3)	1870	1872	 	1871_4, 2981_13, 3569_14	 	 	 	4800_16	3382_18, 4801_18	 	 	4481_28, 4482_29, 4483_26	 	 	 	 	4181_39	 	 
Rhodococcus erythropolis XP (1078016.3)	6295	6297	 	4242_11, 6296_4	6294_5	 	 	365_16	366_18	 	3151_23, 3153_24, 5968_23, 5969_24, 5970_25	 	 	 	 	 	 	 	 
Brevibacterium casei S18 (1229781.4)	285	283	 	282_13, 284_4, 534_13	286_5, 822_5	 	 	1492_16	821_18	 	 	2955_26, 2956_29, 2957_28	 	 	 	 	 	 	 
Brevibacterium massiliense 5401308 (1176165.3)	816	818	 	817_4, 819_13	2045_5	 	 	 	2044_18	 	 	245_26, 247_29, 248_28	 	 	 	 	 	 	 
Brachybacterium paraconglomeratum LC44 (1064537.3)	 	 	 	2097_13	294_5	 	 	 	2071_18, 297_18, 54_18	 	 	1182_26	 	 	 	 	 	 	 
Curtobacterium flaccumfaciens UCD-AKU (1292022.3)	 	 	 	 	2682_5	 	 	 	 	 	 	2147_29, 2148_26	 	 	 	 	 	 	 
Microbacterium paraoxydans 77MFTsu3.2 (1151126.3)	 	 	 	1642_13	 	 	 	 	 	 	 	2014_28, 2015_29, 2016_26, 2511_26, 2513_28, 2514_29	 	 	 	 	1388_39	 	 
Kocuria palustris PEL (1236550.3)	 	 	 	407_13	597_5	 	 	 	598_18	 	 	769_29	 	 	 	 	 	 	 
Rothia aeria F0474 (1125724.3)	1811	1813	 	1812_4, 1814_13, 786_13	1810_5	 	 	 	147_18	 	 	1803_28, 1804_29, 1805_26	 	 	 	 	 	 	 
Rothia mucilaginosa M508 (563033.4)	1308	1306	 	1305_11, 1307_4, 430_11	1309_5	 	 	 	1041_18	 	 	1314_26, 1315_29, 1316_28	 	 	 	 	 	 	 
Propionibacterium acidipropionici ATCC 4875 (1171373.8)	 	187	 	186_4, 188_11	283_5	 	 	 	2391_18, 282_18	 	1884_23, 1885_24	 	 	 	 	 	2775_40, 2776_39, 2777_38	 	 
Propionibacterium acnes C1 (1234380.3)	559	557	 	556_11, 558_4	122_5, 968_5	 	 	 	120_18, 1825_18	 	 	178_26	 	 	 	 	 	 	 
Propionibacterium acnes FZ1/2/0 (1276649.3)	552	550	 	549_11, 551_4	123_5, 926_5	 	 	 	121_18	 	 	 	 	 	 	 	 	 	 
Propionibacterium acnes HL096PA1 (1134454.3)	589	587	 	586_11, 588_4	125_5, 1380_5	 	 	 	123_18, 1794_18	 	 	213_29_28, 213_29_28	 	 	 	 	 	 	 
Propionibacterium acnes PRP-38 (1136877.3)	1255	1253	 	1252_11, 1254_4	1628_5, 840_5	 	 	 	838_18	 	 	891_26, 892_29_28, 892_29_28	 	 	 	 	 	 	 
Propionibacterium avidum 44067 (1170318.3)	 	 	 	 	1357_5, 2061_5	 	 	 	2064_18, 488_18	 	 	2020_29_28, 2020_29_28, 2021_26	 	 	 	 	 	 	 
Propionibacterium avidum ATCC 25577 (997355.3)	 	 	 	 	1128_5, 2045_5	 	 	 	1125_18, 317_18	 	 	1168_26, 1169_29_28, 1169_29_28	 	 	 	 	 	 	 
Propionibacterium propionicum F0230a (767029.3)	 	 	 	771_13	852_5	 	 	 	851_18	 	 	240_29_28, 240_29_28, 241_26, 836_26	 	 	 	 	 	 	 
Bifidobacterium angulatum DSM 20098 = JCM 7096 (518635.7)	 	67	 	65_4, 66_11	541_16_5	 	 	541_16_5	540_18	 	426_24	1004_26, 1136_29, 1143_28, 1144_29, 1145_26	 	 	 	 	 	 	 
Bifidobacterium animalis subsp. animalis ATCC 25527 (703613.4)	 	 	 	 	1230_16_5	 	 	1230_16_5	 	 	1235_24	529_26, 723_26, 724_29	 	 	 	 	1024_40	 	 
Bifidobacterium animalis subsp. lactis B420 (1168290.3)	 	 	 	 	1229_5_18	 	 	 	1229_5_18	 	1234_24	 	 	 	 	 	1006_39, 1007_38, 1008_40	 	 
Bifidobacterium animalis subsp. lactis BS 01 (911598.3)	 	 	 	 	1289_5_18	 	 	 	1289_5_18	 	1294_24	 	 	 	 	 	1061_39, 1062_38, 1063_40	 	 
Bifidobacterium animalis subsp. lactis Bi-07 (742729.3)	 	 	 	 	1229_5_18	 	 	 	1229_5_18	 	1234_24	713_26	 	 	 	 	1006_39, 1007_38, 1008_40	 	 
Bifidobacterium bifidum BGN4 (484020.3)	 	1753	 	1752_4, 421_11	454_16_5	 	 	454_16_5	451_18	 	178_24	 	 	 	 	 	 	 	 
Bifidobacterium bifidum LMG 13195 (1207542.3)	 	517	 	1920_11, 518_4	1319_16_5, 1320_16_5	 	 	1319_16_5, 1320_16_5	1316_18	 	1467_24	 	 	 	 	 	 	 	 
Bifidobacterium breve CECT 7263 (1036735.3)	 	73	 	72_11, 74_4	1914_16_5	 	 	1914_16_5	1916_18	 	1245_23, 1246_24	1531_26, 92_28, 93_29	 	 	 	 	235_39	 	 
Bifidobacterium breve DPC 6330 (1074482.3)	 	1441	 	1440_4, 1442_11	1843_16_5	 	 	1843_16_5	1845_18	 	1405_24, 1406_23	1420_29, 1421_28, 1906_26	 	 	 	 	1075_39	 	 
Bifidobacterium breve DSM 20213 = JCM 1192 (518634.7)	 	719	 	718_4, 720_11, 721_11	1698_16_5	 	 	1698_16_5	1696_18	 	684_24	1632_26, 699_29, 700_28	 	 	 	 	350_39	 	 
Bifidobacterium breve HPH0326 (1203540.3)	 	1960	 	1959_4, 1961_11	803_16_5	 	 	803_16_5	805_18	 	773_24	1944_29, 1945_28, 865_26	 	 	 	 	425_39	 	 
Bifidobacterium catenulatum DSM 16992 = JCM 1194 (566552.6)	 	106	 	107_11, 108_4	351_5, 734_16_5	 	 	734_16_5	350_18	 	346_24	540_26, 541_29, 542_28, 693_26	 	 	 	 	 	 	 
Bifidobacterium longum subsp. infantis ATCC 15697 = JCM 1222 (391904.8)	 	1943	 	1941_11, 1942_11, 1944_4	817_5	 	 	 	815_18	 	808_24	697_26	 	 	 	 	332_39	 	 
Bifidobacterium longum subsp. longum 1-6B (1161744.3)	 	1891	 	1890_4, 1892_11, 1893_11	652_16_5	 	 	652_16_5	650_18	 	641_24	1874_26, 1875_29, 1876_28, 951_26	 	 	 	 	975_39	 	 
Bifidobacterium longum subsp. longum 2-2B (1161745.3)	 	2099	 	2097_11, 2098_11, 2100_4	1680_16_5	 	 	1680_16_5	1678_18	 	1670_24	1043_26, 2114_28, 2115_29, 2116_26	 	 	 	 	569_39	 	 
Bifidobacterium longum subsp. longum 35B (1161904.3)	 	 	 	1384_11, 1385_11, 422_4	573_16_5	 	 	573_16_5	571_18	 	563_24	436_28, 437_29, 438_26, 943_26	 	 	 	 	1846_39	 	 
Bifidobacterium longum subsp. longum 44B (1161743.3)	 	401	 	399_11, 400_11, 402_4	1469_16_5	 	 	1469_16_5	1471_18	 	1480_24	416_28, 417_29, 418_26, 907_26	 	 	 	 	1007_39	 	 
Bifidobacterium longum subsp. longum CMCC P0001 (1266716.3)	 	69	 	68_4, 70_11	698_5	 	 	 	696_18	 	685_24	304_26, 53_26, 54_29, 55_28	 	 	 	 	166_39	 	 
Bifidobacterium pseudocatenulatum DSM 20438 = JCM 1200 (547043.8)	 	1579	 	1580_11, 1581_4	1163_16_5, 691_5	 	 	1163_16_5	692_18	 	697_24, 698_23	1203_26, 1357_28, 1358_28, 1359_29, 1360_26, 166_26	 	 	 	 	435_39	 	 
Bifidobacterium thermophilum RBL67 (1254439.12)	 	142	 	143_13, 144_4	560_5	 	 	 	559_18, 711_18	 	516_24, 807_24, 809_23	1294_26, 1765_29, 1766_26, 1767_26	 	 	 	 	877_39	 	 
Atopobium minutum 10063974 (997872.3)	 	 	 	 	 	 	810_21	 	 	 	620_44, 621_43, 622_42	 	 	 	 	 	 	 	 
Collinsella tanakaei YIT 12063 (742742.3)	 	 	 	 	 	 	251_20	 	 	 	681_25, 682_43, 683_24	 	 	 	 	 	 	 	 
Slackia piriformis YIT 12062 (742818.3)	 	 	 	 	1151_5	 	1031_21	27_16	1150_18	 	 	 	 	 	 	 	 	 	 
Bacteroides fragilis ATCC 25285 (272559.3)	 	2381	2386_3	2379_4, 2385_11	2380_5	2384, 3266	 	2382_16	2210_18	 	 	 	 	 	 	 	 	85	 
Bacteroides caccae ATCC 43185 (411901.7)	 	799	803_3	3445_11, 797_4, 802_11	798_5	3580, 801	 	800_16	610_18	 	 	 	 	 	 	 	 	1535	 
Bacteroides caccae CL03T12C61 (997873.3)	 	1701	1697_3	1698_11, 1703_4	1702_5	1699, 2918	 	1700_16	1996_18	 	2800_25	 	 	 	 	 	 	119	 
Bacteroides capillosus ATCC 29799 (411467.6)	 	 	 	 	 	 	461_21	 	 	 	 	1304_28, 1305_29, 1306_26, 1313_29, 1314_29	 	 	 	385	 	 	 
Bacteroides cellulosilyticus CL02T12C19 (997874.3)	 	 	3897_3, 4827_3	 	4845_5	1453	 	4844_16	4826_18	 	 	 	 	 	 	 	 	6474	 
Bacteroides cellulosilyticus DSM 14838 (537012.5)	 	 	3964_3	 	927_5, 930_5	355	 	929_16	926_18	 	 	 	 	 	 	 	 	193	 
Bacteroides clarus YIT 12056 (762984.3)	 	743	 	1094_11, 741_4, 746_11	742_5, 747_5	745	 	744_16	748_18	 	 	 	 	 	 	 	 	2626	 
Bacteroides coprocola DSM 17136 (470145.6)	 	1734	1730_3	1731_13, 1736_4	1735_5	1732, 2574	 	1733_16	1455_18, 2075_18	 	 	 	 	 	 	 	 	 	 
Bacteroides coprophilus DSM 18228 (547042.5)	 	1273	1269_3	1270_11, 1275_4	1274_5	1271	 	1272_16	715_18, 716_18	 	 	 	 	 	 	 	 	459	 
Bacteroides dorei CL02T00C15 (997875.3)	 	4168	 	4166_4, 4173_11	4167_5, 4176_5	2365, 4172	 	4169_16	1709_18	 	 	 	 	 	 	 	 	4696	 
Bacteroides dorei CL02T12C06 (997876.3)	 	3758	3766_3	3756_4, 3763_11	3757_5	3762, 4547	 	3759_16	2598_18	 	 	 	 	 	 	 	 	45	 
Bacteroides dorei CL03T12C01 (997877.3)	 	28	 	23_11, 30_4	20_5, 29_5	24	 	27_16	2056_18	 	 	 	 	 	 	 	 	3798	 
Bacteroides dorei DSM 17855 (483217.6)	 	2166	2159_3	2161_11, 2168_4	2167_5	2162, 79	 	2165_16	777_18	 	 	 	 	 	 	 	 	1354	 
Bacteroides eggerthii 1_2_48FAA (665953.3)	 	3510	 	3508_4, 3513_11	3509_5, 3514_5	3512	 	3511_16	3515_18	 	 	 	 	 	 	 	 	1229	 
Bacteroides eggerthii DSM 20697 (483216.6)	 	2215	2211_3	2212_11, 2217_4	2216_5	2213	 	2214_16	2210_18	 	 	 	 	 	 	 	 	643	 
Bacteroides faecis MAJ27 (1077285.3)	 	3492	 	3490_4, 3495_13	3491_5, 3496_5	3494, 4312	 	3493_16	3266_18	 	 	 	 	 	 	 	 	86	 
Bacteroides finegoldii DSM 17565 (483215.6)	 	2692	2688_3	2689_11, 2694_4	2693_5	2690, 418	 	2691_16	374_18	 	 	 	 	 	 	 	 	3420	 
Bacteroides fluxus YIT 12057 (763034.3)	 	1970	3150_3	1967_11, 1972_4	1966_5, 1971_5	1968, 3273	 	1969_16	1965_18	 	 	 	 	 	 	 	 	1292	 
Bacteroides fragilis 3_1_12 (457424.5)	 	1495	1500_3	1493_4, 1499_11	1494_5	1498, 3649	 	1496_16	1315_18	 	 	 	 	 	 	 	 	2302	 
Bacteroides fragilis 638R (862962.3)	 	2615	2620_3	2613_4, 2619_11	2614_5	2618, 3877	 	2616_16	2409_18	 	 	 	 	 	 	 	 	628	 
Bacteroides fragilis CL03T00C08 (997878.3)	 	2471	2476_3	2469_4, 2475_11	2470_5	2474	 	2472_16	2287_18	 	 	 	 	 	 	 	 	591	 
Bacteroides fragilis CL03T12C07 (997879.3)	 	3613	3618_3	3611_4, 3617_11	3612_5	3616	 	3614_16	3430_18	 	 	 	 	 	 	 	 	1116	 
Bacteroides fragilis CL05T00C42 (997880.3)	 	4321	4326_3	4319_4, 4325_11	4320_5	4324	 	4322_16	3826_18	 	 	 	 	 	 	 	 	2250	 
Bacteroides fragilis CL05T12C13 (997881.3)	 	4327	4322_3	4323_11, 4329_4	4328_5	4324	 	4326_16	3354_18	 	 	 	 	 	 	 	 	590	 
Bacteroides fragilis CL07T00C01 (997882.3)	 	199	194_3	195_11, 201_4	200_5	196, 4010	 	198_16	503_18	 	 	 	 	 	 	 	 	2367	 
Bacteroides fragilis CL07T12C05 (997883.3)	 	2840	2845_3	2838_4, 2844_11	2839_5	2843, 3610	 	2841_16	2537_18	 	 	 	 	 	 	 	 	676	 
Bacteroides fragilis HMW 610 (1073386.3)	 	741	 	739_4, 745_11	740_5, 746_5	2140, 744	 	742_16	500_18	 	 	 	 	 	 	 	 	3487	 
Bacteroides fragilis HMW 615 (1073387.4)	 	2728	 	2724_11, 2730_4	2723_5, 2729_5	2725	 	2727_16	2947_18	 	 	 	 	 	 	 	 	601	 
Bacteroides fragilis HMW 616 (1073388.3)	 	1972	 	1970_4, 1976_11	1971_5, 1977_5	1975, 3319	 	1973_16	1703_18	 	 	 	 	 	 	 	 	4567	 
Bacteroides fragilis NCTC 9343 (272559.17)	 	2569	2574_3	2567_4, 2573_11	2568_5	2572, 3745	 	2570_16	2355_18	 	 	 	 	 	 	 	 	553	 
Bacteroides fragilis YCH46 (295405.11)	 	2436	2443_3	2434_4, 2442_11	2435_5	2441, 3738	 	2438_16	2191_18	 	 	 	 	 	 	 	 	631	 
Bacteroides intestinalis DSM 17393 (471870.8)	 	 	2299_3, 61_3	 	65_5	3339	 	 	60_18	 	 	 	 	 	 	 	 	4523	 
Bacteroides massiliensis B84634 = Timone 84634 = DSM 17679 = JCM 13223 (1121098.4)	 	1328	 	1323_11, 1330_4	1322_5, 1329_5	1324, 2143	 	1327_16	3489_18	 	 	 	 	 	 	 	 	1186	 
Bacteroides massiliensis dnLKV3 (1235788.3)	 	3440	 	3438_4, 3445_11	3439_5, 3446_5	3444, 4173	 	3441_16	2035_18	 	 	 	 	 	 	 	 	 	 
Bacteroides nordii CL02T12C05 (997884.3)	 	2831	 	2829_4, 2835_13	2830_5, 2836_5	2834, 3015	 	2832_16	2555_18	 	 	 	 	 	 	 	 	947	 
Bacteroides oleiciplenus YIT 12058 (742727.4)	 	 	 	 	2914_5, 2917_5, 798_5	5065	 	2916_16	2913_18	 	 	 	 	 	 	 	 	4567	 
Bacteroides ovatus 3_8_47FAA (665954.3)	 	1113	1117_3	1111_4, 1116_11	1112_5	1115	 	1114_16	893_18	 	 	 	 	 	 	 	 	4004	 
Bacteroides ovatus ATCC 8483 (411476.11)	 	114	110_3	111_11, 116_4	115_5	112, 3907	 	113_16	263_18	 	 	 	 	 	 	 	 	2539	 
Bacteroides ovatus CL02T12C04 (997885.3)	 	335	331_3	332_11, 337_4	336_5	333, 3739	 	334_16	548_18	 	 	 	 	 	 	 	 	6142	 
Bacteroides ovatus CL03T12C18 (997886.3)	 	3047	3043_3	3044_11, 3049_4	3048_5	3045	 	3046_16	3255_18	 	 	 	 	 	 	 	 	4074	 
Bacteroides ovatus SD CC 2a (702444.3)	 	642	647_3	640_4, 646_11	641_5	1607, 645	 	643_16, 644_16	4041_18	 	 	 	 	 	 	 	 	2891	 
Bacteroides pectinophilus ATCC 43243 (483218.5)	 	 	2927_3	2459_11, 2460_4	2370_5	 	1974_15	 	2371_18	 	 	 	 	2930	 	 	 	 	 
Bacteroides plebeius DSM 17135 (484018.6)	 	3123	 	3120_13, 3125_4	3080_5, 3124_5	1444, 3121	 	3122_16	1437_18, 2612_18	 	 	 	 	 	 	 	 	411	 
Bacteroides salyersiae CL02T12C01 (997887.3)	 	3316	 	3314_4, 3320_11	3315_5, 3321_5	3319, 3470	 	3317_16	3111_18	 	 	 	 	 	 	 	 	868	 
Bacteroides salyersiae WAL 10018 = DSM 18765 = JCM 12988 (1121101.3)	 	3254	 	3250_11, 3256_4	3249_5, 3255_5	2407, 3251	 	3253_16	3437_18	 	 	 	 	 	 	 	 	1300	 
Bacteroides sp. 1_1_14 (469585.3)	 	2352	2348_3	2349_13, 2354_4	2353_5	2350	 	2351_16	2545_18	 	 	 	 	 	 	 	 	4906	 
Bacteroides sp. 1_1_30 (457387.3)	 	3313	3317_3	3311_4, 3316_13	3312_5	3315	 	3314_16	171_18	 	 	 	 	 	 	 	 	818	 
Bacteroides sp. 1_1_6 (469586.3)	 	878	 	876_4, 881_13	877_5, 882_5	880	 	879_16	675_18	 	 	 	 	 	 	 	 	4365	 
Bacteroides sp. 20_3 (469591.4)	 	 	 	 	2694_5, 2695_5	 	 	2696_16	2693_18	 	 	 	 	 	 	 	 	600	 
Bacteroides sp. 2_1_22 (469588.3)	 	1946	1942_3	1943_11, 1948_4	1947_5	1944, 4214	 	1945_16	2079_18	 	 	 	 	 	 	 	 	1215	 
Bacteroides sp. 2_1_33B (469589.3)	 	 	 	 	478_5, 479_5	 	 	480_16	477_18	 	 	 	 	 	 	 	 	1885	 
Bacteroides sp. 2_1_7 (457388.5)	 	 	 	 	1283_5, 1284_5	 	 	1285_16	1282_18	 	 	 	 	 	 	 	 	932	 
Bacteroides sp. 2_2_4 (469590.5)	 	3911, 3912	3907_3	3908_11, 3914_4	3913_5	3909	 	3910_16	4560_18	 	 	 	 	 	 	 	 	5163	 
Bacteroides sp. 3_1_19 (469592.4)	 	 	 	 	1834_5, 1835_5	 	 	1833_16	1836_18	 	 	 	 	 	 	 	 	415	 
Bacteroides sp. 3_1_23 (457390.3)	 	751	755_3	749_4, 754_11	750_5	753	 	752_16	442_18	 	 	 	 	 	 	 	 	3191	 
Bacteroides sp. 3_1_33FAA (457391.3)	 	2438	2430_3	2433_11, 2440_4	2439_5	2434	 	2437_16	1552_18	 	 	 	 	 	 	 	 	3787	 
