Organism	Tor	Dms	Ynf
Rudanella lutea DSM 19387 (1089547.3)	 	 	 
Capnocytophaga ochracea DSM 7271 (521097.5)	 	 	 
Capnocytophaga ochracea F0287 (873517.3)	 	 	 
Capnocytophaga sputigena ATCC 33612 (553177.6)	 	 	 
Capnocytophaga granulosa ATCC 51502 (641143.3)	 	 	 
Capnocytophaga ochracea str. Holt 25 (1125719.3)	 	 	 
Dyadobacter fermentans DSM 18053 (471854.5)	 	 	 
Spirosoma linguale DSM 74 (504472.7)	 	 	 
Akkermansia muciniphila ATCC BAA-835 (349741.6)	 	 	 
Escherichia coli TY-2482.contig.20110606 (6666666.5522)	1339_2, 1340_7, 1341_11, 341_9, 342_3	1381_19, 1382_17, 1383_14	2549_28, 2550_26, 2551_25, 4230_28, 4231_29, 4232_30
Bacillus cereus BDRD-ST26 (526975.3)	 	 	 
Bacillus cereus BGSC 6E1 (526970.3)	 	 	 
Bacillus cereus F65185 (526989.3)	 	 	 
Bacillus cereus Rock1-15 (526982.3)	 	 	 
Bacillus cereus 03BB102 (572264.4)	 	 	 
Bacillus cereus 172560W (526967.3)	 	 	 
Bacillus cereus 95/8201 (526979.3)	 	 	 
Bacillus cereus AH1134 (405533.4)	 	 	 
Bacillus cereus AH1271 (526992.3)	 	 	 
Bacillus cereus AH1272 (526993.3)	 	 	 
Bacillus cereus AH187 (405534.9)	 	 	 
Bacillus cereus AH603 (526990.3)	 	 	 
Bacillus cereus AH621 (526972.3)	 	 	 
Bacillus cereus AH676 (526991.3)	 	 	 
Bacillus cereus AH820 (405535.8)	 	 	 
Bacillus cereus AND1407 (1053166.3)	 	 	 
Bacillus cereus ATCC 10876 (526980.3)	 	 	 
Bacillus cereus ATCC 10987 (222523.6)	 	 	 
Bacillus cereus ATCC 4342 (526977.3)	 	 	 
Bacillus cereus B4264 (405532.5)	 	 	 
Bacillus cereus B5-2 (1085389.3)	 	 	 
Bacillus cereus BAG1O-1 (1053167.3)	 	 	 
Bacillus cereus BAG1O-2 (1053168.3)	 	 	 
Bacillus cereus BAG1O-3 (1053169.3)	 	 	 
Bacillus cereus BAG1X1-1 (1053170.3)	 	 	 
Bacillus cereus BAG1X1-2 (1053171.3)	 	 	 
Bacillus cereus BAG1X1-3 (1053172.3)	 	 	 
Bacillus cereus BAG1X2-1 (1053173.3)	 	 	 
Bacillus cereus BAG1X2-2 (1053174.3)	 	 	 
Bacillus cereus BAG1X2-3 (1053175.3)	 	 	 
Bacillus cereus BAG2O-1 (1053176.3)	 	 	 
Bacillus cereus BAG2O-2 (1053177.3)	 	 	 
Bacillus cereus BAG2O-3 (1053178.3)	 	 	 
Bacillus cereus BAG2X1-1 (1053179.3)	 	 	 
Bacillus cereus BAG2X1-2 (1053180.3)	 	 	 
Bacillus cereus BAG2X1-3 (1053181.3)	 	 	 
Bacillus cereus BAG3O-1 (1085388.3)	 	 	 
Bacillus cereus BAG3O-2 (1053182.3)	 	 	 
Bacillus cereus BAG3X2-1 (1053183.3)	 	 	 
Bacillus cereus BAG3X2-2 (1053184.3)	 	 	 
Bacillus cereus BAG4O-1 (1053185.3)	 	 	 
Bacillus cereus BAG4X12-1 (1053186.3)	 	 	 
Bacillus cereus BAG4X2-1 (1053187.3)	 	 	 
Bacillus cereus BAG5O-1 (1053188.3)	 	 	 
Bacillus cereus BAG5X1-1 (1053189.3)	 	 	 
Bacillus cereus BAG5X12-1 (1053190.3)	 	 	 
Bacillus cereus BAG5X2-1 (1053191.3)	 	 	 
Bacillus cereus BAG6O-1 (1053192.3)	 	 	 
Bacillus cereus BAG6O-2 (1053193.3)	 	 	 
Bacillus cereus BAG6X1-1 (1053194.3)	 	 	 
Bacillus cereus BAG6X1-2 (1053195.3)	 	 	 
Bacillus cereus BDRD-Cer4 (526978.3)	 	 	 
Bacillus cereus BDRD-ST196 (526976.3)	 	 	 
Bacillus cereus BDRD-ST24 (526974.3)	 	 	 
Bacillus cereus BMG1.7 (1053196.3)	 	 	 
Bacillus cereus BtB2-4 (1053197.3)	 	 	 
Bacillus cereus CER057 (1053198.3)	 	 	 
Bacillus cereus CER074 (1053199.3)	 	 	 
Bacillus cereus E33L (288681.15)	 	 	 
Bacillus cereus FRI-35 (1217984.3)	 	 	 
Bacillus cereus G9842 (405531.7)	 	 	 
Bacillus cereus H-hrb01 (1225787.3)	 	 	 
Bacillus cereus HD73 (1053200.3)	 	 	 
Bacillus cereus HuA2-1 (1053201.3)	 	 	 
Bacillus cereus HuA2-3 (1053202.3)	 	 	 
Bacillus cereus HuA2-4 (1053203.3)	 	 	 
Bacillus cereus HuA2-9 (1053204.3)	 	 	 
Bacillus cereus HuA3-9 (1053205.3)	 	 	 
Bacillus cereus HuA4-10 (1053206.3)	 	 	 
Bacillus cereus HuB1-1 (1053207.3)	 	 	 
Bacillus cereus HuB13-1 (1053208.3)	 	 	 
Bacillus cereus HuB2-9 (1053209.3)	 	 	 
Bacillus cereus HuB4-10 (1053210.3)	 	 	 
Bacillus cereus HuB4-4 (1053211.3)	 	 	 
Bacillus cereus HuB5-5 (1053212.3)	 	 	 
Bacillus cereus IS075 (718220.3)	 	 	 
Bacillus cereus IS195 (1053213.3)	 	 	 
Bacillus cereus IS845/00 (1053214.3)	 	 	 
Bacillus cereus ISP2954 (1053215.3)	 	 	 
Bacillus cereus ISP3191 (1053216.3)	 	 	 
Bacillus cereus K-5975c (1053217.3)	 	 	 
Bacillus cereus LCT-BC244 (1163722.3)	 	 	 
Bacillus cereus MC118 (1053218.3)	 	 	 
Bacillus cereus MC67 (1053219.3)	 	 	 
Bacillus cereus MM3 (526971.3)	 	 	 
Bacillus cereus MSX-A1 (1053220.3)	 	 	 
Bacillus cereus MSX-A12 (1053221.3)	 	 	 
Bacillus cereus MSX-D12 (1053222.3)	 	 	 
Bacillus cereus NC7401 (334406.4)	 	 	 
Bacillus cereus Q1 (361100.6)	 	 	 
Bacillus cereus R309803 (526968.3)	 	 	 
Bacillus cereus Rock1-3 (526981.3)	 	 	 
Bacillus cereus Rock3-29 (526984.3)	 	 	 
Bacillus cereus Rock3-42 (526985.3)	 	 	 
Bacillus cereus Rock4-18 (526988.3)	 	 	 
Bacillus cereus SJ1 (699184.4)	 	 	 
Bacillus cereus TIAC219 (718222.3)	 	 	 
Bacillus cereus VD014 (1053223.3)	 	 	 
Bacillus cereus VD021 (1053224.3)	 	 	 
Bacillus cereus VD022 (718223.3)	 	 	 
Bacillus cereus VD045 (1053225.3)	 	 	 
Bacillus cereus VD048 (1053226.3)	 	 	 
Bacillus cereus VD078 (1053227.3)	 	 	 
Bacillus cereus VD102 (1053228.3)	 	 	 
Bacillus cereus VD107 (1053229.3)	 	 	 
Bacillus cereus VD115 (1053230.3)	 	 	 
Bacillus cereus VD118 (1053231.3)	 	 	 
Bacillus cereus VD131 (1053232.3)	 	 	 
Bacillus cereus VD133 (1053233.3)	 	 	 
Bacillus cereus VD136 (1053234.3)	 	 	 
Bacillus cereus VD140 (1053235.3)	 	 	 
Bacillus cereus VD142 (718224.3)	 	 	 
Bacillus cereus VD146 (1053236.3)	 	 	 
Bacillus cereus VD148 (1053237.3)	 	 	 
Bacillus cereus VD154 (1053238.3)	 	 	 
Bacillus cereus VD156 (1053239.3)	 	 	 
Bacillus cereus VD166 (1053240.3)	 	 	 
Bacillus cereus VD169 (1053241.3)	 	 	 
Bacillus cereus VD184 (1053242.3)	 	 	 
Bacillus cereus VD196 (1053243.3)	 	 	 
Bacillus cereus VD200 (1053244.3)	 	 	 
Bacillus cereus VD214 (1053245.3)	 	 	 
Bacillus cereus VDM006 (1085379.3)	 	 	 
Bacillus cereus VDM019 (1053246.3)	 	 	 
Bacillus cereus VDM021 (1085386.3)	 	 	 
Bacillus cereus VDM022 (1053247.3)	 	 	 
Bacillus cereus VDM034 (1053248.3)	 	 	 
Bacillus cereus VDM053 (1053249.3)	 	 	 
Bacillus cereus VDM062 (1053250.3)	 	 	 
Bacillus cereus biovar anthracis str. CI (637380.6)	 	 	 
Bacillus cereus m1293 (526973.3)	 	 	 
Bacillus cereus m1550 (526969.3)	 	 	 
Bacillus cereus str. Schrouff (718221.3)	 	 	 
Bacillus cereus subsp. cytotoxis NVH 391-98 (315749.4)	 	 	 
Bacillus mycoides DSM 2048 (526997.3)	 	 	 
Bacillus mycoides Rock1-4 (526998.3)	 	 	 
Bacillus mycoides Rock3-17 (526999.3)	 	 	 
Bacillus thuringiensis HD-771 (1218175.3)	 	 	 
Bacillus thuringiensis HD-789 (1217737.3)	 	 	 
Bacillus thuringiensis IBL 200 (527019.3)	 	 	 
Bacillus thuringiensis IBL 4222 (527020.3)	 	 	 
Bacillus thuringiensis MC28 (1195464.3)	 	 	 
Bacillus thuringiensis serovar andalousiensis BGSC 4AW1 (527032.3)	 	 	 
Bacillus thuringiensis serovar berliner ATCC 10792 (527031.3)	 	 	 
Bacillus thuringiensis serovar chinensis CT-43 (541229.3)	 	 	 
Bacillus thuringiensis serovar finitimus YBT-020 (930170.3)	 	 	 
Bacillus thuringiensis serovar huazhongensis BGSC 4BD1 (527030.3)	 	 	 
Bacillus thuringiensis serovar konkukian str. 97-27 (281309.8)	 	 	 
Bacillus thuringiensis BMB171 (714359.3)	 	 	 
Bacillus thuringiensis serovar kurstaki str. HD73 (1279365.3)	 	 	 
Bacillus thuringiensis serovar kurstaki str. T03a001 (527023.3)	 	 	 
Bacillus thuringiensis serovar monterrey BGSC 4AJ1 (527022.3)	 	 	 
Bacillus thuringiensis serovar pakistani str. T13001 (527027.3)	 	 	 
Bacillus thuringiensis serovar pondicheriensis BGSC 4BA1 (527029.3)	 	 	 
Bacillus thuringiensis serovar pulsiensis BGSC 4CC1 (527028.3)	 	 	 
Bacillus thuringiensis serovar thuringiensis str. IS5056 (1286404.3)	 	 	 
Bacillus thuringiensis serovar thuringiensis str. T01001 (527025.3)	 	 	 
Bacillus thuringiensis str. Al Hakam (412694.7)	 	 	 
Bacillus clausii KSM-K16 (66692.6)	 	 	 
Bacillus endophyticus 2102 (1196029.3)	 	 	 
Bacillus fordii DSM 16014 (1121090.3)	 	 	 
Bacillus halodurans C-125 (272558.8)	 	 	 
Bacillus megaterium DSM319 (592022.4)	 	 	 
Bacillus megaterium NCT-2 (1138452.3)	 	 	 
Bacillus megaterium WSH-002 (1006007.3)	 	 	 
Bacillus nealsonii AAU1 (1202533.3)	 	 	 
Bacillus pseudofirmus OF4 (398511.4)	 	 	 
Bacillus pumilus ATCC 7061 (536229.4)	 	 	 
Bacillus pumilus S-1 (1076692.3)	 	 	 
Bacillus amyloliquefaciens DSM7 (692420.6)	 	 	 
Bacillus amyloliquefaciens FZB42 (326423.5)	 	 	 
Bacillus atrophaeus 1013-1 (723888.3)	 	 	 
Bacillus atrophaeus 1013-2 (723889.3)	 	 	 
Bacillus atrophaeus 1942 (720555.4)	 	 	 
Bacillus atrophaeus ATCC 49822-1 (743710.3)	 	 	 
Bacillus atrophaeus ATCC 49822-2 (743711.3)	 	 	 
Bacillus atrophaeus ATCC 9372-1 (903520.3)	 	 	 
Bacillus atrophaeus ATCC 9372-2 (723892.3)	 	 	 
Bacillus atrophaeus BACI051-E (882455.3)	 	 	 
Bacillus atrophaeus BACI051-N (876283.3)	 	 	 
Bacillus atrophaeus C89 (334727.3)	 	 	 
Bacillus atrophaeus Detrick-1 (720556.3)	 	 	 
Bacillus atrophaeus Detrick-2 (720557.3)	 	 	 
Bacillus atrophaeus Detrick-3 (720558.3)	 	 	 
Bacillus atrophaeus str. Dugway (882453.3)	 	 	 
Bacillus sonorensis L12 (1274524.3)	 	 	 
Bacillus subtilis subsp. natto BEST195 (645657.3)	 	 	 
Bacillus subtilis subsp. spizizenii ATCC 6633 (703612.3)	 	 	 
Bacillus subtilis subsp. spizizenii DV1-B-1 (1051503.3)	 	 	 
Bacillus subtilis subsp. spizizenii str. W23 (655816.3)	 	 	 
Bacillus subtilis subsp. subtilis str. 168 (224308.113)	 	 	 
Bacillus subtilis subsp. subtilis str. JH642 (535025.4)	 	 	 
Bacillus subtilis subsp. subtilis str. NCIB 3610 (535026.3)	 	 	 
Bacillus subtilis subsp. subtilis str. SMY (535024.3)	 	 	 
Bacillus vallismortis DV1-F-3 (1051502.3)	 	 	 
Lysinibacillus fusiformis ZB2 (1231627.3)	 	 	 
Lysinibacillus fusiformis ZC1 (714961.3)	 	 	 
Lysinibacillus sphaericus OT4b.31 (1285586.5)	 	 	 
Gemella haemolysans M341 (562981.3)	 	 	 
Gemella moribillum M424 (562982.3)	 	 	 
Gemella sanguinis M325 (562983.3)	 	 	 
Listeria grayi DSM 20601 (525367.9)	 	 	 
Listeria monocytogenes serotype 1/2b str. SLCC2755 (1639.165)	 	 	 
Listeria monocytogenes serotype 7 str. SLCC2482 (1639.166)	 	 	 
Listeria monocytogenes 07PF0776 (1126011.4)	 	 	 
Listeria monocytogenes 08-5578 (653938.3)	 	 	 
Listeria monocytogenes 08-5923 (637381.3)	 	 	 
Listeria monocytogenes 10403S (393133.8)	 	 	 
Listeria monocytogenes ATCC 19117 (882095.3)	 	 	 
Listeria monocytogenes Aureli 1997 (401650.3)	 	 	 
Listeria monocytogenes Clip80459 (634178.4)	 	 	 
Listeria monocytogenes EGD-e (169963.11)	 	 	 
Listeria monocytogenes F6900 (393128.7)	 	 	 
Listeria monocytogenes FSL J1-194 (393117.11)	 	 	 
Listeria monocytogenes FSL N1-017 (393123.7)	 	 	 
Listeria monocytogenes FSL N3-165 (393124.10)	 	 	 
Listeria monocytogenes FSL R2-503 (393125.10)	 	 	 
Listeria monocytogenes FSL R2-561 (393126.4)	 	 	 
Listeria monocytogenes Finland 1988 (393127.4)	 	 	 
Listeria monocytogenes HCC23 (552536.6)	 	 	 
Listeria monocytogenes HPB2262 (401650.12)	 	 	 
Listeria monocytogenes J0161 (393130.8)	 	 	 
Listeria monocytogenes J2818 (393131.7)	 	 	 
Listeria monocytogenes L312 (882094.3)	 	 	 
Listeria monocytogenes L99 (563174.3)	 	 	 
Listeria monocytogenes M7 (1030009.3)	 	 	 
Listeria monocytogenes SLCC2376 (882097.3)	 	 	 
Listeria monocytogenes SLCC2378 (879088.3)	 	 	 
Listeria monocytogenes SLCC2479 (882020.3)	 	 	 
Listeria monocytogenes SLCC2540 (879089.3)	 	 	 
Listeria monocytogenes SLCC5850 (882096.3)	 	 	 
Listeria monocytogenes SLCC7179 (879090.3)	 	 	 
Listeria monocytogenes serotype 1/2a str. NCCP No. 15743 (1293288.3)	 	 	 
Listeria monocytogenes serotype 1/2c str. SLCC2372 (932920.3)	 	 	 
Listeria monocytogenes serotype 4b str. LL195 (1230340.3)	 	 	 
Listeria monocytogenes str. 4b F2365 (265669.9)	 	 	 
Listeria monocytogenes str. Scott A (1027396.3)	 	 	 
Brevibacillus agri BAB-2500 (1246477.3)	 	 	 
Brevibacillus borstelensis AK1 (1300222.3)	 	 	 
Brevibacillus brevis FJAT-0809-GLX (1129895.3)	 	 	 
Brevibacillus brevis NBRC 100599 (358681.3)	 	 	 
Paenibacillus alvei DSM 29 (1206781.3)	 	 	 
Paenibacillus barengoltzii G22 (1235795.3)	 	 	 
Paenibacillus daejeonensis DSM 15491 (1122917.3)	 	 	 
Paenibacillus lactis 154 (743719.3)	 	 	 
Ureibacillus thermosphaericus str. Thermo-BF (1160707.3)	 	 	 
Staphylococcus arlettae CVD059 (1212545.3)	 	 	 
Staphylococcus aureus 04-02981 (703339.3)	 	 	 
Staphylococcus aureus 08BA02176 (1229492.3)	 	 	 
Staphylococcus aureus 16K (908247.3)	 	 	 
Staphylococcus aureus 3957 (1278071.4)	 	 	 
Staphylococcus aureus 930918-3 (452948.4)	 	 	 
Staphylococcus aureus A10102 (553601.3)	 	 	 
Staphylococcus aureus A5937 (553565.3)	 	 	 
Staphylococcus aureus A5948 (553567.3)	 	 	 
Staphylococcus aureus A6224 (553568.3)	 	 	 
Staphylococcus aureus A6300 (553571.3)	 	 	 
Staphylococcus aureus A8115 (553573.3)	 	 	 
Staphylococcus aureus A8117 (553574.3)	 	 	 
Staphylococcus aureus A8796 (553577.3)	 	 	 
Staphylococcus aureus A8819 (553580.3)	 	 	 
Staphylococcus aureus A9299 (553581.3)	 	 	 
Staphylococcus aureus A9635 (553583.3)	 	 	 
Staphylococcus aureus A9719 (553588.3)	 	 	 
Staphylococcus aureus A9754 (553590.4)	 	 	 
Staphylococcus aureus A9765 (553594.3)	 	 	 
Staphylococcus aureus A9781 (553596.3)	 	 	 
Staphylococcus aureus B147830 (1157039.3)	 	 	 
Staphylococcus aureus B40723 (1157037.3)	 	 	 
Staphylococcus aureus B40950 (1157038.3)	 	 	 
Staphylococcus aureus B53639 (1157036.3)	 	 	 
Staphylococcus aureus CA-347 (1323661.3)	 	 	 
Staphylococcus aureus CN79 (1242970.3)	 	 	 
Staphylococcus aureus D30 (455227.3)	 	 	 
Staphylococcus aureus HI010 (1156995.3)	 	 	 
Staphylococcus aureus HI010B (1156997.3)	 	 	 
Staphylococcus aureus HI013 (1157003.3)	 	 	 
Staphylococcus aureus HI022 (1156999.3)	 	 	 
Staphylococcus aureus HI049 (1156994.3)	 	 	 
Staphylococcus aureus HI049B (1156996.3)	 	 	 
Staphylococcus aureus HI049C (1157000.3)	 	 	 
Staphylococcus aureus HI111 (1157002.3)	 	 	 
Staphylococcus aureus HI168 (1157001.3)	 	 	 
Staphylococcus aureus HIF003_B2N-C (1156998.3)	 	 	 
Staphylococcus aureus KLT6 (1283278.3)	 	 	 
Staphylococcus aureus KT/314250 (1231383.3)	 	 	 
Staphylococcus aureus KT/Y21 (1231382.3)	 	 	 
Staphylococcus aureus LVP2 (1278072.4)	 	 	 
Staphylococcus aureus LVP5 (1278075.4)	 	 	 
Staphylococcus aureus M0001 (1157004.3)	 	 	 
Staphylococcus aureus M0006 (1158507.3)	 	 	 
Staphylococcus aureus M0029 (1157005.3)	 	 	 
Staphylococcus aureus M0035 (1157006.3)	 	 	 
Staphylococcus aureus M0045 (1157007.3)	 	 	 
Staphylococcus aureus M0055 (1158508.3)	 	 	 
Staphylococcus aureus M0060 (1157008.3)	 	 	 
Staphylococcus aureus M0066 (1157009.3)	 	 	 
Staphylococcus aureus M0075 (1303780.3)	 	 	 
Staphylococcus aureus M0077 (1158509.3)	 	 	 
Staphylococcus aureus M0102 (1157010.3)	 	 	 
Staphylococcus aureus M0103 (1157011.3)	 	 	 
Staphylococcus aureus M0104 (1224919.3)	 	 	 
Staphylococcus aureus M0108 (1158510.3)	 	 	 
Staphylococcus aureus M0144 (1158511.3)	 	 	 
Staphylococcus aureus M0150 (1157012.3)	 	 	 
Staphylococcus aureus M0154 (1158512.3)	 	 	 
Staphylococcus aureus M0171 (1224920.3)	 	 	 
Staphylococcus aureus M0173 (1157013.3)	 	 	 
Staphylococcus aureus M0177 (1158513.3)	 	 	 
Staphylococcus aureus M0192 (1157014.3)	 	 	 
Staphylococcus aureus M0197 (1157015.3)	 	 	 
Staphylococcus aureus M0200 (1158514.3)	 	 	 
Staphylococcus aureus M0210 (1224921.3)	 	 	 
Staphylococcus aureus M0212 (1158515.3)	 	 	 
Staphylococcus aureus M0213 (1224922.3)	 	 	 
Staphylococcus aureus M0216 (1158516.3)	 	 	 
Staphylococcus aureus M0221 (1157016.3)	 	 	 
Staphylococcus aureus M0235 (1158517.3)	 	 	 
Staphylococcus aureus M0237 (1157017.3)	 	 	 
Staphylococcus aureus M0239 (1157018.3)	 	 	 
Staphylococcus aureus M0240 (1224923.3)	 	 	 
Staphylococcus aureus M0250 (1158518.3)	 	 	 
Staphylococcus aureus M0252 (1157019.3)	 	 	 
Staphylococcus aureus M0270 (1224924.3)	 	 	 
Staphylococcus aureus M0273 (1224925.3)	 	 	 
Staphylococcus aureus M0279 (1224926.3)	 	 	 
Staphylococcus aureus M0280 (1158520.3)	 	 	 
Staphylococcus aureus M0288 (1224927.3)	 	 	 
Staphylococcus aureus M0294 (1303781.3)	 	 	 
Staphylococcus aureus M0306 (1158521.3)	 	 	 
Staphylococcus aureus M0312 (1224928.3)	 	 	 
Staphylococcus aureus M0326 (1157020.3)	 	 	 
Staphylococcus aureus M0328 (1157021.3)	 	 	 
Staphylococcus aureus M0329 (1157022.3)	 	 	 
Staphylococcus aureus M0330 (1157023.3)	 	 	 
Staphylococcus aureus M0334 (1158522.3)	 	 	 
Staphylococcus aureus M0340 (1157024.3)	 	 	 
Staphylococcus aureus M0347 (1157025.3)	 	 	 
Staphylococcus aureus M0350 (1158523.3)	 	 	 
Staphylococcus aureus M0351 (1158524.3)	 	 	 
Staphylococcus aureus M0363 (1158525.3)	 	 	 
Staphylococcus aureus M0364 (1157026.3)	 	 	 
Staphylococcus aureus M0367 (1158526.3)	 	 	 
Staphylococcus aureus M0374 (1158527.3)	 	 	 
Staphylococcus aureus M0375 (1158528.3)	 	 	 
Staphylococcus aureus M0391 (1157027.3)	 	 	 
Staphylococcus aureus M0396 (1158529.3)	 	 	 
Staphylococcus aureus M0404 (1224929.3)	 	 	 
Staphylococcus aureus M0408 (1157028.3)	 	 	 
Staphylococcus aureus M0415 (1224930.3)	 	 	 
Staphylococcus aureus M0424 (1158530.3)	 	 	 
Staphylococcus aureus M0427 (1157029.3)	 	 	 
Staphylococcus aureus M0438 (1158531.3)	 	 	 
Staphylococcus aureus M0450 (1157030.3)	 	 	 
Staphylococcus aureus M0455 (1224931.3)	 	 	 
Staphylococcus aureus M0460 (1224932.3)	 	 	 
Staphylococcus aureus M0467 (1157031.3)	 	 	 
Staphylococcus aureus M0468 (1157032.3)	 	 	 
Staphylococcus aureus M0478 (1157033.3)	 	 	 
Staphylococcus aureus M0489 (1157034.3)	 	 	 
Staphylococcus aureus M0493 (1224933.3)	 	 	 
Staphylococcus aureus M0494 (1157035.3)	 	 	 
Staphylococcus aureus M0510 (1158533.3)	 	 	 
Staphylococcus aureus M0513 (1158534.3)	 	 	 
Staphylococcus aureus M0528 (1158682.3)	 	 	 
Staphylococcus aureus M0529 (1158462.3)	 	 	 
Staphylococcus aureus M0531 (1158683.3)	 	 	 
Staphylococcus aureus M0536 (1158684.3)	 	 	 
Staphylococcus aureus M0539 (1158685.3)	 	 	 
Staphylococcus aureus M0547 (1158686.3)	 	 	 
Staphylococcus aureus M0562 (1158535.3)	 	 	 
Staphylococcus aureus M0565 (1158687.3)	 	 	 
Staphylococcus aureus M0571 (1158536.3)	 	 	 
Staphylococcus aureus M0580 (1158688.3)	 	 	 
Staphylococcus aureus M0584 (1158537.3)	 	 	 
Staphylococcus aureus M0586 (1158538.3)	 	 	 
Staphylococcus aureus M0602 (1158689.3)	 	 	 
Staphylococcus aureus M0622 (1158690.3)	 	 	 
Staphylococcus aureus M0628 (1158461.3)	 	 	 
Staphylococcus aureus M0633 (1158539.3)	 	 	 
Staphylococcus aureus M0646 (1214901.3)	 	 	 
Staphylococcus aureus M0648 (1213721.3)	 	 	 
Staphylococcus aureus M0660 (1213722.3)	 	 	 
Staphylococcus aureus M0663 (1213723.3)	 	 	 
Staphylococcus aureus M0673 (1213724.3)	 	 	 
Staphylococcus aureus M0676 (1158691.3)	 	 	 
Staphylococcus aureus M0687 (1158692.3)	 	 	 
Staphylococcus aureus M0692 (1158693.3)	 	 	 
Staphylococcus aureus M0695 (1213725.3)	 	 	 
Staphylococcus aureus M0719 (1158694.3)	 	 	 
Staphylococcus aureus M0769 (1158695.3)	 	 	 
Staphylococcus aureus M0770 (1158696.3)	 	 	 
Staphylococcus aureus M0780 (1158697.3)	 	 	 
Staphylococcus aureus M0792 (1213726.3)	 	 	 
Staphylococcus aureus M0799 (1158698.3)	 	 	 
Staphylococcus aureus M0822 (1213727.3)	 	 	 
Staphylococcus aureus M0823 (1158699.3)	 	 	 
Staphylococcus aureus M0831 (1213728.3)	 	 	 
Staphylococcus aureus M0844 (1158700.3)	 	 	 
Staphylococcus aureus M0871 (1213729.3)	 	 	 
Staphylococcus aureus M0877 (1213730.3)	 	 	 
Staphylococcus aureus M0892 (1213732.3)	 	 	 
Staphylococcus aureus M0900 (1213733.3)	 	 	 
Staphylococcus aureus M0927 (1213734.3)	 	 	 
Staphylococcus aureus M0934 (1158701.3)	 	 	 
Staphylococcus aureus M0943 (1158702.3)	 	 	 
Staphylococcus aureus M0944 (1158703.3)	 	 	 
Staphylococcus aureus M0946 (1169255.3)	 	 	 
Staphylococcus aureus M0953 (1158704.3)	 	 	 
Staphylococcus aureus M0964 (1169256.3)	 	 	 
Staphylococcus aureus M0978 (1169257.3)	 	 	 
Staphylococcus aureus M0994 (1169258.3)	 	 	 
Staphylococcus aureus M0998 (1158705.3)	 	 	 
Staphylococcus aureus M0999 (1158706.3)	 	 	 
Staphylococcus aureus M1 (1305598.3)	 	 	 
Staphylococcus aureus M1007 (1158707.3)	 	 	 
Staphylococcus aureus M1010 (1158708.3)	 	 	 
Staphylococcus aureus M1015 (1158709.3)	 	 	 
Staphylococcus aureus M1016 (1158710.3)	 	 	 
Staphylococcus aureus M1034 (1169259.3)	 	 	 
Staphylococcus aureus M1036 (1158711.3)	 	 	 
Staphylococcus aureus M1037 (1158712.3)	 	 	 
Staphylococcus aureus M1044 (1169260.3)	 	 	 
Staphylococcus aureus M1060 (1303782.3)	 	 	 
Staphylococcus aureus M1061 (1169261.3)	 	 	 
Staphylococcus aureus M1062 (1169262.3)	 	 	 
Staphylococcus aureus M1063 (1158463.3)	 	 	 
Staphylococcus aureus M1064 (1158465.3)	 	 	 
Staphylococcus aureus M1068 (1169263.3)	 	 	 
Staphylococcus aureus M1076 (1158464.3)	 	 	 
Staphylococcus aureus M1078 (1303783.3)	 	 	 
Staphylococcus aureus M1083 (1169264.3)	 	 	 
Staphylococcus aureus M1092 (1158466.3)	 	 	 
Staphylococcus aureus M1093 (1158467.3)	 	 	 
Staphylococcus aureus M1095 (1158468.3)	 	 	 
Staphylococcus aureus M1103 (1158469.3)	 	 	 
Staphylococcus aureus M1109 (1169265.3)	 	 	 
Staphylococcus aureus M1119 (1158470.3)	 	 	 
Staphylococcus aureus M1126 (1169266.3)	 	 	 
Staphylococcus aureus M1142 (1169267.3)	 	 	 
Staphylococcus aureus M1167 (1158471.3)	 	 	 
Staphylococcus aureus M1170 (1158472.3)	 	 	 
Staphylococcus aureus M1188 (1158473.3)	 	 	 
Staphylococcus aureus M1193 (1303784.3)	 	 	 
Staphylococcus aureus M1198 (1158474.3)	 	 	 
Staphylococcus aureus M1199 (1158475.3)	 	 	 
Staphylococcus aureus M1215 (1158476.3)	 	 	 
Staphylococcus aureus M1216 (1158477.3)	 	 	 
Staphylococcus aureus M1223 (1169268.3)	 	 	 
Staphylococcus aureus M1224 (1169269.3)	 	 	 
Staphylococcus aureus M1228 (1303785.3)	 	 	 
Staphylococcus aureus M1229 (1158478.3)	 	 	 
Staphylococcus aureus M1244 (1169270.3)	 	 	 
Staphylococcus aureus M1248 (1158479.3)	 	 	 
Staphylococcus aureus M1253 (1158480.3)	 	 	 
Staphylococcus aureus M1255 (1158481.3)	 	 	 
Staphylococcus aureus M1256 (1169271.3)	 	 	 
Staphylococcus aureus M1257 (1158482.3)	 	 	 
Staphylococcus aureus M1275 (1169272.3)	 	 	 
Staphylococcus aureus M1277 (1158483.3)	 	 	 
Staphylococcus aureus M1286 (1169273.3)	 	 	 
Staphylococcus aureus M1291 (1158484.3)	 	 	 
Staphylococcus aureus M1309 (1169274.3)	 	 	 
Staphylococcus aureus M1311 (1158485.3)	 	 	 
Staphylococcus aureus M1320 (1158486.3)	 	 	 
Staphylococcus aureus M1321 (1158487.3)	 	 	 
Staphylococcus aureus M1322 (1158488.3)	 	 	 
Staphylococcus aureus M1359 (1158489.3)	 	 	 
Staphylococcus aureus M1367 (1158490.3)	 	 	 
