Organism	SerA	SerC	SerB	SerP	SerHS
Bifidobacterium longum subsp. longum 1-6B (1161744.3)	1928, 901	473_2	961_4	 	 
Bifidobacterium longum subsp. longum 2-2B (1161745.3)	1386, 88	496_2	1053_4	 	 
Bifidobacterium longum subsp. longum 35B (1161904.3)	1402, 53	222_2	933_4	 	 
Bifidobacterium longum subsp. longum 44B (1161743.3)	1548, 619	1619_2	917_4	 	 
Bifidobacterium longum subsp. longum CMCC P0001 (1266716.3)	407	1178_2	294_4	 	 
Bifidobacterium pseudocatenulatum DSM 20438 = JCM 1200 (547043.8)	1379, 305, 646	218_2	22_4	 	 
Bifidobacterium thermophilum RBL67 (1254439.12)	1232, 605	1354_2	1146_4	 	 
Atopobium minutum 10063974 (997872.3)	 	 	 	 	 
Collinsella tanakaei YIT 12063 (742742.3)	1038, 1330, 87	88_2	 	 	 
Slackia piriformis YIT 12062 (742818.3)	1695, 1964, 924	1696_2, 958_5	910_4	 	 
Bacteroides fragilis ATCC 25285 (272559.3)	 	2081_2	2269_4	 	 
Bacteroides caccae ATCC 43185 (411901.7)	 	927_2	579_4	 	 
Bacteroides caccae CL03T12C61 (997873.3)	 	1504_2	2029_4	 	 
Bacteroides capillosus ATCC 29799 (411467.6)	1813, 2152	2151_2	1254_4	 	 
Bacteroides cellulosilyticus CL02T12C19 (997874.3)	3616, 3644	2126_5, 3643_2	4532_4	 	 
Bacteroides cellulosilyticus DSM 14838 (537012.5)	3778, 3801	1316_5, 3800_2	4300_4	 	 
Bacteroides clarus YIT 12056 (762984.3)	1810, 950	951_2	702_4	 	 
Bacteroides coprocola DSM 17136 (470145.6)	1409, 2056, 2102	2055_2	2462_4	 	 
Bacteroides coprophilus DSM 18228 (547042.5)	1287, 649, 843	1286_2	1426_4	 	 
Bacteroides dorei CL02T00C15 (997875.3)	1803, 3832	3831_2	3744_4, 3969_4, 3970_4	 	 
Bacteroides dorei CL02T12C06 (997876.3)	2689, 3424	3423_2	3340_4, 3560_4, 3561_4	 	 
Bacteroides dorei CL03T12C01 (997877.3)	199, 2147	200_2	285_4	 	 
Bacteroides dorei DSM 17855 (483217.6)	2477, 866	2478_2	2560_4	 	 
Bacteroides eggerthii 1_2_48FAA (665953.3)	 	2413_2	3470_4	 	 
Bacteroides eggerthii DSM 20697 (483216.6)	 	2047_2	2258_4	 	 
Bacteroides faecis MAJ27 (1077285.3)	2899, 2954, 2985	2953_2, 2984_2	3221_4	 	 
Bacteroides finegoldii DSM 17565 (483215.6)	2062, 2327	2063_2, 3143_5	2114_4	 	 
Bacteroides fluxus YIT 12057 (763034.3)	3641	3640_2	2119_4	 	 
Bacteroides fragilis 3_1_12 (457424.5)	543, 818	817_2	1351_4	 	 
Bacteroides fragilis 638R (862962.3)	2173	2172_2	2450_4	 	 
Bacteroides fragilis CL03T00C08 (997878.3)	2057	2056_2	2326_4	 	 
Bacteroides fragilis CL03T12C07 (997879.3)	3197	3196_2	3470_4	 	 
Bacteroides fragilis CL05T00C42 (997880.3)	52	329_5, 53_2	3788_4	 	 
Bacteroides fragilis CL05T12C13 (997881.3)	2244	1952_5, 2243_2	3315_4	 	 
Bacteroides fragilis CL07T00C01 (997882.3)	1089, 896	897_2	462_4	 	 
Bacteroides fragilis CL07T12C05 (997883.3)	1952, 2145	2144_2	2576_4	 	 
Bacteroides fragilis HMW 610 (1073386.3)	141, 2280	140_2	537_4	 	 
Bacteroides fragilis HMW 615 (1073387.4)	4511, 4645	4512_2	2905_4	 	 
Bacteroides fragilis HMW 616 (1073388.3)	1306, 1504	1503_2, 383_5	1741_4, 779_4	 	 
Bacteroides fragilis NCTC 9343 (272559.17)	 	2052_2	2392_4	 	 
Bacteroides fragilis YCH46 (295405.11)	1963	1962_2	2229_4	 	 
Bacteroides intestinalis DSM 17393 (471870.8)	 	2421_2	1928_4	 	 
Bacteroides massiliensis B84634 = Timone 84634 = DSM 17679 = JCM 13223 (1121098.4)	1766, 2330	2331_2	1531_4, 4060_4	 	 
Bacteroides massiliensis dnLKV3 (1235788.3)	2121, 3248	3247_2	2310_4	 	 
Bacteroides nordii CL02T12C05 (997884.3)	2197, 2423	2422_2	2630_4	 	 
Bacteroides oleiciplenus YIT 12058 (742727.4)	933, 958	934_2	263_4	 	 
Bacteroides ovatus 3_8_47FAA (665954.3)	3878, 3935	3879_2	749_4	 	 
Bacteroides ovatus ATCC 8483 (411476.11)	3375, 3430	3429_2	291_4	 	 
Bacteroides ovatus CL02T12C04 (997885.3)	1106, 894	895_2	579_4	 	 
Bacteroides ovatus CL03T12C18 (997886.3)	4765, 4821	4820_2	3287_4, 5343_4	 	 
Bacteroides ovatus SD CC 2a (702444.3)	3528, 850	3529_2	2986_4	 	 
Bacteroides pectinophilus ATCC 43243 (483218.5)	 	2100_2	1755_4	 	 
Bacteroides plebeius DSM 17135 (484018.6)	240, 2606, 3143	3142_2	256_4	 	 
Bacteroides salyersiae CL02T12C01 (997887.3)	2953, 3016	3015_2	3183_4	 	 
Bacteroides salyersiae WAL 10018 = DSM 18765 = JCM 12988 (1121101.3)	3532, 3597	3533_2	3373_4	 	 
Bacteroides sp. 1_1_14 (469585.3)	4547, 4610	4609_2	2064_4	 	 
Bacteroides sp. 1_1_30 (457387.3)	3421, 3478	3422_2	207_4	 	 
Bacteroides sp. 1_1_6 (469586.3)	263	318_2	633_4	 	 
Bacteroides sp. 20_3 (469591.4)	1554, 3609	3610_2	2652_4	 	 
Bacteroides sp. 2_1_22 (469588.3)	2919, 2974	2973_2	2119_4	 	 
Bacteroides sp. 2_1_33B (469589.3)	1070, 3536	1069_2	435_4	 	 
Bacteroides sp. 2_1_7 (457388.5)	2874, 3247	2875_2	1241_4	 	 
Bacteroides sp. 2_2_4 (469590.5)	2443, 2490	2444_2	4523_4	 	 
Bacteroides sp. 3_1_19 (469592.4)	1171, 3783	3782_2	1878_4	 	 
Bacteroides sp. 3_1_23 (457390.3)	2286, 2343	2342_2	277_4	 	 
Bacteroides sp. 3_1_33FAA (457391.3)	1468, 2845	2846_2	2923_4	 	 
Bacteroides sp. 3_1_40A (469593.3)	4247	1020_2	1587_4	 	 
Bacteroides sp. 3_2_5 (457392.3)	2213	2212_2	2495_4	 	 
Bacteroides sp. 4_1_36 (457393.3)	1321	1320_2	2456_4	 	 
Bacteroides sp. 4_3_47FAA (457394.3)	989	1370_2	3448_4	 	 
Bacteroides sp. 9_1_42FAA (457395.6)	177, 2738	2739_2	2600_4, 2601_4, 2817_4	 	 
Bacteroides sp. D1 (556258.5)	1095, 1149	1148_2	4121_4	 	 
Bacteroides sp. D2 (556259.3)	176, 243	177_2	4191_4	 	 
Bacteroides sp. D20 (585543.3)	1088	1087_2, 3096_5	3346_4	 	 
Bacteroides sp. D22 (585544.3)	1443, 4742	4743_2	4571_4	 	 
Bacteroides stercoris ATCC 43183 (449673.7)	964	963_2	1237_4	 	 
Bacteroides stercoris CC31F (1073351.3)	3544	3545_2	3004_4	 	 
Bacteroides thetaiotaomicron CL09T03C10 (997888.3)	143, 89	2181_5, 90_2	2394_4	 	 
Bacteroides thetaiotaomicron VPI-5482 (226186.12)	 	1175_2	849_4	 	 
Bacteroides thetaiotaomicron dnLKV9 (1235785.3)	1003, 1379, 1447	1380_2	1095_4	 	 
Bacteroides uniformis ATCC 8492 (411479.10)	2279, 2361	2278_2, 2911_5	904_4	 	 
Bacteroides uniformis CL03T00C23 (997889.3)	3269	3268_2, 3495_5	3934_4	 	 
Bacteroides uniformis CL03T12C37 (997890.3)	1982	1718_5, 1983_2	1281_4	 	 
Bacteroides uniformis dnLKV2 (1235787.3)	2544	2543_2	2916_4	 	 
Bacteroides vulgatus ATCC 8482 (435590.9)	4016	3337_2	3255_4	 	 
Bacteroides vulgatus EK4.2 (702445.3)	588, 858	 	 	 	1783_13
Bacteroides vulgatus PC510 (702446.3)	1226	2245_2	1599_4	 	 
Bacteroides vulgatus dnLKV7 (1235786.3)	1407	2928_2	3005_4	 	 
Bacteroides xylanisolvens CL03T12C04 (997892.3)	1374, 1432	1431_2	1758_4	 	 
Bacteroides xylanisolvens SD CC 1b (702447.3)	1899, 1955	1954_2	2073_4	 	 
Bacteroides xylanisolvens XB1A (657309.4)	4316, 4371	4317_2, 4318_2	4105_4	 	 
Barnesiella intestinihominis YIT 11860 (742726.3)	1541, 345	344_2	1552_4, 392_4	 	 
Butyricimonas synergistica DSM 23225 (1121129.3)	1674, 3260, 3902	1056_5, 3901_2	 	 	 
Dysgonomonas gadei ATCC BAA-286 (742766.3)	981	980_2	2982_4	 	 
Odoribacter laneus YIT 12061 (742817.3)	1945, 3115, 3221	1250_5, 1946_2	 	 	 
Odoribacter splanchnicus DSM 20712 (709991.3)	 	1853_2, 509_5	 	 	 
Parabacteroides distasonis ATCC 8503 (435591.13)	1724, 491	490_2	1093_4	 	 
Parabacteroides distasonis CL03T12C09 (999416.3)	2320, 940	939_2	1561_4	 	 
Parabacteroides distasonis CL09T03C24 (999417.3)	2055, 2554	2054_2	153_4	 	 
Parabacteroides goldsteinii CL02T12C30 (999418.3)	1450	1449_2	3866_4	 	 
Parabacteroides goldsteinii dnLKV18 (1235789.3)	2020	2021_2	842_4	 	 
Parabacteroides johnsonii CL02T12C29 (999419.3)	977	976_2	1975_7, 2943_4	 	 
Parabacteroides johnsonii DSM 18315 (537006.5)	2482	2483_2	169_7, 1957_4, 1958_4	 	 
Parabacteroides merdae ATCC 43184 (411477.4)	3369	3370_2	1890_4, 533_7	 	 
Parabacteroides merdae CL03T12C32 (999420.3)	4102	4103_2	1615_7, 753_4	 	 
Parabacteroides sp. D13 (563193.3)	1153, 2606	2605_2	1844_4	 	 
Porphyromonas asaccharolytica DSM 20707 (879243.3)	1262, 770	1261_2	1448_4, 928_4	 	 
Porphyromonas asaccharolytica PR426713P-I (910312.3)	1047, 1354	1353_2	344_4, 65_4	 	 
Porphyromonas endodontalis ATCC 35406 (553175.3)	1221	1220_2	741_4	 	 
Porphyromonas gingivalis ATCC 33277 (431947.7)	 	608_2	1257_4, 1446_4, 682_4	 	 
Porphyromonas gingivalis TDC60 (1030843.3)	2112	2113_2	1581_4, 1715_4, 998_4	 	 
Porphyromonas gingivalis W83 (242619.8)	1184	1183_2	1085_4, 465_4, 597_4	 	 
Porphyromonas somerae DSM 23386 (1122975.3)	1680, 730	729_2	1140_4, 385_4	 	 
Porphyromonas uenonis 60-3 (596327.3)	1539, 1636	1635_2	652_4	 	 
Tannerella forsythia ATCC 43037 (203275.8)	 	174_2	814_4	 	 
Paraprevotella clara YIT 11840 (762968.3)	1257, 603	602_2	1311_4	 	 
Paraprevotella xylaniphila YIT 11841 (762982.3)	2513, 701	2512_2	646_4	 	 
Prevotella bivia DSM 20514 (868129.3)	113, 522	521_2	1361_4	 	 
Prevotella bryantii B14 (752555.5)	1341, 1407	1342_2	240_4, 367_4	 	 
Prevotella buccae ATCC 33574 (873513.3)	2155	2154_2	2221_4, 2390_4	 	 
Prevotella buccae D17 (575611.3)	2462	2463_2	1002_4, 2188_4	 	 
Prevotella conceptionensis 9403948 (1197728.3)	1165, 2965	2966_2	114_4, 1390_4, 1477_4, 1801_4, 1824_4, 1899_4, 1905_4, 1907_4, 2440_4, 2546_4, 2795_4, 2799_4, 2817_4, 294_4, 3487_4, 417_4, 418_4, 72_4, 729_4, 791_4, 96_4	 	 
Prevotella denticola CRIS 18C-A (944557.3)	1266, 2312	2311_2	642_4	 	 
Prevotella denticola F0289 (767031.3)	1981, 2495	2496_2	836_4	 	 
Prevotella disiens FB035-09AN (866771.4)	2307, 686	685_2	1334_4, 1921_4	 	 
Prevotella intermedia 17 (246198.10)	1695, 1817	1116_5, 1696_2	2204_4, 757_4	 	 
Prevotella melaninogenica ATCC 25845 (553174.6)	1794, 2279	1795_2	237_4, 596_4	 	 
Prevotella melaninogenica D18 (575612.3)	382, 656	657_2	1770_4, 179_4	 	 
Prevotella nanceiensis DSM 19126 (1122988.3)	1312, 1320	1314_2	818_4	 	 
Prevotella nigrescens ATCC 33563 (997352.4)	677, 860	1268_5, 861_2	1705_4, 624_4	 	 
Prevotella nigrescens F0103 (702439.3)	244, 2683	1935_5, 245_2	1641_4, 2139_4	 	 
Prevotella oralis ATCC 33269 (873533.3)	 	2300_2	1540_4, 2463_4	 	 
Prevotella oralis HGA0225 (1203550.3)	2311	170_2	1277_4, 336_4	 	 
Prevotella pallens ATCC 700821 (997353.4)	1418, 1543	1544_2, 32_5	1221_4, 527_4	 	 
Prevotella ruminicola 23 (264731.4)	 	992_2	1945_4, 2468_4	 	 
Prevotella salivae DSM 15606 (888832.3)	2351, 2510	2511_2, 856_5	1062_4, 1611_4	 	 
Prevotella stercorea DSM 18206 (1002367.3)	1584, 548	1585_2	1713_4	 	 
Prevotella timonensis CRIS 5C-B1 (679189.3)	2048, 634	2047_2	 	 	 
Prevotella veroralis DSM 19559 (1122993.3)	1390, 2167	2166_2	1139_4, 2385_4	 	 
Prevotella veroralis F0319 (649761.3)	1661, 2095	1660_2	1488_4, 984_4	 	 
Alistipes finegoldii DSM 17242 (679935.3)	2878, 3194	3195_2	2722_4	 	 
Alistipes indistinctus YIT 12060 (742725.3)	2218, 790	2219_2	 	 	 
Alistipes onderdonkii DSM 19147 (1120974.3)	1765, 635	1764_2	519_4	 	 
Alistipes putredinis DSM 17216 (445970.5)	 	1424_2	1376_4	 	 
Alistipes shahii WAL 8301 (717959.3)	 	2270_2	1316_4	 	 
Rudanella lutea DSM 19387 (1089547.3)	1887, 2036, 2880, 624	1513_2	 	 	 
Capnocytophaga ochracea DSM 7271 (521097.5)	 	1939_2	 	 	 
Capnocytophaga ochracea F0287 (873517.3)	1937, 2207, 271	272_2	 	 	 
Capnocytophaga sputigena ATCC 33612 (553177.6)	513, 64, 832	63_2	 	 	 
Capnocytophaga granulosa ATCC 51502 (641143.3)	517, 920, 939	516_2	 	 	 
Capnocytophaga ochracea str. Holt 25 (1125719.3)	107, 1979, 402	401_2	 	 	 
Dyadobacter fermentans DSM 18053 (471854.5)	3229, 5769	4817_2, 5253_2	1726_10, 4816_4	 	 
Spirosoma linguale DSM 74 (504472.7)	 	1072_2, 2433_2	1073_4	 	 
Akkermansia muciniphila ATCC BAA-835 (349741.6)	800	 	496_4	 	 
Escherichia coli TY-2482.contig.20110606 (6666666.5522)	 	1369_2	4167_4, 662_6	1084_11, 4388, 4538_12	2219_13
Bacillus cereus BDRD-ST26 (526975.3)	4153	4152_2	 	4172_11	 
Bacillus cereus BGSC 6E1 (526970.3)	 	4572_2	 	4558_11, 4688_11	 
Bacillus cereus F65185 (526989.3)	5481	5480_2	 	5452_11, 5641_11	2067_13
Bacillus cereus Rock1-15 (526982.3)	4369	4370_2	 	4354_11, 4512_11	 
Bacillus cereus 03BB102 (572264.4)	3249	3250_2	 	3236_11, 3373_11	 
Bacillus cereus 172560W (526967.3)	3343	3342_2	299_4	2708_11, 3569_11	960_13
Bacillus cereus 95/8201 (526979.3)	 	3604_2	 	3590_11, 3744_11	 
Bacillus cereus AH1134 (405533.4)	1669	1668_2	 	1505_11, 4061_11	351_13
Bacillus cereus AH1271 (526992.3)	788	787_2	 	920_11	 
Bacillus cereus AH1272 (526993.3)	1080	1079_2	 	1231_11	 
Bacillus cereus AH187 (405534.9)	3478	3479_2	 	3608_11	1034_13
Bacillus cereus AH603 (526990.3)	5121	5120_2	 	5328_11	 
Bacillus cereus AH621 (526972.3)	3911	3912_2	 	1263_11, 4156_11, 4210_11	 
Bacillus cereus AH676 (526991.3)	719	718_2	 	701_11, 869_11	3342_13
Bacillus cereus AH820 (405535.8)	 	3278_2	 	3264_11, 3395_11	 
Bacillus cereus AND1407 (1053166.3)	2208	2209_2	 	3901_11	5106_13
Bacillus cereus ATCC 10876 (526980.3)	4138	4139_2	 	4326_11, 975_11	1310_13
Bacillus cereus ATCC 10987 (222523.6)	3135	3136_2	 	3258_11	724_13
Bacillus cereus ATCC 4342 (526977.3)	3239	3238_2	 	3125_11, 3251_11	231_13
Bacillus cereus B4264 (405532.5)	3124	3125_2	 	2351_11, 3069_11, 3269_11	640_13
Bacillus cereus B5-2 (1085389.3)	3630	3631_2, 3632_2	 	2864_12, 3852_12	622_13
Bacillus cereus BAG1O-1 (1053167.3)	3193	3194_2	 	3712_12, 4106_11	616_13
Bacillus cereus BAG1O-2 (1053168.3)	2367	2366_2	 	2221_11, 3690_11	4794_13
Bacillus cereus BAG1O-3 (1053169.3)	1678	1677_2	 	1557_12, 2448_12	5524_13
Bacillus cereus BAG1X1-1 (1053170.3)	2384	2383_2	 	2230_12, 2448_12, 4909_12	5669_13
Bacillus cereus BAG1X1-2 (1053171.3)	2552	2553_2	 	1761_11, 2674_11	5657_13
Bacillus cereus BAG1X1-3 (1053172.3)	2413	2412_2	 	2249_11, 5713_12	4870_13
Bacillus cereus BAG1X2-1 (1053173.3)	3080	3081_2	 	3016_12, 3235_12, 5711_12	561_13
Bacillus cereus BAG1X2-2 (1053174.3)	2372	2371_2	 	2218_12, 2436_12, 5782_12	4895_13
Bacillus cereus BAG1X2-3 (1053175.3)	3770	3771_2	 	1005_12, 3705_12, 3924_12	634_13
Bacillus cereus BAG2O-1 (1053176.3)	3083	3084_2	 	3019_12, 3237_12, 5850_12	565_13
Bacillus cereus BAG2O-2 (1053177.3)	3072	3073_2	 	1678_11, 3217_11	552_13
Bacillus cereus BAG2O-3 (1053178.3)	2464	2462_2, 2463_2	 	2242_12, 3230_12	4968_13
Bacillus cereus BAG2X1-1 (1053179.3)	2027	2026_2	 	1922_12	4145_13
Bacillus cereus BAG2X1-2 (1053180.3)	2486	2485_2	 	2263_12	5160_13
Bacillus cereus BAG2X1-3 (1053181.3)	1907	1906_2	3517_4	1798_12	4028_13
Bacillus cereus BAG3O-1 (1085388.3)	3180	3181_2, 3182_2	 	3405_12, 5055_12	611_13
Bacillus cereus BAG3O-2 (1053182.3)	2347	2346_2	 	2218_12, 3135_11	4902_13
Bacillus cereus BAG3X2-1 (1053183.3)	2307	2306_2	 	2175_12	4741_13
Bacillus cereus BAG3X2-2 (1053184.3)	3075	3076_2	 	2371_11, 3202_11, 5718_12	547_13
Bacillus cereus BAG4O-1 (1053185.3)	3093	3094_2	 	2308_11, 3222_12	535_13
Bacillus cereus BAG4X12-1 (1053186.3)	2954	2955_2	 	2165_11, 3080_11	486_13
Bacillus cereus BAG4X2-1 (1053187.3)	2382	2381_2	 	2243_11, 3674_11	5229_13
Bacillus cereus BAG5O-1 (1053188.3)	2418	2419_2	 	1090_11, 2559_11	5350_13
Bacillus cereus BAG5X1-1 (1053189.3)	2204	2203_2	 	2034_12, 5179_12	4605_13
Bacillus cereus BAG5X12-1 (1053190.3)	1675	1674_2	 	1549_11, 2462_11	4136_13
Bacillus cereus BAG5X2-1 (1053191.3)	1877	1875_2, 1876_2	 	1688_12, 2639_12	4495_13
Bacillus cereus BAG6O-1 (1053192.3)	2318	2317_2	 	2184_11, 3638_11	4745_13
Bacillus cereus BAG6O-2 (1053193.3)	764	765_2	 	972_12	5040_13
Bacillus cereus BAG6X1-1 (1053194.3)	2763	2764_2	 	2969_12	158_13
Bacillus cereus BAG6X1-2 (1053195.3)	2784	2785_2	1046_4	2843_11, 2956_12	546_13
Bacillus cereus BDRD-Cer4 (526978.3)	 	3318_2	 	3054_11, 3168_11	 
Bacillus cereus BDRD-ST196 (526976.3)	5475	5474_2	 	32_11	 
Bacillus cereus BDRD-ST24 (526974.3)	3801	3800_2	 	3866_11	 
Bacillus cereus BMG1.7 (1053196.3)	3401	3402_2	 	1870_11, 5144_11	6303_13
Bacillus cereus BtB2-4 (1053197.3)	3014	3015_2	1108_4	2957_12, 3207_12, 3253_12	546_13
Bacillus cereus CER057 (1053198.3)	3011	3012_2	1103_4	2954_12, 3211_12, 3257_12	541_13
Bacillus cereus CER074 (1053199.3)	2440	2439_2	4347_4	2199_12, 2247_12, 2497_12	4912_13
Bacillus cereus E33L (288681.15)	3145	3146_2	 	3290_11	 
Bacillus cereus FRI-35 (1217984.3)	3772	3771_2	 	3662_11	947_13
Bacillus cereus G9842 (405531.7)	3181	3182_2	 	3325_11	 
Bacillus cereus H-hrb01 (1225787.3)	3090	3844_2	871_9	 	3330_13, 57_13
Bacillus cereus HD73 (1053200.3)	3706	3705_2	 	1534_11, 1676_11	3329_13
Bacillus cereus HuA2-1 (1053201.3)	2739, 6094	2740_2	 	2934_12, 3016_11	152_13
Bacillus cereus HuA2-3 (1053202.3)	4083	4084_2	 	2714_11, 4222_11	1171_13
Bacillus cereus HuA2-4 (1053203.3)	3067	3068_2	 	3223_11, 5480_12	557_13
Bacillus cereus HuA2-9 (1053204.3)	670	671_2	 	858_12, 929_11	4313_13
Bacillus cereus HuA3-9 (1053205.3)	2493	2494_2	 	6069_11	5567_13
Bacillus cereus HuA4-10 (1053206.3)	2345	2344_2	 	2168_12	5586_13
Bacillus cereus HuB1-1 (1053207.3)	2473	2472_2	 	2350_11, 3236_11	4949_13
Bacillus cereus HuB13-1 (1053208.3)	4507	4508_2	 	3510_11, 3650_11	798_13
Bacillus cereus HuB2-9 (1053209.3)	2297	2296_2	 	2158_11, 3663_11	4767_13
Bacillus cereus HuB4-10 (1053210.3)	2443	2444_2	 	1095_11, 2588_11	4770_13
Bacillus cereus HuB4-4 (1053211.3)	3622	3623_2	 	2889_11, 3767_12	638_13
Bacillus cereus HuB5-5 (1053212.3)	3018	3019_2	 	1675_11, 3161_11	548_13
Bacillus cereus IS075 (718220.3)	1072	1073_2	 	1202_11	5045_13
Bacillus cereus IS195 (1053213.3)	2947	2946_2	 	2818_11	2166_13
Bacillus cereus IS845/00 (1053214.3)	3180	3179_2	 	3052_11	2214_13
Bacillus cereus ISP2954 (1053215.3)	4280	4281_2	 	2826_11, 2965_11	791_13
Bacillus cereus ISP3191 (1053216.3)	 	1665_2	 	1535_12	 
Bacillus cereus K-5975c (1053217.3)	2393	2392_2	 	2259_12, 5367_12	4928_13
Bacillus cereus LCT-BC244 (1163722.3)	1660	1659_2	 	1539_12	5163_13
Bacillus cereus MC118 (1053218.3)	4436	4435_2	 	4933_12, 5292_12	882_13
Bacillus cereus MC67 (1053219.3)	4446	4445_2	 	4292_12, 5265_12	1640_13
Bacillus cereus MM3 (526971.3)	3863	3862_2	 	3024_11, 4045_11	 
Bacillus cereus MSX-A1 (1053220.3)	1789	1788_2	 	1647_12, 2553_11	4378_13
Bacillus cereus MSX-A12 (1053221.3)	1073	1072_2	 	943_11	3539_13
Bacillus cereus MSX-D12 (1053222.3)	2387	2386_2	 	2252_11	4743_13
Bacillus cereus NC7401 (334406.4)	3046	3047_2	 	3175_11	643_13
Bacillus cereus Q1 (361100.6)	3073	3074_2	 	3208_11	690_13
Bacillus cereus R309803 (526968.3)	3242	3241_2	 	3463_11	 
Bacillus cereus Rock1-3 (526981.3)	3726	3725_2	 	2134_11, 3582_11	 
Bacillus cereus Rock3-29 (526984.3)	3623	3624_2	 	2180_11, 3759_11	 
Bacillus cereus Rock3-42 (526985.3)	 	5074_2	 	5312_11	 
Bacillus cereus Rock4-18 (526988.3)	3507	3506_2	 	2160_11, 3753_11	 
Bacillus cereus SJ1 (699184.4)	 	2232_2	 	1399_12	677_13
Bacillus cereus TIAC219 (718222.3)	378	379_2	 	515_12	5736_13
Bacillus cereus VD014 (1053223.3)	3021	3022_2	 	3153_11, 5385_12	532_13
Bacillus cereus VD021 (1053224.3)	1270	1269_2	 	1077_12	2780_13
Bacillus cereus VD022 (718223.3)	1794	1793_2	 	1653_12	5607_13
Bacillus cereus VD045 (1053225.3)	1789	1788_2	 	1647_12, 5260_12	 
Bacillus cereus VD048 (1053226.3)	1743	1742_2	 	1509_11, 1576_11, 1813_12	5791_13
Bacillus cereus VD078 (1053227.3)	2333	2332_2	4187_4	2097_12, 2147_12, 2148_12, 2386_12	4763_13
Bacillus cereus VD102 (1053228.3)	1691	1690_2	 	1560_11	4154_13
Bacillus cereus VD107 (1053229.3)	2310	2311_2	 	2424_12, 5022_12	4859_13
Bacillus cereus VD115 (1053230.3)	1871	1870_2	 	1707_12, 3276_11	6050_13
Bacillus cereus VD118 (1053231.3)	3290	3291_2	 	3520_12, 689_12	525_13
Bacillus cereus VD131 (1053232.3)	3393	3394_2	 	2040_11, 3540_11	607_13
Bacillus cereus VD133 (1053233.3)	5216	5215_2	 	1986_12, 1989_12, 5087_11	6291_13
Bacillus cereus VD136 (1053234.3)	3635	3636_2	 	1675_12	1188_13
Bacillus cereus VD140 (1053235.3)	3460	3461_2	 	2749_11, 3647_11	619_13
Bacillus cereus VD142 (718224.3)	189	188_2	 	2578_12	5314_13
Bacillus cereus VD146 (1053236.3)	3767	3768_2	 	3977_12, 929_11	587_13
Bacillus cereus VD148 (1053237.3)	2323	2322_2	 	2181_11, 3756_11	4868_13
Bacillus cereus VD154 (1053238.3)	1193	1194_2	 	1359_11	3055_13
Bacillus cereus VD156 (1053239.3)	2524	2523_2	 	2333_11, 5598_12	 
Bacillus cereus VD166 (1053240.3)	1708	1707_2	 	1563_11, 1721_12, 1773_11, 5942_12	 
Bacillus cereus VD169 (1053241.3)	2952	2953_2	 	3096_11, 5352_12	 
Bacillus cereus VD184 (1053242.3)	3465	3466_2	 	3780_11	975_13
Bacillus cereus VD196 (1053243.3)	2232	2233_2	 	2195_12, 2438_11	3582_13
Bacillus cereus VD200 (1053244.3)	3142	3143_2	 	3059_12, 3307_11	 
Bacillus cereus VD214 (1053245.3)	3428	3429_2	 	2072_11, 3567_11	615_13
Bacillus cereus VDM006 (1085379.3)	3682	3683_2	 	3369_12	1178_13
Bacillus cereus VDM019 (1053246.3)	3014	3015_2	1111_4	2963_12, 3214_12, 3264_12	549_13
Bacillus cereus VDM021 (1085386.3)	3567	3568_2	 	3292_12	1227_13
Bacillus cereus VDM022 (1053247.3)	2383	2382_2	 	2150_12, 2204_12, 2441_12	5193_13
Bacillus cereus VDM034 (1053248.3)	2621	2622_2	 	2783_12, 5060_11	192_13
Bacillus cereus VDM053 (1053249.3)	3505	3506_2	 	3666_12, 3697_11, 5402_12	917_13
Bacillus cereus VDM062 (1053250.3)	2593	2592_2	 	2429_12, 5669_11	5099_13
Bacillus cereus biovar anthracis str. CI (637380.6)	 	3565_2	 	3707_11	 
Bacillus cereus m1293 (526973.3)	4613	4612_2	 	4653_11	1943_13
Bacillus cereus m1550 (526969.3)	3042	3041_2	 	3187_11	 
Bacillus cereus str. Schrouff (718221.3)	1729	1728_2	 	1595_12, 5213_12	5611_13
Bacillus cereus subsp. cytotoxis NVH 391-98 (315749.4)	2143	2144_2	1013_4, 4067_4	 	 
Bacillus mycoides DSM 2048 (526997.3)	3428	3427_2	1557_4	137_12, 3582_11, 913_12	 
Bacillus mycoides Rock1-4 (526998.3)	1243	1242_2	 	4444_11	4634_13
Bacillus mycoides Rock3-17 (526999.3)	4005	4004_2	 	914_11	1347_13
Bacillus thuringiensis HD-771 (1218175.3)	640	639_2	 	1484_11, 519_12	3553_13
Bacillus thuringiensis HD-789 (1217737.3)	2741	2742_2	 	2871_11	239_13
Bacillus thuringiensis IBL 200 (527019.3)	4295	4294_2	 	4576_11, 889_11	 
Bacillus thuringiensis IBL 4222 (527020.3)	342	341_2	 	489_11	 
Bacillus thuringiensis MC28 (1195464.3)	2439	2440_2	 	1108_12, 2594_11	5527_13
Bacillus thuringiensis serovar andalousiensis BGSC 4AW1 (527032.3)	 	4482_2	 	4496_11, 4727_11	 
Bacillus thuringiensis serovar berliner ATCC 10792 (527031.3)	4741	4740_2	 	1902_11, 4968_11	 
Bacillus thuringiensis serovar chinensis CT-43 (541229.3)	3299	3300_2	 	3437_11	 
Bacillus thuringiensis serovar finitimus YBT-020 (930170.3)	3197	3198_2	 	3311_12	729_13
