Organism	IlvA	CimA	Leu_C	IlvM	IlvC	IlvD	LeuA	LeuCD	LeuB	IlvE	Ldh	AvtA	LivABC	BrnQM	AzlCD
Eggerthella sp. 1_3_56FAA (665943.3)	 	1696	 	48_6, 49_7	50	47	59	1902_15, 1903_16	1904	1695_18	 	 	 	151_27	 
Eggerthella sp. YY7918 (502558.4)	 	2202	 	1537_6, 1720_7, 1721_6	1719	1722	1703	2065_16, 2066_15	2064	2203_18	 	 	 	 	 
Gordonibacter pamelaeae 7-10-1-b (657308.3)	 	656	 	1883_7, 1884_6	1882	 	1832	559_16, 560_15	557, 558	657_18	 	 	 	 	 
Olsenella uli DSM 7084 (633147.4)	70_1	 	 	 	 	16	1558	1556_16, 1557_15	1555	1396_18	 	 	761_22, 762_23, 763_26, 764_25, 765_25, 766_24	662_27	 
Slackia exigua ATCC 700122 (649764.3)	1183_1	 	 	824_6, 825_7	826	823	1182	1180_16, 1181_15	1179	280_18	 	 	 	 	 
Actinomyces cardiffensis F0333 (888050.3)	1547_1	1686	 	1691_7, 1692_6	1690	1687	230	1669_16, 1670_15	1689	1688_18	 	 	 	1398_27	 
Actinomyces graevenitzii C83 (435830.3)	1750_3	 	 	264_6, 265_7	266	1749	280	 	 	267_18	 	 	 	1307_27	 
Actinomyces naeslundii str. Howell 279 (1115803.3)	2158_1, 872_3	 	 	2145_7, 2146_6	2144	401	477	1614_16, 1615_15	2141	2139_18	 	 	 	559_27	 
Actinomyces turicensis ACS-279-V-Col4 (883077.3)	1026_1	1609	 	1616_7, 1617_6	1615	1610	1563	1128_16, 1129_15	1613	1612_18	 	 	 	 	 
Corynebacterium aurimucosum ATCC 700975 (Prj:31451) (548476.7)	2027_3	 	 	205_7, 206_6	204	208	1715	177_16, 178_15	200	2092_18	 	 	 	2216_27	 
Corynebacterium durum F0235 (1035195.3)	1456_1	 	 	376_7, 377_6	375	380	1808	321_16, 322_15	359	1549_18	 	2346	 	1683_27	 
Corynebacterium propinquum DSM 44285 (1121367.3)	382_3	 	 	580_6, 581_7	582	577	1606	602_15, 603_16	588	994_18	 	 	 	1428_27, 2017_27	 
Gordonia rubripertincta NBRC 101908 (1077975.4)	1078_1, 1185_1, 2718_1	 	 	3240_7, 3681_6	3239	1701, 2028	450	3227_16, 3228_15	3236, 4538	3945_18	 	 	4541_23, 4542_26, 4543_25, 4544_24	 	 
Gordonia terrae C-6 (1316928.3)	1349_1, 1447_1, 3318_1	 	 	1972_6, 864_7, 865_6	863	3511, 868	3744	2193_15, 852_16, 853_15	1996, 860	666_18	 	3543	1989_22, 1990_24, 1991_25, 1992_26, 1993_23	 	 
Gordonia terrae NBRC 100016 (1089454.3)	2352_1, 2614_1, 3113_1	 	 	2182_6, 828_6, 829_7	830	2509, 824	2465, 3024	344_15, 345_16, 4_15, 4466_16, 4467_15	331, 4474	4296_18	2481	 	334_23, 335_26, 336_25, 337_24, 338_22	 	 
Mycobacterium avium subsp. paratuberculosis JQ6 (1112208.3)	4434_1, 4435_1	 	 	3159_6, 3160_7	3161	2185	1388	3172_15, 3173_16, 4104_16, 4105_15	3166	204_18	 	 	 	 	 
Mycobacterium avium subsp. paratuberculosis MAP4 (1199187.3)	2675_1	 	 	788_6, 789_7	790	147	3665	1612_16, 1613_15, 800_15, 801_16	794	1939_18	 	3461	 	 	 
Mycobacterium avium subsp. paratuberculosis S5 (1247747.5)	1658_1	 	 	3432_7, 3433_6	3431	4099	388, 389	2809_15, 3420_16, 3421_15	3427	2438_18	 	591	 	 	 
Mycobacterium abscessus 3A-0119-R (1001721.3)	1160_1, 2731_1	 	 	3449_7, 3450_6	3448	4815, 4912	269	3417_16, 3418_15	3427	1943_18	 	 	2629_24, 2630_25, 2631_26, 2632_23, 2633_22	 	 
Mycobacterium abscessus 3A-0122-R (1001715.3)	1189_1, 2766_1	 	 	3410_7, 3411_6	3409	4847, 4944	355	3379_16, 3380_15	3389	1984_18	 	 	2663_24, 2664_25, 2665_26, 2666_23, 2667_22	 	 
Mycobacterium abscessus 3A-0122-S (1001716.3)	2325_1, 750_1	 	 	3025_7, 3026_6	3024	4625, 4723	92	2993_16, 2994_15	3003	1542_18	 	 	2223_24, 2224_25, 2225_26, 2226_23, 2227_22	 	 
Mycobacterium abscessus 3A-0731 (1001718.3)	1028_1, 2874_1	 	 	3561_7, 3562_6	3560	4895, 4992	269	3530_16, 3531_15	3540	1894_18	 	 	2770_24, 2771_25, 2772_26, 2773_23, 2774_22	 	 
Mycobacterium abscessus 3A-0810-R (1001717.3)	1204_1, 2777_1	 	 	3487_7, 3488_6	3486	4816, 4913	271	3455_16, 3456_15	3465	1988_18	 	 	2673_24, 2674_25, 2675_26, 2676_23, 2677_22	 	 
Mycobacterium abscessus 3A-0930-R (1001720.3)	1213_1, 2784_1	 	 	3455_7, 3456_6	3454	4762, 4859	271	3423_16, 3424_15	3433	1993_18	 	 	2680_24, 2681_25, 2682_26, 2683_23, 2684_22	 	 
Mycobacterium abscessus 3A-0930-S (1001719.3)	2716_1, 785_1	 	 	3387_7, 3388_6	3386	4689, 4786	272	3356_16, 3357_15	3366	1564_18	 	 	2611_24, 2612_25, 2613_26, 2614_23, 2615_22	 	 
Mycobacterium abscessus 47J26 (1087483.3)	1249_1, 1873_1	 	 	558_6, 559_7	560	3878, 3974	3506	4463_16, 4464_15, 599_15, 600_16	587	2519_18	 	 	1304_22, 1305_23, 1306_26, 1307_25, 1308_24	 	 
Mycobacterium abscessus 4S-0116-R (1001725.3)	1268_1, 2398_1	 	 	3037_7, 3038_6	3036	4366, 4464	472	3011_16, 3012_15	3021	1913_18	 	 	2337_24, 2338_25, 2339_26, 2340_23, 2341_22	 	 
Mycobacterium abscessus 4S-0116-S (1001724.3)	1492_1, 166_1	 	 	2129_7, 2130_6	2128	3456, 3555	4149	2103_16, 2104_15	2113	811_18	 	 	1432_24, 1433_25, 1434_26, 1435_23, 1436_22	 	 
Mycobacterium abscessus 4S-0206 (1001723.3)	2402_1, 424_1	 	 	3040_7, 3041_6	3039	4366, 4465	1880	3014_16, 3015_15	3024	1068_18	 	 	2342_24, 2343_25, 2344_26, 2345_23, 2346_22	 	 
Mycobacterium abscessus 4S-0303 (1001722.3)	1470_1, 2391_1	 	 	3032_7, 3033_6	3031	4358, 4456	473	3005_16, 3006_15	3015	2117_18	 	 	2331_24, 2332_25, 2333_26, 2334_23, 2335_22	 	 
Mycobacterium abscessus 4S-0726-RA (1001726.3)	1020_1, 2326_1	 	 	2965_7, 2966_6	2964	4291, 4390	205	2939_16, 2940_15	2949	1664_18	 	 	2265_24, 2266_25, 2267_26, 2268_23, 2269_22	 	 
Mycobacterium abscessus 4S-0726-RB (1001727.3)	1936_1, 604_1	 	 	2578_7, 2579_6	2577	3904, 4001	4597	2552_16, 2553_15	2562	1250_18	 	 	1876_24, 1877_25, 1878_26, 1879_23, 1880_22	 	 
Mycobacterium abscessus 5S-0304 (1001728.3)	1570_1, 169_1	 	 	2500_7, 2501_6	2499	3853, 3949	4538	2476_16, 2477_15	2487	1287_18	 	 	1512_24, 1513_25, 1514_26, 1515_23, 1516_22	 	 
Mycobacterium abscessus 5S-0421 (1001729.3)	1822_1, 424_1	 	 	2751_7, 2752_6	2750	4106, 4202	4774	2727_16, 2728_15	2738	1108_18	 	 	1763_24, 1764_25, 1765_26, 1766_23, 1767_22	 	 
Mycobacterium abscessus 5S-0422 (1001731.3)	1122_1, 2463_1	 	 	3624_7, 3625_6	3623	4975, 5071	3459	3600_16, 3601_15	3611	1800_18	 	 	2405_24, 2406_25, 2407_26, 2408_23, 2409_22	 	 
Mycobacterium abscessus 5S-0708 (1001730.3)	2333_1, 4505_1	 	 	2475_7, 2476_6	2474	3831, 3927	44	2451_16, 2452_15	2462	1321_18	 	 	1977_24, 1978_25, 1979_26, 1980_23, 1981_22	 	 
Mycobacterium abscessus 5S-0817 (1001735.3)	204_1, 5193_1	 	 	2105_7, 2106_6	2104	3453, 3549	4144	2081_16, 2082_15	2092	889_18	 	 	1545_24, 1546_25, 1547_26, 1548_23, 1549_22	 	 
Mycobacterium abscessus 5S-0921 (1001732.3)	2265_1, 863_1	 	 	3406_7, 3407_6	3405	4757, 4854	217	3382_16, 3383_15	3393	1546_18	 	 	2206_24, 2207_25, 2208_26, 2209_23, 2210_22	 	 
Mycobacterium abscessus 5S-1212 (1001733.3)	4602_1, 579_1	 	 	2234_7, 2235_6	2233	3585, 3681	5184	2210_16, 2211_15	2221	1263_18	 	 	4658_22, 4659_23, 4660_26, 4661_25, 4662_24	 	 
Mycobacterium abscessus 5S-1215 (1001734.3)	1836_1, 4534_1	 	 	2583_7, 2584_6	2582	3852, 3949	44	2559_16, 2560_15	2570	1149_18	 	 	 	 	 
Mycobacterium abscessus 6G-0125-R (1001740.3)	1752_1, 257_1	 	 	2399_7, 2400_6	2398	3645, 3741	4403	2367_16, 2368_15	2377	1003_18	 	 	1681_24, 1682_25, 1683_26, 1684_23, 1685_22	 	 
Mycobacterium abscessus 6G-0212 (1001739.3)	1251_1, 2742_1	 	 	3388_7, 3389_6	3387	4634, 4730	291	3357_16, 3358_15	3367	1998_18	 	 	2671_24, 2672_25, 2673_26, 2674_23, 2675_22	 	 
Mycobacterium abscessus 9808 (1246644.3)	2037_1, 3465_1	 	 	4914_7, 4915_6	4913	390, 487	1094	4883_16, 4884_15	4893	2698_18	 	1446	3405_24, 3406_25, 3407_26, 3408_23, 3409_22	 	 
Mycobacterium abscessus M115 (1162287.3)	2151_1, 4156_1	 	 	2680_6, 2681_7	2682	108, 13	4575	1156_15, 1157_16, 2702_15, 2703_16	2693	2900_18	 	 	2207_22, 2208_23, 2209_26, 2210_25, 2211_24	 	 
Mycobacterium abscessus M139 (1175632.3)	1022_1, 4533_1	 	 	103_7, 104_6	102	3376, 3475	4130	82_16, 83_15	92	1860_18	 	2696	1091_22, 1092_23, 1093_26, 1094_25, 1095_24	 	 
Mycobacterium abscessus M152 (1176125.3)	3061_1, 3548_1	 	 	1363_7, 1364_6	1362	3952, 4049	293	1340_16, 1341_15	1350	684_18	 	2638	3604_22, 3605_23, 3606_26, 3607_25, 3608_24	 	 
Mycobacterium abscessus M154 (1162288.3)	133_1, 4286_1	 	 	2142_7, 2143_6	2141	3925, 4021	3454	2120_16, 2121_15, 3017_16, 3018_15	2130	4572_18	 	 	74_24, 75_25, 76_26, 77_23, 78_22	 	 
Mycobacterium abscessus M156 (1185414.3)	1979_1, 568_1	 	 	4533_7, 4534_6	4532	2527, 2624	261	1338_15, 1339_16, 3184_15, 3185_16	4521	3995_18	 	4680	2034_22, 2035_23, 2036_26, 2037_25, 2038_24	 	 
Mycobacterium abscessus M159 (1162285.3)	103_1, 1615_1	 	 	2667_6, 2668_7	2669	3869, 4582	2564	4269_16, 4270_15, 941_15, 942_16	4279	2212_18	 	 	1556_24, 1557_25, 1558_26, 1559_23, 1560_22	 	 
Mycobacterium abscessus M172 (1162286.3)	4075_1, 453_1	 	 	4724_6, 4725_7	4726	4785, 4881	4410	2197_15, 2198_16, 4922_15, 4923_16	4738	2609_18	 	 	394_24, 395_25, 396_26, 397_23, 398_22	 	 
Mycobacterium abscessus M24 (1162284.3)	2520_1, 3640_1	 	 	1205_7, 1206_6	1204	1413, 4319	4375	5295_15, 5296_16	5285	4914_18	 	 	2459_24, 2460_25, 2461_26, 2462_23, 2463_22	 	 
Mycobacterium abscessus M93 (1149134.5)	2097_1, 3590_1	 	 	1596_6, 1597_7	1598	306, 402	3146	1628_15, 1629_16	1619	4338_18	 	 	2037_24, 2038_25, 2039_26, 2040_23, 2041_22	 	 
Mycobacterium abscessus M94 (1158135.4)	1799_1, 2630_1	 	 	1925_6, 1926_7	1927	3570, 3667	946	1958_15, 1959_16	1949	4673_18	 	 	1737_24, 1738_25, 1739_26, 1740_23, 1741_22	 	 
Mycobacterium abscessus subsp. bolletii 50594 (1303024.3)	1267_1, 2715_1	 	 	3336_7, 3337_6	3335	4676, 4772	357	3314_16, 3315_15, 5003_15, 5004_16	3324	2009_18	 	704	2655_24, 2656_25, 2657_26, 2658_23, 2659_22	 	 
Mycobacterium abscessus subsp. bolletii BD (1091046.3)	1186_1, 2537_1	 	 	3194_7, 3195_6	3193	4600, 4696	272	3163_16, 3164_15	3173	1840_18	 	 	2475_24, 2476_25, 2477_26, 2478_23, 2479_22	 	 
Mycobacterium fortuitum subsp. fortuitum DSM 46621 (1214102.3)	622_1, 860_2	 	 	1699_7, 1700_6	1698	1268, 3038	2292, 4972	1682_16, 1683_15	1692, 3843	5870_18	2381	5699	5331_22, 5332_23, 5333_26, 5334_25, 5335_24	 	 
Rhodococcus erythropolis XP (1078016.3)	1705_1, 4021_1, 478_1, 5470_1	 	 	1474_6, 4383_6, 4384_7, 6521_6	4385	1262, 4381	2743, 3383	4394_15, 4395_16	4387, 5232	5561_18	2248, 5976	 	280_24, 281_25, 283_23, 284_22, 5238_23, 5239_26, 5240_25, 5241_24, 5242_22, 715_22, 716_26, 717_23, 718_24, 719_25	 	 
Brevibacterium casei S18 (1229781.4)	2482_1, 3180_1	 	 	1842_6, 1843_7	1844	2360	1288	1875_15, 1876_16	1853	1854_18	 	2058	 	 	 
Brevibacterium massiliense 5401308 (1176165.3)	391_1	 	 	764_6, 765_7	766	746, 92	1211	796_15, 797_16	771	774_18	 	1953	 	327_27	 
Brachybacterium paraconglomeratum LC44 (1064537.3)	2174_1	3215	 	3222_7, 3223_6	3221	1851, 3227	2612	3189_16, 3190_15	3217	3216_18	 	 	 	 	 
Curtobacterium flaccumfaciens UCD-AKU (1292022.3)	2838_1	 	 	1850_6, 1851_7	1852	1849	2778	3396_15, 3397_16	1857	1858_18	 	 	885_24, 886_25, 887_26, 888_23	 	 
Microbacterium paraoxydans 77MFTsu3.2 (1151126.3)	2908_1	 	 	2669_7, 2670_6	2668	2671	1158	2645_16, 2646_15	2662	2661_18	3037	 	1802_23, 1803_26, 1804_25, 1805_24, 1806_22	 	 
Kocuria palustris PEL (1236550.3)	1064_2	 	 	1645_6, 1646_7	1647	504	52	1657_15, 1658_16	1650	1651_18	 	 	 	1396_27	 
Rothia aeria F0474 (1125724.3)	1151_1	 	 	1645_6, 1646_7	1647	1579	334	825_16, 826_15	1658	1659_18	 	 	 	 	 
Rothia mucilaginosa M508 (563033.4)	1373_1	 	 	701_6, 702_7	703	1636	940	746_15, 747_16	712	713_18	 	 	 	 	 
Propionibacterium acidipropionici ATCC 4875 (1171373.8)	2738_3	2034	 	2041_7, 2042_6	2040	2737	1429	2028_16, 2029_15	2036	2035_18	 	963	2653_22, 2654_24, 2655_25, 2656_26, 2657_23	 	 
Propionibacterium acnes C1 (1234380.3)	 	 	 	1492_7, 1493_6	1490	 	1020, 1021	1479_16, 1480_15, 1481_15	1488	1486_18	 	 	 	 	 
Propionibacterium acnes FZ1/2/0 (1276649.3)	 	 	 	1436_7, 1437_6	1435	 	983	1424_16, 1425_15, 1426_15	1433	1431_18	 	 	 	 	 
Propionibacterium acnes HL096PA1 (1134454.3)	 	 	 	894_6, 895_7	896	 	1325	905_15, 906_15, 907_16	898	900_18	 	 	 	2114_27	 
Propionibacterium acnes PRP-38 (1136877.3)	 	 	 	2113_7, 2114_6	2111	 	1684	2100_16, 2101_15, 2102_15	2109	2107_18	 	 	 	368_27	 
Propionibacterium avidum 44067 (1170318.3)	1828_3	 	 	863_6, 864_7	865	1827	1304	874_15, 875_16	867	868_18	 	 	 	 	 
Propionibacterium avidum ATCC 25577 (997355.3)	1367_3	 	 	1567_6, 1568_7	1569	1368	1998	1578_15, 1579_16	1571	1572_18	 	 	 	 	 
Propionibacterium propionicum F0230a (767029.3)	2601_3	 	 	1301_6, 1302_7	1303	1900	1673	1318_15, 1319_16	1308	2091_18, 3009_18	 	 	811_22, 812_23_26, 812_23_26, 813_25, 814_24	 	 
Bifidobacterium angulatum DSM 20098 = JCM 7096 (518635.7)	254_2	 	 	1440_7, 1441_6	297, 298	430	3	1541_15, 1542_16	1290	803_18	 	 	1606_22, 1607_23, 1608_26, 1609_25, 1610_24	 	 
Bifidobacterium animalis subsp. animalis ATCC 25527 (703613.4)	1555_2	 	 	294_7, 295_6	143	645	225	252_15, 253_16	1354	912_18	 	 	126_23, 127_26, 128_25, 129_24, 130_22	1048_27	 
Bifidobacterium animalis subsp. lactis B420 (1168290.3)	1563_2	 	 	279_7, 280_6	144	633	219	242_15, 243_16	1351	888_18	 	 	128_23, 129_26, 130_25, 131_24, 132_22	 	 
Bifidobacterium animalis subsp. lactis BS 01 (911598.3)	5_2	 	 	328_7, 329_6	192	683	266	290_15, 291_16	1411	941_18	 	 	176_23, 177_26, 178_25, 179_24, 180_22	 	 
Bifidobacterium animalis subsp. lactis Bi-07 (742729.3)	1560_2	 	 	278_7, 279_6	144	632	218	241_15, 242_16	1351	887_18	 	 	128_23, 129_26, 130_25, 131_24, 132_22	 	 
Bifidobacterium bifidum BGN4 (484020.3)	1795_2	 	 	322_6, 323_7	136, 138	603	1725	186_15, 187_16	369	825_18	 	 	 	943_27	 
Bifidobacterium bifidum LMG 13195 (1207542.3)	403_2	 	 	336_7, 337_6	1893, 1943	391	545	1458_16, 1459_15	897	1043_18	 	 	 	1420_27	 
Bifidobacterium breve CECT 7263 (1036735.3)	1547_2	 	 	785_6, 786_7	1144, 1146	1515	112	1069_16, 1070_15	891	1770_18	 	1026	1371_24, 1372_25, 1373_26, 1374_23, 1375_22	 	 
Bifidobacterium breve DPC 6330 (1074482.3)	683_2	 	 	1123_7, 1124_6	858, 860	1927	914	252_16, 253_15	1208	1698_18	 	1980	1999_24, 2000_25, 2001_26, 2002_23, 2003_22	 	 
Bifidobacterium breve DSM 20213 = JCM 1192 (518634.7)	2_2	 	 	400_7, 401_6	164, 166	1611	219	1285_15, 1286_16	479	964_18	 	 	1548_22, 1549_23, 1550_26, 1551_25, 1552_24	 	 
Bifidobacterium breve HPH0326 (1203540.3)	2_2	 	 	477_7, 478_6	191, 193	887	252	1277_16, 1278_15	567	1891_18	 	 	966_24, 967_25, 968_26, 969_23, 970_22	1815_27	 
Bifidobacterium catenulatum DSM 16992 = JCM 1194 (566552.6)	981_2	 	 	1468_6, 1469_7	91, 92	1615	1731	1505_16, 1506_15	1037	813_18	 	 	1197_22, 1198_23, 1199_26, 1200_25, 1201_24	 	 
Bifidobacterium longum subsp. infantis ATCC 15697 = JCM 1222 (391904.8)	2527_2	 	 	410_7, 411_6	137, 142	2213	174	2401_16, 2402_15	2156	1643_18	 	 	580_22, 582_23, 583_26, 584_25, 585_24, 771_22, 772_23_26, 772_23_26, 773_24	 	 
Bifidobacterium longum subsp. longum 1-6B (1161744.3)	1040_2	 	 	1089_6, 1090_7	783, 785	965	822	1436_15, 1437_16	318	770_18	 	 	1019_22, 1020_23, 1021_26, 1022_25, 1023_24	1449_27	 
Bifidobacterium longum subsp. longum 2-2B (1161745.3)	1992_2	 	 	1567_7, 1568_6	327, 329	1057	288	206_15, 207_16	1284	1355_18	 	 	612_24, 613_25, 614_26, 615_23, 616_22	2228_27	 
Bifidobacterium longum subsp. longum 35B (1161904.3)	1539_2	 	 	2063_7, 2064_6	1670, 1672	929	1630	1523_15, 1524_16	1740	1175_18	 	 	328_22, 329_23, 330_26, 331_25, 332_24	348_27	 
Bifidobacterium longum subsp. longum 44B (1161743.3)	2023_2	 	 	142_6, 143_7	931, 933	921	970	1760_15, 1761_16	1273	2019_18	 	 	2137_24, 2138_25, 2139_26, 2140_23, 2141_22	1924_27	 
Bifidobacterium longum subsp. longum CMCC P0001 (1266716.3)	473_2	 	 	895_6, 896_7	1966	290	1589	1383_15, 1384_16	1480	1047_18	 	1334	1526_23, 1527_26, 1528_25, 1529_24, 1530_22, 656_22, 657_23_26, 657_23_26, 658_24_25, 658_24_25	932_27	 
Bifidobacterium pseudocatenulatum DSM 20438 = JCM 1200 (547043.8)	1884_2	 	 	406_6, 407_7	1560, 1562	28	481	444_16, 445_15	922	1135_18	 	 	142_24, 143_25, 144_26, 145_23, 146_22	 	 
Bifidobacterium thermophilum RBL67 (1254439.12)	1788_2	 	 	305_7, 306_6	118	1155	1627	263_15, 264_16	427	982_18	 	1299	101_23, 102_26, 103_25, 104_24, 105_22, 157_22, 158_23, 159_26, 160_25, 161_24	 	 
Atopobium minutum 10063974 (997872.3)	 	 	 	 	 	 	 	 	 	 	 	 	1189_24, 1190_25, 1191_26, 1192_23, 1193_22	1373_27	 
Collinsella tanakaei YIT 12063 (742742.3)	128_1	 	 	125_7, 126_6	124	1036, 127	1933	1931_16, 1932_15	1930	1049_18	 	 	2154_22, 2155_23, 2156_26, 2157_25, 2158_24	1202_27	 
Slackia piriformis YIT 12062 (742818.3)	 	 	 	1606_6, 1607_7	 	 	1962	1960_16, 1961_15	1959	1948_18	 	 	 	 	 
Bacteroides fragilis ATCC 25285 (272559.3)	 	3133	 	3942_7, 3943_6	3939	3944	3136	3134_16, 3135_15	3132	3702_18	 	 	 	 	 
Bacteroides caccae ATCC 43185 (411901.7)	 	3598	 	2956_6, 2957_7	2959	2955	3601	3599_16, 3600_15	3597	3196_18	 	 	 	 	 
Bacteroides caccae CL03T12C61 (997873.3)	 	2937	 	4349_6, 4350_7	4352	4348	2940	2938_16, 2939_15	2936	1899_18, 55_18	 	 	 	 	 
Bacteroides capillosus ATCC 29799 (411467.6)	131_1	 	 	116_7, 117_6	115	111	2742	1576_16, 1577_15	1575	2480_18	 	 	465_24, 466_25, 467_26, 468_23, 469_22	2091_27	 
Bacteroides cellulosilyticus CL02T12C19 (997874.3)	 	2673	 	5126_6, 5127_7	5129	5125	2670	2671_15, 2672_16	2674	4858_18	 	 	 	 	 
Bacteroides cellulosilyticus DSM 14838 (537012.5)	 	4960	 	816_6, 817_7	819	813	4963	4961_16, 4962_15	4959	940_18	 	 	 	 	 
Bacteroides clarus YIT 12056 (762984.3)	 	993	 	2900_6, 2901_7	2903	2899	990	991_15, 992_16	994	2509_18	 	 	 	 	 
Bacteroides coprocola DSM 17136 (470145.6)	 	980	 	1417_7, 1418_6	1415	1419	983	981_16, 982_15	979	2732_18	 	 	 	 	 
Bacteroides coprophilus DSM 18228 (547042.5)	 	2866	 	930_7, 931_6	928	932	2863	2864_15, 2865_16	2867	1883_18	 	 	 	 	 
Bacteroides dorei CL02T00C15 (997875.3)	1824_1	1062	 	368_7, 369_6	366	370	1065	1063_16, 1064_15	1061	2460_18	 	 	 	 	 
Bacteroides dorei CL02T12C06 (997876.3)	2710_1	5099	 	692_7, 693_6	690	694	5102	5100_16, 5101_15	5098	4643_18	 	 	 	 	 
Bacteroides dorei CL03T12C01 (997877.3)	2165_1	1602	 	1079_7, 1080_6	1077	1081	1605	1603_16, 1604_15	1601	3670_18	 	 	 	 	 
Bacteroides dorei DSM 17855 (483217.6)	882_1	2946	 	3778_6, 3779_7	3781	3777	2943	2944_15, 2945_16	2947	170_18	 	 	 	 	 
Bacteroides eggerthii 1_2_48FAA (665953.3)	 	4080	 	1838_7, 1839_6	1836	1840	4083	4081_16, 4082_15	4078	2045_18	 	 	 	 	 
Bacteroides eggerthii DSM 20697 (483216.6)	 	1675	 	267_6, 268_7	270	266	1672	1673_15, 1674_16	1677	48_18	 	 	 	 	 
Bacteroides faecis MAJ27 (1077285.3)	 	4334, 4865	 	4589_7, 4590_6	4586	4591	4337, 4868	4335_16, 4336_15, 4866_16, 4867_15	4333, 4864	1359_18	 	 	 	 	 
Bacteroides finegoldii DSM 17565 (483215.6)	 	434	 	1550_7, 1551_6	1547	1552	437	435_16, 436_15	433	752_18	 	 	 	 	 
Bacteroides fluxus YIT 12057 (763034.3)	 	89	 	1088_6, 1089_7	1091	1087	86	87_15, 88_16	91	2316_18	 	 	 	 	 
Bacteroides fragilis 3_1_12 (457424.5)	 	3503	 	3537_7, 3538_6	3534	3539	3506	3504_16, 3505_15	3502	4356_18	 	 	 	 	 
Bacteroides fragilis 638R (862962.3)	 	3410	 	2661_6, 3708_7, 3709_6	3705	3710	3413	3411_16, 3412_15	3409	3994_18	 	 	 	 	 
Bacteroides fragilis CL03T00C08 (997878.3)	 	3381	 	3790_7, 3791_6	3787	3792	3384	3382_16, 3383_15	3380	4384_18	 	 	 	 	 
Bacteroides fragilis CL03T12C07 (997879.3)	 	2211	 	2624_7, 2625_6	2621	2626	2214	2212_16, 2213_15	2210	31_18	 	 	 	 	 
Bacteroides fragilis CL05T00C42 (997880.3)	 	2851	 	3630_7, 3631_6	3627	3632	2854	2852_16, 2853_15	2850	3111_18	 	 	 	 	 
Bacteroides fragilis CL05T12C13 (997881.3)	 	2307	 	3134_7, 3135_6	3131	3136	2304	2305_15, 2306_16	2308	4523_18	 	 	 	 	 
Bacteroides fragilis CL07T00C01 (997882.3)	 	4662	 	160_6, 3720_7, 3721_6	3717	3722	4665	4663_16, 4664_15	4661	4764_18	 	 	 	 	 
Bacteroides fragilis CL07T12C05 (997883.3)	 	4262	 	2878_6, 3318_7, 3319_6	3315	3320	4265	4263_16, 4264_15	4261	4769_18	 	 	 	 	 
Bacteroides fragilis HMW 610 (1073386.3)	 	1698	 	1994_7, 1995_6, 788_6	1991	1996	1701	1699_16, 1700_15	1697	3798_18	 	 	 	 	 
Bacteroides fragilis HMW 615 (1073387.4)	 	1890	 	4087_7, 4088_6	4084	4089	1887	1888_15, 1889_16	1891	1646_18	 	 	 	 	 
Bacteroides fragilis HMW 616 (1073388.3)	 	2755	 	3133_7, 3134_6	3130	3135	2758	2756_16, 2757_15	2754	3433_18	 	 	 	 	 
Bacteroides fragilis NCTC 9343 (272559.17)	 	3318	 	3623_7, 3624_6	3620	3625	3321	3319_16, 3320_15	3317	3856_18	 	 	 	 	 
Bacteroides fragilis YCH46 (295405.11)	 	3309	 	3609_7, 3610_6	3606	3611	3312	3310_16, 3311_15	3308	3846_18	 	 	 	 	 
Bacteroides intestinalis DSM 17393 (471870.8)	 	3065	 	217_7, 218_6	215	219	3068	3066_16, 3067_15	3064	76_18	 	 	 	 	 
Bacteroides massiliensis B84634 = Timone 84634 = DSM 17679 = JCM 13223 (1121098.4)	 	2084	 	326_7, 327_6	324	328	2088	2085_16, 2087_15	2083	1951_18	 	 	 	 	 
Bacteroides massiliensis dnLKV3 (1235788.3)	2135_1	2742	 	1448_6, 1449_7	1451	1447	2739	2740_15, 2741_16	2743	2859_18	 	 	 	 	 
Bacteroides nordii CL02T12C05 (997884.3)	 	2999	 	1285_6, 1286_7	1288	1284	2996	2997_15, 2998_16	3000	4039_18	 	 	 	 	 
Bacteroides oleiciplenus YIT 12058 (742727.4)	 	5541	 	3236_6, 3237_7	3239	3235	5544	5542_16, 5543_15	5540	2937_18	 	 	 	 	 
Bacteroides ovatus 3_8_47FAA (665954.3)	 	4713	 	4277_6, 4278_7	4280	4276	4716	4714_16, 4715_15	4712	3240_18	 	 	 	 	 
Bacteroides ovatus ATCC 8483 (411476.11)	 	3925	 	2781_6, 2782_7	2784	2779	3928	3926_16, 3927_15	3924	1378_18, 3123_18	 	 	 	 	 
Bacteroides ovatus CL02T12C04 (997885.3)	 	3758	 	3962_7, 3963_6	3960	3964	3761	3759_16, 3760_15	3757	6242_18	 	 	 	 	 
Bacteroides ovatus CL03T12C18 (997886.3)	 	5108	 	3697_7, 3698_6	2333, 3695	3699	5111	5109_16, 5110_15	5107	1422_18	 	 	 	 	 
Bacteroides ovatus SD CC 2a (702444.3)	 	3122	 	1115_6, 1116_7	803	1114	3119	3120_15, 3121_16	2693	2348_18	 	 	 	 	 
Bacteroides pectinophilus ATCC 43243 (483218.5)	1857_2	 	 	2101_6, 2265_7	 	2102, 965	2232	2785_15, 2786_16, 2787_15, 2788_15, 2789_16	2103	2726_18	 	 	 	 	 
