Organism	AroKL	AroA	AroC	AroH	PheA1	PheA2	TyrA2	AroJ	TyrA1	AroP	PheP	TyrP	TyrT
Actinomyces naeslundii str. Howell 279 (1115803.3)	1198_1, 1199_1	 	1197_9	2021_10	 	1429_13	 	1028_21, 1540_21, 1970_17, 2439_20, 670_21	2206_22	 	 	 	 
Actinomyces turicensis ACS-279-V-Col4 (883077.3)	792_1	1590	790_9	1105_10	 	318_13	 	1481_20, 22_21	838_22	 	 	 	 
Corynebacterium aurimucosum ATCC 700975 (Prj:31451) (548476.7)	1779_1	1214_6	1780_9	529_10	 	902_13	 	1252_17, 2013_20, 826_17, 953_21	850_22	1255_26	 	1255_26	 
Corynebacterium durum F0235 (1035195.3)	1143_1	2400	1144_9	859_10	 	2146_13	 	1435_20, 1859_17, 2196_21	1854_22	 	137_27	 	 
Corynebacterium propinquum DSM 44285 (1121367.3)	156_1	1532	157_9	1732_10	 	2112_13	 	1245_21, 2072_17, 352_20, 740_17	696_22	 	482_27	 	 
Gordonia rubripertincta NBRC 101908 (1077975.4)	1759_1	1929_6	1760_9	4561_10	 	3134_13	3297_24	1100_21, 1329_20, 1561_21, 1908_21, 2664_17, 988_21	2660_22, 3297_24	 	 	 	 
Gordonia terrae C-6 (1316928.3)	488_1	4304_6	487_9	3231_10	 	3608_13	3404_24	1371_21, 1899_20, 2853_17, 3347_21, 3809_21, 558_17	2858_22, 3404_24	 	 	 	 
Gordonia terrae NBRC 100016 (1089454.3)	2291_1	4852_6	2290_9	1538_10	 	2817_13	3581_24	1677_21, 2582_20, 2731_21, 3199_17, 3802_21, 4824_21, 880_21	3195_22, 3581_24	 	 	 	 
Mycobacterium avium subsp. paratuberculosis JQ6 (1112208.3)	591_1	2708, 2709	592_9	828_10	 	226_13	 	3884_21, 571_17	2217_22	 	 	 	 
Mycobacterium avium subsp. paratuberculosis MAP4 (1199187.3)	2851_1	467	2852_9	3061_10	 	3792_13	 	2641_20, 3727_17, 4469_17	3700_22	 	 	 	 
Mycobacterium avium subsp. paratuberculosis S5 (1247747.5)	1471_1	3764	1470_9	1251_10	 	260_13	 	1692_20, 327_17, 4701_17	353_22	 	 	 	 
Mycobacterium abscessus 3A-0119-R (1001721.3)	2885_1	3683	2886_9	1011_10	 	25_13	 	113_17, 2159_17, 2708_20, 3517_21, 3720_21, 3999_21, 4559_21, 802_21, 90_21	199_22	 	 	 	 
Mycobacterium abscessus 3A-0122-R (1001715.3)	2919_1	3710	2920_9	3491_10	 	188_13	 	1649_17, 2196_17, 252_21, 2743_20, 3478_21, 3748_21, 4595_21, 901_21, 934_21	286_22	 	 	 	 
Mycobacterium abscessus 3A-0122-S (1001716.3)	2477_1	3259	2478_9	600_10	 	5182_13	 	1175_17, 1755_17, 2302_20, 3093_21, 3297_21, 3816_21, 390_21, 4371_21, 5247_21	21_22	 	 	 	 
Mycobacterium abscessus 3A-0731 (1001718.3)	3026_1	3793	3027_9	878_10	 	24_13	 	112_17, 2108_17, 2851_20, 3629_21, 3830_21, 4638_21, 636_21, 669_21, 89_21	199_22	 	 	 	 
Mycobacterium abscessus 3A-0810-R (1001717.3)	2930_1	3719	2931_9	1054_10	 	24_13	 	112_17, 2203_17, 2754_20, 3555_21, 3756_21, 4562_21, 814_21, 847_21, 89_21	200_22	 	 	 	 
Mycobacterium abscessus 3A-0930-R (1001720.3)	2937_1	3687	2938_9	1063_10	 	25_13	 	113_17, 2207_17, 2761_20, 3523_21, 3725_21, 4510_21, 823_21, 856_21, 90_21	201_22	 	 	 	 
Mycobacterium abscessus 3A-0930-S (1001719.3)	2868_1	3619	2869_9	636_10	 	25_13	 	114_17, 1778_17, 2693_20, 3455_21, 3655_21, 394_21, 427_21, 4436_21, 91_21	201_22	 	 	 	 
Mycobacterium abscessus 47J26 (1087483.3)	1092_1	327	1091_9	3648_10	 	3338_13	 	1271_20, 2729_17, 316_21, 3401_21, 3425_17, 3828_21, 4181_21, 4319_21, 494_21	3445_22	 	 	 	 
Mycobacterium abscessus 4S-0116-R (1001725.3)	2546_1	3346	2547_9	1131_10	 	79_13	 	13_21, 1421_21, 2074_17, 2374_20, 3104_21, 3358_21, 381_17, 4121_21, 923_21, 956_21	402_22	 	 	 	 
Mycobacterium abscessus 4S-0116-S (1001724.3)	1640_1	2438	1641_9	29_10	 	3969_13	 	1469_20, 2196_21, 2450_21, 319_21, 3212_21, 4035_21, 4058_17, 4599_21, 4632_21, 972_17	4079_22	 	 	 	 
Mycobacterium abscessus 4S-0206 (1001723.3)	2550_1	3348	2551_9	287_10	 	1702_13	 	113_21, 1229_17, 1767_21, 1790_17, 2379_20, 3106_21, 3360_21, 4121_21, 578_21, 80_21	1811_22	 	 	 	 
Mycobacterium abscessus 4S-0303 (1001722.3)	2540_1	3340	2541_9	1334_10	 	294_13	 	1126_21, 1159_21, 1623_21, 2368_20, 3099_21, 3352_21, 358_21, 382_17, 4113_21, 833_17	403_22	 	 	 	 
Mycobacterium abscessus 4S-0726-RA (1001726.3)	2474_1	3274	2475_9	883_10	 	24_13	 	113_17, 1172_21, 1715_21, 2302_20, 3032_21, 3286_21, 4047_21, 566_17, 708_21, 90_21	134_22	 	 	 	 
Mycobacterium abscessus 4S-0726-RB (1001727.3)	2085_1	2886	2086_9	468_10	 	4419_13	 	1412_17, 1913_20, 259_21, 2645_21, 2898_21, 292_21, 3659_21, 4484_21, 4507_17, 757_21	4528_22	 	 	 	 
Mycobacterium abscessus 5S-0304 (1001728.3)	1717_1, 3163_1	2820	1718_9	26_10	 	4346_13	 	1548_20, 2567_21, 2831_21, 3652_21, 4408_21, 4433_17, 4970_21, 4995_21, 983_17	4453_22	 	 	 	 
Mycobacterium abscessus 5S-0421 (1001729.3)	1970_1, 3415_1	3072	1971_9	282_10	 	4581_13	 	1266_17, 17_21, 1799_20, 2818_21, 3083_21, 3905_21, 4643_21, 4669_17, 5202_21	4689_22	 	 	 	 
Mycobacterium abscessus 5S-0422 (1001731.3)	2609_1, 4285_1	3943	2610_9	851_10	 	181_13	 	1959_17, 243_21, 2441_20, 269_17, 3690_21, 3954_21, 4773_21, 557_21, 582_21	289_22	 	 	 	 
Mycobacterium abscessus 5S-0708 (1001730.3)	3140_1, 4653_1	2796	4654_9	2030_10	 	4324_13	 	1480_17, 2542_21, 2807_21, 3629_21, 4386_21, 4411_17, 4483_20, 472_21, 497_21	4431_22	 	 	 	 
Mycobacterium abscessus 5S-0817 (1001735.3)	2765_1, 5046_1	2424	5045_9	73_10	 	3951_13	 	1047_17, 2172_21, 2435_21, 3253_21, 4013_21, 4038_17, 4576_21, 4601_21, 5215_20	4058_22	 	 	 	 
Mycobacterium abscessus 5S-0921 (1001732.3)	2412_1, 4065_1	3722	2413_9	720_10	 	24_13	 	111_17, 1705_17, 2243_20, 3472_21, 3733_21, 4555_21, 647_21, 672_21, 86_21	131_22	 	 	 	 
Mycobacterium abscessus 5S-1212 (1001733.3)	2895_1, 4455_1	2553	4454_9	447_10	 	4085_13	 	1421_17, 153_21, 1738_17, 178_21, 2301_21, 2564_21, 3383_21, 4147_21, 4624_20	1718_22	 	 	 	 
Mycobacterium abscessus 5S-1215 (1001734.3)	3239_1, 4680_1	2898	4681_9	1979_10	 	4353_13	 	2650_21, 2909_21, 3650_21, 4415_21, 4440_17, 4512_20, 5121_21, 5146_21, 761_17	4460_22	 	 	 	 
Mycobacterium abscessus 6G-0125-R (1001740.3)	1905_1	2631	1906_9	29_10	 	4201_13	 	1224_17, 1729_20, 2467_21, 2667_21, 3391_21, 4266_21, 4289_17, 4895_21, 4928_21	4331_22	 	 	 	 
Mycobacterium abscessus 6G-0212 (1001739.3)	2894_1	3620	2895_9	1024_10	 	89_13	 	154_21, 177_17, 2218_17, 2719_20, 3456_21, 3656_21, 4379_21, 783_21, 816_21	219_22	 	 	 	 
Mycobacterium abscessus 9808 (1246644.3)	3615_1	3813	3616_9	1895_10	 	904_13	 	1632_21, 1664_21, 189_21, 2923_17, 3442_20, 3849_21, 4979_21, 970_21, 993_17	1027_22	 	 	 	 
Mycobacterium abscessus M115 (1162287.3)	2008_1, 775_1	4409	2007_9	1555_10	 	4017_13	 	1305_21, 1337_21, 2174_20, 2614_21, 350_21, 3616_17, 3860_17, 3885_21, 4396_21	3821_22	 	 	 	 
Mycobacterium abscessus M139 (1175632.3)	682_1, 879_1	345	878_9	2340_10	 	3868_13	 	1045_20, 1643_17, 168_21, 2542_21, 2567_21, 3168_21, 354_21, 3929_21, 3956_17	3999_22	 	 	 	 
Mycobacterium abscessus M152 (1176125.3)	3397_1	1509	3396_9	3902_10	 	4455_13	 	1430_21, 1546_21, 2908_21, 3234_21, 3266_21, 3571_20, 396_17, 4524_21, 4661_21, 470_17	361_22	 	 	 	 
Mycobacterium abscessus M154 (1162288.3)	1070_1, 290_1	2375	291_9	4528_10	 	1431_13	 	111_20, 1492_21, 1516_17, 2209_21, 2386_21, 2718_21, 3360_17, 3726_21, 3758_21	1536_22	 	 	 	 
Mycobacterium abscessus M156 (1185414.3)	1082_1	367	4995_9	4609_10	 	4868_13	 	2001_20, 2826_17, 2985_17, 3009_21, 3155_21, 3499_21, 3531_21, 356_21, 4599_21	2965_22	 	 	 	 
Mycobacterium abscessus M159 (1162285.3)	1758_1	3251	1759_9	3099_10	 	3622_13	 	1593_20, 2484_17, 2601_21, 3240_21, 3906_21, 3907_21, 4614_21, 4712_21, 4806_21, 746_17	2504_22	 	 	 	 
Mycobacterium abscessus M172 (1162286.3)	1398_1, 612_1	1752	613_9	3929_10	 	4229_13	 	1741_21, 2059_21, 2401_17, 3622_21, 3655_21, 4291_21, 431_20, 4315_17, 4660_21	4335_22	 	 	 	 
Mycobacterium abscessus M24 (1162284.3)	3413_1	4623	3414_9	1822_10	 	1715_13	 	2496_20, 3313_21, 3953_17, 4527_21, 4611_21, 4683_17, 4756_21, 4974_21, 5589_21	3933_22	 	 	 	 
Mycobacterium abscessus M93 (1149134.5)	2245_1	1311	2246_9	2683_10	 	3449_13	 	1275_21, 1531_21, 2074_20, 2911_21, 2943_21, 3351_17, 3382_21, 3745_21, 609_21, 680_17	3214_22	 	 	 	 
Mycobacterium abscessus M94 (1158135.4)	2149_1	2510	2150_9	1989_10	 	1288_13	 	1774_20, 2070_21, 2471_21, 334_21, 3364_21, 434_17, 4386_17, 4699_21, 648_21, 680_21	4348_22	 	 	 	 
Mycobacterium abscessus subsp. bolletii 50594 (1303024.3)	2859_1	3663	2860_9	1104_10	 	136_13	 	197_21, 2167_17, 259_17, 2692_20, 3405_21, 3675_21, 4432_21, 890_21, 915_21	239_22	 	 	 	 
Mycobacterium abscessus subsp. bolletii BD (1091046.3)	2687_1	3427	2688_9	1045_10	 	94_13	 	158_21, 185_17, 2001_17, 2513_20, 3264_21, 3439_21, 4226_21, 716_21, 749_21	206_22	 	 	 	 
Mycobacterium fortuitum subsp. fortuitum DSM 46621 (1214102.3)	4759_1	4294	 	4598_10	 	6012_13	 	2757_21, 4553_21, 4960_20, 5389_17, 5728_21, 668_21, 834_21, 961_21	3471_22	 	 	 	 
Rhodococcus erythropolis XP (1078016.3)	4903_1	4220_6	4902_9	664_10	 	2502_13	 	1339_17, 2619_17, 2853_21, 3357_21, 3359_21, 4116_21, 5389_20, 6240_21	2635_22	 	 	 	 
Brevibacterium casei S18 (1229781.4)	1367_1	399	1366_9	476_10	 	2102_13	 	1125_21, 1611_21, 1618_21, 1798_20_17, 1798_20_17, 2018_20, 2062_21, 2459_20_17, 2459_20_17, 520_21	2633_22	 	 	 	 
Brevibacterium massiliense 5401308 (1176165.3)	1127_1	1458	1128_9	1389_10	 	1921_13	 	1301_21, 1461_21, 259_21, 326_21	1315_22	 	 	 	 
Brachybacterium paraconglomeratum LC44 (1064537.3)	1582_1	510	1581_9	2215_10	 	913_13	 	1050_20, 1253_21, 2201_21, 52_21, 971_21	2429_22	 	 	 	 
Curtobacterium flaccumfaciens UCD-AKU (1292022.3)	 	1209	91_9	2364_10	 	1303_13	 	1634_21, 1980_20, 2325_21, 2757_21, 3283_21	1971_22	 	 	 	 
Microbacterium paraoxydans 77MFTsu3.2 (1151126.3)	1267_1	3276	1266_9	2424_10	 	113_13	 	1464_21, 1768_20, 2237_17, 2573_21, 2807_21, 3287_21	934_22	 	 	 	 
Kocuria palustris PEL (1236550.3)	94_5	1577	95_9	1507_10	 	365_13	 	1238_20, 1669_21, 2079_21, 2250_21, 318_21, 717_17	2438_22	 	 	 	 
Rothia aeria F0474 (1125724.3)	285_1	598	286_9	2181_10	 	1453_13	 	1775_21, 759_21	882_22	 	 	 	 
Rothia mucilaginosa M508 (563033.4)	902_1	662	901_9	625_10	 	126_13	 	221_17, 405_21	1272_22	 	 	 	 
Propionibacterium acidipropionici ATCC 4875 (1171373.8)	1754_1	1965_6	1755	2451_10	 	3049_13	 	108_17, 1788_20, 784_21	1728_22	 	 	 	 
Propionibacterium acnes C1 (1234380.3)	1277_1	1365_6	1276	1886_10	 	 	 	1247_20, 38_17, 951_21, 952_21	1304_22	 	 	 	 
Propionibacterium acnes FZ1/2/0 (1276649.3)	1237_1	1322_6	1236	1828_10	 	 	 	1207_20, 38_17, 911_21, 912_21	1264_22, 1265_22	 	 	 	 
Propionibacterium acnes HL096PA1 (1134454.3)	1073_1	985_6	1074_9	1853_10	 	 	 	1103_20, 1395_21, 1396_21, 41_17	1045_22, 1046_22	 	 	 	 
Propionibacterium acnes PRP-38 (1136877.3)	1932_1	2020	1931_9	108_10	 	565_13	 	1609_21, 1610_21, 1902_20, 761_17	1960_22	 	 	 	 
Propionibacterium avidum 44067 (1170318.3)	1040_1	949	1041_9	433_10	 	2313_13	 	1071_20, 2138_17	1012_22	 	 	 	 
Propionibacterium avidum ATCC 25577 (997355.3)	1746_1	1652	1747_9	372_10	 	877_13	 	1051_17, 1776_20	1718_22	 	 	 	 
Propionibacterium propionicum F0230a (767029.3)	1583_5	1356	1584_9	2086_10	 	318_13	 	1619_20, 1891_16_21, 1891_16_21, 2829_21	1559_22	 	 	 	 
Bifidobacterium angulatum DSM 20098 = JCM 7096 (518635.7)	903_1	1028_6	904_9	321_10	 	603_13	 	1255_21, 366_21, 37_16_21, 37_16_21, 400_21, 509_20	604_22	 	 	 	 
Bifidobacterium animalis subsp. animalis ATCC 25527 (703613.4)	941_1	979	942_9	1439_10	 	1155_13	 	1077_21, 1217_20, 1263_21, 1313_21, 268_16_21, 268_16_21, 328_21, 853_21, 957_21	1154_22	 	 	 	 
Bifidobacterium animalis subsp. lactis B420 (1168290.3)	924_1	963_6	925	1444_10	 	1138_13	 	1215_20, 1262_21, 1309_21, 258_21_16, 258_21_16, 311_21	1137_22	 	 	 	 
Bifidobacterium animalis subsp. lactis BS 01 (911598.3)	978_1	1018_6	979	1502_10	 	1199_13	 	1275_20, 1322_21, 1369_21, 306_21_16, 306_21_16, 360_21	1198_22	 	 	 	 
Bifidobacterium animalis subsp. lactis Bi-07 (742729.3)	923_1	963_6	924	1443_10	 	1138_13	 	1215_20, 1262_21, 1309_21, 257_21_16, 257_21_16, 310_21	1137_22	 	 	 	 
Bifidobacterium bifidum BGN4 (484020.3)	799_1	747_6	798_9	1648_10	 	586_13	 	1114_21, 1650_21, 235_21, 271_16_21, 271_16_21, 307_21, 418_21, 501_20	587_22	 	 	 	 
Bifidobacterium bifidum LMG 13195 (1207542.3)	1108_1	230	1107_9	1242_10	 	1204_13	 	124_21, 1240_21, 1253_21, 13_20, 1906_16_21, 1906_16_21, 352_21, 665_21	1205_22	 	 	 	 
Bifidobacterium breve CECT 7263 (1036735.3)	1746_1	765	1745_9	203_10	 	977_13	 	1332_21, 1873_21, 386_21, 402_21, 8_21_16, 8_21_16, 855_21, 904_20	978_22	 	 	 	 
Bifidobacterium breve DPC 6330 (1074482.3)	1674_1	1545	1673_9	1013_10	 	449_13	 	1330_21, 1793_16_21, 1793_16_21, 1870_21, 213_21, 310_20	450_22	 	 	 	 
Bifidobacterium breve DSM 20213 = JCM 1192 (518634.7)	940_1	799_6	939_9	318_10	 	1860_13	1969_24	1016_21_16, 1016_21_16, 1324_21, 1571_21, 1671_21, 1722_20, 548_21, 603_21	1861_22, 1969_24	 	 	 	 
Bifidobacterium breve HPH0326 (1203540.3)	1915_1	2041	1916_9	338_10	 	1452_13	 	1238_21, 1376_20, 1829_21_16, 1829_21_16, 634_21, 830_21, 942_21	1453_22	 	 	 	 
Bifidobacterium catenulatum DSM 16992 = JCM 1194 (566552.6)	854_1	881_6	855_9	233_10	 	421_13	 	1439_21, 1492_16_21, 1492_16_21, 1571_21, 274_21, 364_20	422_22	 	 	 	 
Bifidobacterium longum subsp. infantis ATCC 15697 = JCM 1222 (391904.8)	1666_1	1802_6	1667	278_10	 	945_13	 	1497_21_16, 1497_21_16, 2016_21, 2372_21, 499_21, 608_21, 847_20	946_22	 	 	 	 
Bifidobacterium longum subsp. longum 1-6B (1161744.3)	150_1	696_6	149_9	2067_10	 	400_13	 	127_21, 1346_21, 1732_16_21, 1732_16_21, 2124_20, 2199_21	401_22	 	 	 	 
Bifidobacterium longum subsp. longum 2-2B (1161745.3)	763_1	278_6	764_9, 765_9	1145_10	 	 	 	1203_16_21, 1203_16_21, 1716_21, 231_21, 595_20, 721_21	1945_22	 	 	 	 
Bifidobacterium longum subsp. longum 35B (1161904.3)	1203_1	1596_6	1204_9	1881_10	 	309_13	 	1267_21, 2038_20, 649_16_21, 649_16_21, 846_21, 878_21	308_22	 	 	 	 
Bifidobacterium longum subsp. longum 44B (1161743.3)	2052_1	1862_6	2051_9	1190_10	 	1070_13	 	1137_16_21, 1137_16_21, 1785_21, 2113_21, 318_21, 5_20	1071_22	 	 	 	 
Bifidobacterium longum subsp. longum CMCC P0001 (1266716.3)	1070_1	1039	1071_9	200_10	 	1650_13	 	1228_16_21, 1228_16_21, 1413_21, 383_20, 542_21	1651_22	 	 	 	 
Bifidobacterium pseudocatenulatum DSM 20438 = JCM 1200 (547043.8)	1092_1	1059_6	1091_9	1660_10	 	602_13	 	375_21, 427_16_21, 427_16_21, 667_20, 73_21, 772_21	601_22	 	 	 	 
Bifidobacterium thermophilum RBL67 (1254439.12)	958_1	888	957_9	1570_10	 	681_13	 	1064_21, 1462_17, 1521_21, 340_21, 526_21, 588_20, 66_21	682_22	 	 	 	 
Atopobium minutum 10063974 (997872.3)	696_1	980	981_9	982_10_13	 	982_10_13	 	318_16_21, 318_16_21, 537_21	978_22	 	 	 	 
Collinsella tanakaei YIT 12063 (742742.3)	454_1	440	441_9	442_10_13	 	442_10_13	438_24	1497_21, 162_21, 1678_21, 1897_21, 2009_16_21, 2009_16_21, 703_21, 970_20	438_24	 	 	 	 
Slackia piriformis YIT 12062 (742818.3)	1242_1, 763_1	879	1243_9, 761_9	762_10_13	 	762_10_13	 	1690_21, 1931_16_21, 1931_16_21, 281_20, 342_21, 488_20	759_22	 	 	 	 
Bacteroides fragilis ATCC 25285 (272559.3)	95_1	682_6	4001	3345	 	3343_13	3346_24	3129_20, 3344_21_16, 3344_21_16, 3376_21, 4017_21, 41_21	3346_24	 	 	 	 
Bacteroides caccae ATCC 43185 (411901.7)	1490_1	2824_6	2947	1500	 	1502_13	1498_24	1459_17, 1501_21_16, 1501_21_16, 2085_20, 2472_21, 899_21	1498_24	 	 	 	 
Bacteroides caccae CL03T12C61 (997873.3)	3883_1	4226_6	4340_9	90_10	 	92_13	89_24	1220_20, 1532_21, 3912_17_20, 3912_17_20, 4124_21, 91_21_16, 91_21_16	89_24	 	 	 	 
Bacteroides capillosus ATCC 29799 (411467.6)	2276_1, 357_1	2273	2274_9	2275_10_13	 	2275_10_13	2157_24	1572_21, 1850_20, 2746_16_21, 2746_16_21, 3556_21, 487_21	2157_24	 	 	 	 
Bacteroides cellulosilyticus CL02T12C19 (997874.3)	2150_1	6139	5119_9	3113_10, 4931_10	 	4934_13	4930_24	2653_21, 3262_20, 3918_21, 4933_16_21, 4933_16_21	4930_24	 	 	 	 
Bacteroides cellulosilyticus DSM 14838 (537012.5)	1290_1	2597_6	806_9	689	 	692_13	688_24	1463_21, 2695_21, 3984_21, 4495_20, 691_16_21, 691_16_21	688_24	 	 	 	 
Bacteroides clarus YIT 12056 (762984.3)	56_1	2686_6	2892_9	2466	 	2464_13	2467_24	2061_21, 2465_16_21, 2465_16_21, 277_20, 873_21	2467_24	 	 	 	 
Bacteroides coprocola DSM 17136 (470145.6)	1710_1	2768_6	35_9	3464	 	3462_13	3465_24	1065_21, 2108_20, 3463_16_21, 3463_16_21	3465_24	 	 	 	 
Bacteroides coprophilus DSM 18228 (547042.5)	2145_1	1982	2415_9, 2416_9	2627	 	2629_13	2626_24	1003_21, 2628_16_21, 2628_16_21, 2953_21, 745_21, 967_20	2626_24	 	 	 	 
Bacteroides dorei CL02T00C15 (997875.3)	2696_1	1192_6	444_9	1003_10	 	1001_13	1004_24	1002_16_21, 1002_16_21, 1327_21, 1507_21, 1508_21, 620_20, 712_21	1004_24	 	 	 	 
Bacteroides dorei CL02T12C06 (997876.3)	1345_1	5230_6	768_9	5040_10	 	5038_13	5041_24	1036_21, 2221_21, 2397_21, 2398_21, 5039_16_21, 5039_16_21, 945_20	5041_24	 	 	 	 
Bacteroides dorei CL03T12C01 (997877.3)	2840_1	4212_6	1095_9	1542_10	 	1540_13	1543_24	1267_20, 1354_21, 1541_16_21, 1541_16_21, 1693_21, 1861_21, 1862_21	1543_24	 	 	 	 
Bacteroides dorei DSM 17855 (483217.6)	1602_1	2775_6	3762_9	3272	 	3274_13	3271_24	3273_16_21, 3273_16_21, 3426_21, 3507_20, 417_21, 600_21, 741_21	3271_24	 	 	 	 
Bacteroides eggerthii 1_2_48FAA (665953.3)	879_1	1506_6	1847	1985	 	1983_13	1986_24	1984_16_21, 1984_16_21, 205_20, 2625_21, 3096_21, 3226_20, 3540_21	1986_24	 	 	 	 
Bacteroides eggerthii DSM 20697 (483216.6)	3200_1	1480_6	259	112	 	114_13	111_24	113_21_16, 113_21_16, 2121_21, 2575_20, 2686_21	111_24	 	 	 	 
Bacteroides faecis MAJ27 (1077285.3)	912_1	4719	4597_9	1398_10	 	1400_13	1397_24	104_21, 1188_21, 1399_16_21, 1399_16_21, 2462_20, 3016_21, 3549_21, 3550_21, 3805_21, 3955_21, 894_21	1397_24	 	 	 	 
Bacteroides finegoldii DSM 17565 (483215.6)	3168_1	3890_6	1558_9	724	 	722_13	725_24	2034_21, 2502_20, 2659_21, 3436_21, 723_16_21, 723_16_21	725_24	 	 	 	 
Bacteroides fluxus YIT 12057 (763034.3)	2876_1	1362_6	1074_9	2247	 	2245_13	2248_24	2246_16_21, 2246_16_21, 2657_21, 3161_21, 748_20	2248_24	 	 	 	 
Bacteroides fragilis 3_1_12 (457424.5)	2697_1	949_6	3570_9	3700	 	3698_13	3701_24	2323_21, 3166_20, 3699_16_21, 3699_16_21, 4056_21, 854_21	3701_24	 	 	 	 
Bacteroides fragilis 638R (862962.3)	186_1	735_6	3742_9	3939	 	3937_13	3940_24	3119_20, 3938_16, 4469_21, 608_21	3940_24	 	 	 	 
Bacteroides fragilis CL03T00C08 (997878.3)	235_1	770	3893	4047_10	 	4045_13	4048_24	2092_21, 3041_20, 4046_21_16, 4046_21_16, 4112_21, 571_21	4048_24	 	 	 	 
Bacteroides fragilis CL03T12C07 (997879.3)	762_1	1293	2725	2882_10	 	2880_13	2883_24	1096_21, 1872_20, 2881_21_16, 2881_21_16, 3233_21, 410_21	2883_24	 	 	 	 
Bacteroides fragilis CL05T00C42 (997880.3)	1803_1	4083	2911_9	3060	 	3058_13	3061_24	1441_21, 15_21, 2232_21, 2596_20, 3059_21_16, 3059_21_16, 624_21	3061_24	 	 	 	 
Bacteroides fragilis CL05T12C13 (997881.3)	251_1	704	4075_9	3921_10	 	3923_13	3920_24	1535_21, 2283_21, 2574_20, 3784_21, 3922_21_16, 3922_21_16, 571_21	3920_24	 	 	 	 
Bacteroides fragilis CL07T00C01 (997882.3)	2716_1	2249	3867	4078_10	 	4076_13	4079_24	2386_21, 3221_21, 4077_21_16, 4077_21_16, 4396_20, 863_21	4079_24	 	 	 	 
Bacteroides fragilis CL07T12C05 (997883.3)	324_1	794	3467	3679_10	 	3677_13	3680_24	2178_21, 3678_21_16, 3678_21_16, 3997_20, 4455_21, 656_21	3680_24	 	 	 	 
Bacteroides fragilis HMW 610 (1073386.3)	4557_1	3378	2046_9	2202_10	 	2200_13	2203_24	1394_20, 176_21, 2201_16_21, 2201_16_21, 2683_21, 3509_21, 4176_21, 446_21	2203_24	 	 	 	 
Bacteroides fragilis HMW 615 (1073387.4)	973_1	495	4120	4287_10	 	4285_13	4288_24	1325_21, 2166_20, 4286_21_16, 4286_21_16, 4474_21, 620_21	4288_24	 	 	 	 
Bacteroides fragilis HMW 616 (1073388.3)	4226_1	35	3170_9	3381_10	 	3379_13	3382_24	1241_21, 1540_21, 1648_21, 2443_20, 3380_16_21, 3380_16_21, 3866_21, 4546_21	3382_24	 	 	 	 
Bacteroides fragilis NCTC 9343 (272559.17)	189_1	653_6	3655	3800	 	3798_13	3801_24	3057_20, 3799_21_16, 3799_21_16, 3943_21, 4314_21, 534_21	3801_24	 	 	 	 
Bacteroides fragilis YCH46 (295405.11)	265_1	749_6	3640_9	3788	 	3786_13	3789_24	3055_20, 3787_16_21, 3787_16_21, 4237_21, 613_21	3789_24	 	 	 	 
Bacteroides intestinalis DSM 17393 (471870.8)	1313_1	4351_6	243	123	 	125_13	122_24	124_21_16, 124_21_16, 2286_21, 2767_20, 450_21	122_24	 	 	 	 
Bacteroides massiliensis B84634 = Timone 84634 = DSM 17679 = JCM 13223 (1121098.4)	3096_1	2514	396_9	2038_10	 	2036_13	2039_24	1144_21, 2037_16_21, 2037_16_21, 3369_21, 752_20	2039_24	 	 	 	 
Bacteroides massiliensis dnLKV3 (1235788.3)	651_1	3916	1431_9	4411_10	 	4413_13	4410_24	1129_21, 1629_20, 201_20, 2583_21, 2929_21, 4412_16_21, 4412_16_21, 8_21	4410_24	 	 	 	 
Bacteroides nordii CL02T12C05 (997884.3)	516_1	1086	1275_9	2774_10, 3719_10	 	3721_13	3718_24	1882_20, 2453_21, 2473_21, 3499_21, 3720_16_21, 3720_16_21, 764_21, 925_21	3718_24	 	 	 	 
Bacteroides oleiciplenus YIT 12058 (742727.4)	2179_1	4409	3218_9	2992_10, 3935_10	 	2994_13	2991_24	1783_21, 2993_16_21, 2993_16_21, 3824_20, 4692_21, 481_21, 5049_21, 784_21	2991_24	 	 	 	 
Bacteroides ovatus 3_8_47FAA (665954.3)	4940_1	4141_6	4270_9	3208	 	3206_13	3209_24	2772_21, 3207_16_21, 3207_16_21, 3572_20, 3849_21, 3989_21, 4017_21, 4969_20	3209_24	 	 	 	 
Bacteroides ovatus ATCC 8483 (411476.11)	2121_1	2653_6	2773_9	1418	 	1420_13	1417_24	1120_20, 1419_16_21, 1419_16_21, 2146_20, 2522_21, 2550_21, 2992_21, 3460_21	1417_24	 	 	 	 
Bacteroides ovatus CL02T12C04 (997885.3)	4691_1	6006_6	3970_9	6286_10	 	6288_13	6285_24	1711_20, 4343_21, 4716_20, 6130_21, 6159_21, 6287_16_21, 6287_16_21, 865_21	6285_24	 	 	 	 
Bacteroides ovatus CL03T12C18 (997886.3)	911_1	3847	3705_9	1463_10	 	1465_13	1462_24	1224_21, 1464_16_21, 1464_16_21, 2600_20, 4061_21, 4091_21, 4852_21, 877_20	1462_24	 	 	 	 
Bacteroides ovatus SD CC 2a (702444.3)	2096_1	3939_6	1108_9	3114	 	3116_13	3113_24	2225_21, 2241_21, 2870_21, 3115_16_21, 3115_16_21, 3171_20, 3609_20, 476_21	3113_24	 	 	 	 
