Organism	eALP	cALP	cAzNAD	cAzNADP	AzorDMT	eBGal	LacY	cBGal	cBRV	eBSH	cCda	eCda	CdaABC	cCgr	cCodA	eCodA	CodB	CodP	CodDMT	cDpdNAD	cDpdNADP	eDpdNADP	DpdP	cHpd	TdcA	TyrP	TyrNhaC	Dadh	cNAT	eNAT	NatABC	eNit	cNit	eUidA	cUidA	UidB	UidP
Acinetobacter baumannii NIPH 67 (1217627.3)	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	1298, 638	 	 	 	 
Acinetobacter baumannii NIPH 70 (1217628.3)	3603	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	646	 	 	 	 
Acinetobacter baumannii NIPH 80 (1217629.3)	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	1311, 1840	 	 	 	 
Acinetobacter baumannii OIFC0162 (903907.3)	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	2192, 7, 705	 	 	 	 
Acinetobacter baumannii OIFC021 (903928.3)	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	200, 542	 	 	 	 
Acinetobacter baumannii OIFC032 (903890.3)	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	1712, 3552	 	 	 	 
Acinetobacter baumannii OIFC035 (903926.3)	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	200, 3443, 698	 	 	 	 
Acinetobacter baumannii OIFC047 (903933.3)	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	2129, 2651, 623	 	 	 	 
Acinetobacter baumannii OIFC065 (903932.3)	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	1110, 2493	 	 	 	 
Acinetobacter baumannii OIFC074 (903901.3)	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	2853, 3031, 3660	 	 	 	 
Acinetobacter baumannii OIFC087 (903929.3)	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	2821, 2959	 	 	 	 
Acinetobacter baumannii OIFC098 (903902.3)	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	118, 3089	 	 	 	 
Acinetobacter baumannii OIFC099 (903930.3)	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	2222, 3534	 	 	 	 
Acinetobacter baumannii OIFC109 (903892.3)	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	1132, 2285, 902	 	 	 	 
Acinetobacter baumannii OIFC110 (903910.3)	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	2446, 3214	 	 	 	 
Acinetobacter baumannii OIFC111 (903935.3)	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	1469, 2886, 975	 	 	 	 
Acinetobacter baumannii OIFC137 (903889.3)	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	1206, 1805, 2033	 	 	 	 
Acinetobacter baumannii OIFC143 (903893.3)	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	2385, 2541, 3174	 	 	 	 
Acinetobacter baumannii OIFC180 (903903.3)	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	1252, 2182	 	 	 	 
Acinetobacter baumannii OIFC189 (903894.3)	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	1411, 2150	 	 	 	 
Acinetobacter baumannii OIFC338 (903934.3)	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	1408, 2891	 	 	 	 
Acinetobacter baumannii SDF (509170.6)	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	823	 	 	 	 
Acinetobacter baumannii TCDC-AB0715 (980514.3)	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	2579, 3370	 	 	 	 
Acinetobacter baumannii TYTH-1 (1100841.3)	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	2591, 3316	 	 	 	 
Acinetobacter baumannii UMB001 (933263.3)	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	1665, 701	 	 	 	 
Acinetobacter baumannii UMB003 (933265.3)	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	1726, 1901, 495	 	 	 	 
Acinetobacter baumannii W7282 (981329.3)	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	1539, 2207	 	 	 	 
Acinetobacter baumannii WC-136 (903916.3)	3049	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	1363, 3909	 	 	 	 
Acinetobacter baumannii WC-141 (903915.3)	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	2524, 3596	 	 	 	 
Acinetobacter baumannii WC-323 (903918.3)	1837, 2156	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	2859	 	 	 	 
Acinetobacter baumannii WC-348 (903919.3)	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	2552, 3058, 3208	 	 	 	 
Acinetobacter baumannii WC-487 (903917.3)	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	1471, 2215, 957	 	 	 	 
Acinetobacter baumannii WC-692 (903913.3)	3933	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	1522, 2715	 	 	 	 
Acinetobacter baumannii WC-A-694 (903925.3)	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	1786, 215, 3591	 	 	 	 
Acinetobacter baumannii WC-A-92 (903931.3)	2944	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	2650, 3166, 3599	 	 	 	 
Acinetobacter baumannii WM99c (945555.3)	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	2716, 3490	 	 	 	 
Acinetobacter baumannii ZWS1122 (1223564.3)	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	2489, 2983	 	 	 	 
Acinetobacter baumannii ZWS1219 (1224141.3)	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	2331, 2950	 	 	 	 
Acinetobacter calcoaceticus ANC 3680 (1217653.3)	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	1423, 1974	 	 	 	 
Acinetobacter calcoaceticus ANC 3811 (1217690.3)	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	305, 808	 	 	 	 
Acinetobacter calcoaceticus DSM 30006 (981331.3)	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	2049, 3768, 3769	 	 	 	 
Acinetobacter calcoaceticus NIPH 13 (1217654.3)	 	 	 	 	 	 	 	 	 	3011_18	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	3086, 3614	 	 	 	 
Acinetobacter calcoaceticus PHEA-2 (871585.3)	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	2251	 	 	 	 
Acinetobacter calcoaceticus RUH2202 (575585.3)	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	1192, 1272, 3030	 	 	 	 
Acinetobacter calcoaceticus subsp. anitratus XM1570 (1235833.3)	3835, 3978	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	675	 	 	 	 
Acinetobacter calcoaceticus TG19585 (1221293.3)	 	 	 	 	 	 	 	 	 	865_18	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	295, 782	 	 	 	 
Acinetobacter calcoaceticus TG19588 (1221294.3)	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	1846, 2333	 	 	 	 
Acinetobacter calcoaceticus TG19593 (1221295.3)	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	2446, 2940	 	 	 	 
Acinetobacter guillouiae CIP 63.46 (1217655.3)	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	1554	 	 	 	 
Acinetobacter guillouiae NIPH 991 (1217656.3)	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	3221	 	 	 	 
Acinetobacter haemolyticus ATCC 19194 (707232.3)	304	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	836	1106, 2924	 	 	 	 
Acinetobacter haemolyticus CIP 64.3 (1217659.3)	1075	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	2065	 	 	 	 
Acinetobacter haemolyticus NIPH 261 (1217986.3)	1875, 331, 332	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	2391	 	 	 	 
Acinetobacter haemolyticus TG19599 (1221297.3)	1540	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	2677	 	 	 	 
Acinetobacter haemolyticus TG21157 (1221299.3)	104, 105	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	1403_48	 	 	 	2529, 804	 	 	 	 
Acinetobacter johnsonii ANC 3681 (1217662.4)	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	1380	3164	 	 	 	 
Acinetobacter johnsonii CIP 64.6 (1217663.3)	1128, 1129	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	919	2589	 	 	 	 
Acinetobacter johnsonii SH046 (575586.4)	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	310	2247	 	 	 	 
Acinetobacter junii CIP 107470 (1217666.3)	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	1875	 	 	 	 
Acinetobacter junii CIP 64.5 (1217664.3)	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	1771	 	 	 	 
Acinetobacter junii NIPH 182 (1217665.3)	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	2179	 	 	 	 
Acinetobacter junii SH205 (575587.3)	 	 	 	 	 	 	 	 	 	 	 	 	 	 	2722	 	2724	 	 	 	 	 	 	 	 	 	 	 	 	 	 	1428	1678, 464	 	 	 	 
Acinetobacter lwoffii CIP 70.31 (1217667.3)	1928, 1929	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	3058	 	 	 	 
Acinetobacter lwoffii NCTC 5866 (981327.3)	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	2675, 655	 	 	 	 
Acinetobacter lwoffii NIPH 478 (1217668.3)	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	1291	 	 	 	 
Acinetobacter lwoffii NIPH 715 (1217669.3)	 	 	 	 	 	 	 	 	 	 	 	 	 	 	1323	 	1325	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	2300, 749	 	 	 	 
Acinetobacter lwoffii SH145 (575588.3)	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	519	1399, 1848	 	 	 	 
Acinetobacter lwoffii TG19636 (1221307.3)	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	1071, 2243	 	 	 	 
Acinetobacter lwoffii WJ10621 (1046625.3)	2053, 2054	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
Acinetobacter nosocomialis NIPH 2119 (1217670.3)	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	3482, 56, 564	 	 	 	 
Acinetobacter pittii ANC 3678 (1217673.3)	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	1119, 1657	 	 	 	 
Acinetobacter pittii ANC 4050 (1217691.3)	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	508, 52	 	 	 	 
Acinetobacter pittii ANC 4052 (1217689.3)	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	3113, 3618	 	 	 	 
Acinetobacter pittii CIP 70.29 (1217672.3)	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	2027, 2661	 	 	 	 
Acinetobacter pittii D499 (1086014.3)	1857	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	1479, 728	 	 	 	 
Acinetobacter pittii TG6411 (1221309.3)	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	1348	 	 	 	 
Acinetobacter radioresistens DSM 6976 = NBRC 102413 = CIP 103788 (981334.4)	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	1611	 	 	 	 
Acinetobacter radioresistens NIPH 2130 (1217674.3)	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	2470	980	 	 	 	 
Acinetobacter radioresistens SH164 (575589.3)	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	1729	757	 	 	 	 
Acinetobacter radioresistens SK82 (596318.3)	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	2586	1485	 	 	 	 
Acinetobacter radioresistens TG02010 (1221310.3)	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	230	 	 	 	 
Acinetobacter radioresistens WC-A-157 (903900.3)	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	1453	 	 	 	 
Acinetobacter sp. ATCC 27244 (525244.5)	1562, 1563	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	1420	1214, 138	 	 	 	 
Acinetobacter sp. RUH2624 (575564.3)	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	134, 512, 568	 	 	 	 
Acinetobacter sp. SH024 (575565.3)	3487	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	1650, 3110	 	 	 	 
Actinobacillus pleuropneumoniae L20 (416269.6)	 	 	 	 	 	 	 	1045_12	 	 	 	1400	 	 	177	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
Actinobacillus pleuropneumoniae S8 (1224142.3)	 	 	 	 	 	 	 	1780_12	 	 	 	1853	 	 	736	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	479, 907	 	 	 	 
Actinobacillus pleuropneumoniae serovar 1 str. 4074 (228399.5)	 	 	 	 	 	 	 	1110_12	 	 	 	1474	 	 	197	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	1329, 675	 	 	 	 
Actinobacillus pleuropneumoniae serovar 10 str. D13039 (754259.3)	 	 	 	 	 	 	 	1048_12	 	 	 	1415	 	 	205	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	1255, 642	 	 	 	 
Actinobacillus pleuropneumoniae serovar 11 str. 56153 (754260.3)	 	 	 	 	 	 	 	1118_12	 	 	 	1482	 	 	198	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	1338, 680	 	 	 	 
Actinobacillus pleuropneumoniae serovar 12 str. 1096 (754261.3)	 	 	 	 	 	 	 	1043_12	 	 	 	1396	 	 	207	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	1243, 635	 	 	 	 
Actinobacillus pleuropneumoniae serovar 13 str. N273 (754262.3)	 	 	 	 	 	 	 	1075_12	 	 	 	1420	 	 	192	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	1277, 669	 	 	 	 
Actinobacillus pleuropneumoniae serovar 2 str. 4226 (754254.4)	 	 	 	 	 	 	 	1989_12	 	 	 	1899	 	 	328	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	578, 603	 	 	 	 
Actinobacillus pleuropneumoniae serovar 2 str. S1536 (871925.3)	 	 	 	 	 	 	 	973_12	 	 	 	1351	 	 	158	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	1201, 577	 	 	 	 
Actinobacillus pleuropneumoniae serovar 3 str. JL03 (434271.4)	 	 	 	 	 	 	 	1012_12	 	 	 	1353	 	 	176	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	1208, 604	 	 	 	 
Actinobacillus pleuropneumoniae serovar 4 str. M62 (754255.3)	 	 	 	 	 	 	 	1021_12	 	 	 	1374	 	 	195	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	610	 	 	 	 
Actinobacillus pleuropneumoniae serovar 6 str. Femo (754256.7)	 	 	 	 	 	 	 	1146_12	 	 	 	1494	 	 	227	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	1346, 683	 	 	 	 
Actinobacillus pleuropneumoniae serovar 7 str. AP76 (537457.7)	 	 	 	 	 	 	 	1073_12	 	 	 	1426	 	 	178	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	1281, 672	 	 	 	 
Actinobacillus pleuropneumoniae serovar 9 str. CVJ13261 (754258.3)	 	 	 	 	 	 	 	1109_12	 	 	 	1479	 	 	199	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	1333, 670	 	 	 	 
Actinomyces cardiffensis F0333 (888050.3)	 	 	 	 	 	 	 	 	 	 	415	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
Actinomyces europaeus ACS-120-V-Col10b (883069.3)	 	 	 	 	 	 	 	1665_12, 837_16	 	 	675	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
Actinomyces graevenitzii C83 (435830.3)	 	 	 	 	 	 	 	1351_16	 	 	 	 	 	 	1230	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
Actinomyces massiliensis 4401292 (1167628.4)	 	 	 	 	 	 	 	1102_12, 586_12	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
Actinomyces massiliensis F0489 (1125718.3)	 	 	 	 	 	 	 	1011_12, 2674_12	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
Actinomyces naeslundii str. Howell 279 (1115803.3)	 	 	 	 	 	 	 	1660_12	 	 	1132, 92	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
Actinomyces odontolyticus ATCC 17982 (411466.7)	 	 	 	 	 	 	 	1697_12	 	 	235	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
Actinomyces odontolyticus F0309 (649742.3)	 	 	 	 	 	 	 	1881_12, 424_12, 764_12	 	 	725	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	987	 	 	 	 
Actinomyces oris K20 (871541.3)	 	 	 	 	 	 	 	1114_16	 	 	1526	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
Actinomyces sp. HPA0247 (1203556.3)	 	 	 	 	 	1249_8	 	269_12, 868_12	 	 	232	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
Actinomyces turicensis ACS-279-V-Col4 (883077.3)	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
Actinomyces urogenitalis DSM 15434 (525246.3)	989, 990	 	 	 	 	 	 	209_16, 646_16, 663_12, 677_12	 	 	878	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
Actinomyces viscosus C505 (562973.4)	 	 	 	 	 	 	 	405_16	 	 	1791, 2540	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	333	 	 	 	 
Aerococcus viridans ATCC 11563 (655812.3)	 	352	 	 	 	 	 	 	 	 	66	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	1591	 	 	 	 
Aerococcus viridans LL1 (1175629.3)	 	1443	 	 	 	 	 	 	 	 	 	 	 	 	944, 945	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
Aeromicrobium sp. JC14 (1033730.3)	2944	 	 	 	 	2432_8, 2624_8, 4584_8, 4877_8, 5741_8, 5968_8	 	4405_12, 4699_12	 	 	2246, 954	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	3951_55	2359_56, 3954_56, 4593_56	 	 
Aeromonas caviae Ae398 (878320.4)	3093, 3094	 	 	 	 	 	 	3909_12	 	 	 	2269	 	 	117	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
Aeromonas hydrophila 113 (1268075.3)	2525, 2526	 	 	 	 	 	 	1427_12, 3378_12	 	 	 	2379	 	 	3619	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
Aeromonas hydrophila 14 (1268074.3)	850, 851	 	 	 	 	 	 	2321_12, 541_12	 	 	 	460	 	 	2012	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
Aeromonas hydrophila 173 (1268076.3)	341, 342	 	 	 	 	 	 	1941_12	 	 	 	2633	 	 	3577	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
Aeromonas hydrophila 187 (1268077.3)	2034, 2035	 	 	 	 	 	 	202_12	 	 	 	2622	 	 	3502	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
Aeromonas hydrophila 259 (1268079.3)	3537, 3538	 	 	 	 	 	 	707_12	 	 	 	2883	 	 	1524	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
Aeromonas hydrophila 277 (1268080.3)	98, 99	 	 	 	 	 	 	1486_12	 	 	 	1596	 	 	3929	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
Aeromonas hydrophila ML09-119 (1288394.3)	3042, 3043	 	 	 	 	 	 	4389_12	 	 	 	2058	 	 	87	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
Aeromonas hydrophila SNUFPC-A8 (1232673.3)	2584, 2585	 	 	 	 	 	 	2403_12	 	 	 	2233	 	 	3922	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
Aeromonas hydrophila SSU (1073377.4)	1988, 1989	 	 	 	 	 	 	3383_12	 	 	 	1012	 	 	3640	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
Aeromonas hydrophila subsp. hydrophila ATCC 7966 (380703.7)	2800, 2801	 	 	 	 	 	 	192_12, 4057_12	 	 	 	1906	 	 	73	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
Aeromonas media WS (1208104.3)	2324, 2325	 	 	 	 	 	 	1942_12	 	 	 	3870	 	 	2222	 	2221	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
Aeromonas veronii AER39 (1073382.3)	484, 485	 	 	 	 	 	 	3928_12	 	 	 	107	 	 	3199	 	3198	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
Aeromonas veronii AER397 (1073384.3)	1158, 1159	 	 	 	 	 	 	3591_12	 	 	 	1588	 	 	3746	 	3745	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
