Organism	gdhA	proB	proA	proC	ocd1	ocd2
Bacteroides sp. 3_1_23 (457390.3)	3518_2, 3529_2_1, 3529_2_1	2873	2870	2935_5, 3082_5	 	 
Bacteroides sp. 3_1_33FAA (457391.3)	3162_2, 3168_2_1, 3168_2_1	3702	3701	2400_5	 	 
Bacteroides sp. 3_1_40A (469593.3)	2725_2	340	341	294_5	 	 
Bacteroides sp. 3_2_5 (457392.3)	2894_2_1, 2894_2_1	656	657	637_5	 	 
Bacteroides sp. 4_1_36 (457393.3)	2982_2, 3001_2_1, 3001_2_1	847	846	864_5	 	 
Bacteroides sp. 4_3_47FAA (457394.3)	3761_2	1726	1725	1768_5	 	 
Bacteroides sp. 9_1_42FAA (457395.6)	2897_2_1, 2897_2_1	4011	4010	1367_5	 	 
Bacteroides sp. D1 (556258.5)	3274_2, 3283_2_1, 3283_2_1	2173	2175	2121_5	 	 
Bacteroides sp. D2 (556259.3)	3725_2_1, 3725_2_1, 3741_2	2560	2563	2514_5, 4848_5	 	 
Bacteroides sp. D20 (585543.3)	2514_2, 2556_2_1, 2556_2_1	1607	1606	1624_5	 	 
Bacteroides sp. D22 (585544.3)	154_2_1, 154_2_1, 165_2	2922	2921	2951_5	 	 
Bacteroides stercoris ATCC 43183 (449673.7)	2696_2_1, 2696_2_1, 2722_2	2372	2371	571_5	 	 
Bacteroides stercoris CC31F (1073351.3)	1614_2_1, 1614_2_1, 1640_2	681	680	705_5	 	 
Bacteroides thetaiotaomicron CL09T03C10 (997888.3)	2726_2_1, 2726_2_1, 2735_2	3292	3293	3259_5	 	 
Bacteroides thetaiotaomicron VPI-5482 (226186.12)	2023_2	3780	 	1953_5, 3819_5	 	 
Bacteroides thetaiotaomicron dnLKV9 (1235785.3)	4368_2, 4372_2_1, 4372_2_1	4683	4682	4426_5, 4719_5	 	 
Bacteroides uniformis ATCC 8492 (411479.10)	1726_2_1, 1726_2_1, 1745_2	737	738	720_5	 	 
Bacteroides uniformis CL03T00C23 (997889.3)	632_2_1, 632_2_1, 650_2	1916	1915	1953_5	 	 
Bacteroides uniformis CL03T12C37 (997890.3)	325_2, 344_2_1, 344_2_1	2748	2749	2712_5	 	 
Bacteroides uniformis dnLKV2 (1235787.3)	1607_2_1, 1607_2_1, 1626_2	926	925	953_5	 	 
Bacteroides vulgatus ATCC 8482 (435590.9)	 	568	567	607_5	 	 
Bacteroides vulgatus EK4.2 (702445.3)	979_1	888	887	1388_5, 1636_5	 	2306
Bacteroides vulgatus PC510 (702446.3)	 	3343	3342	1081_5	 	 
Bacteroides vulgatus dnLKV7 (1235786.3)	3081_2_1, 3081_2_1	4066	4067	3673_5	 	 
Bacteroides xylanisolvens CL03T12C04 (997892.3)	3420_2_1, 3420_2_1, 3434_2	3258	3257	3296_5	 	 
Bacteroides xylanisolvens SD CC 1b (702447.3)	3909_2, 3918_2_1, 3918_2_1	1300	1299	2801_5	 	 
Bacteroides xylanisolvens XB1A (657309.4)	54_2, 65_2_1, 65_2_1	3768	3767	3796_5	 	 
Barnesiella intestinihominis YIT 11860 (742726.3)	2503_1, 3_1	2539	2540	2365_5	 	 
Butyricimonas synergistica DSM 23225 (1121129.3)	3173_1, 3177_1	 	 	 	 	 
Dysgonomonas gadei ATCC BAA-286 (742766.3)	888_1, 971_1	2916	2917	172_5	 	 
Odoribacter laneus YIT 12061 (742817.3)	2418_1	 	 	 	 	3258
Odoribacter splanchnicus DSM 20712 (709991.3)	 	 	 	2998_5	 	 
Parabacteroides distasonis ATCC 8503 (435591.13)	3758_2, 3763_2_1, 3763_2_1	2241	2242	2234_5	 	1451
Parabacteroides distasonis CL03T12C09 (999416.3)	2598_2_1, 2598_2_1, 2603_2	191	190	199_5	 	 
Parabacteroides distasonis CL09T03C24 (999417.3)	4295_2, 4300_2_1, 4300_2_1	3233	3232	3240_5	 	 
Parabacteroides goldsteinii CL02T12C30 (999418.3)	4171_2, 4218_2_1, 4218_2_1	2301	2302	2059_5	 	 
Parabacteroides goldsteinii dnLKV18 (1235789.3)	2430_2_1, 2430_2_1, 2466_2	5173	5172	5388_5	 	 
Parabacteroides johnsonii CL02T12C29 (999419.3)	795_2, 803_2_1, 803_2_1	494	492	500_5	 	 
Parabacteroides johnsonii DSM 18315 (537006.5)	2675_2_1, 2675_2_1, 2685_2	3234	3236	3228_5	 	 
Parabacteroides merdae ATCC 43184 (411477.4)	3083_2, 3096_2_1, 3096_2_1	1511	1512	1505_5	 	1331
Parabacteroides merdae CL03T12C32 (999420.3)	2614_2, 2626_2_1, 2626_2_1	3907	3908	3900_5	 	 
Parabacteroides sp. D13 (563193.3)	657_2, 662_2_1, 662_2_1	2946	2945	2953_5	 	 
Porphyromonas asaccharolytica DSM 20707 (879243.3)	1292_1	 	 	 	 	 
Porphyromonas asaccharolytica PR426713P-I (910312.3)	297_1	 	 	 	 	 
Porphyromonas endodontalis ATCC 35406 (553175.3)	307_2	 	 	 	 	 
Porphyromonas gingivalis ATCC 33277 (431947.7)	 	 	 	 	 	 
Porphyromonas gingivalis TDC60 (1030843.3)	1156_2	 	 	 	 	 
Porphyromonas gingivalis W83 (242619.8)	1145_2	 	 	 	 	 
Porphyromonas somerae DSM 23386 (1122975.3)	1263_1	 	 	 	 	 
Porphyromonas uenonis 60-3 (596327.3)	1562_1	 	 	 	 	 
Tannerella forsythia ATCC 43037 (203275.8)	 	 	 	 	 	 
Paraprevotella clara YIT 11840 (762968.3)	151_2_1, 151_2_1, 155_1	84	83	85_5	 	 
Paraprevotella xylaniphila YIT 11841 (762982.3)	298_1, 307_2_1, 307_2_1	742	743	741_5	 	 
Prevotella bivia DSM 20514 (868129.3)	1447_1	 	 	 	 	 
Prevotella bryantii B14 (752555.5)	1969_1	500	501	497_5	 	 
Prevotella buccae ATCC 33574 (873513.3)	1601_1, 2238_1	578	577	581_5	 	 
Prevotella buccae D17 (575611.3)	1179_1, 2329_1	633	634	629_5	 	 
Prevotella conceptionensis 9403948 (1197728.3)	507_1	 	 	 	 	 
Prevotella denticola CRIS 18C-A (944557.3)	1766_1, 2713_1	 	 	 	 	 
Prevotella denticola F0289 (767031.3)	1414_1, 2223_1	 	 	 	 	 
Prevotella disiens FB035-09AN (866771.4)	2477_1	 	 	 	 	 
Prevotella intermedia 17 (246198.10)	1535_1	 	 	 	 	 
Prevotella melaninogenica ATCC 25845 (553174.6)	353_1, 583_1	 	 	 	 	 
Prevotella melaninogenica D18 (575612.3)	1755_1, 2325_1	 	 	 	 	 
Prevotella nanceiensis DSM 19126 (1122988.3)	2047_1, 220_1	 	 	 	 	 
Prevotella nigrescens ATCC 33563 (997352.4)	994_1	 	 	 	 	 
Prevotella nigrescens F0103 (702439.3)	1009_1	 	 	 	 	 
Prevotella oralis ATCC 33269 (873533.3)	 	 	 	 	 	 
Prevotella oralis HGA0225 (1203550.3)	 	 	 	 	 	 
Prevotella pallens ATCC 700821 (997353.4)	1653_1	 	 	 	 	 
Prevotella ruminicola 23 (264731.4)	 	2140	 	2135_5	 	 
Prevotella salivae DSM 15606 (888832.3)	2502_1	 	 	 	 	 
Prevotella stercorea DSM 18206 (1002367.3)	1004_1, 1749_1	 	 	 	 	 
Prevotella timonensis CRIS 5C-B1 (679189.3)	938_1	 	 	 	 	 
Prevotella veroralis DSM 19559 (1122993.3)	1732_1	 	 	 	 	 
Prevotella veroralis F0319 (649761.3)	1802_1	 	 	 	 	 
Alistipes finegoldii DSM 17242 (679935.3)	1915_2, 2263_1	123	124	3206_5	 	 
Alistipes indistinctus YIT 12060 (742725.3)	1240_1, 202_2	1834	1835	1833_5	 	 
Alistipes onderdonkii DSM 19147 (1120974.3)	1186_2, 2457_1	3286	3285	1756_5	 	 
Alistipes putredinis DSM 17216 (445970.5)	 	 	 	 	 	 
Alistipes shahii WAL 8301 (717959.3)	 	3095	 	2279_5	 	 
Rudanella lutea DSM 19387 (1089547.3)	2819_2	4398	1952	2329_5	 	 
Capnocytophaga ochracea DSM 7271 (521097.5)	716_1	 	 	 	 	 
Capnocytophaga ochracea F0287 (873517.3)	1464_1	 	 	 	 	 
Capnocytophaga sputigena ATCC 33612 (553177.6)	2389_1	 	 	 	 	 
Capnocytophaga granulosa ATCC 51502 (641143.3)	992_1	 	 	 	 	 
Capnocytophaga ochracea str. Holt 25 (1125719.3)	494_1	 	 	 	 	 
Dyadobacter fermentans DSM 18053 (471854.5)	3505, 3505	4554	 	3619_5	 	 
Spirosoma linguale DSM 74 (504472.7)	 	433	 	5935_5	 	 
Akkermansia muciniphila ATCC BAA-835 (349741.6)	2345_1	597	596	2272_5	 	 
Escherichia coli TY-2482.contig.20110606 (6666666.5522)	4981_1	4456	4457	929_5	 	 
Bacillus cereus BDRD-ST26 (526975.3)	2339_2	3823	3822	2592_5, 3824_5, 3992_5, 5143_5	 	1685
Bacillus cereus BGSC 6E1 (526970.3)	 	4254	 	3738_5, 4255_5, 4408_5, 5554_5	 	1941
Bacillus cereus F65185 (526989.3)	3717_2	5199	5200	107_5, 1937_5, 4856_5, 5198_5	 	2431
Bacillus cereus Rock1-15 (526982.3)	2656_2	4125	4124	3617_5, 4126_5, 4253_5, 5318_5	 	2038
Bacillus cereus 03BB102 (572264.4)	 	2956	2955	193_5, 2958_5, 4140_5	 	824
Bacillus cereus 172560W (526967.3)	1781_2	3190	3191	3189_5, 3452_5, 3670_5, 4398_5	 	1161
Bacillus cereus 95/8201 (526979.3)	 	3286	 	2826_5, 3284_5, 4499_5, 5896_5	 	877
Bacillus cereus AH1134 (405533.4)	3522_2	4372	4373	1797_5, 3833_5, 4371_5, 4965_5	 	557
Bacillus cereus AH1271 (526992.3)	4882_2	491	490	1641_5, 492_5, 4959_5, 636_5	 	4234, 4235
Bacillus cereus AH1272 (526993.3)	4238_2, 5395_2	360, 394	393	1995_5, 362_5, 480_5	 	4694
Bacillus cereus AH187 (405534.9)	1832_2	3215	3214	3216_5, 3350_5, 4453_5, 511_5	 	1263
Bacillus cereus AH603 (526990.3)	3410_2	4940	4941	163_5, 3797_5, 4939_5	 	2784
Bacillus cereus AH621 (526972.3)	2154_2, 2352_2	3724	3723	3282_5, 3725_5, 4889_5	 	1661
Bacillus cereus AH676 (526991.3)	4747_2	416	415	1620_5, 1621_5, 417_5, 4804_5, 589_5	 	3778
Bacillus cereus AH820 (405535.8)	 	2957	 	206_5, 2958_5, 3128_5, 4152_5	 	924
Bacillus cereus AND1407 (1053166.3)	642_2	1944	1943	1945_5, 2083_5, 3155_5, 5312_5	 	68
Bacillus cereus ATCC 10876 (526980.3)	2431_2	3824	3825	2982_5, 3823_5, 4065_5, 5210_5	 	1709
Bacillus cereus ATCC 10987 (222523.6)	1536_2	2896, 2897	2895	211_5, 2898_5, 4029_5	 	950
Bacillus cereus ATCC 4342 (526977.3)	1070_2	2689	2690	2456_5, 2688_5, 2952_5, 3873_5	 	446
Bacillus cereus B4264 (405532.5)	1428_2	2861	2860	181_5, 2862_5, 2999_5, 4099_5	 	836
Bacillus cereus B5-2 (1085389.3)	1927_2	3376	3375	177_5, 3377_5, 4644_5	 	1324, 3539
Bacillus cereus BAG1O-1 (1053167.3)	1284_2, 1426_2	2470	2471	176_5, 2468_5, 2469_5, 4881_5	 	832
Bacillus cereus BAG1O-2 (1053168.3)	4036_2, 4180_2	2598	2599	1381_5, 2596_5, 3114_5, 5229_5	 	4608
Bacillus cereus BAG1O-3 (1053169.3)	3479_2	1905	1906	1904_5, 2492_5, 4904_5, 756_5	 	5619
Bacillus cereus BAG1X1-1 (1053170.3)	4131_2	2602	2603	1417_5, 2601_5, 6319_5	 	4718, 5379
Bacillus cereus BAG1X1-2 (1053171.3)	739_2	2316	2315	1712_5, 2317_5, 3434_5, 5143_5	 	179
Bacillus cereus BAG1X1-3 (1053172.3)	4056_2, 4200_2	3130	3129	1420_5, 3131_5, 5307_5	 	4655
Bacillus cereus BAG1X2-1 (1053173.3)	1336_2	2866	2865	112_5, 2867_5, 4045_5	 	5992, 749
Bacillus cereus BAG1X2-2 (1053174.3)	4117_2	2586	2587	1406_5, 2585_5, 5348_5	 	4706, 5838
Bacillus cereus BAG1X2-3 (1053175.3)	2026_2	3552	3551	178_5, 3553_5, 4734_5	 	1062, 1438
Bacillus cereus BAG2O-1 (1053176.3)	1344_2	2869	2868	113_5, 2870_5, 4042_5	 	5792, 754
Bacillus cereus BAG2O-2 (1053177.3)	1186_2, 1329_2	2842	2841	108_5, 2327_5, 2843_5, 4004_5	 	736
Bacillus cereus BAG2O-3 (1053178.3)	4167_2	2715	2716	1453_5, 2714_5, 5409_5	 	2553, 4769
Bacillus cereus BAG2X1-1 (1053179.3)	3404_2, 3545_2	2233	2234	1257_5, 2232_5, 4587_5	 	3959, 4814
Bacillus cereus BAG2X1-2 (1053180.3)	4361_2	2759	2760	1439_5, 2758_5, 5591_5	 	4974
Bacillus cereus BAG2X1-3 (1053181.3)	3282_2, 3422_2	2088	2089	1130_5, 2087_5, 4505_5	 	3841, 4660
Bacillus cereus BAG3O-1 (1085388.3)	1431_2	2929	2928	175_5, 2930_5, 4213_5	 	3089, 812
Bacillus cereus BAG3O-2 (1053182.3)	4106_2	2614	2615	1389_5, 2456_5, 2613_5, 5337_5	 	4699
Bacillus cereus BAG3X2-1 (1053183.3)	3981_2, 4125_2	2993	2992	1435_5, 2995_5, 5179_5	 	4535
Bacillus cereus BAG3X2-2 (1053184.3)	1381_2	2843	2842	101_5, 2844_5, 4039_5	 	5601, 738
Bacillus cereus BAG4O-1 (1053185.3)	1335_2	2829	2828	103_5, 2830_5, 2986_5, 4046_5	 	737
Bacillus cereus BAG4X12-1 (1053186.3)	1269_2	2701	2700	2702_5, 2854_5, 33_5, 3832_5	 	673
Bacillus cereus BAG4X2-1 (1053187.3)	4022_2, 4165_2	2610	2611	1470_5, 2609_5, 4786_5, 5511_5	 	4596
Bacillus cereus BAG5O-1 (1053188.3)	592_2, 738_2	2196	2195	2197_5, 3406_5, 4908_5	 	157
Bacillus cereus BAG5X1-1 (1053189.3)	3762_2	2407	2408	1320_5, 2406_5, 5043_5	 	4400
Bacillus cereus BAG5X12-1 (1053190.3)	3356_2	1928	1929	1775_5, 1927_5, 5423_5, 799_5	 	3948
Bacillus cereus BAG5X2-1 (1053191.3)	3701_2	2126	2127	2125_5, 5744_5, 820_5	 	4311
Bacillus cereus BAG6O-1 (1053192.3)	3989_2, 4133_2	2549	2550	1410_5, 2548_5, 5187_5	 	4562
Bacillus cereus BAG6O-2 (1053193.3)	3913_2	570	569	132_5, 1692_5, 4625_5, 572_5	 	5699
Bacillus cereus BAG6X1-1 (1053194.3)	956_2	2493	2492	2494_5, 3789_5, 5475_5	 	346
Bacillus cereus BAG6X1-2 (1053195.3)	1292_2	2585	2584	108_5, 2587_5, 3620_5	 	739
Bacillus cereus BDRD-Cer4 (526978.3)	1299_2	2848	2849	2422_5, 2847_5, 3000_5, 4056_5	 	 
Bacillus cereus BDRD-ST196 (526976.3)	3638_2, 3785_2	5310	5309	5227_5, 5311_5, 611_5	 	3157
Bacillus cereus BDRD-ST24 (526974.3)	1998_2	3561	3560	2939_5, 3562_5, 3756_5, 4731_5	 	1404
Bacillus cereus BMG1.7 (1053196.3)	2535_2	3174	3173	1092_5, 3175_5, 5672_5	 	4026, 4787
Bacillus cereus BtB2-4 (1053197.3)	1215_2, 1361_2	2801	2800	109_5, 2802_5, 4025_5	 	752
Bacillus cereus CER057 (1053198.3)	1210_2, 1359_2	2799	2798	109_5, 2800_5, 4028_5	 	746
Bacillus cereus CER074 (1053199.3)	4092_2, 4239_2	2653	2654	1425_5, 2652_5, 5345_5	 	4705
Bacillus cereus E33L (288681.15)	 	2874	2873	192_5, 2875_5, 3022_5, 4119_5	 	848
Bacillus cereus FRI-35 (1217984.3)	186_2	4000, 4001	4002	1398_5, 2928_5, 3999_5	 	748
Bacillus cereus G9842 (405531.7)	1389_2	2931	2930	181_5, 2932_5, 3070_5, 4164_5	 	807
Bacillus cereus H-hrb01 (1225787.3)	1273_1, 3080_2	1983, 2612	1982, 2611	160_5, 2004_6, 2613_5	 	 
Bacillus cereus HD73 (1053200.3)	2435_2	3938	3939	3937_5, 5406_5, 752_5	 	3137
Bacillus cereus HuA2-1 (1053201.3)	785_2, 930_2	2560	2559	2562_5, 3816_5, 3817_5, 6167_5	 	351
Bacillus cereus HuA2-3 (1053202.3)	2220_2, 2365_2	3834	3833	3835_5, 5060_5, 743_5	 	1776
Bacillus cereus HuA2-4 (1053203.3)	1216_2, 1367_2	2887	2886	111_5, 2888_5, 3985_5	 	752
Bacillus cereus HuA2-9 (1053204.3)	3533_2, 3683_2	480	479	1791_5, 481_5	 	4116
Bacillus cereus HuA3-9 (1053205.3)	827_2	2305	2304	2307_5, 3303_5, 5966_5	 	1413, 3704
Bacillus cereus HuA4-10 (1053206.3)	4072_2	2554	2555	1430_5, 2553_5, 5283_5	 	4671
Bacillus cereus HuB1-1 (1053207.3)	4185_2	2701	2702	1586_5, 2700_5, 3279_5, 62_5	 	4741
Bacillus cereus HuB13-1 (1053208.3)	1822_2	4274	4273	169_5, 4275_5, 5202_5	 	3219, 989
Bacillus cereus HuB2-9 (1053209.3)	4009_2, 4153_2	2524	2525	1386_5, 2523_5, 5213_5	 	4583
Bacillus cereus HuB4-10 (1053210.3)	603_2, 746_2	2215	2214	2216_5, 3372_5, 5213_5	 	159
Bacillus cereus HuB4-4 (1053211.3)	1556_2	3367	3366	107_5, 3368_5, 3520_5, 4632_5	 	891
Bacillus cereus HuB5-5 (1053212.3)	1188_2, 1332_2	2788	2787	108_5, 2303_5, 2789_5, 3952_5	 	732
Bacillus cereus IS075 (718220.3)	2040_2	810	809	2769_5, 5383_5, 811_5, 945_5	 	2604
Bacillus cereus IS195 (1053213.3)	4653_2	3205	3206	1710_5, 207_5, 3072_5, 3204_5	 	5221
Bacillus cereus IS845/00 (1053214.3)	4829_2	3438	3439	1758_5, 206_5, 3304_5, 3437_5	 	4260
Bacillus cereus ISP2954 (1053215.3)	1760_2	4043	4042	170_5, 4044_5, 5029_5	 	1061, 3442
Bacillus cereus ISP3191 (1053216.3)	 	1927	 	1926_5, 4586_5, 741_5	 	3949
Bacillus cereus K-5975c (1053217.3)	4121_2	2651	2652	1404_5, 2497_5, 2650_5, 6077_5	 	4720
Bacillus cereus LCT-BC244 (1163722.3)	3241_2	1884	1885	1883_5, 4727_5, 774_5	 	3840
Bacillus cereus MC118 (1053218.3)	3024_2	1397	1398	1271_5, 3507_5, 674_5	 	2881
Bacillus cereus MC67 (1053219.3)	866_2	4686	4687	2059_5, 3574_5, 4685_5	 	1439
Bacillus cereus MM3 (526971.3)	2035_2	3684	3685	3683_5, 3945_5, 4821_5	 	1459
Bacillus cereus MSX-A1 (1053220.3)	3548_2	2041	2042	1899_5, 2040_5, 4904_5, 796_5	 	4182
Bacillus cereus MSX-A12 (1053221.3)	2748_2	1332	1333	1197_5, 120_5, 1331_5, 5018_5	 	3314
Bacillus cereus MSX-D12 (1053222.3)	3968_2	2619	2620	1416_5, 2617_5, 5241_5	 	4530
Bacillus cereus NC7401 (334406.4)	1433_2	2787	2786	185_5, 2788_5, 2922_5, 4000_5	 	871
Bacillus cereus Q1 (361100.6)	1499_2	2798	2797	193_5, 2799_5, 2942_5, 3965_5	 	900
Bacillus cereus R309803 (526968.3)	1620_2	2935	2936	2933_5, 3410_5, 4197_5	 	993
Bacillus cereus Rock1-3 (526981.3)	1531_2, 1700_2	3352	3353	2602_5, 3350_5, 4480_5, 635_5	 	1132
Bacillus cereus Rock3-29 (526984.3)	1687_2, 1831_2	3341	3340	3342_5, 3409_5, 4657_5	 	1220
Bacillus cereus Rock3-42 (526985.3)	 	4931	 	4368_5, 4930_5, 590_5, 591_5	 	2660
Bacillus cereus Rock4-18 (526988.3)	2050_2, 608_2	3381	3380	3019_5, 3383_5, 3502_5, 4538_5	 	1225
Bacillus cereus SJ1 (699184.4)	 	3741	3742	3739_5, 4281_5, 4577_5	 	4857
Bacillus cereus TIAC219 (718222.3)	2340_2	122	121	123_5, 1349_5, 276_5, 6076_5	 	2913, 5083
Bacillus cereus VD014 (1053223.3)	1307_2	2794	2793	104_5, 2277_5, 2795_5, 3910_5	 	731
Bacillus cereus VD021 (1053224.3)	1894_2, 2041_2, 2042_2	1465	1466	1464_5, 326_5, 5949_5	 	2576
Bacillus cereus VD022 (718223.3)	3592_2	2048	2049	1895_5, 2047_5, 6264_5, 817_5	 	3019, 4315, 4555
Bacillus cereus VD045 (1053225.3)	3492_2	2038	2039	1903_5, 2037_5, 6053_5, 814_5	 	4060
Bacillus cereus VD048 (1053226.3)	3409_2, 3554_2	1983	1984	1982_5, 5890_5, 741_5	 	4042
Bacillus cereus VD078 (1053227.3)	3958_2, 4104_2	2555	2556	1381_5, 2554_5, 5212_5	 	4561
Bacillus cereus VD102 (1053228.3)	3366_2	1935	1936	1934_5, 4665_5, 817_5	 	3949
Bacillus cereus VD107 (1053229.3)	584_2, 732_2	1669	1670	1667_5, 3128_5, 5360_5	 	183, 5136, 5137
Bacillus cereus VD115 (1053230.3)	3630_2, 3771_2	2047	2048	2045_5, 5611_5, 850_5	 	5895
Bacillus cereus VD118 (1053231.3)	1698_2	3057	3056	111_5, 3058_5, 4488_5	 	967
Bacillus cereus VD131 (1053232.3)	1544_2, 1689_2	3160	3159	159_5, 3162_5, 4381_5	 	1112
Bacillus cereus VD133 (1053233.3)	973_2	2487	2486	2489_5, 4486_5, 5348_5	 	164
Bacillus cereus VD136 (1053234.3)	2068_2, 2210_2	 	 	4639_5, 763_5	 	3564
Bacillus cereus VD140 (1053235.3)	1486_2	3206	3205	172_5, 3207_5, 3369_5, 4450_5	 	844, 846
Bacillus cereus VD142 (718224.3)	1816_2, 1959_2	375	376	3361_5, 373_5, 5736_5	 	2388
Bacillus cereus VD146 (1053236.3)	2009_2, 2156_2	3570	3569	156_5, 3571_5, 4747_5	 	1541
Bacillus cereus VD148 (1053237.3)	4107_2, 4251_2	2547	2548	1399_5, 2546_5, 3064_5, 5587_5	 	4684
Bacillus cereus VD154 (1053238.3)	2437_2	911	910	1098_5, 3768_5, 5028_5, 912_5	 	3103
Bacillus cereus VD156 (1053239.3)	4237_2	2751	2752	1476_5, 2750_5, 3244_5, 4663_5	 	5340, 5948
Bacillus cereus VD166 (1053240.3)	3367_2	1997	1998	1854_5, 1996_5, 5031_5, 733_5	 	3934, 5194
Bacillus cereus VD169 (1053241.3)	1322_2	2702	2701	104_5, 2703_5, 2836_5, 3845_5	 	745
Bacillus cereus VD184 (1053242.3)	1805_2	3222	3221	200_5, 3223_5, 3360_5, 4631_5	 	1171
Bacillus cereus VD196 (1053243.3)	474_2	1977	1976	1978_5, 2128_5, 4927_5, 6116_5	 	3798
Bacillus cereus VD200 (1053244.3)	1384_2	2818	2817	112_5, 2819_5, 2983_5, 4116_5	 	761
Bacillus cereus VD214 (1053245.3)	1582_2, 1725_2	3197	3196	173_5, 3198_5, 4408_5	 	1154
Bacillus cereus VDM006 (1085379.3)	1761_2, 1903_2	 	 	4700_5, 683_5	 	3613
Bacillus cereus VDM019 (1053246.3)	1215_2, 1362_2	2782	2781	109_5, 2783_5, 4032_5	 	749
Bacillus cereus VDM021 (1085386.3)	1672_2, 1812_2	 	 	4742_5, 784_5	 	3258
Bacillus cereus VDM022 (1053247.3)	4038_2, 4185_2	2598	2599	1453_5, 2597_5, 5698_5	 	4633
Bacillus cereus VDM034 (1053248.3)	999_2	2424	2423	2425_5, 3497_5, 5434_5	 	390
Bacillus cereus VDM053 (1053249.3)	1572_2, 1715_2	2766	2767	106_5, 2764_5, 4470_5	 	1124
Bacillus cereus VDM062 (1053250.3)	4305_2	2792	2793	107_5, 1676_5, 2791_5	 	4899
Bacillus cereus biovar anthracis str. CI (637380.6)	 	3284	 	3285_5, 4485_5, 517_5	 	 
Bacillus cereus m1293 (526973.3)	2826_2	4297	4296	2956_5, 4299_5, 5428_5	 	2229
Bacillus cereus m1550 (526969.3)	1234_2	2816	2817	2540_5, 2815_5, 2840_5, 3728_5	 	513
Bacillus cereus str. Schrouff (718221.3)	3461_2	1987	1988	1833_5, 1986_5, 6195_5, 741_5	 	4064
Bacillus cereus subsp. cytotoxis NVH 391-98 (315749.4)	1246_2	 	 	199_5, 2898_5	 	2103
Bacillus mycoides DSM 2048 (526997.3)	1598_2, 1744_2	3370	3371	3369_5, 3694_5, 4412_5	 	1174
Bacillus mycoides Rock1-4 (526998.3)	5721_2, 5934_2	745	746	2115_5, 2141_5, 2142_5, 743_5	 	1074
Bacillus mycoides Rock3-17 (526999.3)	2426_2, 2595_2	3425	3426	3423_5, 3847_5, 4904_5	 	3937
Bacillus thuringiensis HD-771 (1218175.3)	2659_2	894	895	4012_5, 5776_5, 738_5, 893_5	 	3361
Bacillus thuringiensis HD-789 (1217737.3)	1042_2	2485	2484	2486_5, 2624_5, 3819_5, 5421_5	 	424
Bacillus thuringiensis IBL 200 (527019.3)	2538_2	4122	4121	3531_5, 4123_5, 4263_5, 4264_5, 5217_5	 	1600
Bacillus thuringiensis IBL 4222 (527020.3)	5493_2	104	103	105_5, 1373_5, 3931_5, 5841_5	 	4296
Bacillus thuringiensis MC28 (1195464.3)	601_2, 742_2	2220	2219	2221_5, 3491_5, 4979_5	 	164
Bacillus thuringiensis serovar andalousiensis BGSC 4AW1 (527032.3)	 	4241	4242	3877_5, 4239_5, 4373_5, 5465_5	 	2026
Bacillus thuringiensis serovar berliner ATCC 10792 (527031.3)	3135_2	4655	4656	4056_5, 4654_5, 4672_5, 5853_5	 	1209, 2495
Bacillus thuringiensis serovar chinensis CT-43 (541229.3)	1462_2	3070	3069	183_5, 2503_5, 3071_5, 4279_5	 	885
Bacillus thuringiensis serovar finitimus YBT-020 (930170.3)	1595_2	2951	2950	192_5, 2952_5, 3090_5, 4050_5	 	942
Bacillus thuringiensis serovar huazhongensis BGSC 4BD1 (527030.3)	2883_2	4301	4302	3733_5, 4300_5, 4434_5, 5384_5	 	1733
Bacillus thuringiensis serovar konkukian str. 97-27 (281309.8)	 	2898	 	189_5, 2899_5, 4141_5	 	 
Bacillus thuringiensis BMB171 (714359.3)	1424_2	2881	2880	190_5, 2882_5, 3036_5, 4067_5	 	823
Bacillus thuringiensis serovar kurstaki str. HD73 (1279365.3)	1716_2	2990	2991	179_5, 2989_5, 4439_5	 	1026
Bacillus thuringiensis serovar kurstaki str. T03a001 (527023.3)	3688_2	5059	5058	3652_5, 5060_5, 507_5	 	2846
Bacillus thuringiensis serovar monterrey BGSC 4AJ1 (527022.3)	 	5564	5565	278_5, 4954_5, 5563_5, 5734_5	 	2653
Bacillus thuringiensis serovar pakistani str. T13001 (527027.3)	4747_2	52	53	1409_5, 214_5, 4924_5, 51_5	 	3613
Bacillus thuringiensis serovar pondicheriensis BGSC 4BA1 (527029.3)	 	3711	 	3713_5, 3865_5, 4162_5, 4980_5	 	1566
Bacillus thuringiensis serovar pulsiensis BGSC 4CC1 (527028.3)	 	4262	 	3585_5, 4260_5, 4318_5, 5342_5	 	1724
Bacillus thuringiensis serovar thuringiensis str. IS5056 (1286404.3)	1455_2	3052	3051	188_5, 2491_5, 3053_5, 4250_5	 	6174, 6835, 887
Bacillus thuringiensis serovar thuringiensis str. T01001 (527025.3)	3141_2	4660	4661	4195_5, 4659_5, 4751_5, 5795_5	 	1501, 2349
Bacillus thuringiensis str. Al Hakam (412694.7)	 	2998	2997	275_5, 3000_5, 3142_5, 4152_5	 	939
Bacillus clausii KSM-K16 (66692.6)	1984_2	1879	 	1333_5, 1877_5	 	 
Bacillus endophyticus 2102 (1196029.3)	1173_2, 1993_2, 356_1	2177, 4742	2178, 4743	1109_5, 2176_5, 4780_5	 	 
