Organism	PANF	KPHMT	KPRED	ASPDC	PBAL	PANK	PPCS	PPCDC	DPCK	PPAT	PanT
Propionibacterium acidipropionici ATCC 4875 (1171373.8)	 	 	134, 1483, 1695, 2790	 	 	2474_7, 2891_7	1746	1746	1300_12	1604_16, 2132_15, 3136_16	 
Propionibacterium acnes C1 (1234380.3)	 	 	1071	 	 	1918_7	1287	1287	873_12	1137_16, 1596_15	 
Propionibacterium acnes FZ1/2/0 (1276649.3)	 	 	1033	 	 	1861_7	1247	1247	834_12	1099_16, 1539_15	 
Propionibacterium acnes HL096PA1 (1134454.3)	 	 	1278	 	 	1888_7	1063	1063	1473_12	1212_16, 789_15	 
Propionibacterium acnes PRP-38 (1136877.3)	 	 	1734	 	 	141_7	1942	1942	1533_12	1796_16, 2212_15	 
Propionibacterium avidum 44067 (1170318.3)	 	 	1251	 	 	14_7, 405_7	1029	1029	1410_12	1186_16, 777_15	 
Propionibacterium avidum ATCC 25577 (997355.3)	 	 	1946	 	 	400_7, 816_7	1735	1735	2098_12	1880_16, 62_15	 
Propionibacterium propionicum F0230a (767029.3)	1977	 	 	 	 	2117_7	2381	2381	1847_12	1256_15, 1489_16	 
Bifidobacterium angulatum DSM 20098 = JCM 7096 (518635.7)	185	 	396	 	 	107_9	106	106	1041_12	1446_15	 
Bifidobacterium animalis subsp. animalis ATCC 25527 (703613.4)	 	 	1268	 	 	584_9	 	 	991_12	300_15	 
Bifidobacterium animalis subsp. lactis B420 (1168290.3)	 	 	1267	 	 	561_9	 	 	975_12	285_15	 
Bifidobacterium animalis subsp. lactis BS 01 (911598.3)	 	 	1327	 	 	612_9	 	 	1030_12	334_15	 
Bifidobacterium animalis subsp. lactis Bi-07 (742729.3)	 	 	1267	 	 	561_9	 	 	975_12	284_15	 
Bifidobacterium bifidum BGN4 (484020.3)	 	 	 	 	 	1318_9	 	 	734_12	317_15	 
Bifidobacterium bifidum LMG 13195 (1207542.3)	 	 	 	 	 	590_9	 	 	216_12	1120_16, 342_15	 
Bifidobacterium breve CECT 7263 (1036735.3)	1681	 	 	 	 	873_9	 	 	746_12	780_15	 
Bifidobacterium breve DPC 6330 (1074482.3)	799	 	 	 	 	1255_9	 	 	1528_12	1129_15	 
Bifidobacterium breve DSM 20213 = JCM 1192 (518634.7)	106	 	 	 	 	528_9, 529_9	 	 	782_12	406_15	 
Bifidobacterium breve HPH0326 (1203540.3)	132	 	 	 	 	617_9	 	 	2024_12	1502_16, 483_15	 
Bifidobacterium catenulatum DSM 16992 = JCM 1194 (566552.6)	42	 	1567	 	 	1533_9	1534	1534	910_12	1463_15	 
Bifidobacterium longum subsp. infantis ATCC 15697 = JCM 1222 (391904.8)	61	 	 	 	 	2095_9	2094	2094	1818_12	416_15	 
Bifidobacterium longum subsp. longum 1-6B (1161744.3)	2223	 	 	 	 	1983_9	 	 	713_12	1084_15	 
Bifidobacterium longum subsp. longum 2-2B (1161745.3)	701	 	 	 	 	1347_9	 	 	1935_12	1573_15	 
Bifidobacterium longum subsp. longum 35B (1161904.3)	406	 	 	 	 	2018_9	 	 	1018_12	2069_15	 
Bifidobacterium longum subsp. longum 44B (1161743.3)	294	 	 	 	 	529_9	 	 	1845_12	137_15	 
Bifidobacterium longum subsp. longum CMCC P0001 (1266716.3)	1620	 	 	 	 	766_9	765	765	141_12	1559_16, 890_15	 
Bifidobacterium pseudocatenulatum DSM 20438 = JCM 1200 (547043.8)	1502	 	77	 	 	102_9	101	101	1045_12	399_15	 
Bifidobacterium thermophilum RBL67 (1254439.12)	1286	 	1311	 	 	1238_9	1239	1239	871_12	311_15, 741_16	 
Atopobium minutum 10063974 (997872.3)	 	 	 	 	 	323_9	867	867	 	762_15	 
Collinsella tanakaei YIT 12063 (742742.3)	 	 	1328	 	 	1012_9, 2101_9	237	237	1545_12	491_15	 
Slackia piriformis YIT 12062 (742818.3)	1184, 1788_1	 	1394	 	 	266_9	265, 706	265, 706	1405_12	743_15	 
Bacteroides fragilis ATCC 25285 (272559.3)	 	1869	3181	877	876	934_9	2848	2848	1096_12	1132_16, 2214_16, 3148_15, 532_16	 
Bacteroides caccae ATCC 43185 (411901.7)	 	752	1221	1773	1772	3330_9	2372	2372	1920_12	1173_16, 1183_15	 
Bacteroides caccae CL03T12C61 (997873.3)	 	1753	3383	639	638	723_9	2490	2490	913_12	3441_16, 3460_15, 3488_16, 3857_16	 
Bacteroides capillosus ATCC 29799 (411467.6)	 	 	 	 	 	2924_9, 3014_9	2926	2926	2940_12	2722_15	1573, 2925
Bacteroides cellulosilyticus CL02T12C19 (997874.3)	 	4286	1892	443	442	627_8, 666_9	1524	1524	965_12	1993_16, 5397_15	 
Bacteroides cellulosilyticus DSM 14838 (537012.5)	 	4114	1540	3016	3015	3202_8, 3239_9	520	520	3446_12	1931_15	 
Bacteroides clarus YIT 12056 (762984.3)	 	576	1700	2283	2284	2227_8, 2249_8	1409	1409	1222_12	125_16, 1839_15, 734_16	 
Bacteroides coprocola DSM 17136 (470145.6)	 	3408	469	1829	1828	836_9	1818	1818	887_12	490_15	 
Bacteroides coprophilus DSM 18228 (547042.5)	 	639	304	1034	1035	864_9	371	371	2373_12	108_15, 1838_16, 3145_16	 
Bacteroides dorei CL02T00C15 (997875.3)	 	133	2927	26	27	356_9, 4650_8	33	33	4632_12	2890_15, 3652_16	 
Bacteroides dorei CL02T12C06 (997876.3)	 	456	1577	348	349	4196_8, 680_9	355	355	4178_12	1540_15, 4375_16	 
Bacteroides dorei CL03T12C01 (997877.3)	 	807	2685	693	694	1067_9, 3961_8	705	705	3934_12	2723_15, 3161_16	 
Bacteroides dorei DSM 17855 (483217.6)	 	4068	1451	3002	3001	1168_8, 3790_9	2991	2991	1186_12	1042_16, 1486_15	 
Bacteroides eggerthii 1_2_48FAA (665953.3)	 	3727	967	2315	2316	2233_9, 2248_8	3008	3008	3282_12	1073_15	 
Bacteroides eggerthii DSM 20697 (483216.6)	 	2369	3113	914	913	975_8, 990_9	1312	1312	1133_12	3000_15	 
Bacteroides faecis MAJ27 (1077285.3)	 	3375	649	1780	1779	1836_9	3814	3814	2155_12	563_16, 573_15	 
Bacteroides finegoldii DSM 17565 (483215.6)	 	2735	3807	3597	3596	4151_9	228	228	3036_12	19_15	 
Bacteroides fluxus YIT 12057 (763034.3)	 	455	477	1593	1594	1523_8, 1548_8	894	894	1031_12	2049_15, 3489_16, 543_16	 
Bacteroides fragilis 3_1_12 (457424.5)	 	1168	4549	1899	1898	1961_9	2996	2996	2067_12	1320_16, 2575_16, 4587_15	 
Bacteroides fragilis 638R (862962.3)	 	2317	4739	1007	1006	1074_9	2945	2945	1234_12	1292_16, 2415_16, 392_16, 4706_15	 
Bacteroides fragilis CL03T00C08 (997878.3)	 	2194	54	1043	1042	1110_9	2778	2778	1270_12	1338_16, 2293_16, 23_15, 372_16	 
Bacteroides fragilis CL03T12C07 (997879.3)	 	3337	582	4537	4538	4470_9	1613	1613	4308_12	3436_16, 4239_16, 548_15, 898_16	 
Bacteroides fragilis CL05T00C42 (997880.3)	 	3913	1607	1168	1169	1105_9	2423	2423	965_12	1574_15, 3649_16, 3820_16, 913_16	 
Bacteroides fragilis CL05T12C13 (997881.3)	 	3448	57	972	971	1037_9	4473	4473	1181_12	1237_16, 23_15, 3348_16	 
Bacteroides fragilis CL07T00C01 (997882.3)	 	669	2976	1968	1969	1903_9	4219	4219	1755_12	1698_16, 2584_16, 3008_15, 497_16	 
Bacteroides fragilis CL07T12C05 (997883.3)	 	2372	55	1072	1071	1137_9	3820	3820	1286_12	1342_16, 23_15, 2543_16, 456_16	 
Bacteroides fragilis HMW 610 (1073386.3)	 	317	4730	3100	3101	3035_9	1069	1069	2944_12	4373_16, 4775_15, 505_16	 
Bacteroides fragilis HMW 615 (1073387.4)	 	4391	1163	240	241	175_9	2339	2339	47_12	1198_15, 2941_16, 3258_16, 836_16	 
Bacteroides fragilis HMW 616 (1073388.3)	 	1600	4048	296	295	362_9	2329	2329	458_12	1708_16, 4009_15, 4347_16	 
Bacteroides fragilis NCTC 9343 (272559.17)	 	2208	4485	914	913	977_9	2877	2877	1147_12	1185_16, 2360_16, 322_16, 4452_15	 
Bacteroides fragilis YCH46 (295405.11)	 	2101	4405	1003	1002	1062_9	2858	2858	1190_12	1242_16, 2197_16, 406_16, 4373_15	 
Bacteroides intestinalis DSM 17393 (471870.8)	 	2158	1140	4033	4034	3898_9, 3915_8	3276	3276	3673_12	1223_16, 883_15	 
Bacteroides massiliensis B84634 = Timone 84634 = DSM 17679 = JCM 13223 (1121098.4)	 	1715	194	892	893	1298_8, 318_9	1434	1434	908_12	2185_16, 226_15, 3076_16	 
Bacteroides massiliensis dnLKV3 (1235788.3)	 	1980	495	1714	1713	1461_9, 3826_8	1706	1706	3810_12	521_15, 967_16	 
Bacteroides nordii CL02T12C05 (997884.3)	 	2126	251	1360	1359	1458_9	3623	3623	1653_12	196_15, 423_16, 457_16	 
Bacteroides oleiciplenus YIT 12058 (742727.4)	 	402	2377	1576	1577	1342_9, 1372_8	4864	4864	1201_12	2286_16, 2689_15	 
Bacteroides ovatus 3_8_47FAA (665954.3)	 	1078	398	2367	2366	2444_9	1755	1755	3325_12	255_15	 
Bacteroides ovatus ATCC 8483 (411476.11)	 	149	2374	4343	4342	4421_9	1228	1228	4585_12	2222_15	 
Bacteroides ovatus CL02T12C04 (997885.3)	 	370	5019	2805	2806	2730_9	3232	3232	2267_12	5366_15	 
Bacteroides ovatus CL03T12C18 (997886.3)	 	3083	556	1853	1852	1930_9	5363	5363	2307_12	357_15	 
Bacteroides ovatus SD CC 2a (702444.3)	 	4464	4763	4260	4261	1644_9	4373	4373	1577_12	4566_15	 
Bacteroides pectinophilus ATCC 43243 (483218.5)	827	 	2847	 	 	2397_9	 	 	2532_12	2959_15	 
Bacteroides plebeius DSM 17135 (484018.6)	 	2002	969	2349	2348	1826_8, 1955_9	331	331	2984_12	2005_16, 3298_16, 953_15	 
Bacteroides salyersiae CL02T12C01 (997887.3)	 	2850	1779	437	438	337_9	4194	4194	103_12	1590_16, 1637_16, 1805_15	 
Bacteroides salyersiae WAL 10018 = DSM 18765 = JCM 12988 (1121101.3)	 	3746	1986	848	849	746_9	3030	3030	547_12	1785_16, 1831_16, 2013_15	 
Bacteroides sp. 1_1_14 (469585.3)	 	2410	2895	152	151	229_9	3129	3129	1300_12	2960_15, 2979_16	 
Bacteroides sp. 1_1_30 (457387.3)	 	23	1419	4997	4996	4691_9	3044	3044	3932_12	2147_15	 
Bacteroides sp. 1_1_6 (469586.3)	 	776	1952	2097	2098	2039_9	4399	4399	4878_12	1271_15, 1281_16	 
Bacteroides sp. 20_3 (469591.4)	 	2984	1568	1132	1131	1098_9, 4406_8	3095	3095	1801_12	1622_16, 219_15, 4412_16	 
Bacteroides sp. 2_1_22 (469588.3)	 	1978	523	3562	3561	3647_9	3797	3797	2203_12	643_15	 
Bacteroides sp. 2_1_33B (469589.3)	 	702	3547	3402	3403	2859_8, 3436_9	778	778	2406_12	2052_15, 2865_16, 3611_16	 
Bacteroides sp. 2_1_7 (457388.5)	 	1619	3149	3732	3733	2387_8, 3766_9	1689	1689	1934_12	230_15, 2393_16, 3100_16	 
Bacteroides sp. 2_2_4 (469590.5)	 	5086	1334	1936	1935	2014_9	4809	4809	688_12	1582_16, 1593_15	 
Bacteroides sp. 3_1_19 (469592.4)	 	1614	1229	3495	3494	2051_8, 3461_9	1504	1504	2443_12	1278_16, 2045_16, 216_15	 
Bacteroides sp. 3_1_23 (457390.3)	 	589	1982	4419	4418	4510_9	1231	1231	3830_12	1811_16, 1828_15	 
Bacteroides sp. 3_1_33FAA (457391.3)	 	273	1860	170	171	4067_8, 505_9	178	178	4085_12	1825_15, 2401_16	 
Bacteroides sp. 3_1_40A (469593.3)	 	4020	819	1339	1338	1631_8, 3146_9	1329	1329	2124_12	305_16, 791_15	 
Bacteroides sp. 3_2_5 (457392.3)	 	2365	1125	1545	1546	1479_9	1716	1716	1354_12	1158_15, 1299_16, 2461_16, 796_16	 
Bacteroides sp. 4_1_36 (457393.3)	 	2370	215	3819	3820	3038_8, 3066_9	2938	2938	3195_12	152_16, 523_15	 
Bacteroides sp. 4_3_47FAA (457394.3)	 	3070	539	3629	3630	2549_9, 4508_8	3637	3637	4527_12	1759_16, 511_15	 
Bacteroides sp. 9_1_42FAA (457395.6)	 	1463	3461	2128	2129	1707_9, 4459_8	2135	2135	4477_12	1368_16, 3426_15	 
Bacteroides sp. D1 (556258.5)	 	2823	376	1782	1781	1867_9	2460	2460	3873_12	4664_15	 
Bacteroides sp. D2 (556259.3)	 	4514	1967	1233	1234	1157_9	3565	3565	970_12	2144_15	 
Bacteroides sp. D20 (585543.3)	 	3251	1973	253	254	2615_8, 2642_9	2893	2893	2724_12	1915_16, 2150_15	 
Bacteroides sp. D22 (585544.3)	 	1586	3020	1880	1879	1956_9	2206	2206	3173_12	316_15	 
Bacteroides stercoris ATCC 43183 (449673.7)	 	2481	2097	3139	3140	3077_9, 3093_8	860	860	196_12	1199_16, 1987_15	 
Bacteroides stercoris CC31F (1073351.3)	 	3412	404	1246	1247	1184_9, 1200_8	2256	2256	2488_12	293_15, 3065_16	 
Bacteroides thetaiotaomicron CL09T03C10 (997888.3)	 	2558	1976	1414	1415	1355_9	961	961	741_12	1898_15	 
Bacteroides thetaiotaomicron VPI-5482 (226186.12)	 	713	3181	4385	4384	4443_9	1396	1396	4674_12	3076_16, 3087_15	 
Bacteroides thetaiotaomicron dnLKV9 (1235785.3)	 	897	3535	2385	2386	2329_9	542	542	2116_12	3442_16, 3452_15	 
Bacteroides uniformis ATCC 8492 (411479.10)	 	2061	596	9	10	4079_9, 4106_8	3798	3798	3991_12	3579_15	 
Bacteroides uniformis CL03T00C23 (997889.3)	 	4022	1325	2481	2480	543_9, 572_8	181	181	436_12	1589_15	 
Bacteroides uniformis CL03T12C37 (997890.3)	 	1194	3338	4118	4117	404_8, 434_9	802	802	543_12	3076_15	 
Bacteroides uniformis dnLKV2 (1235787.3)	 	2992	362	1124	1123	1508_9, 1535_8	3885	3885	1417_12	558_15	 
Bacteroides vulgatus ATCC 8482 (435590.9)	 	2828	1252	2991	2990	2646_9, 3946_8	2984	2984	3928_12	1284_15, 598_16	 
Bacteroides vulgatus EK4.2 (702445.3)	 	 	1658, 2396	 	 	2296_7	413	414	2085_12	1664_15	 
Bacteroides vulgatus PC510 (702446.3)	 	2119	2417	2210	2209	1328_8, 3914_9	2203	2203	1311_12	1090_16, 2389_15	 
Bacteroides vulgatus dnLKV7 (1235786.3)	 	803	2454	889	888	1335_8, 536_9	882	882	1315_12	2481_15, 3663_16	 
Bacteroides xylanisolvens CL03T12C04 (997892.3)	 	1899	2617	379	378	451_9	3999	3999	682_12	2457_16, 2470_15, 4599_16, 4601_16	 
Bacteroides xylanisolvens SD CC 1b (702447.3)	 	2465	4532	2334	2333	1544_9	4794	4794	3214_12	532_15	 
Bacteroides xylanisolvens XB1A (657309.4)	 	2470	1034	2268	2267	2346_9	3320	3320	2641_12	920_15	 
Barnesiella intestinihominis YIT 11860 (742726.3)	 	2961	 	1355	1356	556_9	63	63	1429_12	2627_15	 
Butyricimonas synergistica DSM 23225 (1121129.3)	 	1062	 	2103	2102	1793_9	2714	2714	2555_12	125_15	 
Dysgonomonas gadei ATCC BAA-286 (742766.3)	 	1811	 	1258	1259	3940_8	2823	2823	2046_12	1246_15, 4045_16	 
Odoribacter laneus YIT 12061 (742817.3)	 	1256	 	2604	2605	3219_9	2670	2670	1494_12	183_15, 2057_16	 
Odoribacter splanchnicus DSM 20712 (709991.3)	 	503	1504	2852	2853	3479_9	3367	3367	1477_13, 3717_12	1679_15	 
Parabacteroides distasonis ATCC 8503 (435591.13)	 	792	1712	205	204	171_9, 2283_8	682	682	1844_12	1662_16, 2289_16, 3309_15	 
Parabacteroides distasonis CL03T12C09 (999416.3)	 	1825	2307	4063	4062	149_8, 4029_9	1935	1935	560_12	143_16, 2257_16, 3149_15	 
Parabacteroides distasonis CL09T03C24 (999417.3)	 	495	2567	2335	2334	2301_9, 3199_8	609	609	1824_12	2624_16, 3193_16, 3301_15	 
Parabacteroides goldsteinii CL02T12C30 (999418.3)	 	3445	1649	2282	2283	3768_8, 5063_9	4123	4123	5112_12	1124_16, 1472_16, 2406_16, 2791_16, 4183_16, 732_15	 
Parabacteroides goldsteinii dnLKV18 (1235789.3)	 	409	1816	5192	5191	1008_8, 2194_9	1175	1175	2232_12	1998_16, 2463_16, 2965_16, 3627_16, 3953_15, 5065_16	 
Parabacteroides johnsonii CL02T12C29 (999419.3)	 	1249	1352	757	756	2946_8, 720_9	2823	2823	1155_12	1454_15, 2518_16, 335_16	 
Parabacteroides johnsonii DSM 18315 (537006.5)	 	2298	20	3837	1673	1555_9, 1962_8	1830, 1831	1830, 1831	2268_12	2841_16, 3404_16, 695_15	 
Parabacteroides merdae ATCC 43184 (411477.4)	 	2949	2315	1287	1286	1240_9, 1887_8	1955	1955	3205_12	1192_16, 1652_16, 3480_16, 924_15	 
Parabacteroides merdae CL03T12C32 (999420.3)	 	180	314	2966	2965	2907_9, 759_8	606	606	3688_12	2235_15, 2619_16, 2855_16, 2856_16, 3282_16, 4202_16	 
Parabacteroides sp. D13 (563193.3)	 	1525	1166	3923	3924	2904_8, 4331_9	1452	1452	3316_12	1218_16, 147_15, 2898_16	 
Porphyromonas asaccharolytica DSM 20707 (879243.3)	 	950	1316	180	1520	1554_9	518	518	527_12	1437_15	 
Porphyromonas asaccharolytica PR426713P-I (910312.3)	 	569	822	201	1088	1558_9	1385	1385	1376_12	54_15	 
Porphyromonas endodontalis ATCC 35406 (553175.3)	 	1028	 	274	236	1723_9	1040	1040	1748_12	1346_15	 
Porphyromonas gingivalis ATCC 33277 (431947.7)	 	628	2036	1197	1474	1498_9	1757	1757	1469_12	1574_15, 236_16	 
Porphyromonas gingivalis TDC60 (1030843.3)	 	1653	2146	1057	1553	1524_8	105	105	1558_12	1439_15, 384_16	 
Porphyromonas gingivalis W83 (242619.8)	 	537	2058	1032	436	407_9	1713	1713	441_12	113_16, 339_15	 
Porphyromonas somerae DSM 23386 (1122975.3)	 	1653	 	1511	737	759_7	1808	1808	1333_12	1228_15, 227_16	 
Porphyromonas uenonis 60-3 (596327.3)	 	1239	854	120	574	1257_9	1607	1607	1183_12	1593_15	 
Tannerella forsythia ATCC 43037 (203275.8)	 	201	 	288	289	2044_7	2159	2159	161_12	971_15	 
Paraprevotella clara YIT 11840 (762968.3)	 	2648	1289	2163	2164	1583_9	2671	2671	2052_12	470_15	 
Paraprevotella xylaniphila YIT 11841 (762982.3)	 	569	668	257	256	1537_8	594	594	813_12	1601_15	 
Prevotella bivia DSM 20514 (868129.3)	 	375	 	385	386	600_8	770	770	1612_12	1225_15	 
Prevotella bryantii B14 (752555.5)	 	44	 	1282	1283	2438_8	2223	2223	709_12	1776_15	 
Prevotella buccae ATCC 33574 (873513.3)	 	1122	2052	2022	2023	1379_8	571	571	1724_12	2647_15	 
Prevotella buccae D17 (575611.3)	 	471	2680	2257	2256	1297_8	1749	1749	2164_12	911_15	 
Prevotella conceptionensis 9403948 (1197728.3)	 	2831	 	2768	2767	2681_8	887	887	773_12	1923_15	 
Prevotella denticola CRIS 18C-A (944557.3)	 	1404	 	2691	2690	1144_8	520	520	1623_12	2018_15	 
Prevotella denticola F0289 (767031.3)	 	2401	 	2431	2432	200_8	1280	1280	1696_12	647_15	 
Prevotella disiens FB035-09AN (866771.4)	 	221	 	2078	2077	1859_8	467	467	2715_12	2461_15	 
Prevotella intermedia 17 (246198.10)	 	284	 	107	106	1843_8	426	426	1576_12	979_15	 
Prevotella melaninogenica ATCC 25845 (553174.6)	 	1820	 	1867	1868	1887_8	659	659	1016_12	61_15	 
Prevotella melaninogenica D18 (575612.3)	 	680	 	727	728	744_8	1728	1728	2117_12	360_15	 
Prevotella nanceiensis DSM 19126 (1122988.3)	 	172	 	1334	1333	1291_8	951	951	1484_12	896_15	 
Prevotella nigrescens ATCC 33563 (997352.4)	 	519	 	2281	2282	643_8	367	367	934_12	1460_15	 
Prevotella nigrescens F0103 (702439.3)	 	1504	 	989	990	1394_8	1257	1257	322_12	1733_15	 
Prevotella oralis ATCC 33269 (873533.3)	 	 	 	 	 	86_8	 	 	558_12	1158_15	 
Prevotella oralis HGA0225 (1203550.3)	 	 	 	 	 	2235_8	 	 	784_12	1054_16, 1659_15	 
Prevotella pallens ATCC 700821 (997353.4)	 	2164	 	2133	2132	1072_8	2198	2198	1646_12	294_15	 
Prevotella ruminicola 23 (264731.4)	 	2377	1097	2379	2378	2381_9, 301_8	2380	2380	231_12	2396_15	 
Prevotella salivae DSM 15606 (888832.3)	 	2324	 	2339	2340	2484_8	2433	2433	550_12	2737_16, 747_15	 
Prevotella stercorea DSM 18206 (1002367.3)	 	1823	 	499	500	1304_8	1402	1402	840_12	796_15	 
Prevotella timonensis CRIS 5C-B1 (679189.3)	 	 	 	 	 	2333_8	 	 	266_12	1121_15	 
Prevotella veroralis DSM 19559 (1122993.3)	 	2338	 	2278	2277	2227_8	2157	2157	1284_12	873_15	 
Prevotella veroralis F0319 (649761.3)	 	1320	 	1358	1357	1443_8	1619	1619	449_12	1132_15	 
Alistipes finegoldii DSM 17242 (679935.3)	 	2598	 	2402	2403	2302_9	874	874	2772_12	427_15, 96_16	 
Alistipes indistinctus YIT 12060 (742725.3)	 	1712	 	687	688	704_9	2301	2301	1534_12	2392_15	 
Alistipes onderdonkii DSM 19147 (1120974.3)	 	923	 	2571	2572	2509_9	2891	2891	289_12	3033_15, 852_16	 
Alistipes putredinis DSM 17216 (445970.5)	 	172	 	2247	2246	2289_9	791	791	1285_12	1057_15	 
Alistipes shahii WAL 8301 (717959.3)	 	2830	 	1458	1457	1512_9	785	785	529_12	1009_15	 
Rudanella lutea DSM 19387 (1089547.3)	 	2144	 	4030	3784	2006_9, 767_9	757	757	4390_12	705_15	 
Capnocytophaga ochracea DSM 7271 (521097.5)	 	1508	 	100	1483	762_9	1476	1476	1405_12	1349_15	 
Capnocytophaga ochracea F0287 (873517.3)	 	1226	 	648	718	1387_9	711	711	2108_12	2058_15	 
Capnocytophaga sputigena ATCC 33612 (553177.6)	 	1856	 	1018	96	685_9	89	89	1554_12	41_15	 
Capnocytophaga granulosa ATCC 51502 (641143.3)	 	459	 	2093	2125	522_9	1540	1540	617_12	1937_15	 
Capnocytophaga ochracea str. Holt 25 (1125719.3)	 	1882	 	1167	2118	591_9	2111	2111	942_12	889_15	 
Dyadobacter fermentans DSM 18053 (471854.5)	2682_1	3886	775	4680	4682	4262_9, 5343_9	5352	5352	5068_12	240_15	 
Spirosoma linguale DSM 74 (504472.7)	 	4395	2607	3462	4453	1297_9, 6359_9	1305	1305	6291_12	1461_15	 
Akkermansia muciniphila ATCC BAA-835 (349741.6)	 	293	2116	847	458	1106_9	537	528	1243_12	1937_16, 1972_15	 
Escherichia coli TY-2482.contig.20110606 (6666666.5522)	1856_1, 260	4018	888	4022	4019	2682_7	2730	2730	4050_12	2725_15	 
Bacillus cereus BDRD-ST26 (526975.3)	2069_1, 4469_1, 4517	2386	2752, 4580	2388	2387	1415_9, 3578_8	3552, 4636	4636	5598_12	4919_15, 804_16	 
Bacillus cereus BGSC 6E1 (526970.3)	2421_1, 4844_1, 4954	2720	3087, 5240	2722	2721	2280_9, 4130_8	4107, 5188	5188	108_12	1271_16, 5249_15	 
Bacillus cereus F65185 (526989.3)	5891_1	3765	4106, 6172	3767	3766	2729_9, 5119_8	5165, 6060	6060	721_12	1425_16, 6163_15	 
Bacillus cereus Rock1-15 (526982.3)	4672_1, 4767	2705	2982, 5093	2707	2706	1793_9, 4035_8	4059, 5042	5042	5777_12	5102_15, 992_16	 
Bacillus cereus 03BB102 (572264.4)	3543_1, 3637	1480	1828, 3917	1482	1481	2870_8, 63_9	2893, 3864	3864	4589_12	3926_15, 394_16	 
Bacillus cereus 172560W (526967.3)	3779_1, 3834	1829	2062, 4041	1831	1830	1268_9, 3266_8	3247, 4092	4092	5015_12	4032_15, 593_16	 
Bacillus cereus 95/8201 (526979.3)	1350_1, 3899_1, 4016	1675	2036, 4067	1677	1676	1769_9, 3221_8	3248, 4120	4120	4847_12	4_16, 4058_15	 
Bacillus cereus AH1134 (405533.4)	1246, 1341_1	3474	3201, 3607	3472	3473	4454_8, 5311_9	3556, 3557, 4431	3556, 3557	2218_12	115_16, 3616_15	 
Bacillus cereus AH1271 (526992.3)	1050_1, 1101, 4623	5013	1317, 5316	5015	5014	4023_9, 406_8	1373, 429	1373	2236_12	1308_15, 2938_16	 
Bacillus cereus AH1272 (526993.3)	1336_1, 1481	5346	1724, 5644	5344	5345	4772_9, 746_8	1673, 782, 871	1673, 871	2464_12	1715_15, 3660_16	 
Bacillus cereus AH187 (405534.9)	1577_1, 3749_1, 3858	1884	2164, 4158	1886	1885	3134_8, 384_9	3162, 4105	4105	4892_12	4229_15, 741_16	 
Bacillus cereus AH603 (526990.3)	5390_1	3461	3755, 5849	3463	3462	2599_9, 4836_8	4896, 5713	5713	768_12	1746_16, 5894_15	 
Bacillus cereus AH621 (526972.3)	4312, 4387_1	2406	2611, 4691	2408	2407	1491_9, 3634_8	3661, 4484	4484	5348_12	4700_15, 846_16	 
Bacillus cereus AH676 (526991.3)	1095_1, 1125	4851	1376, 5165	4853	4852	286_8, 3962_9	1425, 352	1425	2272_12	1367_15, 4030_16	 
Bacillus cereus AH820 (405535.8)	1255_1, 3541_1, 3639	1573	1863, 3925	1575	1574	2869_8, 73_9	2895, 3872	3872	4692_12	3934_15, 410_16	 
Bacillus cereus AND1407 (1053166.3)	3654, 3757_1, 387_1	691	3385, 3386, 969	693	692	1869_8, 3989_9	1892, 3439	3439	2570_12	3376_15, 4740_16	 
Bacillus cereus ATCC 10876 (526980.3)	4514_1, 4592	2383	2761, 4917	2381	2382	1925_9, 3901_8	3878, 4741	4741	5713_12	4989_15, 873_16	 
Bacillus cereus ATCC 10987 (222523.6)	1288_1, 3404_1, 3510	1584	1875, 3792	1586	1585	2811_8, 61_9	2837, 3739	3739	4517_12	3801_15, 479_16	 
Bacillus cereus ATCC 4342 (526977.3)	3325, 3424_1, 868	1119	1415, 3668	1121	1120	2590_8, 955_9	2564, 3438	3438	4355_12	3659_15, 5466_16	 
Bacillus cereus B4264 (405532.5)	3520_1, 3610	1476	1751, 3875	1478	1477	2785_8, 61_9	2805, 3825	3825	4545_12	3884_15, 391_16	 
Bacillus cereus B5-2 (1085389.3)	1672_1, 3991_1	1975	2254, 4419	1977	1976	3298_8, 55_9	3317, 4364	4364	5099_12	379_16, 4428_15	 
Bacillus cereus BAG1O-1 (1053167.3)	1155_1, 4241_1	1476	1749, 4654	1478	1477	2838_8, 57_9	2861, 4599	4599	5323_12	378_16, 4663_15	 
Bacillus cereus BAG1O-2 (1053168.3)	2069_1	3988	1606, 3723	3986	3987	12_9, 2696_8	1667, 2673	1667	946_12	1597_15, 5034_16	 
Bacillus cereus BAG1O-3 (1053169.3)	1374_1, 3722_1	3431	3151, 985	3429	3430	1987_8, 4607_9	1038, 1963, 5087	1038, 5087	314_12	4704_16, 976_15	 
Bacillus cereus BAG1X1-1 (1053170.3)	2045_1, 4381_1	4082	1645, 3799	4080	4081	12_9, 2688_8	1712, 2664	1712	978_12	1636_15, 5914_16	 
Bacillus cereus BAG1X1-2 (1053171.3)	2852_1, 495_1	787	1065, 3213	789	788	2219_8, 4844_9	2243, 3163	3163	3872_12	3222_15, 4941_16	 
Bacillus cereus BAG1X1-3 (1053172.3)	2113_1, 4333_1	4006	1647, 3730	4004	4005	12_9, 2759_8	1701, 2737	1701	980_12	1638_15, 5107_16	 
