Organism	MqnA	MqnE	MqnBX	MqnC	MqnDZ	MqnLP	MenF	MenD	MenHY	MenC	MenE	MenB	MenIJ	MenA	MenG	tDHNA	tDHNACOA	tSBZCOA	tSUCBZ	t2SHCHC	tICHOR
Bacillus cereus HuA3-9 (1053205.3)							2581	2582	2583	2586	2585	2584	4594	2580	229, 802						
Bacillus cereus HuA4-10 (1053206.3)							650	651	652	656	655	653	609	649	3464, 4049						
Bacillus cereus HuB1-1 (1053207.3)							853	854	855	858	857	856	816	852	3644, 4163						
Bacillus cereus HuB13-1 (1053208.3)							2736, 5933	5932	5931	5924	5929	5930	2424	5934	1845, 2503						
Bacillus cereus HuB2-9 (1053209.3)							658	659	660	663	662	661	619	657	3440, 3987						
Bacillus cereus HuB4-10 (1053210.3)							4089	4088	4087	4084	4085	4086	4128	4090	768, 1316						
Bacillus cereus HuB4-4 (1053211.3)							5377	5376	5375	5372	5373	5374	5416	5378	1579, 2480						
Bacillus cereus HuB5-5 (1053212.3)							4677	4676	4675	4672	4673	4674	4714	4678	1354, 1887						
Bacillus cereus IS075 (718220.3)							3494	3493	3492	3488	3489	3491	3532	3495	2017, 4177						
Bacillus cereus IS195 (1053213.3)							931	930	929	925	926	928	969	932	4115, 4630						
Bacillus cereus IS845/00 (1053214.3)							933	932	931	927	928	930	971	934	4852, 5367						
Bacillus cereus ISP2954 (1053215.3)							2565, 5766	5765	5764	5757	5762	5763	5806	5767	1783, 2346						
Bacillus cereus ISP3191 (1053216.3)							14	15	16, 4863	19	18	17	5341	13	3337						
Bacillus cereus K-5975c (1053217.3)							680	681	682	685	684	683	642	679	3566, 4098						
Bacillus cereus LCT-BC244 (1163722.3)							17	18	19	22	21	20	4665	16	3217						
Bacillus cereus m1293 (526973.3)							729	728	727	724, 3940	725	726	843	730	2804, 3349						
Bacillus cereus m1550 (526969.3)							4648	4647	4646	4643	4644	4645	4684	4649	1211						
Bacillus cereus MC118 (1053218.3)							2835	2834	2833	2830	2831	2832	3624	2836	3001, 3786						
Bacillus cereus MC67 (1053219.3)							2812	2813	2814	2817	2816	2815	2775	2811	313, 843						
Bacillus cereus MM3 (526971.3)							5539	5540	5541	5544	5543	5542	5648	5538	2057						
Bacillus cereus MSX-A1 (1053220.3)							18	19	20	24	23	21	5660	17	2916, 3526						
Bacillus cereus MSX-A12 (1053221.3)							4370	4369	4368	4364	4365	4367	5090	4371	2209, 2725						
Bacillus cereus MSX-D12 (1053222.3)							681	682	683	686	685	684	643	680	3422, 3945						
Bacillus cereus NC7401 (334406.4)							4717	4716	4715	4711	4712	4714	4755	4718	1455, 1967						
Bacillus cereus Q1 (361100.6)							4736	4735	4734	4731	4732	4733	4774	4737	1521, 2041						
Bacillus cereus R309803 (526968.3)							5098	5097	5096	5093	5094	5095	5137	5099	1598						
Bacillus cereus Rock1-15 (526982.3)							150	149	148	145	146	147	272	151	2679, 3208						
Bacillus cereus Rock1-3 (526981.3)							5220	5219	5218	5215	5216	5217	5362	5221	1722, 2424						
Bacillus cereus Rock3-29 (526984.3)							5204	5205	5206	5209	5208	5207	5320	5203	1853, 2400						
Bacillus cereus Rock3-42 (526985.3)							1375	1374	1373, 1966	1370	1371	1372	1301, 1431	1376	3337, 3937						
Bacillus cereus Rock4-18 (526988.3)							5270	5269	5268	5265	5266	5267	5308	5271	2028						
Bacillus cereus SJ1 (699184.4)							5411	5412	5413	5416	5415	5414	1354	5410	207						
Bacillus cereus str. Schrouff (718221.3)							18	19	20	23	22	21	4266	17	2905, 3439						
Bacillus cereus subsp. cytotoxis NVH 391-98 (315749.4)							1800, 3563	3562	3561, 3990	3558	3559	3560	3596	3564	1267, 1631						
Bacillus cereus TIAC219 (718222.3)							4726	4725	4724	4719	4720	4723	5554	4727	1732, 2317						
Bacillus cereus VD014 (1053223.3)							4646	4645	4644	4641	4642	4643	4683	4647	1329, 1864						
Bacillus cereus VD021 (1053224.3)							4902	4903	4113, 4904	4907	4906	4905	3663	1344, 4901	1868, 3502						
Bacillus cereus VD022 (718223.3)							19	20	21	25	24	22	5558	18	3614, 4201						
Bacillus cereus VD045 (1053225.3)							25	26	27	30	29	28	4252	24	2890, 3469						
Bacillus cereus VD048 (1053226.3)							19	20	21	24	23	22	4839	18	2821, 3385						
Bacillus cereus VD078 (1053227.3)							656, 3183	657	658	662	661	659	616	655	3395, 3934						
Bacillus cereus VD102 (1053228.3)							35	36	37	40	39	38	5431	34	2745, 3344						
Bacillus cereus VD107 (1053229.3)							3825	3824	3823	3820	3821	3822	3863	3826	758, 1225						
Bacillus cereus VD115 (1053230.3)							20	21	22	25	24	23	4756	19	3027, 3608						
Bacillus cereus VD118 (1053231.3)							5232	5231	5230	5227	5228	5229	5271	5233	1724, 2269						
Bacillus cereus VD131 (1053232.3)							5157	5156	5155	5152	5153	5154	5644	5158	1711, 2260						
Bacillus cereus VD133 (1053233.3)							3106	3105	3104	3101	3102	3103	3142	3107	996, 1599						
Bacillus cereus VD136 (1053234.3)							5354	5353	5352	5349	5350	5351	23	5355	2234, 3309						
Bacillus cereus VD140 (1053235.3)							5184	5183	5182	5176	5180	5181	5220	5185	1509, 2038						
Bacillus cereus VD142 (718224.3)							4071	4070	4069	4065	4066	4068	4110	4072	1242, 1791						
Bacillus cereus VD146 (1053236.3)							2939, 5459	5458	5457	5453	5454	5456	5500	5460	2180, 2730						
Bacillus cereus VD148 (1053237.3)							672	673	674	677	676	675	633	671	3540, 4085						
Bacillus cereus VD154 (1053238.3)							4504	4503	4502	4499	4500	4501	4543	4505	43, 2414						
Bacillus cereus VD156 (1053239.3)							682	683	684	687	686	685	645	681, 2585	3624, 4215						
Bacillus cereus VD166 (1053240.3)							16	17	18	21	20	19	4118	15	2826, 3344						
Bacillus cereus VD169 (1053241.3)							4612	4611	4610	4607	4608	4609	4648	4613	1345, 1868						
Bacillus cereus VD184 (1053242.3)							5438	5437	5436	5433	5434	5435	5630	5439	1828, 2396						
Bacillus cereus VD196 (1053243.3)							5215	5216	5217	5220	5219	5218	3981	5214	496, 1087						
Bacillus cereus VD200 (1053244.3)							4880	4879	4878	4875	4876	4877	4917	4881	1406, 1948						
Bacillus cereus VD214 (1053245.3)							5134	5133	5132	5129	5130	5131	5172	5135	1747, 2294						
Bacillus cereus VDM006 (1085379.3)							5425	5424	5423	5420	5421	5422	5465	5426	1928						
Bacillus cereus VDM019 (1053246.3)							2104, 4768	4767	4766	4762	4763	4765	5483	4769	1386, 1904						
Bacillus cereus VDM021 (1085386.3)							5524	5523	5522	5519	5520	5521	23	5525	1837, 2948						
Bacillus cereus VDM022 (1053247.3)							702, 3288	703	704	708	707	705	663	701	3495, 4014						
Bacillus cereus VDM034 (1053248.3)							4217	4216	4215	4211	4212	4214	4259	4218	1023, 1553						
Bacillus cereus VDM053 (1053249.3)							5199	5198	5197	5194	5195	5196	5655	5200	1737						
Bacillus cereus VDM062 (1053250.3)							922	923	924	928	927	925	881	921	3713, 4281						
Bacillus clausii KSM-K16 (66692.6)	2010	3131	1053	2877	1054	2009, 4281									2008, 4007						
Bacillus endophyticus 2102 (1196029.3)							579	580	581	584, 1983, 4907	583	582		578	1197						
Bacillus fordii DSM 16014 (1121090.3)								2091	2090	2765, 2794, 2844	2087	2089		2093	2113						
Bacillus halodurans C-125 (272558.8)	1724	3545	2797	3269	2796	1722, 4091									1721, 2015						
Bacillus megaterium DSM319 (592022.4)							4877	4876	4875	990, 4872	4873	4874	4919	2170	1871, 4313						
Bacillus megaterium NCT-2 (1138452.3)							4433	4432	4431	4428, 5267	4429	4430	4476		2932, 3868, 5052						
Bacillus megaterium WSH-002 (1006007.3)							378	379	380		382	381	335	3061	948						
Bacillus mycoides DSM 2048 (526997.3)							2590, 5158	5159	5160	5050	5049	5161	5184	3238, 5157	1817, 2413						
Bacillus mycoides Rock1-4 (526998.3)							2867	2868		2863	2862	2861	2945	2874	5962						
Bacillus mycoides Rock3-17 (526999.3)							5596	5597	5598	5601	5600	5599	5718	5595	2571						
Bacillus nealsonii AAU1 (1202533.3)							2331	2330	2329	2342	2327	2328			4850						
Bacillus pseudofirmus OF4 (398511.4)	3016	937	1859	644	1860	3014, 3579									3013						
Bacillus pumilus ATCC 7061 (536229.4)							2529, 3709	3710	3711	3714	3713	3712		3708	2763						
Bacillus pumilus S-1 (1076692.3)							2236	2237	2238	2241	2240	2239		2235	3231						
Bacillus sonorensis L12 (1274524.3)							6	7	8	11	10	9		5	405						
Bacillus subtilis subsp. natto BEST195 (645657.3)							4002	4001	4000	3997	3998	3999		738	3192						
Bacillus subtilis subsp. spizizenii ATCC 6633 (703612.3)							607, 1290	608	609	612	611	610		2051	3550						
Bacillus subtilis subsp. spizizenii DV1-B-1 (1051503.3)							3069	3068	3067	3064	3065	3066		3912							
Bacillus subtilis subsp. spizizenii str. W23 (655816.3)							3052, 3173	3051	3050	3047	3048	3049		3891	2273						
Bacillus subtilis subsp. subtilis str. 168 (224308.113)							3172	3171	3170	3167	3168	3169	3259	3959	2350						
Bacillus subtilis subsp. subtilis str. JH642 (535025.4)							4349	4348	4347	4344	4345	4346	235	961	3488						
Bacillus subtilis subsp. subtilis str. NCIB 3610 (535026.3)							3288	3287	3286	3283	3284	3285	3379	4105	2427						
Bacillus subtilis subsp. subtilis str. SMY (535024.3)							2261	2260	2259	2256	2257	2258	2353	3077	1400						
Bacillus thuringiensis BMB171 (714359.3)							4810	4809	4808	4804	4805	4807	4847	4811	1447, 2007						
Bacillus thuringiensis HD-771 (1218175.3)							4927	4928	4929	4933	4932	4930	4885	4926	1871, 2637						
Bacillus thuringiensis HD-789 (1217737.3)							4607	4606	4605	4602	4603	4604	4646	4608	1065, 1609						
Bacillus thuringiensis IBL 200 (527019.3)							6074	6075	6076	6080	6079	6077		6073	2560, 3210						
Bacillus thuringiensis IBL 4222 (527020.3)							2090	2091	2092	2095	2094	2093	2208	2089	5516, 6097						
Bacillus thuringiensis MC28 (1195464.3)							4214	4213	4212	4209	4210	4211	4253	4215	764						
Bacillus thuringiensis serovar andalousiensis BGSC 4AW1 (527032.3)							415	416	417	420	419	418	482	414							
Bacillus thuringiensis serovar berliner ATCC 10792 (527031.3)							205	204	203	200	201	202	241	206	3158						
Bacillus thuringiensis serovar chinensis CT-43 (541229.3)							5032	5031	5030	5027	5028	5029	5070	5033	1486						
Bacillus thuringiensis serovar finitimus YBT-020 (930170.3)							4776	4775	4774	4771	4772	4773	4812	4777	1617						
Bacillus thuringiensis serovar huazhongensis BGSC 4BD1 (527030.3)							102	103	104	107	106	105	175	101, 4444	2905, 3434						
Bacillus thuringiensis serovar konkukian str. 97-27 (281309.8)							4887	4886	4885, 5402	4882	4883	4884	4924	3139, 4888	1467, 2036						
Bacillus thuringiensis serovar kurstaki str. HD73 (1279365.3)							2589, 5175	5174	5173	5166	5171	5172	5215	5176	1738, 2352						
Bacillus thuringiensis serovar kurstaki str. T03a001 (527023.3)							1232, 4421	1233	1234	1241	1236	1235	1299	1231	2619, 3710						
Bacillus thuringiensis serovar monterrey BGSC 4AJ1 (527022.3)							1036	1037	1038, 1595	1041	1040	1039	1202	1035	3999, 4607						
Bacillus thuringiensis serovar pakistani str. T13001 (527027.3)							2139	2140	2141	2144	2143	2142	2269	2138	4769, 5457						
Bacillus thuringiensis serovar pondicheriensis BGSC 4BA1 (527029.3)							5735	5734	5733, 6256	5730	5731	5732	5770	5736	2200, 2767						
Bacillus thuringiensis serovar pulsiensis BGSC 4CC1 (527028.3)							6158	6159	480, 6160	6163	6162	6161	19, 6134	6157	2614						
Bacillus thuringiensis serovar thuringiensis str. IS5056 (1286404.3)							4996	4995	4994	4991	4992	4993	5034	4997	1478						
Bacillus thuringiensis serovar thuringiensis str. T01001 (527025.3)							97	98	99	102	101	100	218	96	3163						
Bacillus thuringiensis str. Al Hakam (412694.7)							4911	4910	4909, 5437	4906	4907	4908	4819, 4948	3171, 4912	1568, 2114						
Bacillus vallismortis DV1-F-3 (1051502.3)							2030	2031	2032, 2033	2036	2035	2034			3136						
Bacteroides caccae ATCC 43185 (411901.7)							2001	427, 2002	1437, 2000	2004	2005	2003		3568	1696						
Bacteroides caccae CL03T12C61 (997873.3)							1010	1011	1009, 3933	1013	1014	1012		4409	278						
Bacteroides capillosus ATCC 29799 (411467.6)																					
Bacteroides cellulosilyticus CL02T12C19 (997874.3)								77	858					2691	331	][					
Bacteroides cellulosilyticus DSM 14838 (537012.5)									3399					2837, 4917	2883	][					
Bacteroides clarus YIT 12056 (762984.3)									35, 1268					2968	2388	][					
Bacteroides coprocola DSM 17136 (470145.6)							1623	1622		1620	1619	1621	1624	2627	29						
Bacteroides coprophilus DSM 18228 (547042.5)							2616	2615		2613	2612	2614	2617	1543	1242						
Bacteroides dorei CL02T00C15 (997875.3)							537	538	3838	541	542	539	536	5259	439						
Bacteroides dorei CL02T12C06 (997876.3)							860	861	3431	864	865	862	859	5329	763						
Bacteroides dorei CL03T12C01 (997877.3)							1204	1205, 1234, 1434	193	1208	1209	1206	1203	4484	1090						
Bacteroides dorei DSM 17855 (483217.6)							3662	2185, 3661	2462	3658	3657	3660	3663	231	3767						
Bacteroides eggerthii 1_2_48FAA (665953.3)							3400	3401	443	3403		3402		1781	1644						
Bacteroides eggerthii DSM 20697 (483216.6)							2331	2330	1837	2328		2329		319	1610						
Bacteroides faecis MAJ27 (1077285.3)							2335	2336, 2836, 4518		2338	2339	2337		4536	1689						
Bacteroides finegoldii DSM 17565 (483215.6)							3689	3688	3690	3686	3685	3687		1445	3828						
Bacteroides fluxus YIT 12057 (763034.3)							2795	2283, 2796	1012, 2849	2798	2799	2797		1156	3501						
Bacteroides fragilis 3_1_12 (457424.5)							2152	2153	2151	2156	2157	2155		3914	1816						
Bacteroides fragilis 638R (862962.3)							1333	1334_2	1332_4_8	1337, 3824	1338, 2542	1336	1332_4_8	3656	920	 	 	 	 	 	
Bacteroides fragilis ATCC 25285 (272559.3)							1220	1221	35, 1219	1224, 4090	1225	1223		3840	762						
Bacteroides fragilis CL03T00C08 (997878.3)							1431	1432	1430	1435	1436	1434		3741	954						
Bacteroides fragilis CL03T12C07 (997879.3)							4146	4145	4147	4142	4141	4143		2575	1477						
Bacteroides fragilis CL05T00C42 (997880.3)							829	828	830	825	824	826		3581	4257						
Bacteroides fragilis CL05T12C13 (997881.3)							1323	1324	1322	1327	1328	1326		3084	883						
Bacteroides fragilis CL07T00C01 (997882.3)							1643	1133, 1642	1644	1639, 3901	1638	1640		3670	2054						
Bacteroides fragilis CL07T12C05 (997883.3)							1397	1398, 1909	1396	1401, 3501	1402	1400		3268	987						
Bacteroides fragilis HMW 610 (1073386.3)							2845	2844	2846	2841	2840	2842		1945	3186						
Bacteroides fragilis HMW 615 (1073387.4)							3303	3304	1003, 3302	3307	3308	3306		4037	328						
Bacteroides fragilis HMW 616 (1073388.3)							559	560	4193	563	564	562		3083	209						
Bacteroides fragilis NCTC 9343 (272559.17)							1276	1277	158, 1275	1280, 3687	1281	1279		3572	829						
Bacteroides fragilis YCH46 (295405.11)							1297	1298	229, 1296	1301	1302	1300		3561	920						
Bacteroides intestinalis DSM 17393 (471870.8)									3747					4691	4137	][					
Bacteroides massiliensis B84634 = Timone 84634 = DSM 17679 = JCM 13223 (1121098.4)							821	820	1616	817	816	819		2382	392						
Bacteroides massiliensis dnLKV3 (1235788.3)							2451	2452, 3426	3254	2454	2455	2453		4520	1437						
Bacteroides nordii CL02T12C05 (997884.3)							1744	1745, 3386		1747	1748	1746		3847	1241						
Bacteroides oleiciplenus YIT 12058 (742727.4)								3985						3296, 4242	4198	][					
Bacteroides ovatus 3_8_47FAA (665954.3)							3434	3435	3433, 4991	3437	3438	3436		4413	2315						
Bacteroides ovatus ATCC 8483 (411476.11)							4727	4728	2167, 4726	4730	4731	4729		1053	4304						
Bacteroides ovatus CL02T12C04 (997885.3)							1878	1877	1879, 4739	1875	1874	1876		3797	2845						
Bacteroides ovatus CL03T12C18 (997886.3)							2411	2412	854, 2410	2414	2415	2413		3512	1813						
Bacteroides ovatus SD CC 2a (702444.3)							2796	2795	2797	2793	2792	2794		4491	3295						
Bacteroides pectinophilus ATCC 43243 (483218.5)																					
Bacteroides plebeius DSM 17135 (484018.6)							1925	1924		1922	1921	1923	1926	3417	2373						
Bacteroides salyersiae CL02T12C01 (997887.3)							2374	2375, 2813	1545, 2373	2377	2378	2376		4544	520						
Bacteroides salyersiae WAL 10018 = DSM 18765 = JCM 12988 (1121101.3)							418	417	419, 1743	415	414	416		3844	915						
Bacteroides sp. 1_1_14 (469585.3)							1381	1382, 4436	1380	1384	1385	1383		1987	56						
Bacteroides sp. 1_1_30 (457387.3)							2796	2797	1762, 2795	2799	2800	2798		1326	4860						
Bacteroides sp. 1_1_6 (469586.3)							3871	3872	3870	3874	3875	3873		3246	2190						
Bacteroides sp. 2_1_22 (469588.3)							2443	2444	2442	2446	2447	2445		1735	3512						
Bacteroides sp. 2_1_33B (469589.3)							408	407	409, 410	405	404	406		1146	2537						
Bacteroides sp. 2_1_7 (457388.5)							1210	1209	1211	1207	1206	1208		2787	2061						
Bacteroides sp. 2_2_4 (469590.5)							1136	1135	1137	1133	1132	1134		3335	1896						
