Organism	AspA	Asd	HSDH	HSST	HSAT	CTGS	AHSH	CTBL	CTGL	CTBS	MetH	MetE	BhmT	MmuM	MetABC	MetT
Mycobacterium abscessus 3A-0731 (1001718.3)	275_1	276	1343	 	3935	 	3934, 4582	 	1025, 3524	1023	2069	4975_18	 	 	2986_24, 2987_23, 2988_25, 4203_23	 
Mycobacterium abscessus 3A-0810-R (1001717.3)	277_1	278	1436	 	3861	 	3860, 4507	 	1201, 3449	1199	2164	4896_18	 	 	2890_24, 2891_23, 2892_25, 4128_23	 
Mycobacterium abscessus 3A-0930-R (1001720.3)	277_1	278	1444	 	3830	 	3829, 4454	 	1210, 3417	1208	2168	4842_18	 	 	2897_24, 2898_23, 2899_25, 4073_23	 
Mycobacterium abscessus 3A-0930-S (1001719.3)	278_1	279	1015	 	3760	 	3759, 4380	 	3350, 782	780	1739	4769_18	 	 	2828_24, 2829_23, 2830_25, 4001_23	 
Mycobacterium abscessus 47J26 (1087483.3)	3511_1	3512	2095	 	200	 	201, 3223	 	1870, 606	1868	2687	3956_18	 	 	1130_25, 1131_23, 1132_24, 21_23	 
Mycobacterium abscessus 4S-0116-R (1001725.3)	478_1	479	1495	 	3464	 	3463, 4067	 	1265, 3005	1263	2035	4446_18	 	 	2506_24, 2507_23, 2508_25, 3648_23	 
Mycobacterium abscessus 4S-0116-S (1001724.3)	4155_1	4156	393	 	2556	 	2555, 3158	 	163, 2097	161	933	3537_18	 	 	1600_24, 1601_23, 1602_25, 2740_23	 
Mycobacterium abscessus 4S-0206 (1001723.3)	1886_1	1887	652	 	3465	 	3464, 4067	 	3008, 421	419	1190	4447_18	 	 	2510_24, 2511_23, 2512_25, 3649_23	 
Mycobacterium abscessus 4S-0303 (1001722.3)	479_1	480	1697	 	3457	 	3456, 4058	 	1467, 2999	1465	872	4439_18	 	 	2500_24, 2501_23, 2502_25, 3641_23	 
Mycobacterium abscessus 4S-0726-RA (1001726.3)	211_1	212	1246	 	3391	 	3390, 3993	 	1017, 2933	1015	605	4372_18	 	 	2434_24, 2435_23, 2436_25, 3575_23	 
Mycobacterium abscessus 4S-0726-RB (1001727.3)	4603_1	4604	831	 	3003	 	3002, 3604	 	2546, 601	599	1373	3984_18	 	 	2045_24, 2046_23, 2047_25, 3188_23	 
Mycobacterium abscessus 5S-0304 (1001728.3)	4543_1	4544	397	 	2947	 	2946, 3584	 	166, 2470	164	942	3932_18	 	 	1677_24, 1678_23, 1679_25, 3131_23	 
Mycobacterium abscessus 5S-0421 (1001729.3)	4779_1	4780	651	 	3199	 	3198, 3837	 	2721, 421	419	1225	4185_18	 	 	1930_24, 1931_23, 1932_25, 3383_23	 
Mycobacterium abscessus 5S-0422 (1001731.3)	3454_1	3453	1348	 	4069	 	4068, 4704	 	1119, 3594	1117	1918	5054_18	 	 	2569_24, 2570_23, 2571_25, 4253_23	 
Mycobacterium abscessus 5S-0708 (1001730.3)	49_1	50	863	 	2923	 	2922, 3561	 	2336, 2445	2338	1439	3910_18	 	 	3107_23, 4613_24, 4614_23, 4615_25	 
Mycobacterium abscessus 5S-0817 (1001735.3)	4149_1	4150	431	 	2550	 	2549, 3185	 	201, 2075	199	1006	3532_18	 	 	2734_23, 5084_25, 5085_23, 5086_24	 
Mycobacterium abscessus 5S-0921 (1001732.3)	222_1	223	1089	 	3848	 	3847, 4486	 	3376, 860	858	1664	4837_18	 	 	2372_24, 2373_23, 2374_25, 4032_23	 
Mycobacterium abscessus 5S-1212 (1001733.3)	5179_1	5178	806	 	2679	 	2678, 3314	 	2204, 576	574	1380	3664_18	 	 	2863_23, 4493_25, 4494_23, 4495_24	 
Mycobacterium abscessus 5S-1215 (1001734.3)	49_1	50	1609	 	3024	 	3023, 3582	 	1839, 2553	1841	720	3932_18	 	 	3208_23, 4640_24, 4641_23, 4642_25	 
Mycobacterium abscessus 6G-0125-R (1001740.3)	4409_1	4410	490	 	2772	 	2771, 3337	 	2361, 254	252	1185	3724_18	 	 	1865_24, 1866_23, 1867_25, 2958_23	 
Mycobacterium abscessus 6G-0212 (1001739.3)	297_1	298	1483	 	3761	 	3760, 4324	 	1248, 3351	1246	2179	4713_18	 	 	2854_24, 2855_23, 2856_25, 3947_23	 
Mycobacterium abscessus 9808 (1246644.3)	1100_1	1101	2269	 	3960	 	132, 3959	 	2035, 4877	2033	2884	470_18	 	 	3575_24, 3576_23, 3577_25, 4162_23	 
Mycobacterium abscessus M115 (1162287.3)	4569_1	4568	3469	 	990	 	418, 991	 	2709, 4159	4161	3657	30_18	 	 	2046_25, 2047_23, 2048_24, 806_23	 
Mycobacterium abscessus M139 (1175632.3)	4124_1	4123	2302	 	467	 	4238, 466	 	4536, 76	4538	1685	3457_18	 	 	651_23, 917_25, 918_23, 919_24	 
Mycobacterium abscessus M152 (1176125.3)	287_1	286	2831	 	1655	 	1654, 2282	 	1335, 3063	3065	509	3969_18	 	 	1841_23, 3436_25, 3437_23, 3438_24	 
Mycobacterium abscessus M154 (1162288.3)	3459_1	3460	1879	 	1297	 	1298, 732	 	2114, 4289	4291	3318	3943_18	 	 	1101_23, 250_24, 251_23, 252_25	 
Mycobacterium abscessus M156 (1185414.3)	256_1	255	1673	 	2467	 	2468, 744	 	3191, 571	573	2785	2607_18	 	 	1114_23, 1860_25, 1861_23, 1862_24	 
Mycobacterium abscessus M159 (1162285.3)	2569_1	2570	328	 	2448	 	1383, 2449	 	100, 4263	99	706	3791_18	 	 	1718_24, 1719_23, 1720_25, 501_23	 
Mycobacterium abscessus M172 (1162286.3)	4415_1	4416	3191	 	1625	 	1057, 1626	 	4072, 4928	4070	2443	4863_18	 	 	1430_23, 572_24, 573_23, 574_25	 
Mycobacterium abscessus M24 (1162284.3)	4422_1	4420	4203	 	350	 	1934, 351	 	3642, 5383	3644	2882	1431_18	 	 	3371_24, 3372_23, 3373_25, 3474_23	 
Mycobacterium abscessus M93 (1149134.5)	3140_1	3139	3819	 	1170	 	1171, 4629	 	1635, 3587	3585	719	323_18	 	 	2205_24, 2206_23, 2207_25, 976_23	 
Mycobacterium abscessus M94 (1158135.4)	940_1	939	3858	 	5115	 	280, 5116	 	1729, 2633	2635	474	3650_18	 	 	2108_24, 2109_23, 2110_25, 3041_23	 
Mycobacterium abscessus subsp. bolletii 50594 (1303024.3)	362_1	363	1495	 	3789	 	3788, 4373	 	1265, 3308	1263	2124	4754_18	 	 	2819_24, 2820_23, 2821_25, 3972_23	 
Mycobacterium abscessus subsp. bolletii BD (1091046.3)	278_1	279	1418	 	3547	 	3546, 4169	 	1184, 3157	1182	1961	4679_18	 	 	2645_24, 2646_23, 2647_25, 3729_23	 
Mycobacterium fortuitum subsp. fortuitum DSM 46621 (1214102.3)	2259_1	2258	5011	 	2878	 	2331, 2879	 	1676, 5050	5046	382	5783_18	 	 	1093_23, 761_23	 
Rhodococcus erythropolis XP (1078016.3)	2746_1	2747	5892	 	4056	 	1372, 4057, 6256	 	4401, 479	480	5104, 6396	267_18, 944_18	 	 	116_23, 1287_25, 1288_23, 1289_24, 6505_23	 
Brevibacterium casei S18 (1229781.4)	3011_1	3012	415	 	705	931	584, 706	2313_11	2161	 	 	2226_18	756	1800	2772_23, 860_23, 861_24, 862_25	 
Brevibacterium massiliense 5401308 (1176165.3)	452_1	453	1442	 	1029	 	1030	40_12	 	 	 	1866_18	 	 	1918_25, 1919_24, 1920_23, 2024_25, 2070_23, 2071_24	 
Brachybacterium paraconglomeratum LC44 (1064537.3)	241_1	242	498	 	1503	 	1459, 2659, 356	 	2063	 	 	2258_18	 	 	1694_25, 1695_24, 1696_23, 2066_23, 2914_23	 
Curtobacterium flaccumfaciens UCD-AKU (1292022.3)	1682_1	1683	3175	 	1187	 	1186, 1218, 1288	1124_12	1668	1667	 	2982_18	 	 	1528_24, 1529_23, 1530_25, 2564_23, 372_23	 
Microbacterium paraoxydans 77MFTsu3.2 (1151126.3)	1578_1	1581	3213	 	3259	 	1285, 3255	2429_11	56	57	 	 	 	2004	1105_25, 1106_24, 1107_23, 94_24, 95_23, 96_25	 
Kocuria palustris PEL (1236550.3)	485_1	2292	1598	 	1434	619	1435, 2394, 642	 	2395	 	 	987_18	 	 	1184_25, 1185_23, 1186_24	 
Rothia aeria F0474 (1125724.3)	1606_1	744	1880	 	1040	689	1041, 1533	 	 	 	 	2088_18	 	 	79_24, 80_23, 81_25	 
Rothia mucilaginosa M508 (563033.4)	1605_1	394	1200	 	1471	1569	1470, 1675	 	 	 	 	1719_18	 	 	1646_23, 1653_23, 229_25, 230_23, 231_24	 
Propionibacterium acidipropionici ATCC 4875 (1171373.8)	626_1	2755	1952	1680	 	854	 	 	 	 	1733	 	 	2873	 	 
Propionibacterium acnes C1 (1234380.3)	2270_1	343	1354	 	1314	 	 	 	 	 	 	 	 	 	1877_25, 1878_23, 1879_24	 
Propionibacterium acnes FZ1/2/0 (1276649.3)	2208_1	339	1311	 	1272	 	 	 	 	 	 	 	 	 	1819_25, 1820_23, 1821_24	 
Propionibacterium acnes HL096PA1 (1134454.3)	2235_1	376	996	 	1035	 	 	 	 	 	 	 	 	 	1844_25, 1845_23, 1846_24	 
Propionibacterium acnes PRP-38 (1136877.3)	488_1	1053	2009	 	1970	 	 	 	 	 	 	 	 	 	100_23, 101_24, 99_25	 
Propionibacterium avidum 44067 (1170318.3)	29_1	1840	961	 	1006, 1007	1779	 	2349_11	 	 	1020	 	 	 	1532_23, 439_24, 440_23, 441_25	 
Propionibacterium avidum ATCC 25577 (997355.3)	800_1	1355	1664	 	1712, 1713	1416	 	844_11	 	 	1726	 	 	 	364_25, 365_23, 366_24	 
Propionibacterium propionicum F0230a (767029.3)	2784_1	417	1366	 	1544	699	 	2777_12	 	 	1562	 	 	 	2462_25, 2463_24, 2464_23, 541_23	 
Bifidobacterium angulatum DSM 20098 = JCM 7096 (518635.7)	6_1, 7_1	5	352	333	 	 	1583, 989	403_10, 930_12	454	453	 	738_18	 	 	397_25, 398_23, 399_24, 683_24, 684_23, 685_25	 
Bifidobacterium animalis subsp. animalis ATCC 25527 (703613.4)	220_1, 221_1	222	1398	1420	 	 	1067, 463, 464, 528	 	462, 590	591	 	899_18	 	 	1089_24, 1090_23, 1091_25, 1265_24, 1266_23, 1267_25	 
Bifidobacterium animalis subsp. lactis B420 (1168290.3)	214_1, 215_1	216	1399	 	1420	 	1052, 437, 438	940_12	436, 567	568	 	875_18	 	 	1074_24	 
Bifidobacterium animalis subsp. lactis BS 01 (911598.3)	261_1, 262_1	263	1457	 	1478	 	1107, 487, 488	994_12	486, 618	619	 	928_18	 	 	1129_24	 
Bifidobacterium animalis subsp. lactis Bi-07 (742729.3)	213_1, 214_1	215	1398	 	1419	 	1052, 437, 438	939_12	436, 567	568	 	874_18	 	 	1074_24	 
Bifidobacterium bifidum BGN4 (484020.3)	1732_1, 1733_1	1730	219	1615	 	 	1130, 1333, 1382	1145_12	1309, 1335	1310	 	858_18	 	 	1115_24, 1116_23, 1119_25, 1158_24, 788_23	 
Bifidobacterium bifidum LMG 13195 (1207542.3)	537_1, 538_1	540	107	1573	 	 	1585, 1839, 726	1600_10	1841, 1845	1844	 	982_18	 	 	1062_24, 1097_23, 1248_25, 1251_23, 1252_24	 
Bifidobacterium breve CECT 7263 (1036735.3)	1184_1, 1185_1	1186	1052	214	 	880	1266, 1863	 	1269	879	 	1803_18	 	 	1887_24, 1889_25	 
Bifidobacterium breve DPC 6330 (1074482.3)	897_1, 898_1	899	236	1053	 	1262	1385	1586_10	1382	1261	 	1815_18	 	 	1569_25, 1570_23, 1571_24	 
Bifidobacterium breve DSM 20213 = JCM 1192 (518634.7)	201_1, 202_1	203	1303	 	329	536	664, 850	 	661	535	 	993_18	 	 	823_25, 825_24	 
Bifidobacterium breve HPH0326 (1203540.3)	232_1, 233_1	234	1260	 	403	624	 	2075_10	751	623	 	1851_18	 	 	2059_25, 2060_23, 2061_24	 
Bifidobacterium catenulatum DSM 16992 = JCM 1194 (566552.6)	1735_1, 1736_1	1734	152	172	 	 	1176, 1679	321_10, 953_12	1542, 1572	1541	 	745_18	 	 	1568_25, 1569_23, 1570_24, 1576_23, 491_24, 492_23, 493_25, 865_23	 
Bifidobacterium longum subsp. infantis ATCC 15697 = JCM 1222 (391904.8)	169_1, 170_1	171	2392	 	310	2084	776	 	765	2085	 	1514_18	 	 	 	 
Bifidobacterium longum subsp. longum 1-6B (1161744.3)	816_1, 817_1	818	1764	2107	 	1990	576, 618	1758_10	1704	1989	 	1747_18	 	 	599_24, 600_23, 601_25, 617_23	 
Bifidobacterium longum subsp. longum 2-2B (1161745.3)	294_1, 295_1	293	217	1729	 	823	1649, 1814	211_10	1646	822	 	1220_18	 	 	1648_23, 264_24, 265_23, 266_25	 
Bifidobacterium longum subsp. longum 35B (1161904.3)	1636_1, 1637_1	1635	16	1867	 	1582	542, 975	1528_10	538	1583	 	174_18	 	 	541_23, 675_25, 676_23, 677_24	 
Bifidobacterium longum subsp. longum 44B (1161743.3)	964_1, 965_1	966	1773	1229	 	522	1502, 833	1767_11, 2080_12	1505	523	 	1122_18	 	 	1503_23, 808_25, 809_23, 810_24	 
Bifidobacterium longum subsp. longum CMCC P0001 (1266716.3)	1584_1, 1585_1	1586	1394	187	 	757	660, 997	1389_10, 1755_12	650	758	 	1244_18	 	 	1021_24, 1022_23, 1023_25	 
Bifidobacterium pseudocatenulatum DSM 20438 = JCM 1200 (547043.8)	486_1, 487_1	485	1693	1674	 	 	161, 1849	721_10, 997_12	72, 94	95	 	1152_18	 	 	1080_23, 1415_25, 1416_23, 1417_24, 66_23, 74_24, 75_23, 76_25	 
Bifidobacterium thermophilum RBL67 (1254439.12)	226_1, 227_1	228	1533	1556	 	 	1404, 514, 783	27_12	1229, 511	1230	 	1090_18	 	 	1207_23, 1307_24, 1308_23, 1309_25, 521_25, 522_24, 523_23, 746_23, 757_25, 758_23, 759_24	 
Atopobium minutum 10063974 (997872.3)	636_1	637	635	 	 	 	 	 	 	 	 	 	 	 	667_25, 668_24, 669_23	 
Collinsella tanakaei YIT 12063 (742742.3)	1316_1	1317	2153	907, 910	 	 	544, 800	1756_12	 	 	1231	825_20	 	 	123_23, 1395_23, 1396_24, 1398_25, 1925_23	 
Slackia piriformis YIT 12062 (742818.3)	470_1	471	2	532	 	 	531, 841	 	 	 	238	1840_20	 	 	38_23, 891_25, 892_24, 893_23	898
Bacteroides fragilis ATCC 25285 (272559.3)	2881_1, 584_1, 67_1	171	67_1	 	44	 	 	 	 	 	3036, 3068	 	 	 	 	2708
Bacteroides caccae ATCC 43185 (411901.7)	1531_1, 2358_1, 3462_1	3012	1531_1	 	2474	 	3482	 	 	 	2053, 2114	 	 	 	 	2068
Bacteroides caccae CL03T12C61 (997873.3)	115_1, 2505_1, 4489_1	3659	115_1	 	4126	 	124, 4468	 	 	 	1189, 1248	 	 	 	 	1204
Bacteroides capillosus ATCC 29799 (411467.6)	3154_1	1637	3155	2461	 	 	2770	1095_12, 1203_12	 	 	2759, 3203	 	 	 	2167_25, 2168_24, 2169_23, 2780_23, 703_23, 743_23	 
Bacteroides cellulosilyticus CL02T12C19 (997874.3)	1511_1, 2612_1, 6325_1	2378	6325_1	6312	 	 	2763, 3149	283_12	 	 	3200, 3314	 	 	 	4770_23	4738
Bacteroides cellulosilyticus DSM 14838 (537012.5)	1676_1, 185_1, 535_1	5056	185_1	127	 	 	4591, 4840	2839_12	 	 	4564, 4565, 5022	 	 	 	584_23	4063
Bacteroides clarus YIT 12056 (762984.3)	1355_1, 2081_1, 2620_1	1563	2620_1	2605	 	 	248, 3002	2418_10	 	 	264, 327	 	 	 	2566_23	1514
Bacteroides coprocola DSM 17136 (470145.6)	652_1, 677_1, 824_1	2737	677_1	2779	 	 	209, 2622	3461_10	 	 	1957, 936	 	 	 	546_23	1479
Bacteroides coprophilus DSM 18228 (547042.5)	2827_1, 997_1	1907	2827_1	2776	 	 	2157, 2624	2630_10	 	 	2559, 2658	 	 	 	2336_23	937
Bacteroides dorei CL02T00C15 (997875.3)	1016_1, 1858_1, 3853_1	1254	1016_1	1031	 	 	171, 3395	2204_13, 998_10	 	 	453, 757	 	 	 	2272_23	4325
Bacteroides dorei CL02T12C06 (997876.3)	2744_1, 3446_1, 5053_1	2148	5053_1	5068	 	 	2050, 495	3086_13, 5035_10	 	 	1081, 777	 	 	 	4453_23	3869
Bacteroides dorei CL03T12C01 (997877.3)	1556_1, 177_1, 2199_1	1624	1556_1	1571	 	 	3278, 850	1537_10, 2332_13	 	 	1104, 1371	 	 	 	3477_23	515
Bacteroides dorei DSM 17855 (483217.6)	2455_1, 3261_1, 917_1	349	3261_1	3246	 	 	4031, 4191	931_10	 	 	3386, 3753	 	 	 	6_23	2626
Bacteroides eggerthii 1_2_48FAA (665953.3)	1225_1, 2994_1, 3564_1	775	1225_1	 	1211	 	140	1616_12	 	 	178, 273	3107_20	 	 	 	3110
Bacteroides eggerthii DSM 20697 (483216.6)	1299_1, 2662_1, 639_1	3308	639_1	 	626	 	2540	 	 	 	2555, 2613	 	 	 	 	1405
Bacteroides faecis MAJ27 (1077285.3)	127_1, 3829_1, 92_1	1109	92_1	102	 	 	4395, 77	3867_10	 	 	2440, 2495, 2739	 	 	 	1308_23	3703
Bacteroides finegoldii DSM 17565 (483215.6)	1384_1, 242_1, 3424_1	2842	3424_1	3434	 	 	1398, 3416	1313_10	 	 	2161, 2487	 	 	 	3744_23	1659
Bacteroides fluxus YIT 12057 (763034.3)	1287_1, 882_1	3012	1287_1	1262	 	 	1190, 804	1837_10	 	 	705, 765	 	 	 	2008_23	915
Bacteroides fragilis 3_1_12 (457424.5)	2308_1, 2403_1, 3027_1	2529	2308_1	2321	 	 	1887, 2188, 4515	1220_10	 	 	3105, 3178	1651_20	 	 	4268_23	1692
Bacteroides fragilis 638R (862962.3)	2975_1, 588_1, 622_1	462	622_1	612	 	 	1422	2223_10	 	 	3058, 3132	 	 	 	4096_23	2813
Bacteroides fragilis CL03T00C08 (997878.3)	2808_1, 550_1, 585_1	429	585_1	 	574	 	1029, 1480	1028_13, 2104_10	 	 	2892, 3053	 	 	 	 	2644
Bacteroides fragilis CL03T12C07 (997879.3)	1075_1, 1110_1, 1643_1	955	1110_1	 	1099	 	4098, 4551	3245_10, 4552_13	 	 	1726, 1885	 	 	 	 	3786
Bacteroides fragilis CL05T00C42 (997880.3)	2211_1, 2244_1, 2454_1	2092	2244_1	2235	 	 	1182, 746	 	 	 	2535, 2608	 	 	 	 	4487
Bacteroides fragilis CL05T12C13 (997881.3)	2719_1, 551_1, 584_1	430	584_1	574	 	 	1407, 959	 	 	 	2561, 2637	 	 	 	 	4158
Bacteroides fragilis CL07T00C01 (997882.3)	2373_1, 2406_1, 4249_1	2528	2373_1	2383	 	 	1605, 1981	 	 	 	4332, 4408	 	 	 	 	23
Bacteroides fragilis CL07T12C05 (997883.3)	3850_1, 635_1, 670_1	513	670_1	659	 	 	1059, 1435	 	 	 	3934, 4009	 	 	 	 	3016
Bacteroides fragilis HMW 610 (1073386.3)	1100_1, 3493_1, 3528_1	4310	3493_1	3507	 	 	1794, 2809, 3113	3114_10	 	 	1332, 1406	887_20	 	 	3893_23	931
Bacteroides fragilis HMW 615 (1073387.4)	2311_1, 608_1, 637_1	761	608_1	 	617	 	254, 3358	 	 	 	2154, 2228	2509_20	 	 	 	2473
Bacteroides fragilis HMW 616 (1073388.3)	2364_1, 4532_1, 4561_1	4401	4561_1	4548	 	 	283, 2918, 598	282_10	 	 	2455, 4759	2121_20	 	 	3524_23	2170
Bacteroides fragilis NCTC 9343 (272559.17)	2908_1, 513_1, 547_1	379	547_1	 	537	 	 	 	 	 	2993, 3069	 	 	 	 	2741
Bacteroides fragilis YCH46 (295405.11)	2919_1, 591_1, 626_1	461	626_1	617	 	 	1373, 989	2024_10	 	 	2998, 3066	2584_20	 	 	 	2620
Bacteroides intestinalis DSM 17393 (471870.8)	3289_1, 4531_1, 490_1	660	4531_1	4556	 	 	 	 	 	 	2714, 2800	 	 	 	 	1746
Bacteroides massiliensis B84634 = Timone 84634 = DSM 17679 = JCM 13223 (1121098.4)	1289_1, 1635_1, 2055_1	3392	2055_1	2065	 	 	1795, 2712	2031_12	 	 	2744, 454	 	 	 	3184_23	1372
Bacteroides massiliensis dnLKV3 (1235788.3)	3637_1, 4382_1	2791	4382_1	2766	 	 	1944, 850	 	 	 	1426, 2627	 	 	 	4126_23	2257
Bacteroides nordii CL02T12C05 (997884.3)	3609_1, 943_1	721	943_1	930	 	 	3881, 3912	3882_12	 	 	1832, 1922	 	 	 	3936_23	2903
Bacteroides oleiciplenus YIT 12058 (742727.4)	1831_1, 4576_1, 4892_1	2004	4576_1	4618	 	 	3389, 3907	4240_12	 	 	3765, 3851	 	 	 	2855_23	31
Bacteroides ovatus 3_8_47FAA (665954.3)	1769_1, 4000_1, 4530_1	2840	4000_1	3991	 	 	3425, 4008, 4423	1798_10, 2987_10	 	 	3547, 3604	 	 	 	3292_23	1472
Bacteroides ovatus ATCC 8483 (411476.11)	1242_1, 2535_1, 530_1	2929	2535_1	2524	 	 	1067, 2543, 4718	1261_10, 4199_10	 	 	1143, 1493	 	 	 	1334_23	3278
Bacteroides ovatus CL02T12C04 (997885.3)	3246_1, 5731_1, 6146_1	4412	6146_1	6157	 	 	1887, 3782, 6138	2970_13, 3273_10	 	 	1678, 1737	 	 	 	6194_23	37
Bacteroides ovatus CL03T12C18 (997886.3)	4078_1, 5212_1, 5377_1	1155	4078_1	4089	 	 	2402, 3498, 4070	1717_13	 	 	2573, 2632	 	 	 	1357_23	2787
Bacteroides ovatus SD CC 2a (702444.3)	1254_1, 1918_1, 2895_1	2498	2895_1	2223	 	 	2879, 3728	4281_12, 4946_10	 	 	3576, 3632	 	 	 	1130_23	672
Bacteroides pectinophilus ATCC 43243 (483218.5)	2934_1	1120	2933	 	2160	 	 	 	 	 	2277	1771_18	 	 	 	 
Bacteroides plebeius DSM 17135 (484018.6)	2084_1, 2566_1	1053	2566_1	1583	 	 	1141, 2183	2541_10	 	 	1711, 1823	 	 	 	114_23	341
Bacteroides salyersiae CL02T12C01 (997887.3)	4180_1, 872_1, 901_1	1256	872_1	881	 	 	4604, 541	542_13	 	 	2492, 2539	 	 	 	4765_23	2725
Bacteroides salyersiae WAL 10018 = DSM 18765 = JCM 12988 (1121101.3)	1305_1, 1336_1, 3016_1	1505	1305_1	1315	 	 	3785, 942	943_12	 	 	263, 314	 	 	 	4175_23	81
Bacteroides sp. 1_1_14 (469585.3)	1480_1, 3115_1, 4900_1	3570	4900_1	4890	 	 	1177	1904_10, 3087_10	 	 	820, 876	 	 	 	1610_23	4085
Bacteroides sp. 1_1_30 (457387.3)	3059_1, 4434_1, 814_1	2706	814_1	804	 	 	1341, 822	2087_10, 3084_10	 	 	2912, 2967	 	 	 	1807_23	743
Bacteroides sp. 1_1_6 (469586.3)	4370_1, 4413_1	3438	4370_1	4381	 	 	4356	2276_10	 	 	377, 3960	 	 	 	 	1089
Bacteroides sp. 20_3 (469591.4)	1184_1, 3892_1, 4058_1	4860	1184_1	2200	 	 	3350, 858	2838	 	 	3703	 	 	 	4517_23	3178
Bacteroides sp. 2_1_22 (469588.3)	1211_1, 3811_1, 4146_1	1139	1211_1	4660	 	 	1227, 1778	3311_12, 3835_10	 	 	2568, 2625	 	 	 	3046_23	1570
Bacteroides sp. 2_1_33B (469589.3)	1290_1, 2588_1, 3363_1	2160	3363_1	1211	 	 	1406, 3117	552_10	 	 	982	 	 	 	2979_23	862
Bacteroides sp. 2_1_7 (457388.5)	2091_1, 3695_1, 44_1	305	3695_1	2723	 	 	3397, 709	1510, 2144_12	 	 	2948	 	 	 	2491_23	1776
Bacteroides sp. 2_2_4 (469590.5)	369_1, 4794_1, 5159_1	3538	5159_1	5150	 	 	1145, 3345, 5167	1658_12, 450_10	 	 	1012, 953	 	 	 	3947_23	3691
Bacteroides sp. 3_1_19 (469592.4)	2270_1, 3541_1, 796_1	135	3541_1	2636	 	 	3297, 659	1753	 	 	3686	 	 	 	1944_23	1420
Bacteroides sp. 3_1_23 (457390.3)	1247_1, 3083_1, 3187_1	2807	3187_1	3178	 	 	1191, 3195, 3595	1275_10, 4277_12	 	 	1022, 963	 	 	 	3622_23	4797
Bacteroides sp. 3_1_33FAA (457391.3)	1052_1, 1418_1, 2824_1	1308	1052_1	1067	 	 	2316, 310	1034_10, 1327_10	 	 	542, 856	 	 	 	2966_23	4274
Bacteroides sp. 3_1_40A (469593.3)	1043_1, 4161_1, 4301_1	3609	4161_1	 	4151	 	213, 3053	4185_10	 	 	2323, 3108	 	 	 	2666_23, 2667_23	1502
Bacteroides sp. 3_2_5 (457392.3)	1743_1, 562_1, 594_1	713	562_1	571	 	 	1210, 1558, 2832	1559_10	 	 	1841, 1916	 	 	 	 	3903
Bacteroides sp. 4_1_36 (457393.3)	2951_1, 3732_1, 938_1	810	3732_1	3720	 	 	1713, 3004	1441_10, 3336_10	 	 	1625, 3173	2244_20	 	 	1970_23	2248
Bacteroides sp. 4_3_47FAA (457394.3)	1044_1, 1347_1, 2389_1	1612	2389_1	 	2381	 	3033, 364	2411_10	 	 	1997, 2512	 	 	 	 	3873
Bacteroides sp. 9_1_42FAA (457395.6)	125_1, 2717_1, 4069_1	67	4069_1	4054	 	 	1100, 1500	4086_10, 86_10	 	 	1744, 2433	 	 	 	4604_23	1872
Bacteroides sp. D1 (556258.5)	2446_1, 3509_1, 3956_1	1977	3956_1	4589	 	 	3387, 3971	2422_10, 3152_12	 	 	1000, 1386	 	 	 	4631_23	3797
Bacteroides sp. D2 (556259.3)	3551_1, 4114_1, 4847_1	2624	4114_1	4125	 	 	3660, 4104, 855	1386_10	 	 	627, 682	 	 	 	1667_23	4998
Bacteroides sp. D20 (585543.3)	1687_1, 2881_1, 611_1	1570	611_1	622	 	 	2559, 718	3159_10, 378_10	 	 	2702, 926	3029_20	 	 	2190_23	3032
Bacteroides sp. D22 (585544.3)	2220_1, 2785_1, 3659_1	2148	3659_1	3649	 	 	17, 3667	2244_12, 2587_10	 	 	4253, 4992	 	 	 	584_23	4455
Bacteroides stercoris ATCC 43183 (449673.7)	308_1, 375_1, 468_1	2305	308_1	318	 	 	1486, 2693	3207_12	 	 	1501, 1560	 	 	 	3406_23	681
Bacteroides stercoris CC31F (1073351.3)	12_1, 2287_1, 747_1	637	12_1	21	 	 	1076, 1610	1314_13	 	 	1001, 944	 	 	 	1542_23	3245
Bacteroides thetaiotaomicron CL09T03C10 (997888.3)	3078_1, 3129_1, 975_1	3340	3078_1	3087	 	 	2712, 3062	1544_10	 	 	455, 507	 	 	 	4109_23	3922
Bacteroides thetaiotaomicron VPI-5482 (226186.12)	1410_1, 1952_1, 2463_1	3695	2463_1	 	2474	 	 	 	 	 	177, 250	 	 	1442	3903_23	1297
Bacteroides thetaiotaomicron dnLKV9 (1235785.3)	3022_1, 4427_1, 529_1	4597	3022_1	3034	 	 	 	4233_13	 	 	1740, 1796	 	 	 	3943_23	634
Bacteroides uniformis ATCC 8492 (411479.10)	2440_1, 3812_1, 526_1	624	2440_1	 	 	 	1502, 1723	139_12, 855_10	 	 	1580, 4018	1928_20	 	 	2938_23	1931
Bacteroides uniformis CL03T00C23 (997889.3)	194_1, 2023_1, 2123_1	1879	2123_1	2110	 	 	2883, 629	2374_10	 	 	2973, 477	4154_20	 	 	967_23	4151
Bacteroides uniformis CL03T12C37 (997890.3)	2646_1, 3761_1, 789_1	2785	3761_1	3748	 	 	2371, 347	4010_10	 	 	2280, 503	1063_20	 	 	5_23	1066
Bacteroides uniformis dnLKV2 (1235787.3)	3222_1, 3620_1, 3873_1	890	3620_1	3632	 	 	1604, 2221	1002_13	 	 	1439, 2341	3174_20	 	 	4083_23	3171
