Organism	LysC	Asd	DapA	DapB	DapD	DapC	DapE	Lys_NE	DapL	DapH	PatA	DapeL	DapF	Ddh	LysA	LysP	LysXYZ
Mycobacterium abscessus 5S-0304 (1001728.3)	4543	4544_2	21, 2253	2264	304	297_9	305	 	 	 	4045	2212_17	 	113, 396	 	 	 
Mycobacterium abscessus 5S-0421 (1001729.3)	4779	4780_2	2504, 277	2515	558	551_9	559	 	 	 	4280	2463_17	 	368, 650	 	 	 
Mycobacterium abscessus 5S-0422 (1001731.3)	3454	3453_2	3140, 846	3151	1256	1249_9	1257	 	 	 	5169	3099_17	 	1065, 1347	 	 	 
Mycobacterium abscessus 5S-0708 (1001730.3)	49	50_2	2025, 5183	5194	771	764_9	772	 	 	 	4024	5142_17	 	2117, 862	 	 	 
Mycobacterium abscessus 5S-0817 (1001735.3)	4149	4150_2	1859, 68	1870	339	332_9	340	 	 	 	3648	1818_17	 	159, 430	 	 	 
Mycobacterium abscessus 5S-0921 (1001732.3)	222	223_2	3160, 715	3171	997	990_9	998	 	 	 	4954	3119_17	 	1088, 807	 	 	 
Mycobacterium abscessus 5S-1212 (1001733.3)	5179	5178_2	1986, 442	1997	714	707_9	715	 	 	 	3780	1945_17	 	534, 805	 	 	 
Mycobacterium abscessus 5S-1215 (1001734.3)	49	50_2	1984, 2336	2347	1702	1709_9	1701	 	 	 	4048	2295_17	 	1610, 1892	 	 	 
Mycobacterium abscessus 6G-0125-R (1001740.3)	4409	4410_2	2153, 23	2164	393	386_9	394	 	 	 	3842	2110_17	 	211, 489	 	 	 
Mycobacterium abscessus 6G-0212 (1001739.3)	297	298_2	1018, 3144	3155	1385	1378_9	1386	 	 	 	4832	3101_17	 	1205, 1482	 	 	 
Mycobacterium abscessus 9808 (1246644.3)	1100	1101_2	1889, 4669	4680	2171	2164_9	2172	 	 	 	588	4626_17	 	1978, 2268	 	 	 
Mycobacterium abscessus M115 (1162287.3)	4569	4568_2	1550, 1727	1716	3376	3369_9	3377	 	 	 	1074	1768_17	 	3468, 4201	 	 	 
Mycobacterium abscessus M139 (1175632.3)	4124	4123_2	2345, 3039	3050	4710	4717_9	4709	 	 	 	3570	2997_17	 	2303, 4581	 	 	 
Mycobacterium abscessus M152 (1176125.3)	287	286_2	1126, 3896	1137	2927	2934_9	2926	 	 	 	2533	1083_17	 	2832, 3110	 	 	 
Mycobacterium abscessus M154 (1162288.3)	3459	3460_2	4523, 555	566	1971	1978_9	1970	 	 	 	3121	513_17	 	1880, 4333, 456	 	 	 
Mycobacterium abscessus M156 (1185414.3)	256	255_2	3712, 4603	3701	2920	2913_9	2921	 	 	 	1257	3754_17	 	1674, 3811, 615	 	 	 
Mycobacterium abscessus M159 (1162285.3)	2569	2570_2	2036, 3104, 3105	2025	237	230_9	238	 	 	 	857	4029_17	 	327, 4085, 58	 	 	 
Mycobacterium abscessus M172 (1162286.3)	4415	4416_2	3924, 879	890	3283	3290_9	3282	 	 	 	2117	837_17	 	3192, 4028, 779	 	 	 
Mycobacterium abscessus M24 (1162284.3)	4422	4420_2	1039, 1829	1050	2712	2719_9	2711	 	 	 	1314	996_17	 	3778, 4204	 	 	 
Mycobacterium abscessus M93 (1149134.5)	3140	3139_2	1844, 2689	1833	3726	3719_9	3727	 	 	 	2422	1886_17	 	3522, 3818	544_22	 	 
Mycobacterium abscessus M94 (1158135.4)	940	939_2	1983, 4125	4136	2051	2044_9	2052	 	 	 	3251	4081_17	 	3859, 4538	 	 	 
Mycobacterium abscessus subsp. bolletii 50594 (1303024.3)	362	363_2	1099, 3099	3110	1404	1397_9	1405	 	 	 	4885	3056_17	 	1223, 1494	 	 	 
Mycobacterium abscessus subsp. bolletii BD (1091046.3)	278	279_2	1040, 2945	2956	1322	1315_9	1323	 	 	 	4809	2902_17	 	1139, 1417	 	 	 
Mycobacterium fortuitum subsp. fortuitum DSM 46621 (1214102.3)	2259	2258_2	1649, 3694	1627	6039	1187_9	5943	 	 	 	4012	2059_17	 	3143, 5012	737_22	 	 
Rhodococcus erythropolis XP (1078016.3)	2746	2747_2	3252, 4675, 5418, 682	4632	6129	376_9	6128	 	 	 	3859, 4612	4710_17	 	5832, 5893	 	 	 
Brevibacterium casei S18 (1229781.4)	3011	3012_2	1991, 2395	1984	362	359_9	363	 	 	 	2736	2010_17	 	2865, 414	289_21, 811_22	 	 
Brevibacterium massiliense 5401308 (1176165.3)	452	453_2	881	878	 	1491_9	 	 	 	 	784, 787	902_17	36	1443	 	 	 
Brachybacterium paraconglomeratum LC44 (1064537.3)	241	242_2	2314, 459	2308	2388	2382_9	2392	 	 	 	 	2330_17	589	1609, 499	 	 	 
Curtobacterium flaccumfaciens UCD-AKU (1292022.3)	1682	1683_2	1996	2001	3312	3314_9	3311	 	 	 	3318	1985_17	 	3176	 	 	 
Microbacterium paraoxydans 77MFTsu3.2 (1151126.3)	1578	1581_2	1746	1738	2844	2847_9	2843	 	 	 	2455	1762_17	 	3214	 	 	 
Kocuria palustris PEL (1236550.3)	485	2292_2	1219, 139	1217	2416	1357_9	2415	 	 	 	242, 669	1231_17	 	1597	989_21	 	 
Rothia aeria F0474 (1125724.3)	1606	744_2	1987	1989	2118	520_9	2120	 	 	 	 	1971_17	 	1879	506_21	 	 
Rothia mucilaginosa M508 (563033.4)	1605	394_2	1524	1522	574	567_9	575	 	 	 	 	1536_17	 	1201	553_21	 	 
Propionibacterium acidipropionici ATCC 4875 (1171373.8)	626	2755_2	1171	2142	1161	1158_10	1162	 	 	 	 	1579_17	 	1953, 398	1112_21	 	 
Propionibacterium acnes C1 (1234380.3)	2270	343_2	2121, 693	1605	681	679_10	687	 	154	 	 	1107_17	 	1355	637_21	 	 
Propionibacterium acnes FZ1/2/0 (1276649.3)	2208	339_2	2061, 685	1549	673	671_10	679	 	 	 	 	1069_17	 	1312	629_21	 	 
Propionibacterium acnes HL096PA1 (1134454.3)	2235	376_2	1623, 2090	779	1635	1637_10	1629	 	 	 	 	1242_17	 	995	1679_21	 	 
Propionibacterium acnes PRP-38 (1136877.3)	488	1053_2	1376	2221	1364	1362_9	1370	 	867	 	 	1769_17	 	2010	1330_21	 	 
Propionibacterium avidum 44067 (1170318.3)	29	1840_2	1557, 209	733	1565	1567_9	1562	 	2043	 	 	1218_17	 	960	1596_21	 	 
Propionibacterium avidum ATCC 25577 (997355.3)	800	1355_2	2248, 604	105	2255	2257_9	2253	 	1147	 	 	1912_17	 	1663	2287_21	 	 
Propionibacterium propionicum F0230a (767029.3)	2784	417_2	1154	1250	1145	1142_9	1146	 	2647	 	2460	1343_17	 	1365	 	 	 
Bifidobacterium angulatum DSM 20098 = JCM 7096 (518635.7)	6, 7	5_2	483	482	389	1519_9	358	 	 	 	686	408_17	 	351	 	 	 
Bifidobacterium animalis subsp. animalis ATCC 25527 (703613.4)	220, 221	222_2	1321	1322	564	398_9, 735_8	320	 	 	 	 	1255_17	 	1399	 	 	 
Bifidobacterium animalis subsp. lactis B420 (1168290.3)	214, 215	216_2	1317	1318	541	372_10	303	 	 	 	 	1253_17	 	1400	 	 	 
Bifidobacterium animalis subsp. lactis BS 01 (911598.3)	261, 262	263_2	1377	1378	592	422_10	352	 	 	 	 	1313_17	 	1458	 	 	 
Bifidobacterium animalis subsp. lactis Bi-07 (742729.3)	213, 214	215_2	1317	1318	541	372_10	302	 	 	 	 	1253_17	 	1399	 	 	 
Bifidobacterium bifidum BGN4 (484020.3)	1732, 1733	1730_2	410	409	468	1072_8, 1540_9	227	 	 	 	1157	438_17	 	216	308_22	 	 
Bifidobacterium bifidum LMG 13195 (1207542.3)	537, 538	540_2	657	656	51	264_9	115	 	 	 	1061	1304_17	 	104	351_22	 	 
Bifidobacterium breve CECT 7263 (1036735.3)	1184, 1185	1186_2	105, 1348, 898	1347	1021	299_9	1036	 	 	 	1886	1261_17	 	1055	385_22	 	 
Bifidobacterium breve DPC 6330 (1074482.3)	897, 898	899_2	1232, 305, 908	1231	1985	136_10, 1430_8	221	 	 	 	1572	1390_17	 	239	1871_22	 	 
Bifidobacterium breve DSM 20213 = JCM 1192 (518634.7)	201, 202	203_2	503	502	1566	1386_9	1317	 	 	 	826	669_17	 	1300	1670_22	 	 
Bifidobacterium breve HPH0326 (1203540.3)	232, 233	234_2	592	591	947	1165_10	1245	 	 	 	 	758_17	 	1263	831_22	 	 
Bifidobacterium catenulatum DSM 16992 = JCM 1194 (566552.6)	1735, 1736	1734_2	1007	1009	1216	1385_9	1445	 	 	 	495	328_17	 	153	 	 	 
Bifidobacterium longum subsp. infantis ATCC 15697 = JCM 1222 (391904.8)	169, 170	171_2	2119	2120	601	2326_10	2378	 	 	 	 	790_17	 	2393	 	 	 
Bifidobacterium longum subsp. longum 1-6B (1161744.3)	816, 817	818_2	1951	1950	1361	357_9	121	 	 	 	598	622_17	 	1763	 	 	 
Bifidobacterium longum subsp. longum 2-2B (1161745.3)	294, 295	293_2	1314	1313	1709	1890_9	225	 	 	 	263	1653_17	 	216	 	 	 
Bifidobacterium longum subsp. longum 35B (1161904.3)	1636, 1637	1635_2	1985	1984	871	1140_9	852	 	 	 	678	546_17	 	1533	 	 	 
Bifidobacterium longum subsp. longum 44B (1161743.3)	964, 965	966_2	561	562	2119	847_9	1779	 	 	 	811	1498_17	 	1772	 	 	 
Bifidobacterium longum subsp. longum CMCC P0001 (1266716.3)	1584, 1585	1586_2	1440	1439	1341	579_9	1407	 	 	 	 	667_17	 	1392	 	 	 
Bifidobacterium pseudocatenulatum DSM 20438 = JCM 1200 (547043.8)	486, 487	485_2	955	952	130	1339_8, 319_9	381	 	 	 	1413	714_17	 	1692	 	 	 
Bifidobacterium thermophilum RBL67 (1254439.12)	226, 227	228_2	469	468	1266	1456_9, 1753_8	1527	 	 	 	 	536_17	 	1534	 	 	 
Atopobium minutum 10063974 (997872.3)	636	637_2	1155	 	 	 	 	 	 	 	 	 	 	 	 	 	 
Collinsella tanakaei YIT 12063 (742742.3)	1316	1317_2	1126, 170	169	 	 	 	 	168	 	172, 1865	 	 	171	 	 	 
Slackia piriformis YIT 12062 (742818.3)	470	471_2	1681	1680	 	 	 	 	1679	 	1684	 	 	1682	 	 	 
Bacteroides fragilis ATCC 25285 (272559.3)	2881, 584, 67	171_2	2407, 4020	602	 	 	 	2639_12	 	 	 	2638_17	3820	2880	 	 	 
Bacteroides caccae ATCC 43185 (411901.7)	1531, 2358, 3462	3012_2	528	1402	 	 	 	407_12	 	 	 	408_17	3506	2359	 	 	 
Bacteroides caccae CL03T12C61 (997873.3)	115, 2505, 4489	3659_2	2146, 2597	3975	 	 	 	2266_12	 	 	 	2265_17	4443	1897, 2504	 	 	 
Bacteroides capillosus ATCC 29799 (411467.6)	3154	1637_2	1638	1639	 	 	 	2694_12	 	 	 	2695_17	 	3302	 	 	196_26
Bacteroides cellulosilyticus CL02T12C19 (997874.3)	1511, 2612, 6325	2378_2	4594	2045	 	 	 	4688_12	 	 	 	4687_17	2739	1512	 	 	 
Bacteroides cellulosilyticus DSM 14838 (537012.5)	1676, 185, 535	5056_2	4370	1360	 	 	 	3642_12	 	 	 	3641_17	4861	533, 534	 	 	 
Bacteroides clarus YIT 12056 (762984.3)	1355, 2081, 2620	1563_2	661	10	 	 	 	3054_12	 	 	 	3055_17	2982	1356	 	 	 
Bacteroides coprocola DSM 17136 (470145.6)	652, 677, 824	2737_2	2506	1149	 	 	 	1833_12, 2699_12	 	 	 	2698_17	3576	825	 	 	 
Bacteroides coprophilus DSM 18228 (547042.5)	2827, 997	1907_2	2235, 2236	117	 	 	 	1012_12, 2681_12	 	 	 	2680_17	2049	998	 	 	 
Bacteroides dorei CL02T00C15 (997875.3)	1016, 1858, 3853	1254_2	3898, 70	2864	 	 	 	73_12	 	 	 	72_17	5238	1659, 1857	 	 	 
Bacteroides dorei CL02T12C06 (997876.3)	2744, 3446, 5053	2148_2	3490, 394	1515	 	 	 	397_12	 	 	 	396_17	5308	2743	 	 	 
Bacteroides dorei CL03T12C01 (997877.3)	1556, 177, 2199	1624_2	133, 745	2745	 	 	 	748_12	 	 	 	747_17	4505	2198	 	 	 
Bacteroides dorei DSM 17855 (483217.6)	2455, 3261, 917	349_2	2413, 4123	1507	 	 	 	4120_12	 	 	 	4121_17	251	916	 	 	 
Bacteroides eggerthii 1_2_48FAA (665953.3)	1225, 2994, 3564	775_2	1092, 3438	931	 	 	 	3688_12	 	 	 	3689_17	1710	2995	 	 	 
Bacteroides eggerthii DSM 20697 (483216.6)	1299, 2662, 639	3308_2	2290	3150	 	 	 	2426_12	 	 	 	2425_17	335	1300	 	 	 
Bacteroides faecis MAJ27 (1077285.3)	127, 3829, 92	1109_2	3176, 371	832	 	 	 	3622_12	 	 	 	3621_17	4431	3828	 	 	 
Bacteroides finegoldii DSM 17565 (483215.6)	1384, 242, 3424	2842_2	2143	831	 	 	 	1729_12	 	 	 	1730_17	1429	241	 	 	 
Bacteroides fluxus YIT 12057 (763034.3)	1287, 882	3012_2	28	566	 	 	 	 	3192	 	 	 	1171	883	 	 	 
Bacteroides fragilis 3_1_12 (457424.5)	2308, 2403, 3027	2529_2	1401	2792	 	 	 	1623_12	 	 	 	1622_17	3893	3025	 	 	 
Bacteroides fragilis 638R (862962.3)	2975, 588, 622	462_2	2502	135	 	 	 	2746_12	 	 	 	2745_17	3634	2973	 	 	 
Bacteroides fragilis CL03T00C08 (997878.3)	2808, 550, 585	429_2	2392	188	 	 	 	2579_12	 	 	 	2578_17	3718	2806	 	 	 
Bacteroides fragilis CL03T12C07 (997879.3)	1075, 1110, 1643	955_2	3536	714	 	 	 	3721_12	 	 	 	3720_17	2551	1641	 	 	 
Bacteroides fragilis CL05T00C42 (997880.3)	2211, 2244, 2454	2092_2	3739	1757	 	 	 	4425_12	716	 	 	4424_17	3558	2453	 	 	 
Bacteroides fragilis CL05T12C13 (997881.3)	2719, 551, 584	430_2	3264	204	 	 	 	4221_12	 	 	 	4222_17	3059	2720	 	 	 
Bacteroides fragilis CL07T00C01 (997882.3)	2373, 2406, 4249	2528_2	354	2774	 	 	 	90_12	 	 	 	91_17	3649	4247	 	 	 
Bacteroides fragilis CL07T12C05 (997883.3)	3850, 635, 670	513_2	2684	265	 	 	 	2948_12	 	 	 	2947_17	3247	3848	 	 	 
Bacteroides fragilis HMW 610 (1073386.3)	1100, 3493, 3528	4310_2	2198, 644	4609	 	 	 	859_12	 	 	 	858_17	1923	1099	 	 	 
Bacteroides fragilis HMW 615 (1073387.4)	2311, 608, 637	761_2	2840, 4283	1019	 	 	 	2538_12	 	 	 	2539_17	4013	2313	 	 	 
Bacteroides fragilis HMW 616 (1073388.3)	2364, 4532, 4561	4401_2	1874	4177	 	 	 	2093_12	 	 	 	2092_17	3060	2363	 	 	 
Bacteroides fragilis NCTC 9343 (272559.17)	2908, 513, 547	379_2	2492, 3946	141	 	 	 	2679_12	 	 	 	2678_17	3550	2906	 	 	 
Bacteroides fragilis YCH46 (295405.11)	2919, 591, 626	461_2	2322	214	 	 	 	2555_12	 	 	 	2554_17	3539	2917	 	 	 
Bacteroides intestinalis DSM 17393 (471870.8)	3289, 4531, 490	660_2	1875	1256	 	 	 	1793_12	 	 	 	1794_17	4667	3288	 	 	 
Bacteroides massiliensis B84634 = Timone 84634 = DSM 17679 = JCM 13223 (1121098.4)	1289, 1635, 2055	3392_2	1427	248	 	 	 	1334_12	 	 	 	1335_17	2410	1288, 685	 	 	 
Bacteroides massiliensis dnLKV3 (1235788.3)	3637, 4382	2791_2	1669, 3316	545	 	 	 	1665_12	 	 	 	1666_17	4498	3638	 	 	 
Bacteroides nordii CL02T12C05 (997884.3)	3609, 943	721_2	2677	448	 	 	 	2059_12	 	 	 	2060_17	3872	3610	 	 	 
Bacteroides oleiciplenus YIT 12058 (742727.4)	1831, 4576, 4892	2004_2	205	2249	 	 	 	110_12	 	 	 	111_17	3359	4891	 	 	 
Bacteroides ovatus 3_8_47FAA (665954.3)	1769, 4000, 4530	2840_2	636	5045	 	 	 	1330_12	 	 	 	1329_17	4335	1768	 	 	 
Bacteroides ovatus ATCC 8483 (411476.11)	1242, 2535, 530	2929_2	333	2018	 	 	 	3202_12	 	 	 	3201_17	1921	1241, 3124	 	 	 
Bacteroides ovatus CL02T12C04 (997885.3)	3246, 5731, 6146	4412_2	3369, 623	4792	 	 	 	124_12	 	 	 	125_17	3903	3245	 	 	 
Bacteroides ovatus CL03T12C18 (997886.3)	4078, 5212, 5377	1155_2	3331, 4336	801	 	 	 	2867_12	 	 	 	2868_17	3594	5376	 	 	 
Bacteroides ovatus SD CC 2a (702444.3)	1254, 1918, 2895	2498_2	3263, 406	1454	 	 	 	3370_12	 	 	 	3371_17	1763	1253	 	 	 
Bacteroides pectinophilus ATCC 43243 (483218.5)	2934	1120_2	1623	1624	 	2089_8	 	1654_12	 	 	 	1653_17	 	1342, 238	 	 	 
Bacteroides plebeius DSM 17135 (484018.6)	2084, 2566	1053_2	308	926	 	 	 	1938_12, 2619_12	 	 	 	1937_17	3467	2083	 	 	 
Bacteroides salyersiae CL02T12C01 (997887.3)	4180, 872, 901	1256_2	3239	1603	 	 	 	2692_12	 	 	 	2693_17	4568	4181	 	 	 
Bacteroides salyersiae WAL 10018 = DSM 18765 = JCM 12988 (1121101.3)	1305, 1336, 3016	1505_2	3331	1798	 	 	 	113_12	 	 	 	112_17	3820	3017	 	 	 
Bacteroides sp. 1_1_14 (469585.3)	1480, 3115, 4900	3570_2	2117, 2726	3937	 	 	 	4194_12	1005	 	 	4195_17	2018	3116	 	 	 
Bacteroides sp. 1_1_30 (457387.3)	3059, 4434, 814	2706_2	261	1698	 	 	 	669_12	1794	 	 	668_17	1264	3058	 	 	 
Bacteroides sp. 1_1_6 (469586.3)	4370, 4413	3438_2	1481, 584	1775	 	 	 	998_12	 	 	 	997_17	3173	4412	 	 	 
Bacteroides sp. 20_3 (469591.4)	1184, 3892, 4058	4860_2	2991	1044	 	3492	 	1262_12	4339	 	 	1263_17	632	3893	 	 	 
Bacteroides sp. 2_1_22 (469588.3)	1211, 3811, 4146	1139_2	1203, 783	322	 	 	 	1823_12	 	 	 	1824_17	1655	3810	 	 	 
Bacteroides sp. 2_1_33B (469589.3)	1290, 2588, 3363	2160_2	713	3671	 	 	 	3287_12	2789, 3739	 	 	3286_17	1851	2589	 	 	 
Bacteroides sp. 2_1_7 (457388.5)	2091, 3695, 44	305_2	1630	3938	 	 	 	3619_12	2313	 	 	3618_17	902	2092	 	 	 
Bacteroides sp. 2_2_4 (469590.5)	369, 4794, 5159	3538_2	5645	2875	 	 	 	3777_12	 	 	 	3778_17	3240	4795	 	 	 
Bacteroides sp. 3_1_19 (469592.4)	2270, 3541, 796	135_2	1603	3977	 	 	 	3603_12	2122	 	 	3604_17	445	2269, 731	 	 	 
Bacteroides sp. 3_1_23 (457390.3)	1247, 3083, 3187	2807_2	1395, 186	2431	 	 	 	4613_12	 	 	 	4614_17	3508	1246	 	 	 
Bacteroides sp. 3_1_33FAA (457391.3)	1052, 1418, 2824	1308_2	216, 2781	1803	 	 	 	219_12	 	 	 	218_17	4368	1419	 	 	 
Bacteroides sp. 3_1_40A (469593.3)	1043, 4161, 4301	3609_2	1088, 4071	769	 	 	 	3505_12	 	 	 	3504_17, 4069_17	4689	4300	 	 	 
Bacteroides sp. 3_2_5 (457392.3)	1743, 562, 594	713_2	2557	985	 	 	 	3966_12	 	 	 	3967_17	2969	1741	 	 	 
Bacteroides sp. 4_1_36 (457393.3)	2951, 3732, 938	810_2	2403	139	 	 	 	2299_12	2881	 	 	2300_17	2986	2950	 	 	 
Bacteroides sp. 4_3_47FAA (457394.3)	1044, 1347, 2389	1612_2	1304, 3112	488	 	 	 	879_12	 	 	 	3110_17, 878_17	4118	1043	 	 	 
Bacteroides sp. 9_1_42FAA (457395.6)	125, 2717, 4069	67_2	1402, 2674	3404	 	 	 	1405_12	 	 	 	1404_17	4354	126	 	 	 
Bacteroides sp. D1 (556258.5)	2446, 3509, 3956	1977_2	4072, 634	158	 	 	 	3722_12	 	 	 	3721_17	3265	2447	 	 	 
Bacteroides sp. D2 (556259.3)	3551, 4114, 4847	2624_2	4312	2999	 	 	 	4166_12	 	 	 	4167_17	3751	3552	 	 	 
Bacteroides sp. D20 (585543.3)	1687, 2881, 611	1570_2	3285	1893	 	 	 	3080_12	 	 	 	3081_17	2518	2882	 	 	 
Bacteroides sp. D22 (585544.3)	2220, 2785, 3659	2148_2	4526	836	 	 	 	3346_12	 	 	 	3347_17	175	2219	 	 	 
Bacteroides stercoris ATCC 43183 (449673.7)	308, 375, 468	2305_2	1273	2137	 	 	 	2521_12	1122	 	 	2520_17	2711	467	 	 	 
Bacteroides stercoris CC31F (1073351.3)	12, 2287, 747	637_2	2963	465	 	 	 	3370_12	3136	 	 	3371_17	1629	2286	 	 	 
Bacteroides thetaiotaomicron CL09T03C10 (997888.3)	3078, 3129, 975	3340_2	2365	2129	 	 	 	3859_12	 	 	 	3858_17	2742	974	 	 	 
Bacteroides thetaiotaomicron VPI-5482 (226186.12)	1410, 1952, 2463	3695_2	2861, 907	3387	 	 	 	547_12	 	 	 	548_17	2031	1409	 	 	 
Bacteroides thetaiotaomicron dnLKV9 (1235785.3)	3022, 4427, 529	4597_2	1143, 3242	3732	 	 	 	720_12	 	 	 	721_17	4360	530	 	 	 
Bacteroides uniformis ATCC 8492 (411479.10)	2440, 3812, 526	624_2	2100	1231	 	 	 	1984_12	3740	 	 	1985_17	1741	3810	 	 	 
Bacteroides uniformis CL03T00C23 (997889.3)	194, 2023, 2123	1879_2	3729, 3987	1250	 	 	 	4098_12	 	 	 	4097_17	646	193	 	 	 
Bacteroides uniformis CL03T12C37 (997890.3)	2646, 3761, 789	2785_2	1229, 1486	3413	 	 	 	1119_12	 	 	 	1120_17	329	790	 	 	 
Bacteroides uniformis dnLKV2 (1235787.3)	3222, 3620, 3873	890_2	2767, 2959	280	 	 	 	3110_12	 	 	 	3109_17	1621	2675, 3874	 	 	 
Bacteroides vulgatus ATCC 8482 (435590.9)	2120, 3357, 3958	212_2	3401	1307	 	 	 	4114_12	 	 	 	2874_17, 2875_17, 4115_17	1725	3960	 	 	 
Bacteroides vulgatus EK4.2 (702445.3)	1443	1900_2	1901	2410	 	 	 	 	1809	 	1810	1531_17	 	62	 	278_23_24, 278_23_24, 279_25	 
Bacteroides vulgatus PC510 (702446.3)	1163, 1750, 2942	2277_2	1470	35	 	 	 	442_12	 	 	 	2166_17, 2167_17, 441_17	21	1164	 	 	 
Bacteroides vulgatus dnLKV7 (1235786.3)	1352, 2908, 57	2049_2	2863	2519	 	 	 	1518_12	 	 	 	1519_17, 844_17	4219	1354	 	 	 
Bacteroides xylanisolvens CL03T12C04 (997892.3)	3896, 4014, 4548	3197_2	1708, 4141	2844	 	 	 	2057_12	2954	 	 	2056_17	3443	4013	 	 	 
Bacteroides xylanisolvens SD CC 1b (702447.3)	4407, 4579, 4779	678_2	1130	3694	 	 	 	894_12	 	 	 	895_17	3891	4780	 	 	 
Bacteroides xylanisolvens XB1A (657309.4)	3335, 4570, 527	1755_2	4019	1378	 	 	 	4286_12	1482	 	 	4287_17	47	3333, 3334	 	 	 
Barnesiella intestinihominis YIT 11860 (742726.3)	1655, 1711, 878	2615_2	601	2732	 	 	 	1687_12	 	 	 	1688_17	1108	1656	 	 	 
Butyricimonas synergistica DSM 23225 (1121129.3)	2377, 2438	3438_2	2416	378	 	 	 	 	2363	 	592	 	2014	2437	 	 	 
Dysgonomonas gadei ATCC BAA-286 (742766.3)	1132, 3314, 4135	3592_2	1605, 1877, 2307	1457	 	 	 	998_12	 	 	 	999_17	14	4136	 	 	 
Odoribacter laneus YIT 12061 (742817.3)	2080, 2919	2379_2	2097	798	 	 	 	2033_12	 	 	 	2034_17	2802	2079	 	 	 
Odoribacter splanchnicus DSM 20712 (709991.3)	2588, 3059, 3678	2983_2	3646	404	1593	 	 	 	 	 	 	1660_17	1594	3677	 	 	 
Parabacteroides distasonis ATCC 8503 (435591.13)	2004, 252, 3888	3230_2	781	2815	 	 	 	317_12	2167	 	 	318_17	3527	2005	 	 	 
Parabacteroides distasonis CL03T12C09 (999416.3)	2414, 398, 4158	3224_2	1836	3585	 	 	 	4236_12	221	 	 	4237_17	2879	397	 	 	 
Parabacteroides distasonis CL09T03C24 (999417.3)	1562, 2373, 4334	863_2	502	1245	 	2775	 	2451_12	1398, 1847	 	 	2452_17	3558	1561	 	 	 
Parabacteroides goldsteinii CL02T12C30 (999418.3)	1593, 4260, 5410	550_2	3951	1205	 	3235	 	4760_12	2513	 	 	4759_17	2887	4261	 	 	 
Parabacteroides goldsteinii dnLKV18 (1235789.3)	1878, 2387, 5534	4137_2	2124, 682	3541	 	4913	 	111_12	13, 2664	 	 	112_17	3074	2386	 	 	 
Parabacteroides johnsonii CL02T12C29 (999419.3)	1303, 697, 846	1880_2	3137	1820	 	 	 	2606_12	2345	 	 	2607_17	284	845	 	 	 
Parabacteroides johnsonii DSM 18315 (537006.5)	1578, 2632, 3865	237_2	1268	309	 	 	 	1992_12	2186	 	 	1993_17	3497	2633, 2634	 	 	 
Parabacteroides merdae ATCC 43184 (411477.4)	2816, 3130, 3558	89_2	2007	150	 	 	 	2199_12	696	 	 	2198_17	1698	3129	 	 	 
Parabacteroides merdae CL03T12C32 (999420.3)	2660, 31, 890	1720_2	552	1775	 	3039	 	1205_12	2424	 	 	1204_17	3234	2659	 	 	 
Parabacteroides sp. D13 (563193.3)	3145, 3870, 723	913_2	1514	4239	 	 	 	3796_12	2976, 4180	 	 	3795_17	408	3144	 	 	 
Porphyromonas asaccharolytica DSM 20707 (879243.3)	957	1190_2	1259	980	 	 	 	 	2	 	 	 	1163	 	 	 	 
Porphyromonas asaccharolytica PR426713P-I (910312.3)	562	1274_2	1351	16	 	 	 	 	753	 	 	 	740	 	 	 	 
Porphyromonas endodontalis ATCC 35406 (553175.3)	1772	983_2	1370	1320	 	 	 	 	1549	 	 	 	1406	 	 	 	 
Porphyromonas gingivalis ATCC 33277 (431947.7)	89	613_2	1962	1916	 	 	 	 	 	 	 	 	818	1263, 93	 	 	 
Porphyromonas gingivalis TDC60 (1030843.3)	42	1638_2	304	254	 	 	 	 	 	 	 	 	1859	43	 	 	 
Porphyromonas gingivalis W83 (242619.8)	2042	521_2	1907	1857	 	 	 	 	2	 	 	 	743	2041	 	 	 
Porphyromonas somerae DSM 23386 (1122975.3)	1385, 1782, 1783	818_2	1444	762	 	 	 	390_12	 	 	 	391_17	 	 	 	 	 
Porphyromonas uenonis 60-3 (596327.3)	976	1583_2	1633	11	 	 	 	 	552	 	 	 	1434	 	 	 	 
Tannerella forsythia ATCC 43037 (203275.8)	2723, 636	1021_2	193	1195	 	 	 	 	 	 	 	 	1643	637	 	 	 
Paraprevotella clara YIT 11840 (762968.3)	2506, 2846, 910	387_2	1286	316	 	 	 	1603_12	 	 	 	1602_17	1120	2845	 	 	 
Paraprevotella xylaniphila YIT 11841 (762982.3)	1728, 208	2168_2	672	2022	 	 	 	2219_12	 	 	 	2218_17	1927	1727	 	 	 
Prevotella bivia DSM 20514 (868129.3)	182, 310	994_2	2088	1221	 	 	 	 	 	 	819	 	40	181	 	 	 
Prevotella bryantii B14 (752555.5)	2003, 2190	2460_2	1363	1768	 	 	 	261_12	 	 	 	260_17	2050	2004	 	 	 
Prevotella buccae ATCC 33574 (873513.3)	1109, 2124	775_2	1138	2583	 	 	 	 	 	 	 	 	680	2123	 	 	 
Prevotella buccae D17 (575611.3)	1653, 459	331_2	486	847	 	 	 	 	 	 	 	 	320	1654	 	 	 
Prevotella conceptionensis 9403948 (1197728.3)	2024, 2223	2578_2	2730	1669	 	 	 	 	 	 	 	 	3327	2222	 	 	 
