Organism	PurF	PurD	PurNT	PurLQS	PurM	PurEK	PurC	PurB	PurH1	PurH2	PurA	GuaB	GuaA	GuaC	XanQ	Xpt
Bifidobacterium gallicum DSM 20093 (561180.4)	879	881	866_4	868_5_6, 868_5_6	880_8	893_9, 894_22	867_10	749_11	555_12	555_12	1282	606_17, 937_17	116_19, 803_19	 	 	 
Bifidobacterium longum NCC2705 (206672.9)	831	833	813_4	816_5_6, 816_5_6	832_8	839_9, 840_22	815_10	1854_11	432_12	432_12	1293	1776_17, 371_18	1038_19, 664_19	 	1255, 589	588
Bifidobacterium longum subsp. infantis 157F (565040.3)	523	521	541_4	538_5_6, 538_5_6	522_8	514_22, 515_9	539_10	1546_11	1043_12	1043_12	84	1158_18, 1638_17	314_19, 706_19	 	120, 786	787
Bifidobacterium longum subsp. infantis ATCC 55813 (548480.3)	199	201	181_4	184_5_6, 184_5_6	200_8	207_9, 208_22	183_10	819_11	1189_12	1189_12	1478	1247_18, 730_17	1850_19, 435_19	 	1662, 360	359
Bifidobacterium longum subsp. infantis CCUG 52486 (537937.5)	108	110	89_4	92_5_6, 92_5_6	109_8	116_9, 117_22	91_10	1936_11	1653_12	1653_12	538	1276_17, 1549_18	296_19, 991_19	 	1068, 505	1069
Bifidobacterium longum subsp. longum BBMN68 (890402.3)	898	900	880_4	883_5_6, 883_5_6	899_8	906_9	882_10	29_11	439_12	439_12	1318	1815_17, 381_18	1096_19, 728_19	 	1284, 648	647
Bifidobacterium longum subsp. longum F8 (722911.3)	702	704	684_4	687_5_6, 687_5_6	703_8	710_9	686_10	1046_11	295_12	295_12	1401	1130_17, 237_18	536_19, 906_19	 	1361, 454	453
Bifidobacterium longum subsp. longum JCM 1217 (565042.3)	509	507	527_4	524_5_6, 524_5_6	508_8	500_22, 501_9	525_10	1517_11	1123_12	1123_12	96	1181_18, 1596_17	322_19, 684_19	 	130, 758	759
Bifidobacterium longum subsp. longum JDM301 (759350.3)	569	567	587_4	584_5_6, 584_5_6	568_8	560_22, 561_9	585_10	1477_11	1024_12	1024_12	90	1088_18, 1563_17	367_19, 762_19	 	849	850
Bifidobacterium longum subsp. longum KACC 91563 (1035817.4)	1361	1363	1343_4	1346_5_6, 1346_5_6	1362_8	1369_9	1345_10	453_11	912_12	912_12	1798	359_17	1194_19	 	 	1110
Scardovia inopinata F0304 (641146.3)	1031	1033	1027_4	1030_5_6, 1030_5_6	1032_8	1037_9, 1038_22	1029_10	1381_11	796_12	796_12	4	565_17, 836_17	1302_19, 671_19	 	693	694
Atopobium parvulum DSM 20469 (521095.6)	33	26	35_3	344_5_6, 344_5_6	34_8	 	1308_10	1312_11	1291_12	1291_12	25	810_17	190_19	 	231	 
Atopobium rimae ATCC 49626 (553184.4)	673	666	675_3	1203_5_6, 1203_5_6	674_8	671_22	621_10	625_11	558_12	558_12	665	1370_17	1136_19	 	1236	1144
Collinsella aerofaciens ATCC 25986 (411903.6)	1661	1678	1658_3	456_5_6, 456_5_6	1659_8	1666_22	2002_10	1997_11	1753_12	1753_12	1679	116_17	635_19	 	992	202
Collinsella intestinalis DSM 13280 (521003.7)	772	780	770_3	241_5_6, 241_5_6	771_8	 	1334_10, 854_10	799_11	1436_12	1436_12	781	750_17	357_19	 	 	 
Collinsella stercoris DSM 13279 (445975.6)	1657	1648	1659_3	370_5_6, 370_5_6	1658_8	1606_22, 1610_22	1553_10	1548_11	709_12	709_12	1646	1290_17	222_19, 338_19	 	 	1337
Cryptobacterium curtum DSM 15641 (469378.5)	405	1103	407_3	1305_5_6, 1305_5_6	406_8	 	1120_10	132_11	409_12	409_12	1104	183_17	981_19	 	 	 
Eggerthella lenta DSM 2243 (479437.5)	761, 792	35	763_3	275_5_6, 275_5_6	762_8	 	272_10	267_11	766_12	766_12	34	430_17	964_19	 	3050	3051
Eggerthella sp. 1_3_56FAA (665943.3)	1032, 2584, 876	1348	2582_3	1570_5_6, 1570_5_6	2583_8	 	1568_10	1563_11	2579_12	2579_12	1347	1740_17	2710_19, 846_19	 	1240	1241
Eggerthella sp. YY7918 (502558.4)	1879, 492	87	680_3	337_5_6, 337_5_6	679_8	106_22	335_10	325_11	683_12	683_12	86	2165_17	1391_19, 2315_19	 	2427	2428
Gordonibacter pamelaeae 7-10-1-b (657308.3)	1573, 260	823	1570_3	713_5_6, 713_5_6, 714_5_6, 714_5_6	1571_8, 1572_8	 	716_10	721_11	3111_12	3111_12	824	630_17, 631_17	2170_21, 2799_19	 	2190	2191
Olsenella uli DSM 7084 (633147.4)	35	29	37_3	1573_5_6, 1573_5_6	36_8	33_22	1779_10	1783_11	334_12	334_12	27	1048_17	203_19	 	 	 
Slackia exigua ATCC 700122 (649764.3)	869	1020	867_3	1734_5_6, 1734_5_6	868_8	1079_22	997_10	1001_11	865_12	865_12	1021	723_17	328_19	 	 	 
Actinomyces cardiffensis F0333 (888050.3)	711	685	1381_4	681_5, 682_6, 683_7	710_8	335_22, 336_9	684_10	787_11	1865_12	1865_12	1081	423_17, 426_17	1860_19	 	1759	 
Actinomyces graevenitzii C83 (435830.3)	1056	1068	715_3	1062_5, 1064_6, 1065_7	1055_8	833_22, 834_9	1067_10	1209_11	714_12	714_12	1086	1536_17	1570_19	 	 	 
Actinomyces naeslundii str. Howell 279 (1115803.3)	925	2088	674_4	2076_5, 2077_5, 2083_6, 2084_7	924_8	1364_9	2087_10	2221_11	1384_12	1384_12	732	797_17, 799_17	1227_19	 	 	 
Actinomyces turicensis ACS-279-V-Col4 (883077.3)	501	90	860_4	86_5, 87_6, 88_7	502_8	1180_22, 1181_9	89_10	302_11	1344_12	1344_12	533	1247_17, 1250_17	1342_19	 	1674	 
Corynebacterium aurimucosum ATCC 700975 (Prj:31451) (548476.7)	1126	1105	1003_4, 521_3	1112_7, 1113_6	1127_8	1329_22, 1330_9	1108_10	1106_11	520_12	520_12	1002	1419_17, 1420_17	1416_19	 	 	 
Corynebacterium durum F0235 (1035195.3)	2385	2345	2255_4, 852_3	2376_7, 2377_6, 2378_5	2386_8	2452_22, 2453_9	2350_10	2349_11	851_12	851_12	2250	634_17, 635_17	2538_19	 	 	 
Corynebacterium propinquum DSM 44285 (1121367.3)	1351	1341	1282_4, 1737_3, 1798_4	1346_7, 1347_6, 1348_5	1352_8	2004_9, 2005_22	1343_10	1342_11	1738_12	1738_12	1281	2047_17, 2048_17	2050_19	 	 	 
Gordonia rubripertincta NBRC 101908 (1077975.4)	332	4622	1686_3, 2116_4, 4600_3	340_5, 4636_7, 4637_6	331_8	42_9, 43_22	4631_10	4629_11	4601_12	4601_12	2122	1165_17, 2350_17	1171_19	 	 	 
Gordonia terrae C-6 (1316928.3)	1661	3836	262_4, 3157_3, 883_3	1669_5, 3849_7, 3850_6	1660_8	2499_9, 2500_22	3844_10	3842_11	3156_12	3156_12	268	1425_17, 1426_17, 3449_17	1431_19	 	 	 
Gordonia terrae NBRC 100016 (1089454.3)	2339	2046	1512_3, 2174_4, 809_3	2160_6, 2161_7, 4508_5	2338_8	478_9, 479_22	2038_10	2040_11	1511_12	1511_12	2169	3534_17, 718_17, 719_17	725_19	 	4848	 
Mycobacterium avium subsp. paratuberculosis JQ6 (1112208.3)	4026	3995	1905_4, 1906_4, 815_3, 816_3	4011_6, 4021_5, 4022_5	4027_8	2646_9, 2647_9, 2648_22	4002_10	4000_11	814_12	814_12	1908	2505_17, 2506_17, 2507_17, 2508_17, 4835_17	2548_19	 	 	 
Mycobacterium avium subsp. paratuberculosis MAP4 (1199187.3)	3321	3351	3051_3, 4112_4	3324_5, 3333_6, 3334_7	3320_8	403_9, 404_22	3343_10	3346_11	3050_12	3050_12	4110	1650_17, 2355_17, 4535_17, 4536_18	295_19	 	 	 
Mycobacterium avium subsp. paratuberculosis S5 (1247747.5)	740	710	1263_3	728_7, 729_6	741_8	3829_22, 3830_9	719_10	716_11	1264_12	1264_12	4333	2000_17, 2772_17, 4765_17, 4766_17	3939_19	 	 	 
Mycobacterium abscessus 3A-0119-R (1001721.3)	5163, 722	692	1021_3, 1151_4, 3475_3, 4507_4	707_7, 708_6, 716_5	738_8	3756_22, 3757_9	699_10	697_11	1022_12	1022_12	4512	2408_17, 3858_17, 3859_17	3856_19	 	2979	 
Mycobacterium abscessus 3A-0122-R (1001715.3)	5196, 800	770	1180_4, 3436_3, 3501_3, 4543_4	785_7, 786_6, 794_5	816_8	3784_22, 3785_9	777_10	775_11	3502_12	3502_12	4548	2444_17, 3886_17, 3887_17	3884_19	 	3011	 
Mycobacterium abscessus 3A-0122-S (1001716.3)	3637, 4972	3667	3051_3, 4320_4, 610_3, 741_4	3643_5, 3651_6, 3652_7	3621_8	3333_22, 3334_9	3660_10	3662_11	611_12	611_12	4325	2003_17, 3435_17, 3436_17	3433_19	 	2571	 
Mycobacterium abscessus 3A-0731 (1001718.3)	2645, 5238	2615	1019_4, 3587_3, 4585_4, 888_3	2630_7, 2631_6, 2639_5	2661_8	3866_22, 3867_9	2622_10	2620_11	889_12	889_12	4590	2356_17, 3968_17, 3969_17	3966_19	 	3119	 
Mycobacterium abscessus 3A-0810-R (1001717.3)	5163, 713	683	1064_3, 1195_4, 3513_3, 4510_4	698_7, 699_6, 707_5	729_8	3792_22, 3793_9	690_10	688_11	1065_12	1065_12	4515	2452_17, 3894_17, 3895_17	3892_19	 	3023	 
Mycobacterium abscessus 3A-0930-R (1001720.3)	5108, 720	690	1073_3, 1204_4, 3481_3, 4457_4	705_7, 706_6, 714_5	736_8	3761_22, 3762_9	697_10	695_11	1074_12	1074_12	4462	2458_17, 3863_17, 3864_17	3861_19	 	3030	 
Mycobacterium abscessus 3A-0930-S (1001719.3)	2486, 5036	2456	3413_3, 4383_4, 646_3, 776_4	2471_7, 2472_6, 2480_5	2502_8	3691_22, 3692_9	2463_10	2461_11	647_12	647_12	4388	2024_17, 3793_17, 3794_17	3791_19	 	2962	 
Mycobacterium abscessus 47J26 (1087483.3)	4237	4208	1864_4, 3226_4, 3637_3, 535_3	4223_7, 4224_6, 4231_5	4252_8	276_9, 277_22	4215_10	4213_11	3636_12	3636_12	3242	1534_17, 168_17, 169_17	171_19	 	965	 
Mycobacterium abscessus 4S-0116-R (1001725.3)	815	785	1141_3, 1259_4, 3062_3, 4070_4	800_7, 801_6, 809_5	831_8	3395_22, 3396_9	792_10	790_11	1142_12	1142_12	4075	348_17, 3497_17, 3498_17	3495_19	 	2637	 
Mycobacterium abscessus 4S-0116-S (1001724.3)	4492	4462	157_4, 2154_3, 3161_4, 39_3	4477_7, 4478_6, 4486_5	4508_8	2487_22, 2488_9	4469_10	4467_11	40_12	40_12	3166	1218_17, 2589_17, 2590_17	2587_19	 	1731	 
Mycobacterium abscessus 4S-0206 (1001723.3)	2225	2194	297_3, 3065_3, 4070_4, 415_4	2209_7, 2210_6, 2219_5	2240_8	3396_22, 3397_9	2201_10	2199_11	298_12	298_12	4075	1435_17, 3498_17, 3499_17	3496_19	 	2641	 
Mycobacterium abscessus 4S-0303 (1001722.3)	1019	988	1344_3, 1461_4, 3057_3, 4061_4	1003_7, 1004_6, 1013_5	1035_8	3388_22, 3389_9	995_10	993_11	1345_12	1345_12	4066	25_17, 3490_17, 3491_17	3488_19	 	2632	 
Mycobacterium abscessus 4S-0726-RA (1001726.3)	1823	1853	1011_4, 2990_3, 3996_4, 893_3	1829_5, 1837_6, 1838_7	1808_8	3322_22, 3323_9	1846_10	1848_11	894_12	894_12	4001	2051_17, 3424_17, 3425_17	3422_19	 	2566	 
Mycobacterium abscessus 4S-0726-RB (1001727.3)	151	121	2603_3, 3607_4, 478_3, 595_4	136_7, 137_6, 145_5	168_8	2934_22, 2935_9	128_10	126_11	479_12	479_12	3612	1661_17, 3036_17, 3037_17	3034_19	 	2177	 
Mycobacterium abscessus 5S-0304 (1001728.3)	4884	4855	160_4, 2524_3, 3587_4, 37_3	4870_7, 4871_6, 4878_5	4899_8	2870_22, 2871_9	4862_10	4860_11	38_12	38_12	3603	1213_17, 2978_17, 2979_17	2976_19	 	2109	 
Mycobacterium abscessus 5S-0421 (1001729.3)	5116	5087	2775_3, 292_3, 3840_4, 415_4	5102_7, 5103_6, 5110_5	5131_8	3122_22, 3123_9	5094_10	5092_11	293_12	293_12	3856	1494_17, 3230_17, 3231_17	3228_19	 	2359	 
Mycobacterium abscessus 5S-0422 (1001731.3)	471	442	1113_4, 3648_3, 4707_4, 862_3	457_7, 458_6, 465_5	486_8	3992_22, 3993_9	449_10	447_11	863_12	863_12	4723	4100_17, 4101_17, 942_17	4098_19	 	2995	 
Mycobacterium abscessus 5S-0708 (1001730.3)	386	357	2041_3, 2342_4, 2499_3, 3564_4	372_7, 373_6, 380_5	401_8	2846_22, 2847_9	364_10	362_11	2042_12	2042_12	3580	1710_17, 2954_17, 2955_17	2952_19	 	5039	 
Mycobacterium abscessus 5S-0817 (1001735.3)	4490	4461	195_4, 2129_3, 3188_4, 83_3	4476_7, 4477_6, 4484_5	4505_8	2473_22, 2474_9	4468_10	4466_11	84_12	84_12	3204	1276_17, 2581_17, 2582_17	2579_19	 	1713	 
Mycobacterium abscessus 5S-0921 (1001732.3)	560	531	3430_3, 4489_4, 731_3, 854_4	546_7, 547_6, 554_5	576_8	3771_22, 3772_9	538_10	536_11	732_12	732_12	4505	1935_17, 3879_17, 3880_17	3877_19	 	3016	 
Mycobacterium abscessus 5S-1212 (1001733.3)	4838	4867	2258_3, 3317_4, 458_3, 570_4	4844_5, 4851_6, 4852_7	4823_8	2602_22, 2603_9	4860_10	4862_11	459_12	459_12	3333	1651_17, 2710_17, 2711_17	2708_19	 	1842	 
Mycobacterium abscessus 5S-1215 (1001734.3)	390	361	1845_4, 1968_3, 2607_3, 3585_4	376_7, 377_6, 384_5	406_8	2947_22, 2948_9	368_10	366_11	1967_12	1967_12	3601	3055_17, 3056_17, 990_17	3053_19	 	2191	 
Mycobacterium abscessus 6G-0125-R (1001740.3)	3990, 4797	4767	2425_3, 248_4, 3340_4, 39_3	4782_7, 4783_6, 4791_5	4813_8	2703_22, 2704_9	4774_10	4772_11	40_12	40_12	3345	1473_17, 2805_17, 2806_17	2803_19	 	1998	 
Mycobacterium abscessus 6G-0212 (1001739.3)	4980, 683	653	1034_3, 1242_4, 3414_3, 4327_4	668_7, 669_6, 677_5	699_8	3692_22, 3693_9	660_10	658_11	1035_12	1035_12	4332	2465_17, 3794_17, 3795_17	3792_19	 	2987	 
Mycobacterium abscessus 9808 (1246644.3)	1473	1443	135_4, 1905_3, 2029_4, 4938_3	1458_7, 1459_6, 1467_5	1489_8	3887_22, 3888_9	1450_10	1448_11	1906_12	1906_12	140	3188_17, 3994_17, 3995_17	3992_19	 	3719	 
Mycobacterium abscessus M115 (1162287.3)	2841	2812	1565_3, 2656_3, 415_4, 4165_4	2827_7, 2828_6, 2835_5	2856_8	4357_9, 4358_22	2819_10	2817_11	1566_12	1566_12	399	2353_17, 958_17, 959_17	961_19	 	1874	 
Mycobacterium abscessus M139 (1175632.3)	2668	2699	127_3, 2330_3, 4235_4, 4542_4	2674_5, 2683_6, 2684_7	2653_8	393_22, 394_9	2692_10	2694_11	2329_12	2329_12	4219	1350_17, 498_17, 499_17	496_19	 	2830	 
Mycobacterium abscessus M152 (1176125.3)	2667	2635	1389_3, 2285_4, 3069_4, 3912_3	2650_7, 2651_6, 2661_5	2683_8	1582_22, 1583_9	2642_10	2640_11	3913_12	3913_12	2290	1688_17, 1689_17, 3786_17	1686_19	 	3309	 
Mycobacterium abscessus M154 (1162288.3)	3830	3859	2167_3, 4295_4, 4538_3, 729_4	3836_5, 3843_6, 3844_7	3815_8	2424_22, 2425_9	3852_10	3854_11	4539_12	4539_12	724	1265_17, 1266_17, 2926_17	1268_19	 	408	 
Mycobacterium abscessus M156 (1185414.3)	4707	4677	4558_3, 4620_3, 577_4, 741_4	4692_7, 4693_6, 4700_5	4722_8	317_9, 318_22	4684_10	4682_11	4621_12	4621_12	736	2435_17, 2436_17, 3323_17	2438_19	 	4245	 
Mycobacterium abscessus M159 (1162285.3)	1092	1121	1386_4, 2642_3, 3089_3, 95_4	1098_5, 1105_6, 1106_7	1077_8	3201_9, 3202_22	1114_10	1116_11	3088_12	3088_12	1391	2415_17, 2416_17, 3551_17	2418_19	 	1503	 
Mycobacterium abscessus M172 (1162286.3)	5109	5138	1054_4, 3939_3, 4066_4, 4701_3	5115_5, 5122_6, 5123_7	5094_8	1701_9, 1702_22	5131_10	5133_11	3940_12	3940_12	1049	1593_17, 1594_17, 168_17	1596_19	 	729	 
Mycobacterium abscessus M24 (1162284.3)	9	4569	1937_4, 3276_3, 3648_4, 5149_3	1495_7, 1496_6, 3_5	5050_8	2763_22, 2764_9	1487_10	4574_11	5150_12	5150_12	2214	315_17, 316_17, 3652_17	318_19	 	2218, 2219	 
Mycobacterium abscessus M93 (1149134.5)	4535	4505	1572_3, 2673_3, 3581_4, 4626_4	4520_7, 4521_6, 4529_5	4551_8	1238_9, 1239_22	4512_10	4510_11	2672_12	2672_12	4621	103_17, 1136_17, 1137_17	1139_19	 	2348	 
Mycobacterium abscessus M94 (1158135.4)	1028	997	2000_3, 2639_4, 283_4, 5061_3	1012_7, 1013_6, 1022_5	1044_8	2434_9, 2435_22	1004_10	1002_11	2001_12	2001_12	288	2817_17, 4934_17, 4935_17	4932_19	 	3966	 
Mycobacterium abscessus subsp. bolletii 50594 (1303024.3)	730	701	1114_3, 1259_4, 3362_3, 4376_4	716_7, 717_6, 724_5	746_8	3714_22, 3715_9	708_10	706_11	1115_12	1115_12	4381	2405_17, 3820_17, 3821_17	3818_19	 	2942	 
Mycobacterium abscessus subsp. bolletii BD (1091046.3)	615	586	1056_3, 1178_4, 3219_3, 4172_4	601_7, 602_6, 609_5	633_8	3476_22, 3477_9	593_10	591_11	1057_12	1057_12	4177	2243_17, 3579_17, 3580_17	3577_19	 	2796	 
Mycobacterium fortuitum subsp. fortuitum DSM 46621 (1214102.3)	3447	213	2334_4, 4565_3, 637_3	3439_5, 5525_7, 5939_6	3448_8	1531_22, 1532_9	5517_10	218_11	4566_12	4566_12	2344	2674_17, 3199_17, 3284_17, 5896_17	3295_19	 	 	 
Rhodococcus erythropolis XP (1078016.3)	1061	3320	6251_4, 654_3	1065_5, 3355_7, 3356_6	1057_8	4174_9, 4175_22	3341_10	3333_11	653_12	653_12	1271, 6237	3984_17, 3985_17, 4526_17, 5011_17, 5300_17	3989_19	 	4140	 
Brevibacterium casei S18 (1229781.4)	1666	1659_10	19_3	1650_6, 1651_7, 2762_5	1667_8	163_9, 164_22	1659_10	1061_11	20_12	20_12	2795	405_17, 808_18, 831_17	805_19	 	1589, 2531	 
Brevibacterium massiliense 5401308 (1176165.3)	1871	1875	1680_3	1877_7, 1878_6, 1883_5	1870_8	1639_22, 1640_9	1876_10	281_11	1679_12	1679_12	1890	2042_17, 2047_17	2039_19	 	 	 
Brachybacterium paraconglomeratum LC44 (1064537.3)	2145	1179	1191_3, 1263_3	1186_7, 1187_6, 1200_5	2146_8	723_22, 724_9	1180_10	457_11	1261_12	1261_12	2141	2113_17, 2116_17, 2172_17	2125_19, 3035_19	 	 	 
Curtobacterium flaccumfaciens UCD-AKU (1292022.3)	2337	2341	1157_3	2358_7, 2359_6, 2360_5	2336_8	1778_9, 1781_22	2342_10	2572_11	1156_12	1156_12	2405	1202_17, 883_17, 889_17	877_19	 	 	 
Microbacterium paraoxydans 77MFTsu3.2 (1151126.3)	2481	2475	3465_3	2439_5, 2461_6, 2462_7	2480_8	3325_22, 3326_9	2471_10	2242_11	3464_12	3464_12	2414	1801_17, 3269_17, 3502_17	1109_19, 3499_19	 	 	 
Kocuria palustris PEL (1236550.3)	794	798	2124_3	493_7, 494_6, 495_5	793_8	184_9, 185_22	 	716_11	2123_12	2123_12	988	1585_17, 224_17, 225_17	221_19	 	 	 
Rothia aeria F0474 (1125724.3)	642	489, 647	1186_3	1602_5, 1603_6, 1604_7	641_8	1132_9, 1133_22	648_10	93_11	1185_12	1185_12	553	1739_17, 1740_17	1746_19	 	 	 
Rothia mucilaginosa M508 (563033.4)	293	297	1343_3	1608_7, 1609_6, 1610_5	292_8	1385_22, 1386_9	298_10	218_11	1344_12	1344_12	1684	504_17, 505_17	506_19	 	 	 
Propionibacterium acidipropionici ATCC 4875 (1171373.8)	2664	2684	2427_3	2671_5, 2678_6, 2679_10_7	2663_8	2380_15	2679_10_7	2683_11	2426_12	2426_12	2687	1221_17, 2452_18, 2453_17	2449_21	 	 	 
Propionibacterium acnes C1 (1234380.3)	2093	2116	1866_3	2100_5, 2110_6	2092_8	1813_22, 1814_9	2111_10	2115_11	1865_12	1865_12	2117	1887_18, 1888_17, 765_17	1883_19	 	 	 
Propionibacterium acnes FZ1/2/0 (1276649.3)	2033	2056	1808_3	2040_5, 2050_6	2032_8	1757_22, 1758_9	2051_10	2055_11	1807_12	1807_12	2057	1829_18, 1830_17, 756_17	1825_19	 	 	 
Propionibacterium acnes HL096PA1 (1134454.3)	2060	2085	1833_3	2067_5, 2079_6	2059_8	1782_22, 1783_9	2080_10	2084_11	1832_12	1832_12	2086	1551_17, 1854_18, 1855_17	1850_19	 	 	 
Propionibacterium acnes PRP-38 (1136877.3)	301	339	88_3	308_5, 332_6	300_8	40_22, 41_9	333_10	337_11, 338_11	87_12	87_12	340	109_18, 110_17, 1455_17	105_19	 	 	 
Propionibacterium avidum 44067 (1170318.3)	239	214	451_3	220_6, 232_5	240_8	499_9, 500_22	219_10	215_11	452_12	452_12	213	1490_17, 431_17, 432_18	435_19	 	 	 
Propionibacterium avidum ATCC 25577 (997355.3)	580	599	353_3	587_5, 593_6	579_8	305_22, 306_9	594_10	598_11	352_12	352_12	600	2180_17, 373_18, 374_17	370_19	 	 	 
Propionibacterium propionicum F0230a (767029.3)	2481	478	2052_3	492_7, 493_6, 579_5	2480_8	925_9, 926_22	489_10	479_11	2051_12	2051_12	468	2028_17, 2087_17, 2088_17	2073_19	 	 	 
Bifidobacterium angulatum DSM 20098 = JCM 7096 (518635.7)	1186	1188	1176_4	1178_5_6, 1178_5_6	1187_8	1195_9, 1196_22	1177_10	478_11	845_12	845_12	144	1614_17, 881_17	1020_19, 1434_19	 	1065, 812, 920	919
Bifidobacterium animalis subsp. animalis ATCC 25527 (703613.4)	622	620	629_4	627_5_6, 627_5_6	621_8	615_22, 616_9	628_10	660_11	823_12	823_12	123	552_17, 777_18	293_19, 975_19	 	954	953
Bifidobacterium animalis subsp. lactis B420 (1168290.3)	600	598	616_4	614_5_6, 614_5_6	599_8	594_15	615_10	648_11	809_12	809_12	125	528_17, 767_18	959_19	 	937	936
Bifidobacterium animalis subsp. lactis BS 01 (911598.3)	650	648	 	664_5_6, 664_5_6	649_8	644_15	665_10	698_11	862_12	862_12	173	579_17, 820_18	1014_19	 	991	990
Bifidobacterium animalis subsp. lactis Bi-07 (742729.3)	599	597	 	613_5_6, 613_5_6	598_8	593_15	614_10	647_11	808_12	808_12	125	528_17, 766_18	959_19	 	936	935
Bifidobacterium bifidum BGN4 (484020.3)	1278	1280	1268_4	1270_5_6, 1270_5_6	1279_8	1295_9, 1296_22	1269_10	618_11	919_12	919_12	129	1357_17, 988_17	314_19, 759_19	 	 	783
Bifidobacterium bifidum LMG 13195 (1207542.3)	191	193	180_4	182_5_6, 182_5_6	192_8	209_9, 210_22	181_10	835_11	1396_12	1396_12	1501	702_17, 874_17	1341_19, 346_19	 	 	1092
Bifidobacterium breve CECT 7263 (1036735.3)	815	817	1333_4	807_5_6, 807_5_6	816_8	833_9, 834_22	1334_10	1530_11	705_12	705_12	1202	1368_17, 633_17	776_19	 	1727	1728
Bifidobacterium breve DPC 6330 (1074482.3)	1318	1316	1329_4	1327_5_6, 1327_5_6	1317_8	1294_15	1328_10	1907_11	1758_12	1758_12	847	1996_17, 597_17	1563_19	 	1654	1655
Bifidobacterium breve DSM 20213 = JCM 1192 (518634.7)	588	586	602_4	600_5_6, 600_5_6	587_8	568_22, 569_15	601_10	1631_11	1049_12	1049_12	153	1147_17, 1555_17	817_19	 	919	920
Bifidobacterium breve HPH0326 (1203540.3)	674	672	685_4	683_5_6, 683_5_6	673_8	656_22, 657_9	684_10	866_11	1741_12	1741_12	179	1653_17, 963_17	2053_19	 	2154, 2176	2155
Bifidobacterium catenulatum DSM 16992 = JCM 1194 (566552.6)	1587	1585	1600_4	1598_5_6, 1598_5_6	1586_8	1581_22, 1582_9	1599_10	1631_11	639_12	639_12	80	1204_17, 718_17	1473_19, 876_19	 	554, 870	869
Bifidobacterium longum subsp. infantis ATCC 15697 = JCM 1222 (391904.8)	2036	2038	 	2020_5_6, 2020_5_6	2037_8	2060_15	2019_10	696_11	1188_12	1188_12	128	1073_18, 588_17	1793_19	 	153, 1686	1685
Bifidobacterium longum subsp. longum 1-6B (1161744.3)	1821	1819	1840_4	1837_5_6, 1837_5_6	1820_8	1812_22, 1813_9	1838_10	952_11	1131_12	1131_12	1301	1027_17	605_19, 606_20	 	723	722
Bifidobacterium longum subsp. longum 2-2B (1161745.3)	390	388	1743_4	1488_5_6, 1488_5_6	389_8	380_22, 381_9	1741_10	1044_11	891_12	891_12	411	982_17	270_19	 	 	2173
Bifidobacterium longum subsp. longum 35B (1161904.3)	1771	1773	1923_4, 1924_4	1755_5_6, 1755_5_6	1772_8	1780_9, 1781_22	1921_10	942_11	763_12	763_12	1916	336_17	670_20, 671_19	 	 	1218
Bifidobacterium longum subsp. longum 44B (1161743.3)	472	474	452_4	455_5_6, 455_5_6	473_8	481_9, 482_22	454_10	908_11	770_12	770_12	247	2133_17	803_20, 804_19	 	2036	2037
Bifidobacterium longum subsp. longum CMCC P0001 (1266716.3)	722	724	10_4	7_5_6, 7_5_6	723_8	731_9, 732_22	8_10	303_11	951_12	951_12	1522	1354_17	1030_19	 	1091	1090
Bifidobacterium pseudocatenulatum DSM 20438 = JCM 1200 (547043.8)	48	50	43_4	45_5_6, 45_5_6	49_8	60_9, 61_22	44_10	11_11	1264_12	1264_12	1544	1178_17, 139_17	1069_19, 409_19	 	1075, 1144	1076
Bifidobacterium thermophilum RBL67 (1254439.12)	1194	1196	1179_4	1181_5_6, 1181_5_6	1195_8	1202_9, 1203_22	1180_10	1137_11	1040_12	1040_12	97	1000_17, 1287_17	303_19, 895_19	 	 	945
Atopobium minutum 10063974 (997872.3)	282	275	284_3	1289_5_6, 1289_5_6	283_8	279_22	140_10	144_11	121_12	121_12	273	783_17	1438_19	 	 	 
Collinsella tanakaei YIT 12063 (742742.3)	1799	1813	1796_3	2142_5_6, 2142_5_6	1797_8	1804_22	1997_10	1984_11	1178_12	1178_12	1814	508_17	1525_19, 1838_19	 	2116	540
Slackia piriformis YIT 12062 (742818.3)	318, 456	1744	76_3	1911_5_6, 1911_5_6	75_8	1663_22	1906_10, 455_10	1775_11	79_12	79_12	1743	166_17	343_19, 417_19	 	1567	1568
Bacteroides fragilis ATCC 25285 (272559.3)	1208, 2328	483	73_3	2776_5_6, 2776_5_6	756_8	3312_22	763_10	3790_11	2659_12, 3450_12	3450_12	2911	3204_17, 3487_17	698_19	 	3589	1612
Bacteroides caccae ATCC 43185 (411901.7)	1908, 416	1350	1446_3	2582_5_6, 2582_5_6	1691_8	304_22	1697_10	3176_11	3131_12, 382_12	3131_12	3586	3157_17	1756_19, 2444_19	 	3416	2198
Bacteroides caccae CL03T12C61 (997873.3)	2258, 901	4033	1759_4, 3925_3	2842_5_6, 2842_5_6	273_8	4743_22	279_10	35_11	2292_12, 3555_12	3555_12	2924	15_17	4093_19, 472_19	 	828	1393
