Organism	Nar	NarKU	Nap	NarB	Nas	NrtABC	NirK	NirS	NirA	NirBD	NirC	Nrf	Nor	NorZ	Hmp	Nos
Mycobacterium abscessus 5S-0422 (1001731.3)	 	3919_9	 	 	2089_34	 	 	 	 	3917_52, 3918_49	 	 	 	 	3187_87	 
Mycobacterium abscessus 5S-0708 (1001730.3)	 	2772_9	 	 	1737_34	 	 	 	 	2770_52, 2771_49	 	 	 	 	2228_87	 
Mycobacterium abscessus 5S-0817 (1001735.3)	 	2400_9	 	 	1303_34	 	 	 	 	2398_52, 2399_49	 	 	 	 	1905_87	 
Mycobacterium abscessus 5S-0921 (1001732.3)	 	3698_9	 	 	1963_34	 	 	 	 	3696_52, 3697_49	 	 	 	 	3206_87	 
Mycobacterium abscessus 5S-1212 (1001733.3)	 	2529_9	 	 	3_34	 	 	 	 	2527_52, 2528_49	 	 	 	 	2033_87	 
Mycobacterium abscessus 5S-1215 (1001734.3)	 	2874_9	 	 	1018_34	 	 	 	 	2872_52, 2873_49	 	 	 	 	2383_87	 
Mycobacterium abscessus 6G-0125-R (1001740.3)	 	2607_9	 	 	1499_34	 	 	 	 	2605_52, 2606_49	 	 	 	 	2205_87, 3365_87	 
Mycobacterium abscessus 6G-0212 (1001739.3)	 	3596_9	 	 	2491_34	 	 	 	 	3594_52, 3595_49	 	 	 	 	3195_87, 4352_87	 
Mycobacterium abscessus 9808 (1246644.3)	 	 	 	 	3215_34, 800_34	 	 	 	 	3788_52, 3789_49, 799_49	 	 	 	 	4721_87	 
Mycobacterium abscessus M115 (1162287.3)	 	4433_9	 	 	2324_37	 	 	 	 	4434_49, 4435_52	 	 	 	 	1675_87, 380_87	 
Mycobacterium abscessus M139 (1175632.3)	 	321_9	 	 	1323_34	 	 	 	 	319_52, 320_49	 	 	 	 	3087_87, 4199_87	 
Mycobacterium abscessus M152 (1176125.3)	 	1485_9	 	 	3813_34, 4496_34	 	 	 	 	4266_52, 4267_49, 4495_49	 	 	 	 	1178_87, 2309_87	 
Mycobacterium abscessus M154 (1162288.3)	 	2351_9	 	 	2953_34	 	 	 	 	2349_52, 2350_49	 	 	 	 	607_87, 705_87	 
Mycobacterium abscessus M156 (1185414.3)	 	391_9	 	 	4962_34	 	 	 	 	392_49, 393_52	 	 	 	 	3660_87, 717_87	 
Mycobacterium abscessus M159 (1162285.3)	 	3275_9	 	 	3579_34	 	 	 	 	3276_49, 3277_52	 	 	 	 	1410_87, 1984_87	 
Mycobacterium abscessus M172 (1162286.3)	 	1775_9	 	 	195_34	 	 	 	 	1776_49, 1777_52	 	 	 	 	1029_87, 931_87	 
Mycobacterium abscessus M24 (1162284.3)	 	4512_9	 	 	3050_37, 4111_37, 5088_34	 	 	 	 	4112_49, 4116_52, 4117_49	 	 	 	 	828_87	 
Mycobacterium abscessus M93 (1149134.5)	 	1335_9	 	 	130_37	 	 	 	 	1336_49, 1337_52	 	 	 	 	1792_87	 
Mycobacterium abscessus M94 (1158135.4)	 	5127_9	 	 	4576_37, 4577_34, 4578_34, 4599_34	 	 	 	 	4575_49, 5136_52	 	 	 	 	2282_87, 309_87	 
Mycobacterium abscessus subsp. bolletii 50594 (1303024.3)	 	3639_9	 	 	2433_37	 	 	 	 	3637_52, 3638_49	 	 	 	 	3151_87	 
Mycobacterium abscessus subsp. bolletii BD (1091046.3)	 	3403_9	 	 	2271_34	 	 	 	 	3401_52, 3402_49	 	 	 	 	2997_87	 
Mycobacterium fortuitum subsp. fortuitum DSM 46621 (1214102.3)	1212_3, 1213_4, 1214_2, 1215_1, 3061_1, 3062_2, 3063_4, 3064_3	1216_9, 2751_9, 3065_9	 	 	405_37, 4505_37	 	 	 	 	2755_52, 2756_49	 	 	 	1190	1063_87	 
Rhodococcus erythropolis XP (1078016.3)	6166_3, 6167_4, 6168_2, 6169_1	 	 	 	4045_37	 	 	 	 	4247_49, 4248_52	 	 	 	 	1799_87, 6409_87	 
Brevibacterium casei S18 (1229781.4)	 	 	 	 	 	 	 	 	 	 	 	 	 	 	2439_87	 
Brevibacterium massiliense 5401308 (1176165.3)	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
Brachybacterium paraconglomeratum LC44 (1064537.3)	3208_3, 3209_4, 3210_2, 3211_1	3212_9, 3214_9	 	 	2236_37	 	 	 	 	2237_49, 2843_52, 2844_49, 3224_49, 3225_52	 	 	 	 	1059_87	 
Curtobacterium flaccumfaciens UCD-AKU (1292022.3)	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
Microbacterium paraoxydans 77MFTsu3.2 (1151126.3)	 	 	 	 	 	 	 	 	 	2189_49, 2190_52	 	 	 	 	 	 
Kocuria palustris PEL (1236550.3)	411_3, 412_4, 413_2, 414_1	410_9	 	 	 	 	 	 	 	1806_52, 1807_49	 	 	 	 	1140_87	 
Rothia aeria F0474 (1125724.3)	787_1, 788_2, 789_4, 790_3	791_9, 792_9	 	 	 	 	 	865_43	 	1314_52, 1315_49	 	 	 	151	678_87	 
Rothia mucilaginosa M508 (563033.4)	431_1, 432_2, 433_4, 434_3	435_9	 	 	 	 	 	 	 	814_52, 816_49	 	 	 	1038	1577_87	 
Propionibacterium acidipropionici ATCC 4875 (1171373.8)	270_1, 271_2, 272_4, 273_3	267_11, 269_11	 	 	 	 	 	233_43	 	 	 	 	 	2668, 3118	 	 
Propionibacterium acnes C1 (1234380.3)	541_3, 542_4, 543_2, 544_1	545_9	 	 	 	 	 	101_43	 	 	 	 	 	2098	 	 
Propionibacterium acnes FZ1/2/0 (1276649.3)	537_3, 538_4, 539_2, 540_1	541_9	 	 	 	 	 	102_43	 	 	 	 	 	2038	 	 
Propionibacterium acnes HL096PA1 (1134454.3)	574_3, 575_4, 576_2, 577_1	578_9	 	 	 	 	 	104_43	 	 	 	 	 	2065	 	 
Propionibacterium acnes PRP-38 (1136877.3)	1241_3, 1242_4, 1243_2, 1244_1	1245_9	 	 	 	 	 	819_43	 	 	 	 	 	306	 	 
Propionibacterium avidum 44067 (1170318.3)	 	 	 	 	 	 	 	2079_43	 	 	 	 	 	 	 	 
Propionibacterium avidum ATCC 25577 (997355.3)	 	 	 	 	 	 	 	1108_43	 	 	 	 	 	 	 	 
Propionibacterium propionicum F0230a (767029.3)	766_1, 767_2, 768_4, 769_3	763_9, 764_9	 	 	 	 	 	804_43	 	 	 	1906_56, 1907_77	 	 	 	 
Bifidobacterium angulatum DSM 20098 = JCM 7096 (518635.7)	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
Bifidobacterium animalis subsp. animalis ATCC 25527 (703613.4)	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
Bifidobacterium animalis subsp. lactis B420 (1168290.3)	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
Bifidobacterium animalis subsp. lactis BS 01 (911598.3)	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
Bifidobacterium animalis subsp. lactis Bi-07 (742729.3)	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
Bifidobacterium bifidum BGN4 (484020.3)	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
Bifidobacterium bifidum LMG 13195 (1207542.3)	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
Bifidobacterium breve CECT 7263 (1036735.3)	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
Bifidobacterium breve DPC 6330 (1074482.3)	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
Bifidobacterium breve DSM 20213 = JCM 1192 (518634.7)	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
Bifidobacterium breve HPH0326 (1203540.3)	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
Bifidobacterium catenulatum DSM 16992 = JCM 1194 (566552.6)	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
Bifidobacterium longum subsp. infantis ATCC 15697 = JCM 1222 (391904.8)	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
Bifidobacterium longum subsp. longum 1-6B (1161744.3)	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
Bifidobacterium longum subsp. longum 2-2B (1161745.3)	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
Bifidobacterium longum subsp. longum 35B (1161904.3)	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
Bifidobacterium longum subsp. longum 44B (1161743.3)	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
Bifidobacterium longum subsp. longum CMCC P0001 (1266716.3)	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
Bifidobacterium pseudocatenulatum DSM 20438 = JCM 1200 (547043.8)	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
Bifidobacterium thermophilum RBL67 (1254439.12)	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
Atopobium minutum 10063974 (997872.3)	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
Collinsella tanakaei YIT 12063 (742742.3)	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
Slackia piriformis YIT 12062 (742818.3)	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
Bacteroides fragilis ATCC 25285 (272559.3)	 	 	 	 	 	 	 	 	 	 	 	7_78, 9_79	 	 	 	 
Bacteroides caccae ATCC 43185 (411901.7)	 	 	 	 	 	 	 	 	 	 	 	2300_78, 2302_79	 	 	 	 
Bacteroides caccae CL03T12C61 (997873.3)	 	 	 	 	 	 	 	 	 	 	 	2549_79, 2551_78	 	 	 	 
Bacteroides capillosus ATCC 29799 (411467.6)	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
Bacteroides cellulosilyticus CL02T12C19 (997874.3)	 	 	 	 	 	 	 	 	 	 	 	1371_77, 1372_56	 	 	 	 
Bacteroides cellulosilyticus DSM 14838 (537012.5)	 	 	 	 	 	 	 	 	 	 	 	3370_77, 3371_56, 3458_69, 3459_79	 	 	 	 
Bacteroides clarus YIT 12056 (762984.3)	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
Bacteroides coprocola DSM 17136 (470145.6)	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
Bacteroides coprophilus DSM 18228 (547042.5)	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
Bacteroides dorei CL02T00C15 (997875.3)	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
Bacteroides dorei CL02T12C06 (997876.3)	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
Bacteroides dorei CL03T12C01 (997877.3)	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
Bacteroides dorei DSM 17855 (483217.6)	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
Bacteroides eggerthii 1_2_48FAA (665953.3)	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
Bacteroides eggerthii DSM 20697 (483216.6)	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
Bacteroides faecis MAJ27 (1077285.3)	 	 	 	 	 	 	 	 	 	 	 	3892_79, 3893_56, 3894_77	 	 	 	 
Bacteroides finegoldii DSM 17565 (483215.6)	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
Bacteroides fluxus YIT 12057 (763034.3)	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
Bacteroides fragilis 3_1_12 (457424.5)	 	 	 	 	 	 	 	 	 	 	 	2548_69, 2549_79, 2550_56, 2551_77	 	 	 	 
Bacteroides fragilis CL03T00C08 (997878.3)	 	 	 	 	 	 	 	 	 	 	 	404_77, 405_56, 407_69	 	 	 	 
Bacteroides fragilis CL03T12C07 (997879.3)	 	 	 	 	 	 	 	 	 	 	 	930_77, 931_56, 933_69	 	 	 	 
Bacteroides fragilis CL05T00C42 (997880.3)	 	 	 	 	 	 	 	 	 	 	 	2067_77	 	 	 	 
Bacteroides fragilis CL05T12C13 (997881.3)	 	 	 	 	 	 	 	 	 	 	 	404_77	 	 	 	 
Bacteroides fragilis CL07T00C01 (997882.3)	 	 	 	 	 	 	 	 	 	 	 	2551_79, 2553_77	 	 	 	 
Bacteroides fragilis CL07T12C05 (997883.3)	 	 	 	 	 	 	 	 	 	 	 	487_77, 489_79	 	 	 	 
Bacteroides fragilis HMW 610 (1073386.3)	 	 	 	 	 	 	 	 	 	 	 	4333_56, 4334_77	 	 	 	 
Bacteroides fragilis HMW 615 (1073387.4)	 	 	 	 	 	 	 	 	 	 	 	785_79, 786_56, 787_77	 	 	 	 
Bacteroides fragilis HMW 616 (1073388.3)	 	 	 	 	 	 	 	 	 	 	 	4377_77, 4378_56	 	 	 	 
Bacteroides fragilis NCTC 9343 (272559.17)	 	 	 	 	 	 	 	 	 	 	 	354_78, 356_79	 	 	 	 
Bacteroides fragilis YCH46 (295405.11)	 	 	 	 	 	 	 	 	 	 	 	438_77, 439_56, 440_79, 441_69	 	 	 	 
Bacteroides intestinalis DSM 17393 (471870.8)	 	 	 	 	 	 	 	 	 	 	 	3371_79, 3375_78	 	 	 	 
Bacteroides massiliensis B84634 = Timone 84634 = DSM 17679 = JCM 13223 (1121098.4)	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
Bacteroides massiliensis dnLKV3 (1235788.3)	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
Bacteroides nordii CL02T12C05 (997884.3)	 	 	 	 	 	 	 	 	 	 	 	667_77, 668_56, 669_79	 	 	 	 
Bacteroides oleiciplenus YIT 12058 (742727.4)	 	 	 	 	 	 	 	 	 	 	 	3487_79, 3488_56, 3489_77	 	 	 	 
Bacteroides ovatus 3_8_47FAA (665954.3)	 	 	 	 	 	 	 	 	 	 	 	1816_69, 1818_56, 1819_77	 	 	 	 
Bacteroides ovatus ATCC 8483 (411476.11)	 	 	 	 	 	 	 	 	 	 	 	1281_69, 1282_79, 1283_56, 1284_77	 	 	 	 
Bacteroides ovatus CL02T12C04 (997885.3)	 	 	 	 	 	 	 	 	 	 	 	3294_69, 3295_79, 3296_56, 3297_77	 	 	 	 
Bacteroides ovatus CL03T12C18 (997886.3)	 	 	 	 	 	 	 	 	 	 	 	4401_77, 4402_56, 4404_69	 	 	 	 
Bacteroides ovatus SD CC 2a (702444.3)	 	 	 	 	 	 	 	 	 	 	 	4933_79, 4934_69, 807_56, 808_77, 840_56	 	 	 	 
Bacteroides pectinophilus ATCC 43243 (483218.5)	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
Bacteroides plebeius DSM 17135 (484018.6)	 	 	 	 	 	 	 	 	 	 	 	1429_77, 1430_56, 1431_79, 1432_69	 	 	 	 
Bacteroides salyersiae CL02T12C01 (997887.3)	 	 	 	 	 	 	 	 	 	 	 	117_56	 	 	 	 
Bacteroides salyersiae WAL 10018 = DSM 18765 = JCM 12988 (1121101.3)	 	 	 	 	 	 	 	 	 	 	 	562_56	 	 	 	 
Bacteroides sp. 1_1_14 (469585.3)	 	 	 	 	 	 	 	 	 	 	 	3070_77, 3071_56, 3072_79, 3073_69	 	 	 	 
Bacteroides sp. 1_1_30 (457387.3)	 	 	 	 	 	 	 	 	 	 	 	3103_69, 3104_79, 3105_56, 3106_77, 3142_56, 3143_60	 	 	 	 
Bacteroides sp. 1_1_6 (469586.3)	 	 	 	 	 	 	 	 	 	 	 	4454_69, 4455_79, 4456_56, 4457_77	 	 	 	 
Bacteroides sp. 20_3 (469591.4)	 	 	 	 	 	 	 	 	 	 	 	1476_77, 1477_56, 1478_79, 1479_69, 3115_56	 	 	 	 
Bacteroides sp. 2_1_22 (469588.3)	 	 	 	 	 	 	 	 	 	 	 	3847_69, 3848_79, 3849_56, 3850_77, 3883_56	 	 	 	 
Bacteroides sp. 2_1_33B (469589.3)	 	 	 	 	 	 	 	 	 	 	 	3823_69, 3824_79, 3825_56, 3826_77, 798_56	 	 	 	 
Bacteroides sp. 2_1_7 (457388.5)	 	 	 	 	 	 	 	 	 	 	 	4122_69, 4123_79, 4124_56, 4125_77	 	 	 	 
Bacteroides sp. 2_2_4 (469590.5)	 	 	 	 	 	 	 	 	 	 	 	471_69, 472_79, 473_56, 474_77	 	 	 	 
Bacteroides sp. 3_1_19 (469592.4)	 	 	 	 	 	 	 	 	 	 	 	1483_56, 3945_77, 3946_56, 3947_79, 3948_69	 	 	 	 
Bacteroides sp. 3_1_23 (457390.3)	 	 	 	 	 	 	 	 	 	 	 	1293_69, 1294_79, 1295_56, 1296_77	 	 	 	 
Bacteroides sp. 3_1_33FAA (457391.3)	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
Bacteroides sp. 3_1_40A (469593.3)	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
Bacteroides sp. 3_2_5 (457392.3)	 	 	 	 	 	 	 	 	 	 	 	735_69, 736_79, 738_77	 	 	 	 
Bacteroides sp. 4_1_36 (457393.3)	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
Bacteroides sp. 4_3_47FAA (457394.3)	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
Bacteroides sp. 9_1_42FAA (457395.6)	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
Bacteroides sp. D1 (556258.5)	 	 	 	 	 	 	 	 	 	 	 	2376_56, 2407_77, 2408_56, 2409_79, 2410_69	 	 	 	 
Bacteroides sp. D2 (556259.3)	 	 	 	 	 	 	 	 	 	 	 	3500_77, 3501_56, 3503_69	 	 	 	 
Bacteroides sp. D20 (585543.3)	 	 	 	 	 	 	 	 	 	 	 	2852_77, 2853_56, 2854_79, 2855_69	 	 	 	 
Bacteroides sp. D22 (585544.3)	 	 	 	 	 	 	 	 	 	 	 	2256_69, 2257_79, 2258_56, 2259_77, 2282_56	 	 	 	 
Bacteroides stercoris ATCC 43183 (449673.7)	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
Bacteroides stercoris CC31F (1073351.3)	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
Bacteroides thetaiotaomicron CL09T03C10 (997888.3)	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
Bacteroides thetaiotaomicron VPI-5482 (226186.12)	 	 	 	 	 	 	 	 	 	 	 	1449_79, 1451_78	 	 	 	 
Bacteroides thetaiotaomicron dnLKV9 (1235785.3)	 	 	 	 	 	 	 	 	 	 	 	479_77, 480_56	 	 	 	 
Bacteroides uniformis ATCC 8492 (411479.10)	 	 	 	 	 	 	 	 	 	 	 	3844_69, 3845_79, 3846_56, 3847_77	 	 	 	 
Bacteroides uniformis CL03T00C23 (997889.3)	 	 	 	 	 	 	 	 	 	 	 	221_79, 222_56, 223_77	 	 	 	 
Bacteroides uniformis CL03T12C37 (997890.3)	 	 	 	 	 	 	 	 	 	 	 	760_77, 761_56, 762_79	 	 	 	 
Bacteroides uniformis dnLKV2 (1235787.3)	 	 	 	 	 	 	 	 	 	 	 	3810_77, 3811_56, 3812_79, 3813_69	 	 	 	 
Bacteroides vulgatus ATCC 8482 (435590.9)	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
Bacteroides vulgatus EK4.2 (702445.3)	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
Bacteroides vulgatus PC510 (702446.3)	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
Bacteroides vulgatus dnLKV7 (1235786.3)	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
Bacteroides xylanisolvens CL03T12C04 (997892.3)	 	 	 	 	 	 	 	 	 	 	 	4052_56, 4053_77, 4090_56	 	 	 	 
Bacteroides xylanisolvens SD CC 1b (702447.3)	 	 	 	 	 	 	 	 	 	 	 	4075_56, 4106_77, 4107_56, 4108_79, 4109_69	 	 	 	 
Bacteroides xylanisolvens XB1A (657309.4)	 	 	 	 	 	 	 	 	 	 	 	3379_69, 3380_79, 3381_56, 3382_77, 3415_56	 	 	 	 
Barnesiella intestinihominis YIT 11860 (742726.3)	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
Butyricimonas synergistica DSM 23225 (1121129.3)	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
Dysgonomonas gadei ATCC BAA-286 (742766.3)	 	 	 	 	 	 	 	 	 	 	 	3815_69, 3816_79, 3817_56, 3818_60, 3819_77	 	 	 	 
Odoribacter laneus YIT 12061 (742817.3)	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
Odoribacter splanchnicus DSM 20712 (709991.3)	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
Parabacteroides distasonis ATCC 8503 (435591.13)	 	 	 	 	 	 	 	 	 	 	 	104_77, 105_56, 106_79, 107_69, 662_56	 	 	 	 
Parabacteroides distasonis CL03T12C09 (999416.3)	 	 	 	 	 	 	 	 	 	 	 	1955_56, 766_77, 767_56, 768_79, 769_69	 	 	 	 
Parabacteroides distasonis CL09T03C24 (999417.3)	 	 	 	 	 	 	 	 	 	 	 	2219_77, 2220_56, 2221_79, 2222_69, 629_56	 	 	 	 
Parabacteroides goldsteinii CL02T12C30 (999418.3)	 	 	 	 	 	 	 	 	 	 	 	1525_56, 5394_77, 5395_56	 	 	 	 
Parabacteroides goldsteinii dnLKV18 (1235789.3)	 	 	 	 	 	 	 	 	 	 	 	1942_56, 5518_77, 5519_56, 5520_79	 	 	 	 
Parabacteroides johnsonii CL02T12C29 (999419.3)	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
Parabacteroides johnsonii DSM 18315 (537006.5)	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
Parabacteroides merdae ATCC 43184 (411477.4)	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
Parabacteroides merdae CL03T12C32 (999420.3)	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
Parabacteroides sp. D13 (563193.3)	 	 	 	 	 	 	 	 	 	 	 	1432_56, 4091_77, 4092_56, 4093_79, 4094_69	 	 	 	 
Porphyromonas asaccharolytica DSM 20707 (879243.3)	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
Porphyromonas asaccharolytica PR426713P-I (910312.3)	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
Porphyromonas endodontalis ATCC 35406 (553175.3)	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
Porphyromonas gingivalis ATCC 33277 (431947.7)	 	 	 	 	 	 	 	 	 	 	 	1721_78	 	 	 	 
Porphyromonas gingivalis TDC60 (1030843.3)	 	 	 	 	 	 	 	 	 	 	 	64_77, 65_56, 66_79, 67_69	 	 	 	 
Porphyromonas gingivalis W83 (242619.8)	 	 	 	 	 	 	 	 	 	 	 	1682_69, 1683_79, 1684_79, 1685_56, 1686_78	 	 	 	 
Porphyromonas somerae DSM 23386 (1122975.3)	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
Porphyromonas uenonis 60-3 (596327.3)	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
Tannerella forsythia ATCC 43037 (203275.8)	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
Paraprevotella clara YIT 11840 (762968.3)	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
Paraprevotella xylaniphila YIT 11841 (762982.3)	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
Prevotella bivia DSM 20514 (868129.3)	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
Prevotella bryantii B14 (752555.5)	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
Prevotella buccae ATCC 33574 (873513.3)	 	 	 	 	 	 	 	 	 	 	 	2587_77, 2588_56	 	 	 	 
Prevotella buccae D17 (575611.3)	 	 	 	 	 	 	 	 	 	 	 	851_77, 852_56	 	 	 	 
Prevotella conceptionensis 9403948 (1197728.3)	 	 	 	 	 	 	 	 	 	 	 	1075_77, 1076_56	 	803	 	 
Prevotella denticola CRIS 18C-A (944557.3)	 	 	 	 	 	 	 	 	 	 	 	2537_56, 2538_77	 	 	 	1880_96, 1882_92, 1885_89
Prevotella denticola F0289 (767031.3)	 	 	 	 	 	 	 	 	 	 	 	1275_56, 1276_77	 	 	 	512_89
Prevotella disiens FB035-09AN (866771.4)	 	 	 	 	 	 	 	 	 	 	 	1210_77, 1211_56	 	 	 	 
Prevotella intermedia 17 (246198.10)	 	 	 	 	 	 	 	 	 	 	 	1901_77, 1902_56	 	 	 	 
Prevotella melaninogenica ATCC 25845 (553174.6)	 	 	 	 	 	 	 	 	 	 	 	757_56, 758_77	 	 	 	 
Prevotella melaninogenica D18 (575612.3)	 	 	 	 	 	 	 	 	 	 	 	1958_77, 1959_56	 	 	 	 
Prevotella nanceiensis DSM 19126 (1122988.3)	 	 	 	 	 	 	 	 	 	 	 	1126_77, 1127_56	 	2226	 	 
Prevotella nigrescens ATCC 33563 (997352.4)	 	 	 	 	 	 	 	 	 	 	 	212_77, 213_56	 	 	 	 
Prevotella nigrescens F0103 (702439.3)	 	 	 	 	 	 	 	 	 	 	 	1131_77, 1132_56	 	 	 	 
Prevotella oralis ATCC 33269 (873533.3)	 	 	 	 	 	 	 	 	 	 	 	1137_78	 	 	 	 
Prevotella oralis HGA0225 (1203550.3)	 	 	 	 	 	 	 	 	 	 	 	1680_78	 	 	 	 
Prevotella pallens ATCC 700821 (997353.4)	 	 	 	 	 	 	 	 	 	 	 	1146_56, 1147_77	 	 	 	 
Prevotella ruminicola 23 (264731.4)	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
Prevotella salivae DSM 15606 (888832.3)	 	 	 	 	 	 	 	 	 	 	 	2472_77, 2473_56, 2474_79, 2475_69	 	 	 	 
Prevotella stercorea DSM 18206 (1002367.3)	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
Prevotella timonensis CRIS 5C-B1 (679189.3)	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
Prevotella veroralis DSM 19559 (1122993.3)	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	974_96, 976_92, 977_95, 979_89
Prevotella veroralis F0319 (649761.3)	 	 	 	 	 	 	 	 	 	 	 	68_77, 69_56	 	 	 	 
Alistipes finegoldii DSM 17242 (679935.3)	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
Alistipes indistinctus YIT 12060 (742725.3)	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
Alistipes onderdonkii DSM 19147 (1120974.3)	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
Alistipes putredinis DSM 17216 (445970.5)	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
Alistipes shahii WAL 8301 (717959.3)	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
Rudanella lutea DSM 19387 (1089547.3)	 	4379_9	 	 	4380_34	 	 	762_43	 	4375_52, 4376_49	 	 	 	4934	 	4923_96, 4924_93, 4925_92, 4927_89
Capnocytophaga ochracea DSM 7271 (521097.5)	 	 	 	 	 	 	 	 	 	 	 	1079_78, 1081_79	 	1553	 	 
Capnocytophaga ochracea F0287 (873517.3)	 	 	 	 	 	 	 	 	 	 	 	1717_77, 1718_56, 1719_79, 1720_69	 	734	 	 
Capnocytophaga sputigena ATCC 33612 (553177.6)	 	1962_9, 1963_9	 	 	1965_34	 	 	499_43	 	 	 	309_77, 310_56, 311_79, 312_69	 	1914	 	 
Capnocytophaga granulosa ATCC 51502 (641143.3)	 	 	 	 	 	 	 	653_43	 	 	 	182_77, 183_56, 184_79, 185_69	 	1619	 	1128_96, 1129_93, 1130_92, 1131_95, 1133_89
Capnocytophaga ochracea str. Holt 25 (1125719.3)	 	 	 	 	 	 	 	 	 	 	 	1505_69, 1506_79, 1507_56, 1508_77	 	2134	 	 
