Organism	FolE	FolQ	FolB	FolK	FolP	DHFS	DHFR	FPGS	pabAab	pabAc	FolT
Mycobacterium abscessus 4S-0726-RB (1001727.3)	4765_1	 	4767_7	4768	4766	1002_11_19	2325_12	1002_11_19	4295_21, 522_22	171	 
Mycobacterium abscessus 5S-0304 (1001728.3)	4705_1	 	4707_7	4708	4706	585_11_19	2258_12	585_11_19	4251_21, 81_22	4902	 
Mycobacterium abscessus 5S-0421 (1001729.3)	4938_1	 	4940_7	4941	4939	839_11_19	2509_12	839_11_19	336_22, 4486_21	5134	 
Mycobacterium abscessus 5S-0422 (1001731.3)	3293_1	 	3291_7	3290	3292	1534_11_19	3145_12	1534_11_19	85_21, 906_22	489	 
Mycobacterium abscessus 5S-0708 (1001730.3)	207_1	 	209_7	210	208	1051_11_19	5188_12	1051_11_19	2085_22, 4229_21	404	 
Mycobacterium abscessus 5S-0817 (1001735.3)	4311_1	 	4313_7	4314	4312	618_11_19	1864_12	618_11_19	127_22, 3855_21	4508	 
Mycobacterium abscessus 5S-0921 (1001732.3)	381_1	 	383_7	384	382	1277_11_19	3165_12	1277_11_19	5160_21, 775_22	579	 
Mycobacterium abscessus 5S-1212 (1001733.3)	5018_1	 	5016_7	5015	5017	993_11_19	1991_12	993_11_19	3989_21, 502_22	4820	 
Mycobacterium abscessus 5S-1215 (1001734.3)	211_1	 	213_7	214	212	1420_11_19	2341_12	1420_11_19	1924_22, 4256_21	409	 
Mycobacterium abscessus 6G-0125-R (1001740.3)	4623_1	 	4625_7	4626	4624	661_11_19	2158_12	661_11_19	179_22, 4101_21	4816	 
Mycobacterium abscessus 6G-0212 (1001739.3)	507_1	 	509_7	510	508	1654_11_19	3149_12	1654_11_19	1173_22, 5091_21	702	 
Mycobacterium abscessus 9808 (1246644.3)	1300_1	 	1302_7	1303	1301	2459_11_19	4674_12	2459_11_19	1947_22, 765_21	1492	 
Mycobacterium abscessus M115 (1162287.3)	4765_1	 	4767_7	4768	4766	3252_11_19	1722_12	3252_11_19	1257_21, 4233_22	2859	 
Mycobacterium abscessus M139 (1175632.3)	2740_1	 	2738_7	2737	2739	2113_11_19	3044_12	2113_11_19	3775_21, 4946_22	2650	 
Mycobacterium abscessus M152 (1176125.3)	130_1	 	128_7	127	129	949_11_19	1131_12	949_11_19	2357_21, 4644_22	2686	 
Mycobacterium abscessus M154 (1162288.3)	4133_1	 	4131_7	4130	4132	1701_11_19	560_12	1701_11_19	4088_21, 4365_22	3812	 
Mycobacterium abscessus M156 (1185414.3)	1763_1	 	1761_7	1760	1762	1495_11_19	3707_12	1495_11_19	1190_21, 3570_22	4725	 
Mycobacterium abscessus M159 (1162285.3)	1199_1	 	1201_7	1202	1200	2836_11_19	2031_12	2836_11_19	1043_21, 26_22	1074	 
Mycobacterium abscessus M172 (1162286.3)	3564_1	 	3566_7	3567	3565	3013_11_19	884_12	3013_11_19	3996_22, 5172_21	5091	 
Mycobacterium abscessus M24 (1162284.3)	5201_1	 	5203_7	4868	5202	2337_11_19	1044_12	2337_11_19	1613_21, 5194_22	5053	 
Mycobacterium abscessus M93 (1149134.5)	2983_1	 	2981_7	2980	2982	3995_11_19	1839_12	3995_11_19	2607_21, 2629_22	4554	 
Mycobacterium abscessus M94 (1158135.4)	783_1	 	781_7	780	782	1390_11_19	4130_12	1390_11_19	1098_22, 1622_21	1047	 
Mycobacterium abscessus subsp. bolletii 50594 (1303024.3)	548_1	 	550_7	551	549	1769_11_19	3104_12	1769_11_19	1191_22, 31_21	749	 
Mycobacterium abscessus subsp. bolletii BD (1091046.3)	435_1	 	437_7	438	436	1586_11_19	2950_12	1586_11_19	1102_22, 4983_21	636	 
Mycobacterium fortuitum subsp. fortuitum DSM 46621 (1214102.3)	5883_1	 	5881_7	5880	492, 5882	4655_11_19	1634_12, 1690_12, 3704_12	4655_11_19	3118_22, 3316_21	3451	 
Rhodococcus erythropolis XP (1078016.3)	2989_1	 	2991_7	2992	2990	5750_11_19	4066_12, 4432_12, 5063_12, 5398_12, 5660_12, 5870_12, 694_12	5750_11_19	2327_21, 3901_21_22, 3901_21_22	1053	 
Brevibacterium casei S18 (1229781.4)	3099_1	 	 	 	3100	469_11_19	267_12, 2706_12, 2737_12	469_11_19	2038_21_22, 2038_21_22	2044	 
Brevibacterium massiliense 5401308 (1176165.3)	545_1	 	 	547	33, 546	1395_11_19	 	1395_11_19	 	 	 
Brachybacterium paraconglomeratum LC44 (1064537.3)	1951_1	 	 	1953	1952	2249_11_19	149_12, 1704_12, 211_12, 2858_12, 797_12, 798_12	2249_11_19	3004_22, 331_21	1657, 3004_22	 
Curtobacterium flaccumfaciens UCD-AKU (1292022.3)	854_1	 	578_7	 	579	2067_11_19	1997_12, 3226_12, 596_12	2067_11_19	701_21	2029	 
Microbacterium paraoxydans 77MFTsu3.2 (1151126.3)	284_1	 	282_7	281	283	1113_11_19	212_12, 2311_12, 764_12	1113_11_19	1136_22, 2376_21	1671	 
Kocuria palustris PEL (1236550.3)	347_1	 	345_7	344	346	587_11_19	2294_12	587_11_19	2322_21	1166	 
Rothia aeria F0474 (1125724.3)	1481_1	 	1491_7	1492	1490	1302_11_19	745_12	1302_11_19	1411_21_22, 1411_21_22, 7_21	1211	 
Rothia mucilaginosa M508 (563033.4)	163_1	 	166_7	167	165	821_11_19	395_12	821_11_19	1775_21, 93_21_22, 93_21_22	1317	 
Propionibacterium acidipropionici ATCC 4875 (1171373.8)	2798_1	 	 	2795	2797	1318_11_19	1085_12, 1086_12, 1710_12, 2346_12, 2348_12, 2636_12	1318_11_19	572_21	2821, 2851, 306, 3231	 
Propionibacterium acnes C1 (1234380.3)	291_1	 	300_7	301	299	908_11_19	1781_12	908_11_19	2099_21_22, 2099_21_22	2394	 
Propionibacterium acnes FZ1/2/0 (1276649.3)	285_1	 	296_7	297	295	866_11_19	1726_12	866_11_19	2039_21_22, 2039_21_22	2330	 
Propionibacterium acnes HL096PA1 (1134454.3)	324_1	 	334_7	335	333	1440_11_19	1751_12	1440_11_19	2066_21_22, 2066_21_22	2357	 
Propionibacterium acnes PRP-38 (1136877.3)	996_1	 	1005_7	1006	1004	1568_11_19	8_12	1568_11_19	307_21_22, 307_21_22	609	 
Propionibacterium avidum 44067 (1170318.3)	1888_1	 	1880_7	1879	1881	1391_11_19	531_12	1391_11_19	1995_21, 233_21_22, 233_21_22	2263	 
Propionibacterium avidum ATCC 25577 (997355.3)	1308_1	 	1315_7	1316	1314	2078_11_19	274_12	2078_11_19	586_21_22, 586_21_22	929	 
Propionibacterium propionicum F0230a (767029.3)	398_1	 	400_7	401	399	1785_11_19	961_12	1785_11_19	2656_21	 	 
Bifidobacterium angulatum DSM 20098 = JCM 7096 (518635.7)	1563_1	 	1565_7	1565_7	1564	573_11_19	1305_12	573_11_19	 	 	1150_27
Bifidobacterium animalis subsp. animalis ATCC 25527 (703613.4)	 	 	522_7	522_7	 	1174_11_19	489_12	1174_11_19	 	 	1066_27
Bifidobacterium animalis subsp. lactis B420 (1168290.3)	 	 	499_7	499_7	 	1157_11_19	461_12	1157_11_19	 	 	 
Bifidobacterium animalis subsp. lactis BS 01 (911598.3)	 	 	549_7	549_7	 	1218_11_19	511_12	1218_11_19	 	 	 
Bifidobacterium animalis subsp. lactis Bi-07 (742729.3)	 	 	499_7	499_7	 	1157_11_19	461_12	1157_11_19	 	 	 
Bifidobacterium bifidum BGN4 (484020.3)	1406_1	 	1404_7	1404_7	1405	553_11_19	1443_12	553_11_19	697_22	698	 
Bifidobacterium bifidum LMG 13195 (1207542.3)	749_1	 	747_7	747_7	748	1170_11_19	1814_12	1170_11_19	1611_22	1610	 
Bifidobacterium breve CECT 7263 (1036735.3)	1395_1	 	1393_7	1393_7	1394	944_11_19	1466_12	944_11_19	 	196	1834_27
Bifidobacterium breve DPC 6330 (1074482.3)	2023_1	 	2020_7	2020_7	2021	416_11_19	24_12	416_11_19	 	1006	1955_27
Bifidobacterium breve DSM 20213 = JCM 1192 (518634.7)	1528_1	 	1531_7	1531_7	1530	1827_11_19	1499_12	1827_11_19	 	311	 
Bifidobacterium breve HPH0326 (1203540.3)	991_1	 	989_7	989_7	990	1418_11_19	1051_12	1418_11_19	 	331	917_27
Bifidobacterium catenulatum DSM 16992 = JCM 1194 (566552.6)	1163_1	 	1165_7	1165_7	1164	399_11_19	1149_12	399_11_19	 	 	1681_27
Bifidobacterium longum subsp. infantis ATCC 15697 = JCM 1222 (391904.8)	553_1	 	555_7	555_7	554	916_11_19	2220_12	916_11_19	397_22	396, 397_22	2348_27
Bifidobacterium longum subsp. longum 1-6B (1161744.3)	449_1	 	447_7	447_7	448	369_11_19	466_12	369_11_19	 	2015	20_27
Bifidobacterium longum subsp. longum 2-2B (1161745.3)	472_1	 	470_7	470_7	471	1973_11_19, 441_11_19	489_12	1973_11_19, 441_11_19	 	363	1081_27
Bifidobacterium longum subsp. longum 35B (1161904.3)	1958_1	 	1960_7	1960_7	1959	1095_11_19, 731_11_19	229_12	1095_11_19, 731_11_19	 	1799	905_27
Bifidobacterium longum subsp. longum 44B (1161743.3)	1643_1	 	1645_7	1645_7	1644	1039_11_19	1626_12	1039_11_19	 	499	 
Bifidobacterium longum subsp. longum CMCC P0001 (1266716.3)	1272_1	 	1274_7	1274_7	1273	452_11_19	1185_12	452_11_19	908_22	909	556_27
Bifidobacterium pseudocatenulatum DSM 20438 = JCM 1200 (547043.8)	191_1	 	189_7	189_7	190	622_11_19	212_12	622_11_19	 	 	1851_27
Bifidobacterium thermophilum RBL67 (1254439.12)	1330_1	 	1328_7, 1331_7	1331_7	1329	657_11_19	1347_12	657_11_19	 	1218	 
Atopobium minutum 10063974 (997872.3)	659_1	 	 	321	321	660_11_19	676_12	660_11_19	 	 	1016_26, 457_27
Collinsella tanakaei YIT 12063 (742742.3)	52_1	53_6	54_7	1008	1008	520_11_19	480_12	520_11_19	 	 	1417_27, 1418_26, 610_26, 978_27, 979_26
Slackia piriformis YIT 12062 (742818.3)	1643_1	 	 	 	1596	1262_11_19	 	1262_11_19	 	 	121_26, 1319_27, 1320_26, 1452_26
Bacteroides fragilis ATCC 25285 (272559.3)	3422_1	 	4098_7	407	211	2843_11_19	1658_12, 3889_12	2843_11_19	2228_22, 2646_21	2229	 
Bacteroides caccae ATCC 43185 (411901.7)	1496_1	 	2856_7, 3400_8	1308, 643	3021	2402_11_19	2984_12	2402_11_19	395_21, 632_22	631	 
Bacteroides caccae CL03T12C61 (997873.3)	87_1	 	4260_7, 812_8	1913, 4071	3650	2392_11_19	4380_12, 995_12	2392_11_19	1974_22, 2278_21	1975	 
Bacteroides capillosus ATCC 29799 (411467.6)	 	 	 	 	 	 	3306_12, 3381_12	 	 	 	1820_27, 1821_27, 1822_26, 1847_25
Bacteroides cellulosilyticus CL02T12C19 (997874.3)	4927_1	 	5084_7	1691, 4338	2390	1530_11_19	1235_12, 3995_12, 5153_12	1530_11_19	4560_22, 4698_21	4559	 
Bacteroides cellulosilyticus DSM 14838 (537012.5)	681_1	 	745_7	1806, 4178	1042	513_11_19	843_12	513_11_19	3651_21, 4337_22, 4338_22	4336	 
Bacteroides clarus YIT 12056 (762984.3)	2469_1	 	1045_8, 2816_7	1763, 773	1573	1414_11_19	2936_12	1414_11_19	2689_22, 3103_21	2688	 
Bacteroides coprocola DSM 17136 (470145.6)	2610_1	 	923_7	2537, 447	3290	3091_11_19	404_12, 901_12	3091_11_19	2941_22, 3582_21	2942	 
Bacteroides coprophilus DSM 18228 (547042.5)	2034_1	 	3264_7	2204, 288	265	3048_11_19	1934_12, 3111_12	3048_11_19	1282_22, 2411_21	1283	 
Bacteroides dorei CL02T00C15 (997875.3)	3483_1	 	1498_7	2972, 3921	3536	662_11_19	1124_12, 2088_12, 857_12, 928_12	662_11_19	1603_21, 781_22	780	 
Bacteroides dorei CL02T12C06 (997876.3)	4205_1	 	2388_7	1622, 3513	4262	986_11_19	1181_12, 2974_12, 4967_12, 5162_12	986_11_19	1105_22, 2497_21	1104	 
Bacteroides dorei CL03T12C01 (997877.3)	4449_1	 	1853_7	110, 2653	4393	1306_11_19	4277_12	1306_11_19	1395_22, 1963_21	1394	 
Bacteroides dorei DSM 17855 (483217.6)	1163_1	 	554_7	2389	1110	3470_11_19	 	3470_11_19	3359_22, 701_21	3360	 
Bacteroides eggerthii 1_2_48FAA (665953.3)	1988_1	 	1937_7	1012, 2693	766	3013_11_19	1809_12, 3152_12	3013_11_19	1508_22, 3137_21	1507	 
Bacteroides eggerthii DSM 20697 (483216.6)	109_1	 	168_7	2185, 3073	3316	1317_11_19	294_12	1317_11_19	1432_21, 1482_22	1481	 
Bacteroides faecis MAJ27 (1077285.3)	1395_1	 	4685_7	721	1118	3775_11_19	2281_12, 4561_12	3775_11_19	3291_22, 3636_21	3290	 
Bacteroides finegoldii DSM 17565 (483215.6)	727_1	 	1625_7	2798, 3557	2834	4134_11_19	1525_12, 2403_12	4134_11_19	1714_21, 1715_22	 	 
Bacteroides fluxus YIT 12057 (763034.3)	2257_1	 	1471_8, 232_7	2384, 25	3022	899_11_19	1115_12	899_11_19	1371_22, 3307_21	1370	 
Bacteroides fragilis 3_1_12 (457424.5)	3709_1	 	3611_7, 3813_8	1245, 2866	2517	2991_11_19	1044_12, 3511_12	2991_11_19	1255_22, 1631_21	1256	 
Bacteroides fragilis 638R (862962.3)	3949_1	 	3833_7	2380, 58	474	2940_11_19	1393_12, 3682_12, 4626_12	2940_11_19	2391_22, 2754_21	2392	 
Bacteroides fragilis CL03T00C08 (997878.3)	4058_1	 	3935_7	108, 2259	442	2773_11_19	1387_12, 2949_12, 3765_12	2773_11_19	2269_22, 2588_21	2270	 
Bacteroides fragilis CL03T12C07 (997879.3)	2894_1	 	2767_7	3401, 635	967	1608_11_19	1782_12, 2599_12, 4190_12	1608_11_19	3413_22, 3730_21	3414	 
Bacteroides fragilis CL05T00C42 (997880.3)	3070_1	 	2973_7	1671, 3852	2105	2418_11_19	3605_12, 770_12, 868_12	2418_11_19	3842_22, 4432_21	3841	 
Bacteroides fragilis CL05T12C13 (997881.3)	3911_1	 	4011_7	109, 3382	443	4468_11_19	1282_12, 1382_12, 3109_12	4468_11_19	3372_22, 4213_21	3371	 
Bacteroides fragilis CL07T00C01 (997882.3)	4088_1	 	3910_7	2902, 600	2516	4214_11_19	3695_12	4214_11_19	590_22, 82_21	589	 
Bacteroides fragilis CL07T12C05 (997883.3)	3689_1	 	3510_7	134, 2438	525	3815_11_19	3293_12	3815_11_19	2448_22, 2956_21	2449	 
Bacteroides fragilis HMW 610 (1073386.3)	2215_1	 	1845_8, 2090_7	4681, 472	4298	1064_11_19	1968_12	1064_11_19	482_22, 867_21	483	 
Bacteroides fragilis HMW 615 (1073387.4)	4297_1	 	4167_7	1100, 2974	749	2344_11_19	4062_12	2344_11_19	2530_21, 2964_22	2963	 
Bacteroides fragilis HMW 616 (1073388.3)	3386_1	 	2972_8, 3266_7	1674, 4108	4413	2324_11_19	3107_12	2324_11_19	1684_22, 2101_21	1685	 
Bacteroides fragilis NCTC 9343 (272559.17)	3810_1	 	3696_7	2273, 68	392	2872_11_19	1235_12, 1698_12, 3598_12	2872_11_19	2337_22, 2687_21	2338	 
Bacteroides fragilis YCH46 (295405.11)	3800_1	 	3678_7	2163, 97	473	2853_11_19	2769_12, 3584_12	2853_11_19	2173_22, 2563_21	2174	 
Bacteroides intestinalis DSM 17393 (471870.8)	120_1	 	279_7	2113, 964	638	3270_11_19	3571_12, 4720_12	3270_11_19	1784_21, 1901_22	1902	 
Bacteroides massiliensis B84634 = Timone 84634 = DSM 17679 = JCM 13223 (1121098.4)	2979_1	 	1083_8, 712_7	1401, 166	2955	3022_11_19	1976_12	3022_11_19	2726_21, 3006_22	3005	 
Bacteroides massiliensis dnLKV3 (1235788.3)	1092_1	 	2689_7, 4437_8	3340, 444	1025	2520_11_19	1899_12, 2380_12, 2916_12	2520_11_19	1358_21, 2654_22	2653	 
Bacteroides nordii CL02T12C05 (997884.3)	3716_1	 	3783_7	2509, 370	729	3629_11_19	1309_12, 974_12	3629_11_19	2049_21, 2526_22	2525	 
Bacteroides oleiciplenus YIT 12058 (742727.4)	2989_1	 	3159_7	2564, 357	1994	4858_11_19	3264_12	4858_11_19	237_22, 98_21	238	 
Bacteroides ovatus 3_8_47FAA (665954.3)	3211_1	 	4179_7	488, 989	2831	1530_11_19	4313_12	1530_11_19	1355_21, 922_22	921	 
Bacteroides ovatus ATCC 8483 (411476.11)	1415_1	 	2690_7, 4475_8	219	2938	926_11_19	1899_12	926_11_19	236_22, 3218_21	237	 
Bacteroides ovatus CL02T12C04 (997885.3)	6283_1	 	4089_7	449, 4935	4403	3198_11_19	1897_12, 3925_12, 5940_12	3198_11_19	107_21, 518_22	519	 
Bacteroides ovatus CL03T12C18 (997886.3)	1460_1	 	3807_7	3158, 661	1164	5326_11_19	2487_12, 3618_12, 3643_12, 5511_12	5326_11_19	2851_21, 3226_22	3227	 
Bacteroides ovatus SD CC 2a (702444.3)	3111_1	 	38_7, 3830_8	1289, 2540	2489	2954_11_19	1179_12, 3392_12, 752_12	2954_11_19	4189_21, 4395_22	4394	 
Bacteroides pectinophilus ATCC 43243 (483218.5)	 	 	 	 	 	1401_11_19	2288_12	1401_11_19	 	 	2307_25
Bacteroides plebeius DSM 17135 (484018.6)	3485_1	 	1736_7	1000, 250	198	2012_11_19	2800_12	2012_11_19	3022_21, 3134_22	3135	 
Bacteroides salyersiae CL02T12C01 (997887.3)	4295_1	 	4351_7	1683	1239	4200_11_19	3978_12, 4522_12, 4779_12	4200_11_19	2679_21, 3091_22	3090	 
Bacteroides salyersiae WAL 10018 = DSM 18765 = JCM 12988 (1121101.3)	3994_1	 	3939_7	1872	1495	3036_11_19	1270_12, 3866_12, 454_12	3036_11_19	125_21, 3457_22	3458	 
Bacteroides sp. 1_1_14 (469585.3)	1704_1	 	685_7	3827	3580	3150_11_19	1949_12	3150_11_19	2517_22, 4159_21	2518	 
Bacteroides sp. 1_1_30 (457387.3)	1893_1	 	1095_7	1584, 92	2715	3012_11_19	1241_12, 448_12, 980_12	3012_11_19	151_22, 685_21	152	 
Bacteroides sp. 1_1_6 (469586.3)	2493_1	 	4206_7	1879	3448	5001_11_19	3283_12, 3833_12	5001_11_19	1021_21, 700_22	699	 
Bacteroides sp. 20_3 (469591.4)	3528_1	 	1369_7	2238, 4520	241	3073_11_19	843_12	3073_11_19	2586_22, 3197_21	2587	 
Bacteroides sp. 2_1_22 (469588.3)	3144_1	 	1421_7, 3707_8	2049, 427	1130	3758_11_19	1633_12	3758_11_19	1807_21, 2058_22	2059	 
Bacteroides sp. 2_1_33B (469589.3)	2337_1	 	3897_7	1241, 2982	2029	758_11_19	1433_12, 259_12	758_11_19	369_22, 881_21	370	 
Bacteroides sp. 2_1_7 (457388.5)	3539_1	 	4195_7	2494, 2583	200	1669_11_19	1386_12, 728_12	1669_11_19	1171_22, 1796_21	1172	 
Bacteroides sp. 2_2_4 (469590.5)	4035_1	 	3101_7	1429, 4608	3529	4849_11_19	1154_12, 2999_12, 3217_12	4849_11_19	3761_21, 4590_22	4589	 
Bacteroides sp. 3_1_19 (469592.4)	2663_1, 3108_1	 	3845_7	1941, 2733	234	1527_11_19	643_12	1527_11_19	1399_21, 3000_22	3001	 
Bacteroides sp. 3_1_23 (457390.3)	4041_1	 	3364_7	2098, 491	2816	3947_11_19	1105_12, 3486_12	3947_11_19	473_22, 4736_21	472	 
Bacteroides sp. 3_1_33FAA (457391.3)	3541_1	 	1762_7	1895, 2758	3652	792_11_19	4010_12, 953_12	792_11_19	1664_21, 880_22	879	 
Bacteroides sp. 3_1_40A (469593.3)	2760_1, 477_1	 	3324_7	1111, 855	422	2386_11_19	2072_12, 4475_12	2386_11_19	2581_22, 3435_21	2582	 
Bacteroides sp. 3_2_5 (457392.3)	3272_1	 	3161_7	1060, 2429	701	1711_11_19	3014_12, 4215_12	1711_11_19	2439_22, 3958_21	2440	 
Bacteroides sp. 4_1_36 (457393.3)	2117_1	 	2022_7	1236, 337	819	2933_11_19	1907_12	2933_11_19	2288_21, 3491_22	3492	 
Bacteroides sp. 4_3_47FAA (457394.3)	1635_1	 	708_7	1281, 572	1689	1934_11_19	2086_12, 3539_12	1934_11_19	2326_22, 813_21	2327	 
Bacteroides sp. 9_1_42FAA (457395.6)	3924_1	 	473_7	2650, 3499	3975	2368_11_19	3813_12, 4446_12	2368_11_19	2458_22, 368_21	2457	 
Bacteroides sp. D1 (556258.5)	2995_1	 	1927_8, 2609_7	263, 2888	1968	4560_11_19	3243_12	4560_11_19	2897_22, 3738_21	2898	 
Bacteroides sp. D2 (556259.3)	1579_1, 4252_1	 	1077_8, 3904_7	1874, 4592	2615	3604_11_19	139_12, 3774_12, 759_12	3604_11_19	4702_22, 5074_21	4703	 
Bacteroides sp. D20 (585543.3)	2299_1	 	2396_7	2076, 3447	1579	2898_11_19	2466_12	2898_11_19	3070_21, 508_22	509	 
Bacteroides sp. D22 (585544.3)	668_1	 	107_7, 2020_8	1654, 3810	2160	4617_11_19	197_12, 2549_12, 3515_12, 4441_12	4617_11_19	1671_22, 3330_21	1672	 
Bacteroides stercoris ATCC 43183 (449673.7)	3257_1	 	1407_8, 2856_7	1150, 2037	2315	855_11_19	2757_12	855_11_19	2991_22, 654_21	2992	 
Bacteroides stercoris CC31F (1073351.3)	1353_1, 1502_1	 	1788_7	3108, 342	645	2250_11_19	1690_12, 2116_12, 2364_12	2250_11_19	1920_22, 3216_21	1921	 
Bacteroides thetaiotaomicron CL09T03C10 (997888.3)	4036_1	 	2922_7	2039, 2497	3332	955_11_19	2792_12, 3691_12	955_11_19	3873_22, 3874_21	 	 
Bacteroides thetaiotaomicron VPI-5482 (226186.12)	3996_1	 	2213_7	3279	3706	1365_11_19	101_12, 2105_12	1365_11_19	531_21, 784_22	785	 
Bacteroides thetaiotaomicron dnLKV9 (1235785.3)	4032_1	 	2744_7	3613	4607	565_11_19	2950_12, 2954_12, 4286_12	565_11_19	1020_22, 705_21	1021	1693_27
Bacteroides uniformis ATCC 8492 (411479.10)	3150_1	 	3252_7	2701, 799	615	3793_11_19	1790_12	3793_11_19	307_22	308	 
Bacteroides uniformis CL03T00C23 (997889.3)	870_1	 	777_7	1413, 3801	1888	176_11_19	353_12, 3612_12, 693_12	176_11_19	2234_22, 4109_21	2233	 
Bacteroides uniformis CL03T12C37 (997890.3)	103_1	 	198_7	1412, 3251	2776	807_11_19	1604_12, 282_12, 628_12	807_11_19	1108_21, 3868_22	3867	 
Bacteroides uniformis dnLKV2 (1235787.3)	1869_1	 	1766_7, 2124_8	2843, 473	899	3890_11_19	1675_12, 3756_12	3890_11_19	3121_21, 3533_22	3534	 
Bacteroides vulgatus ATCC 8482 (435590.9)	475_1	 	5_7	1222, 3424	531	2403_11_19	2017_12	2403_11_19	2306_22, 4200_21	2307	 
Bacteroides vulgatus EK4.2 (702445.3)	1571_1	 	1569_7	1570	1573	561_11_19	205_12, 2430_12	561_11_19	 	 	1369_25
Bacteroides vulgatus PC510 (702446.3)	947_1	 	2917_7	1493, 2447	894	3434_11_19	1711_12, 3261_12	3434_11_19	3350_22, 499_21	3351	 
Bacteroides vulgatus dnLKV7 (1235786.3)	4162_1	 	1742_7	2840, 4043	4107	309_11_19	2103_12	309_11_19	1637_21, 185_22	186	 
Bacteroides xylanisolvens CL03T12C04 (997892.3)	101_1	 	3629_7	1824, 2716	3210	3966_11_19	1003_12, 1643_12, 3465_12	3966_11_19	1814_22, 2076_21	1813	 
Bacteroides xylanisolvens SD CC 1b (702447.3)	1036_1	 	1484_8, 2019_7	1221, 4308	687	4834_11_19	1188_12, 3869_12	4834_11_19	4461_22, 877_21	4460	 
Bacteroides xylanisolvens XB1A (657309.4)	1868_1	 	4715_7	1153, 2732	1764	3292_11_19	24_12, 2954_12, 3083_12	3292_11_19	3162_22, 4034_21	3163	 
Barnesiella intestinihominis YIT 11860 (742726.3)	67_1	 	2385_7	2665	650	1733_11_19	2544_12	1733_11_19	 	 	 
Butyricimonas synergistica DSM 23225 (1121129.3)	2423_1	 	3556_7	3778	970	370_11_19	2527_12, 648_12	370_11_19	332_22	333	 
Dysgonomonas gadei ATCC BAA-286 (742766.3)	4147_1	 	2228_7	3943	3355	4118_11_19	3705_12	4118_11_19	2258_22, 3678_21	 	 
Odoribacter laneus YIT 12061 (742817.3)	2088_1	 	2308_7	2733	448	792_11_19	1507_12	792_11_19	 	 	2970_27
Odoribacter splanchnicus DSM 20712 (709991.3)	3665_1	 	3069_7	3236	1143	399_11_19	3699_12	399_11_19	583_22, 584_21	582	 
Parabacteroides distasonis ATCC 8503 (435591.13)	2670_1	 	5_7	1446, 2391	3327	740_11_19	3704_12	740_11_19	1158_22, 575_21	1157	 
Parabacteroides distasonis CL03T12C09 (999416.3)	3739_1	 	663_7	43	3131	1913_11_19	1163_12, 2142_12, 2669_12	1913_11_19	1494_22, 2056_21	1495	 
Parabacteroides distasonis CL09T03C24 (999417.3)	2742_1	 	2118_7	3088	3322	587_11_19	3811_12	587_11_19	713_21, 87_22	88	 
Parabacteroides goldsteinii CL02T12C30 (999418.3)	3264_1	 	2318_7	143, 4861	521	3548_11_19	1692_12, 1928_12, 2712_12	3548_11_19	1379_21, 4772_22	4771	 
Parabacteroides goldsteinii dnLKV18 (1235789.3)	1623_1, 4882_1	 	5156_7	18, 5603	4168	1159_11_19	1439_12, 1768_12, 2885_12	1159_11_19	4543_21, 99_22	100	 
Parabacteroides johnsonii CL02T12C29 (999419.3)	34_1	 	3620_8, 478_7	2263, 3745	1952	2839_11_19	3337_12, 3515_12, 395_12	2839_11_19	2597_22, 3726_21	2598	 
Parabacteroides johnsonii DSM 18315 (537006.5)	3756_1	 	3250_7, 942_8	2092, 829	190	1852_11_19, 1853_11_19	3339_12	1852_11_19, 1853_11_19	1044_21, 1982_22	1983	 
Parabacteroides merdae ATCC 43184 (411477.4)	3032_1	 	1524_7, 766_8	621	557	1936_11_19	1592_12	1936_11_19	2209_22, 896_21	2208	 
Parabacteroides merdae CL03T12C32 (999420.3)	3013_1	 	3920_7	2347, 3633	1639	622_11_19	3583_12, 4013_12	622_11_19	1216_22, 3617_21	1215	 
Parabacteroides sp. D13 (563193.3)	3662_1	 	3995_7	2161, 2792	184	1474_11_19	2116_12, 2504_12, 605_12	1474_11_19	1343_21, 1909_22	1908	 
Porphyromonas asaccharolytica DSM 20707 (879243.3)	1100_1	 	57_7	1569	611	1493_11_19	740_12	1493_11_19	1543_22, 1544_21	1542	 
Porphyromonas asaccharolytica PR426713P-I (910312.3)	680_1	 	1467_7	1543	412	1104_11_19	1023_12	1104_11_19	1064_21, 1065_22	1066	 
Porphyromonas endodontalis ATCC 35406 (553175.3)	1417_1	 	661_7	117, 839	969	210_11_19	1295_12	210_11_19	470_22	471	 
Porphyromonas gingivalis ATCC 33277 (431947.7)	658_1	 	137_7	1042, 560	518	1489_11_19	2026_12	1489_11_19	1319_22, 734_21	1320	 
Porphyromonas gingivalis TDC60 (1030843.3)	1686_1	 	1283_7	732, 782	685	1537_11_19	2136_12	1537_11_19	1775_21, 905_22	904	 
Porphyromonas gingivalis W83 (242619.8)	569_1	 	1945_7	1431, 820	1473	422_11_19	1917_12	422_11_19	654_21, 945_22	944	 
Porphyromonas somerae DSM 23386 (1122975.3)	107_1	 	 	1027	181	1300_11_19	34_12	1300_11_19	693_22	 	 
Porphyromonas uenonis 60-3 (596327.3)	614_1	 	331_7	1307	239	583_11_19	810_12	583_11_19	24_22, 25_21	23	 
Tannerella forsythia ATCC 43037 (203275.8)	2231_1	 	2131_7	1601	1214	2149_11_19	894_12	2149_11_19	113_22	 	 
