Organism	dxs	gapA	PdxB	PdxF	PdxA	PdxJ	PdxH	PdxK	PdxTS	PdxP	PdxU
Mycobacterium abscessus M94 (1158135.4)	4027	1885	1948_4, 3400_4, 3442_4	4666	 	 	3090, 4513	 	3921_13, 3923_14	 	 
Mycobacterium abscessus subsp. bolletii 50594 (1303024.3)	3000	2795	3325_4, 4504_4, 4553_4	968	 	 	3923, 4057, 974	 	2906_13, 2908_14	 	 
Mycobacterium abscessus subsp. bolletii BD (1091046.3)	2844	2622	3174_4, 4358_4, 4479_4	798	 	 	3680, 803	 	2737_13, 2739_14	 	 
Mycobacterium fortuitum subsp. fortuitum DSM 46621 (1214102.3)	2479	1042	1693_4, 4711_4, 480_4, 4861_4	2815	 	 	4486	 	1449_14, 1451_13	 	 
Rhodococcus erythropolis XP (1078016.3)	4783	4940	2613_4, 2660_4, 4386_4, 5740_4	844	2851_6	 	560, 842	5151_12	4818_14, 4824_13	 	 
Brevibacterium casei S18 (1229781.4)	1269	1423, 3128	1306_4, 1850_4, 2359_4, 2361_4	958	2688_6, 96_7	 	957	716_12	337_13, 338_14	 	 
Brevibacterium massiliense 5401308 (1176165.3)	1222	1070	745_4, 769_4	1729	1089_6	 	1728	1035_12	499_14	 	 
Brachybacterium paraconglomeratum LC44 (1064537.3)	1527, 1528	2417	176_4, 3218_4, 34_4, 883_4	2013	 	 	10, 199	 	2906_14, 2907_13	 	 
Curtobacterium flaccumfaciens UCD-AKU (1292022.3)	2193	164	1856_4, 2361_4, 2796_4	1043	 	 	 	 	273_13, 274_14	 	 
Microbacterium paraoxydans 77MFTsu3.2 (1151126.3)	1222	1030	2459_4, 2665_4	3142	 	 	2526	1243_11	1245_14, 1246_13	 	 
Kocuria palustris PEL (1236550.3)	1959	1	1843_4, 1848_4, 514_4, 893_4	2228	 	 	 	474_12	2251_14, 2252_13	 	 
Rothia aeria F0474 (1125724.3)	568	157	1585_4	 	 	 	 	 	534_14, 535_13	 	 
Rothia mucilaginosa M508 (563033.4)	1136	1025	 	 	 	 	 	 	1699_14, 1700_13	 	 
Propionibacterium acidipropionici ATCC 4875 (1171373.8)	1618	 	 	934	 	 	 	1672_11	1838_14, 1839_13	 	 
Propionibacterium acnes C1 (1234380.3)	1152	903	1369_4, 2383_4	513	 	 	 	 	1048_14, 1049_13	 	 
Propionibacterium acnes FZ1/2/0 (1276649.3)	1114	861	1326_4, 2319_4	509	 	 	 	 	1009_14, 1010_13	 	 
Propionibacterium acnes HL096PA1 (1134454.3)	1197	1445	2346_4, 981_4	545	 	 	 	 	1298_13, 1299_14	 	 
Propionibacterium acnes PRP-38 (1136877.3)	1810	1563	2024_4	1213	1032_6	 	 	51_12	1712_14, 1713_13	 	 
Propionibacterium avidum 44067 (1170318.3)	1167	1396	2273_4, 944_4	1708	 	 	 	 	1271_13, 1272_14	 	 
Propionibacterium avidum ATCC 25577 (997355.3)	1862	2083	1647_4, 655_4, 920_4	1489	 	 	 	 	1965_13, 1966_14	 	 
Propionibacterium propionicum F0230a (767029.3)	1506	1039	1353_4, 50_4	724	 	 	968	1537_11	 	 	 
Bifidobacterium angulatum DSM 20098 = JCM 7096 (518635.7)	1197, 933	584	1389_4, 517_4	1311	 	 	 	991_11	1482_14, 1483_13	 	 
Bifidobacterium animalis subsp. animalis ATCC 25527 (703613.4)	614	 	1202_4	482	 	 	 	1068_11	1381_14, 1382_13	 	1065_21
Bifidobacterium animalis subsp. lactis B420 (1168290.3)	592	 	 	455	 	 	 	1053_11	1385_14, 1386_13	 	1050_21
Bifidobacterium animalis subsp. lactis BS 01 (911598.3)	642	 	 	505	 	 	 	1108_11	1444_14, 1445_13	 	1105_21
Bifidobacterium animalis subsp. lactis Bi-07 (742729.3)	591	 	 	455	 	 	 	1053_11	1385_14, 1386_13	 	1050_21
Bifidobacterium bifidum BGN4 (484020.3)	1298	567	1312_4, 521_4	1449	 	 	 	1134_11	348_14, 349_13	 	 
Bifidobacterium bifidum LMG 13195 (1207542.3)	212	1184	1912_4, 596_4	1932	 	 	 	1589_11	90_14, 91_13	 	 
Bifidobacterium breve CECT 7263 (1036735.3)	836	955	393_4, 920_4	1473	 	 	 	1864_11	856_13, 857_14	 	 
Bifidobacterium breve DPC 6330 (1074482.3)	1291	427	1863_4, 325_4	32	 	 	 	1595_11	1270_14, 1271_13	 	 
Bifidobacterium breve DSM 20213 = JCM 1192 (518634.7)	566	1838	1678_4, 1738_4	1492	 	 	 	849_11	546_14, 547_13	 	 
Bifidobacterium breve HPH0326 (1203540.3)	654	1429	1392_4, 823_4	1058	 	 	 	2086_11	632_14, 633_13	 	 
Bifidobacterium catenulatum DSM 16992 = JCM 1194 (566552.6)	1579	407	1370_4, 379_4, 520_4	1142	 	 	 	1677_11	141_13, 142_14	 	1680_18, 1682_21
Bifidobacterium longum subsp. infantis ATCC 15697 = JCM 1222 (391904.8)	2063	 	 	2227	 	 	 	1766_11	2073_13, 2074_14	 	 
Bifidobacterium longum subsp. longum 1-6B (1161744.3)	2030	379	1928_4, 901_4	473	 	 	 	577_11	2003_14, 2004_13	 	 
Bifidobacterium longum subsp. longum 2-2B (1161745.3)	378	965	1386_4, 88_4	496	 	 	 	1813_11	2159_14, 2160_13	 	 
Bifidobacterium longum subsp. longum 35B (1161904.3)	1783, 1784	1084	1402_4, 53_4	222	 	 	 	976_11	1568_13, 1569_14	 	 
Bifidobacterium longum subsp. longum 44B (1161743.3)	484	1049	1548_4, 619_4	1619	 	 	 	832_11	509_13, 510_14	 	 
Bifidobacterium longum subsp. longum CMCC P0001 (1266716.3)	734	1865	407_4	1178	 	 	 	999_11	747_13, 748_14	 	 
Bifidobacterium pseudocatenulatum DSM 20438 = JCM 1200 (547043.8)	63	613	1379_4, 305_4, 646_4	218	 	 	 	1847_11	1703_14, 1704_13	 	1850_18, 1852_21
Bifidobacterium thermophilum RBL67 (1254439.12)	1204	669	1232_4, 605_4	1354	 	 	 	781_11	69_13, 70_14	 	785_18, 786_20, 787_21
Atopobium minutum 10063974 (997872.3)	666	1145	 	 	 	 	 	278_11	 	 	 
Collinsella tanakaei YIT 12063 (742742.3)	1352	33	1038_4, 1330_4, 87_4	88	 	 	 	1809_11	 	 	 
Slackia piriformis YIT 12062 (742818.3)	1229	753	1695_4, 1964_4, 924_4	1696	1730_6	 	 	4_11	618_14, 619_13	 	 
Bacteroides fragilis ATCC 25285 (272559.3)	3214, 670	 	74_3	2081	942_6	3505	1301, 2956	3661_11, 4019_11	 	 	 
Bacteroides caccae ATCC 43185 (411901.7)	1621, 2323	 	1449_3	927	3338_6	3212	2291, 2704	3405_11	 	 	 
Bacteroides caccae CL03T12C61 (997873.3)	203, 2540	467	3922_3	1504	731_6	73	2560, 2740	817_11	 	 	 
Bacteroides capillosus ATCC 29799 (411467.6)	1596	2207	1813_4, 2152_4	2151	3229_7	 	 	80_11	 	 	 
Bacteroides cellulosilyticus CL02T12C19 (997874.3)	219	407	2121_3, 3616_4, 3644_4	3643	675_6	4915	3747	1401_11	 	 	 
Bacteroides cellulosilyticus DSM 14838 (537012.5)	2783	2964, 2965	1321_3, 3778_4, 3801_4	3800	3252_6	669	3758, 3899	398_11	 	 	 
Bacteroides clarus YIT 12056 (762984.3)	1021, 2759	2298	1810_4, 43_3, 950_4	951	2219_6	2481	123	 	 	 	 
Bacteroides coprocola DSM 17136 (470145.6)	1737, 1991	1825	1036_3, 1409_4, 2056_4, 2102_4	2055	1400_6	3287	 	 	 	 	 
Bacteroides coprophilus DSM 18228 (547042.5)	1967	1046	1287_4, 1768_3, 649_4, 843_4	1286	674_6	1637	 	1284_11	 	 	 
Bacteroides dorei CL02T00C15 (997875.3)	4285, 5165	 	1803_4, 3120_3, 3832_4	3831	319_6	3496	39	3252_11	 	 	 
Bacteroides dorei CL02T12C06 (997876.3)	3828, 4878	 	1771_3, 2689_4, 3424_4	3423	642_6	4218	362	1908_11	 	 	 
Bacteroides dorei CL03T12C01 (997877.3)	4129, 477	 	199_4, 2147_4, 2501_3	200	1028_6	4436	711	3410_11	 	 	 
Bacteroides dorei DSM 17855 (483217.6)	2592, 2913	 	1934_3, 2477_4, 866_4	2478	3874_6	1149	1290, 2985	4314_11	 	 	 
Bacteroides eggerthii 1_2_48FAA (665953.3)	13, 1578, 1579	 	899_3	2413	2224_6	2000	607	 	 	 	 
Bacteroides eggerthii DSM 20697 (483216.6)	1548, 1698	 	3181_3	2047	999_6	97	1992	 	 	 	 
Bacteroides faecis MAJ27 (1077285.3)	1536, 3877	 	2899_4, 2954_4, 2985_4, 879_3	2953, 2984	1844_6	1382	4063	1918_11	 	 	 
Bacteroides finegoldii DSM 17565 (483215.6)	1340, 321	3578	2062_4, 2327_4, 3134_3	2063	4143_6	739	331, 4055	1110_11	 	 	 
Bacteroides fluxus YIT 12057 (763034.3)	1659, 1914	1609	2857_3, 3641_4	3640	1514_6	2269	2816	1472_11	 	 	 
Bacteroides fragilis 3_1_12 (457424.5)	1778, 4150	1863	2755_3, 543_4, 818_4	817	1969_6	3722	2236, 3044	3808_11	 	 	 
Bacteroides fragilis 638R (862962.3)	4351, 875	 	173_3, 2173_4	2172	1082_6	3962	1481, 2984	3538_11	 	 	 
Bacteroides fragilis CL03T00C08 (997878.3)	4224, 911	 	2057_4, 222_3	2056	1118_6	4071	1522, 2817	3629_11	 	 	 
Bacteroides fragilis CL03T12C07 (997879.3)	1434, 297	 	3197_4, 749_3	3196	4462_6	2907	1651, 4056	2460_11	 	 	 
Bacteroides fragilis CL05T00C42 (997880.3)	1353, 4217	 	1791_3, 52_4	53	1097_6	3083	2462, 698	3472_11	 	 	 
Bacteroides fragilis CL05T12C13 (997881.3)	3688, 840	 	2244_4, 238_3	2243	1045_6	3898	1458, 2711	2967_11	 	 	 
Bacteroides fragilis CL07T00C01 (997882.3)	2099, 3321	 	1089_4, 2729_3, 896_4	897	1895_6	4101	1503	3563_11	 	 	 
Bacteroides fragilis CL07T12C05 (997883.3)	4555, 942	 	1952_4, 2145_4, 311_3	2144	1145_6	3702	1539	3161_11	 	 	 
Bacteroides fragilis HMW 610 (1073386.3)	3227	3137	141_4, 2280_4, 4571_3	140	3027_6	2228	2758	1840_11	 	 	 
Bacteroides fragilis HMW 615 (1073387.4)	1425, 370	 	4511_4, 4645_4, 985_3	4512	167_6	4310	2303, 3413	3914_11	 	 	 
Bacteroides fragilis HMW 616 (1073388.3)	164, 3785	255	1306_4, 1504_4, 4213_3	1503	370_6	3399	699	2967_11	 	 	 
Bacteroides fragilis NCTC 9343 (272559.17)	4223, 786	 	176_3	2052	985_6	3823	1355, 2916	3460_11, 3945_11	 	 	 
Bacteroides fragilis YCH46 (295405.11)	4151, 879	967	1963_4, 252_3	1962	1070_6	3813	1419, 2928	3448_11	 	 	 
Bacteroides intestinalis DSM 17393 (471870.8)	4229	 	1296_3	2421	3890_6	108	2321	3349_11	 	 	 
Bacteroides massiliensis B84634 = Timone 84634 = DSM 17679 = JCM 13223 (1121098.4)	2931	 	1766_4, 2330_4, 36_3	2331	970_6	2965	 	598_11	 	 	 
Bacteroides massiliensis dnLKV3 (1235788.3)	2281, 3590	1877	178_3, 2121_4, 3248_4	3247	1497_6	1075	 	3079_11	 	 	 
Bacteroides nordii CL02T12C05 (997884.3)	1176	1331	2197_4, 2423_4, 495_3	2422	1466_6	3702	3360	1519_11	 	 	 
Bacteroides oleiciplenus YIT 12058 (742727.4)	4290	1621	2200_3, 933_4, 958_4	934	1334_6	2977	850	3460_11	 	 	 
Bacteroides ovatus 3_8_47FAA (665954.3)	1802, 3048	2355	3878_4, 3935_4, 4980_3	3879	2454_6	3224	1841, 2072	2551_11	 	 	 
Bacteroides ovatus ATCC 8483 (411476.11)	1268, 4151	4331	2157_3, 3375_4, 3430_4	3429	4430_6	1401	1302, 3682	4480_11	 	 	 
Bacteroides ovatus CL02T12C04 (997885.3)	3019, 3280	2818	1106_4, 4727_3, 894_4	895	2721_6	6270	3318, 3492	2573_11	 	 	 
Bacteroides ovatus CL03T12C18 (997886.3)	1661, 4418	1841	4765_4, 4821_4, 867_3	4820	1940_6	1447	4202, 4388	2020_11	 	 	 
Bacteroides ovatus SD CC 2a (702444.3)	2668, 4942	3821	3161_3, 3528_4, 850_4	3529	3444_6	3098	2126, 837	3835_11	 	 	 
Bacteroides pectinophilus ATCC 43243 (483218.5)	2978	 	 	2100	 	 	 	490_11	 	 	1385_17
Bacteroides plebeius DSM 17135 (484018.6)	1229	2490	1547_3, 240_4, 2606_4, 3143_4	3142	2063_6	3408	 	3136_11	 	 	 
Bacteroides salyersiae CL02T12C01 (997887.3)	658	486	1533_3, 2953_4, 3016_4	3015	328_6	4282	3749	261_11	 	 	 
Bacteroides salyersiae WAL 10018 = DSM 18765 = JCM 12988 (1121101.3)	1049	882	1729_3, 3532_4, 3597_4	3533	738_6	4007	2730	681_11	 	 	 
Bacteroides sp. 1_1_14 (469585.3)	1857, 3083, 3084	 	3983_3, 4547_4, 4610_4	4609	237_6	1691	3247	314_11, 315_11	 	 	 
Bacteroides sp. 1_1_30 (457387.3)	2056, 3094	4976	1773_3, 3421_4, 3478_4	3422	4682_6	1880	4024	3774_11	 	 	 
Bacteroides sp. 1_1_6 (469586.3)	2313, 4441	 	1730_3, 263_4	318	2031_6	2506	4469, 4753	2701_11	 	 	 
Bacteroides sp. 20_3 (469591.4)	3483	1214	1554_4, 3609_4, 4771_3	3610	1106_6	2130	 	1569_11	 	 	 
Bacteroides sp. 2_1_22 (469588.3)	3283, 3839	3542	265_3, 2919_4, 2974_4	2973	3656_6	3131	3881, 4039	3712_11	 	 	 
Bacteroides sp. 2_1_33B (469589.3)	3228	3339	1070_4, 3536_4, 3698_3	1069	3428_6	1153	2674	3548_11	 	 	 
Bacteroides sp. 2_1_7 (457388.5)	3507	3668	2874_4, 3247_4, 3916_3	2875	3758_6	2779	2161	3148_11	 	 	 
Bacteroides sp. 2_2_4 (469590.5)	457, 5234	1924	2443_4, 2490_4, 2795_3	2444	2023_6	4022	486, 83	2086_11	 	 	 
Bacteroides sp. 3_1_19 (469592.4)	3139	3568	1171_4, 3783_4, 3997_3	3782	3469_6	2574	2194	1230_11	 	 	 
Bacteroides sp. 3_1_23 (457390.3)	1279, 1668	4407	2286_4, 2343_4, 2508_3	2342	4520_6	4028	1309, 1554	3712_11	 	 	 
Bacteroides sp. 3_1_33FAA (457391.3)	3503, 4311	 	1468_4, 2036_3, 2845_4	2846	469_6	3554	184	2182_11	 	 	 
Bacteroides sp. 3_1_40A (469593.3)	1546, 4762	 	4247_4, 986_3	1020	3182_6	463	250	108_11	 	 	 
Bacteroides sp. 3_2_5 (457392.3)	315, 3498	1584	2213_4, 947_3	2212	1471_6	3285	1765, 238	2877_11	 	 	 
Bacteroides sp. 4_1_36 (457393.3)	1868, 3401	3834	100_3, 1321_4	1320	3075_6	2131	1292	1760_11	 	 	 
Bacteroides sp. 4_3_47FAA (457394.3)	2723, 3831	 	139_3, 989_4	1370	2584_6	1649	1355, 4356	258_11	 	 	 
Bacteroides sp. 9_1_42FAA (457395.6)	1836, 3353	 	177_4, 2738_4, 827_3	2739	1668_6	3937	2141	957_11	 	 	 
Bacteroides sp. D1 (556258.5)	2418, 3181	1762	102_3, 1095_4, 1149_4	1148	1876_6	2982	2220, 2378	1932_11	 	 	 
Bacteroides sp. D2 (556259.3)	1435, 3511	1245	176_4, 243_4, 2914_3	177	1148_6	1592	3319, 3490	1072_11	 	 	 
Bacteroides sp. D20 (585543.3)	34, 439	267	1088_4, 1855_3	1087	2650_6	2286	1060	140_11	 	 	 
Bacteroides sp. D22 (585544.3)	2248, 799	1859	1443_4, 4742_4, 917_3	4743	1965_6	655	2281, 4872	2025_11	 	 	 
Bacteroides stercoris ATCC 43183 (449673.7)	1362, 2919	3155	2170_3, 964_4	963	3068_6	3269	1797	 	 	 	 
Bacteroides stercoris CC31F (1073351.3)	1850, 2929	1260	3544_4, 498_3	3545	1175_6	1365	2603	 	 	 	 
Bacteroides thetaiotaomicron CL09T03C10 (997888.3)	1047, 1584	1434	143_4, 2172_3, 89_4	90	1346_6	4048	1062, 1207	1292_11	 	 	 
Bacteroides thetaiotaomicron VPI-5482 (226186.12)	1436, 4164	 	3429_3	1175	4451_6	3982	1461, 1612	4539_11	 	 	 
Bacteroides thetaiotaomicron dnLKV9 (1235785.3)	4198, 492	2524	1003_4, 1379_4, 1447_4, 3789_3	1380	2321_6	4019	317	2236_11	 	 	 
Bacteroides uniformis ATCC 8492 (411479.10)	1344, 213	26	1190_3, 2279_4, 2361_4	2278	4071_6	3136	2244	1447_11	 	 	 
Bacteroides uniformis CL03T00C23 (997889.3)	2312, 2672	2467	1212_3, 3269_4	3268	534_6	884	3241	2836_11	 	 	 
Bacteroides uniformis CL03T12C37 (997890.3)	2580, 3946	4102	1982_4, 3451_3	1983	443_6	89	2009	2418_11	 	 	 
Bacteroides uniformis dnLKV2 (1235787.3)	2008, 3440	1109	235_3, 2544_4	2543	1499_6	1882	1940, 2515	2119_11	 	 	 
Bacteroides vulgatus ATCC 8482 (435590.9)	1830, 3192	 	1097_3, 4016_4	3337	2682_6	489	652	895_11	 	 	 
Bacteroides vulgatus EK4.2 (702445.3)	 	791	588_4, 858_4	 	 	 	 	661_12	 	 	 
Bacteroides vulgatus PC510 (702446.3)	1884, 3599	 	1226_4, 2577_3	2245	3950_6	933	1041, 1603	2696_11	 	 	 
Bacteroides vulgatus dnLKV7 (1235786.3)	1104, 2390	 	1407_4, 3917_3	2928	575_6	4148	2189, 3710	3854_11	 	 	 
Bacteroides xylanisolvens CL03T12C04 (997892.3)	274, 4042	367	1374_4, 1432_4, 2932_3	1431	460_6	87	4245	526_11	 	 	 
Bacteroides xylanisolvens SD CC 1b (702447.3)	2375, 4117	3975	1899_4, 1955_4, 944_3	1954	1535_6	1023	2789, 4077	1479_11	 	 	 
Bacteroides xylanisolvens XB1A (657309.4)	2008, 3364	2172	1460_3, 4316_4, 4371_4	4317, 4318	2355_6	1855	3565	2414_11	 	 	 
Barnesiella intestinihominis YIT 11860 (742726.3)	1381	2957	1541_4, 2895_3, 345_4	344	539_6	2433	 	 	 	 	 
Butyricimonas synergistica DSM 23225 (1121129.3)	2157	21	1674_4, 3260_4, 3902_4	3901	1264_6	 	 	1396_11	1418_13, 1419_14	 	 
Dysgonomonas gadei ATCC BAA-286 (742766.3)	3506	3823	2710_3, 981_4	980	3925_6	2335	1007	243_11	 	 	 
Odoribacter laneus YIT 12061 (742817.3)	2564	216	1945_4, 3115_4, 3221_4	1946	259_6	 	 	2203_11	1798_13, 1799_14	 	 
Odoribacter splanchnicus DSM 20712 (709991.3)	2818	 	 	1853	264_6	 	 	3274_11	2168_13, 2169_14	 	 
Parabacteroides distasonis ATCC 8503 (435591.13)	2641	279	1724_4, 2793_3, 491_4	490	179_6	1532	2023, 2080	1711_11	 	 	 
Parabacteroides distasonis CL03T12C09 (999416.3)	3773	4185	2320_4, 3606_3, 940_4	939	4037_6	1037	321	2306_11	 	 	 
Parabacteroides distasonis CL09T03C24 (999417.3)	2785	2403	1267_3, 2055_4, 2554_4	2054	2309_6	3879	 	2568_11	 	 	 
Parabacteroides goldsteinii CL02T12C30 (999418.3)	425	1609	1236_3, 1450_4	1449	5055_6	4975	 	1650_11	 	 	 
Parabacteroides goldsteinii dnLKV18 (1235789.3)	4265	1861	2020_4, 3510_3	2021	2186_6	2100	3213	1815_11	 	 	 
Parabacteroides johnsonii CL02T12C29 (999419.3)	519	1075	1509_3, 977_4	976	728_6	3806	3089	1353_11	 	 	 
Parabacteroides johnsonii DSM 18315 (537006.5)	3131	2377	2482_4, 630_3	2483	1701_6	3853	2950	21_11	 	 	 
Parabacteroides merdae ATCC 43184 (411477.4)	2982	3272	2747_3, 3369_4	3370	1249_6	2840	2351	2316_11	 	 	 
Parabacteroides merdae CL03T12C32 (999420.3)	2507	3758	2133_3, 4102_4	4103	2915_6	56	351	315_11	 	 	 
Parabacteroides sp. D13 (563193.3)	3623	3843	1153_4, 2606_4, 4217_3	2605	4323_6	2702	3069	1167_11	 	 	 
Porphyromonas asaccharolytica DSM 20707 (879243.3)	656	409	1262_4, 1645_3, 770_4	1261	1222_6	459	1534	 	 	 	 
Porphyromonas asaccharolytica PR426713P-I (910312.3)	1175	1604	1047_4, 1354_4, 760_3	1353	1306_6	396	1074	 	 	 	 
Porphyromonas endodontalis ATCC 35406 (553175.3)	1297	645	1221_4, 149_3	1220	1353_6	1740	230	 	 	 	 
Porphyromonas gingivalis ATCC 33277 (431947.7)	2045	 	1348_3	608	2020_6	662	400	 	 	 	 
Porphyromonas gingivalis TDC60 (1030843.3)	2158	 	1146_3, 2112_4	2113	2131_6	1692	560	 	 	 	 
Porphyromonas gingivalis W83 (242619.8)	2068	 	1133_3, 1184_4	1183	1923_6	576	1589	 	 	 	 
Porphyromonas somerae DSM 23386 (1122975.3)	773	1238	1680_4, 473_3, 730_4	729	1694_6	1404	770	 	 	 	 
Porphyromonas uenonis 60-3 (596327.3)	1457	209	1539_4, 1636_4, 328_3	1635	290_6	445	16	 	 	 	 
Tannerella forsythia ATCC 43037 (203275.8)	462	 	396_3	174	2610_6	2692	 	 	 	 	 
Paraprevotella clara YIT 11840 (762968.3)	2989, 462	2174	1257_4, 603_4, 709_3	602	1538_6	539	 	 	 	 	 
Paraprevotella xylaniphila YIT 11841 (762982.3)	1616, 848	247	1351_3, 2513_4, 701_4	2512	1590_6	1443	 	 	 	 	 
Prevotella bivia DSM 20514 (868129.3)	1487	1896	113_4, 522_4	521	684_6	 	 	 	1041_14, 1042_13	 	 
Prevotella bryantii B14 (752555.5)	1680, 2054	2474	1341_4, 1407_4	1342	790_6	 	 	1688_11	17_13, 18_14	 	 
Prevotella buccae ATCC 33574 (873513.3)	677	1875	2155_4	2154	927_6	 	 	273_11	254_13, 255_14	 	 
Prevotella buccae D17 (575611.3)	316	1951	2462_4	2463	123_6	 	 	2609_11	2126_14, 2127_13	 	 
Prevotella conceptionensis 9403948 (1197728.3)	3413	2059	1165_4, 2965_4	2966	2742_6	 	 	 	725_13, 726_14	 	 
Prevotella denticola CRIS 18C-A (944557.3)	303, 48	2225	1266_4, 2312_4	2311	2190_6	 	 	2370_11	2604_14, 2605_13	 	 
Prevotella denticola F0289 (767031.3)	1755, 239	1483	1981_4, 2495_4	2496	1520_6	 	 	442_11	313_14, 314_13	 	 
Prevotella disiens FB035-09AN (866771.4)	1379	640	2307_4, 686_4	685	2399_6	 	 	 	2631_13, 2632_14	 	 
Prevotella intermedia 17 (246198.10)	889	1738	1695_4, 1817_4	1696	1634_6	 	 	 	1152_14, 1153_13	 	 
Prevotella melaninogenica ATCC 25845 (553174.6)	1130	919	1794_4, 2279_4	1795	930_6	 	 	1299_11	1257_13, 1258_14	 	 
Prevotella melaninogenica D18 (575612.3)	1671	2085	382_4, 656_4	657	2095_6	 	 	1880_11	1838_13, 1839_14	 	 
Prevotella nanceiensis DSM 19126 (1122988.3)	2050	247	1312_4, 1320_4	1314	263_6	 	 	742_11	265_13, 266_14	 	 
Prevotella nigrescens ATCC 33563 (997352.4)	1469	855	677_4, 860_4	861	895_6	 	 	 	1559_14, 1560_13	 	 
Prevotella nigrescens F0103 (702439.3)	2599	239	244_4, 2683_4	245	281_6	 	 	 	1273_13, 1274_14	 	 
Prevotella oralis ATCC 33269 (873533.3)	1507, 710	 	 	2300	1689_6	 	 	1419_11	2308_14	 	 
Prevotella oralis HGA0225 (1203550.3)	1309, 933	 	2311_4	170	2165_6	 	 	1398_11	180_13, 181_14	 	 
Prevotella pallens ATCC 700821 (997353.4)	377	774	1418_4, 1543_4	1544	1554_6	 	 	1_11	417_13, 418_14	 	 
Prevotella ruminicola 23 (264731.4)	2805	 	 	992	1512_6	 	 	2585_11	2690_14	 	 
Prevotella salivae DSM 15606 (888832.3)	1678	2569	2351_4, 2510_4	2511	1721_6	 	 	993_11	2392_13, 2393_14	 	 
Prevotella stercorea DSM 18206 (1002367.3)	2053, 528	1893	1584_4, 548_4	1585	2241_6	 	 	 	1125_13, 1126_14	 	 
Prevotella timonensis CRIS 5C-B1 (679189.3)	950	59	2048_4, 634_4	2047	22_6	 	 	 	648_14, 649_13	 	 
Prevotella veroralis DSM 19559 (1122993.3)	414	2417	1390_4, 2167_4	2166	2003_6	 	 	799_11	219_14, 220_13	 	 
Prevotella veroralis F0319 (649761.3)	288	1520	1661_4, 2095_4	1660	547_6	 	 	2367_11	2311_14, 2312_13	 	 
Alistipes finegoldii DSM 17242 (679935.3)	1167	573	1956_3, 2878_4, 3194_4	3195	1076_6	1895	 	 	 	 	 
Alistipes indistinctus YIT 12060 (742725.3)	1075, 1830	343	2218_4, 512_3, 790_4	2219	435_6	1726	1679	 	 	 	 
Alistipes onderdonkii DSM 19147 (1120974.3)	1662	2969	1152_3, 1765_4, 635_4	1764	1514_6	1208	 	 	 	 	 
Alistipes putredinis DSM 17216 (445970.5)	1865	 	 	1424	1621_6	1602	 	 	 	 	 
Alistipes shahii WAL 8301 (717959.3)	 	 	603_3	2270	 	646	 	 	 	 	 
Rudanella lutea DSM 19387 (1089547.3)	3144	362	1887_4, 2036_4, 2880_4, 624_4	1513	2034_6	2278	1061, 679	 	 	 	 
Capnocytophaga ochracea DSM 7271 (521097.5)	1308	 	 	1939	2054_6	1022	407	 	 	 	 
Capnocytophaga ochracea F0287 (873517.3)	2019	1883	1937_4, 2207_4, 271_4	272	420_6	1658	1079	 	 	 	 
Capnocytophaga sputigena ATCC 33612 (553177.6)	2596	2307	513_4, 64_4, 832_4	63	1028_6	370	2632	 	 	 	 
Capnocytophaga granulosa ATCC 51502 (641143.3)	1184	391	517_4, 920_4, 939_4	516	813_6	1492	338	 	 	 	 
Capnocytophaga ochracea str. Holt 25 (1125719.3)	850	1925	107_4, 1979_4, 402_4	401	1470_6	329	1682	 	 	 	 
Dyadobacter fermentans DSM 18053 (471854.5)	3924	 	3229_4, 5769_4	4817, 5253	427_6	4856	570	 	 	 	 
Spirosoma linguale DSM 74 (504472.7)	5552	 	 	1072, 2433	326_6	4980	2892	 	 	 	 
Akkermansia muciniphila ATCC BAA-835 (349741.6)	364	 	800_4	 	1678_6	1369	1431	 	 	 	 
Escherichia coli TY-2482.contig.20110606 (6666666.5522)	894	2056	3610_3	1369	4101_6	658	1709	1711_11, 4212_11	 	459_16	 
Bacillus cereus BDRD-ST26 (526975.3)	5248	71	4153_4	4152	 	 	 	245_12	4_14, 5_13	 	 
Bacillus cereus BGSC 6E1 (526970.3)	5513	 	 	4572	 	 	 	 	1671_14, 1672_13	 	 
Bacillus cereus F65185 (526989.3)	253	 	5481_4	5480	 	 	 	1681_12	13_13, 14_14	 	 
Bacillus cereus Rock1-15 (526982.3)	5374	 	4369_4	4370	 	 	 	 	13_13, 14_14	 	 
Bacillus cereus 03BB102 (572264.4)	4181	 	3249_4	3250	 	 	 	5436_12	10_14, 11_13	 	 
Bacillus cereus 172560W (526967.3)	4582	 	3343_4	3342	 	 	 	1000_12, 5681_12	4_14	 	 
Bacillus cereus 95/8201 (526979.3)	4458	 	 	3604	 	 	 	5792_12, 844_12	926_13, 927_14	 	 
Bacillus cereus AH1134 (405533.4)	3875	 	1669_4	1668	 	 	 	3020_12	5395_14, 5396_13	 	 
Bacillus cereus AH1271 (526992.3)	1729	2698	788_4	787	 	 	 	3060_12	2_13, 3_14	 	 
Bacillus cereus AH1272 (526993.3)	2052	2998	1080_4	1079	 	 	 	4505_12	12_13, 13_14	 	 
Bacillus cereus AH187 (405534.9)	4492	5439	3478_4	3479	 	 	 	5747_12	332_14, 333_13	 	 
Bacillus cereus AH603 (526990.3)	290	1229	5121_4	5120	 	 	 	1559_12	12_13, 13_14	 	 
