Organism	PyrAB	PyrB	PyrC	PyrDq	PyrDfum	PyrDnad	PyrE	PyrF	PyrH	Ndk	Adk	PyrG	ThiA
Slackia exigua ATCC 700122 (649764.3)	163_1, 164_4	253_5	252_6	 	250_9, 251_8	 	45_13	249_14	1596_15	3_16	1562_17	465_19	 
Actinomyces cardiffensis F0333 (888050.3)	1318_4, 1319_1	1316_5	1317_6	1531_7	 	 	624_13	1320_14	 	33_16	477_17	 	1707_20
Actinomyces graevenitzii C83 (435830.3)	 	455_5	454_6	23_7	 	 	1093_13	453_14	 	608_16	1499_17	11_19	1671_20
Actinomyces naeslundii str. Howell 279 (1115803.3)	1208_4, 1209_1	1206_5	1207_6	385_7	 	 	741_13	1210_14	 	2600_16	1084_17	361_19	58_20
Actinomyces turicensis ACS-279-V-Col4 (883077.3)	799_4, 800_1	797_5	798_6	1006_7	 	 	39_13	801_14	 	1398_16	1288_17	745_19	1640_20
Corynebacterium aurimucosum ATCC 700975 (Prj:31451) (548476.7)	154_1, 155_4	157_5	156_6	88_7	 	 	989_13	153_14	1948_15	2263_16	1463_17	 	539_20
Corynebacterium durum F0235 (1035195.3)	1127_1, 1128_4	1130_5	1129_6	1013_7	 	 	2240_13	1126_14	 	1754_16	2572_17	 	869_20
Corynebacterium propinquum DSM 44285 (1121367.3)	142_1, 143_4	145_5	144_6	66_7	 	 	1275_13	141_14	 	1473_16	1814_17	 	1721_20
Gordonia rubripertincta NBRC 101908 (1077975.4)	1748_1, 1749_4	1752_5	1751_6	3862_7	 	 	2140_13	1747_14	2869_15	2815_16	1984_17	3307_19	1903_20
Gordonia terrae C-6 (1316928.3)	498_4, 499_1	495_5	496_6	592_7	 	 	281_13	500_14	1037_15	1158_16	1772_17	4492_19	343_20
Gordonia terrae NBRC 100016 (1089454.3)	3385_1, 3386_4	3389_5	3388_6	633_7	 	 	2745_13	3384_14	525_15	1120_16	4916_17	3597_19	3273_20
Mycobacterium avium subsp. paratuberculosis JQ6 (1112208.3)	511_1, 512_4	516_5	514_6, 515_6	129_7, 130_7	 	 	1923_13	510_14	3271_15	4090_16	1512_17	4612_19	3366_20
Mycobacterium avium subsp. paratuberculosis MAP4 (1199187.3)	2823_1, 2824_4	2827_5	2826_6	2008_7	 	 	4098_13	2822_14	890_15	1600_16	4457_17	2522_19	973_20
Mycobacterium avium subsp. paratuberculosis S5 (1247747.5)	1499_4, 1500_1	1496_5	1497_6	2368_7	 	 	4321_13	1501_14	3330_15	2824_16	4688_17	1821_19, 1822_19	3243_20
Mycobacterium abscessus 3A-0119-R (1001721.3)	2870_1, 2871_4	2874_5	2873_6	2095_7	 	 	4523_13	2869_14	3312_15	1686_16	3925_17	2359_19	3209_20
Mycobacterium abscessus 3A-0122-R (1001715.3)	2904_1, 2905_4	2908_5	2907_6	2132_7	 	 	4559_13	2903_14	3274_15	1726_16	3952_17	2396_19	3172_20
Mycobacterium abscessus 3A-0122-S (1001716.3)	2462_1, 2463_4	2466_5	2465_6	1691_7	 	 	4336_13	2461_14	2888_15	1249_16	3501_17	1954_19	2785_20
Mycobacterium abscessus 3A-0731 (1001718.3)	3011_1, 3012_4	3015_5	3014_6	2044_7	 	 	4601_13	3010_14	3425_15	1636_16	4034_17	2308_19	3322_20
Mycobacterium abscessus 3A-0810-R (1001717.3)	2915_1, 2916_4	2919_5	2918_6	2139_7	 	 	4526_13	2914_14	3350_15	1694_16	3960_17	2403_19	3247_20
Mycobacterium abscessus 3A-0930-R (1001720.3)	2922_1, 2923_4	2926_5	2925_6	2143_7	 	 	4473_13	2921_14	3318_15	1734_16	3929_17	2409_19	3216_20
Mycobacterium abscessus 3A-0930-S (1001719.3)	2853_1, 2854_4	2857_5	2856_6	1714_7	 	 	4399_13	2852_14	3252_15	1307_16	3859_17	1975_19	3151_20
Mycobacterium abscessus 47J26 (1087483.3)	1106_4, 1107_1	1103_5	1104_6	2662_7	 	 	3253_13	1108_14	709_15	2271_16	108_17	1575_19	811_20
Mycobacterium abscessus 4S-0116-R (1001725.3)	2531_1, 2532_4	2535_5	2534_6	2009_7	 	 	4086_13	2530_14	2886_15	1667_16	3561_17	302_19	2786_20
Mycobacterium abscessus 4S-0116-S (1001724.3)	1625_1, 1626_4	1629_5	1628_6	907_7	 	 	3177_13	1624_14	1978_15	565_16	2653_17	1172_19	1879_20
Mycobacterium abscessus 4S-0206 (1001723.3)	2535_1, 2536_4	2539_5	2538_6	1164_7	 	 	4086_13	2534_14	2889_15	823_16	3562_17	1481_19	2789_20
Mycobacterium abscessus 4S-0303 (1001722.3)	2525_1, 2526_4	2529_5	2528_6	898_7	 	 	4077_13	2524_14	2880_15	1870_16	3554_17	71_19	2780_20
Mycobacterium abscessus 4S-0726-RA (1001726.3)	2459_1, 2460_4	2463_5	2462_6	630_7	 	 	4012_13	2458_14	2814_15	1418_16	3488_17	2005_19	2714_20
Mycobacterium abscessus 4S-0726-RB (1001727.3)	2070_1, 2071_4	2074_5	2073_6	1347_7	 	 	3623_13	2069_14	2427_15	1004_16	3101_17	1615_19	2326_20
Mycobacterium abscessus 5S-0304 (1001728.3)	1702_1, 1703_4	1706_5	1705_6	917_7	 	 	3615_13	1701_14	2357_15	587_16	3042_17	1173_19	2259_20
Mycobacterium abscessus 5S-0421 (1001729.3)	1955_1, 1956_4	1959_5	1958_6	1200_7	 	 	3868_13	1954_14	2607_15	841_16	3294_17	1455_19	2510_20
Mycobacterium abscessus 5S-0422 (1001731.3)	2594_1, 2595_4	2598_5	2597_6	1893_7	 	 	4735_13	2593_14	3244_15	1536_16	4164_17	982_19	3146_20
Mycobacterium abscessus 5S-0708 (1001730.3)	4638_1, 4639_4	4642_5	4641_6	1414_7	 	 	3592_13	4637_14	2172_15	1053_16	3018_17	1670_19	5189_20
Mycobacterium abscessus 5S-0817 (1001735.3)	5060_4, 5061_1	5057_5	5058_6	981_7	 	 	3216_13	5062_14	1963_15	620_16	2645_17	1236_19	1865_20
Mycobacterium abscessus 5S-0921 (1001732.3)	2397_1, 2398_4	2401_5	2400_6	1639_7	 	 	4517_13	2396_14	3263_15	1279_16	3943_17	1895_19	3166_20
Mycobacterium abscessus 5S-1212 (1001733.3)	4469_4, 4470_1	4466_5	4467_6	1355_7	 	 	3345_13	4471_14	2090_15	995_16	2774_17	1611_19	1992_20
Mycobacterium abscessus 5S-1215 (1001734.3)	4665_1, 4666_4	4669_5	4668_6	695_7	 	 	3613_13	4664_14	2440_15	1418_16	3119_17	950_19	2342_20
Mycobacterium abscessus 6G-0125-R (1001740.3)	1890_1, 1891_4	1894_5	1893_6	1160_7	 	 	3356_13	1889_14	2262_15	663_16	2871_17	1424_19	2159_20
Mycobacterium abscessus 6G-0212 (1001739.3)	2879_1, 2880_4	2883_5	2882_6	2154_7	 	 	4343_13	2878_14	3252_15	1656_16	3860_17	2416_19	3150_20
Mycobacterium abscessus 9808 (1246644.3)	3600_1, 3601_4	3604_5	3603_6	2859_7	 	 	151_13	3599_14	 	2461_16	4075_17	3121_19	4675_20
Mycobacterium abscessus M115 (1162287.3)	2022_4, 2023_1	2019_5	2020_6	3682_7	 	 	388_13	2024_14	1618_15	3250_16	894_17	2394_19	1721_20
Mycobacterium abscessus M139 (1175632.3)	893_4, 894_1	890_5	891_6	1710_7	 	 	4208_13	895_14	3145_15	2111_16	562_17	1390_19	3045_20
Mycobacterium abscessus M152 (1176125.3)	3411_4, 3412_1	3408_5	3409_6	534_7	 	 	2301_13	3413_14	1235_15	947_16	1753_17	3736_19	1132_20
Mycobacterium abscessus M154 (1162288.3)	275_1, 276_4	279_5	278_6	3293_7	 	 	713_13	274_14	664_15	1699_16	1190_17	2886_19	561_20
Mycobacterium abscessus M156 (1185414.3)	1836_4, 1837_1	1833_5	1834_6	2760_7	 	 	725_13	1838_14	3603_15	1493_16	2360_17	3362_19	3706_20
Mycobacterium abscessus M159 (1162285.3)	1743_1, 1744_4	1747_5	1746_6	681_7	 	 	1402_13	1742_14	1926_15	2838_16	2352_17	3512_19	2030_20
Mycobacterium abscessus M172 (1162286.3)	597_1, 598_4	601_5	600_6	2468_7	 	 	1037_13	596_14	988_15	3011_16	1518_17	128_19	885_20
Mycobacterium abscessus M24 (1162284.3)	3397_1, 3398_4	3401_5	3400_6	3860_7	 	 	2202_13	3396_14	1570_15	2339_16	2572_17	4040_19	1045_20, 1225_20
Mycobacterium abscessus M93 (1149134.5)	2230_1, 2231_4	2234_5	2233_6	744_7	 	 	4610_13	2229_14	1735_15	3997_16	1063_17	63_19	1838_20
Mycobacterium abscessus M94 (1158135.4)	2134_1, 2135_4	2138_5	2137_6	502_7	 	 	300_13	2133_14	2341_15	1392_16	3128_17	2868_19	4131_20
Mycobacterium abscessus subsp. bolletii 50594 (1303024.3)	2844_1, 2845_4	2848_5	2847_6	2099_7	 	 	4392_13	2843_14	 	1771_16	3883_17	2361_19	3105_20
Mycobacterium abscessus subsp. bolletii BD (1091046.3)	2671_1, 2672_4	2675_5	2674_6	1936_7	 	 	4189_13	2669_14	3055_15	1588_16	3640_17	2203_19	2951_20
Mycobacterium fortuitum subsp. fortuitum DSM 46621 (1214102.3)	1002_4, 1003_1	999_5	1000_6	396_7	 	 	4179_13	1004_14	3914_15	4653_16	1973_17	2616_19	1633_20
Rhodococcus erythropolis XP (1078016.3)	4914_4, 4915_1	4911_5	4912_6	5127_7	 	 	6197_13	4916_14	4462_15	5748_16	1539_17, 3929_17	5175_19	693_20
Brevibacterium casei S18 (1229781.4)	1375_4, 1376_1	1372_5	1373_6	619_7	 	 	2118_13	1377_14	 	470_16	2309_17	2640_19	 
Brevibacterium massiliense 5401308 (1176165.3)	1118_1, 1119_4	1122_5	1121_6	953_7	 	 	1909_13	1117_14	 	1393_16	655_17	 	 
Brachybacterium paraconglomeratum LC44 (1064537.3)	1553_4, 1554_1	1550_5	1551_6	2541_7	 	 	434_13	1555_14	 	2251_16	1210_17	3327_19	150_20
Curtobacterium flaccumfaciens UCD-AKU (1292022.3)	102_4, 103_1	99_5	100_6	2735_7	 	 	2425_13	104_14	 	2065_16	922_17	3017_19	1998_20
Microbacterium paraoxydans 77MFTsu3.2 (1151126.3)	1277_4, 1278_1	1274_5	1275_6	999_7	 	 	2123_13	1279_14	 	1115_16	1162_17, 1885_17	927_19	765_20
Kocuria palustris PEL (1236550.3)	85_1, 86_4	89_5	88_6	48_7	 	 	977_13	84_14	 	591_16	268_17	2456_19	2295_20
Rothia aeria F0474 (1125724.3)	275_1, 276_4	279_5	278_6	219_7	 	 	1417_13	274_14	2020_15	1299_16	1705_17, 298_17	874_19	746_20
Rothia mucilaginosa M508 (563033.4)	910_4, 911_1	907_5	908_6	968_7	 	 	94_13	912_14	1492_15	 	471_17, 891_17	1279_19	396_20
Propionibacterium acidipropionici ATCC 4875 (1171373.8)	1492_4, 1493_1	3302_5	1491_6	 	 	1494_10, 1495_11	1497_13	1496_14	 	1320_16	2505_17	2060_19	2349_20
Propionibacterium acnes C1 (1234380.3)	1085_4, 1086_1	1083_5	1084_6	 	 	1087_10, 1088_11	1090_13	1089_14	 	910_16	1953_17	1510_19	1782_20
Propionibacterium acnes FZ1/2/0 (1276649.3)	1047_4, 1048_1	1045_5	1046_6	 	 	1049_10, 1050_11	1052_13	1051_14	 	868_16	1895_17	1454_19	1727_20
Propionibacterium acnes HL096PA1 (1134454.3)	1263_1, 1264_4	1266_5	1265_6	 	 	1261_11, 1262_10	1259_13	1260_14	 	1438_16	1922_17	877_19	1752_20
Propionibacterium acnes PRP-38 (1136877.3)	1748_4, 1749_1	1746_5	1747_6	 	 	1750_10, 1751_11	1753_13	1752_14	 	1570_16	174_17	2132_19	9_20
Propionibacterium avidum 44067 (1170318.3)	1238_1, 1239_4	1241_5	1240_6	 	 	1236_11, 1237_10	1234_13	1235_14	696_15	1389_16	371_17	846_19	530_20
Propionibacterium avidum ATCC 25577 (997355.3)	1933_1, 1934_4	1936_5	1935_6	 	1931_9	1932_10	1929_13	1930_14	144_15	2076_16	450_17	1549_19	275_20
Propionibacterium propionicum F0230a (767029.3)	1578_1, 1579_4	1821_5	1822_6	1577_7, 731_7	 	 	891_13	1576_14	 	 	2172_17	 	954_20
Bifidobacterium angulatum DSM 20098 = JCM 7096 (518635.7)	535_4, 536_1	741_5	743_6	1284_7, 1543_7	 	745_10, 746_11	747_13	537_14, 744_14	874_15	 	1353_17	899_19	1306_20
Bifidobacterium animalis subsp. animalis ATCC 25527 (703613.4)	641_4, 642_1	895_5	893_6	1347_7	 	890_11, 891_10	889_13	643_14, 892_14	784_15	 	433_17	935_19	487_20
Bifidobacterium animalis subsp. lactis B420 (1168290.3)	629_4, 630_1	871_5	869_6	 	 	866_11, 867_10	865_13	631_14, 868_14	 	 	407_17	911_19	460_20
Bifidobacterium animalis subsp. lactis BS 01 (911598.3)	679_4, 680_1	924_5	922_6	 	 	919_11, 920_10	918_13	681_14, 921_14	 	 	457_17	964_19	510_20
Bifidobacterium animalis subsp. lactis Bi-07 (742729.3)	628_4, 629_1	870_5	868_6	 	 	865_11, 866_10	864_13	630_14, 867_14	 	 	407_17	910_19	460_20
Bifidobacterium bifidum BGN4 (484020.3)	1254_1, 1255_4	862_5	864_6	192_7, 375_7	 	866_10, 867_11	868_13	1253_14, 865_14	980_15	 	1503_17	804_19	1444_20
Bifidobacterium bifidum LMG 13195 (1207542.3)	163_1, 164_4	978_5	976_6	1454_7, 68_7	 	973_11, 974_10	972_13	162_14, 975_14	882_15	 	303_17	1089_19	1815_20
Bifidobacterium breve CECT 7263 (1036735.3)	1275_1, 1276_4	1808_5	1810_6	1066_7, 886_7	 	1812_10, 1813_11	1814_13	1274_14, 1811_14	 	 	352_17	1748_19	1467_20
Bifidobacterium breve DPC 6330 (1074482.3)	1374_4, 1375_1, 1556_1	1810_5	1808_6	1213_7, 250_12	 	1805_11, 1806_10	1804_13	1376_14, 1807_14	603_15	 	86_17	1676_19	25_20
Bifidobacterium breve DSM 20213 = JCM 1192 (518634.7)	653_4, 654_1, 810_1	998_5	1000_6	1289_7, 484_7	 	1002_10, 1003_11	1004_13	1001_14, 655_14	 	 	1438_17	942_19	1498_20
Bifidobacterium breve HPH0326 (1203540.3)	743_4, 744_1	1846_5	1844_6	1274_12, 572_7	1841_9	1842_10	1840_13	1843_14, 745_14	1659_15	 	1112_17	1913_19	1052_20
Bifidobacterium catenulatum DSM 16992 = JCM 1194 (566552.6)	1611_4, 1612_1	742_5	740_6	1031_7, 1502_7	 	737_11, 738_10	736_13	1613_14, 739_14	611_15	 	1334_17	851_19	1148_20
Bifidobacterium longum subsp. infantis ATCC 15697 = JCM 1222 (391904.8)	2010_1, 2177_1, 753_4, 754_1	1510_5	1508_6	2400_12	 	1505_11, 1506_10	1504_13	1507_14, 755_14	 	 	2291_17	1664_19	2221_20
Bifidobacterium longum subsp. longum 1-6B (1161744.3)	1693_4, 1694_1	1743_5	1741_6	1440_7, 312_7	 	1738_11, 1739_10	1737_13	1695_14, 1740_14	1481_15	 	529_17	152_19, 154_19	467_20
Bifidobacterium longum subsp. longum 2-2B (1161745.3)	1632_4, 1633_1, 1634_1, 1635_1	1216_5	1214_6	1290_7, 208_7	 	1210_11, 1211_10	1209_13	1212_14, 1213_14, 1636_14	640_15	 	554_17	758_19	490_20
Bifidobacterium longum subsp. longum 35B (1161904.3)	527_4, 528_1	170_5	168_6	1525_7, 1734_7	 	165_11, 166_10	164_13	167_14, 529_14	140_15	 	36_17	1198_19	228_20
Bifidobacterium longum subsp. longum 44B (1161743.3)	1515_1, 1516_4	1126_5	1128_6	1266_7, 1764_7	 	1130_10, 1131_11	1132_13	1129_14, 1514_14	1957_15	 	1031_17	2054_19, 2056_19	1625_20
Bifidobacterium longum subsp. longum CMCC P0001 (1266716.3)	643_4, 644_1	1240_5	1238_6	1385_7, 1474_7	 	1235_11, 1236_10	1234_13	1237_14, 645_14	1806_15	 	617_17	1068_19	1184_20
Bifidobacterium pseudocatenulatum DSM 20438 = JCM 1200 (547043.8)	31_1, 32_4	1155_5	1157_6	443_7, 928_7	 	1159_10, 1160_11	1161_13	1158_14, 30_14	1293_15	 	270_17	1097_19	213_20
Bifidobacterium thermophilum RBL67 (1254439.12)	1158_1, 1159_4	1087_5	1085_6	266_7, 441_7	1082_9, 1083_8	 	1081_13	1084_14, 1157_14	 	 	1422_17	962_19	1348_20
Atopobium minutum 10063974 (997872.3)	 	802_5	803_6	 	804_8, 805_9	 	1240_13	806_14	 	 	398_17	 	677_20
Collinsella tanakaei YIT 12063 (742742.3)	1807_1, 1808_4	243_5	244_6	 	245_8, 246_9	 	1054_13	247_14	 	1621_16	1408_17	577_19	481_20
Slackia piriformis YIT 12062 (742818.3)	 	1039_5	1038_6	 	1036_9, 1037_8	 	846_13	1035_14	 	1124_16	268_17	457_19	 
Bacteroides fragilis ATCC 25285 (272559.3)	2326_1, 2327_4, 3856_1	2141_5	3058_6	1867_12	 	2403_10, 2404_11	354_13	728_14	 	3428_16	986_17	2797_19	3888_20
Bacteroides caccae ATCC 43185 (411901.7)	3173_1, 417_4, 418_1	720_5	2115_6	 	 	531_11, 532_10	3076_13	1689_14	 	3219_16	3350_17	869_19	2985_20
Bacteroides caccae CL03T12C61 (997873.3)	2256_1, 2257_4, 32_1	1786_5	1249_6	 	2143_9	2142_10	3596_13	271_14	 	81_16	745_17	1563_19	4381_20
Bacteroides capillosus ATCC 29799 (411467.6)	794_1, 795_4	106_5	3128_6	 	1800_8, 2920_8, 3125_9, 3126_8	 	2709_13	3127_14	3046_15	 	2261_17	32_19	3304_20
Bacteroides cellulosilyticus CL02T12C19 (997874.3)	4670_1, 4671_4, 4795_1	4335_5	3315_6	 	 	4590_10, 4591_11	2459_13	319_14	6170_15	665_16	341_17	3691_19	5154_20
Bacteroides cellulosilyticus DSM 14838 (537012.5)	3625_1, 3626_4, 865_1	4175_5	5021_6	 	 	4366_10, 4367_11	2130_13	2871_14	2568_15	3238_16	2903_17	3848_19	844_20
Bacteroides clarus YIT 12056 (762984.3)	2541_1, 3062_4, 3063_1	776_5	328_6	 	664_9, 665_8	 	1619_13	2396_14	 	 	2381_17	807_19	2937_20
Bacteroides coprocola DSM 17136 (470145.6)	194_1, 195_4, 2722_1	2540_5	937_6	2800_7	 	2512_11, 2513_10	2840_13	72_14	3404_15	3802_16	3244_17, 3245_17	2548_19	900_20
Bacteroides coprophilus DSM 18228 (547042.5)	2318_1, 2586_4, 2587_1	68_5	2560_6	1264_7	 	2231_10, 2232_11	2183_13	2694_14	2001_15	1464_16	1622_17	59_19	1933_20
Bacteroides dorei CL02T00C15 (997875.3)	1698_4, 1699_1, 2300_1	3932_5	756_6	 	 	3901_11, 3902_10	3263_13	1386_14	 	3489_16	5215_17, 5216_17	3947_19	1123_20
Bacteroides dorei CL02T12C06 (997876.3)	2587_4, 2588_1, 4481_1	3524_5	1080_6	 	 	3493_11, 3494_10	1919_13	2279_14	 	4211_16	5285_17, 5286_17	3539_19	5161_20
Bacteroides dorei CL03T12C01 (997877.3)	2045_4, 2046_1, 3504_1	99_5	1370_6	 	 	129_10, 130_11	3399_13	1751_14	 	4443_16	4528_17, 4529_17	84_19	4278_20
Bacteroides dorei DSM 17855 (483217.6)	32_1, 766_4, 767_1	2375_5	3387_6	 	 	2409_10, 2410_11	4302_13	467_14	2791_15	1157_16	275_17, 276_17	2361_19	2714_20
Bacteroides eggerthii 1_2_48FAA (665953.3)	2065_1, 3697_4, 3698_1	2690_5	274_6	 	 	3441_11, 3442_10	702_13	1634_14	1479_15	 	1652_17	2658_19	1808_20
Bacteroides eggerthii DSM 20697 (483216.6)	2416_1, 2417_4, 28_1	2183_5	2614_6	 	 	2286_10, 2287_11	3377_13	1602_14	1455_15	 	1618_17	2153_19	295_20
Bacteroides faecis MAJ27 (1077285.3)	1333_1, 3611_1, 3612_4	3327_5	2496_6	3076_7	3179_9, 3180_8	 	1200_13	1682_14	 	1389_16	1857_17	3577_19	4560_20
Bacteroides finegoldii DSM 17565 (483215.6)	1738_4, 1739_1, 779_1	2765_5	2162_6	 	 	2139_10, 2140_11	2648_13	3835_14	3920_15	732_16	3954_17	1772_19, 1773_19	1524_20
Bacteroides fluxus YIT 12057 (763034.3)	1989_1, 3337_4, 3338_1	2410_5	704_6	 	 	31_11, 32_10	3066_13	3480_14	 	 	3508_17	1049_19	1116_20
Bacteroides fragilis 3_1_12 (457424.5)	1611_1, 1612_4, 4319_1	1229_5	3102_6	1166_7	 	1397_10, 1398_11	2463_13	1808_14	901_15	3715_16	2001_17	1574_19	3510_20
Bacteroides fragilis 638R (862962.3)	2721_1, 2723_4, 4031_1, 4032_1	2361_5	3056_6	2315_7	 	2497_10, 2498_11	535_13	912_14	 	3955_16	1122_17	2685_19	3681_20
Bacteroides fragilis CL03T00C08 (997878.3)	2568_1, 2569_4, 4422_1	2239_5	2890_6	2192_7	 	2388_10, 2389_11	497_13	947_14	732_15	4064_16	1151_17	2532_19	3764_20
Bacteroides fragilis CL03T12C07 (997879.3)	3710_1, 3711_4, 70_1	3382_5	1724_6	3335_7	 	3532_10, 3533_11	1022_13	1469_14	1255_15	2900_16	4430_17	3674_19	2598_20
Bacteroides fragilis CL05T00C42 (997880.3)	3149_1, 4413_1, 4414_4	3869_5	2533_6	3915_7	 	3742_11, 3743_10	2158_13	4249_14	4044_15	3076_16	1056_17	4380_19	3604_20
Bacteroides fragilis CL05T12C13 (997881.3)	4232_4, 4233_1, 4560_1	3402_5	2639_6	3450_7	 	3268_11, 3269_10	497_13	875_14	665_15	3905_16	1086_17	4268_19	3108_20
Bacteroides fragilis CL07T00C01 (997882.3)	4724_1, 98_4, 99_1	623_5	4330_6	671_7	 	357_11, 358_10	2459_13	2061_14	2298_15	4094_16	1853_17	134_19	3694_20
Bacteroides fragilis CL07T12C05 (997883.3)	2939_1, 2940_4, 4730_1	2417_5	3932_6	2370_7	 	2680_10, 2681_11	581_13	980_14	744_15	3695_16	1188_17	2904_19	3292_20
Bacteroides fragilis HMW 610 (1073386.3)	3838_1, 850_1, 851_4	455_5	1330_6	315_7	 	640_10, 641_11	3603_13	3194_14	3418_15	2221_16	2995_17	814_19	1967_20
Bacteroides fragilis HMW 615 (1073387.4)	1607_1, 2548_4, 2549_1	4344_5	2230_6	4393_7	2844_9	2845_10	690_13	336_14	 	4303_16	134_17	2586_19	4061_20
Bacteroides fragilis HMW 616 (1073388.3)	2082_1, 2083_4, 3473_1	1657_5	4756_6	1598_7	 	1870_10, 1871_11	4482_13	201_14	4730_15	3392_16	406_17	2044_19	3106_20
Bacteroides fragilis NCTC 9343 (272559.17)	2668_1, 2669_4, 3892_1	2254_5	2991_6	2206_12	 	2488_10, 2489_11	450_13	822_14	615_15	3816_16	1017_17	2634_19	3597_20
Bacteroides fragilis YCH46 (295405.11)	2545_1, 2546_4, 3883_1	2146_5	2996_6	2099_7	 	2318_10, 2319_11	526_13	912_14	 	3806_16	1109_17	2512_19	3583_20
Bacteroides intestinalis DSM 17393 (471870.8)	1806_4, 1807_1, 30_1	2117_5	2713_6	 	 	1878_11, 1879_10	565_13	4151_14	4379_15	3899_16	4126_17	2381_19	4719_20
Bacteroides massiliensis B84634 = Timone 84634 = DSM 17679 = JCM 13223 (1121098.4)	3158_1, 3475_4, 3476_1	1397_5	453_6	 	 	1422_10, 1423_11	609_13	1061_14	2493_15	2973_16	2440_17, 2441_17	1382_19	1975_20
Bacteroides massiliensis dnLKV3 (1235788.3)	2027_4, 2028_1, 4080_1	3347_5	2626_6	 	 	3319_11, 3320_10	3090_13	1185_14	 	1085_16, 1086_16	4471_17, 4472_17	3361_19	2917_20
Bacteroides nordii CL02T12C05 (997884.3)	2069_4, 2070_1, 3976_1	2507_5	1923_6	 	2673_8, 2674_9	 	778_13	1234_14	 	3710_16	1478_17	2917_19	1310_20
Bacteroides oleiciplenus YIT 12058 (742727.4)	129_4, 130_1, 2873_1	360_5	3764_6	5062_7	208_9, 209_8	 	1922_13	4211_14	 	1343_16	4190_17	896_19	3265_20
Bacteroides ovatus 3_8_47FAA (665954.3)	1320_1, 1321_4, 3274_1	1020_5	3605_6	3788_7, 3789_7	 	639_11, 640_10	2761_13	2305_14	4096_15	3217_16	2468_17	1248_19	4314_20
Bacteroides ovatus ATCC 8483 (411476.11)	1350_1, 3191_1, 3192_4	191_5	1494_6	 	 	329_10, 330_11	3003_13	4294_14	2602_15	1409_16	4443_17	3137_19	1900_20
Bacteroides ovatus CL02T12C04 (997885.3)	133_4, 134_1, 6212_1	414_5	1677_6	 	620_9	619_10	4332_13	2855_14	6058_15	6277_16	2706_17	189_19	3924_20
Bacteroides ovatus CL03T12C18 (997886.3)	1383_1, 2877_4, 2878_1	3124_5	2633_6	5450_7	 	3327_10, 3328_11	1235_13	1804_14	3891_15	1454_16	1954_17	2915_19	3469_20, 3617_20, 4540_20
Bacteroides ovatus SD CC 2a (702444.3)	1997_1, 3380_4, 3381_1	2914_5	1770_6	 	 	402_10, 403_11	487_13	3303_14	3973_15	3105_16	2906_17	212_19	1742_20, 3391_20
Bacteroides pectinophilus ATCC 43243 (483218.5)	2359_1, 2360_4	1096_5, 534_5	1749_6, 1750_6	 	 	1752_10, 1753_11	2498_13	1751_14	 	 	895_17	763_19	2289_20
Bacteroides plebeius DSM 17135 (484018.6)	1063_1, 3069_1, 3070_4	1466_5	1824_6	1428_7	 	312_11, 313_10	825_13	2812_14	1102_15	3215_16	1082_17	1457_19	2799_20
Bacteroides salyersiae CL02T12C01 (997887.3)	2703_4, 2704_1, 4737_1	3066_5	2540_6	 	3236_9	3235_10	1184_13	527_14	775_15	4289_16	316_17	3374_19	4523_20
Bacteroides salyersiae WAL 10018 = DSM 18765 = JCM 12988 (1121101.3)	102_1, 103_4, 4154_1	3482_5	262_6	 	 	3334_11, 3335_10	1446_13	927_14	1165_15	4000_16	726_17	3193_19	3865_20
Bacteroides sp. 1_1_14 (469585.3)	1639_1, 4203_4, 4204_1	2458_5	877_6	2227_7	 	2112_10, 2113_11, 2114_11	3661_13	49_14	 	1698_16	252_17	4247_19	1950_20
Bacteroides sp. 1_1_30 (457387.3)	1828_1, 658_1, 659_4, 660_4	61_5	2968_6, 2969_6	 	 	255_10, 256_11	4559_13	4868_14	919_15	1887_16	4668_17	3395_19	1242_20
Bacteroides sp. 1_1_6 (469586.3)	2557_1, 988_1, 989_4	725_5	378_6	457_7	 	587_11, 588_10	3529_13	2197_14	 	2499_16	2017_17	954_19	3282_20
Bacteroides sp. 20_3 (469591.4)	1778_1, 3207_1, 3209_4, 455_1	2925_5	2455_6	 	 	2646_10, 2647_11	793_13	3980_14	247_15	2099_16	1843_17	3595_19	844_20
Bacteroides sp. 2_1_22 (469588.3)	1832_4, 1833_1, 3083_1	2019_5	 	 	 	1199_10, 1200_11	1069_13	3504_14	1350_15	3138_16	3669_17	1872_19	1634_20
Bacteroides sp. 2_1_33B (469589.3)	1966_1, 891_1, 892_4	646_5	193_6	 	 	429_10, 430_11	1735_13	2682_14	2025_15	1131_16	2444_17	1083_19	1432_20
Bacteroides sp. 2_1_7 (457388.5)	136_1, 1806_1, 1807_4	1588_5	1068_6	 	1230_8, 1231_9	 	778_13	2169_14	196_15	2810_16	1973_17	2861_19	 
Bacteroides sp. 2_2_4 (469590.5)	3786_4, 3787_1, 3965_1	4649_5	952_6	 	 	5641_10, 5642_11	3452_13	1887_14	4952_15	4029_16	2036_17	3841_19	3218_20
Bacteroides sp. 3_1_19 (469592.4)	1388_4, 1389_1, 298_1, 3701_1	1645_5	2898_6	 	1883_9	1884_10	576_13	2186_14	238_15	2545_16	2404_17	3796_19	644_20
