Organism	CysE	CysK	CysD	CysC	CysH	CysIJ	MetC	CysABC
Mycobacterium abscessus M94 (1158135.4)	343_4	2557_5, 2635_8, 3813_7, 874_7	1550_10, 1551_9, 216_10, 217_9, 4877_9, 4878_10	217_9, 4877_9	1549_12	1548_16, 2254_15, 2260_15, 4599_15	 	 
Mycobacterium abscessus subsp. bolletii 50594 (1303024.3)	3396_4	1263_8, 1339_5, 1540_7, 459_7	1708_9, 1709_10, 1822_9, 1823_10, 4271_10, 4272_9	1708_9	1824_12	1825_16, 2480_15, 2486_15	 	 
Mycobacterium abscessus subsp. bolletii BD (1091046.3)	3255_4	1182_8, 1258_5, 1464_7, 344_7	1528_9, 1529_10, 1642_9, 1643_10, 4107_10, 4108_9	1528_9, 4108_9	1644_12	1645_16, 2271_15, 2319_15, 2325_15	 	 
Mycobacterium fortuitum subsp. fortuitum DSM 46621 (1214102.3)	658_4	1311_7, 3860_5, 3949_7, 5046_8	523_9, 524_10, 5568_9, 5569_10	523_9, 5568_9	99_12	5024_15, 98_16	 	 
Rhodococcus erythropolis XP (1078016.3)	3403_1, 4352_4	165_7, 3402_5, 480_8	187_9, 188_10, 2438_9, 2439_10, 5701_10, 5702_9, 5906_9, 5907_10	187_9, 2438_9, 5906_9	5700_12	1936_15, 5699_16	 	 
Brevibacterium casei S18 (1229781.4)	2366_1	2367_5	2242_10, 2243_9	 	2241_12	2240_16	 	 
Brevibacterium massiliense 5401308 (1176165.3)	742_1	741_5	 	 	 	 	 	 
Brachybacterium paraconglomeratum LC44 (1064537.3)	1902_1, 619_4	1607_5, 1901_5, 43_7	 	 	 	 	 	 
Curtobacterium flaccumfaciens UCD-AKU (1292022.3)	1504_1	1503_5, 1667_8	 	 	 	55_15	 	 
Microbacterium paraoxydans 77MFTsu3.2 (1151126.3)	1851_2, 3208_1	3207_5, 57_8	 	 	 	 	 	 
Kocuria palustris PEL (1236550.3)	1720_1, 2477_4	1721_5, 1729_5	954_10, 955_9	 	953_12	952_16	 	 
Rothia aeria F0474 (1125724.3)	840_1	839_5	 	 	 	 	 	 
Rothia mucilaginosa M508 (563033.4)	736_1	737_5	 	 	 	 	 	 
Propionibacterium acidipropionici ATCC 4875 (1171373.8)	1925_1, 2217_4, 2218_4, 2450_1	1835_5	172_10, 173_9	 	 	 	 	 
Propionibacterium acnes C1 (1234380.3)	154_3, 1885_1	1046_5	 	 	 	 	 	 
Propionibacterium acnes FZ1/2/0 (1276649.3)	1827_1	1007_5	 	 	 	 	 	 
Propionibacterium acnes HL096PA1 (1134454.3)	1852_1	1301_5	 	 	 	 	 	 
Propionibacterium acnes PRP-38 (1136877.3)	107_1, 867_3	1710_5	 	 	 	 	 	 
Propionibacterium avidum 44067 (1170318.3)	2043_3, 2353_4, 434_1	1274_5	 	 	 	 	 	 
Propionibacterium avidum ATCC 25577 (997355.3)	1147_3, 371_1, 840_4	1968_5	 	 	 	 	 	 
Propionibacterium propionicum F0230a (767029.3)	2647_3, 908_1	2074_5	 	 	 	 	 	 
Bifidobacterium angulatum DSM 20098 = JCM 7096 (518635.7)	1569_4, 1611_4, 194_4	453_8	 	 	 	 	403_18	 
Bifidobacterium animalis subsp. animalis ATCC 25527 (703613.4)	172_4	591_8	 	 	 	 	 	 
Bifidobacterium animalis subsp. lactis B420 (1168290.3)	170_4	568_8	 	 	 	 	 	 
Bifidobacterium animalis subsp. lactis BS 01 (911598.3)	217_4	619_8	 	 	 	 	 	 
Bifidobacterium animalis subsp. lactis Bi-07 (742729.3)	169_4	568_8	 	 	 	 	 	 
Bifidobacterium bifidum BGN4 (484020.3)	 	1310_8	 	 	 	 	 	 
Bifidobacterium bifidum LMG 13195 (1207542.3)	 	1844_8	 	 	 	 	1600_18	 
Bifidobacterium breve CECT 7263 (1036735.3)	1287_4, 1288_4	879_8	 	 	 	 	 	 
Bifidobacterium breve DPC 6330 (1074482.3)	1363_4, 1364_4	1261_8	 	 	 	 	1586_18	 
Bifidobacterium breve DSM 20213 = JCM 1192 (518634.7)	636_4, 637_4	535_8	 	 	 	 	 	 
Bifidobacterium breve HPH0326 (1203540.3)	731_4, 732_4	623_8	 	 	 	 	2075_18	1271_20
Bifidobacterium catenulatum DSM 16992 = JCM 1194 (566552.6)	730_4	1541_8	 	 	 	 	321_18	 
Bifidobacterium longum subsp. infantis ATCC 15697 = JCM 1222 (391904.8)	1967_4, 1968_4	2085_8	 	 	 	 	 	 
Bifidobacterium longum subsp. longum 1-6B (1161744.3)	1008_4, 1024_4, 1865_4, 1866_4	1989_8	 	 	 	 	1758_18	 
Bifidobacterium longum subsp. longum 2-2B (1161745.3)	2125_4, 2126_4, 611_4	822_8	 	 	 	 	211_18	 
Bifidobacterium longum subsp. longum 35B (1161904.3)	333_4, 447_4, 448_4	1583_8	 	 	 	 	1528_18	 
Bifidobacterium longum subsp. longum 44B (1161743.3)	2136_4, 2152_4, 426_4, 427_4	523_8	 	 	 	 	 	 
Bifidobacterium longum subsp. longum CMCC P0001 (1266716.3)	1307_4, 1357_4, 44_4, 45_4	758_8	 	 	 	 	1389_18	 
Bifidobacterium pseudocatenulatum DSM 20438 = JCM 1200 (547043.8)	1167_4	95_8	 	 	 	 	721_18	 
Bifidobacterium thermophilum RBL67 (1254439.12)	366_1, 992_4	1230_8	 	 	 	 	 	 
Atopobium minutum 10063974 (997872.3)	446_1	444_5	 	 	 	 	 	 
Collinsella tanakaei YIT 12063 (742742.3)	1048_1, 168_3	1495_5	 	 	 	 	 	 
Slackia piriformis YIT 12062 (742818.3)	1679_3, 300_1	363_5, 56_5	 	 	 	 	 	 
Bacteroides fragilis ATCC 25285 (272559.3)	1190_4, 2514_1, 2524_1, 4088_4, 486_1, 974_4	2920_5, 3177_5	1570_10, 1571_9	1569	 	 	 	 
Bacteroides caccae ATCC 43185 (411901.7)	1353_1	1215_5, 3593_5	2184_10, 2185_9	2183	 	 	 	 
Bacteroides caccae CL03T12C61 (997873.3)	4030_1	2932_5, 3389_5	1380_10, 1381_9	1379	 	 	 	 
Bacteroides capillosus ATCC 29799 (411467.6)	1385_4, 1924_1, 3570_4	2166_5, 282_5	 	 	 	 	 	 
Bacteroides cellulosilyticus CL02T12C19 (997874.3)	1275_4, 3222_4, 4448_4, 4647_4, 5253_4, 5350_1	2676_5, 5351_5	3461_10, 3462_9	3460	5470_12	 	 	 
Bacteroides cellulosilyticus DSM 14838 (537012.5)	1873_1, 3578_4, 4217_4	1874_5, 4957_5	4448_9, 4449_10	4450	 	 	 	 
Bacteroides clarus YIT 12056 (762984.3)	1807_1	1808_5, 995_5	404_10, 405_9	403	 	 	2418_18	 
Bacteroides coprocola DSM 17136 (470145.6)	1285_1	210_5	3713_9, 3714_10	3715	 	 	3461_18	 
Bacteroides coprophilus DSM 18228 (547042.5)	1834_1, 364_2	2951_5	2015_10, 2016_9	2014	 	 	2630_18	 
Bacteroides dorei CL02T00C15 (997875.3)	1779_4, 3088_1, 4908_4	2305_5	2293_10, 2294_9	2292	 	 	998_18	 
Bacteroides dorei CL02T12C06 (997876.3)	1739_1, 250_4, 2666_4	4486_5	4474_10, 4475_9	4473	 	 	5035_18	 
Bacteroides dorei CL03T12C01 (997877.3)	2535_1	3509_5	3497_10, 3498_9	3496	 	 	1537_18	 
Bacteroides dorei DSM 17855 (483217.6)	1323_2, 1972_1, 3122_4, 597_4, 743_4	37_5	25_10, 26_9	24	 	 	931_18	 
Bacteroides eggerthii 1_2_48FAA (665953.3)	1055_1	1056_5, 4076_5, 4077_5	3199_9, 3200_10	3201	 	 	 	 
Bacteroides eggerthii DSM 20697 (483216.6)	3028_1	1678_5, 3027_5	1214_10, 1215_9	1213	 	 	 	 
Bacteroides faecis MAJ27 (1077285.3)	39_4, 4513_1, 772_1	4328_5, 635_5	2804_10, 2805_9	2803	 	 	3867_18	 
Bacteroides finegoldii DSM 17565 (483215.6)	1786_1, 3487_1	3772_5, 430_5	2240_10, 2241_9	2239	 	 	1313_18	 
Bacteroides fluxus YIT 12057 (763034.3)	1399_4, 2067_1, 3192_3	2066_5, 92_5	2195_9, 2196_10	2197	 	 	1837_18	 
Bacteroides fragilis 3_1_12 (457424.5)	1725_2, 2216_2, 2833_1, 2939_1, 4155_4, 681_1	3487_5, 4553_5, 682_5	332_10, 333_9	331	 	 	1220_18	 
Bacteroides fragilis 638R (862962.3)	1113_2, 1892_4, 2889_1, 4346_4, 87_1	3396_5, 4734_5	1685_10, 1687_9	1684	 	 	2223_18	 
Bacteroides fragilis CL03T00C08 (997878.3)	1136_4, 139_1, 4229_4, 653_1	3368_5, 50_5, 654_5	1716_10, 1717_9	1715	 	 	2104_18	 
Bacteroides fragilis CL03T12C07 (997879.3)	1177_1, 1555_1, 292_4, 4445_4, 665_1	1178_5, 2199_5, 577_5	3863_9, 3864_10	3865	 	 	3245_18	 
Bacteroides fragilis CL05T00C42 (997880.3)	1348_4, 1699_1, 4163_2, 716_3	1602_5, 2841_5	502_9, 503_10	504	 	 	 	 
Bacteroides fragilis CL05T12C13 (997881.3)	138_1, 1439_2, 1442_2, 786_2	2318_5, 52_5	1658_10, 1659_9	1657	 	 	 	 
Bacteroides fragilis CL07T00C01 (997882.3)	1519_2, 1522_2, 2152_2, 2873_1, 3327_4	2981_5, 4648_5	1290_9, 1291_10	1292	 	 	 	 
Bacteroides fragilis CL07T12C05 (997883.3)	1520_2, 1523_2, 164_1, 4561_4, 889_2	4249_5, 50_5	1749_10, 1750_9	1748	 	 	 	 
Bacteroides fragilis HMW 610 (1073386.3)	1005_1, 4102_4, 4651_1	1685_5, 4735_5	2488_9, 2489_10	2490	 	 	3114_18	 
Bacteroides fragilis HMW 615 (1073387.4)	1072_1, 1430_4, 149_4, 2393_1, 2400_1	1168_5, 1905_5	3687_10, 3688_9	3686	 	 	 	 
Bacteroides fragilis HMW 616 (1073388.3)	3779_4, 4136_1	2737_5, 4043_5	907_10, 908_9	906	 	 	282_18	 
Bacteroides fragilis NCTC 9343 (272559.17)	1003_4, 1246_4, 2817_1, 4218_4, 96_1	3304_5, 4480_5	1635_10, 1636_9	1634	 	 	 	 
Bacteroides fragilis YCH46 (295405.11)	126_1, 1400_2, 2701_1, 4146_4, 663_4, 826_2	3296_5, 4401_5	1619_10, 1621_9	1618	 	 	2024_18	 
Bacteroides intestinalis DSM 17393 (471870.8)	1827_4, 2055_4, 3452_4, 3560_4, 925_1	3063_5, 924_5	2591_9, 2592_10	2593	 	 	 	 
Bacteroides massiliensis B84634 = Timone 84634 = DSM 17679 = JCM 13223 (1121098.4)	1572_4, 425_4, 65_1	3694_5	3831_9, 3832_10	3833	 	 	 	 
Bacteroides massiliensis dnLKV3 (1235788.3)	213_1	4076_5	4085_9, 4086_10	4087	 	 	 	 
Bacteroides nordii CL02T12C05 (997884.3)	2142_1, 2146_2, 2230_4, 3517_4, 406_1	232_5, 3004_5	1988_10, 1989_9	1987	 	 	 	 
Bacteroides oleiciplenus YIT 12058 (742727.4)	1032_4, 2617_1, 3308_2, 3569_4, 5273_2, 871_1	2618_5, 5538_5	3648_9, 3649_10	3650	 	 	 	 
Bacteroides ovatus 3_8_47FAA (665954.3)	1234_1, 1303_1, 1888_4, 5136_4, 553_1	351_5, 4709_5	4782_9, 4783_10	4784	 	 	1798_18, 2987_18	 
Bacteroides ovatus ATCC 8483 (411476.11)	3562_4, 978_1	2332_5, 3921_5	1629_10, 1630_9	1628	 	 	1261_18, 4199_18	 
Bacteroides ovatus CL02T12C04 (997885.3)	1515_4, 3360_4, 4882_1	3753_5, 5273_5	1365_9, 1366_10	1367	 	 	3273_18	 
Bacteroides ovatus CL03T12C18 (997886.3)	2938_4, 3973_1, 4345_4, 716_1	3972_5, 496_5, 5103_5	4606_10, 4607_9	4605	314_12	 	 	 
Bacteroides ovatus SD CC 2a (702444.3)	1324_1, 2554_4	1619_5, 4818_5	726_10, 727_9	725	 	 	4946_18	 
Bacteroides pectinophilus ATCC 43243 (483218.5)	1789_1, 634_4	1781_5	2470_9, 2471_10	 	 	 	 	 
Bacteroides plebeius DSM 17135 (484018.6)	1308_1, 2333_2	141_5	1117_10, 1118_9	1116	 	 	2541_18	 
Bacteroides salyersiae CL02T12C01 (997887.3)	1651_1, 3880_4, 841_4	1786_5, 3458_5	2599_10, 2600_9	2598	 	 	 	 
Bacteroides salyersiae WAL 10018 = DSM 18765 = JCM 12988 (1121101.3)	1845_1, 2872_4, 3052_1, 4033_4	1993_5, 2395_5	203_9, 204_10	205	 	 	 	 
Bacteroides sp. 1_1_14 (469585.3)	1005_3, 3426_4, 3873_1	2915_5, 4279_5	1029_10, 1030_9	1028	1218_12	 	1904_18, 3087_18	 
Bacteroides sp. 1_1_30 (457387.3)	1615_1, 1794_3	1365_5, 4196_5	3648_10, 3649_9	3647	 	 	2087_18, 3084_18	 
Bacteroides sp. 1_1_6 (469586.3)	1839_1, 3844_4	1226_5, 4098_5	68_10, 69_9	67	 	 	2276_18	 
Bacteroides sp. 20_3 (469591.4)	1777_4, 1808_4, 2714_1, 4335_4, 4339_3, 441_4, 82_1	2852_5	2996_9, 2997_10	2999	 	 	2838	 
Bacteroides sp. 2_1_22 (469588.3)	2673_4, 392_1	4202_5, 576_5	2755_10, 2756_9	2754	 	 	3835_18	 
Bacteroides sp. 2_1_33B (469589.3)	1485_1, 1979_4, 2412_4, 271_4, 2789_3, 3739_3, 499_1	564_5	718_9, 719_10	720	 	 	552_18	 
Bacteroides sp. 2_1_7 (457388.5)	1304_1, 151_4, 1941_4, 2313_3, 432_1	1522_5	1635_9, 1636_10	1637	 	 	1510	 
Bacteroides sp. 2_2_4 (469590.5)	2946_1, 528_4, 906_4	1261_5, 325_5	815_9, 816_10	817	 	 	450_18	 
Bacteroides sp. 3_1_19 (469592.4)	1814_1, 2122_3, 2126_4, 2436_4, 283_4, 3870_4, 956_1	1741_5	1597_10, 1598_9	1596	 	 	1753	 
Bacteroides sp. 3_1_23 (457390.3)	1435_4, 2133_1, 900_4	1914_5, 4960_5	4666_10, 4667_9	4665	 	 	1275_18	 
Bacteroides sp. 3_1_33FAA (457391.3)	1489_4, 2003_1, 4432_4	2998_5	2986_10, 2987_9	2985	 	 	1034_18, 1327_18	 
Bacteroides sp. 3_1_40A (469593.3)	2479_4, 3481_4, 487_4, 952_1	2818_5	2689_10, 2690_9	2688	 	 	4185_18	 
Bacteroides sp. 3_2_5 (457392.3)	1032_1, 1453_4, 1652_1, 3503_4, 784_2	1129_5, 2152_5	42_9, 43_10	44	 	 	1559_18	 
Bacteroides sp. 4_1_36 (457393.3)	2881_3, 3117_4, 496_1	1520_5, 497_5	1557_9, 1558_10	1559	 	 	1441_18, 3336_18	 
Bacteroides sp. 4_3_47FAA (457394.3)	2198_4, 3690_4, 664_1, 859_4	2970_5	2981_9, 2982_10	2983	 	 	2411_18	 
Bacteroides sp. 9_1_42FAA (457395.6)	4627_4, 794_1	4571_5	4582_9, 4583_10	4584	 	 	4086_18, 86_18	 
Bacteroides sp. D1 (556258.5)	1434_4, 228_1	3686_5, 428_5	1517_10, 1518_9	1516	 	 	2422_18	 
Bacteroides sp. D2 (556259.3)	1823_1, 3440_4, 4036_4	2045_5, 3069_5	439_9, 440_10	441	 	 	1386_18	 
Bacteroides sp. D20 (585543.3)	2126_1, 2685_4	2127_5, 7_5	992_10, 993_9	991	 	 	3159_18, 378_18	 
Bacteroides sp. D22 (585544.3)	4041_4, 4772_1	1162_5, 3069_5	1273_10, 1274_9	1272	 	 	2587_18	 
Bacteroides stercoris ATCC 43183 (449673.7)	1122_3, 1396_4, 2010_1, 2626_4	1312_5, 2009_5	1634_10, 1635_9	1633	 	 	 	 
Bacteroides stercoris CC31F (1073351.3)	3124_1, 3136_3, 315_1	2953_5, 314_5	868_9, 869_10	870	 	 	 	 
Bacteroides thetaiotaomicron CL09T03C10 (997888.3)	2067_1	1932_5, 1941_5, 921_5	372_9, 373_10	374	 	 	1544_18	 
Bacteroides thetaiotaomicron VPI-5482 (226186.12)	3320_1, 392_1	1902_5, 3139_5	411_10, 413_9	410	 	 	 	 
Bacteroides thetaiotaomicron dnLKV9 (1235785.3)	3661_1	12_5, 3517_5	1581_9, 1582_10	1583	2909_13	 	 	 
Bacteroides uniformis ATCC 8492 (411479.10)	2199_1, 2569_4, 3606_1, 3740_3, 4038_4	1313_5, 3605_5	1514_9, 1515_10	1516	 	 	855_18	 
Bacteroides uniformis CL03T00C23 (997889.3)	1564_1, 507_4	1565_5, 2642_5	3038_10, 3039_9	3037	 	 	2374_18	 
Bacteroides uniformis CL03T12C37 (997890.3)	3101_1, 470_4	2609_5, 3100_5	2214_9, 2215_10	2216	 	 	4010_18	 
Bacteroides uniformis dnLKV2 (1235787.3)	1474_4, 533_1	1982_5, 534_5	2417_10, 2418_9	2416	 	 	 	 
Bacteroides vulgatus ATCC 8482 (435590.9)	1131_1, 1563_4, 1613_4, 714_4	416_5	427_9, 428_10	429	 	 	 	 
Bacteroides vulgatus EK4.2 (702445.3)	1809_3, 894_1	2437_5, 767_8	 	 	 	 	1554_18, 591_18	 
Bacteroides vulgatus PC510 (702446.3)	2534_1, 2925_4, 978_4	659_5	670_9, 671_10	672	 	 	 	 
Bacteroides vulgatus dnLKV7 (1235786.3)	1430_4, 3950_1	3253_5	3266_9, 3267_10	3268	 	 	 	 
Bacteroides xylanisolvens CL03T12C04 (997892.3)	1835_1, 1985_4, 2754_1, 2954_3, 903_4	2530_5, 4275_5	1276_10, 1277_9	1275	 	 	 	 
Bacteroides xylanisolvens SD CC 1b (702447.3)	2550_4, 4496_1	2033_5, 236_5	2635_10, 2636_9	2634	 	 	4121_18	 
Bacteroides xylanisolvens XB1A (657309.4)	1184_1, 1482_3, 2718_1, 2748_4	269_5, 985_5	415_10, 416_9	414	 	 	2037_18	 
Barnesiella intestinihominis YIT 11860 (742726.3)	2638_4, 2736_1, 969_4	1441_5	 	 	 	 	 	 
Butyricimonas synergistica DSM 23225 (1121129.3)	2363_3	3795_5	 	 	 	 	 	 
Dysgonomonas gadei ATCC BAA-286 (742766.3)	537_4, 887_1	3445_5	 	 	 	 	 	 
Odoribacter laneus YIT 12061 (742817.3)	3279_2, 3287_4	260_5	848_9, 849_10	850	2725_12	 	3102_18	 
Odoribacter splanchnicus DSM 20712 (709991.3)	18_4	 	560_9, 561_10	562	 	 	 	 
Parabacteroides distasonis ATCC 8503 (435591.13)	1029_1, 1394_4, 1850_4, 2167_3, 29_4, 3052_1, 3377_4, 3599_2	953_5	775_10, 776_9	774	 	 	965	 
Parabacteroides distasonis CL03T12C09 (999416.3)	1623_1, 221_3, 225_4, 3066_4, 3367_1, 554_4, 688_4	1703_5	1841_9, 1842_10	1843	 	 	1690	 
Parabacteroides distasonis CL09T03C24 (999417.3)	1398_3, 1402_4, 1816_4, 1847_3, 214_1, 3389_4, 998_1	364_5	507_9, 508_10	509	 	 	351	 
Parabacteroides goldsteinii CL02T12C30 (999418.3)	1704_4, 2513_3, 3841_1, 4383_4, 880_1	4652_5	3956_9, 3957_10	3959	 	 	1328_18	 
Parabacteroides goldsteinii dnLKV18 (1235789.3)	13_3, 1757_4, 2664_3, 3882_1, 4596_1, 4689_4, 5303_4, 937_1	228_5	676_10, 677_9	674	 	 	3425_18	 
Parabacteroides johnsonii CL02T12C29 (999419.3)	1180_4, 1295_4, 1589_1, 2345_3, 2987_1	3256_5	3142_9, 3143_10	3144	 	 	3097_18	 
Parabacteroides johnsonii DSM 18315 (537006.5)	1159_4, 1378_1, 2186_3, 2242_4, 557_1	1442_5	1282_9, 1283_9, 1284_10	1285	 	 	1226_18	 
Parabacteroides merdae ATCC 43184 (411477.4)	1452_4, 2046_1, 2680_1, 2865_4, 3618_1, 696_3, 721_4	2423_5	2012_9, 2013_10	2014	 	 	3579_18	 
Parabacteroides merdae CL03T12C32 (999420.3)	2051_1, 2424_3, 2451_4, 804_1, 97_4	429_5	546_10, 547_9	545	 	 	866_18	 
Parabacteroides sp. D13 (563193.3)	1774_1, 249_4, 2976_3, 3310_4, 4180_3, 89_1	1620_5	1508_10, 1509_9	1507	 	 	1632	 
Porphyromonas asaccharolytica DSM 20707 (879243.3)	2_3	 	 	 	 	 	 	 
Porphyromonas asaccharolytica PR426713P-I (910312.3)	753_3	 	 	 	 	 	 	 
Porphyromonas endodontalis ATCC 35406 (553175.3)	1549_3	 	 	 	 	 	 	 
Porphyromonas gingivalis ATCC 33277 (431947.7)	 	 	 	 	 	 	 	 
Porphyromonas gingivalis TDC60 (1030843.3)	 	 	 	 	 	 	 	 
Porphyromonas gingivalis W83 (242619.8)	2_3	 	 	 	 	 	 	 
Porphyromonas somerae DSM 23386 (1122975.3)	 	 	 	 	 	 	 	 
Porphyromonas uenonis 60-3 (596327.3)	552_3	 	 	 	 	 	 	 
Tannerella forsythia ATCC 43037 (203275.8)	303_1, 941_4	304_5	 	 	 	 	 	 
Paraprevotella clara YIT 11840 (762968.3)	1077_1, 1227_1, 1463_1, 3044_4, 3091_4, 3099_1	560_5	2758_10, 2759_9	2757	 	 	2742_18	 
Paraprevotella xylaniphila YIT 11841 (762982.3)	1889_1	1422_5	2702_9, 2703_10	2704	 	 	2721_18	 
Prevotella bivia DSM 20514 (868129.3)	280_1	1835_5	 	 	 	 	1386_18	 
Prevotella bryantii B14 (752555.5)	1607_4, 178_1, 228_1	680_5, 888_5	2832_10, 2833_9	 	2834_12, 378_12	 	 	 
Prevotella buccae ATCC 33574 (873513.3)	998_1	660_5	 	 	 	 	 	 
Prevotella buccae D17 (575611.3)	196_1	298_5	 	 	 	 	1781_18	 
Prevotella conceptionensis 9403948 (1197728.3)	910_1	3047_5	 	 	 	 	 	 
Prevotella denticola CRIS 18C-A (944557.3)	1152_4, 2212_4, 2510_1	41_5	 	 	1058_12	 	 	 
Prevotella denticola F0289 (767031.3)	1244_1, 1497_4, 191_4	246_5	 	 	 	 	 	 
Prevotella disiens FB035-09AN (866771.4)	248_4	 	 	 	 	 	 	 
Prevotella intermedia 17 (246198.10)	2072_4	 	 	 	 	 	 	 
Prevotella melaninogenica ATCC 25845 (553174.6)	1735_1, 529_4	1102_5	 	 	 	 	 	 
Prevotella melaninogenica D18 (575612.3)	1173_4, 1306_4, 887_1	1687_5	 	 	 	 	 	 
Prevotella nanceiensis DSM 19126 (1122988.3)	1593_1	1594_5	 	 	 	 	 	 
Prevotella nigrescens ATCC 33563 (997352.4)	330_4	 	 	 	 	 	 	 
Prevotella nigrescens F0103 (702439.3)	2626_4	 	 	 	 	 	 	 
Prevotella oralis ATCC 33269 (873533.3)	1655_1, 2100_1	720_5	 	 	 	 	 	 
Prevotella oralis HGA0225 (1203550.3)	1155_4, 1163_1, 2349_1	944_5	 	 	 	 	 	 
Prevotella pallens ATCC 700821 (997353.4)	1004_1, 1249_4	 	 	 	 	 	 	 
Prevotella ruminicola 23 (264731.4)	1516_1, 2612_1, 93_4	2715_5	 	 	 	 	2239_18	 
Prevotella salivae DSM 15606 (888832.3)	1223_4, 2652_1	1398_5	 	 	 	 	 	 
Prevotella stercorea DSM 18206 (1002367.3)	 	 	 	 	 	 	2100_18	 
Prevotella timonensis CRIS 5C-B1 (679189.3)	 	 	 	 	 	 	 	 
Prevotella veroralis DSM 19559 (1122993.3)	1787_1, 2074_4	437_5	 	 	 	 	 	 
Prevotella veroralis F0319 (649761.3)	113_1, 644_4	294_5	 	 	 	 	 	 
Alistipes finegoldii DSM 17242 (679935.3)	843_3	2039_5	 	 	 	 	2952_18	 
Alistipes indistinctus YIT 12060 (742725.3)	1023_1, 6_4, 908_3	1018_5	 	 	763_12	 	 	 
Alistipes onderdonkii DSM 19147 (1120974.3)	3098_4	1023_5	 	 	 	 	2001_18, 987_18	 
Alistipes putredinis DSM 17216 (445970.5)	2272_4, 405_2	 	 	 	 	 	 	 
Alistipes shahii WAL 8301 (717959.3)	308_4	1754_5	 	 	 	 	 	 
Rudanella lutea DSM 19387 (1089547.3)	4528_1	2189_8, 2656_5	1438_10, 1439_9	3794	1437_12	 	 	 
Capnocytophaga ochracea DSM 7271 (521097.5)	1802_1	1803_5, 1810_8	1467_9, 783_10	 	 	 	 	 
Capnocytophaga ochracea F0287 (873517.3)	125_1	126_5, 133_8	1487_10, 399_9	 	1842_12	 	628_18	 
Capnocytophaga sputigena ATCC 33612 (553177.6)	2236_1	2237_5, 2487_8	1871_9, 2394_10	 	1108_12	 	 	 
Capnocytophaga granulosa ATCC 51502 (641143.3)	1506_1	1505_5, 1902_8	1587_9, 948_10	 	717_12	 	 	 
Capnocytophaga ochracea str. Holt 25 (1125719.3)	189_1	1097_8, 190_5	1012_10, 2103_9	 	1334_12	 	1187_18	 
Dyadobacter fermentans DSM 18053 (471854.5)	2098_1, 247_1, 791_2	3357_5	2691_10, 2692_9	 	 	 	 	 
Spirosoma linguale DSM 74 (504472.7)	1588_1, 1955_2, 2198_2	1587_5, 4772_5, 5810_8, 5838_5	1694_9, 1695_10	5363	 	 	 	 
Akkermansia muciniphila ATCC BAA-835 (349741.6)	438_4, 595_1, 839_4	1474_5, 2297_5	1471_9, 1472_10	1471_9	1473_12	1467_14, 716_15	 	 
Escherichia coli TY-2482.contig.20110606 (6666666.5522)	2701_1, 2939_1, 970_4	4210_7, 4217_5	3664_9, 3665_10	3663	4347_12	4348_14, 4349_15	4927_18	 
Bacillus cereus BDRD-ST26 (526975.3)	2008_1, 4947_3	1413_5, 2707_5, 3538_5, 5348_8	 	2264	2262_12	5778_15	5264_18	4352_19
Bacillus cereus BGSC 6E1 (526970.3)	2849_1, 5302_3	2282_5, 3029_5, 5706_8	 	2601	2603_12	228_15	 	 
Bacillus cereus F65185 (526989.3)	4035_1, 50_3	2731_5, 4071_5, 437_8	 	3649	3647_12	881_15	338_18	 
Bacillus cereus Rock1-15 (526982.3)	2339_1, 5157_3	1791_5, 2946_5, 5573_8	 	2590	 	44_15	 	 
Bacillus cereus 03BB102 (572264.4)	3979_3, 86_1	1715_5, 4380_8, 65_5	 	1363	1361_12	4773_15	 	 
Bacillus cereus 172560W (526967.3)	2200_1, 3979_3	1266_5, 2101_5, 4672_8	 	1714	1712_12	5082_15	4499_18	 
Bacillus cereus 95/8201 (526979.3)	2212_1, 4291_3	1771_5, 1989_5, 5087_8	 	1559	 	5154_15	 	 
Bacillus cereus AH1134 (405533.4)	3669_3, 4873_1	2017_8, 3241_5, 5313_5	 	1077	1075_12	2397_15	3956_18	 
Bacillus cereus AH1271 (526992.3)	1453_3, 4482_1	1926_8, 4021_5, 5268_5	 	3689, 4812	4810_12	2329_15	1806_18	930_19
Bacillus cereus AH1272 (526993.3)	1790_3, 5099_1	2251_8, 4774_5, 5640_5	 	4097, 5304	5306_12	2650_15	2094_18	 
Bacillus cereus AH187 (405534.9)	408_1, 4287_3	2123_5, 386_5, 4691_8	 	1766	1764_12	5070_15	4575_18	3727_19
Bacillus cereus AH603 (526990.3)	2972_1, 67_3	2601_5, 3712_5, 546_8	 	3341	3339_12	857_15	435_18	5416_19
Bacillus cereus AH621 (526972.3)	2132_1, 4766_3	1493_5, 2649_5, 4410_5, 5155_8	 	2283	2285_12	5535_15	5038_18	4244_19
Bacillus cereus AH676 (526991.3)	1537_3, 4472_1	1984_8, 3960_5, 5123_5	 	4677	 	2403_15	 	 
Bacillus cereus AH820 (405535.8)	3987_3, 97_1	1815_5, 4446_8, 75_5	 	1454	1452_12	4867_15	 	 
Bacillus cereus AND1407 (1053166.3)	3323_3, 5418_1	2768_8, 3987_5, 931_5	 	576	574_12	2385_15	2961_18	3779_19
Bacillus cereus ATCC 10876 (526980.3)	2484_1, 5035_3	1927_5, 2721_5, 5451_8	 	2286	2288_12	5849_15	5298_18	 
