Organism	Cyo	Cta	Qox	Cco	Cyd	Cyf
Bifidobacterium longum subsp. infantis ATCC 15697 = JCM 1222 (391904.8)	 	 	 	 	 	 
Bifidobacterium longum subsp. longum 1-6B (1161744.3)	 	 	 	 	 	 
Bifidobacterium longum subsp. longum 2-2B (1161745.3)	 	 	 	 	 	 
Bifidobacterium longum subsp. longum 35B (1161904.3)	 	 	 	 	 	 
Bifidobacterium longum subsp. longum 44B (1161743.3)	 	 	 	 	 	 
Bifidobacterium longum subsp. longum CMCC P0001 (1266716.3)	 	 	 	 	 	 
Bifidobacterium pseudocatenulatum DSM 20438 = JCM 1200 (547043.8)	 	 	 	 	 	 
Bifidobacterium thermophilum RBL67 (1254439.12)	 	 	 	 	 	 
Atopobium minutum 10063974 (997872.3)	 	 	 	 	 	 
Collinsella tanakaei YIT 12063 (742742.3)	 	 	 	 	1673_17, 1674_19	 
Slackia piriformis YIT 12062 (742818.3)	 	 	 	 	1760_17, 1761_19	 
Bacteroides fragilis ATCC 25285 (272559.3)	 	 	 	 	1764, 1765	 
Bacteroides caccae ATCC 43185 (411901.7)	 	 	 	 	979, 980_17	 
Bacteroides caccae CL03T12C61 (997873.3)	 	 	 	 	1451_17, 1452	 
Bacteroides capillosus ATCC 29799 (411467.6)	 	 	 	 	 	 
Bacteroides cellulosilyticus CL02T12C19 (997874.3)	 	 	 	 	3590_17, 3591_19	 
Bacteroides cellulosilyticus DSM 14838 (537012.5)	 	 	 	 	3752_17, 3753_19	 
Bacteroides clarus YIT 12056 (762984.3)	 	 	 	 	196_17, 197_19	 
Bacteroides coprocola DSM 17136 (470145.6)	 	 	 	 	2675_19, 2676_17	 
Bacteroides coprophilus DSM 18228 (547042.5)	 	 	 	 	335_17, 336_19	 
Bacteroides dorei CL02T00C15 (997875.3)	 	 	 	 	57_17, 58_19	 
Bacteroides dorei CL02T12C06 (997876.3)	 	 	 	 	380_17, 381_19	 
Bacteroides dorei CL03T12C01 (997877.3)	 	 	 	 	730_17, 731_19	 
Bacteroides dorei DSM 17855 (483217.6)	 	 	 	 	2966_19, 2967_17	 
Bacteroides eggerthii 1_2_48FAA (665953.3)	 	 	 	 	617, 618	 
Bacteroides eggerthii DSM 20697 (483216.6)	 	 	 	 	2001, 2002	 
Bacteroides faecis MAJ27 (1077285.3)	 	 	 	 	2896_17, 2897_19	 
Bacteroides finegoldii DSM 17565 (483215.6)	 	 	 	 	2325_17, 2326_19	 
Bacteroides fluxus YIT 12057 (763034.3)	 	 	 	 	2824_17, 2825_19	 
Bacteroides fragilis 3_1_12 (457424.5)	 	 	 	 	536_17, 537_19	 
Bacteroides fragilis 638R (862962.3)	 	 	 	 	 	 
Bacteroides fragilis CL03T00C08 (997878.3)	 	 	 	 	1906, 1907	 
Bacteroides fragilis CL03T12C07 (997879.3)	 	 	 	 	3048, 3049_19	 
Bacteroides fragilis CL05T00C42 (997880.3)	 	 	 	 	289_19, 290	 
Bacteroides fragilis CL05T12C13 (997881.3)	 	 	 	 	1993, 1994	 
Bacteroides fragilis CL07T00C01 (997882.3)	 	 	 	 	1095_19, 1096	 
Bacteroides fragilis CL07T12C05 (997883.3)	 	 	 	 	1945_17, 1946_19	 
Bacteroides fragilis HMW 610 (1073386.3)	 	 	 	 	2286_19, 2287_17	 
Bacteroides fragilis HMW 615 (1073387.4)	 	 	 	 	4651, 4652	 
Bacteroides fragilis HMW 616 (1073388.3)	 	 	 	 	1299_17, 1300_19	 
Bacteroides fragilis NCTC 9343 (272559.17)	 	 	 	 	1914, 1915	 
Bacteroides fragilis YCH46 (295405.11)	 	 	 	 	1823, 1825_19	 
Bacteroides intestinalis DSM 17393 (471870.8)	 	 	 	 	2470, 2471	 
Bacteroides massiliensis B84634 = Timone 84634 = DSM 17679 = JCM 13223 (1121098.4)	 	 	 	 	1728_19, 1729_17	 
Bacteroides massiliensis dnLKV3 (1235788.3)	 	 	 	 	1681_19, 1682_17	 
Bacteroides nordii CL02T12C05 (997884.3)	 	 	 	 	2194_17, 2195_19	 
Bacteroides oleiciplenus YIT 12058 (742727.4)	 	 	 	 	984_19, 985_17	 
Bacteroides ovatus 3_8_47FAA (665954.3)	 	 	 	 	3936_19, 3937_17	 
Bacteroides ovatus ATCC 8483 (411476.11)	 	 	 	 	3373_17, 3374_19	 
Bacteroides ovatus CL02T12C04 (997885.3)	 	 	 	 	1107_19, 1108_17	 
Bacteroides ovatus CL03T12C18 (997886.3)	 	 	 	 	4763_17, 4764_19	 
Bacteroides ovatus SD CC 2a (702444.3)	 	 	 	 	851_19, 852_17	 
Bacteroides pectinophilus ATCC 43243 (483218.5)	 	 	 	 	 	616_21
Bacteroides plebeius DSM 17135 (484018.6)	 	 	 	 	2502_19, 2503_17	 
Bacteroides salyersiae CL02T12C01 (997887.3)	 	 	 	 	2951_17, 2952_19	 
Bacteroides salyersiae WAL 10018 = DSM 18765 = JCM 12988 (1121101.3)	 	 	 	 	3598_19, 3599_17	 
Bacteroides sp. 1_1_14 (469585.3)	 	 	 	 	4544_17, 4546_19	 
Bacteroides sp. 1_1_30 (457387.3)	 	 	 	 	3479_19, 3480_17	 
Bacteroides sp. 1_1_6 (469586.3)	 	 	 	 	260_17, 262_19	 
Bacteroides sp. 20_3 (469591.4)	 	 	 	 	3467_17, 3468_19	 
Bacteroides sp. 2_1_22 (469588.3)	 	 	 	 	2917_17, 2918_19	 
Bacteroides sp. 2_1_33B (469589.3)	 	 	 	 	3212_17, 3213_19	 
Bacteroides sp. 2_1_7 (457388.5)	 	 	 	 	3491_17, 3492_19	 
Bacteroides sp. 2_2_4 (469590.5)	 	 	 	 	2491_19, 2492_17	 
Bacteroides sp. 3_1_19 (469592.4)	 	 	 	 	3155_19, 3156_17	 
Bacteroides sp. 3_1_23 (457390.3)	 	 	 	 	2284_17, 2285_19	 
Bacteroides sp. 3_1_33FAA (457391.3)	 	 	 	 	202_17, 203_19	 
Bacteroides sp. 3_1_40A (469593.3)	 	 	 	 	4082_19, 4083	 
Bacteroides sp. 3_2_5 (457392.3)	 	 	 	 	3738, 3739_19	 
Bacteroides sp. 4_1_36 (457393.3)	 	 	 	 	1302_17, 1303_19	 
Bacteroides sp. 4_3_47FAA (457394.3)	 	 	 	 	3123_19, 3124	 
Bacteroides sp. 9_1_42FAA (457395.6)	 	 	 	 	2160_17, 2161_19	 
Bacteroides sp. D1 (556258.5)	 	 	 	 	1093_17, 1094_19	 
Bacteroides sp. D2 (556259.3)	 	 	 	 	244_19, 245_17	 
Bacteroides sp. D20 (585543.3)	 	 	 	 	1070_17, 1071_19	 
Bacteroides sp. D22 (585544.3)	 	 	 	 	1441_17, 1442_19	 
Bacteroides stercoris ATCC 43183 (449673.7)	 	 	 	 	100_17, 99_19	 
Bacteroides stercoris CC31F (1073351.3)	 	 	 	 	2591_19, 2592_17	 
Bacteroides thetaiotaomicron CL09T03C10 (997888.3)	 	 	 	 	144_19, 145_17	 
Bacteroides thetaiotaomicron VPI-5482 (226186.12)	 	 	 	 	1231_19, 1233_17	 
Bacteroides thetaiotaomicron dnLKV9 (1235785.3)	 	 	 	 	1448_19, 1449_17	 
Bacteroides uniformis ATCC 8492 (411479.10)	 	 	 	 	2257_17, 2259_19	 
Bacteroides uniformis CL03T00C23 (997889.3)	 	 	 	 	3251_17, 3252_19	 
Bacteroides uniformis CL03T12C37 (997890.3)	 	 	 	 	1998_19, 1999_17	 
Bacteroides uniformis dnLKV2 (1235787.3)	 	 	 	 	2525_17, 2526_19	 
Bacteroides vulgatus ATCC 8482 (435590.9)	 	 	 	 	2888, 2889	 
Bacteroides vulgatus EK4.2 (702445.3)	 	 	 	 	1196_19, 1197	 
Bacteroides vulgatus PC510 (702446.3)	 	 	 	 	2180, 2181	 
Bacteroides vulgatus dnLKV7 (1235786.3)	 	 	 	 	857_19, 858	 
Bacteroides xylanisolvens CL03T12C04 (997892.3)	 	 	 	 	1372_17, 1373_19	 
Bacteroides xylanisolvens SD CC 1b (702447.3)	 	 	 	 	1897_17, 1898_19	 
Bacteroides xylanisolvens XB1A (657309.4)	 	 	 	 	4372_19, 4373_17	 
Barnesiella intestinihominis YIT 11860 (742726.3)	 	 	 	 	966_17, 967_19	 
Butyricimonas synergistica DSM 23225 (1121129.3)	 	 	 	 	3742_19, 3743_17	 
Dysgonomonas gadei ATCC BAA-286 (742766.3)	 	 	 	 	2058_19, 2059_17	 
Odoribacter laneus YIT 12061 (742817.3)	 	 	 	 	2749_17, 2750_19	 
Odoribacter splanchnicus DSM 20712 (709991.3)	 	 	 	 	3216, 3217	 
Parabacteroides distasonis ATCC 8503 (435591.13)	 	 	 	 	2625_17, 2626_19	 
Parabacteroides distasonis CL03T12C09 (999416.3)	 	 	 	 	3789_19, 3790_17	 
Parabacteroides distasonis CL09T03C24 (999417.3)	 	 	 	 	2800_19, 2801_17	 
Parabacteroides goldsteinii CL02T12C30 (999418.3)	 	 	 	 	386_17, 387_19	 
Parabacteroides goldsteinii dnLKV18 (1235789.3)	 	 	 	 	4299_19, 4300_17	 
Parabacteroides johnsonii CL02T12C29 (999419.3)	 	 	 	 	2046_17, 2047_19	 
Parabacteroides johnsonii DSM 18315 (537006.5)	 	 	 	 	95_19, 96_17, 97_17	 
Parabacteroides merdae ATCC 43184 (411477.4)	 	 	 	 	465_19, 466_17	 
Parabacteroides merdae CL03T12C32 (999420.3)	 	 	 	 	1543_19, 1544_17	 
Parabacteroides sp. D13 (563193.3)	 	 	 	 	3606_17, 3607_19	 
Porphyromonas asaccharolytica DSM 20707 (879243.3)	 	 	 	 	73_19, 74_17	 
Porphyromonas asaccharolytica PR426713P-I (910312.3)	 	 	 	 	1451_17, 1452_19	 
Porphyromonas endodontalis ATCC 35406 (553175.3)	 	 	 	 	1653_19, 1654_17	 
Porphyromonas gingivalis ATCC 33277 (431947.7)	 	 	 	 	1032, 1033	 
Porphyromonas gingivalis TDC60 (1030843.3)	 	 	 	 	793_19, 794_17	 
Porphyromonas gingivalis W83 (242619.8)	 	 	 	 	831_19, 832_17	 
Porphyromonas somerae DSM 23386 (1122975.3)	 	 	 	 	1839_19, 1840_17	 
Porphyromonas uenonis 60-3 (596327.3)	 	 	 	 	359_19, 360_17	 
Tannerella forsythia ATCC 43037 (203275.8)	 	 	 	 	1623, 1624	 
Paraprevotella clara YIT 11840 (762968.3)	 	 	 	 	1342_17, 1343_19	 
Paraprevotella xylaniphila YIT 11841 (762982.3)	 	 	 	 	394_19, 395_17	 
Prevotella bivia DSM 20514 (868129.3)	 	 	 	 	640_19, 641_17	 
Prevotella bryantii B14 (752555.5)	 	 	 	 	 	 
Prevotella buccae ATCC 33574 (873513.3)	 	 	 	 	900_19, 901_17	 
Prevotella buccae D17 (575611.3)	 	 	 	 	96_19, 98_17	 
Prevotella conceptionensis 9403948 (1197728.3)	 	 	 	 	670_19, 671_17	 
Prevotella denticola CRIS 18C-A (944557.3)	 	 	 	 	1324_19, 1325_17	 
Prevotella denticola F0289 (767031.3)	 	 	 	 	1170_17, 1171_19	 
Prevotella disiens FB035-09AN (866771.4)	 	 	 	 	2085_17, 2086_19	 
Prevotella intermedia 17 (246198.10)	 	 	 	 	321_17, 322_19	 
Prevotella melaninogenica ATCC 25845 (553174.6)	 	 	 	 	769_19, 770_17	 
Prevotella melaninogenica D18 (575612.3)	 	 	 	 	1980_17, 1981_19	 
Prevotella nanceiensis DSM 19126 (1122988.3)	 	 	 	 	6_19, 7_17	 
Prevotella nigrescens ATCC 33563 (997352.4)	 	 	 	 	2265_19, 2266_17	 
Prevotella nigrescens F0103 (702439.3)	 	 	 	 	964_19, 965_17	 
Prevotella oralis ATCC 33269 (873533.3)	 	 	 	 	1953, 1954	 
Prevotella oralis HGA0225 (1203550.3)	 	 	 	 	2136, 2137	 
Prevotella pallens ATCC 700821 (997353.4)	 	 	 	 	2149_17, 2150_19	 
Prevotella ruminicola 23 (264731.4)	 	 	 	 	1214, 1215	 
Prevotella salivae DSM 15606 (888832.3)	 	 	 	 	58_19, 59_17	 
Prevotella stercorea DSM 18206 (1002367.3)	 	 	 	 	276_19, 277_17	 
Prevotella timonensis CRIS 5C-B1 (679189.3)	 	 	 	 	1368_19, 1369_17	 
Prevotella veroralis DSM 19559 (1122993.3)	 	 	 	 	1838_17, 1839_19	 
Prevotella veroralis F0319 (649761.3)	 	 	 	 	248_19, 249_17	 
Alistipes finegoldii DSM 17242 (679935.3)	 	 	 	 	1988_19, 1989_17	 
Alistipes indistinctus YIT 12060 (742725.3)	 	 	 	 	2077_17, 2078_19	 
Alistipes onderdonkii DSM 19147 (1120974.3)	 	 	 	 	1114_17, 1115_19	 
Alistipes putredinis DSM 17216 (445970.5)	 	 	 	 	1876, 1877_17	 
Alistipes shahii WAL 8301 (717959.3)	 	 	 	 	1195, 1196	 
Rudanella lutea DSM 19387 (1089547.3)	 	3320_5, 3321_6, 3324_7	 	453_16, 454_15, 455_13_14, 455_13_14	 	 
Capnocytophaga ochracea DSM 7271 (521097.5)	 	 	 	 	1441, 1442	 
Capnocytophaga ochracea F0287 (873517.3)	 	 	 	 	23_19, 24_17	 
Capnocytophaga sputigena ATCC 33612 (553177.6)	 	 	 	 	1501_19, 1502_17	 
Capnocytophaga granulosa ATCC 51502 (641143.3)	 	 	 	733_13_14, 733_13_14, 734_15, 735_16	 	 
Capnocytophaga ochracea str. Holt 25 (1125719.3)	 	 	 	 	524_19, 525_17	 
Dyadobacter fermentans DSM 18053 (471854.5)	 	 	 	1845_14, 1846_13	5788, 5789	 
Spirosoma linguale DSM 74 (504472.7)	 	 	 	 	 	 
Akkermansia muciniphila ATCC BAA-835 (349741.6)	 	 	 	 	1921_19, 1922	 
Escherichia coli TY-2482.contig.20110606 (6666666.5522)	878_1, 879_2, 880_3, 881_4	 	 	 	1321_17, 1322_19, 4525_17, 4526_19	 
Bacillus cereus BDRD-ST26 (526975.3)	 	4986_5, 4987_6, 4988_7, 4989_8	1460_10, 1461_9, 1462_11, 1463_12	 	117_19, 118_17, 2807_19, 2808_17, 5826, 5827	 
Bacillus cereus BGSC 6E1 (526970.3)	 	5261_8, 5262_7, 5263_6, 5264_5	1807_12, 1808_11, 1809_9, 1810_10	 	240, 241, 3146_17, 3147_19, 676, 677	 
Bacillus cereus F65185 (526989.3)	 	6148_5, 6149_6, 6150_7, 6151_8	2074_10, 2075_9, 2076_11, 2077_12	 	1087_19, 1088_17, 4165_17, 4166_19, 933_17, 934_19	 
Bacillus cereus Rock1-15 (526982.3)	 	5115_8, 5116_7, 5117_6, 5118_5	1852_10, 1853_9, 1854_11, 1855_12	 	3047_17, 3048, 517_19, 518_17, 88, 89_19	 
Bacillus cereus 03BB102 (572264.4)	 	3938_8, 3939_7, 3940_6, 3941_5	638_10, 639_9, 640_11, 641_12	 	1885_17, 1886_19, 4819, 4820_19, 5230, 5231	 
Bacillus cereus 172560W (526967.3)	 	4017_5, 4018_6, 4019_7, 4020_8	977_12, 978_11, 979_9, 980_10	 	2159_19, 2160_17, 5125, 5126_19, 5500_17, 5501_19	 
Bacillus cereus 95/8201 (526979.3)	 	4329_5, 4330_6, 4331_7, 4332_8	521_12, 522_11, 523_9, 524_10	 	2094, 2095, 5185, 5186, 5623, 5624_17	 
Bacillus cereus AH1134 (405533.4)	 	3628_8, 3629_7, 3630_6, 3631_5	358_10, 359_9, 360_11, 361_12	 	2438, 2439_19, 2818_17, 2819_19, 3136_19, 3137_17	 
Bacillus cereus AH1271 (526992.3)	 	1294_5, 1295_6, 1296_7, 1297_8	3990_10, 3991_9, 3992_11, 3993_12	 	2426_19, 2427_17, 2757_19, 2758_17, 2759_17, 3765_17, 3766_19	 
Bacillus cereus AH1272 (526993.3)	 	1700_5, 1701_6, 1702_7, 1703_7, 1704_8	4477_12, 4478_11, 4479_9, 4480_10	 	2736_19, 2737_17, 3095_17, 3096_19, 5749_19, 5750_17, 5768_19	 
Bacillus cereus AH187 (405534.9)	 	4245_8, 4246_7, 4247_6, 4248_5	1041_10, 1042_9, 1043_11, 1044_12	 	2215_17, 2216_19, 5112, 5113, 5549_17, 5550_19	 
Bacillus cereus AH603 (526990.3)	 	5910_5, 5911_6, 5912_7, 5913_8	2540_10, 2541_9, 2542_11, 2543_12	 	1336_19, 1337_17, 3896_17, 3897_19, 997_19, 998_17	 
Bacillus cereus AH621 (526972.3)	 	4711_8, 4712_7, 4713_6, 4714_5	1434_10, 1435_9, 1436_11, 1437_12	 	195_17, 196_19, 2790_17, 2791_19, 5591_17, 5592_19	 
Bacillus cereus AH676 (526991.3)	 	1505_5, 1506_6, 1507_7, 1508_8	3352_10, 3353_9, 3354_11, 3355_12	 	2448_19, 2449_17, 2877, 2878, 5222_17, 5223	 
Bacillus cereus AH820 (405535.8)	 	3946_8, 3947_7, 3948_6, 3949_5	711_10, 712_9, 713_11, 714_12	 	1922, 1923_19, 4910_17, 4911, 5292_17, 5293	 
Bacillus cereus AND1407 (1053166.3)	 	3360_5, 3361_6, 3362_7, 3363_8	5095_12, 5096_11, 5097_9, 5098_10	 	1022_17, 1023_19, 2339, 2340, 4340_19, 4341_17	 
Bacillus cereus ATCC 10876 (526980.3)	 	4974_5, 4975_6, 4976_7, 4977_8	1300_12, 1301_11, 1302_9, 1303_10	 	2818_17, 2819_19, 350_19, 351_17, 5989_19, 5990_17	 
Bacillus cereus ATCC 10987 (222523.6)	 	3812_8, 3813_7, 3814_6, 3815_5	731_10, 732_9, 733_11, 734_12	 	1928_17, 1929_19, 4741_17, 4742, 5113_17, 5114_19	 
Bacillus cereus ATCC 4342 (526977.3)	 	3645_5, 3646_6, 3647_7, 3648_8	255_12, 256_11, 257_9, 258_10	 	1474_17, 1475_19, 4629_19, 4630_17, 4972_17, 4973_19	 
Bacillus cereus B4264 (405532.5)	 	3896_8, 3897_7, 3898_6, 3899_5	649_10, 650_9, 651_11, 652_12	 	1817_17, 1818_19, 4771, 4772_19, 5168_17, 5169	 
Bacillus cereus B5-2 (1085389.3)	 	4439_8, 4440_7, 4441_6, 4442_5	629_10, 630_9, 631_11, 632_12	 	2327_17, 2328_19, 5333_17, 5334_19, 5722_17, 5723_19	 
Bacillus cereus BAG1O-1 (1053167.3)	 	4675_8, 4676_7, 4677_6, 4678_5	624_10, 625_9, 626_11, 627_12	 	1806_17, 1807_19, 5548_17, 5549_19, 5922_17, 5923_19	 
Bacillus cereus BAG1O-2 (1053168.3)	 	1582_5, 1583_6, 1584_7, 1585_8	4785_12, 4786_11, 4787_9, 4788_10	 	339_19, 340_17, 3632_19, 3633_17, 725_19, 726_17	 
Bacillus cereus BAG1O-3 (1053169.3)	 	961_5, 962_6, 963_7, 964_8	5531_10, 5532_9, 5533_11, 5534_12	 	3072_19, 3073_17, 4278_17, 4279_19, 88, 89_17	 
Bacillus cereus BAG1X1-1 (1053170.3)	 	1621_5, 1622_6, 1623_7, 1624_8	5659_12, 5660_11, 5661_9, 5662_10	 	349_19, 350_17, 3727_19, 3728_17, 745_19, 746_17	 
Bacillus cereus BAG1X1-2 (1053171.3)	 	3234_8, 3235_7, 3236_6, 3237_5	5664_10, 5665_9, 5666_11, 5667_12	 	1130_17, 1131_19, 4114_17, 4115, 4515_17, 4516_19	 
Bacillus cereus BAG1X1-3 (1053172.3)	 	1623_5, 1624_6, 1625_7, 1626_8	4859_12, 4860_11, 4861_9, 4862_10	 	3671_19, 3672_17, 371_19, 372_17, 754_19, 755_17	 
Bacillus cereus BAG1X2-1 (1053173.3)	 	3837_8, 3838_7, 3839_6, 3840_5	568_10, 569_9, 570_11, 571_12	 	1739_17, 1740_19, 4715_17, 4716_19, 5113_17, 5114_19	 
Bacillus cereus BAG1X2-2 (1053174.3)	 	1611_5, 1612_6, 1613_7, 1614_8	4885_12, 4886_11, 4887_9, 4888_10	 	283_19, 284_17, 3710_19, 3711_17, 683_19, 684_17	 
Bacillus cereus BAG1X2-3 (1053175.3)	 	4526_8, 4527_7, 4528_6, 4529_5	641_10, 642_9, 643_11, 644_12	 	2430_17, 2431_19, 5399_17, 5400_19, 5795_17, 5796_19	 
Bacillus cereus BAG2O-1 (1053176.3)	 	3836_8, 3837_7, 3838_6, 3839_5	572_10, 573_9, 574_11, 575_12	 	1748_17, 1749_19, 4703_17, 4704_19, 5099_17, 5100_19	 
Bacillus cereus BAG2O-2 (1053177.3)	 	3800_8, 3801_7, 3802_6, 3803_5	558_10, 559_9, 560_11, 561_12	 	1735_17, 1736_19, 4658_17, 4659_19, 5075_17, 5076_19	 
Bacillus cereus BAG2O-3 (1053178.3)	 	1655_5, 1656_6, 1657_7, 1658_8	4958_12, 4959_11, 4960_9, 4961_10	 	335_19, 336_17, 3757_19, 3758_17, 727_19, 728_17	 
Bacillus cereus BAG2X1-1 (1053179.3)	 	1452_5, 1453_6, 1454_7, 1455_8	4135_12, 4136_11, 4137_9, 4138_10	 	275_19, 276_17, 3050_19, 3051_17, 625_19, 626_17	 
Bacillus cereus BAG2X1-2 (1053180.3)	 	1636_5, 1637_6, 1638_7, 1639_8	5150_12, 5151_11, 5152_9, 5153_10	 	350_19, 351_17, 3919_19, 3920_17, 755_19, 756_17	 
Bacillus cereus BAG2X1-3 (1053181.3)	 	1325_5, 1326_6, 1327_7, 1328_8	4018_12, 4019_11, 4020_9, 4021_10	 	138_19, 139_17, 2924_19, 2925_17, 483_19, 484_17	 
Bacillus cereus BAG3O-1 (1085388.3)	 	4008_8, 4009_7, 4010_6, 4011_5	618_10, 619_9, 620_11, 621_12	 	1850_17, 1851_19, 4898_17, 4899_19, 5733_17, 5734_19	 
Bacillus cereus BAG3O-2 (1053182.3)	 	1586_5, 1587_6, 1588_7, 1589_8	4892_12, 4893_11, 4894_9, 4895_10	 	347_19, 348_17, 3729_19, 3730_17, 731_19, 732	 
Bacillus cereus BAG3X2-1 (1053183.3)	 	1636_5, 1637_6, 1638_7, 1639_8	4730_12, 4731_11, 4732_9, 4733_10	 	3569_19, 3570_17, 364_19, 365_17, 765_19, 766_17	 
Bacillus cereus BAG3X2-2 (1053184.3)	 	3837_8, 3838_7, 3839_6, 3840_5	554_10, 555_9, 556_11, 557_12	 	1748_17, 1749_19, 4709_17, 4710, 5095_17, 5096_19	 
Bacillus cereus BAG4O-1 (1053185.3)	 	3846_8, 3847_7, 3848_6, 3849_5	542_10, 543_9, 544_11, 545_12	 	1713_17, 1714_19, 4702, 4703_19, 5088_17, 5089_19	 
Bacillus cereus BAG4X12-1 (1053186.3)	 	3632_8, 3633_7, 3634_6, 3635_5	493_10, 494_9, 495_11, 496_12	 	1640_17, 1641_19, 4485_17, 4486, 4879_17, 4880_19	 
Bacillus cereus BAG4X2-1 (1053187.3)	 	1670_5, 1671_6, 1672_7, 1673_8	5235_10, 5236_9, 5237_11, 5238_12	 	3616_19, 3617_17, 416_19, 417_17, 806_19, 807_17	 
Bacillus cereus BAG5O-1 (1053188.3)	 	3203_8, 3204_7, 3205_6, 3206_5	5356_10, 5357_9, 5358_11, 5359_12	 	1149_17, 1150_19, 4074_17, 4075_19, 4453_17, 4454_19	 
Bacillus cereus BAG5X1-1 (1053189.3)	 	1517_5, 1518_6, 1519_7, 1520_8	4594_12, 4595_11, 4596_9, 4597_10	 	275_19, 276_17, 3354_19, 3355_17, 647_19, 648_17	 
Bacillus cereus BAG5X12-1 (1053190.3)	 	995_5, 996_6, 997_7, 998_8	4126_12, 4127_11, 4128_9, 4129_10	 	141, 142_17, 2984_19, 2985_17, 4822_17, 4823_19	 
Bacillus cereus BAG5X2-1 (1053191.3)	 	1018_5, 1019_6, 1020_7, 1021_8	4485_12, 4486_11, 4487_9, 4488_10	 	3280_19, 3281_17, 5196_19, 5197_17, 83_19, 84_17	 
Bacillus cereus BAG6O-1 (1053192.3)	 	1611_5, 1612_6, 1613_7, 1614_8	4735_12, 4736_11, 4737_9, 4738_10	 	350_19, 351_17, 3574_19, 3575_17, 732_19, 733_17	 
Bacillus cereus BAG6O-2 (1053193.3)	 	1491_8, 1492_7, 1493_6, 1494_5	5047_10, 5048_9, 5049_11, 5050_12	 	2348_17, 2349_19, 2733_17, 2734_19, 3498_19, 3499_17	 
Bacillus cereus BAG6X1-1 (1053194.3)	 	3587_8, 3588_7, 3589_6, 3590_5	165_10, 166_9, 167_11, 168_12	 	1387_17, 1388_19, 4474_17, 4475_19, 4885_17, 4886_19	 
Bacillus cereus BAG6X1-2 (1053195.3)	 	3418_8, 3419_7, 3420_6, 3421_5	553_10, 554_9, 555_11, 556_12	 	1673_17, 1674_19, 4291_17, 4292_19, 4666_19, 4667_17	 
Bacillus cereus BDRD-Cer4 (526978.3)	 	3606_5, 3607_6, 3608_7, 3609_8	455_10, 456_9, 457_11, 458_12	 	1884, 1885, 4705, 4706, 5121, 5122	 
Bacillus cereus BDRD-ST196 (526976.3)	 	431_5, 432_6, 433_7, 434_8	2938_12, 2939_11, 2940_9, 2941_10	 	1448_19, 1449_17, 1863_17, 1864_19, 4219_17, 4220_19	 
Bacillus cereus BDRD-ST24 (526974.3)	 	4310_5, 4311_6, 4312_7, 4313_8	1070_10, 1071_9, 1072_11, 1073_12	 	204_17, 205, 2363, 2364, 5443, 5444_17	 
Bacillus cereus BMG1.7 (1053196.3)	 	1299_5, 1300_6, 1301_7, 1302_8	6310_10, 6311_9, 6312_11, 6313_12	 	2151_19, 2152_17, 3766_19, 3767_17, 416, 417_17	 
Bacillus cereus BtB2-4 (1053197.3)	 	3827_8, 3828_7, 3829_6, 3830_5	553_10, 554_9, 555_11, 556_12	 	1767_17, 1768_19, 4695_17, 4696_19, 5100_17, 5101_19	 
Bacillus cereus CER057 (1053198.3)	 	3829_8, 3830_7, 3831_6, 3832_5	548_10, 549_9, 550_11, 551_12	 	1767_17, 1768_19, 4697_17, 4698_19, 5101_17, 5102_19	 
Bacillus cereus CER074 (1053199.3)	 	1621_5, 1622_6, 1623_7, 1624_8	4902_12, 4903_11, 4904_9, 4905_10	 	345_19, 346_17, 3681_19, 3682_17, 750_19, 751_17	 
Bacillus cereus E33L (288681.15)	 	3915_8, 3916_7, 3917_6, 3918_5	644_10, 645_9, 646_11, 647_12	 	1855_17, 1856_19, 4818_17, 4819, 5201_17, 5202_19	 
Bacillus cereus FRI-35 (1217984.3)	 	3130_5, 3131_6, 3132_7, 3133_8	937_12, 938_11, 939_9, 940_10	 	1870_19, 1871_17, 2255, 2256_17, 4993_19, 4994_17	 
Bacillus cereus G9842 (405531.7)	 	3960_8, 3961_7, 3962_6, 3963_5	624_10, 625_9, 626_11, 627_12	 	1796_17, 1797_19, 4833_17, 4834, 5219_17, 5220_19	 
Bacillus cereus H-hrb01 (1225787.3)	 	2446_8, 2447_7, 2448_6, 2449_5	3624_10, 3625_9, 3626_11, 3627_12	 	1264_17, 1265_19, 850_17, 851_19	 
Bacillus cereus HD73 (1053200.3)	 	960_5, 961_6, 962_7, 963_8	3319_12, 3320_11, 3321_9, 3322_10	 	2055_19, 2056_17, 4532_19, 4533_17, 80, 81_17	 
Bacillus cereus HuA2-1 (1053201.3)	 	3613_8, 3614_7, 3615_6, 3616_5	159_10, 160_9, 161_11, 162_12	 	1403_17, 1404_19, 4495_17, 4496_19, 4930_19, 4931_17	 
Bacillus cereus HuA2-3 (1053202.3)	 	4857_8, 4858_7, 4859_6, 4860_5	1177_10, 1178_9, 1179_11, 1180_12	 	2770_17, 2771_19, 296_17, 297_19, 5719_17, 5720_19	 
Bacillus cereus HuA2-4 (1053203.3)	 	3784_8, 3785_7, 3786_6, 3787_5	564_10, 565_9, 566_11, 567_12	 	1789_17, 1790_19, 4656_17, 4657_19, 5061_17, 5062_19	 
