Organism	BioW	BioC	BioGH	BioF	BioA	BioD	BioB	BioI	BioYNM	YigM
Mycobacterium abscessus subsp. bolletii BD (1091046.3)	 	 	 	2533, 2701	2534	2532	2530	1198_14, 1830_14, 214_14, 3188_14, 3682_14, 3883_14, 4520_14, 4521_14, 61_14, 995_14	 	 
Mycobacterium fortuitum subsp. fortuitum DSM 46621 (1214102.3)	 	 	 	633	4003, 632	634	5601	1127_14, 1283_14, 139_14, 1861_14, 212_14, 2339_14, 237_14, 242_14, 243_14, 265_14, 276_14, 303_14, 3582_14, 3898_14, 413_14, 4211_14, 4258_14, 4273_14, 4281_14, 4606_14, 4786_14, 5280_14, 5589_14, 5719_14, 576_14, 5903_14, 868_14	 	 
Rhodococcus erythropolis XP (1078016.3)	 	 	 	5446	2170, 4728, 5447	5445	5429	2904_14, 2959_14, 2960_14, 3146_14, 3230_14, 3458_14, 3625_14, 3646_14, 5275_14, 6536_14, 6723_14, 7008_14, 7018_14	4688_18, 4689_16	 
Brevibacterium casei S18 (1229781.4)	 	 	 	513	512	514	511	867_14	802_17, 803_18, 804_16	 
Brevibacterium massiliense 5401308 (1176165.3)	 	 	 	 	 	 	340	 	2036_17, 2037_18, 2038_16	 
Brachybacterium paraconglomeratum LC44 (1064537.3)	 	 	 	 	 	 	 	 	941_16	 
Curtobacterium flaccumfaciens UCD-AKU (1292022.3)	 	 	 	 	 	 	 	 	184_16, 529_16	 
Microbacterium paraoxydans 77MFTsu3.2 (1151126.3)	 	 	 	 	 	 	 	 	3300_17, 3301_18, 3302_16	 
Kocuria palustris PEL (1236550.3)	 	 	 	1148	1149	1147	1150	 	2177_17, 2178_18, 2179_16	 
Rothia aeria F0474 (1125724.3)	 	 	 	 	 	 	 	 	195_17, 196_18, 197_16	 
Rothia mucilaginosa M508 (563033.4)	 	 	 	 	 	 	 	 	989_16, 990_18	 
Propionibacterium acidipropionici ATCC 4875 (1171373.8)	 	 	 	 	 	 	1025	 	 	 
Propionibacterium acnes C1 (1234380.3)	1985	 	 	 	1050	1051	1527	 	1519_18	 
Propionibacterium acnes FZ1/2/0 (1276649.3)	1926	 	 	 	1011	1012	1471	 	1463_18	 
Propionibacterium acnes HL096PA1 (1134454.3)	1954	 	 	 	1297	1296	860	 	868_18, 869_17	 
Propionibacterium acnes PRP-38 (1136877.3)	206	 	 	 	1714	1715	2149	 	2141_18, 2142_16	 
Propionibacterium avidum 44067 (1170318.3)	339	 	 	 	1269	1268	833	 	840_16, 841_18, 842_17	 
Propionibacterium avidum ATCC 25577 (997355.3)	480	 	 	 	1963	1962	4	 	1543_16, 1544_18, 1545_17	 
Propionibacterium propionicum F0230a (767029.3)	 	 	 	740	 	 	978	 	1033_16, 1034_18, 1035_17	 
Bifidobacterium angulatum DSM 20098 = JCM 7096 (518635.7)	 	 	 	 	 	 	 	 	1405_16	 
Bifidobacterium animalis subsp. animalis ATCC 25527 (703613.4)	 	 	 	 	 	 	 	 	335_16	 
Bifidobacterium animalis subsp. lactis B420 (1168290.3)	 	 	 	 	 	 	 	 	 	 
Bifidobacterium animalis subsp. lactis BS 01 (911598.3)	 	 	 	 	 	 	 	 	 	 
Bifidobacterium animalis subsp. lactis Bi-07 (742729.3)	 	 	 	 	 	 	 	 	 	 
Bifidobacterium bifidum BGN4 (484020.3)	 	 	 	 	 	 	 	 	1602_16	 
Bifidobacterium bifidum LMG 13195 (1207542.3)	 	 	 	 	 	 	 	 	1560_16	 
Bifidobacterium breve CECT 7263 (1036735.3)	 	 	 	 	 	 	 	 	412_16	 
Bifidobacterium breve DPC 6330 (1074482.3)	 	 	 	 	 	 	 	 	 	 
Bifidobacterium breve DSM 20213 = JCM 1192 (518634.7)	 	 	 	 	 	 	 	 	1333_16	 
Bifidobacterium breve HPH0326 (1203540.3)	 	 	 	 	 	 	 	 	1229_16	 
Bifidobacterium catenulatum DSM 16992 = JCM 1194 (566552.6)	 	 	 	 	 	 	 	 	1431_16	 
Bifidobacterium longum subsp. infantis ATCC 15697 = JCM 1222 (391904.8)	 	 	 	 	 	 	 	2233_14	2362_16	 
Bifidobacterium longum subsp. longum 1-6B (1161744.3)	 	 	 	 	 	 	 	 	1283_16	 
Bifidobacterium longum subsp. longum 2-2B (1161745.3)	 	 	 	 	 	 	 	 	1926_16	 
Bifidobacterium longum subsp. longum 35B (1161904.3)	 	 	 	 	 	 	 	 	104_16	 
Bifidobacterium longum subsp. longum 44B (1161743.3)	 	 	 	 	 	 	 	 	881_16	 
Bifidobacterium longum subsp. longum CMCC P0001 (1266716.3)	 	 	 	 	 	 	 	 	1985_16	 
Bifidobacterium pseudocatenulatum DSM 20438 = JCM 1200 (547043.8)	 	 	 	 	 	 	 	 	367_16	 
Bifidobacterium thermophilum RBL67 (1254439.12)	 	 	 	 	 	 	 	 	1513_16	 
Atopobium minutum 10063974 (997872.3)	 	 	 	 	 	 	 	 	 	 
Collinsella tanakaei YIT 12063 (742742.3)	 	 	 	 	 	 	 	 	1240_16	 
Slackia piriformis YIT 12062 (742818.3)	 	 	 	 	 	 	 	 	1564_16	 
Bacteroides fragilis ATCC 25285 (272559.3)	 	1511_2	 	1512	1513	1510	1513	 	 	 
Bacteroides caccae ATCC 43185 (411901.7)	 	2275_2	2276_7	2277	2278	 	2278	 	 	 
Bacteroides caccae CL03T12C61 (997873.3)	 	2576_2	2575_7	2574	2573	2577	2573	 	 	 
Bacteroides capillosus ATCC 29799 (411467.6)	 	 	 	 	 	 	 	 	416_16	 
Bacteroides cellulosilyticus CL02T12C19 (997874.3)	 	1647_2	1063_4, 1648_7, 783_4	1649	1650	1646	1650	 	 	 
Bacteroides cellulosilyticus DSM 14838 (537012.5)	 	309_2	308_7, 3326_4	307	306	240	306	 	 	 
Bacteroides clarus YIT 12056 (762984.3)	 	1503_2	1504_7	1505	1506	1502	1506	 	 	 
Bacteroides coprocola DSM 17136 (470145.6)	 	657_3	656_8	655	654	658	653	 	 	 
Bacteroides coprophilus DSM 18228 (547042.5)	 	1817_3	1816_8	1815	1814	1818	1813	 	 	 
Bacteroides dorei CL02T00C15 (997875.3)	 	79_2	80_7	81	82	78	83	 	 	 
Bacteroides dorei CL02T12C06 (997876.3)	 	403_2	404_7	405	406	402	407	 	 	 
Bacteroides dorei CL03T12C01 (997877.3)	 	754_2	755_7	756	757	753	758	 	 	 
Bacteroides dorei DSM 17855 (483217.6)	 	4114_2	4113_7	4112	4111	4115	4110	 	 	 
Bacteroides eggerthii 1_2_48FAA (665953.3)	 	3101_2	3102_7	3103	3104	3100	3104	 	 	 
Bacteroides eggerthii DSM 20697 (483216.6)	 	1395_2	1396_7	1397	1398	 	1398	 	 	 
Bacteroides faecis MAJ27 (1077285.3)	 	3928_3	3927_8	3201, 3926	3925	3930	3925	 	 	 
Bacteroides finegoldii DSM 17565 (483215.6)	 	3859_3	3858_7	3857	3856	3860	3856	 	 	 
Bacteroides fluxus YIT 12057 (763034.3)	 	3330_2	3331_7	3332	3333	3329	3333	 	 	 
Bacteroides fragilis 3_1_12 (457424.5)	 	270_2	 	271	272	269	272	 	 	 
Bacteroides fragilis 638R (862962.3)	 	1622_2	 	1623, 2018	1624	1621	1624	 	 	 
Bacteroides fragilis CL03T00C08 (997878.3)	 	1659_2	 	1660	1661	1658	1661	 	 	 
Bacteroides fragilis CL03T12C07 (997879.3)	 	3921_2	 	3920	3919	3922	3919	 	 	 
Bacteroides fragilis CL05T00C42 (997880.3)	 	559_2	 	558	557	560	557	 	 	 
Bacteroides fragilis CL05T12C13 (997881.3)	 	1602_2	 	1603	1604	1601	1604	 	 	 
Bacteroides fragilis CL07T00C01 (997882.3)	 	1355_2	 	1354	1353	1356	1353	 	 	 
Bacteroides fragilis CL07T12C05 (997883.3)	 	1686_2	 	1687	1688	1685	1688	 	 	 
Bacteroides fragilis HMW 610 (1073386.3)	 	2555_2	 	2554	2553	2556	2553	 	 	 
Bacteroides fragilis HMW 615 (1073387.4)	 	3625_2	 	3626	3627	3624	3627	 	 	 
Bacteroides fragilis HMW 616 (1073388.3)	 	842_2	 	843	844	841	844	 	 	 
Bacteroides fragilis NCTC 9343 (272559.17)	 	1574_2	 	1575	1576	1573	1576	 	 	 
Bacteroides fragilis YCH46 (295405.11)	 	1558_2	 	1559	1560	1557	1560	 	 	 
Bacteroides intestinalis DSM 17393 (471870.8)	 	3162_2	3161_7, 3852	3160	3159	3163	3159	 	 	 
Bacteroides massiliensis B84634 = Timone 84634 = DSM 17679 = JCM 13223 (1121098.4)	 	1260_2	1259_7	1258	1257	1261	1256	 	 	 
Bacteroides massiliensis dnLKV3 (1235788.3)	 	1659_2	1658_7	1657	1656	1660	1655	 	 	 
Bacteroides nordii CL02T12C05 (997884.3)	 	3520_3	3521_7	3522	3523	3519	3523	 	 	 
Bacteroides oleiciplenus YIT 12058 (742727.4)	 	4688_3	4687_8, 5016_6	231, 4686	4685	4689	4685	 	 	 
Bacteroides ovatus 3_8_47FAA (665954.3)	 	1857_2	1856_7	1855	1854	1858	1854	 	 	 
Bacteroides ovatus ATCC 8483 (411476.11)	 	1320_2	1319_7	1318	1317	1321	1317	 	 	 
Bacteroides ovatus CL02T12C04 (997885.3)	 	3335_2	3334_7	3333	3332	3336	3332	 	 	 
Bacteroides ovatus CL03T12C18 (997886.3)	 	4372_2	4373_7	4374	4375	4371	4375	 	 	 
Bacteroides ovatus SD CC 2a (702444.3)	 	4415_2	4416_7	4417	4418	4414	4418	 	 	 
Bacteroides pectinophilus ATCC 43243 (483218.5)	 	 	 	 	 	 	519	 	 	 
Bacteroides plebeius DSM 17135 (484018.6)	 	2101_2	2100_8	2099	2098	2102	2097	 	 	 
Bacteroides salyersiae CL02T12C01 (997887.3)	 	3886_2	 	3888	3889	3885	3889	 	 	 
Bacteroides salyersiae WAL 10018 = DSM 18765 = JCM 12988 (1121101.3)	 	2876_2, 2877_2	 	2879	2880	2875	2880	 	 	 
Bacteroides sp. 1_1_14 (469585.3)	 	3445_2	3446_8	3447	3047, 3448	3444	1181, 3047, 3448	 	 	 
Bacteroides sp. 1_1_30 (457387.3)	 	3159_2	3158_7	3157	3156	3160	3156	 	 	 
Bacteroides sp. 1_1_6 (469586.3)	 	4487_2	4486_8	4485	4484	4488	4484	 	 	 
Bacteroides sp. 20_3 (469591.4)	 	1861_2	1860_8	1859	1858	1862	1857	 	 	 
Bacteroides sp. 2_1_22 (469588.3)	 	3898_2	3897_7	3896	3895	3899	3895	 	 	 
Bacteroides sp. 2_1_33B (469589.3)	 	2463_2	2462_7	2461	2460	2464	2459	 	 	 
Bacteroides sp. 2_1_7 (457388.5)	 	1991_2	1990_7	1989	1988	1992	1987	 	 	 
Bacteroides sp. 2_2_4 (469590.5)	 	502_2	501_7	500	499	503	499	 	 	 
Bacteroides sp. 3_1_19 (469592.4)	 	2387_2	2388_7	2389	2390	2386	2391	 	 	 
Bacteroides sp. 3_1_23 (457390.3)	 	1326_2	1325_7	1324	1323	1327	1323	 	 	 
Bacteroides sp. 3_1_33FAA (457391.3)	 	225_2	226_7	227	228	224	229	 	 	 
Bacteroides sp. 3_1_40A (469593.3)	 	4064_2	4063_7	4062	4061	4065	4060	 	 	 
Bacteroides sp. 3_2_5 (457392.3)	 	99_2	 	98	97	100	97	 	 	 
Bacteroides sp. 4_1_36 (457393.3)	 	2816_2	2815_8, 3860_8	3861	2606, 2607	2817	2606, 2607	 	 	 
Bacteroides sp. 4_3_47FAA (457394.3)	 	3105_2	3104_7	3103	3102	3106	3101	 	 	 
Bacteroides sp. 9_1_42FAA (457395.6)	 	1411_2	1412_7	1413	1414	1410	1415	 	 	 
Bacteroides sp. D1 (556258.5)	 	2361_2	2362_7	2363	2364	2360	2364	 	 	 
Bacteroides sp. D2 (556259.3)	 	3474_2	3475_7	3476	3477	3473	3477	 	 	 
Bacteroides sp. D20 (585543.3)	 	3000_2	1501_4, 3001_7	3002	3003	2999	3003	 	 	 
Bacteroides sp. D22 (585544.3)	 	2297_2	2296_7	2295	2294	2298	2294	 	 	 
Bacteroides stercoris ATCC 43183 (449673.7)	 	693_2	691_7	690	689	694	689	 	 	 
Bacteroides stercoris CC31F (1073351.3)	 	3256_2	3255_7	3254	3253	3257	3253	 	 	 
Bacteroides thetaiotaomicron CL09T03C10 (997888.3)	 	1077_2	1076_7	1075	1074	1078	1074	 	 	 
Bacteroides thetaiotaomicron VPI-5482 (226186.12)	 	1477_2	1476_7	1475	1474	1478	1474	 	 	 
Bacteroides thetaiotaomicron dnLKV9 (1235785.3)	 	452_2	453_7	454	455	451	455	 	 	 
Bacteroides uniformis ATCC 8492 (411479.10)	 	3666_2	3665_7	3664	3663	3668	3663	 	 	 
Bacteroides uniformis CL03T00C23 (997889.3)	 	4203_2	4202_7	4201	4200	4204	4200	 	 	 
Bacteroides uniformis CL03T12C37 (997890.3)	 	1014_2	1015_7	1016	1017	1013	1017	 	 	 
Bacteroides uniformis dnLKV2 (1235787.3)	 	3991_2	3992_7, 819_4	3993	3994	3990	3994	 	 	 
Bacteroides vulgatus ATCC 8482 (435590.9)	 	2868_2	2867_7	2866	2865	2869	2864	 	 	 
Bacteroides vulgatus EK4.2 (702445.3)	 	 	 	 	 	 	 	 	 	 
Bacteroides vulgatus PC510 (702446.3)	 	2161_2	2160_7	2159	2158	2162	2157	 	 	 
Bacteroides vulgatus dnLKV7 (1235786.3)	 	839_2	838_7	837	836	840	835	 	 	 
Bacteroides xylanisolvens CL03T12C04 (997892.3)	 	4105_2	4104_7	4103	4102	4106	4102	 	 	 
Bacteroides xylanisolvens SD CC 1b (702447.3)	 	4060_2	4061_7	4062	4063	4059	4063	 	 	 
Bacteroides xylanisolvens XB1A (657309.4)	 	3432_2	3431_7	3430	3429	3433	3429	 	 	 
Barnesiella intestinihominis YIT 11860 (742726.3)	 	 	1612_8	1613	1614	1611	1218	 	 	 
Butyricimonas synergistica DSM 23225 (1121129.3)	 	682_3	683_8	684	685	681	686	 	 	 
Dysgonomonas gadei ATCC BAA-286 (742766.3)	 	 	 	 	 	 	 	 	 	 
Odoribacter laneus YIT 12061 (742817.3)	 	1028_3	1029_8	1030	1031	917	1032	 	 	 
Odoribacter splanchnicus DSM 20712 (709991.3)	 	744_2	745_7	746	747	 	748	 	 	 
Parabacteroides distasonis ATCC 8503 (435591.13)	 	1901_2	1900_7	1899	1898	1902	1897	 	 	 
Parabacteroides distasonis CL03T12C09 (999416.3)	 	502_2	503_7	504	505	501	506	 	 	 
Parabacteroides distasonis CL09T03C24 (999417.3)	 	1767_2	1768_7	1769	1770	1766	1771, 2931	 	 	 
Parabacteroides goldsteinii CL02T12C30 (999418.3)	 	5160_2	5159_7	5158	5157	5161	5156	 	 	 
Parabacteroides goldsteinii dnLKV18 (1235789.3)	 	2280_2	2279_7	2278	2277	2281	2276	 	 	 
Parabacteroides johnsonii CL02T12C29 (999419.3)	 	949_2	950_7	951	952	948	953	 	 	 
Parabacteroides johnsonii DSM 18315 (537006.5)	 	2517_2	2516_7	2515	2514	2518	2513	 	 	 
Parabacteroides merdae ATCC 43184 (411477.4)	 	3396_2	3395_7	3394	3393	3397	3392	 	 	 
Parabacteroides merdae CL03T12C32 (999420.3)	 	4131_2	4130_7	4129	4128	4132	4127	 	 	 
Parabacteroides sp. D13 (563193.3)	 	3260_2	3261_7	3262	3263	3259	3264	 	 	 
Porphyromonas asaccharolytica DSM 20707 (879243.3)	 	733_2	734_7	735	206	1086	205	 	 	 
Porphyromonas asaccharolytica PR426713P-I (910312.3)	 	1016_2	1017_7	1018	225	694	224	 	 	 
Porphyromonas endodontalis ATCC 35406 (553175.3)	 	441_3	440_7	439	901	376	1745	 	 	 
Porphyromonas gingivalis ATCC 33277 (431947.7)	 	469_2	468_7	927	127	1963	128	 	 	 
Porphyromonas gingivalis TDC60 (1030843.3)	 	631_2	630_7	1124	1295	305	1294	 	 	 
Porphyromonas gingivalis W83 (242619.8)	 	1502_2	1501_7	1107	1935	1908	1936	 	 	 
Porphyromonas somerae DSM 23386 (1122975.3)	 	 	1288_8	1289	1290	1286	1291	 	 	 
Porphyromonas uenonis 60-3 (596327.3)	 	817_2	816_7	815	520	606	521	 	 	 
Tannerella forsythia ATCC 43037 (203275.8)	 	 	 	 	 	 	 	 	 	 
Paraprevotella clara YIT 11840 (762968.3)	 	587_3	588_8	589	590	586	591	 	 	 
Paraprevotella xylaniphila YIT 11841 (762982.3)	 	268_2	269_8	270	271	267	272	 	 	 
Prevotella bivia DSM 20514 (868129.3)	 	 	 	 	 	 	 	 	 	 
Prevotella bryantii B14 (752555.5)	 	 	 	 	 	 	 	 	 	 
Prevotella buccae ATCC 33574 (873513.3)	 	 	 	 	 	 	 	 	 	 
Prevotella buccae D17 (575611.3)	 	 	 	 	 	 	 	 	 	 
Prevotella conceptionensis 9403948 (1197728.3)	 	 	 	 	 	 	 	 	 	 
Prevotella denticola CRIS 18C-A (944557.3)	 	 	 	 	 	 	 	 	 	 
Prevotella denticola F0289 (767031.3)	 	 	 	 	 	 	 	 	 	 
Prevotella disiens FB035-09AN (866771.4)	 	 	 	 	 	 	 	 	 	 
Prevotella intermedia 17 (246198.10)	 	 	 	1927	 	 	 	 	 	 
Prevotella melaninogenica ATCC 25845 (553174.6)	 	 	 	 	 	 	 	 	 	 
Prevotella melaninogenica D18 (575612.3)	 	 	 	 	 	 	 	 	 	 
Prevotella nanceiensis DSM 19126 (1122988.3)	 	 	 	514	 	 	 	 	 	 
Prevotella nigrescens ATCC 33563 (997352.4)	 	 	 	 	 	 	 	 	 	 
Prevotella nigrescens F0103 (702439.3)	 	 	 	 	 	 	 	 	 	 
Prevotella oralis ATCC 33269 (873533.3)	 	 	 	 	 	 	 	 	 	 
Prevotella oralis HGA0225 (1203550.3)	 	 	 	 	 	 	 	 	 	 
Prevotella pallens ATCC 700821 (997353.4)	 	 	 	 	 	 	 	 	 	 
Prevotella ruminicola 23 (264731.4)	 	 	 	 	 	 	 	 	 	 
Prevotella salivae DSM 15606 (888832.3)	 	 	 	 	 	 	 	 	 	 
Prevotella stercorea DSM 18206 (1002367.3)	 	 	 	2406	 	 	 	 	 	 
Prevotella timonensis CRIS 5C-B1 (679189.3)	 	 	 	 	 	 	 	 	 	 
Prevotella veroralis DSM 19559 (1122993.3)	 	 	 	 	 	 	 	 	 	 
Prevotella veroralis F0319 (649761.3)	 	 	 	 	 	 	 	 	 	 
Alistipes finegoldii DSM 17242 (679935.3)	 	 	 	 	 	 	 	 	 	 
Alistipes indistinctus YIT 12060 (742725.3)	 	1766_3	 	1768	104	1664	1665	 	 	 
Alistipes onderdonkii DSM 19147 (1120974.3)	 	 	 	 	 	 	 	 	 	 
Alistipes putredinis DSM 17216 (445970.5)	 	 	 	 	 	 	 	 	 	 
Alistipes shahii WAL 8301 (717959.3)	 	 	 	 	 	 	 	 	 	 
Rudanella lutea DSM 19387 (1089547.3)	 	 	 	2137	2525	2138	1976	490_14	 	 
Capnocytophaga ochracea DSM 7271 (521097.5)	 	 	1493_4	1465	2139	1669	1389	 	 	 
Capnocytophaga ochracea F0287 (873517.3)	 	 	 	46	511	2152	2097	 	 	 
Capnocytophaga sputigena ATCC 33612 (553177.6)	 	 	2472_4	232	2026	890	1581	 	 	 
Capnocytophaga granulosa ATCC 51502 (641143.3)	 	 	 	387	2286	525	923	 	 	 
Capnocytophaga ochracea str. Holt 25 (1125719.3)	 	 	 	1365	34	2011	927	 	 	 
Dyadobacter fermentans DSM 18053 (471854.5)	 	 	 	 	 	 	4416	 	 	 
Spirosoma linguale DSM 74 (504472.7)	 	 	2070_4	5547	5867	 	2403	 	 	 
Akkermansia muciniphila ATCC BAA-835 (349741.6)	 	 	 	1570	559	 	558	 	 	 
Escherichia coli TY-2482.contig.20110606 (6666666.5522)	 	2083_2	3855_4	2082	2080	2084, 4234	2081	 	 	 
Bacillus cereus BDRD-ST26 (526975.3)	 	5121_2	5122_4	5123	2474, 5125	5124	5120	3470_14	4535_16, 5926_16	 
Bacillus cereus BGSC 6E1 (526970.3)	 	5446_2	5447_4	5448	2785, 5450	5449	5445	3822_14, 3827_14	372_16	 
Bacillus cereus F65185 (526989.3)	 	128_2	127_4	126	124	125	129	2633_14, 4742_14, 4748_14	1024_16, 5811_16	 
Bacillus cereus Rock1-15 (526982.3)	 	5297_2	5298_4	5299	2785, 5301	5300	5296	3762_14, 3767_14	270_16	 
Bacillus cereus 03BB102 (572264.4)	 	4119_2	4120_4	4121	1206, 1543, 4123	4122	4118	2607_14, 2612_14	4923_16	 
Bacillus cereus 172560W (526967.3)	 	4377_2	4378_4	4379	1899, 4381	4380	4376	2778_14, 2783_14	3849_16, 5223_16	 
Bacillus cereus 95/8201 (526979.3)	 	4520_2	4519_4	4518	1817, 4516	4517	4521	2973_14, 2978_14	3819_16	 
Bacillus cereus AH1134 (405533.4)	 	3812_2	3813_4	3814	3405, 3816	3815	3811	5127_14, 5132_14, 5865_14	1261_16, 2538_16	 
Bacillus cereus AH1271 (526992.3)	 	1525_2	1524_4	1523, 601	1521, 5076	1522	1526	137_14, 142_14	1115_16, 2507_16	 
Bacillus cereus AH1272 (526993.3)	 	2022_2	2021_4	1376, 2020	1296, 2018, 5492	2019	3849	3711_14, 485_14, 501_14	1409_16, 2807_16	 
Bacillus cereus AH187 (405534.9)	 	4432_2	4433_4	4434	1948, 4436	4435	4431	2879_14	3840_16, 5216_16	 
Bacillus cereus AH603 (526990.3)	 	183_2	182_4	181	179, 3521	180	184	4593_14, 4598_14	1073_16, 5545_16	 
Bacillus cereus AH621 (526972.3)	 	4909_2	4908_4	4907	2437, 4905	4906	4910	3468_14, 3474_14	4330_16, 5699_16	 
Bacillus cereus AH676 (526991.3)	 	1642_2	1641_4	1640	1638, 4942	1639	1643	39_14, 45_14	2583_16	 
Bacillus cereus AH820 (405535.8)	 	4131_2	4132_4	4133	1644, 4135	4134	4130	2602_14	3623_16	 
Bacillus cereus AND1407 (1053166.3)	 	3176_2	3175_4	3174	3172, 756	3173	3177	1610_14, 1615_14, 5550_14	3672_16, 4631_16	 
Bacillus cereus ATCC 10876 (526980.3)	 	5231_2	5230_4	5229	2467, 5227	5228	5232	3537_14, 3542_14	41_16, 4555_16	 
Bacillus cereus ATCC 10987 (222523.6)	 	4008_2	4009_4	4010	1643, 4012	4011	4007	2529_14, 2534_14, 2572_14, 3102_14	3485_16, 4841_16	 
Bacillus cereus ATCC 4342 (526977.3)	 	3852_2	3853_4	3854	1191, 3856	3855	3851	2233_14, 2238_14	3344_16, 4700_16	 
Bacillus cereus B4264 (405532.5)	 	4079_2	3058_4, 4080_4	4081	1548, 4083	4082	4078	2518_14, 2523_14	3596_16, 4874_16	 
Bacillus cereus B5-2 (1085389.3)	 	4618_2	4619_4	4620	2037, 4622	4621	4617	3005_14, 3010_14	4071_16, 5441_16	 
Bacillus cereus BAG1O-1 (1053167.3)	 	4860_2	4861_4	4862	1547, 4150, 4864	4863	4859	2643_14, 2648_14	4301_16, 5653_16	 
Bacillus cereus BAG1O-2 (1053168.3)	 	1402_2	1401_4	1400	1398, 2338, 3924	1399	1403	2963_14, 2968_14, 5414_14	1995_16, 621_16	 
Bacillus cereus BAG1O-3 (1053169.3)	 	777_2	776_4	775	3360, 773	774	778	2279_14, 2284_14	1297_16, 3984_16	 
Bacillus cereus BAG1X1-1 (1053170.3)	 	1439	1438_4	1436, 1437	1434, 4010	1435	1440	2975_14, 2980_14, 5494_14	1963_16, 636_16	 
Bacillus cereus BAG1X1-2 (1053171.3)	 	3413_2	3414_4	3415	3417, 857	3416	3412	1922_14, 1927_14, 2386_14	2928_16, 4222_16	 
Bacillus cereus BAG1X1-3 (1053172.3)	 	1441_2	1440_4	1439	1437, 2204, 3934	1438	1442	2952_14, 2957_14	2054_16, 648_16	 
Bacillus cereus BAG1X2-1 (1053173.3)	 	4023	4024_4	4025, 4026	1457, 4028	4027	4022	2488_14, 2493_14, 5886_14	3502_16, 4826_16	 
Bacillus cereus BAG1X2-2 (1053174.3)	 	1428	1427_4	1425, 1426	1423, 3995	1424	1429	2957_14, 2962_14, 6003_14	1950_16, 572_16	 
Bacillus cereus BAG1X2-3 (1053175.3)	 	4712	4713_4	4714, 4715	2147, 4717	4716	4711	3175_14, 3180_14, 6426_14	4189_16, 5510_16	 
Bacillus cereus BAG2O-1 (1053176.3)	 	4020	4021_4	4022, 4023	1466, 4025	4024	4019	2491_14, 2496_14, 6203_14	3500_16, 4813_16	 
Bacillus cereus BAG2O-2 (1053177.3)	 	3983_2	3984_4	3985	1443, 3101, 3987	3986	3982	2473_14, 2478_14, 5469_14	3443_16, 4763_16	 
Bacillus cereus BAG2O-3 (1053178.3)	 	1479_2	1478_4	1477	1475, 4047	1476	1480	3086_14, 3091_14	2027_16, 617_16	 
Bacillus cereus BAG2X1-1 (1053179.3)	 	1277_2	1276_4	1275	1273, 2004, 3293, 4933	1274	1278	2478_14	1742_16, 539_16	 
Bacillus cereus BAG2X1-2 (1053180.3)	 	1459_2	1458_4	1457	1455, 4240	1456	1460	3190_14	2040_16, 644_16	 
Bacillus cereus BAG2X1-3 (1053181.3)	 	1150_2	1149_4	1148	1146, 1882, 3171, 5197	1147	1151	2333_14	1620_16, 396_16	 
Bacillus cereus BAG3O-1 (1085388.3)	 	4187_2	4188_4	4189	1542, 4191	4190	4186	2550_14, 2555_14	3631_16, 5450_16	 
Bacillus cereus BAG3O-2 (1053182.3)	 	1410_2	1409_4	1408	1406, 3988	1407	1411	2969_14, 2974_14	1900_16, 630_16	 
Bacillus cereus BAG3X2-1 (1053183.3)	 	1456_2	1455_4	1454	1452, 2139, 3870	1453	1457	2785_14, 2790_14	1981_16, 645_16	 
Bacillus cereus BAG3X2-2 (1053184.3)	 	4018_2	4019_4	4020	4022	4021	4017	2480_14, 2485_14, 5713_14, 5742_14	3448_16, 4812_16	 
Bacillus cereus BAG4O-1 (1053185.3)	 	4025_2	4026_4	4027	1453, 4029	4028	4024	2469_14, 2474_14	3537_16, 4804_16	 
Bacillus cereus BAG4X12-1 (1053186.3)	 	3811_2	3812_4	3813	3815	3814	3810	2332_14, 2337_14	3317_16, 4583_16	 
Bacillus cereus BAG4X2-1 (1053187.3)	 	1491_2	1490_4	1489	1487, 2356, 3910	1488	1492	2965_14, 2970_14, 5294_14	2019_16, 702_16	 
Bacillus cereus BAG5O-1 (1053188.3)	 	3385_2	3386_4	3387	2444, 3389, 853	3388	3384	1834_14, 1839_14, 5892_14	2787_16, 4179_16	 
Bacillus cereus BAG5X1-1 (1053189.3)	 	1341_2	1340_4	1339	1337, 1993, 3649	1338	1342	2677_14, 5323_14	1850_16, 546_16	 
Bacillus cereus BAG5X12-1 (1053190.3)	 	820_2	819_4	818	816	817	821	2291_14, 2296_14	1312_16, 4524_16	 
Bacillus cereus BAG5X2-1 (1053191.3)	 	841_2	840_4	839	3590, 5862, 837	838	842	2480_14, 2485_14, 5517_14, 5638_14	1422_16, 5486_16	 
Bacillus cereus BAG6O-1 (1053192.3)	 	1431_2	1430_4	1429	1427, 2292, 3875	1428	1432	2906_14, 2911_14, 5614_14	1959_16, 627_16	 
Bacillus cereus BAG6O-2 (1053193.3)	 	1672_2	1673_4	1674	1016, 1676, 3795	1675	1671	313_14	1156_16, 2452_16	 
Bacillus cereus BAG6X1-1 (1053194.3)	 	3769_2	3770_4	3771	1078, 3773	3772	3768	2131_14	3253_16, 4585_16	 
Bacillus cereus BAG6X1-2 (1053195.3)	 	3599_2	3600_4	3601	1412, 2986, 3603	3602	3598	2325_14	3119_16, 4983_16	 
Bacillus cereus BDRD-Cer4 (526978.3)	 	4076_2	4075_4	4074	4072	4073	4077	205_14, 5493_14, 5504_14	4823_16	 
