Organism	ASPOX	QSYN	QAPRT	NaMNAT	NADS	PnuC	NiaP	NiaX	NiaY
Bacteroides pectinophilus ATCC 43243 (483218.5)	 	 	 	1895	2006	 	 	 	2646
Bacteroides plebeius DSM 17135 (484018.6)	1259	1022	2026	3419	2370	 	 	 	 
Bacteroides salyersiae CL02T12C01 (997887.3)	1737	1759	3766	4548_4	2508	 	 	 	 
Bacteroides salyersiae WAL 10018 = DSM 18765 = JCM 12988 (1121101.3)	1927	1950	2745	3840_4	295	 	 	 	 
Bacteroides sp. 1_1_14 (469585.3)	3802	3785	3309	1990	846	 	 	 	 
Bacteroides sp. 1_1_30 (457387.3)	1558	1442	4043	1323	2938	 	 	 	 
Bacteroides sp. 1_1_6 (469586.3)	1912	1923	4737	3244	38	 	 	 	 
Bacteroides sp. 20_3 (469591.4)	10	4253	3962	1073	1257	 	 	 	 
Bacteroides sp. 2_1_22 (469588.3)	452	509	4023	1732	2593	 	 	 	 
Bacteroides sp. 2_1_33B (469589.3)	1552	1570	2662	3460	3291	 	 	 	 
Bacteroides sp. 2_1_7 (457388.5)	499	518	2150	3790	3623	 	 	 	 
Bacteroides sp. 2_2_4 (469590.5)	1405	1353	69	3332	984	 	 	 	 
Bacteroides sp. 3_1_19 (469592.4)	889	870	2205	3437	3599	 	 	 	 
Bacteroides sp. 3_1_23 (457390.3)	2074	2025	1541	3583	992	 	 	 	 
Bacteroides sp. 3_1_33FAA (457391.3)	1972	1926	743	4351	753	 	 	 	 
Bacteroides sp. 3_1_40A (469593.3)	928	886	2454	4670	2444	 	 	 	 
Bacteroides sp. 3_2_5 (457392.3)	1095	1117	224	2989_4	1898	 	 	 	 
Bacteroides sp. 4_1_36 (457393.3)	307	290	2863	2998	1591	 	 	 	 
Bacteroides sp. 4_3_47FAA (457394.3)	640	603	1871	4136	1881	 	 	 	 
Bacteroides sp. 9_1_42FAA (457395.6)	761	698	2319	4337	2329	 	 	 	 
Bacteroides sp. D1 (556258.5)	290	344	2236	3341	1294	 	 	 	 
Bacteroides sp. D2 (556259.3)	1899	1941	3331	3681	655	 	 	 	 
Bacteroides sp. D20 (585543.3)	2046	2032	2955	2529	960	 	 	 	 
Bacteroides sp. D22 (585544.3)	3782	3734	4888	34	4220	 	 	 	 
Bacteroides stercoris ATCC 43183 (449673.7)	2059	2080	829	2700	1591	 	 	 	 
Bacteroides stercoris CC31F (1073351.3)	364	389	2223	1618_4	917	 	 	 	 
Bacteroides thetaiotaomicron CL09T03C10 (997888.3)	2013	1990	1193	2756	483	 	 	 	 
Bacteroides thetaiotaomicron VPI-5482 (226186.12)	3245	3224	1595	2063	203	 	 	 	 
Bacteroides thetaiotaomicron dnLKV9 (1235785.3)	3584	3562	335	4323_4	1770	 	 	 	 
Bacteroides uniformis ATCC 8492 (411479.10)	771	757	3720	1730	1547	 	 	 	 
Bacteroides uniformis CL03T00C23 (997889.3)	1384	1370	120	635_4	3005	 	 	 	 
Bacteroides uniformis CL03T12C37 (997890.3)	3280	3294	865	340_4	2247	 	 	 	 
Bacteroides uniformis dnLKV2 (1235787.3)	444	433	3939	1610_4	2383	 	 	 	 
Bacteroides vulgatus ATCC 8482 (435590.9)	1155	1190	2452	1708	2442	 	 	 	 
Bacteroides vulgatus EK4.2 (702445.3)	 	 	 	450	2162	842_8	 	1366	 
Bacteroides vulgatus PC510 (702446.3)	2510	2473	3483	268	3473	 	 	 	 
Bacteroides vulgatus dnLKV7 (1235786.3)	3974	4014	365	4199_4	355	 	 	 	 
Bacteroides xylanisolvens CL03T12C04 (997892.3)	2689	2643	4226	4748_4	1113	 	 	 	 
Bacteroides xylanisolvens SD CC 1b (702447.3)	4707	1043	3957	2774	3006	 	 	 	 
Bacteroides xylanisolvens XB1A (657309.4)	1127	1060	3582	123	3203	 	 	 	 
Barnesiella intestinihominis YIT 11860 (742726.3)	2729	2748	1211	1796_4	1359	 	 	 	 
Butyricimonas synergistica DSM 23225 (1121129.3)	909	911	910	2281_4	2517	 	 	 	 
Dysgonomonas gadei ATCC BAA-286 (742766.3)	1791	1792	1790	1806_4, 3353_4	2785	 	 	 	 
Odoribacter laneus YIT 12061 (742817.3)	871	869	870	2512_4	1827, 2035	 	 	 	 
Odoribacter splanchnicus DSM 20712 (709991.3)	848	851	849	2665	2210	 	 	 	 
Parabacteroides distasonis ATCC 8503 (435591.13)	2994	2974	2070	147	313	 	 	 	 
Parabacteroides distasonis CL03T12C09 (999416.3)	3421	3440	332	4005_4	4232	 	 	 	 
Parabacteroides distasonis CL09T03C24 (999417.3)	1073	1092	1491	2277_4	2446	 	 	 	 
Parabacteroides goldsteinii CL02T12C30 (999418.3)	976	1013	2512	4407_4	4764	 	 	 	 
Parabacteroides goldsteinii dnLKV18 (1235789.3)	3780	3740	2663	4668_4	107	 	 	 	 
Parabacteroides johnsonii CL02T12C29 (999419.3)	1622	1642	2346	1194_4	2603	 	 	 	 
Parabacteroides johnsonii DSM 18315 (537006.5)	518	488	2185	2228	1989	 	 	 	 
Parabacteroides merdae ATCC 43184 (411477.4)	2642	2632	697	2880	2202	 	 	 	 
Parabacteroides merdae CL03T12C32 (999420.3)	2018	2004	2425	111_4	1208	 	 	 	 
Parabacteroides sp. D13 (563193.3)	817	799	3079	4355	3799	 	 	 	 
Porphyromonas asaccharolytica DSM 20707 (879243.3)	254	256	255	578	24	 	 	 	 
Porphyromonas asaccharolytica PR426713P-I (910312.3)	275	277	276	499	1499	 	 	 	 
Porphyromonas endodontalis ATCC 35406 (553175.3)	847	849	848	1318	863	 	 	 	 
Porphyromonas gingivalis ATCC 33277 (431947.7)	531	529	530	1972	1424	 	 	 	 
Porphyromonas gingivalis TDC60 (1030843.3)	698	696	697	317_4	1601	 	 	 	 
Porphyromonas gingivalis W83 (242619.8)	1460	1462	1461	53	485	 	 	 	 
Porphyromonas somerae DSM 23386 (1122975.3)	1831, 1897	1833	1832	 	386	 	 	 	 
Porphyromonas uenonis 60-3 (596327.3)	779	777	778	808	1349	 	 	 	 
Tannerella forsythia ATCC 43037 (203275.8)	524	705	1807	543	2098	 	 	 	 
Paraprevotella clara YIT 11840 (762968.3)	1162	1171	2772	2946	606	 	 	 	 
Paraprevotella xylaniphila YIT 11841 (762982.3)	1972	1981	2689	889	2516	 	 	 	 
Prevotella bivia DSM 20514 (868129.3)	1972	1971	1970	1366	256	 	 	 	 
Prevotella bryantii B14 (752555.5)	2045	1805	1386	245	1392	 	 	 	 
Prevotella buccae ATCC 33574 (873513.3)	801	76	1405	2395	1411	 	 	 	 
Prevotella buccae D17 (575611.3)	340	1411	1272	1007	1266	 	 	 	 
Prevotella conceptionensis 9403948 (1197728.3)	3291	3290	3289	2561_4	695	 	 	 	 
Prevotella denticola CRIS 18C-A (944557.3)	1135	1134	1133	64	2524	 	 	 	 
Prevotella denticola F0289 (767031.3)	209	210	211	844	1258	 	 	 	 
Prevotella disiens FB035-09AN (866771.4)	1726	1725	1724	1339	186	 	 	 	 
Prevotella intermedia 17 (246198.10)	2285	2284	2283	762	167	 	 	 	 
Prevotella melaninogenica ATCC 25845 (553174.6)	1931	1930	1929	248	1804	 	 	 	 
Prevotella melaninogenica D18 (575612.3)	785	784	783	14	664	 	 	 	 
Prevotella nanceiensis DSM 19126 (1122988.3)	 	 	 	806_4	316	 	 	 	 
Prevotella nigrescens ATCC 33563 (997352.4)	697	696	695	1671	1998	 	 	 	 
Prevotella nigrescens F0103 (702439.3)	810	811	812	1626_4	2370	 	 	 	 
Prevotella oralis ATCC 33269 (873533.3)	695	1239	202	1533	179	 	 	 	 
Prevotella oralis HGA0225 (1203550.3)	918	1578	421	1284_4	400	 	 	 	 
Prevotella pallens ATCC 700821 (997353.4)	888	889	890	532	2123	 	 	 	 
Prevotella ruminicola 23 (264731.4)	1942	2456	712	2472	780	 	 	 	 
Prevotella salivae DSM 15606 (888832.3)	 	 	 	1099	2075	 	 	 	 
Prevotella stercorea DSM 18206 (1002367.3)	691	1122	1135	1977	2372	 	 	 	 
Prevotella timonensis CRIS 5C-B1 (679189.3)	2309	2310	2311	1746	175	 	 	 	 
Prevotella veroralis DSM 19559 (1122993.3)	 	 	 	1147_4	2303	 	 	 	 
Prevotella veroralis F0319 (649761.3)	 	 	 	977	1382	 	 	 	 
Alistipes finegoldii DSM 17242 (679935.3)	1042	1445	2254	3198	144, 2265	 	 	 	 
Alistipes indistinctus YIT 12060 (742725.3)	1554	807	1372	2222_4	1488, 1949	 	 	 	 
Alistipes onderdonkii DSM 19147 (1120974.3)	2854	2140	2447	1760_4	2460, 3256	 	 	 	 
Alistipes putredinis DSM 17216 (445970.5)	2059	544	2013	1420	1165, 2326	 	 	 	 
Alistipes shahii WAL 8301 (717959.3)	771	53	1576	2274	1560, 3040	 	 	 	 
Rudanella lutea DSM 19387 (1089547.3)	3198	3194	3193	2128_4	1900	2767_8	 	 	 
Capnocytophaga ochracea DSM 7271 (521097.5)	 	 	 	2149	768, 895	 	 	 	 
Capnocytophaga ochracea F0287 (873517.3)	 	 	 	520	1546	 	 	 	 
Capnocytophaga sputigena ATCC 33612 (553177.6)	 	 	 	431	1644	 	 	 	 
Capnocytophaga granulosa ATCC 51502 (641143.3)	 	 	 	788_4	70	 	 	 	 
Capnocytophaga ochracea str. Holt 25 (1125719.3)	 	 	 	43	220	 	 	 	 
Dyadobacter fermentans DSM 18053 (471854.5)	4862	4861	3995	3942	2923	3806_8	 	 	 
Spirosoma linguale DSM 74 (504472.7)	5116	5114	5152	5533	642, 6695	5796_8	 	 	 
Akkermansia muciniphila ATCC BAA-835 (349741.6)	1219	2463	1432	444	186, 701	 	 	 	 
Escherichia coli TY-2482.contig.20110606 (6666666.5522)	648	443	4045	2306	4959	444_8	 	 	 
Bacillus cereus BDRD-ST26 (526975.3)	5529	5531	5530	5390	2855	2591_8	240	 	 
Bacillus cereus BGSC 6E1 (526970.3)	5765	5763	5764	5665_4	3198	3737_8	885	 	 
Bacillus cereus F65185 (526989.3)	643	645	644	422	4224	4857_8	1676	 	 
Bacillus cereus Rock1-15 (526982.3)	5630	5628	5629	5533	3103	3618_8	618	 	 
Bacillus cereus 03BB102 (572264.4)	4438	4437	4438	4338	1936	194_8	5441	 	 
Bacillus cereus 172560W (526967.3)	4708	4706	4707	4612	2287	3671_8	5687	 	 
Bacillus cereus 95/8201 (526979.3)	5031	5033	5032	4714	2146	2827_8	5797	 	 
Bacillus cereus AH1134 (405533.4)	2073	2071	2072	1976	4841	4966_8	3025	 	 
Bacillus cereus AH1271 (526992.3)	1970	1972	1971	1837	3615	 	3055	 	 
Bacillus cereus AH1272 (526993.3)	2297	2299	2298	2190	5821	479_8	3287	 	 
Bacillus cereus AH187 (405534.9)	4747	4745	4746	4651	2266	512_8	5752	 	 
Bacillus cereus AH603 (526990.3)	658	660	659	584	3950	3798_8	1553	 	 
Bacillus cereus AH621 (526972.3)	5269	5271	5270	5117	2841	3281_8	400	 	 
Bacillus cereus AH676 (526991.3)	2157	2159	2158	1968	5281	4805_8	3080	 	 
Bacillus cereus AH820 (405535.8)	4503	4501	4502	4349	1975	207_8	5496	 	 
Bacillus cereus AND1407 (1053166.3)	2710	2712	2711	2885_4	1074	5311_8	4140	 	 
Bacillus cereus ATCC 10876 (526980.3)	5609	5611	5610	5490	2876	2981_8	531	 	 
Bacillus cereus ATCC 10987 (222523.6)	4329	4327	4328	4228	1983	212_8	5313	 	 
Bacillus cereus ATCC 4342 (526977.3)	4267	4269	4268	4110	1531	 	5063	 	 
Bacillus cereus B4264 (405532.5)	4399	4397	4398	4303	1874	182_8	5365	 	 
Bacillus cereus B5-2 (1085389.3)	4947	4945	4946	4848_4	2383	 	5916	 	 
Bacillus cereus BAG1O-1 (1053167.3)	5179	5177	5178	5084_4	1861	177_8	6157	 	 
Bacillus cereus BAG1O-2 (1053168.3)	1086	1088	1087	1183_4	3580	5228_8	144	 	 
Bacillus cereus BAG1O-3 (1053169.3)	459	461	460	555_4	3014	4903_8	4478	 	 
Bacillus cereus BAG1X1-1 (1053170.3)	1118	1120	1119	1217_4	3669	6318_8	146	 	 
Bacillus cereus BAG1X1-2 (1053171.3)	3727	3725	3726	3632_4	1188	5142_8	4715	 	 
Bacillus cereus BAG1X1-3 (1053172.3)	1124	1126	1125	1217_4	3618	5306_8	140	 	 
Bacillus cereus BAG1X2-1 (1053173.3)	4343	4341	4342	4244_4	1798	113_8	5317	 	 
Bacillus cereus BAG1X2-2 (1053174.3)	1106	1108	1107	1205_4	3652	5347_8	81	 	 
Bacillus cereus BAG1X2-3 (1053175.3)	5032	5030	5031	4933_4	2489	179_8	5999	 	 
Bacillus cereus BAG2O-1 (1053176.3)	4342	4340	4341	4242_4	1805	114_8	5302	 	 
Bacillus cereus BAG2O-2 (1053177.3)	4301	4299	4300	4204_4	1788	109_8	5271	 	 
Bacillus cereus BAG2O-3 (1053178.3)	1144	1146	1145	1244_4	3702	 	143	 	 
Bacillus cereus BAG2X1-1 (1053179.3)	971	973	972	1065_4	2974	 	80	 	 
Bacillus cereus BAG2X1-2 (1053180.3)	1144	1146	1145	1240_4	3865	 	143	 	 
Bacillus cereus BAG2X1-3 (1053181.3)	839	841	840	933_4	2827	 	5095	 	 
Bacillus cereus BAG3O-1 (1085388.3)	4511	4509	4510	4412_4	1907	 	5934	 	 
Bacillus cereus BAG3O-2 (1053182.3)	1100	1102	1101	1197_4	3672	5336_8	142	 	 
Bacillus cereus BAG3X2-1 (1053183.3)	1134	1136	1135	1225_4	3515	5178_8	150	 	 
Bacillus cereus BAG3X2-2 (1053184.3)	4332	4330	4331	4235_4	1807	 	5295	 	 
Bacillus cereus BAG4O-1 (1053185.3)	4336	4334	4335	4238_4	1770	 	5292	 	 
Bacillus cereus BAG4X12-1 (1053186.3)	4127	4125	4126	4028_4	1699	 	5083	 	 
Bacillus cereus BAG4X2-1 (1053187.3)	1164	1166	1165	1261_4	3564	4787_8	217	 	 
Bacillus cereus BAG5O-1 (1053188.3)	3702	3700	3701	3605_4	1202	4909_8	4655	 	 
Bacillus cereus BAG5X1-1 (1053189.3)	1030	1032	1031	1123_4	3304	 	80	 	 
Bacillus cereus BAG5X12-1 (1053190.3)	505	507	506	604_4	2926	 	5028	 	 
Bacillus cereus BAG5X2-1 (1053191.3)	462	464	463	560_4	3225	 	4995	 	 
Bacillus cereus BAG6O-1 (1053192.3)	1089	1091	1090	1188_4	3522	5186_8	145	 	 
Bacillus cereus BAG6O-2 (1053193.3)	1987	1985	1986	1895_4	3445	 	2943	 	 
Bacillus cereus BAG6X1-1 (1053194.3)	4085	4083	4084	3989_4	1441	 	5096	 	 
Bacillus cereus BAG6X1-2 (1053195.3)	3903	3901	3902	3811_4	1724	 	4470	 	 
Bacillus cereus BDRD-Cer4 (526978.3)	4253	4255	4254	4349	1889	2423_8	5324	 	 
Bacillus cereus BDRD-ST196 (526976.3)	1083, 1084	1086	1085	967	4274	5226_8	2105	 	 
Bacillus cereus BDRD-ST24 (526974.3)	5089	5091	5090	4979	2486	2940_8	304	 	 
Bacillus cereus BMG1.7 (1053196.3)	791	793	792	890_4	2089	 	3564	 	 
Bacillus cereus BtB2-4 (1053197.3)	4325	4323	4324	4232_4	1821	110_8	5295	 	 
Bacillus cereus CER057 (1053198.3)	4327	4325	4326	4234_4	1821	110_8	5298	 	 
Bacillus cereus CER074 (1053199.3)	1125	1127	1126	1218_4	3628	5344_8	150	 	 
Bacillus cereus E33L (288681.15)	4424	4422	4423	4321	1907	193_8	5409	 	 
Bacillus cereus FRI-35 (1217984.3)	2633	2635	2634	2729_4	4943	1397_8	1670	 	 
Bacillus cereus G9842 (405531.7)	4465	4463	4464	4367	1853	182_8	5422	 	 
Bacillus cereus H-hrb01 (1225787.3)	495	493	494	352_4	1112	 	 	 	767
Bacillus cereus HD73 (1053200.3)	455	457	456	554_4	1994	 	4330	 	 
Bacillus cereus HuA2-1 (1053201.3)	4128	4126	4127	4031_4	1457	6166_8	4728	 	 
Bacillus cereus HuA2-3 (1053202.3)	5356	5354	5355	5259_4	2824	744_8	491	 	 
Bacillus cereus HuA2-4 (1053203.3)	4294	4292	4293	4196_4	1841	112_8	5267	 	 
Bacillus cereus HuA2-9 (1053204.3)	2093	2091	2092	1997_4	3058	 	5210	 	 
Bacillus cereus HuA3-9 (1053205.3)	2998	3000	2999	3091_4	337	5967_8	4106	 	 
Bacillus cereus HuA4-10 (1053206.3)	1112	1114	1113	1207_4	3580	5284_8	139	 	 
Bacillus cereus HuB1-1 (1053207.3)	1290	1292	1291	1385_4	3743	61_8	317	 	 
Bacillus cereus HuB13-1 (1053208.3)	5497	5495	5496	5398_4	2266	 	6548	 	 
Bacillus cereus HuB2-9 (1053209.3)	1090	1092	1091	1187_4	3553	5212_8	144	 	 
Bacillus cereus HuB4-10 (1053210.3)	3667	3665	3666	3569_4	1208	5212_8	4602	 	 
Bacillus cereus HuB4-4 (1053211.3)	4931	4929	4930	4829_4	2304	108_8	6099	 	 
Bacillus cereus HuB5-5 (1053212.3)	4250	4248	4249	4152_4	1784	109_8	5189	 	 
Bacillus cereus IS075 (718220.3)	3061	3059	3060	2963_4	4286	5382_8	4072	 	 
Bacillus cereus IS195 (1053213.3)	498	496	497	401_4	4223	1711_8	1501	 	 
Bacillus cereus IS845/00 (1053214.3)	497	495	496	400_4	5259	1759_8	1499	 	 
Bacillus cereus ISP2954 (1053215.3)	5327	5325	5326	5228_4	2203	 	6600	 	 
Bacillus cereus ISP3191 (1053216.3)	457	459	458	551_4	2925	4585_8	4842	 	 
Bacillus cereus K-5975c (1053217.3)	1112	1114	1113	1209_4	3677	6076_8	147	 	 
Bacillus cereus LCT-BC244 (1163722.3)	483	485	484	581_4	2796	4728_8	4165	 	 
Bacillus cereus MC118 (1053218.3)	1805	1807	1806	171_4	4629	 	2700	 	 
Bacillus cereus MC67 (1053219.3)	3260	3262	3261	3354_4	450	 	2318	 	 
Bacillus cereus MM3 (526971.3)	5129	5127	5128	5018	2528	 	404	 	 
Bacillus cereus MSX-A1 (1053220.3)	505	507	506	602_4	3032	4903_8	5141	 	 
Bacillus cereus MSX-A12 (1053221.3)	3946	3944	3945	3848_4	2316	5017_8	4593	 	 
Bacillus cereus MSX-D12 (1053222.3)	1129	1131	1130	1226_4	3519	 	161	 	 
Bacillus cereus NC7401 (334406.4)	4290	4288	4289	4192_4	1862	186_8	5285	 	 
Bacillus cereus Q1 (361100.6)	4262	4260	4261	4163	1933	194_8	5312	 	 
Bacillus cereus R309803 (526968.3)	4728	4730	4729	4494	1998	 	5649	 	 
Bacillus cereus Rock1-3 (526981.3)	4781	4779	4780	4676	2247	2603_8	5760	 	 
Bacillus cereus Rock3-29 (526984.3)	4953	4955	4954	4705	2285	3408_8	5787	 	 
Bacillus cereus Rock3-42 (526985.3)	884	882	883	772	3855	4369_8	1987	 	 
Bacillus cereus Rock4-18 (526988.3)	4919	4921	4920	4734	2234	3020_8	5760	 	 
Bacillus cereus SJ1 (699184.4)	1674	1676	1675	3288	598, 599	4279_8	1192	 	 
Bacillus cereus TIAC219 (718222.3)	1654	1652	1653	1555_4	1847	6075_8	3986	 	 
Bacillus cereus VD014 (1053223.3)	4209	4207	4208	4108_4	1750	105_8	5183	 	 
Bacillus cereus VD021 (1053224.3)	34	36	35	127_4	3608	5950_8	4137	 	 
Bacillus cereus VD022 (718223.3)	513	515	514	610_4	4085	6265_8	4788	 	 
Bacillus cereus VD045 (1053225.3)	522	524	523	618_4	2997	6052_8	4735	 	 
Bacillus cereus VD048 (1053226.3)	447	449	448	542_4	2926	5889_8	4357	 	 
Bacillus cereus VD078 (1053227.3)	1083	1085	1084	1175_4	3500	5211_8	131	 	 
Bacillus cereus VD102 (1053228.3)	492	494	493	604_4	2860	 	4931	 	 
Bacillus cereus VD107 (1053229.3)	3415	3413	3414	3320_4	1115	 	4360	 	 
Bacillus cereus VD115 (1053230.3)	552	554	553	651_4	3164	5610_8	4265	 	 
Bacillus cereus VD118 (1053231.3)	4784	4782	4783	4691_4	2152	 	5746	 	 
Bacillus cereus VD131 (1053232.3)	4705	4703	4704	4605_4	2152	160_8	6122	 	 
Bacillus cereus VD133 (1053233.3)	5752	5750	5751	5591_4	1415	 	3655	 	 
Bacillus cereus VD136 (1053234.3)	4928	4926	4927	4837_4	2749	 	532	 	 
Bacillus cereus VD140 (1053235.3)	4746	4744	4745	4650_4	1922	 	5713	 	 
Bacillus cereus VD142 (718224.3)	3657	3655	3656	3564_4	1346	5735_8	4588	 	 
Bacillus cereus VD146 (1053236.3)	5046	5044	5045	4954_4	2616	157_8	5987	 	 
Bacillus cereus VD148 (1053237.3)	1100	1102	1101	1198_4	3643	5586_8	143	 	 
Bacillus cereus VD154 (1053238.3)	4065	4063	4064	3965_4	1992	5029_8	5660	 	 
Bacillus cereus VD156 (1053239.3)	1176	1178	1177	1276_4	3736	4664_8	154	 	 
Bacillus cereus VD166 (1053240.3)	438	440	439	535_4	2934	5030_8	4607	 	 
Bacillus cereus VD169 (1053241.3)	4138	4136	4137	4042_4	1763	105_8	5132	 	 
Bacillus cereus VD184 (1053242.3)	4984	4982	4983	4886_4	2288	201_8	6218	 	 
Bacillus cereus VD196 (1053243.3)	4620	4622	4621	4717_4	970	6115_8	4493	 	 
Bacillus cereus VD200 (1053244.3)	4439	4437	4438	4344_4	1833	113_8	5411	 	 
Bacillus cereus VD214 (1053245.3)	4716	4714	4715	4619_4	2181	174_8	5695	 	 
Bacillus cereus VDM006 (1085379.3)	4992	4990	4991	4901_4	2445	 	448	 	 
Bacillus cereus VDM019 (1053246.3)	4328	4326	4327	4235_4	1804	110_8	4931	 	 
Bacillus cereus VDM021 (1085386.3)	5031	5029	5030	4939_4	2335	 	534	 	 
Bacillus cereus VDM022 (1053247.3)	1157	1159	1158	1250_4	3608	5697_8	132	 	 
Bacillus cereus VDM034 (1053248.3)	3787	3785	3786	3696_4	1451	5435_8	4767	 	 
Bacillus cereus VDM053 (1053249.3)	4762	4760	4761	4672_4	2181	107_8	6163	 	 
Bacillus cereus VDM062 (1053250.3)	1356	1358	1357	1447_4	3820	106_8	359	 	 
Bacillus cereus biovar anthracis str. CI (637380.6)	4807	4805	4806	4687	2247	 	5817	 	 
Bacillus cereus m1293 (526973.3)	248	246	247	202	3457	 	1281	 	 
Bacillus cereus m1550 (526969.3)	4215	4213	4214	4139	1661	2541_8	5181	 	 
Bacillus cereus str. Schrouff (718221.3)	448	450	449	545_4	3016	6196_8	4769	 	 
Bacillus cereus subsp. cytotoxis NVH 391-98 (315749.4)	3216	3214	3215	3123	1549	 	4006	 	 
Bacillus mycoides DSM 2048 (526997.3)	4780	4782	4781	4612	2229	3695_8	5667	 	 
Bacillus mycoides Rock1-4 (526998.3)	2542	2544	2543	2396	384	 	3426	 	 
Bacillus mycoides Rock3-17 (526999.3)	5218	5216	5217	5128	2978	 	494	 	 
Bacillus thuringiensis HD-771 (1218175.3)	5411	5413	5412	5510_4	1987	4011_8	4279	 	 
Bacillus thuringiensis HD-789 (1217737.3)	4175	4173	4174	4078_4	1491	5422_8	5141	 	 
Bacillus thuringiensis IBL 200 (527019.3)	5725	5727	5726	5577	3056	3532_8	6639	 	 
Bacillus thuringiensis IBL 4222 (527020.3)	1756	1758	1757	1611	6001	5842_8	2702	 	 
Bacillus thuringiensis MC28 (1195464.3)	3788	3786	3787	3691_4	1220	4980_8	4726	 	 
Bacillus thuringiensis serovar andalousiensis BGSC 4AW1 (527032.3)	5687	5689	5688	5663	2991	3878_8	1005	 	 
Bacillus thuringiensis serovar berliner ATCC 10792 (527031.3)	6156	6154	6155	6059	3618	4055_8	743	 	 
Bacillus thuringiensis serovar chinensis CT-43 (541229.3)	4578	4576	4577	4482	2005	184_8	5625, 5626	 	 
Bacillus thuringiensis serovar finitimus YBT-020 (930170.3)	4345	4343	4344	4246	2051	193_8	5394	 	 
Bacillus thuringiensis serovar huazhongensis BGSC 4BD1 (527030.3)	5959	5961	5960	5766	3327	3734_8	534	 	 
Bacillus thuringiensis serovar konkukian str. 97-27 (281309.8)	4442	4440	4441	4341	1923	190_8	5423	 	 
Bacillus thuringiensis BMB171 (714359.3)	4378	4376	4377	4282	1896	191_8	5356	 	 
Bacillus thuringiensis serovar kurstaki str. HD73 (1279365.3)	4739	4737	4738	4639_4	2163	 	5835	 	 
Bacillus thuringiensis serovar kurstaki str. T03a001 (527023.3)	856	858	857	709	4131	3651_8	1822	 	 
Bacillus thuringiensis serovar monterrey BGSC 4AJ1 (527022.3)	604	606	605	475	4431	4953_8	1617	 	 
Bacillus thuringiensis serovar pakistani str. T13001 (527027.3)	1773	1775	1774	1621	5351	4923_8	2782	 	 
Bacillus thuringiensis serovar pondicheriensis BGSC 4BA1 (527029.3)	5290	5288	5289	5179	2660	4161_8	6234	 	 
Bacillus thuringiensis serovar pulsiensis BGSC 4CC1 (527028.3)	5827	5829	5828	5628	3123	3586_8	535	 	 
Bacillus thuringiensis serovar thuringiensis str. IS5056 (1286404.3)	4548	4546	4547	4452_4	2001	189_8	5586	 	 
Bacillus thuringiensis serovar thuringiensis str. T01001 (527025.3)	6179	6177	6178	6105	3598	4196_8	713	 	 
Bacillus thuringiensis str. Al Hakam (412694.7)	4452	4450	4451	4350_4	1996	276_8	5458	 	 
Bacillus clausii KSM-K16 (66692.6)	1644	1646	1645	1744	2295	 	 	 	2952
Bacillus endophyticus 2102 (1196029.3)	860	862	861	924_4	2405	 	4514	 	 
Bacillus fordii DSM 16014 (1121090.3)	240	970	241	3819_4	1370	 	 	 	1985
Bacillus halodurans C-125 (272558.8)	1263	1265	1264	1376	2386	 	 	 	3388
Bacillus megaterium DSM319 (592022.4)	4636	4634	4635	2113, 4564	1150, 2114	 	4984	 	 
Bacillus megaterium NCT-2 (1138452.3)	4190	4188	4189	1908_4, 4119_4	1064, 1909	 	4543	 	 
Bacillus megaterium WSH-002 (1006007.3)	620	622	621	3118_4, 691	3117, 4078	 	266	 	 
Bacillus nealsonii AAU1 (1202533.3)	4651	4652	 	2392_4, 62_4	3305	 	2040	 	 
Bacillus pseudofirmus OF4 (398511.4)	2044	2046	2045	2582	3734	 	 	 	762
Bacillus pumilus ATCC 7061 (536229.4)	3131	3129	3130	3683	3336	 	 	 	3799
Bacillus pumilus S-1 (1076692.3)	1417	1415	1416	633_4	2697	 	 	 	2328
Bacillus amyloliquefaciens DSM7 (692420.6)	2791	2789	2790	2646	308	 	290, 4196	 	 
Bacillus amyloliquefaciens FZB42 (326423.5)	2525	2523	2524	2419	302	 	287, 3847	 	 
Bacillus atrophaeus 1013-1 (723888.3)	3111	3113	3112	1827	399	 	2329, 415	 	 
Bacillus atrophaeus 1013-2 (723889.3)	2896	2898	2897	93	2295	 	1408, 2279	 	 
Bacillus atrophaeus 1942 (720555.4)	2364	2362	2363	2239	4139	 	3773, 4124	 	 
Bacillus atrophaeus ATCC 49822-1 (743710.3)	321	319	320	1594	2883	 	1357, 2899	 	 
Bacillus atrophaeus ATCC 49822-2 (743711.3)	2382	2384	2383	843	1735	 	1751, 3174	 	 
Bacillus atrophaeus ATCC 9372-1 (903520.3)	962	960	961	3466	2720	 	240, 2704	 	 
Bacillus atrophaeus ATCC 9372-2 (723892.3)	1114	1112	1113	1927	1406	 	1390, 3115	 	 
Bacillus atrophaeus BACI051-E (882455.3)	3316	3314	3315	2680	2821	 	2060, 2837	 	 
Bacillus atrophaeus BACI051-N (876283.3)	4102	4104	4103	3304	1027	 	1011, 176	 	 
Bacillus atrophaeus C89 (334727.3)	332	334	333	456	3106	 	1236, 3090	 	 
Bacillus atrophaeus Detrick-1 (720556.3)	3256	3258	3257	2599	374	 	390, 3910	 	 
Bacillus atrophaeus Detrick-2 (720557.3)	3969	3971	3970	884	3406	 	3390, 4069	 	 
