Organism	GndP	Gnd	Pgl	Rpe	Rpi	Tal	Tkt	Zwf
Bifidobacterium angulatum DSM 20098 = JCM 7096 (518635.7)	947_18	 	937_31	864_38	1336_39	775_41	776_42	935_46
Bifidobacterium animalis subsp. animalis ATCC 25527 (703613.4)	1045_18	 	1044_31	802_38	449_39	851_41	850_42	1042_46
Bifidobacterium animalis subsp. lactis B420 (1168290.3)	1031_18	 	1030_31	789_38	 	833_41	832_42	 
Bifidobacterium animalis subsp. lactis BS 01 (911598.3)	1086_18	 	1085_31	842_38	 	886_41	885_42	 
Bifidobacterium animalis subsp. lactis Bi-07 (742729.3)	1031_18	 	1030_31	788_38	 	832_41	831_42	 
Bifidobacterium bifidum BGN4 (484020.3)	1464_18	 	1465_31	911_38	1483_39	941_41	940_42	1467_46
Bifidobacterium bifidum LMG 13195 (1207542.3)	1516_18	 	1517_31	1388_38	1536_39	1418_41	1417_42	1519_46
Bifidobacterium breve CECT 7263 (1036735.3)	154_18	 	155_31	1523_38, 684_38	 	723_41	722_42	157_46
Bifidobacterium breve DPC 6330 (1074482.3)	951_18	 	952_31	1737_38	 	1776_41	1775_42	954_46
Bifidobacterium breve DSM 20213 = JCM 1192 (518634.7)	258_18	 	259_31	1071_38	 	1031_41	1032_42	261_46
Bifidobacterium breve HPH0326 (1203540.3)	288_18	 	289_31	1720_38, 873_38	 	1814_41	1813_42	291_46
Bifidobacterium catenulatum DSM 16992 = JCM 1194 (566552.6)	1491_18, 966_18	 	957_31	621_38	1115_39	660_41	659_42	955_46
Bifidobacterium longum subsp. infantis ATCC 15697 = JCM 1222 (391904.8)	214_18, 677_18	 	215_31	1421_38	 	1118_41	1119_42	 
Bifidobacterium longum subsp. longum 1-6B (1161744.3)	1785_18	 	1786_31	1151_38	508_39	1448_41	1447_42	1788_46
Bifidobacterium longum subsp. longum 2-2B (1161745.3)	923_18	 	924_31	1469_38	531_39	2227_41	2226_42	926_46
Bifidobacterium longum subsp. longum 35B (1161904.3)	257_18	 	258_31	743_38	187_39	347_41	346_42	260_46
Bifidobacterium longum subsp. longum 44B (1161743.3)	677_18	 	678_31	750_38	1584_39	1923_41	1922_42	680_46
Bifidobacterium longum subsp. longum CMCC P0001 (1266716.3)	244_18	 	243_31	971_38	1132_39	933_41	934_42	241_46
Bifidobacterium pseudocatenulatum DSM 20438 = JCM 1200 (547043.8)	426_18, 995_18	 	1000_31	1282_38	252_39	1240_41	1241_42	998_46
Bifidobacterium thermophilum RBL67 (1254439.12)	177_18	 	178_31	1017_38	1403_39	1063_41	1062_42	181_46
Atopobium minutum 10063974 (997872.3)	1447_18	 	 	870_38	34_40	1450_41	1448_43, 1449_44, 1476_43, 1477_44, 1486_44, 1487_43	 
Collinsella tanakaei YIT 12063 (742742.3)	 	 	 	233_38	1722_40	1667_41	1448_44, 1449_43	 
Slackia piriformis YIT 12062 (742818.3)	 	 	 	733_38	1381_40	1338_41	1143_43, 1144_44	 
Bacteroides fragilis ATCC 25285 (272559.3)	1721_18	 	1723_31	3290_38	 	2586_41	1554_42	 
Bacteroides caccae ATCC 43185 (411901.7)	992_18	 	990_31	1519_38	 	2660_41	2164_42	 
Bacteroides caccae CL03T12C61 (997873.3)	1439_18	 	1441_31	100_38	 	2786_41	1360_42	1440_46
Bacteroides capillosus ATCC 29799 (411467.6)	 	 	 	132_38	2171_40	 	3593_43, 3594_44	 
Bacteroides cellulosilyticus CL02T12C19 (997874.3)	3576_18	 	3579_31	4959_38	3418_40, 4296_39	3064_41	3419_42	3577_46
Bacteroides cellulosilyticus DSM 14838 (537012.5)	3717_18	 	3720_31	724_38	4131_39, 4966_40	4683_41	4965_42	3718_46
Bacteroides clarus YIT 12056 (762984.3)	119_18	 	121_31	2454_38	368_40, 765_39	2133_41	369_42	120_46
Bacteroides coprocola DSM 17136 (470145.6)	 	 	 	1077_38	3098_40	 	3097_42	 
Bacteroides coprophilus DSM 18228 (547042.5)	 	 	 	2839_38	2676_40	 	2677_42	 
Bacteroides dorei CL02T00C15 (997875.3)	61_18	 	59_31	1451_38	673_40	3929_41	2348_44, 2349_43, 3804_44, 3805_43, 672_42	60_46
Bacteroides dorei CL02T12C06 (997876.3)	384_18	 	382_31	2342_38	997_40	3521_41	3397_44, 3398_43, 4530_44, 4531_43, 996_42	383_46
Bacteroides dorei CL03T12C01 (997877.3)	734_18	 	732_31	1807_38	1317_40	102_41	1316_42, 3551_44, 3552_43	733_46
Bacteroides dorei DSM 17855 (483217.6)	2963_18	 	2965_31	512_38	3459_40	2380_41, 2381_41	2502_43, 2503_44, 3460_42, 71_44, 72_43	2964_46
Bacteroides eggerthii 1_2_48FAA (665953.3)	604_18	 	606_31	1973_38	 	 	3261_42	605_46
Bacteroides eggerthii DSM 20697 (483216.6)	1989_18	 	1991_31	125_38	 	 	1154_42	1990_46
Bacteroides faecis MAJ27 (1077285.3)	2882_18	 	2885_31	1409_38	2746_40, 4442_39	4134_41	2747_42	2884_46
Bacteroides finegoldii DSM 17565 (483215.6)	2314_18	 	2316_31	693_38	2209_40	 	2210_42	2315_46
Bacteroides fluxus YIT 12057 (763034.3)	2813_18	 	2815_31	173_38	660_40	823_41	659_42	2814_46
Bacteroides fragilis 3_1_12 (457424.5)	512_18	 	514_31	3658_38	316_40, 3888_39	3289_41	317_42	513_46
Bacteroides fragilis 638R (862962.3)	1909_18	 	1911_31	3885_38	1668_40	3195_41	1669_42	 
Bacteroides fragilis CL03T00C08 (997878.3)	1883_18	 	1885_31	3989_38	1698_40	3103_41	1699_42, 3694_43, 3695_44	1884_46
Bacteroides fragilis CL03T12C07 (997879.3)	3025_18	 	3027_31	2823_38	3881_40	1932_41	2527_43, 2528_44, 3880_42	3026_46
Bacteroides fragilis CL05T00C42 (997880.3)	315_18	 	313_31	3022_38	3550_39, 520_40	2652_41	519_42	 
Bacteroides fragilis CL05T12C13 (997881.3)	1967_18	 	1969_31	3959_38	1641_40, 3051_39	2515_41	1642_42	 
Bacteroides fragilis CL07T00C01 (997882.3)	1117_18	 	1115_31	4019_38	1309_40	4457_41	1308_42	1116_46
Bacteroides fragilis CL07T12C05 (997883.3)	1925_18	 	1927_31	3619_38	1731_40	4056_41	1732_42	1926_46
Bacteroides fragilis HMW 610 (1073386.3)	2319_18	 	2317_31	2149_38	1915_39, 2505_40	1475_41	2504_42	2318_46
Bacteroides fragilis HMW 615 (1073387.4)	3865_18	 	3867_31	4243_38	3669_40, 4008_39	2103_41	3670_42	3866_46
Bacteroides fragilis HMW 616 (1073388.3)	1261_18	 	1263_31	3328_38	3052_39, 891_40	2527_41	892_42	1262_46
Bacteroides fragilis NCTC 9343 (272559.17)	1894_18	 	1896_31	3753_38	 	3116_41	1619_42	 
Bacteroides fragilis YCH46 (295405.11)	1802_18	 	1804_31	3746_38	1601_40	3112_41	1602_42	 
Bacteroides intestinalis DSM 17393 (471870.8)	2483_18	 	2481_31	149_38	 	2938_41	2521_43, 2522_44, 2637_42	2482_46
Bacteroides massiliensis B84634 = Timone 84634 = DSM 17679 = JCM 13223 (1121098.4)	1504_18	 	1506_31	638_38	3597_40	1400_41	3598_42	1505_46
Bacteroides massiliensis dnLKV3 (1235788.3)	1678_18	 	1680_31	2723_38	2531_40	3343_41	2530_42, 4163_44, 4164_43	1679_46
Bacteroides nordii CL02T12C05 (997884.3)	2108_18	 	2110_31	3734_38	1972_40, 3887_39	3297_41	1973_42	2109_46
Bacteroides oleiciplenus YIT 12058 (742727.4)	998_18	 	996_31	3033_38	3347_40, 3697_40, 393_39	4003_41	1528_43, 1529_44, 3696_42, 472_43, 473_44	997_46
Bacteroides ovatus 3_8_47FAA (665954.3)	3949_18	 	3947_31	3166_38	4331_39, 4849_40	2139_41	4848_42	3948_46
Bacteroides ovatus ATCC 8483 (411476.11)	1834_18	 	1832_31	1455_38	1572_40, 1917_39	3730_41	1573_42	1833_46
Bacteroides ovatus CL02T12C04 (997885.3)	1191_18	 	1189_31	6326_38	1501_40, 3907_39	3540_41	1500_42	1190_46
Bacteroides ovatus CL03T12C18 (997886.3)	4751_18	 	4753_31	1506_38	3598_39, 4549_40	4145_41	4550_42	4752_46
Bacteroides ovatus SD CC 2a (702444.3)	4009_18	 	1694_31	550_38	1760_39, 3794_40	163_41	3795_42	1693_46
Bacteroides pectinophilus ATCC 43243 (483218.5)	 	 	2018_32	1148_38, 2020_38	 	800_41	2747_42	 
Bacteroides plebeius DSM 17135 (484018.6)	 	 	 	2765_38	2118_40	 	2119_42	 
Bacteroides salyersiae CL02T12C01 (997887.3)	2830_18	 	2832_31	4315_38	2570_40, 4574_39	3678_41	2571_42	2831_46
Bacteroides salyersiae WAL 10018 = DSM 18765 = JCM 12988 (1121101.3)	3762_18	 	3760_31	3975_38	232_40, 3814_39	2662_41	231_42	3761_46
Bacteroides sp. 1_1_14 (469585.3)	4527_18	 	4530_31	1721_38	964_40	4497_41	965_42	4529_46
Bacteroides sp. 1_1_30 (457387.3)	3747_18	 	3490_31	1936_38	1260_39, 3588_40	5170_41	3589_42	3491_46
Bacteroides sp. 1_1_6 (469586.3)	186_18	 	189_31	2479_38	 	4111_41	5006_43, 5007_44, 845_42	188_46
Bacteroides sp. 20_3 (469591.4)	3144_18	 	3142_32	1596_38	1628_40, 3993_39	4235_41	1629_42	3143_46
Bacteroides sp. 2_1_22 (469588.3)	2841_18	 	2843_31	3168_38	1652_39, 2696_40	4563_41	2697_42	2842_46
Bacteroides sp. 2_1_33B (469589.3)	827_18	 	825_32	3587_38	2695_39, 3618_40	1585_41	3619_42	826_46
Bacteroides sp. 2_1_7 (457388.5)	1739_18	 	1737_32	3124_38	2187_39, 2188_39, 3097_40	534_41	3096_42	1738_46
Bacteroides sp. 2_2_4 (469590.5)	2572_18	 	2570_31	4076_38	3235_39, 881_40	162_41	880_42	2571_46
Bacteroides sp. 3_1_19 (469592.4)	1454_18	 	1456_32	1254_38	1281_40, 2172_39	856_41	1282_42	1455_46
Bacteroides sp. 3_1_23 (457390.3)	2272_18	 	2274_31	4084_38	3504_39, 889_40	1610_41	888_42	2273_46
Bacteroides sp. 3_1_33FAA (457391.3)	206_18	 	204_31	1141_38	803_40	2750_41	3038_44, 3039_43, 802_42	205_46
Bacteroides sp. 3_1_40A (469593.3)	4079_18	 	4081_31	3830_38	 	1118_41	2376_42, 2869_44, 2870_43	 
Bacteroides sp. 3_2_5 (457392.3)	3714_18	 	3716_31	3218_38	60_40	1964_41	59_42	 
Bacteroides sp. 4_1_36 (457393.3)	1288_18	 	1290_31	2088_38	1244_39, 1581_40	1782_41	1580_42	1289_46
Bacteroides sp. 4_3_47FAA (457394.3)	3120_18	 	3122_31	1451_38	 	1273_41	1944_42, 2922_43, 2923_44	3121_46
Bacteroides sp. 9_1_42FAA (457395.6)	1393_18, 2164_18	 	2162_31	517_38	2379_40	2642_41	2378_42, 2982_44, 2983_43	2163_46
Bacteroides sp. D1 (556258.5)	1603_18	 	1017_31	3019_38	1457_40, 3262_39	4438_41	1458_42	1016_46
Bacteroides sp. D2 (556259.3)	324_18	 	322_31	1535_38	3756_39, 514_40	3252_41	513_42	323_46
Bacteroides sp. D20 (585543.3)	1056_18	 	1058_31	2344_38	3439_39, 969_40	117_41	1535_44, 1536_43, 2923_44, 2924_43, 970_42	1057_46
Bacteroides sp. D22 (585544.3)	1354_18	 	1356_31	690_38	178_39, 4642_40	3472_41	2191_43, 2192_44, 4643_42	1355_46
Bacteroides stercoris ATCC 43183 (449673.7)	1793_18	 	1795_31	3229_38	1608_40	1473_41	1609_42	1794_46
Bacteroides stercoris CC31F (1073351.3)	2607_18	 	2605_31	1337_38	899_40	1090_41	898_42	2606_46
Bacteroides thetaiotaomicron CL09T03C10 (997888.3)	228_18	 	226_31	3987_38	439_40	 	438_42	227_46
Bacteroides thetaiotaomicron VPI-5482 (226186.12)	1248_18	 	1245_31	4011_38	345_40	1699_41	346_42	1246_46
Bacteroides thetaiotaomicron dnLKV9 (1235785.3)	1462_18	 	1459_31	4070_38	 	202_41	1645_42, 985_44, 986_43	 
Bacteroides uniformis ATCC 8492 (411479.10)	2240_18	 	2242_31	3181_38	1538_40, 2692_39	1425_41	1537_42, 3273_43, 3274_44	2241_46
Bacteroides uniformis CL03T00C23 (997889.3)	3237_18	 	3239_31	840_38	3015_40, 3809_39	2811_41	153_43, 154_44, 1841_44, 1842_43, 3016_42	3238_46
Bacteroides uniformis CL03T12C37 (997890.3)	2013_18	 	2011_31	134_38	1404_39, 2238_40	2443_41	2237_42, 2823_43, 2824_44, 832_44, 833_43	2012_46
Bacteroides uniformis dnLKV2 (1235787.3)	2511_18	 	2513_31	1826_38	2393_40, 2851_39	2090_41	2394_42, 855_44, 856_43	2512_46
Bacteroides vulgatus ATCC 8482 (435590.9)	2885_18	 	2887_31	53_38	 	3428_41	2393_42, 371_44	 
Bacteroides vulgatus EK4.2 (702445.3)	255_18, 857_18	 	705_32	880_38	1846_39	 	2434_42	 
Bacteroides vulgatus PC510 (702446.3)	2177_18	 	2179_31	1921_38	 	1498_41	1621_44, 3424_42	2178_46
Bacteroides vulgatus dnLKV7 (1235786.3)	854_18	 	856_31	1783_38	 	2835_41	299_42, 3218_43, 3219_44	 
Bacteroides xylanisolvens CL03T12C04 (997892.3)	1360_18	 	1362_31	140_38	1214_40, 3446_39	4431_41	1215_42	1361_46
Bacteroides xylanisolvens SD CC 1b (702447.3)	3742_18	 	1819_31	419_38	2574_40, 3888_39	1428_41	2575_42	1818_46
Bacteroides xylanisolvens XB1A (657309.4)	4469_18	 	4467_31	1891_38	331_40, 45_39	3638_41	332_42	4468_46
Barnesiella intestinihominis YIT 11860 (742726.3)	580_18	 	582_31	359_38	2386_40	 	671_42	581_46
Butyricimonas synergistica DSM 23225 (1121129.3)	3797_18	 	91_31	634_38	3401_40	2449_41	639_42	3798_46
Dysgonomonas gadei ATCC BAA-286 (742766.3)	1237_18	 	 	30_38	1390_40, 1555_39, 2886_40	3378_41	1391_42, 2885_42	1238_46
Odoribacter laneus YIT 12061 (742817.3)	1463_18	 	1465_31	1194_38	2402_40, 3139_39	1959_41	818_42	1464_46
Odoribacter splanchnicus DSM 20712 (709991.3)	2279_18	 	1901_31	243_38	 	1920_41	881_42	 
Parabacteroides distasonis ATCC 8503 (435591.13)	632_18	 	634_32	1332_38, 1687_38	1659_40, 2103_39	2958_41	1658_42	633_46
Parabacteroides distasonis CL03T12C09 (999416.3)	1985_18	 	1983_32	2284_38	2254_40, 296_39	3455_41	2253_42	1984_46
Parabacteroides distasonis CL09T03C24 (999417.3)	659_18	 	657_32	2597_38	1460_39, 2630_40	1111_41	2631_42	658_46
Parabacteroides goldsteinii CL02T12C30 (999418.3)	3531_18	 	3533_32	4847_38	2177_39, 4688_40	3037_41	4687_42	3532_46
Parabacteroides goldsteinii dnLKV18 (1235789.3)	499_18	 	501_32	35_38	193_40, 5258_39	5019_41	194_42	500_46
Parabacteroides johnsonii CL02T12C29 (999419.3)	3396_18	 	2528_32, 3394_32	3608_38	3583_40, 567_39	 	3582_42	3395_46
Parabacteroides johnsonii DSM 18315 (537006.5)	1048_18	 	3863_32	955_38, 956_38	3469_39, 985_40	 	986_42	 
Parabacteroides merdae ATCC 43184 (411477.4)	2354_18	 	2356_32	2290_38	2336_40	1807_41	2337_42	2355_46
Parabacteroides merdae CL03T12C32 (999420.3)	354_18	 	356_32	1317_38	334_40	 	335_42	355_46
Parabacteroides sp. D13 (563193.3)	1403_18	 	1405_32	1191_38, 3815_38	1221_40, 3044_39	781_41	1222_42	1404_46
Porphyromonas asaccharolytica DSM 20707 (879243.3)	 	 	470_31	1610_38	1203_40	487_41	243_42	 
Porphyromonas asaccharolytica PR426713P-I (910312.3)	 	 	385_31	610_38	1287_40	368_41	262_42	 
Porphyromonas endodontalis ATCC 35406 (553175.3)	 	 	1559_31	170_38	1328_40	1762_41	212_42	 
Porphyromonas gingivalis ATCC 33277 (431947.7)	 	 	 	514_38	 	330_41	1664_42	 
Porphyromonas gingivalis TDC60 (1030843.3)	 	 	 	681_38	 	486_41	1340_42	 
Porphyromonas gingivalis W83 (242619.8)	 	 	 	1478_38	 	214_41	1616_42	 
Porphyromonas somerae DSM 23386 (1122975.3)	 	 	 	1463_38	1745_40	 	1744_42	 
Porphyromonas uenonis 60-3 (596327.3)	 	 	1152_31	314_38	645_40	99_41	1125_42	 
Tannerella forsythia ATCC 43037 (203275.8)	394_18	 	409_31	381_38	 	452_41	368_42	 
Paraprevotella clara YIT 11840 (762968.3)	2307_18	 	2305_31	2056_38	2574_40	 	2573_42	2306_46
Paraprevotella xylaniphila YIT 11841 (762982.3)	2827_18	 	 	809_38	95_40	 	94_42	2828_46
Prevotella bivia DSM 20514 (868129.3)	 	 	 	1997_38	1887_40	 	1886_42	 
Prevotella bryantii B14 (752555.5)	 	 	 	2488_38	2169_40	 	1159_43, 1160_44, 2170_42	 
Prevotella buccae ATCC 33574 (873513.3)	 	 	 	1924_38	2182_40	 	2184_42	 
Prevotella buccae D17 (575611.3)	 	 	 	1983_38	2283_40	 	2285_42	 
Prevotella conceptionensis 9403948 (1197728.3)	 	 	 	902_38	2721_40	 	2720_42	 
Prevotella denticola CRIS 18C-A (944557.3)	 	 	 	1301_38	327_40	 	328_42	 
Prevotella denticola F0289 (767031.3)	 	 	 	1192_38	1904_40	 	1903_42	 
Prevotella disiens FB035-09AN (866771.4)	 	 	 	1895_38	1819_40	 	1820_42	 
Prevotella intermedia 17 (246198.10)	 	 	 	2146_38	1797_40	 	1798_42	 
Prevotella melaninogenica ATCC 25845 (553174.6)	 	 	 	908_38	1448_40	 	1449_42	 
Prevotella melaninogenica D18 (575612.3)	 	 	 	2075_38	1590_40	 	1591_42	 
Prevotella nanceiensis DSM 19126 (1122988.3)	 	 	 	219_38	1910_40	 	1911_42	 
Prevotella nigrescens ATCC 33563 (997352.4)	 	 	 	266_38	732_40	 	733_42	 
Prevotella nigrescens F0103 (702439.3)	 	 	 	1810_38	2187_40	 	2186_42	 
Prevotella oralis ATCC 33269 (873533.3)	 	 	 	2447_38	 	 	2383_42	 
Prevotella oralis HGA0225 (1203550.3)	 	 	 	320_38	 	 	255_42	 
Prevotella pallens ATCC 700821 (997353.4)	 	 	 	1214_38	1429_40	 	1430_42	 
Prevotella ruminicola 23 (264731.4)	 	 	 	219_38	 	 	378_42	 
Prevotella salivae DSM 15606 (888832.3)	 	 	 	2555_38	664_40	 	665_42	 
Prevotella stercorea DSM 18206 (1002367.3)	 	 	 	848_38	2204_40	 	2203_42	 
Prevotella timonensis CRIS 5C-B1 (679189.3)	 	 	238_31	861_38	77_40	 	78_42	 
Prevotella veroralis DSM 19559 (1122993.3)	 	 	 	2380_38	1537_40	 	1536_42	 
Prevotella veroralis F0319 (649761.3)	 	 	 	1484_38	2197_40	 	2198_42	 
Alistipes finegoldii DSM 17242 (679935.3)	 	 	 	2465_38	2429_40	1777_41, 671_41	2349_42, 388_42	 
Alistipes indistinctus YIT 12060 (742725.3)	1848_18	 	1846_31	1353_38	412_40	1942_41	526_42	1847_46
Alistipes onderdonkii DSM 19147 (1120974.3)	 	 	 	2634_38	2604_40	1280_41, 59_41	3064_42	 
Alistipes putredinis DSM 17216 (445970.5)	 	 	 	71_38	 	1272_41	1085_42	 
Alistipes shahii WAL 8301 (717959.3)	 	 	 	452_38	 	 	1049_42	 
Rudanella lutea DSM 19387 (1089547.3)	1502_18	 	252_31, 3980_32	602_38	1530_40, 250_40	642_41	404_44, 408_43, 655_44, 656_43	251_46
Capnocytophaga ochracea DSM 7271 (521097.5)	 	 	 	322_38	 	490_41	1555_44, 1997_43	 
Capnocytophaga ochracea F0287 (873517.3)	 	 	 	996_38	1370_40	1162_41	356_43, 737_44	 
Capnocytophaga sputigena ATCC 33612 (553177.6)	 	 	 	1739_38	1257_40	2640_41	2429_44, 434_43	 
Capnocytophaga granulosa ATCC 51502 (641143.3)	 	 	 	645_38	276_40	188_41	658_44, 712_43	 
Capnocytophaga ochracea str. Holt 25 (1125719.3)	 	 	 	1553_38	574_40	1804_41	2137_44, 642_43	 
Dyadobacter fermentans DSM 18053 (471854.5)	5320_18	 	5322_31	5249_38	 	5183_41	2190_43, 2191_44, 3025_43, 3026_44, 5242_43, 5244_44	 
Spirosoma linguale DSM 74 (504472.7)	4068_18, 6599_18	 	2697_31	2538_38	 	3030_41, 353_41	2594_42, 977_43, 978_44	 
Akkermansia muciniphila ATCC BAA-835 (349741.6)	 	 	 	1877_38	 	 	598_42	 
Escherichia coli TY-2482.contig.20110606 (6666666.5522)	5090_18	 	460_32	3824_38	194_40	4144_41, 764_41	1540_42, 763_42	3694_46
Bacillus cereus BDRD-ST26 (526975.3)	2621_18, 3142_18, 4187_18	 	4192_32	4645_38	345_40, 3693_39	1377_41, 4188_41	4186_42, 4827_42	4185_46
Bacillus cereus BGSC 6E1 (526970.3)	3769_18, 4695_18	 	4699_32	5179_38	 	1838_41, 4696_41	4694_42, 4994_42	4693_46
Bacillus cereus F65185 (526989.3)	4455_18, 5656_18	 	5660_32	6069_38	1566_40, 4990_39	2041_41, 5657_41	5655_42, 5947_42	5654_46
Bacillus cereus Rock1-15 (526982.3)	3329_18, 4486_18	 	4482_32	5033_38	3923_39, 569_40	1427_41, 4485_41	4487_42, 4804_42	 
Bacillus cereus 03BB102 (572264.4)	161_18, 3363_18	 	3359_32	3855_38	 	3362_41, 608_41	3364_42, 3677_42	3365_46
Bacillus cereus 172560W (526967.3)	2502_18, 3489_18	 	3493_32	4101_38	2902_39, 5585_40	3490_41, 923_41	3488_42, 3936_42	3586_46
Bacillus cereus 95/8201 (526979.3)	2793_18, 3761_18	 	3765_32	4129_38	 	3762_41, 553_41	3760_42, 3971_42	 
Bacillus cereus AH1134 (405533.4)	1525_18, 4346_18	 	1529_32	3547_38	2921_40, 4562_39	1526_41, 326_41	1208_42, 1524_42	1523_46
Bacillus cereus AH1271 (526992.3)	5687_18, 924_18	 	927_32	1382_38	2898_40, 290_39	3959_41, 925_41	3532_42	923_46
Bacillus cereus AH1272 (526993.3)	1257_18, 94_18	 	1260_32	1682_38	3183_40, 660_39	1258_41, 4443_41	1444_42	1256_46
Bacillus cereus AH187 (405534.9)	2559_18, 3593_18, 482_18	 	3589_32	4096_38	3027_39, 5651_40	1012_41, 3592_41	3594_42, 3925_42	3595_46
Bacillus cereus AH603 (526990.3)	4200_18	 	5654_32	5722_38	1498_40, 4742_39	2506_41	5479_42	 
Bacillus cereus AH621 (526972.3)	3072_18, 4152_18	 	4149_32, 4613_32	4493_38	289_40, 3384_39	1418_41, 4151_41	4430_42	4153_46
Bacillus cereus AH676 (526991.3)	5511_18, 898_18	 	902_32, 903_32	1434_38	210_39, 2979_40	3224_41, 899_41	1201_42, 897_42	 
Bacillus cereus AH820 (405535.8)	174_18, 3378_18	 	3374_32	3863_38	 	3377_41, 683_41	3379_42, 3685_42	 
Bacillus cereus AND1407 (1053166.3)	1304_18, 3916_18, 5344_18	 	3920_32	3448_38	1760_39, 4241_40	3917_41, 5128_41	3609_42, 3915_42	3914_46
Bacillus cereus ATCC 10876 (526980.3)	3162_18, 4309_18	 	4305_32	4750_38	3715_39, 446_40	1335_41, 4308_41	4310_42, 4607_42	4311_46
Bacillus cereus ATCC 10987 (222523.6)	2204_18, 3253_18	 	3249_32	3729_38	2695_39, 5212_40	3252_41, 702_41	3254_42, 3552_42	3255_46
Bacillus cereus ATCC 4342 (526977.3)	1852_18, 2431_18, 3133_18	 	3138_32	3447_38	2386_39	210_41, 3134_41	3132_42, 3283_42	3131_46
Bacillus cereus B4264 (405532.5)	2127_18, 3249_18	 	3245_32	3816_38	2670_39, 5263_40	3248_41, 615_41	3250_42, 3648_42	3251_46
Bacillus cereus B5-2 (1085389.3)	2646_18, 3848_18	 	3845_32	4355_38	3170_39, 5813_40	3847_41, 598_41	4126_42	3849_46
Bacillus cereus BAG1O-1 (1053167.3)	2161_18, 4079_18	 	4076_32, 4466_32	4590_38	2730_39, 6058_40	4078_41, 595_41	4365_42	4080_46
Bacillus cereus BAG1O-2 (1053168.3)	2233_18, 3342_18	 	2238_32	1676_38	242_40, 2812_39	2234_41, 4821_41	1942_42, 2232_42	2231_46
Bacillus cereus BAG1O-3 (1053169.3)	1571_18, 2717_18	 	1575_32	1047_38	2096_39, 4379_40	1572_41, 5498_41	1242_42, 1570_42	1569_46
Bacillus cereus BAG1X1-1 (1053170.3)	2258_18, 3368_18	 	2262_32	1721_38	250_40, 2801_39	2259_41, 5697_41	1901_42, 2257_42	2256_46
Bacillus cereus BAG1X1-2 (1053171.3)	1434_18, 2659_18, 5267_18	 	2655_32	3154_38	2109_39, 4616_40, 5701_39	2658_41, 5631_41	2660_42, 2984_42	2661_46
Bacillus cereus BAG1X1-3 (1053172.3)	2277_18, 3372_18	 	1883_32, 2280_32	1710_38	237_40, 2868_39	2278_41, 4891_41	1989_42	2276_46
Bacillus cereus BAG1X2-1 (1053173.3)	2098_18, 3207_18	 	3203_32	3740_38	2667_39, 5214_40	3206_41, 533_41	3208_42, 3563_42	3209_46
Bacillus cereus BAG1X2-2 (1053174.3)	2246_18, 3353_18	 	2250_32	1710_38	183_40, 2783_39	2247_41, 4923_41	1888_42, 2245_42	2244_46
Bacillus cereus BAG1X2-3 (1053175.3)	2790_18, 3896_18	 	3892_32	4429_38	3354_39, 5895_40	3895_41, 606_41	3897_42, 4251_42	3898_46
Bacillus cereus BAG2O-1 (1053176.3)	2102_18, 3209_18	 	3205_32	3739_38	2671_39, 5199_40	3208_41, 537_41	3210_42, 3561_42	3211_46
Bacillus cereus BAG2O-2 (1053177.3)	2098_18, 3206_18, 5971_18	 	3201_32	3708_38	2629_39, 5173_40	3205_41, 526_41	3207_42, 3494_42	3208_46
Bacillus cereus BAG2O-3 (1053178.3)	2246_18, 3447_18	 	2249_32	1742_38	245_40, 2922_39	2247_41, 4992_41	1971_42	2245_46
Bacillus cereus BAG2X1-1 (1053179.3)	388_18	 	 	1537_38	179_40, 2413_39	4167_41	1692_42	390_46
Bacillus cereus BAG2X1-2 (1053180.3)	2267_18, 3564_18	 	2270_32	1722_38	246_40, 2957_39	2268_41, 5183_41	1988_42	2266_46
Bacillus cereus BAG2X1-3 (1053181.3)	244_18	 	 	1410_38	2267_39, 44_40	4053_41	1570_42	246_46
Bacillus cereus BAG3O-1 (1085388.3)	2214_18, 3401_18	 	3398_32	3924_38	2717_39, 5832_40	3400_41, 587_41	3687_42	3402_46
Bacillus cereus BAG3O-2 (1053182.3)	2238_18, 3445_18	 	2242_32	1669_38	243_40, 2803_39	2239_41, 4927_41	1845_42, 2237_42	2236_46
Bacillus cereus BAG3X2-1 (1053183.3)	2205_18, 3243_18, 5297_18	 	1844_32, 1845_32, 2208_32	1720_38	245_40, 2707_39	2206_41, 4769_41, 5392_41	1925_42	2204_46
Bacillus cereus BAG3X2-2 (1053184.3)	2050_18, 3186_18	 	3182_32	3756_38	2656_39, 5194_40	3185_41, 522_41	3187_42, 3513_42	3188_46
Bacillus cereus BAG4O-1 (1053185.3)	1998_18, 3202_18	 	3198_32	3766_38	2640_39, 5193_40	3201_41, 510_41	3203_42, 3591_42	3204_46
Bacillus cereus BAG4X12-1 (1053186.3)	1937_18, 3064_18	 	3060_32	3553_38	2513_39, 4981_40	3063_41, 461_41	3065_42, 3379_42	3066_46
