Organism	GlyA	GlyB	Tdh	Kbl	GlyTrns
Bacteroides sp. D22 (585544.3)	1620	1191	2214	2215_4, 2859_4, 2908_5, 4552_5	 
Bacteroides stercoris ATCC 43183 (449673.7)	1113	1328	868	1248_5, 869_4	 
Bacteroides stercoris CC31F (1073351.3)	3146	2937	2265	2266_4, 2973_5	 
Bacteroides thetaiotaomicron CL09T03C10 (997888.3)	2535	896	970	2387_5, 971_4	 
Bacteroides thetaiotaomicron VPI-5482 (226186.12)	753	1863	1405	1406_4, 882_5	 
Bacteroides thetaiotaomicron dnLKV9 (1235785.3)	953	44	534	1118_5, 533_4	 
Bacteroides uniformis ATCC 8492 (411479.10)	2708	1335	3806	2128_5, 3808_4	 
Bacteroides uniformis CL03T00C23 (997889.3)	3794	2663	189	191_4, 3959_5, 4255_4	 
Bacteroides uniformis CL03T12C37 (997890.3)	1419	2588	794	1257_5, 4185_4, 792_4	 
Bacteroides uniformis dnLKV2 (1235787.3)	2835	2000	3877	2932_5, 3876_4	 
Bacteroides vulgatus ATCC 8482 (435590.9)	3436	1762	1015, 1021	1014_4, 1020_4, 3263_5	 
Bacteroides vulgatus EK4.2 (702445.3)	601	 	 	 	1783_7
Bacteroides vulgatus PC510 (702446.3)	1464	1906	2651	1591_5, 2652_4	 
Bacteroides vulgatus dnLKV7 (1235786.3)	2827	2422	2725	2726_4, 2997_5, 3593_4	 
Bacteroides xylanisolvens CL03T12C04 (997892.3)	1863	4305	4008	1740_5, 4009_4	 
Bacteroides xylanisolvens SD CC 1b (702447.3)	3851	265	4785	1998_5, 4784_4	 
Bacteroides xylanisolvens XB1A (657309.4)	2508	239	3328	3329_4, 4069_5	 
Barnesiella intestinihominis YIT 11860 (742726.3)	2278	 	2854	1242_5, 2853_4	 
Butyricimonas synergistica DSM 23225 (1121129.3)	355	62	2396	1582_4, 2711_4	 
Dysgonomonas gadei ATCC BAA-286 (742766.3)	1406	1893	2994	2995_4, 3845_5	 
Odoribacter laneus YIT 12061 (742817.3)	187	1604	2291	2005_4, 2673_4, 589_4	 
Odoribacter splanchnicus DSM 20712 (709991.3)	1677	280	3086	3364_4, 3614_4	 
Parabacteroides distasonis ATCC 8503 (435591.13)	1251	1489	1216	1217_4, 1860_5, 2913_4	 
Parabacteroides distasonis CL03T12C09 (999416.3)	1400	1083	1434	1433_4, 3491_4, 543_5	 
Parabacteroides distasonis CL09T03C24 (999417.3)	4185	3935	34	1806_5, 33_4	 
Parabacteroides goldsteinii CL02T12C30 (999418.3)	3529	4346	3485	3484_4, 5117_5	 
Parabacteroides goldsteinii dnLKV18 (1235789.3)	497	4738	452	2237_5, 451_4	 
Parabacteroides johnsonii CL02T12C29 (999419.3)	2912	1050	1343	1136_5, 1341_4	 
Parabacteroides johnsonii DSM 18315 (537006.5)	1923	2400	 	12_4, 2317_5	 
Parabacteroides merdae ATCC 43184 (411477.4)	1921	3293	2300	2299_4, 3213_5	 
Parabacteroides merdae CL03T12C32 (999420.3)	720	3781	305	304_4, 3465_4, 3693_5	 
Parabacteroides sp. D13 (563193.3)	1982	2752	1961	1962_4, 3300_5, 747_4	 
Porphyromonas asaccharolytica DSM 20707 (879243.3)	1649	 	1150	1646_4	 
Porphyromonas asaccharolytica PR426713P-I (910312.3)	756	 	629	1317_5, 759_4	 
Porphyromonas endodontalis ATCC 35406 (553175.3)	743	 	1503	1401_4, 546_5, 83_5	 
Porphyromonas gingivalis ATCC 33277 (431947.7)	34	1477	1359	1471_4, 1696_5	 
Porphyromonas gingivalis TDC60 (1030843.3)	34	1550	1158	1309_5, 1556_4	 
Porphyromonas gingivalis W83 (242619.8)	38	433	1147	1647_5, 439_4	 
Porphyromonas somerae DSM 23386 (1122975.3)	446	 	808	1346_4, 871_4	 
Porphyromonas uenonis 60-3 (596327.3)	751	 	1707, 32, 892, 894	327_4	 
Tannerella forsythia ATCC 43037 (203275.8)	1744	 	2508	2573_4	 
Paraprevotella clara YIT 11840 (762968.3)	3201	 	 	3246_5	 
Paraprevotella xylaniphila YIT 11841 (762982.3)	2568	 	 	2524_5	 
Prevotella bivia DSM 20514 (868129.3)	1781	 	866	593_5, 934_4	 
Prevotella bryantii B14 (752555.5)	1476	279	 	1962_5	 
Prevotella buccae ATCC 33574 (873513.3)	480	 	 	1679_5	 
Prevotella buccae D17 (575611.3)	2054	1784	 	1622_5	 
Prevotella conceptionensis 9403948 (1197728.3)	1061	 	2084, 2085	2086_4, 2796_5	 
Prevotella denticola CRIS 18C-A (944557.3)	2169	 	81	2720_5, 80_4, 861_4	 
Prevotella denticola F0289 (767031.3)	1543	 	862	1421_5, 861_4	 
Prevotella disiens FB035-09AN (866771.4)	1159	 	860	1881_5, 859_4	 
Prevotella intermedia 17 (246198.10)	85	 	1197	1196_4	 
Prevotella melaninogenica ATCC 25845 (553174.6)	611	 	1210	1209_4, 2045_4, 590_5	 
Prevotella melaninogenica D18 (575612.3)	1783	 	2169	1765_5, 2168_4	 
Prevotella nanceiensis DSM 19126 (1122988.3)	612	 	 	 	 
Prevotella nigrescens ATCC 33563 (997352.4)	2161	 	1579	1580_4, 541_5	 
Prevotella nigrescens F0103 (702439.3)	1460	 	934	2151_4, 407_5, 933_4	 
Prevotella oralis ATCC 33269 (873533.3)	4	 	956	2243_5, 955_4	 
Prevotella oralis HGA0225 (1203550.3)	2316	 	1868	113_5, 1869_4	 
Prevotella pallens ATCC 700821 (997353.4)	2421	 	123	1237_5, 124_4	 
Prevotella ruminicola 23 (264731.4)	608	2147	 	445_5	 
Prevotella salivae DSM 15606 (888832.3)	571	 	 	2494_5	 
Prevotella stercorea DSM 18206 (1002367.3)	2237	 	1019	1020_4	 
Prevotella timonensis CRIS 5C-B1 (679189.3)	125	 	1671	1670_4, 885_5	 
Prevotella veroralis DSM 19559 (1122993.3)	1847	 	746	2392_5, 747_4	 
Prevotella veroralis F0319 (649761.3)	186	 	2419	1495_5, 2418_4	 
Alistipes finegoldii DSM 17242 (679935.3)	2992	 	1114	1160_4, 1418_4	 
Alistipes indistinctus YIT 12060 (742725.3)	1987	977	1496	221_4, 2304_4	 
Alistipes onderdonkii DSM 19147 (1120974.3)	1967	 	1595	1656_4, 2118_4	 
Alistipes putredinis DSM 17216 (445970.5)	413	 	1853	536_4, 768_4	 
Alistipes shahii WAL 8301 (717959.3)	2036	 	664	2720_4, 3235_4	 
Rudanella lutea DSM 19387 (1089547.3)	2985	 	3536	2516_4, 3537_4	 
Capnocytophaga ochracea DSM 7271 (521097.5)	1595	96	 	1811_4	 
Capnocytophaga ochracea F0287 (873517.3)	1259	644	 	134_4	 
Capnocytophaga sputigena ATCC 33612 (553177.6)	2578	742	 	2488_4	 
Capnocytophaga granulosa ATCC 51502 (641143.3)	581	2022	 	1896_4	 
Capnocytophaga ochracea str. Holt 25 (1125719.3)	1916	1171	 	1096_4	 
Dyadobacter fermentans DSM 18053 (471854.5)	3930	 	 	2626_5, 3363_4, 4532_4	 
Spirosoma linguale DSM 74 (504472.7)	4958	 	 	3535_4	 
Akkermansia muciniphila ATCC BAA-835 (349741.6)	1852	1318	269	93_4	 
Escherichia coli TY-2482.contig.20110606 (6666666.5522)	671	1448	2710	2711_4, 406_5	2219_7
Bacillus cereus BDRD-ST26 (526975.3)	347	 	1325	1324_4	 
Bacillus cereus BGSC 6E1 (526970.3)	778	 	1725	1726_4	 
Bacillus cereus F65185 (526989.3)	1564	 	1998	1997_4	2067_7
Bacillus cereus Rock1-15 (526982.3)	571	 	1379	1378_4	 
Bacillus cereus 03BB102 (572264.4)	5331	 	554	553_4	 
Bacillus cereus 172560W (526967.3)	5583	 	878	877_4	960_7
Bacillus cereus 95/8201 (526979.3)	5693	 	480	479_4	 
Bacillus cereus AH1134 (405533.4)	2918, 2919	 	283	282_4	351_7
Bacillus cereus AH1271 (526992.3)	2900	 	3903	3902_4	 
Bacillus cereus AH1272 (526993.3)	3181	 	4163	4164_4	 
Bacillus cereus AH187 (405534.9)	5649	 	962	961_4	1034_7
Bacillus cereus AH603 (526990.3)	1500	2291	2465	2464_4	 
Bacillus cereus AH621 (526972.3)	287	4242	1350	1351_4	 
Bacillus cereus AH676 (526991.3)	2977	 	3177	3176_4	3342_7
Bacillus cereus AH820 (405535.8)	5386	 	631	630_4	 
Bacillus cereus AND1407 (1053166.3)	4243	 	5179	5180_4	5106_7
Bacillus cereus ATCC 10876 (526980.3)	444	 	1203	1202_4	1310_7
Bacillus cereus ATCC 10987 (222523.6)	5210	 	652	651_4	724_7
Bacillus cereus ATCC 4342 (526977.3)	5167	 	161	160_4	231_7
Bacillus cereus B4264 (405532.5)	5261	 	571	570_4	640_7
Bacillus cereus B5-2 (1085389.3)	5811, 854	 	542	541_4	622_7
Bacillus cereus BAG1O-1 (1053167.3)	6056	 	541	540_4	616_7
Bacillus cereus BAG1O-2 (1053168.3)	244	 	4869	4870_4	4794_7
Bacillus cereus BAG1O-3 (1053169.3)	4377	 	5449	5448_4	5524_7
Bacillus cereus BAG1X1-1 (1053170.3)	252	 	5750	5751_4	5669_7
Bacillus cereus BAG1X1-2 (1053171.3)	4614	 	5582	5581_4	5657_7
Bacillus cereus BAG1X1-3 (1053172.3)	239	 	4944	4945_4	4870_7
Bacillus cereus BAG1X2-1 (1053173.3)	5212	 	480	479_4	561_7
Bacillus cereus BAG1X2-2 (1053174.3)	185	 	4976	4977_4	4895_7
Bacillus cereus BAG1X2-3 (1053175.3)	5893	 	553	552_4	634_7
Bacillus cereus BAG2O-1 (1053176.3)	5197	 	484	483_4	565_7
Bacillus cereus BAG2O-2 (1053177.3)	5171	 	478	477_4	552_7
Bacillus cereus BAG2O-3 (1053178.3)	247, 5885	 	5048	5049_4	4968_7
Bacillus cereus BAG2X1-1 (1053179.3)	181	 	4203	1851_4, 4204_4	4145_7
Bacillus cereus BAG2X1-2 (1053180.3)	248	 	5236	5237_4	5160_7
Bacillus cereus BAG2X1-3 (1053181.3)	46	 	4087	1729_4, 4088_4	4028_7
Bacillus cereus BAG3O-1 (1085388.3)	5830	 	532	531_4	611_7
Bacillus cereus BAG3O-2 (1053182.3)	245	 	4971	4972_4	4902_7
Bacillus cereus BAG3X2-1 (1053183.3)	247	 	4820	4821_4	4741_7
Bacillus cereus BAG3X2-2 (1053184.3)	5192	 	477	476_4	547_7
Bacillus cereus BAG4O-1 (1053185.3)	5191	 	466	465_4	535_7
Bacillus cereus BAG4X12-1 (1053186.3)	4979	 	416	415_4	486_7
Bacillus cereus BAG4X2-1 (1053187.3)	318	 	5154	5153_4	5229_7
Bacillus cereus BAG5O-1 (1053188.3)	4554	 	5276	5275_4	5350_7
Bacillus cereus BAG5X1-1 (1053189.3)	180	 	4677	4678_4	4605_7
Bacillus cereus BAG5X12-1 (1053190.3)	4923	 	4206	4207_4	4136_7
Bacillus cereus BAG5X2-1 (1053191.3)	5097	 	4574	4575_4	4495_7
Bacillus cereus BAG6O-1 (1053192.3)	246	 	4819	4820_4	4745_7
Bacillus cereus BAG6O-2 (1053193.3)	2841	 	4973	4972_4, 5122_4	5040_7
Bacillus cereus BAG6X1-1 (1053194.3)	4991	 	82	81_4	158_7
Bacillus cereus BAG6X1-2 (1053195.3)	4568	 	473	472_4	546_7
Bacillus cereus BDRD-Cer4 (526978.3)	5221	 	412	413_4	 
Bacillus cereus BDRD-ST196 (526976.3)	2039	 	2834	2835_4	 
Bacillus cereus BDRD-ST24 (526974.3)	414	 	881	880_4	 
Bacillus cereus BMG1.7 (1053196.3)	3669	 	5535	5536_4	6303_7
Bacillus cereus BtB2-4 (1053197.3)	5196	 	476	475_4	546_7
Bacillus cereus CER057 (1053198.3)	5198	 	471	470_4	541_7
Bacillus cereus CER074 (1053199.3)	249	 	4983	4984_4	4912_7
Bacillus cereus E33L (288681.15)	5304	 	563	562_4	 
Bacillus cereus FRI-35 (1217984.3)	1775	 	1017	1018_4	947_7
Bacillus cereus G9842 (405531.7)	5318	 	549	548_4	 
Bacillus cereus H-hrb01 (1225787.3)	3492	 	1815	1814_4	3330_7, 57_7
Bacillus cereus HD73 (1053200.3)	4435	 	4685	4686_4	3329_7
Bacillus cereus HuA2-1 (1053201.3)	4831	 	86	85_4	152_7
Bacillus cereus HuA2-3 (1053202.3)	391	 	1096	1095_4	1171_7
Bacillus cereus HuA2-4 (1053203.3)	5167	 	478	477_4	557_7
Bacillus cereus HuA2-9 (1053204.3)	5105	 	4384	4385_4	4313_7
Bacillus cereus HuA3-9 (1053205.3)	4206	 	5503	5502_4	5567_7
Bacillus cereus HuA4-10 (1053206.3)	240	 	5664	5665_4	5586_7
Bacillus cereus HuB1-1 (1053207.3)	417	 	5024	5025_4	4949_7
Bacillus cereus HuB13-1 (1053208.3)	6444	 	701	700_4	798_7
Bacillus cereus HuB2-9 (1053209.3)	246	 	4842	4843_4	4767_7
Bacillus cereus HuB4-10 (1053210.3)	4502	 	4844	4845_4	4770_7
Bacillus cereus HuB4-4 (1053211.3)	5995	 	569	568_4	638_7
Bacillus cereus HuB5-5 (1053212.3)	5087	 	473	472_4	548_7
Bacillus cereus IS075 (718220.3)	3966	 	5117	5118_4	5045_7
Bacillus cereus IS195 (1053213.3)	1395	 	2094	2093_4	2166_7
Bacillus cereus IS845/00 (1053214.3)	1395	 	2142	2141_4	2214_7
Bacillus cereus ISP2954 (1053215.3)	6495	 	698	697_4	791_7
Bacillus cereus ISP3191 (1053216.3)	4948	 	4229	4230_4	 
Bacillus cereus K-5975c (1053217.3)	249	 	4997	4998_4	4928_7
Bacillus cereus LCT-BC244 (1163722.3)	4270	 	5085	5084_4	5163_7
Bacillus cereus MC118 (1053218.3)	2036	 	951	952_4	882_7
Bacillus cereus MC67 (1053219.3)	2418	 	1709	1710_4	1640_7
Bacillus cereus MM3 (526971.3)	299	 	1105	1106_4	 
Bacillus cereus MSX-A1 (1053220.3)	5245	 	4504	4505_4	4378_7
Bacillus cereus MSX-A12 (1053221.3)	5174	 	3611	3612_4	3539_7
Bacillus cereus MSX-D12 (1053222.3)	263	 	4822	4823_4	4743_7
Bacillus cereus NC7401 (334406.4)	5183	 	571	570_4	643_7
Bacillus cereus Q1 (361100.6)	5207	 	614	613_4	690_7
Bacillus cereus R309803 (526968.3)	5549	 	469	468_4	 
Bacillus cereus Rock1-3 (526981.3)	5677	 	816	817_4	 
Bacillus cereus Rock3-29 (526984.3)	5688	 	929	928_4	 
Bacillus cereus Rock3-42 (526985.3)	1888	 	2369	2368_4	 
Bacillus cereus Rock4-18 (526988.3)	5712	 	787	788_4	 
Bacillus cereus SJ1 (699184.4)	1080	 	749	750_4	677_7
Bacillus cereus TIAC219 (718222.3)	4090	 	5660	5659_4	5736_7
Bacillus cereus VD014 (1053223.3)	5078	 	464	463_4	532_7
Bacillus cereus VD021 (1053224.3)	4037	 	2862	2863_4	2780_7
Bacillus cereus VD022 (718223.3)	4892	 	5683	5684_4	5607_7
Bacillus cereus VD045 (1053225.3)	4633	 	5896	5895_4	 
Bacillus cereus VD048 (1053226.3)	4455	1429	5724	5723_4	5791_7
Bacillus cereus VD078 (1053227.3)	228	 	4836	4837_4	4763_7
Bacillus cereus VD102 (1053228.3)	5034	 	4231	4232_4	4154_7
Bacillus cereus VD107 (1053229.3)	4259	 	4791	4790_4	4859_7
Bacillus cereus VD115 (1053230.3)	4368	 	6123	6124_4	6050_7
Bacillus cereus VD118 (1053231.3)	5646	 	454	453_4	525_7
Bacillus cereus VD131 (1053232.3)	6020	 	533	532_4	607_7
Bacillus cereus VD133 (1053233.3)	3558	 	6216	6215_4	6291_7
Bacillus cereus VD136 (1053234.3)	433	 	1133	1132_4	1188_7
Bacillus cereus VD140 (1053235.3)	5612	 	549	548_4	619_7
Bacillus cereus VD142 (718224.3)	4487	 	5391	5392_4	5314_7
Bacillus cereus VD146 (1053236.3)	5887	 	517	516_4	587_7
Bacillus cereus VD148 (1053237.3)	243	 	4942	4943_4	4868_7
Bacillus cereus VD154 (1053238.3)	5557	 	3434	3435_4	3055_7
Bacillus cereus VD156 (1053239.3)	255	 	5082	5081_4	 
Bacillus cereus VD166 (1053240.3)	4502	 	5807	5806_4	 
Bacillus cereus VD169 (1053241.3)	5028, 5414, 5459	 	475	474_4	 
Bacillus cereus VD184 (1053242.3)	6114	 	848	847_4	975_7
Bacillus cereus VD196 (1053243.3)	4388	 	3517	3516_4	3582_7
Bacillus cereus VD200 (1053244.3)	5308	 	496	495_4	 
Bacillus cereus VD214 (1053245.3)	5595	 	540	539_4	615_7
Bacillus cereus VDM006 (1085379.3)	347	 	1125	1124_4	1178_7
Bacillus cereus VDM019 (1053246.3)	5028	 	471	470_4	549_7
Bacillus cereus VDM021 (1085386.3)	432	 	1173	1172_4	1227_7
Bacillus cereus VDM022 (1053247.3)	230	 	5121	5120_4	5193_7
Bacillus cereus VDM034 (1053248.3)	4665	 	116	115_4	192_7
Bacillus cereus VDM053 (1053249.3)	6064	 	842	841_4	917_7
Bacillus cereus VDM062 (1053250.3)	457	 	5175	5176_4	5099_7
Bacillus cereus biovar anthracis str. CI (637380.6)	5709	 	882	881_4	 
Bacillus cereus m1293 (526973.3)	1191	 	1862	1861_4	1943_7
Bacillus cereus m1550 (526969.3)	5077	 	248	247_4	 
Bacillus cereus str. Schrouff (718221.3)	4667	 	5680	5681_4	5611_7
Bacillus cereus subsp. cytotoxis NVH 391-98 (315749.4)	3911	 	548	547_4	 
Bacillus mycoides DSM 2048 (526997.3)	5544	 	748	749_4	 
Bacillus mycoides Rock1-4 (526998.3)	3295	 	4365	4366_4	4634_7
Bacillus mycoides Rock3-17 (526999.3)	391	1769	1145	1146_4	1347_7
Bacillus thuringiensis HD-771 (1218175.3)	4384	 	3626	3627_4	3553_7
Bacillus thuringiensis HD-789 (1217737.3)	5019	 	166	165_4	239_7
Bacillus thuringiensis IBL 200 (527019.3)	6550	 	796	797_4	 
Bacillus thuringiensis IBL 4222 (527020.3)	2563	 	3536	3535_4	 
Bacillus thuringiensis MC28 (1195464.3)	4625	 	5452	5451_4	5527_7
Bacillus thuringiensis serovar andalousiensis BGSC 4AW1 (527032.3)	887	695	1573	1572_4	 
Bacillus thuringiensis serovar berliner ATCC 10792 (527031.3)	636	 	2006	1819_4, 2007_4	 
Bacillus thuringiensis serovar chinensis CT-43 (541229.3)	5522	 	551	550_4	 
Bacillus thuringiensis serovar finitimus YBT-020 (930170.3)	5289	5097	658	657_4	729_7
Bacillus thuringiensis serovar huazhongensis BGSC 4BD1 (527030.3)	648	 	1221	1220_4	1288_7
Bacillus thuringiensis serovar konkukian str. 97-27 (281309.8)	5316	 	562	561_4	 
Bacillus thuringiensis BMB171 (714359.3)	5252	 	571	570_4	 
Bacillus thuringiensis serovar kurstaki str. HD73 (1279365.3)	5726	 	699	698_4	828_7
Bacillus thuringiensis serovar kurstaki str. T03a001 (527023.3)	1678	 	2362	2361_4	2457_7
Bacillus thuringiensis serovar monterrey BGSC 4AJ1 (527022.3)	1510	 	2307	2306_4	 
Bacillus thuringiensis serovar pakistani str. T13001 (527027.3)	2678	 	3013	3014_4	3690_7
Bacillus thuringiensis serovar pondicheriensis BGSC 4BA1 (527029.3)	6199	 	901	902_4	 
Bacillus thuringiensis serovar pulsiensis BGSC 4CC1 (527028.3)	431	 	1119	1118_4	 
Bacillus thuringiensis serovar thuringiensis str. IS5056 (1286404.3)	5480	 	559	556_4, 558_4	689_7
Bacillus thuringiensis serovar thuringiensis str. T01001 (527025.3)	552	 	2076	2075_4	 
Bacillus thuringiensis str. Al Hakam (412694.7)	5351	 	669	668_4	 
Bacillus clausii KSM-K16 (66692.6)	4112	 	 	 	 
Bacillus endophyticus 2102 (1196029.3)	4328	 	3731	3730_4	1428_7, 3138_7, 3182_7, 3529_7, 4223_7
Bacillus fordii DSM 16014 (1121090.3)	2056, 949	2579	1791	1792_4	2858_7
Bacillus halodurans C-125 (272558.8)	3918	3419	 	 	 
Bacillus megaterium DSM319 (592022.4)	5124	 	1467	1466_4	 
Bacillus megaterium NCT-2 (1138452.3)	4688	 	1384	1383_4	1521_7, 338_7, 3479_7
Bacillus megaterium WSH-002 (1006007.3)	122	 	3746	3747_4	1337_7, 4929_7
Bacillus nealsonii AAU1 (1202533.3)	4429, 4430	2162, 4100	 	 	455_7, 456_7, 65_7, 66_7
Bacillus pseudofirmus OF4 (398511.4)	1338	1875	 	 	 
Bacillus pumilus ATCC 7061 (536229.4)	2163	 	201	200_4	1566_7, 2471_7
Bacillus pumilus S-1 (1076692.3)	782	 	3739	3740_4	1337_7, 2185_7
Bacillus amyloliquefaciens DSM7 (692420.6)	2672, 3795	 	1898	1899_4	3509_7, 4093_7
Bacillus amyloliquefaciens FZB42 (326423.5)	3458	 	1693	1694_4	3180_7, 3181_7, 3761_7
Bacillus atrophaeus 1013-1 (723888.3)	2759	 	1338	1339_4	2411_7, 3536_7
Bacillus atrophaeus 1013-2 (723889.3)	1259	 	2804	2805_4	1491_7, 3334_7
Bacillus atrophaeus 1942 (720555.4)	3336	 	1290	1291_4	3046_7, 3689_7
Bacillus atrophaeus ATCC 49822-1 (743710.3)	844	 	2771	2772_4	1272_7, 552_7
Bacillus atrophaeus ATCC 49822-2 (743711.3)	2232	 	182	181_4	1617_7, 3088_7
Bacillus atrophaeus ATCC 9372-1 (903520.3)	464	 	1128	1127_4	158_7, 2375_7
Bacillus atrophaeus ATCC 9372-2 (723892.3)	192	 	361	360_4	3031_7, 917_7
Bacillus atrophaeus BACI051-E (882455.3)	3057	 	1335	1334_4	2143_7, 364_7
Bacillus atrophaeus BACI051-N (876283.3)	1372	 	412	413_4	2416_7, 479_7
Bacillus atrophaeus C89 (334727.3)	1669	 	4027	4026_4	1317_7, 1960_7
Bacillus atrophaeus Detrick-1 (720556.3)	682	 	1733	1734_4	3585_7, 3828_7
Bacillus atrophaeus Detrick-2 (720557.3)	1542	 	3281	3282_4	4152_7, 422_7
Bacillus atrophaeus Detrick-3 (720558.3)	2203	 	3086	3085_4	1236_7, 1840_7
Bacillus atrophaeus str. Dugway (882453.3)	2666	 	3268	3269_4	4079_7, 510_7
Bacillus sonorensis L12 (1274524.3)	3741	 	2282	2281_4	3078_7, 3440_7
Bacillus subtilis subsp. natto BEST195 (645657.3)	566	 	2745	2746_4, 4263_4	1492_7, 3598_7
Bacillus subtilis subsp. spizizenii ATCC 6633 (703612.3)	1876	 	1461	1462_4	3485_7, 3762_7, 934_7
Bacillus subtilis subsp. spizizenii DV1-B-1 (1051503.3)	3728	 	1849	1850_4	2690_7, 3420_7, 603_7
Bacillus subtilis subsp. spizizenii str. W23 (655816.3)	3717	 	1780	1781_4	2665_7, 3407_7, 580_7
Bacillus subtilis subsp. subtilis str. 168 (224308.113)	3799	 	1754, 642	1755_4	2797_7, 576_7
Bacillus subtilis subsp. subtilis str. JH642 (535025.4)	793	 	2900	2901_4	1677_7, 3945_7
Bacillus subtilis subsp. subtilis str. NCIB 3610 (535026.3)	3938	 	1836	1837_4	2886_7, 608_7
Bacillus subtilis subsp. subtilis str. SMY (535024.3)	2910	 	813	814_4	1858_7, 3808_7
Bacillus vallismortis DV1-F-3 (1051502.3)	1380	 	724	725_4	1064_7, 156_7, 3870_7
Lysinibacillus fusiformis ZB2 (1231627.3)	2837	1563	2471	2499_4	119_7, 1605_7, 3770_7
Lysinibacillus fusiformis ZC1 (714961.3)	3546	2071	626	653_4	1149_7, 2032_7, 3303_7
Lysinibacillus sphaericus OT4b.31 (1285586.5)	1037	 	934	922_4	2903_7, 3304_7, 3788_7
Gemella haemolysans M341 (562981.3)	473	142	 	 	 
Gemella moribillum M424 (562982.3)	423	 	 	 	 
Gemella sanguinis M325 (562983.3)	 	 	 	 	 
Listeria grayi DSM 20601 (525367.9)	2182	 	 	 	1315_7
Listeria monocytogenes serotype 1/2b str. SLCC2755 (1639.165)	2621	378	 	 	848_7
Listeria monocytogenes serotype 7 str. SLCC2482 (1639.166)	2603	369	 	 	887_7
Listeria monocytogenes 07PF0776 (1126011.4)	2515	334	 	 	817_7
Listeria monocytogenes 08-5578 (653938.3)	2758	356	 	 	874_7
Listeria monocytogenes 08-5923 (637381.3)	2709	355	 	 	829_7
Listeria monocytogenes 10403S (393133.8)	1355	2186	 	 	535_7
Listeria monocytogenes ATCC 19117 (882095.3)	2554	334	 	 	812_7
Listeria monocytogenes Aureli 1997 (401650.3)	2595	2217	 	 	349_7
Listeria monocytogenes Clip80459 (634178.4)	2535	320	 	 	801_7
Listeria monocytogenes EGD-e (169963.11)	2600	314	 	 	 
Listeria monocytogenes F6900 (393128.7)	2379	2436	 	 	332_7
Listeria monocytogenes FSL J1-194 (393117.11)	1856	2162	 	 	452_7
Listeria monocytogenes FSL N1-017 (393123.7)	971	815	 	 	2078_7
Listeria monocytogenes FSL N3-165 (393124.10)	1312	1984	 	 	2090_7
Listeria monocytogenes FSL R2-503 (393125.10)	2357	1810	 	 	2207_7
Listeria monocytogenes FSL R2-561 (393126.4)	2391	1548	 	 	 
Listeria monocytogenes Finland 1988 (393127.4)	1900	744	 	 	1625_7, 1626_7
Listeria monocytogenes HCC23 (552536.6)	55	2311	 	 	1834_7
Listeria monocytogenes HPB2262 (401650.12)	1439	1757	 	 	384_7
Listeria monocytogenes J0161 (393130.8)	2182	2368	 	 	1833_7
Listeria monocytogenes J2818 (393131.7)	2322	2428	 	 	330_7
Listeria monocytogenes L312 (882094.3)	2505	319	 	 	796_7
Listeria monocytogenes L99 (563174.3)	2617	341	 	 	819_7
Listeria monocytogenes M7 (1030009.3)	2572	329	 	 	801_7
Listeria monocytogenes SLCC2376 (882097.3)	2431	287	 	 	756_7
Listeria monocytogenes SLCC2378 (879088.3)	2549	333	 	 	806_7
Listeria monocytogenes SLCC2479 (882020.3)	2616	311	 	 	 
Listeria monocytogenes SLCC2540 (879089.3)	2577	320	 	 	786_7
Listeria monocytogenes SLCC5850 (882096.3)	2564	318	 	 	795_7
Listeria monocytogenes SLCC7179 (879090.3)	2460	302	 	 	770_7
Listeria monocytogenes serotype 1/2a str. NCCP No. 15743 (1293288.3)	2462	298	 	 	774_7
Listeria monocytogenes serotype 1/2c str. SLCC2372 (932920.3)	2676	365	 	 	 
Listeria monocytogenes serotype 4b str. LL195 (1230340.3)	2498	328	 	 	797_7
Listeria monocytogenes str. 4b F2365 (265669.9)	2530	332	 	 	806_7
Listeria monocytogenes str. Scott A (1027396.3)	2673	397	 	 	865_7
Brevibacillus agri BAB-2500 (1246477.3)	695	3346, 4953	5283	5284_4	1712_7
Brevibacillus borstelensis AK1 (1300222.3)	1046, 2467, 3134	120, 1833	1140	1141_4	 
Brevibacillus brevis FJAT-0809-GLX (1129895.3)	1721, 2139	3612, 4606, 5503	2001	2000_4	2678_7
Brevibacillus brevis NBRC 100599 (358681.3)	2733, 5404	320, 3281, 5131	2584	2583_4	1466_7
Paenibacillus alvei DSM 29 (1206781.3)	1616	 	448	447_4	 
Paenibacillus barengoltzii G22 (1235795.3)	3762	3397	 	 	2003_7, 2653_7
Paenibacillus daejeonensis DSM 15491 (1122917.3)	1767	 	 	 	 
Paenibacillus lactis 154 (743719.3)	1624	1122	464	463_4	 
Ureibacillus thermosphaericus str. Thermo-BF (1160707.3)	487	 	568	586_4	143_7
Staphylococcus arlettae CVD059 (1212545.3)	1571, 1572	 	743	665_4	1498_7, 25_7, 735_7
Staphylococcus aureus 04-02981 (703339.3)	2093	1295	534	531_4	1687_7, 2428_7
Staphylococcus aureus 08BA02176 (1229492.3)	1976	1282	589	586_4	1650_7, 2302_7
Staphylococcus aureus 16K (908247.3)	747	1603	1983	1986_4	1700_7, 2099_7
Staphylococcus aureus 3957 (1278071.4)	342	1945	1194	1191_4	416_7, 928_7
Staphylococcus aureus 930918-3 (452948.4)	1809	363	1589	1592_4	1374_7, 2839_7, 512_7
