Organism	UbiC	UbiA	UbiXDZ	UbiI	UbiG	UbiH	UbiE	MenG	UbiF
Bacteroides ovatus ATCC 8483 (411476.11)	 	 	 	 	2455_11, 2455_11	 	4304_13	4304_13	 
Bacteroides ovatus CL02T12C04 (997885.3)	 	 	 	 	4941_11, 4941_11	 	2845_13	2845_13	 
Bacteroides ovatus CL03T12C18 (997886.3)	 	 	 	 	655_11, 655_11	 	1813_13	1813_13	 
Bacteroides ovatus SD CC 2a (702444.3)	 	 	 	 	1283_11, 1283_11	 	3295_13	3295_13	 
Bacteroides pectinophilus ATCC 43243 (483218.5)	 	 	 	 	 	 	 	 	 
Bacteroides plebeius DSM 17135 (484018.6)	 	 	 	 	994_11, 994_11	 	2373_13	2373_13	 
Bacteroides salyersiae CL02T12C01 (997887.3)	 	 	 	 	1689_11, 1689_11	 	520_13	520_13	 
Bacteroides salyersiae WAL 10018 = DSM 18765 = JCM 12988 (1121101.3)	 	 	 	 	1878_11, 1878_11	 	915_13	915_13	 
Bacteroides sp. 1_1_14 (469585.3)	 	 	 	 	 	 	56_13	56_13	 
Bacteroides sp. 1_1_30 (457387.3)	 	 	 	 	1578_11, 1578_11	 	4860_13	4860_13	 
Bacteroides sp. 1_1_6 (469586.3)	 	 	 	 	 	 	2190_13	2190_13	 
Bacteroides sp. 20_3 (469591.4)	 	 	 	 	 	 	1932_13	1932_13	 
Bacteroides sp. 2_1_22 (469588.3)	 	 	 	 	433_11, 433_11	 	3512_13	3512_13	 
Bacteroides sp. 2_1_33B (469589.3)	 	 	 	 	 	 	2537_13	2537_13	 
Bacteroides sp. 2_1_7 (457388.5)	 	 	 	 	 	 	2061_13	2061_13	 
Bacteroides sp. 2_2_4 (469590.5)	 	 	 	 	1423_11, 1423_11	 	1896_13	1896_13	 
Bacteroides sp. 3_1_19 (469592.4)	 	 	 	 	 	 	2316_13	2316_13	 
Bacteroides sp. 3_1_23 (457390.3)	 	 	 	 	2092_11, 2092_11	 	4380_13	4380_13	 
Bacteroides sp. 3_1_33FAA (457391.3)	 	 	 	 	1901_11, 1901_11	 	528_13	528_13	 
Bacteroides sp. 3_1_40A (469593.3)	 	 	 	 	861_11, 861_11	 	3122_13	3122_13	 
Bacteroides sp. 3_2_5 (457392.3)	 	 	 	 	1066_11, 1066_11	 	273_13	273_13	 
Bacteroides sp. 4_1_36 (457393.3)	 	 	 	 	 	 	3299_13	3299_13	 
Bacteroides sp. 4_3_47FAA (457394.3)	 	 	 	 	578_11, 578_11	 	2526_13	2526_13	 
Bacteroides sp. 9_1_42FAA (457395.6)	 	 	 	 	3505_11, 3505_11	 	1730_13	1730_13	 
Bacteroides sp. D1 (556258.5)	 	 	 	 	269_11, 269_11	 	1732_13	1732_13	 
Bacteroides sp. D2 (556259.3)	 	 	 	 	 	 	1273_13	1273_13	 
Bacteroides sp. D20 (585543.3)	 	 	 	 	 	 	342_13	342_13	 
Bacteroides sp. D22 (585544.3)	 	 	 	 	 	 	2684_13	2684_13	 
Bacteroides stercoris ATCC 43183 (449673.7)	 	 	 	 	2043_11, 2043_11	 	3185_13, 624_13	3185_13, 624_13	 
Bacteroides stercoris CC31F (1073351.3)	 	 	 	 	348_11, 348_11	 	1294_13	1294_13	 
Bacteroides thetaiotaomicron CL09T03C10 (997888.3)	 	 	 	 	2033_11, 2033_11	 	1460_13	1460_13	 
Bacteroides thetaiotaomicron VPI-5482 (226186.12)	 	 	 	 	 	 	4284_13	4284_13	 
Bacteroides thetaiotaomicron dnLKV9 (1235785.3)	 	 	 	 	3606_11, 3606_11	 	2577_13	2577_13	 
Bacteroides uniformis ATCC 8492 (411479.10)	 	 	 	 	793_11, 793_11	 	74_13	74_13	 
Bacteroides uniformis CL03T00C23 (997889.3)	 	 	 	 	1407_11, 1407_11	 	2410_13	2410_13	 
Bacteroides uniformis CL03T12C37 (997890.3)	 	 	 	 	3257_11, 3257_11	 	4047_13	4047_13	 
Bacteroides uniformis dnLKV2 (1235787.3)	 	 	 	 	467_11, 467_11	 	1038_13	1038_13	 
Bacteroides vulgatus ATCC 8482 (435590.9)	 	 	 	 	1216_11, 1216_11	 	2623_13	2623_13	 
Bacteroides vulgatus EK4.2 (702445.3)	 	 	 	 	 	 	 	 	 
Bacteroides vulgatus PC510 (702446.3)	 	 	 	 	2453_11, 2453_11	 	3891_13	3891_13	 
Bacteroides vulgatus dnLKV7 (1235786.3)	 	 	 	 	4037_11, 4037_11	 	511_13	511_13	 
Bacteroides xylanisolvens CL03T12C04 (997892.3)	 	 	 	 	2710_11, 2710_11	 	330_13	330_13	 
Bacteroides xylanisolvens SD CC 1b (702447.3)	 	 	 	 	4301_11, 4301_11	 	1747_13	1747_13	 
Bacteroides xylanisolvens XB1A (657309.4)	 	 	 	 	1147_11, 1147_11	 	2145_13	2145_13	 
Barnesiella intestinihominis YIT 11860 (742726.3)	 	 	 	 	 	 	755_13	755_13	 
Butyricimonas synergistica DSM 23225 (1121129.3)	 	 	 	 	 	 	1279_13	1279_13	 
Dysgonomonas gadei ATCC BAA-286 (742766.3)	 	 	 	 	 	 	3308_13	3308_13	 
Odoribacter laneus YIT 12061 (742817.3)	 	 	 	 	 	 	1371_13	1371_13	 
Odoribacter splanchnicus DSM 20712 (709991.3)	 	 	 	 	 	 	144_13	144_13	 
Parabacteroides distasonis ATCC 8503 (435591.13)	 	 	 	 	 	 	1974_13	1974_13	 
Parabacteroides distasonis CL03T12C09 (999416.3)	 	 	 	 	 	 	430_13	430_13	 
Parabacteroides distasonis CL09T03C24 (999417.3)	 	 	 	 	 	 	1696_13	1696_13	 
Parabacteroides goldsteinii CL02T12C30 (999418.3)	 	 	 	 	 	 	2027_13	2027_13	 
Parabacteroides goldsteinii dnLKV18 (1235789.3)	 	 	 	 	 	 	5427_13	5427_13	 
Parabacteroides johnsonii CL02T12C29 (999419.3)	 	 	 	 	 	 	655_13	655_13	 
Parabacteroides johnsonii DSM 18315 (537006.5)	 	 	 	 	 	 	1620_13	1620_13	 
Parabacteroides merdae ATCC 43184 (411477.4)	 	 	 	 	 	 	1176_13	1176_13	 
Parabacteroides merdae CL03T12C32 (999420.3)	 	 	 	 	 	 	2839_13	2839_13	 
Parabacteroides sp. D13 (563193.3)	 	 	 	 	 	 	3186_13	3186_13	 
Porphyromonas asaccharolytica DSM 20707 (879243.3)	 	 	 	 	 	 	171_13	171_13	 
Porphyromonas asaccharolytica PR426713P-I (910312.3)	 	 	 	 	 	 	192_13	192_13	 
Porphyromonas endodontalis ATCC 35406 (553175.3)	 	 	 	 	 	 	348_13	348_13	 
Porphyromonas gingivalis ATCC 33277 (431947.7)	 	 	 	 	 	 	966_13	966_13	 
Porphyromonas gingivalis TDC60 (1030843.3)	 	 	 	 	 	 	865_13	865_13	 
Porphyromonas gingivalis W83 (242619.8)	 	 	 	 	 	 	905_13	905_13	 
Porphyromonas somerae DSM 23386 (1122975.3)	 	 	 	 	 	 	882_13	882_13	 
Porphyromonas uenonis 60-3 (596327.3)	 	 	 	 	 	 	112_13	112_13	 
Tannerella forsythia ATCC 43037 (203275.8)	 	 	 	 	 	 	2536_13	2536_13	 
Paraprevotella clara YIT 11840 (762968.3)	 	 	 	 	 	 	2253_13	2253_13	 
Paraprevotella xylaniphila YIT 11841 (762982.3)	 	 	 	 	 	 	434_13	434_13	 
Prevotella bivia DSM 20514 (868129.3)	 	 	 	 	 	 	2144_13	2144_13	 
Prevotella bryantii B14 (752555.5)	 	 	 	 	 	 	1480_13	1480_13	 
Prevotella buccae ATCC 33574 (873513.3)	 	 	 	 	 	 	1389_13	1389_13	 
Prevotella buccae D17 (575611.3)	 	 	 	 	 	 	1288_13	1288_13	 
Prevotella conceptionensis 9403948 (1197728.3)	 	 	 	 	 	 	2915_14	2915_14	 
Prevotella denticola CRIS 18C-A (944557.3)	 	 	 	 	 	 	127_13	127_13	 
Prevotella denticola F0289 (767031.3)	 	 	 	 	 	 	106_13	106_13	 
Prevotella disiens FB035-09AN (866771.4)	 	 	 	 	 	 	1930_13	1930_13	 
Prevotella intermedia 17 (246198.10)	 	 	 	 	 	 	2084_13	2084_13	 
Prevotella melaninogenica ATCC 25845 (553174.6)	 	 	 	 	 	 	1701_13	1701_13	 
Prevotella melaninogenica D18 (575612.3)	 	 	 	 	 	 	922_13	922_13	 
Prevotella nanceiensis DSM 19126 (1122988.3)	 	 	 	 	 	 	150_13	150_13	 
Prevotella nigrescens ATCC 33563 (997352.4)	 	 	 	 	 	 	354_13	354_13	 
Prevotella nigrescens F0103 (702439.3)	 	 	 	 	 	 	1243_13	1243_13	 
Prevotella oralis ATCC 33269 (873533.3)	 	 	 	 	 	 	2213_13	2213_13	 
Prevotella oralis HGA0225 (1203550.3)	 	 	 	 	 	 	84_13	84_13	 
Prevotella pallens ATCC 700821 (997353.4)	 	 	 	 	 	 	1051_13	1051_13	 
Prevotella ruminicola 23 (264731.4)	 	 	 	 	 	 	694_13	694_13	 
Prevotella salivae DSM 15606 (888832.3)	 	 	 	 	 	 	1983_13	1983_13	 
Prevotella stercorea DSM 18206 (1002367.3)	 	 	 	 	 	 	1419_14	 	 
Prevotella timonensis CRIS 5C-B1 (679189.3)	 	 	 	 	 	 	47_13	47_13	 
Prevotella veroralis DSM 19559 (1122993.3)	 	 	 	 	 	 	2179_13	2179_13	 
Prevotella veroralis F0319 (649761.3)	 	 	 	 	 	 	1279_13	1279_13	 
Alistipes finegoldii DSM 17242 (679935.3)	 	 	 	 	 	 	1712_13	1712_13	 
Alistipes indistinctus YIT 12060 (742725.3)	 	 	 	 	 	 	1246_13	1246_13	 
Alistipes onderdonkii DSM 19147 (1120974.3)	 	 	 	 	 	 	1363_13	1363_13	 
Alistipes putredinis DSM 17216 (445970.5)	 	 	 	 	 	 	 	 	 
Alistipes shahii WAL 8301 (717959.3)	 	 	 	 	 	 	273_13	273_13	 
Rudanella lutea DSM 19387 (1089547.3)	 	 	 	 	2641_10	 	2223_14	 	 
Capnocytophaga ochracea DSM 7271 (521097.5)	 	 	 	 	 	 	1727_13	1727_13	 
Capnocytophaga ochracea F0287 (873517.3)	 	 	 	 	 	 	2209_13	2209_13	 
Capnocytophaga sputigena ATCC 33612 (553177.6)	 	 	 	 	 	 	835_13	835_13	 
Capnocytophaga granulosa ATCC 51502 (641143.3)	 	 	 	 	 	 	1454_13	1454_13	 
Capnocytophaga ochracea str. Holt 25 (1125719.3)	 	 	 	 	 	 	109_13	109_13	 
Dyadobacter fermentans DSM 18053 (471854.5)	 	 	 	 	3918_11, 3918_11	 	4143_13	4143_13	 
Spirosoma linguale DSM 74 (504472.7)	 	 	 	 	 	 	6422_13	6422_13	 
Akkermansia muciniphila ATCC BAA-835 (349741.6)	 	 	 	 	 	 	56_13	56_13	 
Escherichia coli TY-2482.contig.20110606 (6666666.5522)	3518_1	3519_4	2140_6	1573	4672_11, 4672_11	1572	2148_13	2148_13	2280_16
Bacillus cereus BDRD-ST26 (526975.3)	 	 	 	 	 	 	2316_13, 2966_13	2316_13, 2966_13	 
Bacillus cereus BGSC 6E1 (526970.3)	 	 	 	 	 	 	2694_13, 3315_13	2694_13, 3315_13	 
Bacillus cereus F65185 (526989.3)	 	 	 	 	 	 	3739_13, 4332_13	3739_13, 4332_13	 
Bacillus cereus Rock1-15 (526982.3)	 	 	 	 	 	 	2679_13, 3208_13	2679_13, 3208_13	 
Bacillus cereus 03BB102 (572264.4)	 	 	 	 	 	 	1454_13, 2073_13	1454_13, 2073_13	 
Bacillus cereus 172560W (526967.3)	 	 	 	 	 	 	1803_13	1803_13	 
Bacillus cereus 95/8201 (526979.3)	 	 	 	 	 	 	1649_13, 4964_13	1649_13, 4964_13	 
Bacillus cereus AH1134 (405533.4)	 	 	 	 	 	 	3500_13, 4726_13	3500_13, 4726_13	 
Bacillus cereus AH1271 (526992.3)	 	 	 	 	 	 	4904_13, 603_13	4904_13, 603_13	 
Bacillus cereus AH1272 (526993.3)	 	 	 	 	 	 	5373_13	5373_13	 
Bacillus cereus AH187 (405534.9)	 	 	 	 	 	 	1855_13, 2373_13	1855_13, 2373_13	 
Bacillus cereus AH603 (526990.3)	 	 	 	 	 	 	3434_13, 4073_13	3434_13, 4073_13	 
Bacillus cereus AH621 (526972.3)	 	 	 	 	 	 	2378_13, 2946_13	2378_13, 2946_13	 
Bacillus cereus AH676 (526991.3)	 	 	 	 	 	 	4825_13, 5381_13	4825_13, 5381_13	 
Bacillus cereus AH820 (405535.8)	 	 	 	 	 	 	1547_13	1547_13	 
Bacillus cereus AND1407 (1053166.3)	 	 	 	 	 	 	1181_13, 665_13	1181_13, 665_13	 
Bacillus cereus ATCC 10876 (526980.3)	 	 	 	 	 	 	2409_13, 3038_13	2409_13, 3038_13	 
Bacillus cereus ATCC 10987 (222523.6)	 	 	 	 	 	 	1558_13	1558_13	 
Bacillus cereus ATCC 4342 (526977.3)	 	 	 	 	 	 	1092_13	1092_13	 
Bacillus cereus B4264 (405532.5)	 	 	 	 	 	 	1450_13, 1989_13	1450_13, 1989_13	 
Bacillus cereus B5-2 (1085389.3)	 	 	 	 	 	 	1949_13, 2518_13	1949_13, 2518_13	 
Bacillus cereus BAG1O-1 (1053167.3)	 	 	 	 	 	 	1449_13, 1974_13	1449_13, 1974_13	 
Bacillus cereus BAG1O-2 (1053168.3)	 	 	 	 	 	 	3466_13, 4014_13	3466_13, 4014_13	 
Bacillus cereus BAG1O-3 (1053169.3)	 	 	 	 	 	 	2913_13, 3457_13	2913_13, 3457_13	 
Bacillus cereus BAG1X1-1 (1053170.3)	 	 	 	 	 	 	3553_13, 4108_13	3553_13, 4108_13	 
Bacillus cereus BAG1X1-2 (1053171.3)	 	 	 	 	 	 	1287_13, 761_13	1287_13, 761_13	 
Bacillus cereus BAG1X1-3 (1053172.3)	 	 	 	 	 	 	3506_13, 4033_13	3506_13, 4033_13	 
Bacillus cereus BAG1X2-1 (1053173.3)	 	 	 	 	 	 	1359_13, 1914_13	1359_13, 1914_13	 
Bacillus cereus BAG1X2-2 (1053174.3)	 	 	 	 	 	 	3536_13, 4094_13	3536_13, 4094_13	 
Bacillus cereus BAG1X2-3 (1053175.3)	 	 	 	 	 	 	2049_13, 2606_13	2049_13, 2606_13	 
Bacillus cereus BAG2O-1 (1053176.3)	 	 	 	 	 	 	1367_13, 1919_13	1367_13, 1919_13	 
Bacillus cereus BAG2O-2 (1053177.3)	 	 	 	 	 	 	1351_13, 1904_13	1351_13, 1904_13	 
Bacillus cereus BAG2O-3 (1053178.3)	 	 	 	 	 	 	3569_13, 4144_13	3569_13, 4144_13	 
Bacillus cereus BAG2X1-1 (1053179.3)	 	 	 	 	 	 	2888_13, 3380_13	2888_13, 3380_13	 
Bacillus cereus BAG2X1-2 (1053180.3)	 	 	 	 	 	 	3732_13, 4340_13	3732_13, 4340_13	 
Bacillus cereus BAG2X1-3 (1053181.3)	 	 	 	 	 	 	2739_13, 3258_13	2739_13, 3258_13	 
Bacillus cereus BAG3O-1 (1085388.3)	 	 	 	 	 	 	1455_13, 2035_13	1455_13, 2035_13	 
Bacillus cereus BAG3O-2 (1053182.3)	 	 	 	 	 	 	3568_13, 4084_13	3568_13, 4084_13	 
Bacillus cereus BAG3X2-1 (1053183.3)	 	 	 	 	 	 	3389_13, 3959_13	3389_13, 3959_13	 
Bacillus cereus BAG3X2-2 (1053184.3)	 	 	 	 	 	 	1404_13, 1919_13	1404_13, 1919_13	 
Bacillus cereus BAG4O-1 (1053185.3)	 	 	 	 	 	 	1357_13, 1874_13	1357_13, 1874_13	 
Bacillus cereus BAG4X12-1 (1053186.3)	 	 	 	 	 	 	1292_13, 1811_13	1292_13, 1811_13	 
Bacillus cereus BAG4X2-1 (1053187.3)	 	 	 	 	 	 	3452_13, 4000_13	3452_13, 4000_13	 
Bacillus cereus BAG5O-1 (1053188.3)	 	 	 	 	 	 	1304_13, 760_13	1304_13, 760_13	 
Bacillus cereus BAG5X1-1 (1053189.3)	 	 	 	 	 	 	3175_13, 3738_13	3175_13, 3738_13	 
Bacillus cereus BAG5X12-1 (1053190.3)	 	 	 	 	 	 	2815_13, 3333_13	2815_13, 3333_13	 
Bacillus cereus BAG5X2-1 (1053191.3)	 	 	 	 	 	 	3086_13, 3678_13	3086_13, 3678_13	 
Bacillus cereus BAG6O-1 (1053192.3)	 	 	 	 	 	 	3422_13, 3967_13	3422_13, 3967_13	 
Bacillus cereus BAG6O-2 (1053193.3)	 	 	 	 	 	 	3314_13, 3890_13	3314_13, 3890_13	 
Bacillus cereus BAG6X1-1 (1053194.3)	 	 	 	 	 	 	1571_13, 978_13	1571_13, 978_13	 
Bacillus cereus BAG6X1-2 (1053195.3)	 	 	 	 	 	 	1314_13, 1835_13	1314_13, 1835_13	 
Bacillus cereus BDRD-Cer4 (526978.3)	 	 	 	 	 	 	1321_13	1321_13	 
Bacillus cereus BDRD-ST196 (526976.3)	 	 	 	 	 	 	3809_13, 4363_13	3809_13, 4363_13	 
Bacillus cereus BDRD-ST24 (526974.3)	 	 	 	 	 	 	2020_13, 2647_13	2020_13, 2647_13	 
Bacillus cereus BMG1.7 (1053196.3)	 	 	 	 	 	 	2512_13, 5932_13	2512_13, 5932_13	 
Bacillus cereus BtB2-4 (1053197.3)	 	 	 	 	 	 	1385_13, 1926_13	1385_13, 1926_13	 
Bacillus cereus CER057 (1053198.3)	 	 	 	 	 	 	1383_13, 1926_13	1383_13, 1926_13	 
Bacillus cereus CER074 (1053199.3)	 	 	 	 	 	 	3523_13, 4068_13	3523_13, 4068_13	 
Bacillus cereus E33L (288681.15)	 	 	 	 	 	 	1468_13, 2014_13	1468_13, 2014_13	 
Bacillus cereus FRI-35 (1217984.3)	 	 	 	 	 	 	163_13, 4841_13	163_13, 4841_13	 
Bacillus cereus G9842 (405531.7)	 	 	 	 	 	 	1411_13, 1983_13	1411_13, 1983_13	 
Bacillus cereus H-hrb01 (1225787.3)	 	 	 	 	 	 	3057_13	3057_13	 
Bacillus cereus HD73 (1053200.3)	 	 	 	 	 	 	2412_13, 5669_13	2412_13, 5669_13	 
Bacillus cereus HuA2-1 (1053201.3)	 	 	 	 	 	 	1578_13, 954_13	1578_13, 954_13	 
Bacillus cereus HuA2-3 (1053202.3)	 	 	 	 	 	 	2387_13, 2929_13	2387_13, 2929_13	 
Bacillus cereus HuA2-4 (1053203.3)	 	 	 	 	 	 	1391_13, 1933_13	1391_13, 1933_13	 
Bacillus cereus HuA2-9 (1053204.3)	 	 	 	 	 	 	2943_13, 3509_13	2943_13, 3509_13	 
Bacillus cereus HuA3-9 (1053205.3)	 	 	 	 	 	 	229_13, 802_13	229_13, 802_13	 
Bacillus cereus HuA4-10 (1053206.3)	 	 	 	 	 	 	3464_13, 4049_13	3464_13, 4049_13	 
Bacillus cereus HuB1-1 (1053207.3)	 	 	 	 	 	 	3644_13, 4163_13	3644_13, 4163_13	 
Bacillus cereus HuB13-1 (1053208.3)	 	 	 	 	 	 	1845_13, 2503_13	1845_13, 2503_13	 
Bacillus cereus HuB2-9 (1053209.3)	 	 	 	 	 	 	3440_13, 3987_13	3440_13, 3987_13	 
Bacillus cereus HuB4-10 (1053210.3)	 	 	 	 	 	 	1316_13, 768_13	1316_13, 768_13	 
Bacillus cereus HuB4-4 (1053211.3)	 	 	 	 	 	 	1579_13, 2480_13	1579_13, 2480_13	 
Bacillus cereus HuB5-5 (1053212.3)	 	 	 	 	 	 	1354_13, 1887_13	1354_13, 1887_13	 
Bacillus cereus IS075 (718220.3)	 	 	 	 	 	 	2017_13, 4177_13	2017_13, 4177_13	 
Bacillus cereus IS195 (1053213.3)	 	 	 	 	 	 	4115_13, 4630_13	4115_13, 4630_13	 
Bacillus cereus IS845/00 (1053214.3)	 	 	 	 	 	 	4852_13, 5367_13	4852_13, 5367_13	 
Bacillus cereus ISP2954 (1053215.3)	 	 	 	 	 	 	1783_13, 2346_13	1783_13, 2346_13	 
Bacillus cereus ISP3191 (1053216.3)	 	 	 	 	 	 	3337_13	3337_13	 
Bacillus cereus K-5975c (1053217.3)	 	 	 	 	 	 	3566_13, 4098_13	3566_13, 4098_13	 
Bacillus cereus LCT-BC244 (1163722.3)	 	 	 	 	 	 	3217_13	3217_13	 
Bacillus cereus MC118 (1053218.3)	 	 	 	 	 	 	3001_13, 3786_13	3001_13, 3786_13	 
Bacillus cereus MC67 (1053219.3)	 	 	 	 	 	 	313_13, 843_13	313_13, 843_13	 
Bacillus cereus MM3 (526971.3)	 	 	 	 	 	 	2057_13	2057_13	 
Bacillus cereus MSX-A1 (1053220.3)	 	 	 	 	 	 	2916_13, 3526_13	2916_13, 3526_13	 
Bacillus cereus MSX-A12 (1053221.3)	 	 	 	 	 	 	2209_13, 2725_13	2209_13, 2725_13	 
Bacillus cereus MSX-D12 (1053222.3)	 	 	 	 	 	 	3422_13, 3945_13	3422_13, 3945_13	 
Bacillus cereus NC7401 (334406.4)	 	 	 	 	 	 	1455_13, 1967_13	1455_13, 1967_13	 
Bacillus cereus Q1 (361100.6)	 	 	 	 	 	 	1521_13, 2041_13	1521_13, 2041_13	 
Bacillus cereus R309803 (526968.3)	 	 	 	 	 	 	1598_13	1598_13	 
Bacillus cereus Rock1-3 (526981.3)	 	 	 	 	 	 	1722_13, 2424_13	1722_13, 2424_13	 
Bacillus cereus Rock3-29 (526984.3)	 	 	 	 	 	 	1853_13, 2400_13	1853_13, 2400_13	 
Bacillus cereus Rock3-42 (526985.3)	 	 	 	 	 	 	3337_13, 3937_13	3337_13, 3937_13	 
Bacillus cereus Rock4-18 (526988.3)	 	 	 	 	 	 	2028_13	2028_13	 
Bacillus cereus SJ1 (699184.4)	 	 	 	 	 	 	207_13	207_13	 
Bacillus cereus TIAC219 (718222.3)	 	 	 	 	 	 	1732_13, 2317_13	1732_13, 2317_13	 
Bacillus cereus VD014 (1053223.3)	 	 	 	 	 	 	1329_13, 1864_13	1329_13, 1864_13	 
Bacillus cereus VD021 (1053224.3)	 	 	 	 	 	 	1868_13, 3502_13	1868_13, 3502_13	 
Bacillus cereus VD022 (718223.3)	 	 	 	 	 	 	3614_13, 4201_13	3614_13, 4201_13	 
Bacillus cereus VD045 (1053225.3)	 	 	 	 	 	 	2890_13, 3469_13	2890_13, 3469_13	 
Bacillus cereus VD048 (1053226.3)	 	 	 	 	 	 	2821_13, 3385_13	2821_13, 3385_13	 
Bacillus cereus VD078 (1053227.3)	 	 	 	 	 	 	3395_13, 3934_13	3395_13, 3934_13	 
Bacillus cereus VD102 (1053228.3)	 	 	 	 	 	 	2745_13, 3344_13	2745_13, 3344_13	 
Bacillus cereus VD107 (1053229.3)	 	 	 	 	 	 	1225_13, 758_13	1225_13, 758_13	 
Bacillus cereus VD115 (1053230.3)	 	 	 	 	 	 	3027_13, 3608_13	3027_13, 3608_13	 
Bacillus cereus VD118 (1053231.3)	 	 	 	 	 	 	1724_13, 2269_13	1724_13, 2269_13	 
Bacillus cereus VD131 (1053232.3)	 	 	 	 	 	 	1711_13, 2260_13	1711_13, 2260_13	 
Bacillus cereus VD133 (1053233.3)	 	 	 	 	 	 	1599_13, 996_13	1599_13, 996_13	 
Bacillus cereus VD136 (1053234.3)	 	 	 	 	 	 	2234_13, 3309_13	2234_13, 3309_13	 
Bacillus cereus VD140 (1053235.3)	 	 	 	 	 	 	1509_13, 2038_13	1509_13, 2038_13	 
Bacillus cereus VD142 (718224.3)	 	 	 	 	 	 	1242_13, 1791_13	1242_13, 1791_13	 
Bacillus cereus VD146 (1053236.3)	 	 	 	 	 	 	2180_13, 2730_13	2180_13, 2730_13	 
Bacillus cereus VD148 (1053237.3)	 	 	 	 	 	 	3540_13, 4085_13	3540_13, 4085_13	 
Bacillus cereus VD154 (1053238.3)	 	 	 	 	 	 	2414_13, 43_13	2414_13, 43_13	 
Bacillus cereus VD156 (1053239.3)	 	 	 	 	 	 	3624_13, 4215_13	3624_13, 4215_13	 
Bacillus cereus VD166 (1053240.3)	 	 	 	 	 	 	2826_13, 3344_13	2826_13, 3344_13	 
Bacillus cereus VD169 (1053241.3)	 	 	 	 	 	 	1345_13, 1868_13	1345_13, 1868_13	 
Bacillus cereus VD184 (1053242.3)	 	 	 	 	 	 	1828_13, 2396_13	1828_13, 2396_13	 
Bacillus cereus VD196 (1053243.3)	 	 	 	 	 	 	1087_13, 496_13	1087_13, 496_13	 
Bacillus cereus VD200 (1053244.3)	 	 	 	 	 	 	1406_13, 1948_13	1406_13, 1948_13	 
Bacillus cereus VD214 (1053245.3)	 	 	 	 	 	 	1747_13, 2294_13	1747_13, 2294_13	 
Bacillus cereus VDM006 (1085379.3)	 	 	 	 	 	 	1928_13	1928_13	 
Bacillus cereus VDM019 (1053246.3)	 	 	 	 	 	 	1386_13, 1904_13	1386_13, 1904_13	 
Bacillus cereus VDM021 (1085386.3)	 	 	 	 	 	 	1837_13, 2948_13	1837_13, 2948_13	 
Bacillus cereus VDM022 (1053247.3)	 	 	 	 	 	 	3495_13, 4014_13	3495_13, 4014_13	 
Bacillus cereus VDM034 (1053248.3)	 	 	 	 	 	 	1023_13, 1553_13	1023_13, 1553_13	 
Bacillus cereus VDM053 (1053249.3)	 	 	 	 	 	 	1737_13	1737_13	 
Bacillus cereus VDM062 (1053250.3)	 	 	 	 	 	 	3713_13, 4281_13	3713_13, 4281_13	 
Bacillus cereus biovar anthracis str. CI (637380.6)	 	 	 	 	 	 	1819_13	1819_13	 
Bacillus cereus m1293 (526973.3)	 	 	 	 	 	 	2804_13, 3349_13	2804_13, 3349_13	 
Bacillus cereus m1550 (526969.3)	 	 	 	 	 	 	1211_13	1211_13	 
Bacillus cereus str. Schrouff (718221.3)	 	 	 	 	 	 	2905_13, 3439_13	2905_13, 3439_13	 
Bacillus cereus subsp. cytotoxis NVH 391-98 (315749.4)	 	 	 	 	 	 	1267_13, 1631_13	1267_13, 1631_13	 
Bacillus mycoides DSM 2048 (526997.3)	 	 	 	 	 	 	1817_13, 2413_13	1817_13, 2413_13	 
Bacillus mycoides Rock1-4 (526998.3)	 	 	 	 	 	 	5962_13	5962_13	 
Bacillus mycoides Rock3-17 (526999.3)	 	 	 	 	 	 	2571_13	2571_13	 
Bacillus thuringiensis HD-771 (1218175.3)	 	 	 	 	 	 	1871_13, 2637_13	1871_13, 2637_13	 
Bacillus thuringiensis HD-789 (1217737.3)	 	 	 	 	 	 	1065_13, 1609_13	1065_13, 1609_13	 
Bacillus thuringiensis IBL 200 (527019.3)	 	 	 	 	 	 	2560_13, 3210_13	2560_13, 3210_13	 
Bacillus thuringiensis IBL 4222 (527020.3)	 	 	 	 	 	 	5516_13, 6097_13	5516_13, 6097_13	 
Bacillus thuringiensis MC28 (1195464.3)	 	 	 	 	 	 	1343_14, 764_13	764_13	 
Bacillus thuringiensis serovar andalousiensis BGSC 4AW1 (527032.3)	 	 	 	 	 	 	2654_14, 2717_14	 	 
Bacillus thuringiensis serovar berliner ATCC 10792 (527031.3)	 	 	 	 	 	 	3158_13	3158_13	 
Bacillus thuringiensis serovar chinensis CT-43 (541229.3)	 	 	 	 	 	 	1486_13	1486_13	 
Bacillus thuringiensis serovar finitimus YBT-020 (930170.3)	 	 	 	 	 	 	1617_13	1617_13	 
Bacillus thuringiensis serovar huazhongensis BGSC 4BD1 (527030.3)	 	 	 	 	 	 	2905_13, 3434_13	2905_13, 3434_13	 
Bacillus thuringiensis serovar konkukian str. 97-27 (281309.8)	 	 	 	 	 	 	1467_13, 2036_13	1467_13, 2036_13	 
Bacillus thuringiensis BMB171 (714359.3)	 	 	 	 	 	 	1447_13, 2007_13	1447_13, 2007_13	 
Bacillus thuringiensis serovar kurstaki str. HD73 (1279365.3)	 	 	 	 	 	 	1738_13, 2352_13	1738_13, 2352_13	 
