Organism	ArgA	ArgB	ArgC	ArgD	ArgE	ArgJ	ArgF	ArgG	ArgH	ArtMQP	ArcD
Mycobacterium abscessus 3A-0119-R (1001721.3)	2332_19_1, 2332_19_1, 3191_1	2332_19_1	2333_5	2331_7	2274_8, 2334_8, 3990_14, 4468_14	 	2335_21	2337_23	2338_26, 697_25	 	 
Mycobacterium abscessus 3A-0122-R (1001715.3)	2369_19_1, 2369_19_1, 3154_1	2369_19_1	2370_5	2368_7	2312_8, 2371_8, 4504_14, 910_14	 	2372_21	2374_23	2375_26, 775_25	 	 
Mycobacterium abscessus 3A-0122-S (1001716.3)	1927_19_1, 1927_19_1, 2767_1	1927_19_1	1928_5	1926_7	1868_8, 1929_8, 3807_14, 4281_14	 	1930_21	1932_23	1933_26, 3662_25	 	 
Mycobacterium abscessus 3A-0731 (1001718.3)	2281_19_1, 2281_19_1, 3304_1	2281_19_1	2282_5	2280_7	2223_8, 2283_8, 4546_14, 645_14	 	2284_21	2286_23	2287_26, 2620_25	 	 
Mycobacterium abscessus 3A-0810-R (1001717.3)	2376_19_1, 2376_19_1, 3229_1	2376_19_1	2377_5	2375_7	2318_8, 2378_8, 4471_14, 823_14	 	2379_21	2381_23	2382_26, 688_25	 	 
Mycobacterium abscessus 3A-0930-R (1001720.3)	2382_19_1, 2382_19_1, 3198_1	2382_19_1	2383_5	2381_7	2324_8, 2384_8, 4419_14, 832_14	 	2385_21	2387_23	2388_26, 695_25	 	 
Mycobacterium abscessus 3A-0930-S (1001719.3)	1948_19_1, 1948_19_1, 3133_1	1948_19_1	1949_5	1947_7	1890_8, 1950_8, 403_14, 4345_14	 	1951_21	1953_23	1954_26, 2461_25	 	 
Mycobacterium abscessus 47J26 (1087483.3)	1602_19_1, 1602_19_1, 829_1	1602_19_1	1601_5	1603_7	1600_8, 1660_8, 2349_8, 2941_8, 3186_14, 4330_14	 	1599_21	1597_23	1596_26, 4213_25	 	 
Mycobacterium abscessus 4S-0116-R (1001725.3)	275_19_1, 275_19_1, 2768_1	275_19_1	276_5	274_7	1751_8, 216_8, 277_8, 3747_8, 4031_14, 932_14	 	278_21	280_23	281_26, 790_25	 	 
Mycobacterium abscessus 4S-0116-S (1001724.3)	1145_19_1, 1145_19_1, 1861_1	1145_19_1	1146_5	1144_7	1088_8, 1147_8, 2839_8, 3123_14, 4608_14, 649_8	 	1148_21	1150_23	1151_26, 4467_25	 	 
Mycobacterium abscessus 4S-0206 (1001723.3)	1508_19_1, 1508_19_1, 2771_1	1508_19_1	1507_5	1509_7	1506_8, 1565_8, 3747_8, 4031_14, 89_14, 907_8	 	1505_21	1503_23	1502_26, 2199_25	 	 
Mycobacterium abscessus 4S-0303 (1001722.3)	2762_1, 98_19_1, 98_19_1	98_19_1	97_5	99_7	1135_14, 156_8, 1954_8, 3740_8, 4023_14, 96_8	 	95_21	93_23	92_26, 993_25	 	 
Mycobacterium abscessus 4S-0726-RA (1001726.3)	1978_19_1, 1978_19_1, 2696_1	1978_19_1	1979_5	1977_7	1502_8, 1706_14, 1921_8, 1980_8, 3674_8, 3958_14	 	1981_21	1983_23	1848_25, 1984_26	 	 
Mycobacterium abscessus 4S-0726-RB (1001727.3)	1588_19_1, 1588_19_1, 2308_1	1588_19_1	1589_5	1587_7	1088_8, 1530_8, 1590_8, 268_14, 3287_8, 3569_14	 	1591_21	1593_23	126_25, 1594_26	 	 
Mycobacterium abscessus 5S-0304 (1001728.3)	1146_19_1, 1146_19_1, 2241_1	1146_19_1	1147_5	1145_7	1089_8, 1148_8, 3306_8, 3549_14, 4972_14, 664_8	 	1149_21	1151_23	1152_26, 4860_25	 	 
Mycobacterium abscessus 5S-0421 (1001729.3)	1428_19_1, 1428_19_1, 2492_1	1428_19_1	1429_5	1427_7	1372_8, 1430_8, 3557_8, 3802_14, 5204_14, 918_8	 	1431_21	1433_23	1434_26, 5092_25	 	 
Mycobacterium abscessus 5S-0422 (1001731.3)	1009_19_1, 1009_19_1, 3128_1	1009_19_1	1008_5	1010_7	1007_8, 1613_8, 2066_8, 4427_8, 4669_14, 559_14	 	1006_21	1004_23	1003_26, 447_25	 	 
Mycobacterium abscessus 5S-0708 (1001730.3)	1643_19_1, 1643_19_1, 5171_1	1643_19_1	1644_5	1642_7	1130_8, 1587_8, 1645_8, 3282_8, 3526_14, 474_14	 	1646_21	1648_23	1649_26, 362_25	 	 
Mycobacterium abscessus 5S-0817 (1001735.3)	1209_19_1, 1209_19_1, 1847_1	1209_19_1	1210_5	1208_7	1153_8, 1211_8, 2907_8, 3150_14, 4578_14, 697_8	 	1212_21	1214_23	1215_26, 4466_25	 	 
Mycobacterium abscessus 5S-0921 (1001732.3)	1868_19_1, 1868_19_1, 3148_1	1868_19_1	1869_5	1867_7	1356_8, 1812_8, 1870_8, 4207_8, 4451_14, 649_14	 	1871_21	1873_23	1874_26, 536_25	 	 
Mycobacterium abscessus 5S-1212 (1001733.3)	1584_19_1, 1584_19_1, 1974_1	1584_19_1	1585_5	1583_7	1072_8, 1528_8, 155_14, 1586_8, 3036_8, 3279_14	 	1587_21	1589_23	1590_26, 4862_25	 	 
Mycobacterium abscessus 5S-1215 (1001734.3)	2324_1, 923_19_1, 923_19_1	923_19_1	924_5	922_7	1341_8, 3304_8, 3547_14, 5144_14, 867_8, 925_8	 	926_21	928_23	366_25, 929_26	 	 
Mycobacterium abscessus 6G-0125-R (1001740.3)	1397_19_1, 1397_19_1, 2141_1	1397_19_1	1398_5	1396_7	1339_8, 1399_8, 3301_14, 4904_14	 	1400_21	1402_23	1403_26, 4772_25	 	 
Mycobacterium abscessus 6G-0212 (1001739.3)	2389_19_1, 2389_19_1, 3132_1	2389_19_1	2390_5	2388_7	2331_8, 2391_8, 4288_14, 792_14	 	2392_21	2394_23	2395_26, 658_25	 	 
Mycobacterium abscessus 9808 (1246644.3)	3094_19_1, 3094_19_1	3094_19_1	3095_5	3093_7	1641_14, 2543_8, 3035_8, 3096_8, 96_14	 	3097_21	3099_23	1448_25, 3100_26	 	 
Mycobacterium abscessus M115 (1162287.3)	1739_1, 2422_19_1, 2422_19_1	2422_19_1	2421_5	2423_7	1314_14, 2420_8, 2479_8, 3171_8, 455_14, 693_8	 	2419_21	2417_23	2416_26, 2817_25	 	 
Mycobacterium abscessus M139 (1175632.3)	1417_19_1, 1417_19_1, 3027_1	1417_19_1	1416_5	1418_7	1415_8, 2034_8, 2565_14, 4274_14, 4642_8	 	1414_21	1412_23	1411_26, 2694_25	 	 
Mycobacterium abscessus M152 (1176125.3)	1114_1, 3709_19_1, 3709_19_1	3709_19_1	3710_5	3708_7	2247_14, 2760_8, 3257_14, 3711_8, 864_8	 	3712_21	3714_23	2640_25, 3715_26	 	 
Mycobacterium abscessus M154 (1162288.3)	2859_19_1, 2859_19_1, 543_1	2859_19_1	2860_5	2858_7	1007_8, 1622_8, 2802_8, 2861_8, 3749_14, 767_14	 	2862_21	2864_23	2865_26, 3854_25	 	 
Mycobacterium abscessus M156 (1185414.3)	3390_19_1, 3390_19_1, 3724_1	3390_19_1	3389_5	3391_7	1414_8, 1415_8, 3388_8, 3522_14, 656_8, 779_14	 	3387_21	3385_23	3384_26, 4682_25	 	 
Mycobacterium abscessus M159 (1162285.3)	3485_19_1, 3485_19_1, 3999_1	3485_19_1	3486_5	3484_7	1347_14, 2916_8, 3428_8, 3487_8, 4591_14, 599_8	 	3488_21	3490_23	1116_25, 3491_26	 	 
Mycobacterium abscessus M172 (1162286.3)	100_19_1, 100_19_1, 867_1	100_19_1	101_5	99_7	102_8, 1093_14, 1334_8, 2933_8, 3632_14, 41_8	 	103_21	105_23	106_26, 5133_25	 	 
Mycobacterium abscessus M24 (1162284.3)	3552_19_1, 3552_19_1	3552_19_1	3553_5	3551_7	1173_14, 1897_14, 2031_8, 3494_8, 3554_8, 4182_8	3081_17	3555_21	3557_23	3558_26, 4574_25	 	 
Mycobacterium abscessus M93 (1149134.5)	1856_1, 36_19_1, 36_19_1	36_19_1	37_5	35_7	2934_14, 38_8, 4664_14, 4871_8, 879_8	 	39_21	41_23	42_26, 4510_25	 	 
Mycobacterium abscessus M94 (1158135.4)	2897_19_1, 2897_19_1	2897_19_1	2896_5	2898_7	1525_8, 244_14, 2680_8, 2895_8, 2941_8, 671_14	 	2894_21	2892_23	1002_25, 2891_26	 	 
Mycobacterium abscessus subsp. bolletii 50594 (1303024.3)	2334_19_1, 2334_19_1	2334_19_1	2335_5	2333_7	1847_8, 2275_8, 2336_8, 4338_14, 892_14	 	2337_21	2339_23	2340_26, 706_25	 	 
Mycobacterium abscessus subsp. bolletii BD (1091046.3)	2176_19_1, 2176_19_1, 2933_1	2176_19_1	2177_5	2175_7	1668_8, 2117_8, 2178_8, 3887_8, 4134_14, 725_14	 	2179_21	2181_23	2182_26, 591_25	 	 
Mycobacterium fortuitum subsp. fortuitum DSM 46621 (1214102.3)	3768_19_1, 3768_19_1	3768_19_1	3767_5	3769_7	1472_14, 3578_14, 3766_8, 4693_14, 4938_8	2160_17	3765_21	3763_23	218_25, 3762_26	 	 
Rhodococcus erythropolis XP (1078016.3)	4681_1, 5198_19	5198_19	5197_5	5199_7	1820_14, 2919_14, 5196_8	1511_17, 2684_17	5195_21	5193_23	3333_25, 5192_26	 	2433
Brevibacterium casei S18 (1229781.4)	3202_19_1, 3202_19_1	3202_19_1	3201_5	3203_7	2860_14, 3200_8	 	3199_21	3144_23	1061_25, 3197_26	 	 
Brevibacterium massiliense 5401308 (1176165.3)	925_19_1, 925_19_1	925_19_1	926_5	924_7	1798_14, 927_8	 	928_21	930_23	281_25, 931_26	 	 
Brachybacterium paraconglomeratum LC44 (1064537.3)	1025_19_1, 1025_19_1	1025_19_1	1024_5	1026_7	1023_8	 	1022_21	1020_23	1019_26, 457_25	 	 
Curtobacterium flaccumfaciens UCD-AKU (1292022.3)	974_19_1, 974_19_1	974_19_1	973_5	975_7	972_8	 	971_21	1031_23, 970_23	2572_25, 969_26	 	 
Microbacterium paraoxydans 77MFTsu3.2 (1151126.3)	1791_19_1, 1791_19_1, 3340_1	1791_19_1	1792_5	1790_7	1490_14, 1793_8	 	1794_21	2404_23	1796_26, 2242_25	 	2925
Kocuria palustris PEL (1236550.3)	1164_1, 1259_19_1, 1259_19_1	1259_19_1	1260_5	1258_7	1261_8, 1568_14	 	1262_21	1266_23	1267_26, 716_25	 	676
Rothia aeria F0474 (1125724.3)	 	 	 	 	236_14	1369_17	 	 	93_25	 	 
Rothia mucilaginosa M508 (563033.4)	 	 	 	 	 	65_17	 	 	218_25	 	 
Propionibacterium acidipropionici ATCC 4875 (1171373.8)	2014_19_1, 2014_19_1	2014_19_1	2013	2015_7	1182, 2012, 2401	3066	2011_21	3035_23	2010_26, 2683_25	 	 
Propionibacterium acnes C1 (1234380.3)	1466_19_1, 1466_19_1	1466_19_1	1465	1467_7	1464_8	 	629_21	2323_23	1463_26, 2115_25	 	1103, 627
Propionibacterium acnes FZ1/2/0 (1276649.3)	1411_19_1, 1411_19_1	1411_19_1	1410	1412_7	1409_8	 	622_21	2260_23	1408_26, 2055_25	 	1065, 620
Propionibacterium acnes HL096PA1 (1134454.3)	920_19_1, 920_19_1	920_19_1	921	919_7	922_8	 	1687_21	2287_23	2084_25, 923_26	 	1246, 1689
Propionibacterium acnes PRP-38 (1136877.3)	2087_19	2087_19	2086	2088_7	2085_8	 	1323_21	542_23	2084_26, 337_25, 338_25	 	1321, 1765
Propionibacterium avidum 44067 (1170318.3)	888_19_1, 888_19_1	888_19_1	889_5	887_7	890_8	 	1604_21, 93_21	2322_23	215_25, 891_26	 	1222, 1606
Propionibacterium avidum ATCC 25577 (997355.3)	1592_19_1, 1592_19_1	1592_19_1	1593_5	1591_7	1594_8	 	714_21	867_23	1595_26, 598_25	 	1916
Propionibacterium propionicum F0230a (767029.3)	1973_19_1, 1973_19_1	1973_19_1	1972_5	1974_7	1971_8	 	306_21	2867_23	1969_26, 479_25	 	 
Bifidobacterium angulatum DSM 20098 = JCM 7096 (518635.7)	1010_2, 1130_19_1, 1130_19_1, 1618_2	1010_2, 1130_19_1, 1618_2	1129_5	1131_7	1128_8, 794_8	 	1127_21	1125_23	1124_26, 478_25	 	 
Bifidobacterium animalis subsp. animalis ATCC 25527 (703613.4)	733_19_1, 733_19_1, 881_2	733_19_1, 881_2	734	732_7	735_8	 	736_21	738_23	660_25, 739_26	 	 
Bifidobacterium animalis subsp. lactis B420 (1168290.3)	723_19_1, 723_19_1, 864	723_19_1, 864	724	722_7	725	 	726_21	728_23	648_25, 729_26	 	1271
Bifidobacterium animalis subsp. lactis BS 01 (911598.3)	775_19_1, 775_19_1, 917	775_19_1, 917	776	774_7	777	 	778_21	780_23	698_25, 781_26	 	1331
Bifidobacterium animalis subsp. lactis Bi-07 (742729.3)	723_19_1, 723_19_1, 863	723_19_1, 863	724	722_7	725	 	726_21	728_23	647_25, 729_26	 	1271
Bifidobacterium bifidum BGN4 (484020.3)	1074_19_1, 1074_19_1	1074_19_1	1073_5	1075_7	1072_8	 	1071_21	1069_23	1061_26, 618_25	 	 
Bifidobacterium bifidum LMG 13195 (1207542.3)	1291_19_1, 1291_19_1	1291_19_1	1292_5	1290_7	1293_8	 	1294_21	1296_23	1856_26, 835_25	 	 
Bifidobacterium breve CECT 7263 (1036735.3)	85_19_1, 85_19_1	85_19_1	84_5	86_7	83	 	82_21	80_23	1530_25, 75_26	 	 
Bifidobacterium breve DPC 6330 (1074482.3)	1428_19_1, 1428_19_1	1428_19_1	1429_5	1427_7	1430_8	 	1431_21	1433_23	1439_26, 1907_25	 	 
Bifidobacterium breve DSM 20213 = JCM 1192 (518634.7)	707_19_1, 707_19_1	707_19_1	708	706_7	709_8	 	710_21	712_23	1631_25, 717_26	 	 
Bifidobacterium breve HPH0326 (1203540.3)	1952_19_1, 1952_19_1	1952_19_1	1953_5	1951_7	1954	 	1955_21	1957_23	1958_26, 866_25	 	 
Bifidobacterium catenulatum DSM 16992 = JCM 1194 (566552.6)	563_19_1, 563_19_1	563_19_1	564_5	562_7	565_8	 	566_21	568_23	1631_25, 569_26	 	 
Bifidobacterium longum subsp. infantis ATCC 15697 = JCM 1222 (391904.8)	1951_19_1, 1951_19_1	1951_19_1	1950	1952_7	1949_8	 	1948_21	1946_23	1945_26, 696_25	 	 
Bifidobacterium longum subsp. longum 1-6B (1161744.3)	1882_19_1, 1882_19_1	1882_19_1	1883_5	1881_7	1884_8	 	1885_21	1887_23	1889_26, 952_25	 	 
Bifidobacterium longum subsp. longum 2-2B (1161745.3)	2108_19_1, 2108_19_1	2108_19_1	2107_5	2109_7	2106_8	 	2105_21	2103_23	1044_25, 2101_26	 	 
Bifidobacterium longum subsp. longum 35B (1161904.3)	430_19_1, 430_19_1	430_19_1	429_5	431_7	428_8	 	427_21	425_23	423_26, 942_25	 	 
Bifidobacterium longum subsp. longum 44B (1161743.3)	410_19_1, 410_19_1	410_19_1	409_5	411_7	408_8	 	407_21	405_23	403_26, 908_25	 	 
Bifidobacterium longum subsp. longum CMCC P0001 (1266716.3)	61_19_1, 61_19_1	61_19_1	62_5	60_7	63_8	 	64_21	66_23	303_25, 67_26	 	 
Bifidobacterium pseudocatenulatum DSM 20438 = JCM 1200 (547043.8)	1341_19	1341_19	1340_5	1342_7	1339_8	 	1338_21	1336_23	11_25, 1335_26	 	 
Bifidobacterium thermophilum RBL67 (1254439.12)	1755_19_1, 1755_19_1, 524_2	1755_19_1, 524_2	1754_5	1756_7	1753_8, 474_14	 	1752_21	1749_23	1137_25, 1748_26	 	 
Atopobium minutum 10063974 (997872.3)	 	 	 	 	 	 	989_21	 	144_25	 	1132, 1531, 729, 988
Collinsella tanakaei YIT 12063 (742742.3)	1249_19_1, 1249_19_1	1249_19_1	1250_5	1248_7	1251_8	85_17, 86_17	581_21	1615_23	1617_26, 1984_25	 	580, 589
Slackia piriformis YIT 12062 (742818.3)	 	 	1612_5	1506_7	1507_8	 	1437_21	1953_23	1775_25, 1954_26	 	129, 1367, 1435
Bacteroides fragilis ATCC 25285 (272559.3)	433	 	100	431	4016, 430	497	294_22	432_23	356_26, 3790_25	 	 
Bacteroides caccae ATCC 43185 (411901.7)	3103	 	3223_5	3101	3100	3302	3063_22	3102_23	3078_26, 3176_25	 	 
Bacteroides caccae CL03T12C61 (997873.3)	3584	 	3878_5	3586	3587_8	3709_17	3610_22	3585_23	35_25, 3594_26	 	 
Bacteroides capillosus ATCC 29799 (411467.6)	3055_19_1, 3055_19_1	3055_19_1	3054_5	3056_7	3053_8	1076_17	1077_21, 279_21, 3052_21	3058_23	1571_25, 3057_26	 	 
Bacteroides cellulosilyticus CL02T12C19 (997874.3)	2483_3	 	2152_5	2480_7	2479_8	2164_17, 2165_17, 2294_17	2428_22	2482_23	2461_26, 4801_25	 	 
Bacteroides cellulosilyticus DSM 14838 (537012.5)	1842_3	 	1288_5	1845_7	1846_8	1158_17	1006_22	1843_23	2128_26, 897_25	 	 
Bacteroides clarus YIT 12056 (762984.3)	1632_3	 	58_5	1629_7	1627_8	107_17	1604_22	1631_23	1621_26, 2538_25	 	 
Bacteroides coprocola DSM 17136 (470145.6)	3554_3	 	1712_5	3557_7	3558_8	1780_17	3316_22	3555_23	2642_25, 2842_26	 	 
Bacteroides coprophilus DSM 18228 (547042.5)	2811_3	 	2143_5	2813_7	2814_8	2093_17	1121_22	2812_23	2064_25, 2185_26	 	 
Bacteroides dorei CL02T00C15 (997875.3)	3657_3	 	2694_5	3655_7	3654_8	2523_17	3627_22	3656_23	3265_26, 5275_25	 	 
Bacteroides dorei CL02T12C06 (997876.3)	4380_3	 	1343_5	4378_7	4377_8	3213_17	4348_22	4379_23	1921_26, 5343_25	 	 
Bacteroides dorei CL03T12C01 (997877.3)	3166_3	 	2842_5	3164_7	3163_8	3114_17	4355_22	3165_23	3397_26, 4469_25	 	 
Bacteroides dorei DSM 17855 (483217.6)	1037_3	 	1604_5	1039_7	1040_8	1776_17	1073_22	1038_23	218_25, 4300_26	 	 
Bacteroides eggerthii 1_2_48FAA (665953.3)	3634_3	 	877_5	3637_7	3639	821_17	716_22	3635_23	2063_25, 700_26	 	 
Bacteroides eggerthii DSM 20697 (483216.6)	3406	 	3202	3404	3402	3258	3364_22	3405_23	30_25, 3379_26	 	 
Bacteroides faecis MAJ27 (1077285.3)	1221_3	 	914_5	1219_7	1218_8	1049_17	1185_22	1220_23	1202_26, 1339_25	 	 
Bacteroides finegoldii DSM 17565 (483215.6)	2606_3	 	3170_5	2608_7	2609_8	3217_17	2662_22	2607_23	2646_26, 776_25	 	 
Bacteroides fluxus YIT 12057 (763034.3)	3077_3	 	2878_5	3075_7	3074_8	2961_17	3050_22	3076_23	1987_25, 3068_26	 	 
Bacteroides fragilis 3_1_12 (457424.5)	2441_3	 	2692_5	2443_7	2444_8	2588_17	2479_22	2442_23	2461_26, 4335_25	 	 
Bacteroides fragilis 638R (862962.3)	 	 	 	545_7	544_8	381_17	520_22	546_23	4014_25, 537_26	 	 
Bacteroides fragilis CL03T00C08 (997878.3)	509	 	240	507	506_8	361_17	482_22	508_23	4405_25, 499_26	 	 
Bacteroides fragilis CL03T12C07 (997879.3)	1034_3	 	767	1032	1031_8	887_17	1007_22	1033_23	1024_26, 53_25	 	 
Bacteroides fragilis CL05T00C42 (997880.3)	2170_3	 	1808	2168_7	2167_8	2033_17	2142_22	2169_23	2160_26, 3132_25	 	 
Bacteroides fragilis CL05T12C13 (997881.3)	509_3	 	256	507_7	506_8	369_17	482_22	508_23	4543_25, 499_26	 	 
Bacteroides fragilis CL07T00C01 (997882.3)	2447_3	 	2711	2449_7	2450_8	2595_17	2474_22	2448_23	2457_26, 4742_25	 	 
Bacteroides fragilis CL07T12C05 (997883.3)	594	 	329	592_7	591_8	445_17	566_22	593_23	4747_25, 583_26	 	 
Bacteroides fragilis HMW 610 (1073386.3)	3568_3	 	4552_5	3570_7	3571_8	4449_17	3619_22	3569_23	3601_26, 3820_25	 	 
Bacteroides fragilis HMW 615 (1073387.4)	678	 	968	680_7	681_8	847	705_22	679_23	1624_25, 688_26	 	 
Bacteroides fragilis HMW 616 (1073388.3)	4494_3	 	4231_5	4492_7	4491_8	4336_17	4466_22	4493_23	3455_25, 4484_26	 	 
Bacteroides fragilis NCTC 9343 (272559.17)	473_3	 	194	471	3942, 470	311_17	434_22	472_23	3875_25, 452_26	 	 
Bacteroides fragilis YCH46 (295405.11)	550_3	 	270	548_7	547_8	394_17	511_22	549_23	3866_25, 528_26	 	 
Bacteroides intestinalis DSM 17393 (471870.8)	551	 	1315	554	555	775	610_22	552_23	32_25, 563_26	 	 
Bacteroides massiliensis B84634 = Timone 84634 = DSM 17679 = JCM 13223 (1121098.4)	2190_3	 	3098_5	2188_7	2187_8	3295_17	3407_22	2189_23	2368_25, 611_26	 	 
Bacteroides massiliensis dnLKV3 (1235788.3)	951_3	 	653_5	953_7	954_8	3141_17	990_22	952_23	3092_26, 4542_25	 	 
Bacteroides nordii CL02T12C05 (997884.3)	811_3	 	519_5	808_7	807_8	621_17	761_22	810_23	4015_25, 780_26	 	3407
Bacteroides oleiciplenus YIT 12058 (742727.4)	1904_3	 	2177_5	1907_7	1908_8	2074_17	1966_22	1905_23	1920_26, 2882_25	 	4804
Bacteroides ovatus 3_8_47FAA (665954.3)	2721_3	 	4935_5	2723_7	2724_8	2933_17	2777_22	2722_23	2759_26, 3269_25	 	 
Bacteroides ovatus ATCC 8483 (411476.11)	3041_3	 	2116_5	3039_7	3038_8	2831_17	2987_22	3040_23	1354_25, 3005_26	 	 
Bacteroides ovatus CL02T12C04 (997885.3)	4293_3	 	4686_5	4295_7	4296_8	4531_17	4349_22	4294_23	4330_26, 6217_25	 	 
Bacteroides ovatus CL03T12C18 (997886.3)	1277_3	 	916_5	1275_7	1274_8	1041_17	1218_22	1276_23	1237_26, 1391_25	 	 
Bacteroides ovatus SD CC 2a (702444.3)	1409_3	 	3065_5	1411_7	1413_8	1491_17	472_22	1410_23	1993_25, 489_26	 	 
Bacteroides pectinophilus ATCC 43243 (483218.5)	2091_19_1, 2091_19_1	2091_19_1	2090	2092_7	2089, 425	548_17	778_21	2093_23	1832_26, 2105_25	 	 
Bacteroides plebeius DSM 17135 (484018.6)	3389_3	 	1222_5	3387_7	1436_8, 3386_8	1183_17	3325_22	3388_23	3343_25, 823_26	 	 
Bacteroides salyersiae CL02T12C01 (997887.3)	1158_3	 	1503_5	1160_7	1161_8	1317_17	1203_22	1159_23	1182_26, 4680_25	 	 
Bacteroides salyersiae WAL 10018 = DSM 18765 = JCM 12988 (1121101.3)	1430_3	 	1703_5	1432_7	1433_8	1566_17	1464_22	1431_23	1444_26, 4093_25	 	 
Bacteroides sp. 1_1_14 (469585.3)	3693_3	 	4801_5	3691	3690	3484_17	3647_22	3692_23	1643_25, 3663_26	 	 
Bacteroides sp. 1_1_30 (457387.3)	4581_3	 	2490_5	4579_7	4577_8	2597_17	4544_22	4580_23	1832_25, 4561_26	 	 
Bacteroides sp. 1_1_6 (469586.3)	3559_3	 	1626	3557_7	3556	3335	3515_22	3558_23	2553_25, 3531_26	 	 
Bacteroides sp. 20_3 (469591.4)	1436_3	 	3626_5	1434_7	1433_8, 3492, 3492	94_17	4373_22	1435_23	791_26, 821_25	 	3662
Bacteroides sp. 2_1_22 (469588.3)	1027_3	 	220_5	1029_7	1031_8	115_17	1083_22	1028_23	1067_26, 3087_25	 	 
Bacteroides sp. 2_1_33B (469589.3)	3863_3	 	1053_5	3865_7	3866_8	1477_17	2822_22	3864_23	1455_25, 1737_26	 	1021
Bacteroides sp. 2_1_7 (457388.5)	4162_3	 	2891_5	4164_7	4165_8	425_17	2346_22	4163_23	750_25, 780_26	 	 
Bacteroides sp. 2_2_4 (469590.5)	3431_3	 	2755_5	3433_7	3434_8	2655_17	3467_22	3432_23	3450_26, 3970_25	 	 
Bacteroides sp. 3_1_19 (469592.4)	3907_3	 	3765_5	3905_7	3904_8	963_17	2089_22	3906_23	574_26, 621_25	 	 
Bacteroides sp. 3_1_23 (457390.3)	2939_3	 	2555_5	2937_7	2936_8	2684_17	2869_22	2938_23	2887_26, 3645_25	 	 
Bacteroides sp. 3_1_33FAA (457391.3)	2396_3	 	3249_5	2398_7	2399_8	4448_17	3700_22	2397_23	2195_26, 4334_25	 	 
Bacteroides sp. 3_1_40A (469593.3)	290	 	672_5	292_7	293_8	504_17	342_22	291_23	121_26, 4652_25	 	 
Bacteroides sp. 3_2_5 (457392.3)	633_3	 	929	635_7	636_8	807_17	660_22	634_23	4084_25, 643_26	 	 
Bacteroides sp. 4_1_36 (457393.3)	868_3	 	59_5	866_7	865_8	736_17	845_22	867_23	1947_25, 860_26	 	 
Bacteroides sp. 4_3_47FAA (457394.3)	1772	 	107_5	1770_7	1769_8	2214_17	1724_22	1771_23	271_26, 4154_25	 	 
Bacteroides sp. 9_1_42FAA (457395.6)	1363_3	 	3109_5	1365_7	1366_8	4173_17	4009_22	1364_23	4320_25, 970_26	 	 
Bacteroides sp. D1 (556258.5)	2116_3	 	890_5	2118_7	2120_8	73_17	2176_22	2117_23	2159_26, 2938_25	 	 
Bacteroides sp. D2 (556259.3)	2510_3	 	2870_5	2512_7	2513_8	2724_17	2564_22	2511_23	1644_25, 2546_26	 	 
Bacteroides sp. D20 (585543.3)	1628_3	 	1820_5	1626_7	1625_8	1482_17	1605_22	1627_23	1620_26, 2211_25	 	 
Bacteroides sp. D22 (585544.3)	2955_3	 	962_5	2953_7	2952_8	2043_17	2920_22	2954_23	2936_26, 610_25	 	 
Bacteroides stercoris ATCC 43183 (449673.7)	567_3	 	2189_5	569_7	570_8	2258_17	2370_22	568_23	3382_25, 579_26	 	 
Bacteroides stercoris CC31F (1073351.3)	709_3	 	520_5	707_7	706_8	589_17	679_22	708_23	1445_25, 699_26	 	 
Bacteroides thetaiotaomicron CL09T03C10 (997888.3)	3255_3	 	2214_5	3257_7	3258_8	3487_17	3294_22	3256_23	3278_26, 4082_25	 	 
Bacteroides thetaiotaomicron VPI-5482 (226186.12)	3823_3	 	3463	3821	3820	3610	3778_22	3822_23	3794_26, 3933_25	 	 
Bacteroides thetaiotaomicron dnLKV9 (1235785.3)	4723_3	 	3822	4721	4720_8	4505_17	4681_22	4722_23	3974_25, 4697_26	 	 
Bacteroides uniformis ATCC 8492 (411479.10)	716_3	 	1146_5	718_7	719_8	3326_17	739_22	717_23	2963_25, 724_26	 	 
Bacteroides uniformis CL03T00C23 (997889.3)	1958_3	 	1173_5	1955_7	1954_8	1793_17	1914_22	1957_23	1929_26, 945_25	 	 
Bacteroides uniformis CL03T12C37 (997890.3)	2707_3	 	3490_5	2710_7	2711_8	2870_17	2750_22	2708_23	27_25, 2735_26	 	 
Bacteroides uniformis dnLKV2 (1235787.3)	958_3	 	197_5	955_7	954_8	803_17	924_22	957_23	4048_25, 939_26	 	 
Bacteroides vulgatus ATCC 8482 (435590.9)	611	 	1391	609	608	1546	566_22	610_23	1690_25, 881_26	 	 
Bacteroides vulgatus EK4.2 (702445.3)	 	 	 	 	 	120_17, 2203_17	2204_21, 2318_21	 	2221_25	2098_30	2315
Bacteroides vulgatus PC510 (702446.3)	1077	 	102_5	1079_7	1080_8	3099_17	3341_22	1078_23	250_25, 2709_26	 	 
Bacteroides vulgatus dnLKV7 (1235786.3)	3677	 	2620_5	3675_7	3674	3446	4068_22	3676_23	3841_26, 4180_25	 	 
Bacteroides xylanisolvens CL03T12C04 (997892.3)	3301_3	 	2980_5	3299_7	3297_8	3115_17	3256_22	3300_23	32_25, 3272_26	 	 
Bacteroides xylanisolvens SD CC 1b (702447.3)	2806_3	 	3769_5	2804_7	2802_8	4416_17	1298_22	2805_23	1314_26, 3841_25	 	 
